Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-05-15,15:00:00,Villa Española,Progreso,0.0,0.0,D,2.9,3.22,2.41,1.62,2.25,3.0,2.0,0.85,1.31
2021-05-15,17:15:00,Wanderers,Boston River,1.0,0.0,H,2.1,3.45,2.95,1.83,1.8,3.0,2.0,1.1,1.12
2021-05-15,19:30:00,Torque,Sud América,0.0,1.0,A,1.62,3.8,4.35,1.8,1.83,3.0,4.0,1.29,1.09
2021-05-16,15:00:00,Rentistas,Fénix,0.0,3.0,A,2.63,3.2,2.52,1.9,1.8,5.0,8.0,2.63,2.31
2021-05-16,17:15:00,Deportivo Maldonado,Liverpool FC Montevideo,2.0,4.0,A,3.4,3.5,1.91,1.8,1.87,7.0,7.0,1.71,1.95
2021-05-16,19:30:00,Cerrito,River Plate,3.0,1.0,H,3.05,2.9,2.35,1.95,1.71,10.0,2.0,2.51,0.71
2021-05-22,12:00:00,Boston River,Rentistas,1.0,2.0,A,1.38,3.3,2.65,1.85,1.95,7.0,8.0,2.0,2.02
2021-05-22,15:00:00,Fénix,Peñarol,0.0,0.0,D,3.25,3.35,1.95,1.71,2.07,4.0,3.0,1.09,1.43
2021-05-22,17:15:00,Cerro Largo,Cerrito,3.0,1.0,H,2.3,3.05,2.9,2.1,1.62,6.0,3.0,1.57,1.67
2021-05-23,12:00:00,Plaza Colonia,Torque,1.0,0.0,H,2.7,3.2,2.38,2.05,1.75,3.0,6.0,1.06,1.45
2021-05-23,15:00:00,Progreso,Nacional,1.0,3.0,A,3.3,3.3,2.07,1.95,1.76,5.0,7.0,1.5,1.87
2021-05-23,17:15:00,Wanderers,Deportivo Maldonado,0.0,0.0,D,2.0,3.15,3.6,1.69,2.0,2.0,3.0,1.16,1.21
2021-05-24,15:00:00,River Plate,Liverpool FC Montevideo,3.0,2.0,H,3.4,2.88,2.1,1.78,1.98,6.0,6.0,1.39,1.52
2021-05-24,17:15:00,Sud América,Villa Española,2.0,1.0,H,2.35,2.85,3.05,2.0,1.67,3.0,5.0,0.86,1.55
2021-05-29,13:00:00,Liverpool FC Montevideo,Cerro Largo,3.0,0.0,H,1.42,3.6,2.75,1.8,2.0,4.0,7.0,1.18,2.04
2021-05-29,15:15:00,Villa Española,Plaza Colonia,1.0,3.0,A,3.32,3.32,2.13,2.07,1.7,6.0,9.0,1.77,2.08
2021-05-29,17:30:00,Cerrito,Progreso,0.0,0.0,D,2.25,3.0,3.15,1.95,1.69,2.0,5.0,1.18,1.58
2021-05-30,15:00:00,Deportivo Maldonado,River Plate,0.0,0.0,D,3.0,2.88,2.4,1.91,1.8,3.0,5.0,1.4,1.28
2021-05-30,18:00:00,Peñarol,Boston River,5.0,2.0,H,1.3,4.8,7.75,1.74,1.91,8.0,6.0,1.64,1.54
2021-05-30,20:30:00,Nacional,Sud América,1.0,0.0,H,1.18,3.4,4.5,2.05,1.75,5.0,6.0,1.86,1.57
2021-05-31,15:00:00,Rentistas,Wanderers,0.0,1.0,A,2.5,3.0,2.6,1.93,1.82,2.0,3.0,0.73,1.01
2021-05-31,17:15:00,Torque,Fénix,2.0,0.0,H,1.83,3.6,3.55,1.83,1.8,4.0,6.0,0.89,1.34
2021-06-02,18:00:00,Peñarol,Plaza Colonia,0.0,0.0,D,1.83,3.6,3.6,1.74,1.91,3.0,2.0,1.63,0.89
2021-06-02,20:30:00,Nacional,Cerro Largo,1.0,2.0,A,1.38,3.4,2.7,2.0,1.8,8.0,7.0,2.1,1.76
2021-06-04,15:00:00,Progreso,Liverpool FC Montevideo,1.0,3.0,A,2.6,3.4,2.26,1.75,1.94,12.0,6.0,2.44,1.7
2021-06-05,15:00:00,Plaza Colonia,Nacional,1.0,2.0,A,2.7,3.4,2.35,1.9,1.8,6.0,6.0,1.71,1.49
2021-06-05,17:15:00,Sud América,Cerrito,0.0,0.0,D,2.65,3.0,2.5,1.91,1.74,2.0,5.0,0.88,1.73
2021-06-06,12:45:00,Boston River,Torque,1.0,2.0,A,2.6,3.3,1.45,1.95,1.85,5.0,5.0,1.51,1.13
2021-06-06,15:00:00,Rentistas,Deportivo Maldonado,0.0,2.0,A,2.38,3.18,3.24,1.71,2.07,0.0,3.0,1.42,1.05
2021-06-06,17:15:00,Cerro Largo,River Plate,2.0,4.0,A,2.1,3.15,3.3,1.74,1.91,3.0,8.0,1.35,2.11
2021-06-06,20:15:00,Wanderers,Peñarol,0.0,0.0,D,2.65,3.6,1.4,1.85,1.95,2.0,4.0,1.08,1.42
2021-06-07,15:00:00,Fénix,Villa Española,1.0,0.0,H,1.75,3.25,4.5,1.91,1.8,3.0,10.0,1.26,2.96
