Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-05-23,19:00:00,Portland Thorns,Seattle Reign,1.0,2.0,A,1.69,3.75,3.85,,,10.0,6.0,2.47,1.35
2021-05-23,20:00:00,Houston Dash,Kansas City,2.0,2.0,D,1.59,3.65,4.6,,,4.0,5.0,1.37,1.26
2021-05-30,20:00:00,Seattle Reign,Washington Spirit,0.0,1.0,A,1.74,3.45,3.95,1.87,1.74,6.0,6.0,1.47,1.27
2021-05-15,18:00:00,Racing Louisville,Kansas City,0.0,0.0,D,2.2,3.1,2.95,2.15,1.54,4.0,4.0,0.0,0.0
2021-05-15,20:00:00,Gotham FC,Houston Dash,1.0,0.0,H,,,,,,2.0,5.0,0.0,0.0
2021-05-15,23:00:00,Seattle Reign,North Carolina Courage,0.0,0.0,D,2.45,3.65,2.3,,,4.0,5.0,1.42,1.68
2021-05-16,19:00:00,Orlando Pride,Washington Spirit,1.0,1.0,D,,,,,,2.0,4.0,0.73,1.04
2021-05-16,20:00:00,Portland Thorns,Chicago Red Stars,5.0,0.0,H,1.77,3.3,4.05,,,10.0,4.0,2.39,0.89
2021-05-21,20:30:00,Racing Louisville,Washington Spirit,2.0,0.0,H,3.15,3.15,2.1,2.0,1.62,3.0,12.0,0.69,2.6
2021-05-22,20:00:00,North Carolina Courage,Orlando Pride,1.0,2.0,A,1.54,3.75,4.8,,,10.0,4.0,2.1,1.15
2021-05-22,21:00:00,Chicago Red Stars,Gotham FC,0.0,0.0,D,,,,,,,,0.0,0.0
2021-05-28,20:00:00,North Carolina Courage,Racing Louisville,5.0,0.0,H,1.61,3.6,4.5,1.67,1.95,11.0,6.0,2.72,1.43
2021-05-26,20:00:00,Orlando Pride,Portland Thorns,2.0,1.0,H,3.0,3.45,2.05,1.56,2.1,4.0,9.0,1.25,2.27
2021-05-26,21:00:00,Kansas City,Chicago Red Stars,0.0,2.0,A,2.65,3.0,2.45,2.05,1.7,5.0,7.0,1.06,1.67
2021-05-26,21:30:00,Washington Spirit,Houston Dash,2.0,1.0,H,3.0,3.25,2.15,1.91,1.81,2.0,0.0,0.0,0.0
2021-05-29,20:30:00,Houston Dash,Chicago Red Stars,2.0,1.0,H,2.45,3.05,2.65,,,4.0,8.0,1.25,1.87
2021-05-30,19:00:00,Orlando Pride,Kansas City,1.0,0.0,H,2.15,3.4,2.8,1.62,2.0,6.0,0.0,1.42,0.95
2021-05-30,16:00:00,Gotham FC,Portland Thorns,0.0,1.0,A,,,,,,4.0,9.0,0.0,2.27
2021-06-06,15:00:00,Kansas City,Houston Dash,0.0,1.0,A,2.6,3.15,2.4,1.91,1.69,5.0,4.0,1.13,1.06
2021-06-05,15:00:00,Chicago Red Stars,North Carolina Courage,1.0,0.0,H,3.8,3.75,1.71,1.62,2.0,8.0,3.0,1.8,1.3
2021-06-05,20:00:00,Gotham FC,Seattle Reign,1.0,0.0,H,,,,,,4.0,7.0,0.0,1.35
2021-06-05,23:30:00,Portland Thorns,Racing Louisville,3.0,0.0,H,1.53,3.8,4.95,1.77,1.83,9.0,2.0,2.19,0.72
2021-06-06,15:00:00,Washington Spirit,Orlando Pride,1.0,1.0,D,2.0,3.35,3.2,1.87,1.74,6.0,2.0,1.83,0.97
2021-06-19,17:00:00,North Carolina Courage,Seattle Reign,2.0,1.0,H,2.0,3.4,3.1,,,5.0,3.0,1.48,0.84
2021-06-19,21:00:00,Chicago Red Stars,Washington Spirit,1.0,1.0,D,2.0,3.35,3.15,1.74,1.87,5.0,3.0,1.98,1.08
2021-06-20,16:00:00,Racing Louisville,Houston Dash,1.0,0.0,H,2.6,3.15,2.4,1.87,1.71,5.0,8.0,1.04,1.86
2021-06-20,17:00:00,Portland Thorns,Kansas City,1.0,0.0,H,1.44,4.25,5.25,1.54,2.15,6.0,10.0,1.75,2.19
2021-06-20,19:00:00,Orlando Pride,Gotham FC,1.0,1.0,D,,,,,,5.0,2.0,1.13,0.0
2021-06-23,20:30:00,Racing Louisville,North Carolina Courage,0.0,2.0,A,3.8,3.9,1.67,,,3.0,7.0,0.76,1.67
2021-06-22,23:00:00,Seattle Reign,Chicago Red Stars,2.0,0.0,H,2.2,3.2,2.9,,,,,1.44,1.48
2021-06-23,15:00:00,Kansas City,Orlando Pride,1.0,3.0,A,3.75,3.6,1.74,1.57,2.1,4.0,7.0,1.12,1.33
2021-06-26,17:00:00,Seattle Reign,Gotham FC,0.0,3.0,A,,,,,,,,1.44,0.0
2021-06-26,17:25:00,Chicago Red Stars,Racing Louisville,0.0,3.0,A,1.57,3.4,5.5,,,7.0,3.0,2.2,1.04
2021-06-26,20:00:00,North Carolina Courage,Portland Thorns,2.0,0.0,H,1.69,3.65,3.95,,,3.0,3.0,0.78,0.83
2021-06-26,21:00:00,Houston Dash,Orlando Pride,2.0,1.0,H,2.2,3.2,2.87,1.73,2.0,2.0,4.0,1.03,0.78
2021-06-26,21:30:00,Kansas City,Washington Spirit,1.0,2.0,A,3.75,3.0,1.91,2.2,1.6,2.0,3.0,1.11,0.83
2021-07-02,20:30:00,Washington Spirit,Chicago Red Stars,0.0,1.0,A,2.1,3.13,3.2,2.0,1.72,2.0,2.0,0.86,0.61
2021-07-02,21:30:00,Houston Dash,Seattle Reign,2.0,0.0,H,2.15,3.1,3.05,,,,,1.21,1.1
2021-07-02,23:20:00,Gotham FC,Kansas City,1.0,1.0,D,,,,,,5.0,3.0,0.0,1.47
2021-07-03,20:30:00,Racing Louisville,Portland Thorns,0.0,2.0,A,2.75,3.3,2.25,1.76,1.96,5.0,8.0,1.05,1.53
2021-07-04,19:00:00,Orlando Pride,North Carolina Courage,0.0,2.0,A,2.75,3.8,2.05,1.34,2.75,8.0,7.0,1.77,1.4
2021-07-09,20:00:00,Orlando Pride,Racing Louisville,1.0,1.0,D,1.84,3.7,3.82,1.78,2.06,2.0,0.0,0.66,0.36
2021-07-10,20:00:00,Washington Spirit,North Carolina Courage,2.0,0.0,H,3.65,3.5,1.8,,,8.0,3.0,1.77,1.23
2021-07-11,16:00:00,Portland Thorns,Gotham FC,0.0,0.0,D,,,,,,6.0,2.0,2.2,0.0
2021-07-11,19:00:00,Chicago Red Stars,Houston Dash,2.0,1.0,H,2.3,3.2,2.7,1.91,1.69,2.0,2.0,1.3,1.19
2021-07-11,20:00:00,Seattle Reign,Kansas City,2.0,0.0,H,1.62,3.5,4.6,,,,,1.44,1.47
2021-07-17,20:00:00,North Carolina Courage,Houston Dash,1.0,2.0,A,1.61,3.6,4.6,2.0,1.77,4.0,3.0,1.02,0.63
2021-07-18,18:00:00,Washington Spirit,Gotham FC,2.0,3.0,A,,,,,,3.0,3.0,1.49,0.0
2021-07-18,19:00:00,Chicago Red Stars,Seattle Reign,3.0,1.0,H,2.95,2.9,2.35,2.4,1.44,2.0,4.0,1.15,1.54
2021-07-18,23:30:00,Portland Thorns,Orlando Pride,2.0,1.0,H,1.75,3.5,4.0,1.76,1.96,3.0,2.0,1.47,0.92
2021-07-23,21:00:00,Kansas City,North Carolina Courage,0.0,0.0,D,6.5,4.6,1.33,,,4.0,0.0,1.11,0.42
2021-07-24,20:00:00,Orlando Pride,Seattle Reign,0.0,2.0,A,2.2,3.2,2.9,1.91,1.81,0.0,5.0,1.16,1.25
2021-07-24,21:30:00,Houston Dash,Portland Thorns,0.0,1.0,A,2.75,3.2,2.25,,,3.0,4.0,1.36,1.5
2021-07-25,18:00:00,Gotham FC,Chicago Red Stars,2.0,1.0,H,,,,,,,,0.0,1.26
2021-07-25,20:30:00,Racing Louisville,Washington Spirit,0.0,2.0,A,2.7,3.2,2.3,2.12,1.74,5.0,7.0,1.29,1.47
2021-07-31,20:00:00,North Carolina Courage,Orlando Pride,1.0,1.0,D,1.57,3.6,4.85,2.06,1.79,5.0,5.0,1.17,1.02
2021-07-31,23:00:00,Seattle Reign,Racing Louisville,2.0,0.0,H,1.87,3.35,3.6,2.06,1.78,7.0,4.0,1.64,1.79
2021-08-01,16:00:00,Portland Thorns,Kansas City,2.0,0.0,H,1.48,3.8,5.5,1.87,1.95,8.0,4.0,1.84,1.71
2021-08-01,19:00:00,Chicago Red Stars,Washington Spirit,3.0,1.0,H,2.4,2.95,2.75,2.25,1.5,3.0,5.0,1.31,1.63
2021-08-01,20:00:00,Houston Dash,Gotham FC,1.0,1.0,D,,,,,,4.0,4.0,1.25,0.0
2021-08-07,20:00:00,Gotham FC,North Carolina Courage,0.0,1.0,A,2.5,3.4,2.4,2.03,1.78,4.0,3.0,1.0,0.89
2021-08-07,20:30:00,Washington Spirit,Portland Thorns,0.0,1.0,A,2.9,3.1,2.1,1.87,1.71,5.0,6.0,1.26,1.67
2021-08-07,23:00:00,Seattle Reign,Houston Dash,5.0,1.0,H,1.83,3.05,3.7,2.15,1.54,8.0,3.0,2.29,0.63
2021-08-08,16:00:00,Racing Louisville,Kansas City,3.0,1.0,H,1.91,2.95,3.65,2.43,1.53,4.0,8.0,1.43,1.61
2021-08-08,19:00:00,Chicago Red Stars,Orlando Pride,0.0,2.0,A,1.91,3.1,3.4,1.95,1.69,8.0,6.0,2.62,1.45
2021-08-13,21:30:00,Houston Dash,Washington Spirit,2.0,2.0,D,1.87,3.15,3.45,2.0,1.8,6.0,7.0,1.72,1.72
2021-08-14,20:00:00,Orlando Pride,Portland Thorns,1.0,1.0,D,2.95,3.1,2.1,2.09,1.76,2.0,5.0,0.76,1.29
2021-08-14,21:00:00,Kansas City,Seattle Reign,1.0,0.0,H,4.9,3.5,1.56,2.0,1.8,6.0,2.0,1.65,1.11
2021-08-15,18:00:00,Gotham FC,Racing Louisville,1.0,1.0,D,1.8,3.4,4.2,2.2,1.65,5.0,5.0,1.26,1.2
2021-08-15,19:45:00,North Carolina Courage,Chicago Red Stars,1.0,0.0,H,1.77,3.45,3.55,1.88,1.93,5.0,3.0,1.5,1.48
2021-08-18,21:05:00,Racing Louisville,Chicago Red Stars,1.0,1.0,D,2.1,3.0,2.95,2.1,1.7,2.0,8.0,0.91,2.03
2021-08-21,20:00:00,North Carolina Courage,Kansas City,4.0,0.0,H,1.31,4.4,7.5,1.87,1.83,7.0,7.0,1.28,1.48
2021-08-25,23:30:00,Portland Thorns,Gotham FC,2.0,1.0,H,1.5,4.0,5.5,1.85,1.85,10.0,3.0,1.95,0.74
2021-08-21,23:00:00,Seattle Reign,Gotham FC,3.0,2.0,H,2.05,3.1,3.3,2.3,1.55,15.0,6.0,3.41,1.18
2021-08-22,17:00:00,Washington Spirit,Orlando Pride,2.0,1.0,H,1.71,3.35,3.9,1.9,1.78,9.0,6.0,2.05,1.45
2021-08-25,21:00:00,Kansas City,Racing Louisville,2.0,1.0,H,2.35,2.9,2.7,2.1,1.57,9.0,3.0,1.78,0.86
2021-10-16,21:00:00,Chicago Red Stars,Kansas City,2.0,1.0,H,1.72,3.25,4.2,1.83,1.98,3.0,4.0,0.99,1.03
2021-08-28,21:00:00,Chicago Red Stars,Kansas City,3.0,0.0,H,1.67,3.35,4.25,2.0,1.65,8.0,6.0,2.54,1.87
2021-08-29,18:00:00,Washington Spirit,North Carolina Courage,0.0,0.0,D,3.1,3.05,2.05,1.91,1.71,5.0,6.0,2.03,1.37
2021-08-29,18:30:00,Gotham FC,Orlando Pride,0.0,1.0,A,2.1,3.25,3.1,2.0,1.7,5.0,3.0,1.46,0.85
2021-08-29,20:00:00,Seattle Reign,Portland Thorns,2.0,1.0,H,2.6,2.95,2.4,2.0,1.62,5.0,7.0,1.44,1.74
2021-08-29,20:30:00,Houston Dash,Racing Louisville,1.0,0.0,H,1.67,3.3,4.35,2.0,1.65,7.0,4.0,1.87,0.77
2021-09-01,21:00:00,Houston Dash,Seattle Reign,0.0,1.0,A,3.6,3.15,1.83,1.91,1.71,6.0,7.0,1.17,1.4
2021-09-04,20:00:00,Gotham FC,Chicago Red Stars,0.0,0.0,D,2.39,2.94,3.02,2.35,1.52,2.0,5.0,0.91,1.8
2021-09-04,20:30:00,Racing Louisville,Seattle Reign,1.0,1.0,D,4.6,3.45,1.59,1.95,1.69,6.0,10.0,1.3,2.86
2021-09-04,23:30:00,Portland Thorns,Washington Spirit,0.0,0.0,D,1.69,3.25,4.25,2.1,1.56,,,2.01,1.46
2021-09-05,17:00:00,Orlando Pride,Houston Dash,1.0,1.0,D,2.25,3.05,2.7,1.87,1.74,4.0,7.0,0.82,1.24
2021-09-05,20:00:00,Kansas City,North Carolina Courage,0.0,0.0,D,4.4,3.0,1.74,2.1,1.57,6.0,5.0,1.58,1.22
2021-09-10,21:30:00,Houston Dash,Chicago Red Stars,1.0,1.0,D,2.3,3.0,2.65,2.05,1.61,6.0,5.0,1.48,1.2
2021-09-11,20:00:00,Orlando Pride,Racing Louisville,3.0,1.0,H,1.87,3.25,3.35,1.77,1.83,5.0,3.0,0.96,0.88
2021-09-12,16:00:00,North Carolina Courage,Portland Thorns,0.0,1.0,A,2.2,3.2,2.87,1.75,2.05,6.0,9.0,1.37,2.39
2021-09-12,18:00:00,Washington Spirit,Seattle Reign,0.0,3.0,A,2.65,3.05,2.25,2.0,1.8,,,1.63,1.52
2021-09-25,16:00:00,Gotham FC,North Carolina Courage,3.0,1.0,H,3.6,3.2,1.91,2.4,1.53,5.0,6.0,1.53,1.4
2021-09-25,21:00:00,Chicago Red Stars,Portland Thorns,2.0,1.0,H,3.55,3.0,2.1,2.07,1.77,10.0,3.0,1.62,0.9
2021-09-26,16:00:00,Racing Louisville,Houston Dash,0.0,4.0,A,3.0,3.0,2.25,2.2,1.6,2.0,8.0,0.62,1.79
2021-09-26,18:00:00,Washington Spirit,Kansas City,2.0,1.0,H,1.7,3.25,4.75,2.15,1.61,4.0,4.0,1.19,1.25
2021-09-26,20:00:00,Seattle Reign,Orlando Pride,3.0,0.0,H,1.75,3.38,4.18,2.0,1.75,12.0,7.0,2.5,1.54
2021-10-01,20:00:00,North Carolina Courage,Washington Spirit,0.0,0.0,D,1.65,3.3,4.75,2.2,1.61,,,1.49,1.46
