Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-09,10:30:00,AGMK,Lokomotiv,2.0,1.0,H,1.8,3.25,3.95,1.95,1.85,6.0,4.0,1.34,0.87
2021-03-09,10:30:00,Navbahor,Sogdiana,0.0,1.0,A,2.1,3.1,3.1,2.21,1.65,2.0,3.0,1.03,0.62
2021-03-10,08:15:00,Turan,Kokand-1912,1.0,2.0,A,2.95,2.55,2.45,2.05,1.61,,,0.0,0.0
2021-03-10,10:30:00,Nasaf,Pakhtakor,2.0,3.0,A,3.85,2.85,1.87,1.95,1.67,9.0,6.0,1.92,1.38
2021-03-10,10:30:00,Bunyodkor,Mash'al,1.0,0.0,H,1.48,3.6,5.25,1.8,1.8,5.0,4.0,1.25,1.29
2021-03-11,08:15:00,Surkhon,Metalourg,1.0,0.0,H,4.1,2.9,1.8,2.2,1.51,3.0,2.0,0.96,0.57
2021-03-11,10:30:00,Qizilqum,Andijan,1.0,0.0,H,1.77,3.2,3.8,1.95,1.67,3.0,2.0,0.79,0.53
2021-03-14,08:15:00,Lokomotiv,Navbahor,1.0,2.0,A,2.0,3.2,3.3,1.73,2.08,4.0,4.0,1.43,1.23
2021-03-14,09:00:00,Sogdiana,Turan,1.0,0.0,H,1.68,3.76,4.8,2.13,1.66,2.0,0.0,0.62,0.31
2021-03-14,10:30:00,Nasaf,AGMK,1.0,1.0,D,2.09,3.48,3.5,2.0,1.8,4.0,3.0,1.21,1.44
2021-03-15,08:15:00,Kokand-1912,Qizilqum,0.0,0.0,D,1.74,3.54,4.68,2.03,1.73,4.0,3.0,1.57,1.28
2021-03-15,10:30:00,Pakhtakor,Mash'al,3.0,0.0,H,1.11,6.5,10.75,1.45,2.35,8.0,6.0,2.31,1.55
2021-03-16,08:15:00,Andijan,Surkhon,1.0,0.0,H,2.38,3.2,2.63,2.35,1.58,2.0,0.0,0.92,1.27
2021-03-16,10:30:00,Metalourg,Bunyodkor,1.0,0.0,H,2.5,3.4,2.38,1.9,1.9,6.0,3.0,1.27,1.17
2021-03-18,08:15:00,Turan,Lokomotiv,2.0,2.0,D,2.9,3.0,2.2,2.1,1.56,5.0,3.0,1.42,1.31
2021-03-18,10:30:00,AGMK,Pakhtakor,0.0,3.0,A,6.0,4.33,1.4,1.75,2.05,4.0,4.0,1.06,0.81
2021-03-19,10:30:00,Navbahor,Nasaf,0.0,0.0,D,2.86,3.32,2.39,2.33,1.56,3.0,2.0,1.44,1.14
2021-03-19,10:30:00,Qizilqum,Sogdiana,1.0,1.0,D,2.35,2.5,3.15,2.45,1.43,2.0,2.0,0.44,0.48
2021-03-20,08:15:00,Surkhon,Kokand-1912,1.0,1.0,D,3.41,2.66,2.63,2.25,1.63,3.0,4.0,1.28,1.38
2021-03-20,09:00:00,Mash'al,Metalourg,2.0,1.0,H,2.39,3.14,3.19,2.3,1.58,4.0,4.0,0.92,1.18
2021-03-20,10:30:00,Bunyodkor,Andijan,3.0,1.0,H,1.38,4.34,9.9,1.92,1.82,8.0,2.0,1.26,0.46
2021-04-01,08:15:00,Andijan,Mash'al,1.0,1.0,D,2.4,3.0,2.75,2.4,1.5,6.0,4.0,1.51,0.89
2021-04-01,10:30:00,Sogdiana,Surkhon,2.0,1.0,H,1.75,3.3,4.33,2.1,1.65,8.0,2.0,2.35,0.62
2021-04-02,08:15:00,Kokand-1912,Bunyodkor,0.0,0.0,D,2.51,3.2,2.51,1.76,2.0,5.0,4.0,2.14,1.1
2021-04-02,10:30:00,Pakhtakor,Metalourg,2.0,1.0,H,1.21,6.8,9.4,1.78,1.97,9.0,4.0,2.18,1.43
2021-04-02,10:30:00,AGMK,Navbahor,2.0,1.0,H,1.95,3.43,3.63,2.09,1.69,6.0,5.0,1.47,1.39
2021-04-03,08:15:00,Lokomotiv,Qizilqum,1.0,1.0,D,1.7,3.73,5.2,,,7.0,3.0,1.96,0.74
2021-04-03,10:30:00,Nasaf,Turan,4.0,0.0,H,1.2,5.5,9.5,1.7,2.1,8.0,2.0,1.88,0.74
2021-04-07,10:30:00,Navbahor,Pakhtakor,1.0,2.0,A,4.75,3.8,1.57,1.65,2.1,4.0,3.0,1.64,0.95
2021-04-08,10:30:00,Bunyodkor,Sogdiana,2.0,2.0,D,2.1,3.4,2.95,2.1,1.65,5.0,7.0,1.86,1.77
2021-04-08,10:30:00,Metalourg,Andijan,2.0,0.0,H,1.53,3.6,5.5,2.2,1.6,5.0,3.0,1.48,1.13
2021-04-09,08:15:00,Surkhon,Lokomotiv,0.0,1.0,A,3.26,3.24,2.18,2.2,1.6,3.0,3.0,1.0,1.2
2021-04-09,09:00:00,Mash'al,Kokand-1912,0.0,2.0,A,2.65,3.15,2.45,2.34,1.56,3.0,6.0,1.06,1.63
2021-04-10,10:30:00,Qizilqum,Nasaf,1.0,2.0,A,3.0,3.22,2.34,2.23,1.61,4.0,7.0,1.16,2.02
2021-04-15,08:15:00,Kokand-1912,Metalourg,0.0,1.0,A,2.03,3.24,3.68,2.05,1.72,6.0,3.0,1.88,1.2
2021-04-15,10:20:00,Sogdiana,Mash'al,2.0,2.0,D,1.61,3.68,5.65,1.87,1.86,5.0,3.0,1.22,0.86
2021-04-15,10:20:00,Nasaf,Surkhon,6.0,0.0,H,1.24,5.7,11.5,1.7,2.08,11.0,0.0,2.54,0.7
2021-04-16,10:05:00,Navbahor,Turan,0.0,0.0,D,1.4,4.46,7.6,2.35,1.57,2.0,4.0,1.02,1.3
2021-04-16,10:15:00,Lokomotiv,Bunyodkor,2.0,1.0,H,2.2,3.1,2.9,2.22,1.61,6.0,4.0,1.72,1.62
2021-05-04,09:00:00,Qizilqum,Navbahor,1.0,1.0,D,2.95,2.65,2.35,2.35,1.45,4.0,6.0,1.2,1.58
2021-05-04,11:00:00,Bunyodkor,Nasaf,2.0,0.0,H,2.15,2.95,3.0,2.0,1.62,8.0,2.0,1.76,1.45
2021-05-05,09:00:00,Andijan,Kokand-1912,1.0,2.0,A,2.91,3.12,2.47,2.33,1.56,5.0,3.0,1.8,1.06
2021-05-05,09:00:00,Mash'al,Lokomotiv,1.0,4.0,A,2.4,3.2,2.63,2.28,1.58,,,0.99,1.13
2021-05-05,11:00:00,Metalourg,Sogdiana,0.0,2.0,A,2.34,3.32,2.92,2.18,1.64,4.0,6.0,1.52,1.55
2021-05-06,09:00:00,Turan,Pakhtakor,1.0,1.0,D,7.0,4.75,1.33,1.7,2.1,5.0,7.0,1.38,2.0
2021-05-06,09:00:00,Surkhon,AGMK,0.0,1.0,A,3.0,3.6,2.0,2.0,1.8,4.0,3.0,1.12,1.4
2021-05-10,10:40:00,Turan,AGMK,0.0,1.0,A,3.2,3.2,2.05,2.25,1.62,2.0,2.0,0.56,0.31
2021-05-11,10:50:00,Lokomotiv,Metalourg,1.0,3.0,A,1.75,3.55,3.89,2.09,1.66,9.0,8.0,2.32,1.87
2021-05-11,10:55:00,Sogdiana,Andijan,4.0,1.0,H,1.52,3.8,5.29,1.96,1.75,7.0,4.0,1.93,1.3
2021-05-12,10:40:00,Navbahor,Surkhon,2.0,0.0,H,1.5,3.75,6.0,2.17,1.65,3.0,0.0,1.07,0.27
2021-05-12,10:50:00,Pakhtakor,Kokand-1912,3.0,0.0,H,1.18,6.0,12.0,1.68,2.1,9.0,6.0,2.21,1.48
2021-05-13,10:45:00,Turan,Qizilqum,0.0,1.0,A,2.7,2.9,2.5,2.18,1.64,5.0,6.0,1.33,1.41
2021-05-14,10:55:00,AGMK,Bunyodkor,3.0,1.0,H,1.8,3.4,3.75,2.14,1.63,5.0,8.0,0.98,1.58
2021-05-17,09:00:00,Andijan,Lokomotiv,1.0,2.0,A,5.0,3.45,1.53,1.91,1.71,6.0,7.0,1.52,1.73
2021-05-18,09:30:00,Kokand-1912,Sogdiana,2.0,3.0,A,2.25,2.9,2.8,2.25,1.62,4.0,8.0,1.25,1.66
2021-05-18,11:45:00,Bunyodkor,Navbahor,0.0,0.0,D,1.96,3.15,3.45,2.1,1.65,6.0,2.0,2.56,1.01
2021-05-19,09:30:00,Surkhon,Turan,1.0,0.0,H,2.2,2.85,3.0,2.0,1.8,2.0,2.0,0.8,0.85
2021-05-19,09:30:00,Mash'al,AGMK,2.0,1.0,H,4.65,3.41,1.78,2.12,1.68,,,0.99,1.05
2021-05-19,11:45:00,Qizilqum,Pakhtakor,0.0,1.0,A,7.8,4.74,1.37,1.64,2.17,5.0,6.0,1.62,1.99
2021-06-18,12:00:00,Qizilqum,Surkhon,1.0,1.0,D,1.66,3.56,5.35,2.29,1.55,4.0,2.0,1.76,1.25
2021-06-19,12:00:00,Turan,Bunyodkor,0.0,3.0,A,2.88,3.21,1.97,2.25,1.57,7.0,5.0,1.95,1.37
2021-06-19,12:00:00,Pakhtakor,Sogdiana,0.0,0.0,D,1.3,4.4,9.5,1.8,1.91,5.0,3.0,1.44,0.91
2021-06-19,12:00:00,AGMK,Metalourg,2.0,0.0,H,1.87,3.1,3.8,2.15,1.61,6.0,2.0,1.48,1.33
2021-06-20,12:00:00,Navbahor,Mash'al,2.0,1.0,H,1.7,3.7,4.95,2.03,1.73,,,1.24,1.15
