Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
joNeCTIb,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,05/05/2024,15:30,Play Offs,Estudiantes L.P.,Velez Sarsfield,1,1,[14],[63],Betfair,3.0,1.83,4.2,Betfair,2.15,2.7,3.4,Betano.br,1.65,2.27,Betano.br,3.95,1.26,Betano.br,9.25,1.05,Betfair,1.08,6.5,Betfair,1.5,2.4,Betfair,2.6,1.44,Betfair,5.5,1.11,Betfair,11.0,1.01,bet365,2.1,1.67,Betfair,1.22,1.36,1.57,Betfair,5.5,Betfair,6.5,Betfair,13.0,Betfair,36.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,31.0,Betfair,8.0,Betfair,8.0,Betfair,15.0,Betfair,56.0,Betfair,18.0,Betfair,18.0,Betfair,36.0,Betfair,91.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,3.9,1.27,Betano.br,2.3,1.65,Betano.br,1.36,3.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,26.0,11.75,1.05,Betano.br,12.5,6.5,1.18,Betano.br,5.0,3.7,1.65,Betano.br,1.35,4.6,8.25,Betano.br,1.09,8.75,21.0,Betano.br,1.02,14.5,37.0,0.41,0.79,,,,,,,,,0.42,0.58,,,,,,,,,,,10.0,18.0,2.0,5.0,6.0,9.0,2.0,4.0,,,,,,,,,,,6.0,3.0,15.0,26.0,28.0,27.0,24.0,15.0,6.0,4.0,1.0,1.0,2.0,0.0,4.0,1.0,,,,,,,,,,,,,0.21,0.44,,,,,0.45,0.55,3.0,9.0,1.0,2.0,2.0,4.0,,,1.0,2.0,1.0,2.0,7.0,8.0,0.0,0.0,2.0,0.0,0.13,0.35,,,,,0.39,0.61,4.0,6.0,0.0,1.0,2.0,4.0,,,5.0,1.0,4.0,1.0,1.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0
vqDYyFld,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,30/04/2024,20:00,Play Offs,Estudiantes L.P.,Boca Juniors,1,1,[76],[41],bet365,3.75,1.91,3.5,bet365,2.88,3.0,2.7,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.44,1.36,1.4,bet365,6.0,bet365,6.5,bet365,11.0,bet365,29.0,bet365,6.5,bet365,6.0,bet365,11.0,bet365,26.0,bet365,12.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.75,1.14,bet365,2.75,1.43,bet365,1.48,2.6,bet365,1.18,4.65,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,35.0,14.0,1.02,Betano.br,18.5,8.25,1.11,Betano.br,7.2,4.25,1.42,bet365,1.44,4.0,6.0,Betano.br,1.14,7.3,15.0,Betano.br,1.03,12.5,30.0,1.12,1.4,,,,,,,,,0.51,0.49,,,,,,,,,,,10.0,9.0,6.0,3.0,2.0,3.0,2.0,3.0,,,,,,,,,,,2.0,5.0,11.0,17.0,13.0,28.0,14.0,10.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,0.12,0.85,,,,,0.37,0.63,2.0,5.0,1.0,3.0,0.0,1.0,,,2.0,2.0,1.0,1.0,5.0,5.0,0.0,1.0,2.0,1.0,1.0,0.55,,,,,0.65,0.35,8.0,4.0,5.0,0.0,2.0,2.0,,,0.0,3.0,1.0,2.0,0.0,1.0,9.0,5.0,3.0,0.0,0.0,4.0
KbQ7qHt0,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,28/04/2024,15:30,Play Offs,Argentinos Jrs,Velez Sarsfield,0,0,[],[],bet365,3.75,1.83,3.6,bet365,2.9,2.8,2.8,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.14,5.5,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57,bet365,1.4,1.4,1.4,bet365,5.5,bet365,6.5,bet365,12.0,bet365,29.0,bet365,6.5,bet365,5.5,bet365,12.0,bet365,29.0,bet365,12.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.75,1.14,bet365,2.85,1.4,bet365,1.45,2.68,bet365,1.16,5.25,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,Betano.br,32.0,13.5,0.0,Betano.br,17.5,7.9,1.12,Betano.br,6.8,4.15,1.45,bet365,1.4,4.0,6.5,Betano.br,1.11,7.9,18.5,Betano.br,1.03,13.5,35.0,0.41,0.87,,,,,,,,,0.72,0.28,,,,,,,,,,,8.0,11.0,5.0,6.0,2.0,3.0,1.0,2.0,,,,,,,,,,,7.0,6.0,6.0,14.0,23.0,23.0,11.0,6.0,2.0,1.0,0.0,1.0,3.0,0.0,6.0,5.0,,,,,,,,,,,,,0.04,0.72,,,,,0.73,0.27,3.0,10.0,2.0,5.0,1.0,3.0,,,3.0,5.0,2.0,0.0,5.0,3.0,3.0,0.0,5.0,2.0,0.37,0.15,,,,,0.71,0.29,5.0,1.0,3.0,1.0,1.0,0.0,,,4.0,1.0,0.0,1.0,,,6.0,3.0,0.0,0.0,1.0,3.0
88xwykTP,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,21/04/2024,15:30,Play Offs,River Plate,Boca Juniors,2,3,"[10, 90]","[45, 62, 67]",bet365,3.0,1.95,4.33,bet365,2.2,3.0,3.5,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.29,1.36,1.67,bet365,6.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,3.55,1.28,bet365,2.15,1.68,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,11.25,1.05,Betano.br,11.5,6.4,1.2,bet365,4.75,3.75,1.67,Betano.br,1.33,4.75,8.75,Betano.br,1.08,9.25,22.0,Betano.br,1.02,14.5,37.0,1.76,2.05,,,,,,,,,0.52,0.48,,,,,,,,,,,13.0,10.0,7.0,4.0,3.0,5.0,3.0,1.0,,,,,,,,,,,4.0,4.0,17.0,10.0,16.0,21.0,10.0,15.0,6.0,5.0,,,0.0,2.0,1.0,5.0,,,,,,,,,,,,,0.62,1.02,,,,,0.41,0.59,5.0,4.0,3.0,1.0,1.0,2.0,,,2.0,2.0,2.0,1.0,5.0,4.0,0.0,1.0,0.0,2.0,1.14,1.03,,,,,0.63,0.37,8.0,6.0,4.0,3.0,2.0,3.0,,,2.0,2.0,4.0,4.0,,,5.0,11.0,0.0,1.0,1.0,3.0
K0yHT6La,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,20/04/2024,21:30,Play Offs,Godoy Cruz,Velez Sarsfield,1,2,[18],"[24, 68]",bet365,3.25,1.91,4.0,bet365,2.4,3.0,3.2,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.36,1.36,1.53,bet365,6.0,bet365,7.0,bet365,15.0,bet365,34.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,10.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,23.0,bet365,23.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,3.9,1.24,bet365,2.3,1.6,bet365,1.35,3.1,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,30.0,12.5,1.03,Betano.br,14.5,7.1,1.15,bet365,5.5,3.75,1.53,Betano.br,1.37,4.4,8.25,Betano.br,1.09,8.75,21.0,Betano.br,1.02,14.5,37.0,0.55,1.93,,,,,,,,,0.59,0.41,,,,,,,,,,,14.0,10.0,4.0,5.0,6.0,3.0,4.0,2.0,,,,,,,,,,,3.0,3.0,12.0,14.0,24.0,21.0,9.0,10.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,,,,,,,,,,,,,0.23,0.65,,,,,0.48,0.52,5.0,5.0,3.0,2.0,2.0,2.0,,,1.0,1.0,0.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,0.32,1.28,,,,,0.7,0.3,9.0,5.0,1.0,3.0,4.0,1.0,,,2.0,2.0,,,1.0,1.0,4.0,5.0,3.0,0.0,2.0,1.0
ShJ9VSjm,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,20/04/2024,18:30,Play Offs,Estudiantes L.P.,Barracas Central,3,0,"[2, 62, 86]",[],bet365,2.1,2.25,6.0,bet365,1.57,3.8,6.5,bet365,1.36,3.0,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.91,1.8,bet365,1.11,1.25,2.3,bet365,9.5,bet365,15.0,bet365,34.0,bet365,67.0,bet365,6.5,bet365,7.0,bet365,19.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,17.0,bet365,51.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,51.0,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.6,1.48,bet365,2.03,1.83,bet365,1.58,2.35,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.5,7.4,1.17,Betano.br,5.4,4.6,1.47,bet365,2.5,3.6,2.3,Betano.br,1.16,6.7,14.5,Betano.br,1.04,12.0,30.0,,0.0,0.0,0.0,3.39,0.87,,,,,,,,,0.57,0.43,,,,,,,,,,,20.0,10.0,5.0,0.0,10.0,7.0,5.0,3.0,,,,,,,,,,,3.0,1.0,6.0,21.0,15.0,20.0,18.0,6.0,5.0,1.0,,,3.0,0.0,0.0,2.0,,,,,,,,,,,,,1.36,0.33,,,,,0.61,0.39,10.0,2.0,2.0,0.0,5.0,2.0,,,3.0,0.0,1.0,1.0,7.0,3.0,1.0,0.0,0.0,1.0,2.03,0.54,,,,,0.53,0.47,10.0,8.0,3.0,0.0,5.0,5.0,,,0.0,1.0,4.0,0.0,,,11.0,3.0,2.0,0.0,0.0,1.0
tGPPRpjC,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,20/04/2024,15:30,Play Offs,Argentinos Jrs,Defensa y Justicia,1,1,[85],[11],bet365,3.0,2.05,3.75,bet365,2.3,3.1,3.4,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.3,1.36,1.57,bet365,8.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,7.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.5,bet365,15.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.7,1.26,bet365,2.3,1.6,bet365,1.35,3.1,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,26.0,11.75,1.05,Betano.br,12.5,6.7,1.18,bet365,4.75,4.0,1.57,Betano.br,1.37,4.55,7.5,Betano.br,1.1,8.5,18.5,Betano.br,1.02,14.0,32.0,1.61,0.42,,,,,,,,,0.68,0.32,,,,,,,,,,,19.0,5.0,8.0,3.0,8.0,1.0,3.0,1.0,,,,,,,,,,,14.0,3.0,17.0,14.0,21.0,10.0,9.0,17.0,1.0,1.0,,,5.0,0.0,2.0,7.0,,,,,,,,,,,,,0.45,0.16,,,,,0.62,0.38,8.0,2.0,1.0,1.0,6.0,0.0,,,4.0,2.0,,,3.0,10.0,3.0,0.0,0.0,1.0,1.16,0.26,,,,,0.74,0.26,11.0,3.0,7.0,2.0,2.0,1.0,,,10.0,1.0,1.0,1.0,,,6.0,7.0,2.0,0.0,2.0,6.0
U3AZVcvA,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,17/04/2024,19:30,Round 14,Rosario Central,Dep. Riestra,1,1,[45],[14],bet365,2.5,1.95,6.0,bet365,1.73,3.3,5.5,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.5,1.5,bet365,1.14,1.33,2.05,bet365,6.0,bet365,10.0,bet365,26.0,bet365,67.0,bet365,4.75,bet365,7.0,bet365,19.0,bet365,51.0,bet365,6.5,bet365,9.5,bet365,23.0,bet365,67.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,101.0,bet365,7.0,1.1,bet365,6.6,1.11,bet365,3.3,1.33,bet365,2.43,1.53,bet365,1.73,2.08,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,16.0,8.5,1.11,Betano.br,7.0,4.8,1.37,bet365,3.25,3.25,2.05,Betano.br,1.15,6.4,17.5,Betano.br,1.03,12.5,37.0,,0.0,0.0,0.0,1.37,0.53,,,,,,,,,0.83,0.17,,,,,,,,,,,21.0,5.0,5.0,3.0,8.0,0.0,8.0,2.0,,,,,,,,,,,9.0,3.0,6.0,11.0,24.0,17.0,9.0,6.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,,,,,,,,,,,,,1.19,0.53,,,,,0.84,0.16,8.0,2.0,2.0,1.0,2.0,0.0,,,3.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.18,0.0,,,,,0.82,0.18,13.0,3.0,3.0,2.0,6.0,0.0,,,6.0,2.0,0.0,1.0,,,4.0,3.0,2.0,0.0,2.0,3.0
M1kEOFWq,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,16/04/2024,19:30,Round 14,Belgrano,Racing Club,0,4,[],"[9, 18, 87, 90]",bet365,4.75,2.1,2.6,bet365,4.2,3.4,1.91,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.83,1.3,1.22,bet365,8.5,bet365,6.5,bet365,8.5,bet365,15.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,21.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,1.93,1.93,bet365,1.43,2.75,bet365,1.28,3.55,bet365,1.1,7.0,,0.0,0.0,Betano.br,40.0,15.5,1.01,Betano.br,26.0,10.5,1.06,Betano.br,11.0,5.5,1.24,bet365,1.83,3.6,3.6,Betano.br,1.3,5.4,7.9,Betano.br,1.09,9.25,17.5,0.69,1.44,,,,,,,,,0.65,0.35,,,,,,,,,,,12.0,13.0,5.0,9.0,5.0,3.0,2.0,1.0,,,,,,,,,,,5.0,2.0,12.0,11.0,22.0,17.0,11.0,11.0,2.0,1.0,,,0.0,1.0,5.0,5.0,,,,,,,,,,,,,0.3,0.97,,,,,0.71,0.29,6.0,7.0,3.0,5.0,1.0,1.0,,,2.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,3.0,3.0,0.39,0.47,,,,,0.59,0.41,6.0,6.0,2.0,4.0,4.0,2.0,,,3.0,1.0,1.0,0.0,,,5.0,5.0,0.0,1.0,2.0,2.0
ANV8pcg3,ARGENTINA,2024,Copa De La Liga Profesional,ARGENTINA CUP,16/04/2024,19:30,Round 14,Boca Juniors,Godoy Cruz,1,0,[40],[],bet365,2.2,2.2,6.0,bet365,1.6,4.0,5.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.1,1.67,bet365,1.14,1.22,2.3,bet365,9.0,bet365,12.0,bet365,29.0,bet365,67.0,bet365,6.0,bet365,7.5,bet365,19.0,bet365,51.0,bet365,6.5,bet365,8.5,bet365,21.0,bet365,51.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.68,1.45,bet365,2.05,1.8,bet365,1.58,2.35,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.5,7.2,1.17,Betano.br,5.2,4.4,1.52,bet365,2.63,3.5,2.3,Betano.br,1.13,7.2,18.5,Betano.br,1.03,13.0,37.0,,0.0,0.0,0.0,0.62,0.9,,,,,,,,,0.43,0.57,,,,,,,,,,,11.0,8.0,5.0,4.0,4.0,4.0,2.0,0.0,,,,,,,,,,,4.0,3.0,12.0,11.0,27.0,20.0,8.0,12.0,3.0,4.0,1.0,0.0,3.0,0.0,4.0,4.0,,,,,,,,,,,,,0.38,0.1,,,,,0.51,0.49,6.0,2.0,3.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,5.0,6.0,1.0,0.0,1.0,2.0,0.24,0.8,,,,,0.33,0.67,5.0,6.0,2.0,3.0,3.0,3.0,,,2.0,2.0,1.0,3.0,,,3.0,6.0,2.0,0.0,3.0,2.0
