Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
CvMz8RC5,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,30/11/2025,17:00,Promotion,Deportivo Madryn,Estudiantes Rio Cuarto,1,1,[64],[85],bet365,2.38,1.83,8.5,bet365,1.57,3.25,7.5,bet365,1.73,2.0,bet365,4.5,1.18,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,19.0,1.02,bet365,3.4,1.3,bet365,1.1,1.33,2.25,bet365,4.75,bet365,11.0,bet365,34.0,bet365,101.0,bet365,4.0,bet365,7.5,bet365,29.0,bet365,81.0,bet365,5.0,bet365,11.0,bet365,34.0,bet365,126.0,bet365,12.0,bet365,21.0,bet365,51.0,bet365,201.0,Alfabet,6.4,1.09,bet365,6.0,1.13,bet365,2.85,1.4,bet365,2.1,1.7,bet365,1.58,2.35,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,16.0,7.0,1.05,Estrelabet,6.66,4.33,1.3,bet365,3.0,3.2,2.25,BetEsporte,1.08,5.8,22.0,BetEsporte,1.01,7.8,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,4.0,3.0,2.0,3.0,2.0,0.0,,,,,,,,,,,,,2.0,6.0,,,,,,,5.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.52,0.48,1.0,1.0,0.0,1.0,1.0,0.0,,,0.0,3.0,2.0,2.0,,,,,,,,,,,,,0.64,0.36,3.0,2.0,2.0,2.0,1.0,0.0,,,2.0,3.0,3.0,0.0,1.0,0.0,,,,,,
nXYeb2bM,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,16/11/2025,17:15,Promotion,Deportivo Madryn,Deportivo Moron,1,0,[14],[],bet365,2.88,1.73,6.0,bet365,1.86,2.85,4.75,bet365,1.83,1.98,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.18,4.5,bet365,1.83,1.83,bet365,4.0,1.25,bet365,10.0,1.06,bet365,23.0,1.01,bet365,3.25,1.33,bet365,1.18,1.4,1.83,bet365,4.33,bet365,8.0,bet365,23.0,bet365,67.0,bet365,4.0,bet365,7.0,bet365,21.0,bet365,51.0,bet365,7.5,bet365,11.0,bet365,34.0,bet365,81.0,bet365,19.0,bet365,29.0,bet365,51.0,bet365,151.0,Alfabet,9.5,1.05,Alfabet,7.6,1.05,bet365,4.4,1.2,bet365,3.3,1.33,bet365,1.93,1.88,bet365,1.18,4.8,Alfabet,1.02,9.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,21.0,7.8,1.03,Estrelabet,9.5,4.75,1.2,bet365,4.5,3.0,1.83,Estrelabet,1.1,5.33,18.0,BetEsporte,1.01,7.6,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,12.0,4.0,5.0,2.0,7.0,2.0,,,,,,,,,,,,,4.0,3.0,,,,,,,4.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.55,0.45,5.0,3.0,1.0,2.0,4.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,0.47,0.53,7.0,1.0,4.0,0.0,3.0,1.0,,,3.0,2.0,2.0,2.0,0.0,1.0,,,,,,
vVDziKjd,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,15/11/2025,20:00,Promotion,Estudiantes Rio Cuarto,CA Estudiantes,1,0,[45],[],bet365,3.4,1.73,4.75,bet365,2.25,2.82,3.6,bet365,1.83,1.98,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.18,4.5,bet365,1.83,1.83,bet365,4.0,1.25,bet365,10.0,1.06,bet365,21.0,1.02,bet365,2.75,1.4,bet365,1.29,1.4,1.57,bet365,4.5,bet365,6.5,bet365,15.0,bet365,41.0,bet365,4.33,bet365,6.5,bet365,17.0,bet365,41.0,bet365,9.5,bet365,11.0,bet365,29.0,bet365,67.0,bet365,26.0,bet365,34.0,bet365,51.0,bet365,151.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,4.4,1.2,bet365,2.25,1.63,bet365,1.28,3.55,Betnacional,1.06,6.31,Alfabet,1.05,7.8,,0.0,0.0,,0.0,0.0,BetEsporte,28.0,8.2,1.01,Estrelabet,15.0,6.0,1.09,bet365,6.0,3.25,1.57,Estrelabet,1.3,3.8,8.5,BetEsporte,1.03,7.0,24.0,BetEsporte,1.01,8.0,35.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,6.0,7.0,4.0,2.0,2.0,5.0,,,,,,,,,,,,,6.0,5.0,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,5.0,2.0,4.0,0.0,1.0,2.0,,,4.0,1.0,2.0,0.0,,,,,,,,,,,,,0.54,0.46,1.0,5.0,0.0,2.0,1.0,3.0,,,2.0,4.0,0.0,3.0,,,,,,,,
GCSR9mrg,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,22/11/2025,21:15,Promotion,Estudiantes Rio Cuarto,Deportivo Madryn,2,0,"[62, 86]",[],bet365,3.4,1.73,4.75,bet365,2.4,2.55,3.8,bet365,1.83,1.98,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.22,4.0,bet365,1.83,1.83,bet365,4.0,1.25,bet365,9.0,1.07,bet365,23.0,1.01,bet365,2.75,1.4,bet365,1.25,1.5,1.53,bet365,4.0,bet365,6.5,bet365,17.0,bet365,41.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,41.0,bet365,9.5,bet365,13.0,bet365,26.0,bet365,67.0,bet365,23.0,bet365,34.0,bet365,51.0,bet365,126.0,Superbet.br,14.0,1.01,Alfabet,9.6,1.02,bet365,5.9,1.13,bet365,4.5,1.19,bet365,2.38,1.55,bet365,1.26,3.7,Alfabet,1.06,7.2,Superbet.br,1.04,9.3,,0.0,0.0,,0.0,0.0,BetEsporte,25.0,8.2,1.01,Estrelabet,13.0,5.75,1.11,bet365,6.0,3.6,1.53,Estrelabet,1.22,4.33,10.0,BetEsporte,1.03,7.2,24.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,14.0,6.0,8.0,2.0,6.0,4.0,,,,,,,,,,,,,3.0,5.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.46,7.0,3.0,2.0,0.0,5.0,3.0,,,1.0,2.0,0.0,1.0,,,,,,,,,,,,,0.56,0.44,7.0,3.0,6.0,2.0,1.0,1.0,,,2.0,3.0,1.0,2.0,,,,,,,,
SUIf0OT9,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/11/2025,21:10,Promotion,Deportivo Moron,Deportivo Madryn,1,0,[49],[],bet365,3.1,1.73,5.5,bet365,2.1,2.75,4.0,bet365,1.83,1.98,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.22,4.0,bet365,1.83,1.83,bet365,4.0,1.25,bet365,9.0,1.07,bet365,23.0,1.01,bet365,3.0,1.36,bet365,1.22,1.4,1.67,bet365,4.0,bet365,7.0,bet365,19.0,bet365,51.0,bet365,4.5,bet365,6.0,bet365,19.0,bet365,51.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,81.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,151.0,,0.0,0.0,Alfabet,8.8,1.04,bet365,5.0,1.17,bet365,3.8,1.25,bet365,2.15,1.68,bet365,1.22,4.15,Alfabet,1.04,8.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,23.0,8.0,1.02,Estrelabet,11.0,5.5,1.14,bet365,5.0,3.5,1.67,Estrelabet,1.17,4.75,11.0,BetEsporte,1.02,7.4,28.0,BetEsporte,1.01,8.0,40.0,,,,,,,,,,,0.4,0.6,,,,,,,,,,,10.0,3.0,7.0,1.0,3.0,2.0,,,,,,,,,,,,,6.0,0.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.58,6.0,0.0,3.0,0.0,3.0,0.0,,,3.0,0.0,1.0,2.0,,,,,,,,,,,,,0.38,0.62,4.0,3.0,4.0,1.0,0.0,2.0,,,3.0,0.0,2.0,0.0,,,,,,,,
IFPRhtMq,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/11/2025,19:40,Promotion,CA Estudiantes,Estudiantes Rio Cuarto,1,0,[52],[],bet365,2.75,1.73,6.5,bet365,1.91,2.65,5.25,bet365,1.83,1.98,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.2,4.33,bet365,1.83,1.83,bet365,4.0,1.25,bet365,10.0,1.06,bet365,23.0,1.01,bet365,3.25,1.33,bet365,1.17,1.44,1.8,bet365,4.0,bet365,8.5,bet365,23.0,bet365,67.0,bet365,4.33,bet365,6.5,bet365,23.0,bet365,67.0,bet365,7.0,bet365,12.0,bet365,29.0,bet365,101.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,151.0,Alfabet,9.5,1.05,Alfabet,7.8,1.05,bet365,4.15,1.22,bet365,3.1,1.35,bet365,1.95,1.85,bet365,1.15,5.5,Alfabet,1.02,9.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,21.0,7.8,1.03,BetEsporte,10.0,5.0,1.17,bet365,4.33,3.25,1.8,BetEsporte,1.14,4.9,15.0,BetEsporte,1.01,7.6,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,11.0,6.0,6.0,3.0,5.0,3.0,,,,,,,,,,,,,7.0,1.0,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.41,5.0,3.0,3.0,2.0,2.0,1.0,,,5.0,0.0,,,,,,,,,,,,,,,0.55,0.45,6.0,3.0,3.0,1.0,3.0,2.0,,,2.0,1.0,4.0,3.0,,,,,,,,
OxzYiUSr,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,02/11/2025,18:15,Promotion,CA Estudiantes,Tristan Suarez,1,0,[90],[],bet365,3.2,1.83,4.5,bet365,2.25,2.65,3.8,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.17,4.75,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,17.0,1.03,bet365,2.5,1.5,bet365,1.25,1.44,1.57,bet365,4.75,bet365,7.5,bet365,17.0,bet365,41.0,bet365,5.5,bet365,5.5,bet365,15.0,bet365,41.0,bet365,9.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,21.0,bet365,26.0,bet365,41.0,bet365,101.0,,0.0,0.0,Alfabet,9.2,1.03,bet365,5.25,1.16,bet365,4.0,1.23,bet365,2.3,1.6,bet365,1.26,3.7,Alfabet,1.07,6.8,Alfabet,1.06,8.5,,0.0,0.0,,0.0,0.0,BetEsporte,24.0,8.2,1.02,Estrelabet,11.0,5.66,1.13,bet365,5.0,3.75,1.57,Estrelabet,1.23,4.33,9.5,BetEsporte,1.04,7.2,22.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,15.0,2.0,9.0,1.0,6.0,1.0,,,,,,,,,,,,,6.0,2.0,,,,,,,1.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0.47,0.53,7.0,1.0,4.0,1.0,3.0,0.0,,,4.0,1.0,,,,,,,,,,,,,,,0.53,0.47,8.0,1.0,5.0,0.0,3.0,1.0,,,2.0,1.0,1.0,3.0,0.0,3.0,,,,,,
Krh6wVDk,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,02/11/2025,16:00,Promotion,Deportivo Madryn,Gimnasia Jujuy,1,0,[36],[],bet365,3.0,1.8,5.5,bet365,2.05,2.85,4.2,bet365,1.67,2.1,bet365,4.5,1.18,bet365,15.0,1.03,bet365,1.17,5.0,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,19.0,1.02,bet365,2.63,1.44,bet365,1.22,1.4,1.7,bet365,5.0,bet365,7.5,bet365,19.0,bet365,41.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,11.0,bet365,26.0,bet365,67.0,bet365,19.0,bet365,23.0,bet365,51.0,bet365,126.0,,0.0,0.0,Alfabet,8.4,1.04,bet365,4.4,1.2,bet365,3.45,1.3,bet365,2.08,1.73,bet365,1.23,4.0,Alfabet,1.05,7.8,Alfabet,1.04,8.6,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,8.0,1.02,Estrelabet,10.0,5.0,1.17,bet365,4.5,3.5,1.7,Estrelabet,1.16,4.75,12.0,BetEsporte,1.03,7.4,25.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,13.0,7.0,8.0,6.0,5.0,1.0,,,,,,,,,,,,,3.0,7.0,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.53,3.0,4.0,2.0,4.0,1.0,0.0,,,1.0,2.0,0.0,2.0,,,,,,,,,,,,,0.41,0.59,10.0,3.0,6.0,2.0,4.0,1.0,,,2.0,5.0,0.0,1.0,,,,,,,,
W2wtj8ce,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,01/11/2025,13:45,Promotion,Atletico Atlanta,Deportivo Moron,0,0,[],[],bet365,3.2,1.8,4.75,bet365,2.15,2.65,4.2,bet365,1.73,2.08,bet365,4.5,1.18,bet365,17.0,1.03,bet365,1.17,5.0,bet365,1.73,2.0,bet365,3.5,1.3,bet365,8.0,1.08,bet365,19.0,1.02,bet365,2.63,1.44,bet365,1.22,1.44,1.67,bet365,4.5,bet365,7.5,bet365,19.0,bet365,41.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,41.0,bet365,9.0,bet365,10.0,bet365,23.0,bet365,67.0,bet365,21.0,bet365,29.0,bet365,41.0,bet365,101.0,,0.0,0.0,Alfabet,8.8,1.04,bet365,5.5,1.15,bet365,4.0,1.23,bet365,2.2,1.65,bet365,1.23,4.0,Alfabet,1.05,8.0,Alfabet,1.04,10.0,,0.0,0.0,,0.0,0.0,BetEsporte,23.0,8.0,1.02,Estrelabet,10.0,5.5,1.15,bet365,5.5,3.4,1.67,Estrelabet,1.15,5.0,12.0,BetEsporte,1.02,7.4,26.0,BetEsporte,1.01,8.0,35.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,5.0,6.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,7.0,6.0,,,,,,,3.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.65,0.35,2.0,3.0,1.0,0.0,1.0,3.0,,,5.0,2.0,2.0,2.0,,,,,,,,,,,,,0.5,0.5,3.0,3.0,2.0,1.0,1.0,2.0,,,2.0,4.0,1.0,2.0,,,,,,,,
hdjEy9r2,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,31/10/2025,21:10,Promotion,Estudiantes Rio Cuarto,Gimnasia y Tiro,2,0,"[32, 68]",[],bet365,3.5,1.8,4.33,bet365,2.5,2.57,3.4,bet365,1.75,2.05,bet365,5.0,1.17,bet365,17.0,1.03,bet365,1.2,4.33,bet365,1.73,2.0,bet365,3.6,1.29,bet365,8.0,1.08,bet365,19.0,1.02,bet365,2.63,1.44,bet365,1.3,1.44,1.5,bet365,4.33,bet365,6.5,bet365,15.0,bet365,41.0,bet365,5.5,bet365,5.5,bet365,15.0,bet365,41.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,26.0,bet365,29.0,bet365,51.0,bet365,101.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,26.0,8.2,1.01,Estrelabet,15.0,6.0,1.09,bet365,6.0,3.75,1.5,Estrelabet,1.27,4.2,8.0,BetEsporte,1.04,7.0,22.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,11.0,3.0,8.0,1.0,3.0,2.0,,,,,,,,,,,,,3.0,4.0,,,,,,,0.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.51,0.49,4.0,1.0,4.0,0.0,0.0,1.0,,,2.0,2.0,0.0,1.0,,,,,,,,,,,,,0.45,0.55,7.0,2.0,4.0,1.0,3.0,1.0,,,1.0,2.0,0.0,2.0,0.0,1.0,,,,,,
