Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
E9XIRWCr,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,16/12/2024,21:00,Round 27,Atl. Tucuman,Central Cordoba,2,0,"[10, 49]",[],bet365,2.6,2.0,5.5,bet365,1.85,3.4,4.5,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.18,1.3,1.91,bet365,7.5,bet365,9.5,bet365,21.0,bet365,51.0,bet365,5.5,bet365,6.5,bet365,15.0,bet365,41.0,bet365,7.5,bet365,9.0,bet365,21.0,bet365,51.0,bet365,15.0,bet365,17.0,bet365,34.0,bet365,81.0,,0.0,0.0,bet365,6.8,1.11,bet365,3.45,1.3,bet365,2.6,1.48,bet365,1.85,2.0,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,18.5,9.5,1.09,Betano.br,8.25,5.3,1.3,bet365,3.5,3.5,1.91,Betano.br,1.2,5.8,13.0,Betano.br,1.04,11.25,30.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,12.0,5.0,4.0,0.0,8.0,3.0,0.0,2.0,,,,,,,,,,,2.0,7.0,15.0,14.0,28.0,33.0,15.0,13.0,0.0,2.0,,,5.0,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,0.54,0.46,6.0,3.0,2.0,0.0,4.0,2.0,,,1.0,4.0,0.0,1.0,4.0,9.0,2.0,1.0,0.0,1.0,,,,,,,0.56,0.44,6.0,2.0,2.0,0.0,4.0,1.0,,,1.0,3.0,0.0,1.0,,,11.0,4.0,3.0,3.0,0.0,1.0
dn2dujsr,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,16/12/2024,21:00,Round 27,Ind. Rivadavia,Dep. Riestra,0,0,[],[],bet365,2.5,2.0,5.5,bet365,1.8,3.5,4.75,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.5,1.18,bet365,10.0,1.06,bet365,2.1,1.67,bet365,1.18,1.29,1.95,bet365,7.5,bet365,10.0,bet365,23.0,bet365,51.0,bet365,5.5,bet365,6.5,bet365,17.0,bet365,41.0,bet365,7.5,bet365,9.0,bet365,21.0,bet365,51.0,bet365,15.0,bet365,17.0,bet365,34.0,bet365,81.0,,0.0,0.0,bet365,6.4,1.12,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.8,2.05,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,16.0,8.75,1.11,Betano.br,7.1,5.0,1.36,bet365,3.4,3.5,1.95,Betano.br,1.18,6.2,14.5,Betano.br,1.04,11.75,32.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.75,0.25,0.84,0.41,,,,,,,,,6.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,,,,,,,,,,,6.0,2.0,15.0,6.0,27.0,22.0,4.0,17.0,3.0,2.0,,,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.72,0.28,2.0,2.0,1.0,0.0,1.0,1.0,,,2.0,2.0,0.0,1.0,3.0,7.0,2.0,1.0,0.0,1.0,,,,,,,0.79,0.21,4.0,2.0,2.0,1.0,2.0,1.0,,,4.0,0.0,3.0,1.0,,,1.0,10.0,0.0,1.0,1.0,2.0
AyRRPAse,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,15/12/2024,19:30,Round 27,Talleres Cordoba,Newells Old Boys,1,3,[65],"[60, 84, 90]",bet365,1.73,2.4,11.0,bet365,1.25,5.5,13.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.88,1.98,bet365,3.25,1.33,bet365,6.0,1.13,bet365,2.63,1.44,bet365,1.04,1.14,3.75,bet365,10.0,bet365,23.0,bet365,51.0,bet365,201.0,bet365,5.5,bet365,11.0,bet365,34.0,bet365,101.0,bet365,5.0,bet365,9.5,bet365,29.0,bet365,101.0,bet365,7.0,bet365,13.0,bet365,41.0,bet365,126.0,bet365,3.1,1.35,bet365,2.38,1.55,bet365,1.78,2.03,bet365,1.38,3.0,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.9,5.3,1.39,bet365,3.1,4.0,1.95,Betano.br,1.78,3.7,4.05,Betano.br,1.05,10.25,32.0,BetEsporte,1.01,11.0,60.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,0.84,0.65,,,,,,,,,25.0,15.0,3.0,9.0,12.0,3.0,10.0,3.0,,,,,,,,,,,6.0,2.0,8.0,15.0,21.0,17.0,14.0,8.0,2.0,4.0,,,4.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,0.67,0.33,10.0,8.0,2.0,3.0,3.0,3.0,,,1.0,2.0,0.0,1.0,7.0,4.0,2.0,1.0,3.0,2.0,,,,,,,0.59,0.41,15.0,7.0,1.0,6.0,9.0,0.0,,,5.0,0.0,2.0,3.0,,,7.0,4.0,2.0,0.0,3.0,0.0
2qqZNlC7,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,15/12/2024,19:30,Round 27,Velez Sarsfield,Huracan,2,0,"[30, 41]",[],bet365,2.63,1.95,5.0,bet365,1.85,3.25,4.5,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62,bet365,1.18,1.33,1.91,bet365,7.0,bet365,9.5,bet365,21.0,bet365,51.0,bet365,5.5,bet365,6.5,bet365,17.0,bet365,41.0,bet365,7.5,bet365,9.0,bet365,21.0,bet365,51.0,bet365,15.0,bet365,19.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,3.55,1.28,bet365,2.75,1.43,bet365,1.9,1.95,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,20.0,9.75,1.08,Betano.br,8.75,5.5,1.28,bet365,3.6,3.5,1.91,Betano.br,1.23,5.5,11.75,Betano.br,1.05,10.75,28.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.56,0.44,0.79,0.66,,,,,,,,,13.0,4.0,5.0,0.0,6.0,3.0,2.0,1.0,,,,,,,,,,,2.0,0.0,16.0,19.0,32.0,29.0,17.0,14.0,3.0,4.0,,,1.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.59,0.41,9.0,2.0,5.0,0.0,2.0,1.0,,,2.0,0.0,2.0,1.0,7.0,5.0,0.0,1.0,0.0,3.0,,,,,,,0.53,0.47,4.0,2.0,0.0,0.0,4.0,2.0,,,0.0,0.0,1.0,3.0,,,10.0,9.0,1.0,2.0,0.0,0.0
4lNHnYl8,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,15/12/2024,17:00,Round 27,Defensa y Justicia,Union de Santa Fe,0,0,[],[],bet365,2.75,2.0,4.5,bet365,2.0,3.25,4.0,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.05,1.7,bet365,1.22,1.33,1.8,bet365,7.5,bet365,9.5,bet365,19.0,bet365,41.0,bet365,6.0,bet365,6.0,bet365,15.0,bet365,41.0,bet365,8.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,19.0,bet365,34.0,bet365,67.0,,0.0,0.0,bet365,6.8,1.11,bet365,3.8,1.25,bet365,3.0,1.38,bet365,2.03,1.83,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.0,1.07,Betano.br,9.25,5.7,1.26,bet365,4.0,3.6,1.8,Betano.br,1.24,5.4,11.75,Betano.br,1.05,10.75,28.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.54,0.46,0.83,0.71,,,,,,,,,11.0,11.0,4.0,3.0,5.0,5.0,2.0,3.0,,,,,,,,,,,6.0,1.0,10.0,8.0,13.0,24.0,8.0,10.0,0.0,1.0,,,0.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.62,0.38,8.0,6.0,1.0,2.0,5.0,3.0,,,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,,,,,,,0.46,0.54,3.0,5.0,3.0,1.0,0.0,2.0,,,3.0,1.0,,,,,5.0,7.0,0.0,1.0,1.0,3.0
4bQVOUd1,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,15/12/2024,17:00,Round 27,Platense,Gimnasia L.P.,1,0,[1],[],bet365,2.6,1.83,6.5,bet365,1.8,3.1,5.5,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.62,2.2,bet365,3.1,1.36,bet365,6.5,1.11,bet365,17.0,1.03,bet365,2.63,1.44,bet365,1.14,1.36,1.95,bet365,5.5,bet365,9.5,bet365,26.0,bet365,67.0,bet365,4.5,bet365,6.5,bet365,21.0,bet365,51.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,126.0,,0.0,0.0,,0.0,0.0,bet365,3.55,1.28,bet365,2.6,1.48,bet365,1.8,2.05,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,9.75,1.07,Betano.br,9.25,5.4,1.27,bet365,3.5,3.25,1.95,Betano.br,1.19,5.8,15.5,Betano.br,1.03,11.75,37.0,BetEsporte,1.01,11.0,50.0,,,,,,,,,,,0.39,0.61,0.69,0.79,,,,,,,,,14.0,5.0,4.0,0.0,6.0,3.0,4.0,2.0,,,,,,,,,,,6.0,7.0,16.0,10.0,25.0,26.0,11.0,16.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.37,0.63,3.0,4.0,3.0,0.0,0.0,3.0,,,2.0,4.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,2.0,,,,,,,0.41,0.59,11.0,1.0,1.0,0.0,6.0,0.0,,,4.0,3.0,1.0,2.0,1.0,1.0,7.0,12.0,2.0,1.0,0.0,1.0
OEL5y8t7,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,14/12/2024,21:15,Round 27,Racing Club,River Plate,1,0,[35],[],bet365,4.0,2.25,2.6,bet365,3.8,3.5,1.95,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.8,1.29,1.25,bet365,13.0,bet365,8.5,bet365,10.0,bet365,17.0,bet365,13.0,bet365,7.0,bet365,8.5,bet365,15.0,bet365,21.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,3.55,1.28,bet365,1.88,1.98,bet365,1.45,2.68,bet365,1.3,3.45,bet365,1.12,6.25,,0.0,0.0,Betano.br,32.0,14.5,1.02,Betano.br,19.0,9.25,1.09,Betano.br,8.25,5.2,1.3,bet365,1.8,4.0,3.4,Betano.br,1.29,5.7,7.8,Betano.br,1.09,9.5,16.5,,,,,,,,,,,0.4,0.6,0.69,0.74,,,,,,,,,13.0,18.0,6.0,9.0,6.0,7.0,1.0,2.0,,,,,,,,,,,6.0,8.0,18.0,20.0,21.0,20.0,18.0,17.0,3.0,3.0,,,3.0,2.0,9.0,5.0,,,,,,,,,,,,,,,,,,,0.43,0.57,6.0,5.0,4.0,0.0,2.0,4.0,,,4.0,4.0,2.0,2.0,9.0,9.0,2.0,2.0,0.0,3.0,,,,,,,0.37,0.63,7.0,13.0,2.0,9.0,4.0,3.0,,,2.0,4.0,1.0,1.0,,,9.0,8.0,1.0,0.0,9.0,2.0
WpSNQjSl,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,14/12/2024,19:15,Round 27,Boca Juniors,Independiente,0,0,[],[],bet365,3.0,1.91,4.5,bet365,2.15,3.1,3.6,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.29,1.36,1.67,bet365,6.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,5.5,bet365,6.0,bet365,13.0,bet365,41.0,bet365,9.0,bet365,10.0,bet365,19.0,bet365,51.0,bet365,21.0,bet365,21.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,3.55,1.28,bet365,2.15,1.68,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,26.0,11.5,1.05,Betano.br,12.0,6.3,1.19,bet365,4.5,3.6,1.67,Betano.br,1.31,4.8,9.25,Betano.br,1.07,9.5,23.0,Betano.br,1.02,15.0,37.0,,,,,,,,,,,0.5,0.5,0.83,0.78,,,,,,,,,9.0,15.0,2.0,5.0,5.0,9.0,2.0,1.0,,,,,,,,,,,3.0,6.0,21.0,14.0,25.0,26.0,16.0,20.0,2.0,2.0,,,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,0.57,0.43,7.0,6.0,2.0,2.0,4.0,4.0,,,1.0,2.0,2.0,1.0,9.0,9.0,1.0,1.0,2.0,2.0,,,,,,,0.42,0.58,2.0,9.0,0.0,3.0,1.0,5.0,,,2.0,4.0,0.0,1.0,,,7.0,11.0,0.0,0.0,3.0,0.0
CEQPpCJK,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,14/12/2024,17:00,Round 27,Instituto,Godoy Cruz,1,3,[13],"[17, 59, 87]",bet365,2.5,2.2,4.75,bet365,1.85,3.7,4.2,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.91,1.91,bet365,1.22,1.29,1.91,bet365,10.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,7.0,bet365,7.0,bet365,13.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.85,2.0,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,9.25,1.1,Betano.br,7.6,5.3,1.31,bet365,3.25,3.75,1.91,Betano.br,1.23,5.7,11.0,Betano.br,1.06,10.75,25.0,Betano.br,1.01,15.5,37.0,,,,,,,,,,,0.53,0.47,0.73,0.81,,,,,,,,,16.0,13.0,5.0,6.0,10.0,3.0,1.0,4.0,,,,,,,,,,,5.0,4.0,13.0,16.0,27.0,15.0,18.0,12.0,2.0,0.0,,,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.47,0.53,9.0,6.0,3.0,2.0,5.0,1.0,,,3.0,1.0,2.0,0.0,7.0,5.0,1.0,1.0,1.0,2.0,,,,,,,0.59,0.41,7.0,7.0,2.0,4.0,5.0,2.0,,,2.0,3.0,,,,,11.0,7.0,0.0,1.0,2.0,2.0
r348xlR0,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,14/12/2024,17:00,Round 27,Rosario Central,Belgrano,2,1,"[6, 60]",[64],bet365,3.0,2.0,4.0,bet365,2.2,3.2,3.5,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.0,1.75,bet365,1.29,1.36,1.67,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,6.5,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.5,bet365,9.5,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.1,1.7,bet365,1.3,3.45,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,11.0,1.06,Betano.br,11.0,6.2,1.21,bet365,4.5,3.75,1.67,Betano.br,1.31,4.85,9.0,Betano.br,1.08,9.25,22.0,Betano.br,1.02,14.5,37.0,,,,,,,,,,,0.51,0.49,0.78,0.79,,,,,,,,,13.0,20.0,4.0,4.0,8.0,9.0,1.0,7.0,,,,,,,,,,,5.0,11.0,16.0,6.0,27.0,19.0,6.0,17.0,2.0,4.0,,,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.52,0.48,5.0,10.0,1.0,3.0,4.0,3.0,,,3.0,7.0,1.0,3.0,4.0,7.0,1.0,2.0,3.0,0.0,,,,,,,0.5,0.5,8.0,10.0,3.0,1.0,4.0,6.0,,,2.0,4.0,1.0,1.0,,,2.0,10.0,1.0,2.0,0.0,2.0
