Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
zibluIHs,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,28/02/2026,23:00,Round 19,Wellington Phoenix,Sydney FC,0,1,[],[49],bet365,4.0,2.5,2.38,bet365,3.7,4.0,1.81,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.38,1.57,bet365,4.0,1.25,bet365,1.53,2.38,bet365,1.91,1.22,1.29,bet365,17.0,bet365,11.0,bet365,11.0,bet365,17.0,bet365,15.0,bet365,8.0,bet365,8.5,bet365,13.0,bet365,23.0,bet365,13.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,26.0,bet365,29.0,bet365,34.0,SeguroBet,11.2,1.02,SeguroBet,10.85,1.02,bet365,7.0,1.1,bet365,7.0,1.1,bet365,3.7,1.26,bet365,2.03,1.83,bet365,1.55,2.38,bet365,1.38,3.0,bet365,1.16,5.25,bet365,1.13,5.9,BetEsporte,29.0,12.0,1.01,Betano.br,16.5,9.25,1.1,Betano.br,7.6,5.5,1.3,bet365,1.91,4.0,3.1,Betano.br,1.36,5.4,6.3,Betano.br,1.13,8.5,13.0,0.97,1.7,0.18,1.93,0.6,1.01,1.93,0.18,0.93,0.18,0.46,0.54,0.77,0.79,0.5,0.3,0.6,0.59,0.0,0.0,0.29,0.22,12.0,10.0,3.0,3.0,6.0,4.0,3.0,3.0,9.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,16.0,21.0,5.0,4.0,9.0,13.0,29.0,13.0,13.0,9.0,3.0,1.0,,,3.0,4.0,2.0,3.0,0.63,0.36,47.0,48.0,18.0,26.0,10.0,6.0,0.0,1.0,0.0,0.0,0.64,0.35,0.08,0.0,0.29,0.07,0.47,0.53,5.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,4.0,2.0,1.0,0.0,1.0,0.33,1.35,0.1,1.93,0.31,0.94,0.44,0.56,7.0,7.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,,,4.0,5.0,1.0,3.0,2.0,2.0
tIKVdYP0,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,28/02/2026,05:35,Round 19,Macarthur FC,WS Wanderers,0,4,[],"[6, 24, 43, 70]",bet365,3.0,2.4,3.0,bet365,2.45,3.6,2.55,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.3,1.62,bet365,4.0,1.25,bet365,1.44,2.63,bet365,1.5,1.29,1.5,bet365,17.0,bet365,13.0,bet365,17.0,bet365,26.0,bet365,13.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,26.0,bet365,17.0,bet365,21.0,bet365,29.0,Superbet.br,8.4,1.04,1xBet,7.86,1.08,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.42,1.53,bet365,1.5,2.5,bet365,1.23,4.0,bet365,1.18,4.8,1xBet,1.06,8.95,1xBet,1.05,10.3,Betano.br,20.0,11.25,1.06,Betano.br,10.25,6.9,1.2,bet365,4.75,4.75,1.5,Betano.br,1.5,4.55,5.2,Betano.br,1.17,7.3,11.5,BetEsporte,1.03,10.0,21.0,1.39,1.97,0.77,2.93,1.83,0.98,2.93,0.77,-1.07,0.77,0.61,0.39,0.84,0.78,0.65,0.45,0.76,0.67,0.0,0.0,0.3,0.4,19.0,6.0,3.0,5.0,10.0,1.0,6.0,0.0,13.0,5.0,6.0,1.0,6.0,5.0,1.0,0.0,48.0,12.0,8.0,2.0,12.0,5.0,29.0,15.0,5.0,12.0,2.0,2.0,,,0.0,1.0,1.0,4.0,0.63,0.57,53.0,36.0,11.0,49.0,7.0,13.0,1.0,0.0,2.0,0.0,0.78,1.57,0.21,2.16,0.46,0.78,0.58,0.42,9.0,5.0,1.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,2.0,0.61,0.4,0.56,0.77,1.37,0.2,0.63,0.37,10.0,1.0,2.0,1.0,5.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,,,4.0,5.0,0.0,0.0,0.0,2.0
YiHNbfel,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,28/02/2026,04:00,Round 19,Brisbane Roar,Perth Glory,1,1,[16],[19],bet365,2.63,2.1,4.33,bet365,1.96,3.4,3.8,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.2,bet365,2.2,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.95,1.8,bet365,1.25,1.3,1.8,bet365,8.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,Superbet.br,7.8,1.05,1xBet,7.68,1.09,bet365,3.8,1.25,bet365,3.0,1.38,bet365,2.03,1.83,bet365,1.26,3.7,bet365,1.1,7.0,Superbet.br,1.05,7.9,,0.0,0.0,,0.0,0.0,Betano.br,19.0,9.75,1.08,Betano.br,8.75,5.7,1.27,bet365,3.75,3.75,1.8,Betano.br,1.28,5.2,9.75,Betano.br,1.07,9.75,23.0,BetEsporte,1.01,11.0,35.0,1.89,0.53,1.35,0.0,2.03,0.99,0.0,1.35,0.0,0.35,0.56,0.44,0.85,0.79,0.48,0.28,0.79,0.57,1.0,1.0,0.44,0.36,20.0,9.0,6.0,0.0,7.0,5.0,7.0,4.0,16.0,5.0,4.0,4.0,5.0,1.0,1.0,0.0,39.0,12.0,7.0,5.0,8.0,9.0,20.0,22.0,9.0,8.0,3.0,1.0,,,1.0,1.0,0.0,4.0,0.69,0.46,48.0,36.0,13.0,31.0,10.0,4.0,0.0,0.0,0.0,0.0,0.6,0.15,0.31,0.0,0.84,0.39,0.51,0.49,7.0,4.0,3.0,0.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.29,0.38,1.04,0.0,1.19,0.6,0.6,0.4,13.0,5.0,3.0,0.0,3.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,,,5.0,3.0,0.0,1.0,0.0,3.0
lKui4GXQ,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,28/02/2026,03:00,Round 19,Central Coast Mariners,Newcastle Jets,0,0,[],[],bet365,4.0,2.75,2.1,bet365,4.33,4.2,1.66,bet365,1.2,4.33,bet365,1.91,1.8,bet365,4.0,1.22,bet365,1.01,21.0,bet365,1.1,7.0,bet365,1.36,3.2,bet365,1.91,1.91,bet365,3.0,1.4,bet365,1.4,2.75,bet365,2.1,1.22,1.2,bet365,26.0,bet365,13.0,bet365,12.0,bet365,17.0,bet365,23.0,bet365,9.0,bet365,9.0,bet365,12.0,bet365,29.0,bet365,15.0,bet365,11.0,bet365,17.0,bet365,51.0,bet365,29.0,bet365,26.0,bet365,26.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.2,1.06,1xBet,7.25,1.1,bet365,4.0,1.23,bet365,2.15,1.68,bet365,1.7,2.1,bet365,1.48,2.6,bet365,1.23,4.0,bet365,1.18,4.65,BetEsporte,29.0,12.0,1.01,Betano.br,18.0,10.25,1.08,Betano.br,8.5,6.2,1.25,bet365,2.1,4.33,2.63,Betano.br,1.47,5.1,4.8,Betano.br,1.19,7.5,9.25,0.51,1.01,1.32,0.39,0.87,1.14,0.39,1.32,-0.61,1.32,0.44,0.56,0.79,0.85,0.41,0.65,0.64,0.72,0.0,1.0,0.14,0.18,13.0,13.0,6.0,4.0,4.0,4.0,3.0,5.0,6.0,9.0,7.0,4.0,1.0,1.0,0.0,1.0,17.0,26.0,5.0,4.0,8.0,8.0,25.0,34.0,8.0,8.0,1.0,1.0,,,5.0,2.0,3.0,6.0,0.66,0.5,58.0,56.0,28.0,34.0,15.0,4.0,1.0,0.0,0.0,0.0,0.23,0.86,0.97,0.33,0.2,0.84,0.5,0.5,7.0,9.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,,,5.0,5.0,3.0,2.0,2.0,3.0,0.28,0.15,0.35,0.06,0.67,0.3,0.38,0.62,6.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,3.0,3.0,2.0,0.0,1.0,3.0
G6HHpvfK,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,28/02/2026,01:00,Round 19,Auckland FC,Melbourne City,3,0,"[43, 59, 66]",[],bet365,2.88,2.1,4.0,bet365,2.1,3.3,3.4,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.07,9.0,bet365,1.33,3.4,bet365,2.1,1.73,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.3,1.33,1.67,bet365,9.0,bet365,10.0,bet365,17.0,bet365,34.0,bet365,7.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,Superbet.br,8.4,1.04,1xBet,8.17,1.08,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.33,3.3,bet365,1.12,6.4,bet365,1.1,7.0,SeguroBet,1.02,11.3,,0.0,0.0,Betano.br,19.0,10.25,1.07,Betano.br,9.0,6.0,1.24,bet365,4.33,4.0,1.67,Betano.br,1.35,4.85,7.5,Betano.br,1.1,8.75,17.5,BetEsporte,1.01,11.0,30.0,2.97,0.51,3.08,0.21,1.64,0.61,0.21,3.08,0.21,0.08,0.43,0.57,0.69,0.77,0.4,0.26,0.61,0.58,1.0,0.0,0.17,0.3,17.0,11.0,9.0,2.0,3.0,5.0,5.0,4.0,12.0,7.0,5.0,4.0,5.0,1.0,0.0,0.0,29.0,19.0,9.0,7.0,10.0,13.0,18.0,30.0,13.0,10.0,0.0,1.0,,,4.0,3.0,2.0,5.0,0.63,0.76,61.0,63.0,32.0,33.0,9.0,7.0,1.0,0.0,0.0,0.0,1.25,0.26,1.39,0.1,0.69,0.27,0.49,0.51,8.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,5.0,4.0,0.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.72,0.25,1.69,0.11,0.95,0.34,0.37,0.63,9.0,7.0,6.0,1.0,0.0,3.0,3.0,0.0,4.0,3.0,,,,,9.0,6.0,3.0,1.0,1.0,3.0
tfxq6x3E,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,27/02/2026,05:35,Round 19,Melbourne Victory,Adelaide United,1,1,[26],[35],bet365,2.05,2.63,4.75,bet365,1.56,4.33,5.0,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.75,bet365,2.1,1.73,bet365,3.5,1.3,bet365,1.5,2.5,bet365,1.17,1.2,2.3,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,12.0,bet365,9.0,bet365,17.0,bet365,34.0,bet365,11.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,13.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,4.4,1.2,bet365,3.7,1.26,bet365,2.42,1.53,bet365,2.0,1.85,bet365,1.6,2.3,bet365,1.18,4.65,SeguroBet,1.07,7.7,Superbet.br,1.05,8.3,,0.0,0.0,,0.0,0.0,Betano.br,8.75,7.1,1.21,Betano.br,4.45,4.85,1.55,bet365,2.4,4.0,2.3,Betano.br,1.2,6.6,10.5,BetEsporte,1.04,10.0,21.0,BetEsporte,1.01,12.0,35.0,2.07,2.05,1.78,0.8,1.5,0.94,0.8,1.78,-0.2,0.78,0.45,0.55,0.77,0.81,0.42,0.32,0.66,0.63,3.0,1.0,0.07,0.25,19.0,12.0,7.0,6.0,7.0,5.0,5.0,1.0,12.0,6.0,7.0,6.0,4.0,4.0,0.0,1.0,26.0,14.0,4.0,2.0,10.0,7.0,21.0,28.0,7.0,10.0,4.0,1.0,,,1.0,3.0,5.0,6.0,0.58,0.61,53.0,42.0,16.0,34.0,13.0,6.0,0.0,2.0,0.0,1.0,1.26,1.0,0.73,0.72,0.74,0.63,0.4,0.6,9.0,5.0,3.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,7.0,0.0,3.0,3.0,2.0,0.81,1.05,1.05,0.08,0.76,0.31,0.51,0.49,10.0,7.0,4.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,3.0,1.0,,,4.0,3.0,1.0,0.0,2.0,4.0
2BX3rZA7,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,22/02/2026,04:00,Round 18,Newcastle Jets,Macarthur FC,1,0,[54],[],bet365,2.05,2.88,4.0,bet365,1.62,4.5,4.33,bet365,1.14,5.5,bet365,1.73,2.0,bet365,3.4,1.3,Betano.br,1.02,16.0,bet365,1.07,9.0,bet365,1.25,4.0,bet365,1.67,2.2,bet365,2.5,1.53,bet365,1.3,3.4,bet365,1.2,1.18,2.15,bet365,34.0,bet365,29.0,bet365,34.0,bet365,51.0,bet365,19.0,bet365,11.0,bet365,17.0,bet365,29.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,23.0,bet365,17.0,bet365,12.0,bet365,15.0,bet365,23.0,bet365,4.25,1.21,bet365,3.55,1.27,bet365,2.5,1.5,bet365,2.03,1.78,bet365,1.65,2.2,bet365,1.23,4.1,bet365,1.1,7.0,Superbet.br,1.07,7.1,SeguroBet,1.02,10.95,SeguroBet,1.02,11.2,Betano.br,9.0,7.6,1.19,Betano.br,4.75,5.3,1.47,bet365,2.5,4.5,2.15,Betano.br,1.3,6.0,7.1,Betano.br,1.11,9.25,14.5,BetEsporte,1.01,12.0,25.0,0.85,2.16,0.88,0.22,0.74,2.8,0.22,0.88,0.22,-0.12,0.47,0.53,0.8,0.8,0.19,0.56,0.72,0.72,1.0,2.0,0.13,0.27,13.0,25.0,7.0,3.0,1.0,14.0,5.0,8.0,9.0,20.0,4.0,5.0,0.0,6.0,1.0,0.0,18.0,48.0,4.0,8.0,14.0,17.0,27.0,31.0,17.0,14.0,2.0,1.0,,,0.0,3.0,3.0,6.0,0.67,0.64,46.0,62.0,38.0,13.0,7.0,10.0,1.0,1.0,0.0,0.0,0.52,0.93,0.38,0.22,0.64,1.57,0.52,0.48,7.0,10.0,4.0,3.0,0.0,4.0,0.0,4.0,4.0,2.0,1.0,0.0,9.0,6.0,0.0,1.0,3.0,4.0,0.33,1.23,0.5,0.0,0.1,1.23,0.41,0.59,6.0,15.0,3.0,0.0,1.0,10.0,0.0,2.0,0.0,6.0,1.0,1.0,,,8.0,8.0,0.0,2.0,0.0,2.0
UcZepete,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,22/02/2026,03:00,Round 18,Central Coast Mariners,WS Wanderers,3,2,"[55, 77, 89]","[8, 69]",bet365,4.75,2.4,2.25,bet365,4.33,4.2,1.68,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.67,2.2,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.67,2.1,bet365,2.05,1.22,1.2,bet365,15.0,bet365,8.5,bet365,9.0,bet365,13.0,bet365,15.0,bet365,7.5,bet365,8.5,bet365,13.0,bet365,23.0,bet365,15.0,bet365,15.0,bet365,21.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Superbet.br,8.4,1.04,1xBet,7.68,1.09,bet365,4.15,1.22,bet365,2.1,1.7,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.18,4.65,bet365,1.14,5.75,BetEsporte,35.0,12.0,1.01,Betano.br,22.0,10.5,1.06,Betano.br,10.25,6.1,1.22,bet365,2.05,3.75,2.88,Betano.br,1.44,4.9,5.4,Betano.br,1.16,7.7,11.25,1.02,2.55,2.06,2.27,0.25,1.85,2.27,2.06,0.27,-0.94,0.32,0.68,0.78,0.9,0.25,0.5,0.51,0.75,0.0,0.0,0.13,0.25,8.0,20.0,4.0,8.0,2.0,7.0,2.0,5.0,5.0,12.0,3.0,8.0,3.0,5.0,1.0,2.0,17.0,32.0,1.0,3.0,8.0,7.0,17.0,27.0,7.0,8.0,3.0,2.0,,,1.0,3.0,5.0,1.0,0.71,0.71,35.0,44.0,39.0,20.0,8.0,7.0,0.0,0.0,0.0,0.0,0.19,1.39,0.0,1.02,0.02,0.77,0.33,0.67,1.0,11.0,0.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.83,1.16,2.06,1.25,0.23,1.08,0.32,0.68,7.0,9.0,4.0,3.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,,,4.0,5.0,0.0,3.0,2.0,1.0
YVumnHBr,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,21/02/2026,05:35,Round 18,Melbourne City,Melbourne Victory,1,3,[32],"[20, 64, 89]",bet365,3.1,2.2,3.25,bet365,2.45,3.5,2.7,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.9,1.95,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.4,1.29,1.5,bet365,11.0,bet365,9.5,bet365,15.0,bet365,29.0,bet365,9.0,bet365,6.5,bet365,10.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,Superbet.br,9.3,1.04,1xBet,8.5,1.04,bet365,5.0,1.17,bet365,4.0,1.23,bet365,2.42,1.53,bet365,1.45,2.68,bet365,1.19,4.5,bet365,1.14,5.75,1xBet,1.02,10.0,1xBet,1.01,11.0,Betano.br,21.0,11.25,1.06,Betano.br,10.5,6.6,1.2,bet365,5.0,4.33,1.5,Betano.br,1.44,4.55,6.0,Betano.br,1.14,7.7,14.0,,0.0,0.0,0.0,1.29,1.71,1.3,2.38,1.02,0.97,2.38,1.3,-0.62,0.3,0.56,0.44,0.79,0.75,0.43,0.48,0.67,0.68,0.0,0.0,0.31,0.19,8.0,19.0,4.0,7.0,2.0,10.0,2.0,2.0,5.0,10.0,3.0,9.0,3.0,2.0,0.0,1.0,12.0,34.0,5.0,5.0,10.0,12.0,28.0,26.0,12.0,10.0,1.0,1.0,,,2.0,0.0,4.0,3.0,0.55,0.6,52.0,62.0,39.0,31.0,6.0,9.0,4.0,0.0,2.0,0.0,1.01,1.4,1.17,1.57,0.88,0.58,0.51,0.49,3.0,11.0,3.0,4.0,0.0,5.0,2.0,2.0,2.0,3.0,,,5.0,4.0,2.0,0.0,3.0,2.0,0.28,0.31,0.13,0.81,0.14,0.39,0.61,0.39,5.0,8.0,1.0,3.0,2.0,5.0,1.0,0.0,3.0,2.0,1.0,1.0,,,7.0,6.0,0.0,0.0,1.0,1.0
2mkHiwlL,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA 1,21/02/2026,03:00,Round 18,Sydney FC,Brisbane Roar,1,0,[54],[],bet365,2.1,2.5,4.75,bet365,1.61,4.1,5.0,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.3,1.62,bet365,4.0,1.25,bet365,1.57,2.25,bet365,1.17,1.22,2.2,bet365,17.0,bet365,19.0,bet365,29.0,bet365,51.0,bet365,9.5,bet365,8.0,bet365,17.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,13.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.8,1.18,bet365,4.0,1.23,bet365,2.6,1.48,bet365,2.05,1.75,bet365,1.63,2.25,bet365,1.18,4.65,1xBet,1.1,7.27,Superbet.br,1.04,8.9,,0.0,0.0,,0.0,0.0,Betano.br,10.0,7.3,1.19,Betano.br,4.9,4.8,1.5,bet365,2.6,4.0,2.2,Betano.br,1.2,6.4,10.75,BetEsporte,1.04,9.8,23.0,BetEsporte,1.01,12.0,35.0,1.24,0.51,0.92,0.46,0.62,0.46,0.46,0.92,0.46,-0.08,0.65,0.35,0.89,0.75,0.5,0.35,0.73,0.58,0.0,0.0,0.29,0.1,15.0,12.0,5.0,5.0,6.0,7.0,4.0,0.0,8.0,6.0,7.0,6.0,1.0,1.0,0.0,0.0,22.0,8.0,4.0,5.0,16.0,12.0,22.0,18.0,12.0,16.0,1.0,3.0,,,4.0,0.0,5.0,4.0,0.93,0.6,49.0,48.0,19.0,17.0,8.0,9.0,0.0,1.0,0.0,0.0,0.46,0.12,0.43,0.13,0.39,0.17,0.67,0.33,7.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,,,7.0,7.0,1.0,0.0,3.0,2.0,0.78,0.39,0.49,0.33,0.23,0.29,0.62,0.38,8.0,8.0,3.0,2.0,4.0,6.0,1.0,1.0,1.0,3.0,1.0,3.0,,,5.0,9.0,3.0,0.0,2.0,2.0
