Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
hxjWKS0E,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,25/05/2025,12:00,Round 30,A. Lustenau,ASK Voitsberg,3,0,"[6, 15, 56]",[],Betfair,3.1,2.1,3.3,Betfair,2.5,3.3,2.45,Betano.br,1.44,2.6,Betano.br,2.82,1.38,Betano.br,6.2,1.09,Betfair,1.03,9.0,Betfair,1.22,3.8,Betfair,1.85,1.91,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.6,2.2,Betfair,1.44,1.25,1.44,Betfair,8.5,Betfair,8.0,Betfair,11.0,Betfair,23.0,Betfair,8.0,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,10.0,Betfair,8.0,Betfair,10.0,Betfair,21.0,Betfair,21.0,Betfair,15.0,Betfair,21.0,Betfair,36.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.65,1.14,Estrelabet,4.0,1.2,Betano.br,2.67,1.44,Betano.br,1.53,2.4,,0.0,0.0,Superbet.br,1.15,4.5,,0.0,0.0,,0.0,0.0,Esportes da Sorte,25.74,11.09,1.03,Betano.br,12.0,7.1,1.15,Betano.br,5.9,4.4,1.44,Betano.br,1.55,4.05,5.1,Betano.br,1.17,6.7,11.75,Esportes da Sorte,1.03,11.06,25.28,,,,,,,,,,,0.44,0.56,,,,,,,,,,,11.0,12.0,5.0,1.0,6.0,11.0,,,,,,,,,,,,,3.0,9.0,,,,,,,3.0,6.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.35,0.65,4.0,5.0,3.0,0.0,1.0,5.0,,,0.0,5.0,1.0,1.0,,,,,0.0,1.0,,,,,,,0.53,0.47,7.0,7.0,2.0,1.0,5.0,6.0,,,3.0,4.0,2.0,5.0,,,,,,,1.0,1.0
plAqSq8s,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,25/05/2025,12:00,Round 30,Lafnitz,St. Polten,2,2,"[50, 74]","[8, 12]",Betfair,7.0,3.1,1.53,Betfair,10.0,7.0,1.14,Betano.br,1.17,4.5,Betano.br,1.72,2.0,Betano.br,3.15,1.31,,0.0,0.0,Betfair,1.03,9.0,Betfair,1.2,4.0,Betfair,1.57,2.25,Betfair,2.4,1.5,Betfair,1.45,2.55,Betfair,4.5,1.06,1.03,Betfair,34.0,Betfair,11.0,Betfair,7.5,Betfair,8.5,Betfair,46.0,Betfair,12.0,Betfair,7.5,Betfair,7.0,Betfair,71.0,Betfair,26.0,Betfair,14.0,Betfair,12.0,Betfair,176.0,Betfair,56.0,Betfair,41.0,Betfair,34.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betboom.br,3.8,1.2,Betano.br,2.4,1.53,Betano.br,1.98,1.78,Betano.br,1.65,2.15,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,22.47,10.34,1.04,Betano.br,4.45,4.7,1.53,Betano.br,2.45,4.35,2.22,Betano.br,1.65,4.9,3.6,,,,,,,,,,,0.55,0.45,,,,,,,,,,,13.0,21.0,6.0,10.0,7.0,11.0,,,,,,,,,,,,,2.0,6.0,,,,,,,1.0,0.0,,,,,8.0,4.0,,,,,,,,,,,,,,,,,,,0.46,0.54,3.0,13.0,2.0,5.0,1.0,8.0,,,2.0,4.0,,,,,,,3.0,2.0,,,,,,,0.64,0.36,10.0,8.0,4.0,5.0,6.0,3.0,,,0.0,2.0,1.0,0.0,,,,,,,5.0,2.0
Y9tR92hD,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,25/05/2025,12:00,Round 30,Admira,Horn,1,3,[4],"[26, 41, 70]",Betfair,1.91,2.4,5.5,Betfair,1.44,4.4,5.5,Betano.br,1.29,3.25,Betano.br,2.25,1.57,Betano.br,4.65,1.16,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.65,2.1,Betfair,1.1,1.14,2.5,Betfair,12.0,Betfair,18.0,Betfair,26.0,Betfair,91.0,Betfair,7.0,Betfair,7.0,Betfair,15.0,Betfair,36.0,Betfair,6.5,Betfair,6.5,Betfair,11.0,Betfair,36.0,Betfair,9.5,Betfair,8.5,Betfair,15.0,Betfair,41.0,Superbet.br,3.8,1.21,Estrelabet,3.2,1.3,Betano.br,2.2,1.62,Betano.br,1.72,2.05,Betano.br,1.47,2.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.0,6.3,1.24,Betano.br,4.05,4.35,1.62,Betano.br,2.25,3.7,2.67,Esportes da Sorte,1.12,7.19,14.17,Esportes da Sorte,1.02,11.29,31.26,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,18.0,7.0,8.0,3.0,10.0,4.0,,,,,,,,,,,,,10.0,2.0,,,,,,,1.0,3.0,,,,,0.0,7.0,,,,,,,,,,,,,,,,,,,0.71,0.29,10.0,2.0,5.0,2.0,5.0,0.0,,,6.0,1.0,0.0,2.0,,,,,0.0,4.0,,,,,,,0.55,0.45,8.0,5.0,3.0,1.0,5.0,4.0,,,4.0,1.0,1.0,1.0,,,,,,,0.0,3.0
tG3hQNxf,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,25/05/2025,12:00,Round 30,SK Rapid II,Stripfing,2,3,"[16, 48]","[2, 26, 59]",Betfair,4.0,2.5,2.1,Betfair,3.9,4.33,1.62,Betano.br,1.18,4.25,Betano.br,1.82,1.88,Betano.br,3.4,1.27,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,1.29,3.3,Betano.br,2.15,1.19,1.27,Betfair,23.0,Betfair,12.0,Betfair,10.0,Betfair,15.0,Betfair,21.0,Betfair,8.0,Betfair,7.0,Betfair,9.0,Betfair,26.0,Betfair,12.0,Betfair,8.5,Betfair,11.0,Betfair,51.0,Betfair,18.0,Betfair,18.0,Betfair,18.0,,0.0,0.0,,0.0,0.0,Betboom.br,8.14,1.03,Betboom.br,7.13,1.04,Superbet.br,3.45,1.25,Betano.br,2.15,1.65,Betano.br,1.72,2.05,Betano.br,1.52,2.42,Betboom.br,1.18,4.06,Betboom.br,1.12,4.81,,0.0,0.0,0.0,Esportes da Sorte,16.62,9.48,1.07,Betano.br,7.4,6.0,1.27,Betano.br,2.15,4.2,2.6,Betano.br,1.5,5.0,4.55,Esportes da Sorte,1.17,7.44,9.01,,,,,,,,,,,0.48,0.52,,,,,,,,,,,6.0,11.0,4.0,5.0,2.0,6.0,,,,,,,,,,,,,1.0,7.0,,,,,,,2.0,4.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.54,0.46,2.0,7.0,1.0,2.0,1.0,5.0,,,0.0,3.0,0.0,2.0,,,,,0.0,0.0,,,,,,,0.42,0.58,4.0,4.0,3.0,3.0,1.0,1.0,,,1.0,4.0,2.0,2.0,,,,,,,2.0,2.0
t2OJBON0,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,25/05/2025,12:00,Round 30,Ried,First Vienna,1,1,[60],[89],Betfair,1.8,2.5,6.5,Betfair,1.3,5.0,7.5,Betano.br,1.28,3.35,Betano.br,2.2,1.6,Betano.br,4.5,1.16,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.73,2.0,Betfair,1.06,1.13,3.1,Betfair,15.0,Betfair,20.0,Betfair,36.0,Betfair,101.0,Betfair,7.0,Betfair,8.5,Betfair,20.0,Betfair,46.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,51.0,Betfair,8.0,Betfair,8.0,Betfair,15.0,Betfair,46.0,Superbet.br,3.1,1.3,Betboom.br,2.7,1.38,Betano.br,1.98,1.78,Betano.br,1.55,2.35,Superbet.br,1.32,3.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.6,5.8,1.31,Betano.br,3.45,4.2,1.78,Betano.br,2.0,3.8,3.05,Esportes da Sorte,1.09,7.89,17.19,Esportes da Sorte,1.01,11.81,35.98,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,,,,,,,,,,,9.0,6.0,3.0,1.0,6.0,5.0,,,,,,,,,,,,,4.0,1.0,,,,,,,3.0,4.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.65,0.35,4.0,3.0,2.0,0.0,2.0,3.0,,,2.0,1.0,0.0,1.0,,,,,0.0,2.0,,,,,,,0.53,0.47,5.0,3.0,1.0,1.0,4.0,2.0,,,2.0,0.0,3.0,3.0,,,,,,,0.0,0.0
pzVADpgl,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,25/05/2025,09:30,Round 30,Amstetten,Liefering,3,1,"[14, 24, 48]",[45],Betfair,2.5,2.3,3.5,Betfair,2.0,3.5,2.9,Betano.br,1.27,3.4,Betano.br,2.15,1.62,Betano.br,4.4,1.17,Betfair,1.01,13.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,1.36,2.8,Betfair,1.33,1.22,1.67,Betfair,13.0,Betfair,13.0,Betfair,15.0,Betfair,31.0,Betfair,10.0,Betfair,6.0,Betfair,9.5,Betfair,15.0,Betfair,10.0,Betfair,7.0,Betfair,8.5,Betfair,18.0,Betfair,18.0,Betfair,10.0,Betfair,14.0,Betfair,23.0,Betboom.br,8.3,1.02,Betboom.br,7.3,1.04,Superbet.br,3.55,1.23,Betboom.br,3.06,1.3,Betano.br,2.07,1.7,Superbet.br,1.36,2.82,Betboom.br,1.11,5.08,Betboom.br,1.07,6.07,,0.0,0.0,,0.0,0.0,Esportes da Sorte,15.93,9.51,1.07,Betano.br,7.8,6.0,1.26,Betano.br,3.85,4.15,1.7,Betano.br,1.4,4.85,5.8,Esportes da Sorte,1.11,7.96,13.18,,0.0,0.0,0.0,,,,,,,,,,,0.37,0.63,,,,,,,,,,,10.0,5.0,5.0,1.0,5.0,4.0,,,,,,,,,,,,,7.0,5.0,,,,,,,2.0,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.46,0.54,6.0,2.0,2.0,1.0,4.0,1.0,,,5.0,1.0,2.0,2.0,,,,,0.0,0.0,,,,,,,0.28,0.72,4.0,3.0,3.0,0.0,1.0,3.0,,,2.0,4.0,,,,,,,,,0.0,2.0
E5JDX5pK,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,24/05/2025,09:30,Round 30,Floridsdorfer AC,Sturm Graz II,3,0,[77],[90],Betfair,2.7,2.3,3.4,Betfair,2.1,3.5,2.8,Betano.br,1.29,3.3,Betano.br,2.25,1.57,Betano.br,4.6,1.16,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,1.44,2.5,Betfair,1.36,1.22,1.62,Betfair,12.0,Betfair,11.0,Betfair,15.0,Betfair,26.0,Betfair,9.0,Betfair,6.0,Betfair,9.0,Betfair,15.0,Betfair,10.0,Betfair,7.5,Betfair,8.5,Betfair,20.0,Betfair,18.0,Betfair,11.0,Betfair,15.0,Betfair,26.0,Betboom.br,8.91,1.01,Betboom.br,7.79,1.03,Superbet.br,3.55,1.24,Betboom.br,3.16,1.28,Betano.br,2.15,1.65,Superbet.br,1.36,2.82,Betboom.br,1.1,5.32,Betboom.br,1.06,6.42,,0.0,0.0,,0.0,0.0,Esportes da Sorte,17.76,9.91,1.06,Betano.br,8.25,6.0,1.25,Betano.br,3.95,4.1,1.7,Betano.br,1.42,4.8,5.7,Esportes da Sorte,1.12,7.69,12.7,,0.0,0.0,0.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,13.0,10.0,4.0,4.0,9.0,6.0,,,,,,,,,,,,,6.0,7.0,,,,,,,2.0,0.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,0.64,0.36,8.0,3.0,2.0,1.0,6.0,2.0,,,6.0,2.0,,,,,,,1.0,2.0,,,,,,,0.56,0.44,5.0,7.0,2.0,3.0,3.0,4.0,,,0.0,5.0,2.0,0.0,,,,,,,3.0,2.0
l4quJ6VQ,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,24/05/2025,09:30,Round 30,Kapfenberg,Bregenz,5,3,"[28, 38, 56, 67, 90]","[45, 55, 60]",Betfair,2.1,2.6,4.0,Betfair,1.65,4.1,3.7,Betano.br,1.19,4.2,Betano.br,1.83,1.88,Betano.br,3.4,1.27,,0.0,0.0,Betfair,1.06,7.5,Betfair,1.29,3.3,Betfair,1.73,2.0,Betfair,2.75,1.4,Betfair,1.29,3.2,Betfair,1.2,1.17,2.0,Betfair,21.0,Betfair,21.0,Betfair,26.0,Betfair,46.0,Betfair,12.0,Betfair,8.0,Betfair,12.0,Betfair,21.0,Betfair,10.0,Betfair,7.5,Betfair,8.5,Betfair,19.0,Betfair,14.0,Betfair,8.5,Betfair,11.0,Betfair,20.0,Betboom.br,5.0,1.11,Betboom.br,4.19,1.17,Superbet.br,2.52,1.44,Betano.br,2.15,1.65,Betano.br,1.72,2.05,Superbet.br,1.24,3.55,Betboom.br,1.06,6.63,Betboom.br,1.04,7.58,,0.0,0.0,,0.0,0.0,Esportes da Sorte,9.26,7.64,1.16,Betano.br,4.8,5.2,1.45,Betano.br,2.7,4.2,2.07,Betano.br,1.29,5.8,6.9,Esportes da Sorte,1.08,9.33,15.67,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,10.0,15.0,9.0,5.0,1.0,10.0,,,,,,,,,,,,,3.0,9.0,,,,,,,4.0,4.0,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,0.57,0.43,5.0,7.0,5.0,2.0,0.0,5.0,,,0.0,3.0,0.0,3.0,,,,,1.0,3.0,,,,,,,0.47,0.53,5.0,8.0,4.0,3.0,1.0,5.0,,,3.0,6.0,4.0,1.0,,,,,,,1.0,1.0
zwR2DPyi,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,16/05/2025,15:30,Round 29,Bregenz,Ried,1,4,[61],"[17, 45, 62, 87]",Betfair,7.0,2.8,1.62,Betfair,9.0,5.5,1.2,Betano.br,1.22,3.85,Betano.br,1.95,1.75,Betano.br,3.75,1.23,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.33,3.0,Betfair,1.91,1.8,Betfair,3.2,1.3,Betfair,1.6,2.2,Betfair,3.75,1.1,1.04,Betfair,21.0,Betfair,8.5,Betfair,6.5,Betfair,8.0,Betfair,31.0,Betfair,10.0,Betfair,7.0,Betfair,7.5,Betfair,51.0,Betfair,23.0,Betfair,14.0,Betfair,14.0,Betfair,176.0,Betfair,61.0,Betfair,46.0,Betfair,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.55,1.24,Estrelabet,3.0,1.33,Betano.br,2.05,1.72,Betano.br,1.65,2.15,Superbet.br,1.44,2.52,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,19.94,9.16,1.06,Betano.br,3.65,4.2,1.72,Betano.br,2.07,4.2,2.7,Betano.br,1.45,5.2,4.7,,,,,,,,,,,0.39,0.61,,,,,,,,,,,12.0,21.0,9.0,18.0,3.0,3.0,,,,,,,,,,,,,6.0,5.0,,,,,,,1.0,1.0,,,,,14.0,8.0,,,,,,,,,,,,,,,,,,,0.44,0.56,7.0,11.0,6.0,9.0,1.0,2.0,,,4.0,2.0,,,,,,,7.0,6.0,,,,,,,0.34,0.66,5.0,10.0,3.0,9.0,2.0,1.0,,,2.0,3.0,1.0,1.0,,,,,,,7.0,2.0
runOK7qH,AUSTRIA,2024-2025,2 Liga 2024 2025,AUSTRIA 2,16/05/2025,15:30,Round 29,Liefering,Admira,1,0,[43],[],Betfair,4.2,2.3,2.3,Betfair,4.0,3.8,1.67,Betano.br,1.3,3.2,Betano.br,2.32,1.55,Betano.br,4.8,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.5,2.4,Betfair,2.0,1.2,1.17,Betfair,12.0,Betfair,8.0,Betfair,8.0,Betfair,13.0,Betfair,13.0,Betfair,6.0,Betfair,7.0,Betfair,10.0,Betfair,19.0,Betfair,11.0,Betfair,9.5,Betfair,15.0,Betfair,41.0,Betfair,21.0,Betfair,23.0,Betfair,31.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betboom.br,8.56,1.02,Superbet.br,3.6,1.23,Betano.br,2.05,1.72,Betano.br,1.6,2.25,Superbet.br,1.37,2.77,Betboom.br,1.11,5.12,Betboom.br,1.07,6.11,,0.0,0.0,0.0,Esportes da Sorte,20.07,9.49,1.06,Betano.br,8.5,5.7,1.26,Betano.br,2.07,3.85,2.9,Betano.br,1.4,5.0,5.6,Esportes da Sorte,1.12,8.1,12.19,,,,,,,,,,,0.41,0.59,,,,,,,,,,,6.0,13.0,2.0,5.0,4.0,8.0,,,,,,,,,,,,,1.0,6.0,,,,,,,3.0,2.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,0.46,0.54,3.0,4.0,1.0,0.0,2.0,4.0,,,1.0,0.0,2.0,0.0,,,,,0.0,0.0,,,,,,,0.36,0.64,3.0,9.0,1.0,5.0,2.0,4.0,,,0.0,6.0,1.0,2.0,,,,,,,5.0,1.0
