Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
QFJH4QyI,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Anderlecht U23,Beveren,0,4,[],"[9, 31, 55, 90]",bet365,5.5,2.5,2.0,bet365,5.25,4.33,1.48,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,19.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.67,2.1,bet365,2.5,1.18,1.14,bet365,17.0,bet365,9.0,bet365,8.5,bet365,12.0,bet365,19.0,bet365,9.0,bet365,8.5,bet365,11.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,2.5,1.5,bet365,2.0,1.85,bet365,1.58,2.35,bet365,1.3,3.45,bet365,1.22,4.15,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,9.0,5.9,1.24,bet365,2.5,4.0,2.3,Betano.br,1.45,4.85,5.1,,0.0,0.0,0.0,1.07,1.6,0.22,2.28,0.34,0.6,2.28,0.22,-1.72,0.22,0.42,0.58,0.81,0.84,0.45,0.63,0.68,0.74,0.0,0.0,0.21,0.14,12.0,10.0,3.0,7.0,6.0,2.0,3.0,1.0,9.0,8.0,3.0,2.0,0.0,3.0,0.0,1.0,13.0,23.0,3.0,6.0,12.0,6.0,23.0,33.0,6.0,12.0,,,,,1.0,3.0,3.0,3.0,0.78,0.91,39.0,40.0,22.0,17.0,10.0,10.0,0.0,0.0,0.0,0.0,0.28,0.9,0.12,0.97,0.06,0.24,0.34,0.66,4.0,5.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,,,2.0,5.0,0.0,3.0,1.0,1.0,0.79,0.7,0.1,1.31,0.28,0.36,0.5,0.5,8.0,5.0,2.0,4.0,4.0,1.0,0.0,1.0,3.0,3.0,,,,,4.0,7.0,1.0,0.0,2.0,2.0
UmQ86n75,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Club Brugge KV U23,Francs Borains,2,0,"[24, 61]",[],bet365,2.63,2.38,3.6,bet365,2.05,3.6,3.0,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.33,1.25,1.67,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,11.0,bet365,7.5,bet365,11.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,,0.0,0.0,bet365,6.8,1.11,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,7.7,5.9,1.26,bet365,3.75,4.33,1.67,Betano.br,1.36,4.85,6.6,,0.0,0.0,0.0,,0.0,0.0,0.0,0.51,0.34,1.42,0.03,0.52,1.12,0.03,1.42,0.03,-0.58,0.63,0.37,0.83,0.77,0.51,0.53,0.63,0.61,0.0,0.0,0.2,0.2,9.0,9.0,3.0,1.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0,3.0,0.0,1.0,0.0,0.0,13.0,17.0,6.0,2.0,14.0,13.0,23.0,16.0,13.0,14.0,3.0,2.0,,,0.0,5.0,1.0,1.0,0.73,0.81,46.0,46.0,25.0,22.0,6.0,14.0,0.0,0.0,0.0,0.0,0.38,0.12,0.78,0.01,0.4,0.3,0.65,0.35,5.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,6.0,6.0,0.0,3.0,1.0,1.0,0.13,0.22,0.64,0.02,0.12,0.82,0.61,0.39,4.0,6.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,,,7.0,8.0,0.0,2.0,0.0,0.0
I7Rq8arA,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Genk U23,K. Lierse S.K.,1,3,[34],"[15, 30, 36]",bet365,3.4,2.38,2.75,bet365,2.8,3.7,2.1,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.62,1.25,1.36,bet365,17.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,13.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,1.68,2.15,bet365,1.33,3.3,bet365,1.24,3.9,bet365,1.1,7.0,KTO.br,1.06,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,5.4,4.7,1.45,bet365,1.62,4.33,4.0,Betano.br,1.25,6.1,8.25,,0.0,0.0,0.0,0.64,0.93,0.27,2.31,0.92,0.4,2.31,0.27,-0.69,-0.73,0.66,0.34,0.87,0.7,0.48,0.42,0.74,0.43,0.0,0.0,0.14,0.3,14.0,8.0,4.0,5.0,7.0,2.0,3.0,1.0,5.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,20.0,9.0,6.0,3.0,12.0,9.0,25.0,23.0,9.0,12.0,1.0,2.0,,,2.0,0.0,2.0,3.0,0.89,0.81,53.0,49.0,22.0,29.0,12.0,10.0,0.0,0.0,0.0,0.0,0.24,0.86,0.18,2.14,0.46,0.36,0.68,0.32,4.0,7.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,,,3.0,6.0,1.0,0.0,1.0,1.0,0.4,0.07,0.09,0.17,0.46,0.04,0.64,0.36,10.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,6.0,6.0,1.0,0.0,1.0,2.0
UooknILj,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Lommel SK,RAAL La Louviere,1,2,[78],"[79, 90]",bet365,6.5,2.4,1.95,bet365,6.25,4.33,1.42,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.83,1.83,bet365,2.75,1.2,1.13,bet365,13.0,bet365,7.5,bet365,7.5,bet365,10.0,bet365,19.0,bet365,9.0,bet365,8.5,bet365,12.0,bet365,34.0,bet365,19.0,bet365,19.0,bet365,23.0,bet365,67.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,2.68,1.45,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,0.0,Superbet.br,65.0,21.0,1.01,,0.0,0.0,0.0,bet365,2.75,3.75,2.2,Betano.br,1.65,4.3,4.05,Betano.br,1.24,6.3,8.0,0.87,1.44,1.72,1.22,0.77,1.14,1.22,1.72,0.22,0.28,0.66,0.34,0.82,0.69,0.34,0.43,0.62,0.59,0.0,0.0,0.3,0.27,7.0,13.0,4.0,4.0,2.0,5.0,1.0,4.0,4.0,10.0,3.0,3.0,2.0,1.0,0.0,0.0,10.0,26.0,1.0,3.0,11.0,11.0,30.0,22.0,11.0,11.0,4.0,1.0,,,2.0,3.0,2.0,3.0,0.81,0.7,45.0,54.0,38.0,15.0,10.0,17.0,0.0,0.0,0.0,0.0,0.17,0.05,0.14,0.04,0.24,0.09,0.7,0.3,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,0.7,1.39,1.58,1.18,0.53,1.05,0.62,0.38,4.0,11.0,3.0,3.0,1.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,,,7.0,6.0,1.0,2.0,1.0,2.0
A56O0Hzp,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Patro Eisden,Eupen,1,0,[65],[],bet365,2.5,2.3,4.0,bet365,1.85,3.6,3.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.25,1.25,1.8,bet365,13.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,13.0,bet365,26.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.93,1.93,bet365,1.28,3.55,bet365,1.11,6.8,Superbet.br,1.06,7.3,,0.0,0.0,,0.0,0.0,Superbet.br,14.0,8.6,1.1,Betano.br,6.9,5.4,1.32,bet365,3.25,4.0,1.8,Betano.br,1.29,5.3,7.9,,0.0,0.0,0.0,,0.0,0.0,0.0,0.92,1.22,0.83,1.25,0.49,0.6,1.25,0.83,1.25,-0.69,0.31,0.69,0.68,0.85,0.51,0.48,0.54,0.61,0.0,1.0,0.5,0.23,8.0,10.0,2.0,4.0,1.0,1.0,5.0,5.0,5.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,19.0,22.0,2.0,5.0,11.0,12.0,23.0,20.0,12.0,11.0,2.0,1.0,,,1.0,3.0,4.0,1.0,0.71,0.69,64.0,61.0,22.0,22.0,10.0,9.0,0.0,0.0,0.0,0.0,0.39,0.63,0.04,0.11,0.2,0.48,0.31,0.69,3.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,0.53,0.59,0.79,1.14,0.29,0.12,0.31,0.69,5.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,,,7.0,6.0,1.0,2.0,3.0,0.0
EZKh6wDM,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Seraing,Sporting Lokeren,0,4,[],"[30, 72, 86, 89]",bet365,5.0,2.4,2.2,bet365,4.5,4.0,1.6,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.67,2.1,bet365,2.2,1.2,1.17,bet365,15.0,bet365,9.0,bet365,9.0,bet365,13.0,bet365,17.0,bet365,8.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,15.0,bet365,15.0,bet365,21.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Superbet.br,9.9,1.03,,0.0,0.0,bet365,4.4,1.2,bet365,2.25,1.63,bet365,1.75,2.05,bet365,1.48,2.6,bet365,1.23,4.1,bet365,1.17,5.0,,0.0,0.0,0.0,Superbet.br,34.0,14.0,1.03,Betano.br,10.5,6.2,1.2,bet365,2.2,4.0,2.6,Betano.br,1.47,4.75,5.0,Superbet.br,1.16,7.0,9.3,0.47,2.25,0.63,2.88,0.45,1.47,2.88,0.63,-1.12,0.63,0.43,0.57,0.79,0.85,0.37,0.59,0.65,0.79,0.0,1.0,0.43,0.25,7.0,15.0,3.0,8.0,3.0,6.0,1.0,1.0,4.0,9.0,2.0,6.0,0.0,6.0,1.0,0.0,18.0,23.0,0.0,6.0,10.0,12.0,21.0,22.0,12.0,10.0,4.0,0.0,,,1.0,1.0,4.0,3.0,0.78,0.4,49.0,39.0,23.0,28.0,9.0,5.0,0.0,0.0,0.0,0.0,0.03,0.32,0.0,0.6,0.04,0.34,0.33,0.67,1.0,6.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,5.0,,,8.0,4.0,0.0,0.0,3.0,0.0,0.44,1.93,0.63,2.28,0.41,1.13,0.53,0.47,6.0,9.0,3.0,4.0,2.0,4.0,0.0,5.0,0.0,1.0,4.0,0.0,,,4.0,6.0,1.0,1.0,1.0,3.0
dzS088xg,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,18/04/2025,15:00,Round 30,Waregem,RWDM Brussels,2,1,"[39, 86]",[69],bet365,3.0,2.2,3.4,bet365,2.35,3.4,2.63,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.4,1.29,1.53,bet365,12.0,bet365,10.0,bet365,15.0,bet365,29.0,bet365,9.5,bet365,7.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,13.0,bet365,26.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,Superbet.br,9.3,1.04,,0.0,0.0,bet365,4.5,1.19,bet365,3.7,1.26,bet365,2.35,1.58,bet365,1.45,2.68,bet365,1.2,4.4,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,Superbet.br,29.0,13.0,1.04,Betano.br,10.0,6.6,1.19,bet365,4.75,4.33,1.53,Betano.br,1.45,4.4,5.7,,0.0,0.0,0.0,,0.0,0.0,0.0,1.06,1.12,1.32,0.3,0.56,0.58,0.3,1.32,-0.47,-0.68,0.49,0.51,0.72,0.72,0.47,0.3,0.42,0.61,0.0,0.0,0.33,0.29,10.0,17.0,7.0,3.0,2.0,5.0,1.0,9.0,9.0,13.0,1.0,4.0,2.0,1.0,0.0,0.0,15.0,31.0,3.0,6.0,18.0,10.0,27.0,29.0,10.0,18.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,5.0,0.64,0.75,49.0,47.0,16.0,18.0,6.0,10.0,0.0,0.0,0.0,0.0,0.64,0.26,0.67,0.06,0.36,0.17,0.48,0.52,5.0,6.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,5.0,7.0,0.0,2.0,1.0,3.0,0.42,0.86,0.65,0.24,0.2,0.41,0.5,0.5,5.0,11.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,5.0,0.0,1.0,5.0,11.0,2.0,0.0,1.0,2.0
08YiAU7t,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,13/04/2025,14:15,Round 29,Francs Borains,Anderlecht U23,3,2,"[32, 65, 82]","[3, 62]",bet365,2.4,2.37,4.0,bet365,1.83,3.8,3.9,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.02,15.0,bet365,1.15,4.5,bet365,1.62,2.25,bet365,2.5,1.47,bet365,4.5,1.15,bet365,1.57,2.25,bet365,1.25,1.25,1.91,bet365,15.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,9.5,bet365,7.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,17.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.1,1.35,bet365,2.43,1.53,bet365,1.85,2.0,bet365,1.26,3.7,bet365,1.1,7.0,Superbet.br,1.07,7.1,,0.0,0.0,,0.0,0.0,Superbet.br,15.0,9.0,1.09,Betano.br,6.6,5.3,1.34,bet365,3.1,4.0,1.87,Betano.br,1.28,5.4,8.25,,0.0,0.0,0.0,,0.0,0.0,0.0,1.38,1.48,2.49,1.34,1.99,0.3,1.34,2.49,-0.66,-0.51,0.55,0.45,0.81,0.83,0.57,0.46,0.72,0.63,4.0,0.0,0.17,0.19,8.0,11.0,4.0,3.0,1.0,5.0,3.0,3.0,7.0,6.0,1.0,5.0,3.0,1.0,1.0,0.0,47.0,15.0,3.0,4.0,13.0,17.0,20.0,20.0,17.0,13.0,6.0,3.0,0.0,1.0,6.0,1.0,1.0,1.0,0.71,0.8,48.0,45.0,17.0,54.0,7.0,11.0,0.0,0.0,0.0,0.0,0.35,1.06,0.51,1.01,0.84,0.23,0.56,0.44,3.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,10.0,6.0,3.0,0.0,1.0,0.0,1.03,0.42,1.98,0.33,1.15,0.07,0.54,0.46,5.0,6.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,7.0,7.0,3.0,1.0,0.0,1.0
WhbrjRMO,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,13/04/2025,11:00,Round 29,RFC Liege,Genk U23,3,1,"[25, 27, 67]",[73],bet365,2.0,2.6,5.0,bet365,1.5,4.75,5.25,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.57,2.25,bet365,1.17,1.18,2.5,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,10.0,bet365,9.5,bet365,17.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.8,2.05,bet365,1.5,2.5,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.9,6.5,1.23,Betano.br,4.1,4.55,1.6,bet365,2.25,4.0,2.5,Betano.br,1.22,6.1,9.25,,0.0,0.0,0.0,,0.0,0.0,0.0,4.02,1.44,3.26,2.11,2.08,0.65,2.11,3.26,1.11,0.26,0.42,0.58,0.8,0.85,0.48,0.48,0.63,0.7,2.0,0.0,0.44,0.11,21.0,13.0,9.0,8.0,3.0,5.0,9.0,0.0,18.0,6.0,4.0,7.0,2.0,2.0,0.0,0.0,39.0,18.0,8.0,9.0,7.0,14.0,13.0,22.0,14.0,7.0,1.0,0.0,,,2.0,0.0,7.0,6.0,0.78,0.73,49.0,53.0,18.0,22.0,21.0,5.0,0.0,0.0,0.0,0.0,2.12,0.18,2.83,0.38,1.18,0.36,0.48,0.52,12.0,4.0,7.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,,,7.0,4.0,1.0,0.0,3.0,5.0,1.9,1.26,0.43,1.73,0.9,0.29,0.36,0.64,9.0,9.0,2.0,5.0,2.0,4.0,1.0,2.0,5.0,5.0,1.0,0.0,,,7.0,3.0,1.0,0.0,4.0,1.0
2aRhuA86,BELGIUM,2024-2025,Challenger Pro League 2024 2025,BELGIUM 2,13/04/2025,08:30,Round 29,Beveren,Club Brugge KV U23,2,2,"[11, 90]","[53, 66]",bet365,2.25,2.3,4.75,bet365,1.67,3.8,4.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.18,1.25,2.15,bet365,13.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,8.0,bet365,7.5,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.68,2.15,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,5.4,4.8,1.44,bet365,2.75,3.75,2.15,Betano.br,1.21,6.0,10.75,,0.0,0.0,0.0,,0.0,0.0,0.0,1.9,0.7,1.98,0.55,0.73,0.15,0.55,1.98,-0.45,-0.02,0.61,0.39,0.85,0.75,0.51,0.27,0.77,0.67,0.0,0.0,0.16,0.2,19.0,10.0,7.0,4.0,3.0,4.0,9.0,2.0,13.0,5.0,6.0,5.0,4.0,0.0,0.0,0.0,38.0,9.0,11.0,4.0,10.0,10.0,21.0,23.0,10.0,10.0,1.0,2.0,,,4.0,0.0,2.0,5.0,0.74,0.57,45.0,54.0,6.0,19.0,14.0,12.0,0.0,1.0,0.0,0.0,1.59,0.61,1.14,0.3,0.6,0.1,0.62,0.38,14.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,8.0,3.0,1.0,1.0,5.0,4.0,3.0,0.0,2.0,4.0,0.31,0.09,0.84,0.25,0.13,0.05,0.6,0.4,5.0,6.0,2.0,2.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,,,5.0,6.0,1.0,0.0,0.0,1.0
