Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
rHB3ni8D,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,31/05/2025,12:00,Round 33,Posusje,FK Sarajevo,1,2,[45],"[44, 78]",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,4.0,7.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,1.0,5.0,,,,,,,1.0,0.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,0.6,0.4,2.0,3.0,1.0,2.0,1.0,1.0,,,1.0,2.0,,,,,,,1.0,0.0,,,,,,,0.34,0.66,2.0,4.0,0.0,2.0,2.0,2.0,,,0.0,3.0,1.0,0.0,,,,,,,1.0,0.0
UBGNinpg,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,31/05/2025,12:00,Round 33,Radnik Bijeljina,Zeljeznicar,1,2,[54],"[50, 69]",Betfair,2.8,2.1,3.5,Betfair,2.2,3.1,2.88,Superbet.br,1.34,3.0,Betano.br,2.52,1.4,Superbet.br,5.9,1.1,Betfair,1.02,10.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,2.88,1.36,Esportivabet,5.25,1.12,Betfair,1.57,2.2,Betano.br,1.31,1.32,1.6,Betfair,9.0,Betfair,9.5,Betfair,13.0,Betfair,26.0,Betfair,7.5,Betfair,5.5,Betfair,9.0,Betfair,17.0,Betfair,9.5,Betfair,7.5,Betfair,9.5,Betfair,23.0,Betfair,19.0,Betfair,13.0,Betfair,20.0,Betfair,36.0,Superbet.br,8.0,1.03,,0.0,0.0,Superbet.br,3.9,1.17,Estrelabet,3.4,1.27,Estrelabet,2.2,1.6,Superbet.br,1.35,2.7,Betboom.br,1.12,4.74,Superbet.br,1.09,5.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Estrelabet,7.5,5.5,1.2,Betano.br,4.55,3.8,1.6,Estrelabet,1.36,4.25,5.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,7.0,7.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.47,0.53,4.0,4.0,1.0,2.0,3.0,2.0,,,0.0,0.0,1.0,0.0,,,,,2.0,1.0,,,,,,,0.51,0.49,3.0,3.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0
j1cfjZ8l,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,31/05/2025,12:00,Round 33,Velez Mostar,Sloga Meridian,3,0,"[17, 38, 55]",[],Betfair,1.83,2.4,6.5,Betfair,1.33,4.33,7.0,Superbet.br,1.28,3.35,Betano.br,2.32,1.47,Superbet.br,5.15,1.13,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betboom.br,4.03,1.17,Betfair,1.73,1.95,Betano.br,1.07,1.17,3.15,Betfair,12.0,Betfair,18.0,Betfair,36.0,Betfair,101.0,Betfair,6.5,Betfair,7.5,Betfair,18.0,Betfair,46.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,51.0,Betfair,8.5,Betfair,8.0,Betfair,17.0,Betfair,56.0,Superbet.br,3.45,1.22,Estrelabet,2.9,1.36,Estrelabet,2.1,1.66,Estrelabet,1.66,2.1,Superbet.br,1.37,2.62,Superbet.br,1.05,6.3,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,6.33,5.5,1.23,Estrelabet,3.4,4.2,1.61,Betano.br,2.0,3.45,3.15,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,10.0,2.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.57,0.43,7.0,0.0,3.0,0.0,4.0,0.0,,,5.0,1.0,,,,,,,0.0,1.0,,,,,,,0.53,0.47,3.0,2.0,2.0,1.0,1.0,1.0,,,3.0,3.0,,,,,,,,,1.0,1.0
WGGNeeoR,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,30/05/2025,15:00,Round 33,Siroki Brijeg,Sloboda,3,1,"[15, 42, 79]",[6],Betfair,1.57,2.75,8.5,Betfair,1.15,5.5,12.0,Betano.br,1.24,3.25,Betano.br,2.18,1.53,Betano.br,4.6,1.12,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,1.87,1.8,Betano.br,1.06,1.13,3.65,Betfair,17.0,Betfair,26.0,Betfair,67.0,Betfair,201.0,Betfair,6.5,Betfair,9.5,Betfair,26.0,Betfair,81.0,Betfair,5.5,Betfair,7.0,Betfair,17.0,Betfair,91.0,Betfair,6.5,Betfair,7.5,Betfair,18.0,Betfair,76.0,Superbet.br,2.45,1.43,Estrelabet,2.2,1.6,Estrelabet,1.75,1.95,Estrelabet,1.36,2.9,Superbet.br,1.19,3.7,Superbet.br,1.03,7.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,5.0,5.0,1.33,Betano.br,2.82,3.9,2.0,Estrelabet,1.66,3.8,3.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,13.0,4.0,7.0,2.0,6.0,2.0,,,,,,,,,,,,,4.0,2.0,,,,,,,0.0,1.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,0.57,0.43,8.0,2.0,5.0,1.0,3.0,1.0,,,1.0,2.0,,,,,,,0.0,3.0,,,,,,,0.51,0.49,5.0,2.0,2.0,1.0,3.0,1.0,,,3.0,0.0,0.0,1.0,,,,,,,1.0,1.0
8dSEg8Ft,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,30/05/2025,12:00,Round 33,GOSK Gabela,Zrinjski,3,2,"[45, 72, 78]","[32, 63]",Betfair,13.0,3.6,1.33,Betfair,19.0,9.5,1.05,Superbet.br,1.14,4.85,Betano.br,1.7,1.93,Superbet.br,3.3,1.29,,0.0,0.0,Betfair,1.03,9.0,Betfair,1.2,4.0,Betfair,1.6,2.2,Betano.br,2.32,1.47,Betfair,2.0,1.7,Betano.br,4.1,1.05,1.02,Betfair,36.0,Betfair,10.0,Betfair,6.0,Betfair,6.0,Betfair,81.0,Betfair,18.0,Betfair,9.0,Betfair,7.5,Betfair,151.0,Betfair,61.0,Betfair,26.0,Betfair,23.0,Betfair,201.0,Betfair,201.0,Betfair,151.0,Betfair,91.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,5.9,1.06,Betboom.br,5.02,1.11,Superbet.br,3.05,1.28,Estrelabet,2.71,1.4,Estrelabet,2.05,1.7,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,3.25,4.25,1.64,Betano.br,2.02,4.3,2.62,,,,,,,,,,,0.25,0.75,,,,,,,,,,,4.0,14.0,4.0,9.0,0.0,5.0,,,,,,,,,,,,,0.0,11.0,,,,,,,1.0,1.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,0.24,0.76,2.0,8.0,2.0,6.0,0.0,2.0,,,0.0,5.0,0.0,1.0,,,,,5.0,1.0,,,,,,,0.26,0.74,2.0,6.0,2.0,3.0,0.0,3.0,,,0.0,6.0,1.0,0.0,,,,,,,2.0,0.0
OEe2lDw1,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,30/05/2025,12:00,Round 33,Igman K.,Borac Banja Luka,0,1,[],[77],Betfair,3.6,2.1,2.7,Betfair,3.1,2.9,2.2,Betano.br,1.38,2.57,Betano.br,2.55,1.39,Superbet.br,6.3,1.09,Betfair,1.02,10.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.6,2.15,Betano.br,1.65,1.29,1.31,Betfair,9.0,Betfair,7.5,Betfair,8.5,Betfair,17.0,Betfair,9.5,Betfair,5.5,Betfair,7.0,Betfair,12.0,Betfair,13.0,Betfair,9.0,Betfair,9.5,Betfair,20.0,Betfair,31.0,Betfair,18.0,Betfair,26.0,Betfair,36.0,,0.0,0.0,,0.0,0.0,Superbet.br,6.4,1.05,Betboom.br,7.0,1.04,Superbet.br,3.2,1.25,Betano.br,1.75,1.98,Estrelabet,1.28,3.33,Superbet.br,1.22,3.45,Betboom.br,1.11,4.9,Superbet.br,1.04,6.8,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,6.33,4.5,1.3,Betano.br,1.65,3.8,4.1,Estrelabet,1.2,5.5,7.5,KTO.br,1.07,10.0,15.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,15.0,11.0,3.0,3.0,12.0,8.0,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,1.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,0.49,0.51,10.0,4.0,1.0,1.0,9.0,3.0,,,0.0,0.0,0.0,1.0,,,,,1.0,1.0,,,,,,,0.65,0.35,5.0,7.0,2.0,2.0,3.0,5.0,,,2.0,2.0,1.0,0.0,,,,,,,1.0,2.0
bkwsqI1L,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,25/05/2025,10:00,Round 32,Borac Banja Luka,Posusje,1,0,[66],[],Betfair,1.73,2.4,9.0,Betfair,1.2,5.0,9.5,Superbet.br,1.34,3.0,Betano.br,2.37,1.45,Superbet.br,6.3,1.09,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.0,1.33,Betboom.br,6.21,1.06,Betfair,2.2,1.57,Betano.br,1.06,1.15,3.45,Betfair,10.0,Betfair,20.0,Betfair,61.0,Betfair,201.0,Betfair,5.0,Betfair,8.0,Betfair,26.0,Betfair,101.0,Betfair,4.5,Betfair,7.0,Betfair,21.0,Betfair,101.0,Betfair,6.5,Betfair,9.0,Betfair,23.0,Betfair,101.0,Superbet.br,3.2,1.25,Betboom.br,2.59,1.4,Betano.br,1.87,1.85,Betboom.br,1.39,2.62,Superbet.br,1.27,3.1,Superbet.br,1.05,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,3.23,3.92,1.87,Betano.br,1.87,3.5,3.45,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,15.0,11.0,6.0,6.0,9.0,5.0,,,,,,,,,,,,,3.0,2.0,,,,,,,2.0,2.0,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,0.55,0.45,7.0,7.0,3.0,4.0,4.0,3.0,,,1.0,1.0,0.0,2.0,,,,,4.0,3.0,,,,,,,0.53,0.47,8.0,4.0,3.0,2.0,5.0,2.0,,,2.0,1.0,2.0,0.0,,,,,,,2.0,2.0
jmILyzfe,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,25/05/2025,10:00,Round 32,FK Sarajevo,Radnik Bijeljina,1,1,[2],[13],Betfair,1.91,2.3,6.0,Betfair,1.4,3.9,6.5,Superbet.br,1.34,3.0,Betano.br,2.47,1.42,Superbet.br,6.1,1.09,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,1.83,1.83,Betano.br,1.11,1.23,2.5,Betfair,10.0,Betfair,15.0,Betfair,26.0,Betfair,91.0,Betfair,6.0,Betfair,7.0,Betfair,17.0,Betfair,46.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,51.0,Betfair,8.5,Betfair,9.0,Betfair,19.0,Betfair,61.0,Superbet.br,4.2,1.15,Estrelabet,3.6,1.25,Estrelabet,2.4,1.5,Betano.br,1.85,1.87,Estrelabet,1.5,2.4,Superbet.br,1.11,4.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,7.5,5.5,1.2,Estrelabet,4.2,4.25,1.48,Betano.br,2.45,3.35,2.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,6.0,9.0,3.0,2.0,3.0,7.0,,,,,,,,,,,,,3.0,5.0,,,,,,,2.0,2.0,1.0,0.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.54,0.46,3.0,4.0,2.0,2.0,1.0,2.0,,,2.0,0.0,,,,,,,1.0,1.0,,,,,,,0.38,0.62,3.0,5.0,1.0,0.0,2.0,5.0,,,1.0,5.0,2.0,2.0,,,,,,,0.0,1.0
2NqYpvX8,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,25/05/2025,10:00,Round 32,Sloga Meridian,Siroki Brijeg,0,1,[],[5],Betfair,3.0,2.0,3.6,Betfair,2.3,3.1,2.8,Betano.br,1.39,2.57,Betano.br,2.47,1.42,Superbet.br,7.0,1.07,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.7,2.0,Betano.br,1.36,1.3,1.57,Betfair,7.5,Betfair,8.0,Betfair,12.0,Betfair,26.0,Betfair,6.5,Betfair,5.0,Betfair,9.0,Betfair,20.0,Betfair,9.0,Betfair,8.0,Betfair,11.0,Betfair,26.0,Betfair,19.0,Betfair,15.0,Betfair,23.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,5.6,1.07,Estrelabet,3.75,1.22,Estrelabet,2.28,1.55,Superbet.br,1.57,2.12,Betboom.br,1.09,5.33,Superbet.br,1.17,3.9,,0.0,0.0,Superbet.br,1.02,8.2,,0.0,0.0,0.0,KTO.br,12.5,7.5,1.13,Betano.br,4.7,3.9,1.57,Estrelabet,1.35,4.25,5.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,8.0,4.0,2.0,1.0,6.0,3.0,,,,,,,,,,,,,3.0,4.0,,,,,,,3.0,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.59,0.41,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,0.0,2.0,,,,,,,0.53,0.47,5.0,2.0,0.0,0.0,5.0,2.0,,,2.0,2.0,2.0,1.0,,,,,,,0.0,0.0
fLOCwdPr,BOSNIA-AND-HERZEGOVINA,2024-2025,Wwin Liga Bih 2024 2025,BOSNIA 1,25/05/2025,10:00,Round 32,Zeljeznicar,Velez Mostar,2,1,"[25, 86]",[60],Betfair,2.75,2.1,3.75,Betfair,2.1,3.4,2.8,Betano.br,1.34,2.77,Betano.br,2.6,1.38,Betano.br,5.9,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.7,2.0,Betano.br,1.39,1.27,1.65,Betfair,8.0,Betfair,8.5,Betfair,13.0,Betfair,31.0,Betfair,6.5,Betfair,5.5,Betfair,9.5,Betfair,21.0,Betfair,8.5,Betfair,7.5,Betfair,10.0,Betfair,26.0,Betfair,18.0,Betfair,14.0,Betfair,23.0,Betfair,46.0,Superbet.br,10.0,1.01,,0.0,0.0,Superbet.br,4.55,1.12,Estrelabet,3.0,1.33,Estrelabet,2.05,1.7,Estrelabet,1.5,2.4,Estrelabet,1.2,4.0,Superbet.br,1.12,4.6,,0.0,0.0,Superbet.br,1.01,10.0,,0.0,0.0,0.0,Estrelabet,8.5,5.33,1.18,Betano.br,4.1,3.85,1.65,Betano.br,1.52,4.1,4.85,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.39,0.61,,,,,,,,,,,15.0,6.0,7.0,2.0,8.0,4.0,,,,,,,,,,,,,2.0,2.0,,,,,,,10.0,4.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,0.43,0.57,4.0,3.0,2.0,1.0,2.0,2.0,,,2.0,1.0,4.0,0.0,,,,,1.0,1.0,,,,,,,0.34,0.66,11.0,3.0,5.0,1.0,6.0,2.0,,,0.0,1.0,6.0,4.0,,,,,,,0.0,4.0
