Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
lSeVesNp,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,18:30,Round 38,America MG,Brusque,3,0,"[23, 37, 76]",[],bet365,2.0,2.3,7.0,bet365,1.45,4.33,7.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.95,bet365,3.25,1.33,bet365,6.5,1.11,bet365,2.1,1.67,bet365,1.1,1.2,2.63,bet365,11.0,bet365,15.0,bet365,34.0,bet365,81.0,bet365,6.5,bet365,8.5,bet365,21.0,bet365,51.0,bet365,6.5,bet365,8.5,bet365,21.0,bet365,51.0,bet365,9.5,bet365,13.0,bet365,29.0,bet365,67.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.73,2.08,bet365,1.45,2.68,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,9.0,6.33,1.2,Estrelabet,4.0,4.25,1.62,bet365,2.25,3.6,2.63,BetEsporte,1.1,7.0,18.0,BetEsporte,1.01,11.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,0.92,0.92,,,,,,,,,20.0,7.0,6.0,1.0,10.0,6.0,4.0,0.0,,,,,,,,,,,13.0,1.0,8.0,9.0,25.0,7.0,7.0,5.0,1.0,0.0,,,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.55,0.45,16.0,5.0,4.0,1.0,9.0,4.0,,,8.0,0.0,,,4.0,1.0,1.0,4.0,1.0,2.0,,,,,,,0.43,0.57,4.0,2.0,2.0,0.0,1.0,2.0,,,5.0,1.0,1.0,0.0,,,3.0,4.0,1.0,0.0,0.0,1.0
MDukGB8a,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,18:30,Round 38,Goias,Novorizontino,1,0,[84],[],bet365,3.6,1.91,3.6,bet365,2.7,3.1,2.7,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.44,1.36,1.44,bet365,7.0,bet365,7.0,bet365,12.0,bet365,29.0,bet365,7.0,bet365,6.0,bet365,11.0,bet365,26.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,29.0,bet365,26.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,4.8,1.18,bet365,2.6,1.48,bet365,1.48,2.6,bet365,1.18,4.8,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,BetEsporte,35.0,11.0,1.01,BetEsporte,17.0,7.2,1.1,Estrelabet,6.33,4.2,1.41,bet365,1.44,4.33,6.0,Estrelabet,1.11,7.5,15.0,BetEsporte,1.02,11.0,30.0,,,,,,,,,,,0.48,0.52,0.69,0.67,,,,,,,,,13.0,13.0,5.0,3.0,6.0,8.0,2.0,2.0,,,,,,,,,,,5.0,12.0,22.0,8.0,36.0,27.0,8.0,22.0,3.0,4.0,,,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.58,0.42,9.0,2.0,3.0,0.0,4.0,1.0,,,4.0,3.0,1.0,2.0,3.0,14.0,0.0,0.0,0.0,3.0,,,,,,,0.39,0.61,4.0,11.0,2.0,3.0,2.0,7.0,,,1.0,9.0,2.0,2.0,,,5.0,8.0,1.0,2.0,3.0,1.0
GzugFVN5,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,18:30,Round 38,Guarani,Ceara,0,0,[],[],bet365,7.0,2.1,2.1,bet365,6.25,4.2,1.5,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.25,1.57,bet365,2.5,1.22,1.13,bet365,8.5,bet365,5.5,bet365,6.0,bet365,10.0,bet365,13.0,bet365,8.0,bet365,9.0,bet365,15.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,34.0,bet365,81.0,bet365,51.0,bet365,51.0,bet365,81.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,2.5,1.5,bet365,1.95,1.9,bet365,1.5,2.5,bet365,1.23,4.1,bet365,1.17,5.0,,0.0,0.0,0.0,BetEsporte,40.0,10.0,1.01,BetEsporte,18.0,6.8,1.11,bet365,2.5,3.4,2.5,Estrelabet,1.52,4.33,4.75,Estrelabet,1.15,6.66,12.0,,,,,,,,,,,0.49,0.51,0.79,0.71,,,,,,,,,4.0,11.0,1.0,2.0,3.0,7.0,0.0,2.0,,,,,,,,,,,2.0,7.0,13.0,8.0,30.0,45.0,8.0,15.0,3.0,1.0,,,0.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.48,0.52,2.0,6.0,0.0,1.0,2.0,4.0,,,1.0,3.0,,,3.0,5.0,0.0,2.0,1.0,0.0,,,,,,,0.5,0.5,2.0,5.0,1.0,1.0,1.0,3.0,,,1.0,4.0,3.0,1.0,,,5.0,10.0,0.0,3.0,1.0,1.0
UwqcEkwC,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,18:30,Round 38,Mirassol,Chapecoense-SC,1,0,[16],[],bet365,1.62,2.4,19.0,bet365,1.17,6.25,21.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,3.75,1.25,bet365,1.02,1.13,5.0,bet365,9.0,bet365,26.0,bet365,81.0,bet365,351.0,bet365,4.75,bet365,15.0,bet365,51.0,bet365,251.0,bet365,4.33,bet365,13.0,bet365,51.0,bet365,201.0,bet365,5.5,bet365,17.0,bet365,51.0,bet365,301.0,bet365,2.68,1.45,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.26,3.7,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,5.5,4.75,1.41,bet365,2.75,3.75,2.2,Estrelabet,1.62,3.5,5.0,BetEsporte,1.02,9.4,60.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,0.92,0.78,,,,,,,,,12.0,10.0,4.0,1.0,7.0,7.0,1.0,2.0,,,,,,,,,,,3.0,4.0,10.0,11.0,15.0,24.0,9.0,9.0,3.0,1.0,,,5.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.75,0.25,6.0,3.0,3.0,0.0,3.0,3.0,,,1.0,2.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,2.0,,,,,,,0.51,0.49,6.0,7.0,1.0,1.0,4.0,4.0,,,2.0,2.0,3.0,0.0,,,7.0,4.0,0.0,1.0,1.0,1.0
4ftUGraA,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,18:30,Round 38,Sport Recife,Santos,2,1,"[45, 63]",[76],bet365,1.95,2.25,8.0,bet365,1.4,4.1,9.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,2.25,1.57,bet365,1.07,1.22,2.75,bet365,8.5,bet365,17.0,bet365,41.0,bet365,101.0,bet365,5.5,bet365,8.5,bet365,26.0,bet365,67.0,bet365,6.0,bet365,9.0,bet365,23.0,bet365,67.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,81.0,bet365,4.1,1.23,bet365,3.3,1.33,bet365,2.2,1.65,bet365,1.65,2.2,bet365,1.4,2.85,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,8.0,6.33,1.22,Estrelabet,4.0,4.2,1.63,bet365,2.2,3.5,2.75,BetEsporte,1.07,7.6,24.0,BetEsporte,1.01,11.0,45.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,0.78,0.83,,,,,,,,,17.0,9.0,5.0,3.0,9.0,6.0,3.0,0.0,,,,,,,,,,,7.0,1.0,16.0,23.0,28.0,33.0,24.0,15.0,4.0,5.0,,,3.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.47,0.53,11.0,2.0,1.0,1.0,7.0,1.0,,,4.0,1.0,0.0,3.0,8.0,7.0,2.0,0.0,1.0,0.0,,,,,,,0.45,0.55,6.0,7.0,4.0,2.0,2.0,5.0,,,3.0,0.0,4.0,2.0,,,16.0,8.0,1.0,0.0,1.0,3.0
GYmHJpFi,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,16:00,Round 38,CRB,Operario-PR,1,1,[55],[58],bet365,2.88,1.95,4.5,bet365,2.05,3.2,3.75,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.25,1.36,1.73,bet365,7.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,6.0,bet365,6.5,bet365,13.0,bet365,34.0,bet365,8.5,bet365,9.5,bet365,19.0,bet365,41.0,bet365,19.0,bet365,21.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,3.1,1.35,bet365,2.1,1.78,bet365,1.28,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,9.4,1.04,Estrelabet,10.0,6.0,1.2,bet365,4.0,3.6,1.73,Estrelabet,1.25,5.0,10.0,BetEsporte,1.05,8.8,25.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.42,0.58,0.74,0.87,,,,,,,,,8.0,23.0,4.0,7.0,2.0,9.0,2.0,7.0,,,,,,,,,,,2.0,6.0,9.0,14.0,10.0,15.0,19.0,10.0,2.0,1.0,,,4.0,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,0.4,0.6,6.0,9.0,2.0,3.0,2.0,3.0,,,2.0,3.0,0.0,1.0,6.0,5.0,2.0,1.0,3.0,2.0,,,,,,,0.44,0.56,2.0,14.0,2.0,4.0,0.0,6.0,,,0.0,3.0,2.0,0.0,,,13.0,5.0,2.0,2.0,3.0,1.0
AXtQHOq4,BRAZIL,2024,Serie B 2024,BRAZIL 2,24/11/2024,16:00,Round 38,Paysandu PA,Vila Nova FC,2,1,"[57, 90]",[34],bet365,1.8,2.4,9.5,bet365,1.3,5.0,10.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,2.2,1.62,bet365,1.06,1.17,3.4,bet365,12.0,bet365,21.0,bet365,41.0,bet365,126.0,bet365,6.5,bet365,9.5,bet365,29.0,bet365,67.0,bet365,6.0,bet365,9.0,bet365,23.0,bet365,67.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,81.0,bet365,3.1,1.35,bet365,2.5,1.5,bet365,1.9,1.95,bet365,1.45,2.68,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,6.0,5.5,1.33,bet365,3.1,4.0,1.91,bet365,1.91,3.75,3.4,BetEsporte,1.05,8.4,27.0,BetEsporte,1.01,11.0,50.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,0.86,0.82,,,,,,,,,23.0,10.0,8.0,5.0,9.0,1.0,6.0,4.0,,,,,,,,,,,8.0,2.0,11.0,16.0,17.0,9.0,10.0,7.0,2.0,1.0,,,1.0,1.0,4.0,6.0,,,,,,,,,,,,,,,,,,,0.62,0.38,12.0,6.0,2.0,4.0,8.0,1.0,,,3.0,1.0,,,6.0,4.0,0.0,1.0,3.0,2.0,,,,,,,0.54,0.46,11.0,4.0,6.0,1.0,1.0,0.0,,,5.0,1.0,2.0,1.0,,,4.0,3.0,1.0,0.0,1.0,4.0
C2Y1D9hI,BRAZIL,2024,Serie B 2024,BRAZIL 2,22/11/2024,21:30,Round 38,Ituano,Amazonas,0,1,[],[15],bet365,3.25,2.1,3.4,bet365,2.55,3.3,2.7,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.03,1.83,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.44,1.33,1.5,bet365,9.5,bet365,8.5,bet365,13.0,bet365,26.0,bet365,8.5,bet365,6.5,bet365,10.0,bet365,21.0,bet365,12.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,23.0,bet365,21.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.43,1.53,bet365,1.48,2.6,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,10.0,1.04,Estrelabet,12.0,7.5,1.13,bet365,5.0,4.33,1.5,Estrelabet,1.41,4.5,5.75,BetEsporte,1.09,7.8,17.0,BetEsporte,1.01,11.0,30.0,,,,,,,,,,,0.4,0.6,0.8,0.85,,,,,,,,,15.0,11.0,3.0,3.0,10.0,6.0,2.0,2.0,,,,,,,,,,,3.0,2.0,17.0,21.0,31.0,22.0,21.0,17.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.44,0.56,11.0,4.0,2.0,0.0,7.0,3.0,,,3.0,1.0,,,9.0,10.0,0.0,0.0,0.0,2.0,,,,,,,0.35,0.65,4.0,7.0,1.0,3.0,3.0,3.0,,,0.0,1.0,2.0,1.0,1.0,0.0,12.0,7.0,1.0,0.0,3.0,1.0
xrkDKQao,BRAZIL,2024,Serie B 2024,BRAZIL 2,22/11/2024,20:00,Round 38,Avai,Ponte Preta,2,1,"[43, 63]",[71],bet365,2.05,2.2,7.0,bet365,1.48,3.9,8.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.2,1.62,bet365,1.08,1.25,2.63,bet365,8.5,bet365,15.0,bet365,34.0,bet365,81.0,bet365,5.5,bet365,7.5,bet365,23.0,bet365,51.0,bet365,6.0,bet365,8.5,bet365,21.0,bet365,67.0,bet365,9.5,bet365,13.0,bet365,34.0,bet365,81.0,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.38,1.55,bet365,1.83,2.03,bet365,1.48,2.6,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,10.0,6.66,1.17,Estrelabet,4.5,4.25,1.55,bet365,2.4,3.4,2.63,BetEsporte,1.11,6.8,18.0,BetEsporte,1.01,11.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,0.78,0.8,,,,,,,,,15.0,10.0,3.0,3.0,10.0,6.0,2.0,1.0,,,,,,,,,,,9.0,7.0,22.0,17.0,29.0,19.0,14.0,18.0,4.0,3.0,,,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.51,0.49,10.0,2.0,2.0,1.0,7.0,1.0,,,6.0,2.0,1.0,1.0,10.0,11.0,2.0,1.0,1.0,1.0,,,,,,,0.41,0.59,5.0,8.0,1.0,2.0,3.0,5.0,,,3.0,5.0,3.0,2.0,,,4.0,7.0,2.0,1.0,1.0,0.0
bcwMI4Uc,BRAZIL,2024,Serie B 2024,BRAZIL 2,22/11/2024,19:00,Round 38,Coritiba,Botafogo SP,1,3,[59],"[29, 42, 53]",bet365,2.2,2.1,6.0,bet365,1.57,3.7,6.25,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.1,1.67,bet365,1.13,1.29,2.3,bet365,8.5,bet365,13.0,bet365,29.0,bet365,67.0,bet365,6.0,bet365,7.0,bet365,19.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.68,1.45,bet365,2.05,1.75,bet365,1.58,2.35,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,12.0,7.2,1.13,Estrelabet,5.66,4.5,1.42,bet365,2.75,3.5,2.3,Estrelabet,1.13,6.5,16.0,BetEsporte,1.01,10.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,0.9,0.78,,,,,,,,,11.0,14.0,7.0,6.0,4.0,7.0,0.0,1.0,,,,,,,,,,,11.0,5.0,15.0,13.0,17.0,15.0,16.0,14.0,3.0,1.0,,,3.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,0.6,0.4,8.0,10.0,4.0,4.0,4.0,5.0,,,7.0,3.0,1.0,0.0,5.0,8.0,3.0,1.0,2.0,4.0,,,,,,,0.66,0.34,3.0,4.0,3.0,2.0,0.0,2.0,,,4.0,2.0,2.0,1.0,,,11.0,6.0,0.0,0.0,1.0,2.0
