Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
GIF3oYp1,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,31/05/2024,14:00,Conference League,CSKA Sofia,CSKA 1948 Sofia,0,2,[],"[30, 53]",bet365,2.3,2.1,6.0,bet365,1.65,3.3,6.25,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.1,1.67,bet365,1.13,1.33,2.2,bet365,7.5,bet365,13.0,bet365,29.0,bet365,67.0,bet365,6.0,bet365,6.5,bet365,21.0,bet365,51.0,bet365,7.0,bet365,9.0,bet365,19.0,bet365,51.0,bet365,12.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,8.0,1.15,Betano.br,6.0,4.7,1.45,bet365,2.88,3.5,2.2,Betano.br,1.16,6.9,16.5,Betano.br,1.03,13.5,37.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,11.0,19.0,3.0,5.0,6.0,9.0,2.0,5.0,,,,,,,,,,,4.0,3.0,18.0,11.0,16.0,14.0,10.0,16.0,2.0,3.0,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.56,0.44,7.0,6.0,2.0,4.0,3.0,2.0,,,1.0,3.0,1.0,0.0,3.0,6.0,2.0,0.0,3.0,2.0,,,,,,,0.52,0.48,4.0,13.0,1.0,1.0,3.0,7.0,,,3.0,0.0,1.0,3.0,,,7.0,10.0,0.0,2.0,0.0,1.0
EVpgX4bD,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,30/05/2024,13:00,Relegation,Botev Vratsa,Marek,1,1,[50],[83],Betfair,1.73,2.4,7.5,Betfair,1.25,4.6,8.5,,0.0,0.0,Betano.br,2.27,1.5,,0.0,0.0,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,1.95,1.73,Betfair,1.05,1.14,3.3,Betfair,12.0,Betfair,19.0,Betfair,41.0,Betfair,126.0,Betfair,5.5,Betfair,8.0,Betfair,20.0,Betfair,67.0,Betfair,5.5,Betfair,6.5,Betfair,15.0,Betfair,67.0,Betfair,7.0,Betfair,9.0,Betfair,19.0,Betfair,76.0,,0.0,0.0,,0.0,0.0,Betano.br,1.91,1.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,3.1,3.85,1.88,Betano.br,1.93,3.55,3.2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,,,,,,,,,,,39.0,17.0,29.0,12.0,10.0,5.0,,,,,,,,,,,,,9.0,7.0,16.0,13.0,,,,,2.0,5.0,0.0,1.0,0.0,1.0,11.0,28.0,,,,,,,,,,,,,,,,,,,0.66,0.34,17.0,4.0,11.0,3.0,6.0,1.0,,,5.0,2.0,0.0,1.0,,,0.0,1.0,3.0,11.0,,,,,,,0.58,0.42,14.0,4.0,10.0,3.0,4.0,1.0,,,2.0,4.0,1.0,3.0,,,,,0.0,0.0,2.0,9.0
CAY7oWFF,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,27/05/2024,14:00,Conference League Group,Botev Plovdiv,Arda,0,1,[],[37],bet365,8.0,2.5,1.8,bet365,8.5,5.25,1.33,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,2.0,1.73,bet365,3.25,1.17,1.08,bet365,13.0,bet365,7.5,bet365,6.5,bet365,8.5,bet365,19.0,bet365,10.0,bet365,9.0,bet365,12.0,bet365,41.0,bet365,23.0,bet365,23.0,bet365,29.0,bet365,101.0,bet365,51.0,bet365,51.0,bet365,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.88,1.98,bet365,1.48,2.6,bet365,1.33,3.3,,0.0,0.0,0.0,Betano.br,40.0,15.5,1.02,Betano.br,21.0,9.0,1.1,bet365,3.25,3.75,1.91,bet365,1.95,4.0,3.1,Betano.br,1.33,5.9,6.8,,,,,,,,,,,0.36,0.64,,,,,,,,,,,7.0,9.0,3.0,3.0,4.0,5.0,0.0,1.0,,,,,,,,,,,1.0,7.0,12.0,9.0,14.0,23.0,8.0,12.0,0.0,3.0,,,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.34,0.66,5.0,4.0,3.0,1.0,2.0,2.0,,,1.0,6.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,3.0,,,,,,,0.38,0.62,2.0,5.0,0.0,2.0,2.0,3.0,,,0.0,1.0,,,,,5.0,7.0,1.0,0.0,2.0,0.0
Gruamho3,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,27/05/2024,14:00,Conference League Group,Slavia Sofia,CSKA 1948 Sofia,0,2,[],"[5, 63]",bet365,8.5,2.5,1.8,bet365,9.5,5.25,1.29,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,2.1,1.67,bet365,3.5,1.17,1.07,bet365,13.0,bet365,7.0,bet365,6.0,bet365,8.0,bet365,21.0,bet365,10.0,bet365,9.0,bet365,12.0,bet365,41.0,bet365,26.0,bet365,23.0,bet365,29.0,bet365,101.0,bet365,67.0,bet365,51.0,bet365,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.93,1.93,bet365,1.5,2.5,bet365,1.33,3.3,,0.0,0.0,0.0,Betano.br,40.0,15.5,1.02,Betano.br,22.0,9.0,1.1,Betano.br,3.3,3.75,2.0,bet365,1.83,4.0,3.2,Betano.br,1.32,5.9,7.1,,,,,,,,,,,0.54,0.46,,,,,,,,,,,11.0,19.0,3.0,5.0,6.0,9.0,2.0,5.0,,,,,,,,,,,4.0,5.0,18.0,11.0,11.0,14.0,10.0,16.0,0.0,3.0,,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.5,0.5,5.0,9.0,1.0,2.0,3.0,5.0,,,2.0,4.0,0.0,1.0,7.0,6.0,0.0,1.0,1.0,1.0,,,,,,,0.58,0.42,6.0,10.0,2.0,3.0,3.0,4.0,,,2.0,1.0,0.0,2.0,,,3.0,10.0,1.0,1.0,2.0,2.0
faV97eGD,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,26/05/2024,14:30,Championship Group,Lok. Plovdiv,CSKA Sofia,1,0,[5],[],bet365,3.4,2.38,2.75,bet365,3.0,3.6,2.2,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.01,15.0,bet365,1.14,4.33,bet365,1.67,2.15,bet365,2.52,1.38,bet365,5.0,1.1,bet365,1.53,2.38,bet365,1.67,1.29,1.36,bet365,15.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,13.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,26.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,Betano.br,30.0,14.0,1.04,Betano.br,15.0,8.25,1.13,Betano.br,6.4,4.9,1.4,bet365,1.67,4.33,4.0,Betano.br,1.25,6.4,9.0,Betano.br,1.08,10.75,19.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,8.0,11.0,4.0,5.0,3.0,1.0,1.0,5.0,,,,,,,,,,,7.0,6.0,14.0,8.0,23.0,19.0,8.0,9.0,1.0,2.0,,,0.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,0.53,0.47,4.0,1.0,3.0,1.0,1.0,0.0,,,2.0,1.0,,,6.0,6.0,0.0,1.0,1.0,2.0,,,,,,,0.49,0.51,4.0,10.0,1.0,4.0,2.0,1.0,,,5.0,5.0,1.0,2.0,,,2.0,3.0,0.0,4.0,4.0,1.0
Yqs19Ho1,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,26/05/2024,12:30,Championship Group,Cherno More,Krumovgrad,3,1,"[34, 80, 86]",[21],bet365,1.83,2.4,7.5,bet365,1.36,4.75,8.0,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,2.05,1.62,bet365,1.08,1.18,3.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,101.0,bet365,6.5,bet365,9.5,bet365,23.0,bet365,51.0,bet365,6.5,bet365,8.5,bet365,23.0,bet365,51.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,67.0,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.05,1.75,bet365,1.55,2.38,bet365,1.35,3.1,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.4,6.1,1.3,Betano.br,3.7,4.25,1.78,bet365,2.0,3.6,3.0,Betano.br,1.11,8.5,20.0,Betano.br,1.03,15.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,18.0,11.0,8.0,2.0,5.0,5.0,5.0,4.0,,,,,,,,,,,4.0,3.0,10.0,10.0,27.0,16.0,10.0,8.0,2.0,1.0,,,0.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,0.62,0.38,8.0,3.0,3.0,1.0,1.0,1.0,,,2.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,,,,,,,0.5,0.5,10.0,8.0,5.0,1.0,4.0,4.0,,,2.0,3.0,1.0,1.0,,,6.0,5.0,0.0,1.0,1.0,3.0
M5NeVb8K,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,26/05/2024,12:00,Championship Group,Levski Sofia,Ludogorets,1,0,[48],[],bet365,2.1,2.5,5.0,bet365,1.57,4.5,5.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.67,2.1,bet365,1.17,1.18,2.3,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.5,1.19,bet365,3.7,1.26,bet365,2.43,1.53,bet365,1.98,1.88,bet365,1.58,2.35,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.5,7.2,1.21,Betano.br,4.6,4.8,1.55,bet365,2.5,4.0,2.3,Betano.br,1.2,6.7,11.25,Betano.br,1.06,11.75,25.0,Betano.br,1.02,16.5,37.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,22.0,3.0,6.0,2.0,10.0,1.0,6.0,0.0,,,,,,,,,,,9.0,1.0,6.0,10.0,20.0,16.0,10.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,0.5,0.5,10.0,2.0,1.0,1.0,4.0,1.0,,,2.0,1.0,1.0,0.0,8.0,3.0,0.0,0.0,1.0,1.0,,,,,,,0.7,0.3,12.0,1.0,5.0,1.0,6.0,0.0,,,7.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0
GE9oH4lm,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,25/05/2024,14:30,Relegation Group,Botev Vratsa,Beroe,1,0,[17],[],bet365,2.0,2.3,7.0,bet365,1.44,4.2,8.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,2.1,1.67,bet365,1.08,1.22,2.63,bet365,10.0,bet365,17.0,bet365,41.0,bet365,81.0,bet365,6.5,bet365,8.0,bet365,23.0,bet365,51.0,bet365,6.5,bet365,9.0,bet365,21.0,bet365,51.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,67.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.4,2.85,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.0,7.4,1.18,Betano.br,5.1,4.55,1.53,bet365,2.25,3.6,2.63,Betano.br,1.15,7.2,17.0,Betano.br,1.03,13.5,37.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,14.0,3.0,6.0,0.0,4.0,3.0,4.0,0.0,,,,,,,,,,,7.0,3.0,14.0,15.0,20.0,29.0,14.0,12.0,1.0,1.0,,,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,,0.59,0.41,11.0,1.0,4.0,0.0,4.0,1.0,,,4.0,1.0,0.0,1.0,6.0,9.0,0.0,1.0,0.0,3.0,,,,,,,0.43,0.57,3.0,2.0,2.0,0.0,0.0,2.0,,,3.0,2.0,1.0,0.0,,,8.0,3.0,1.0,1.0,0.0,2.0
zmKBSBAT,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,25/05/2024,14:30,Relegation Group,Hebar,Etar,3,1,"[48, 66, 85]",[45],bet365,2.1,2.25,6.0,bet365,1.57,4.2,5.25,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.29,3.5,bet365,1.9,1.95,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.91,1.8,bet365,1.17,1.22,2.3,bet365,11.0,bet365,13.0,bet365,29.0,bet365,51.0,bet365,6.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,51.0,bet365,5.0,1.17,bet365,4.0,1.23,bet365,2.5,1.5,bet365,1.98,1.88,bet365,1.55,2.38,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.5,6.6,1.2,Betano.br,4.55,4.35,1.57,bet365,2.5,3.6,2.3,Betano.br,1.14,6.9,15.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,11.0,9.0,3.0,3.0,1.0,4.0,7.0,2.0,,,,,,,,,,,8.0,6.0,20.0,14.0,20.0,19.0,11.0,18.0,4.0,4.0,,,3.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.52,0.48,1.0,8.0,0.0,2.0,1.0,4.0,,,3.0,5.0,0.0,1.0,4.0,8.0,1.0,2.0,1.0,0.0,,,,,,,0.54,0.46,10.0,1.0,3.0,1.0,0.0,0.0,,,5.0,1.0,4.0,3.0,,,7.0,10.0,2.0,0.0,1.0,0.0
fX0rNkYj,BULGARIA,2023-2024,Efbet League 2023 2024,BULGARIA 1,25/05/2024,14:30,Relegation Group,Lok. Sofia,Pirin Blagoevgrad,1,0,[82],[],bet365,4.33,2.05,2.75,bet365,3.4,3.5,2.05,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.73,1.29,1.3,bet365,9.0,bet365,6.5,bet365,9.0,bet365,19.0,bet365,9.0,bet365,6.5,bet365,9.0,bet365,19.0,bet365,17.0,bet365,12.0,bet365,17.0,bet365,29.0,bet365,41.0,bet365,29.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,3.3,1.33,bet365,1.75,2.05,bet365,1.35,3.1,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,Betano.br,40.0,16.0,1.02,Betano.br,22.0,9.75,1.09,Betano.br,8.75,5.1,1.31,bet365,1.73,3.75,4.0,Betano.br,1.27,5.9,9.0,Betano.br,1.08,10.5,21.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,11.0,9.0,3.0,1.0,6.0,5.0,2.0,3.0,,,,,,,,,,,2.0,1.0,13.0,13.0,17.0,16.0,12.0,12.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.66,0.34,5.0,5.0,1.0,0.0,2.0,4.0,,,2.0,0.0,,,4.0,3.0,1.0,0.0,0.0,1.0,,,,,,,0.56,0.44,6.0,4.0,2.0,1.0,4.0,1.0,,,0.0,1.0,1.0,3.0,0.0,1.0,8.0,9.0,0.0,1.0,1.0,1.0
