Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
Otjke2rA,CHILE,2023,Liga De Primera 2023,CHILE 1,09/12/2023,18:00,Round 30,Copiapo,Everton,2,0,"[16, 21]",[],bet365,3.25,2.3,3.0,bet365,2.9,3.4,2.4,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.53,2.38,bet365,1.53,1.3,1.4,bet365,13.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,12.0,bet365,6.5,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,11.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.75,1.43,bet365,1.58,2.35,bet365,1.28,3.55,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,Betano.br,25.0,12.5,1.04,Betano.br,13.0,7.6,1.15,Betano.br,5.7,4.65,1.45,bet365,1.53,4.5,4.5,Betano.br,1.22,6.5,9.5,Betano.br,1.07,10.75,19.5,1.26,0.54,,,,,,,,,0.41,0.59,0.79,0.82,,,,,,,,,11.0,11.0,5.0,5.0,6.0,6.0,,,,,,,,,,,,,2.0,8.0,11.0,14.0,16.0,25.0,9.0,10.0,3.0,4.0,,,2.0,1.0,5.0,3.0,,,,,,,,,,,,,1.26,0.18,,,,,0.45,0.55,9.0,4.0,4.0,2.0,5.0,2.0,,,2.0,4.0,0.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,0.0,0.36,,,,,0.37,0.63,2.0,7.0,1.0,3.0,1.0,4.0,,,0.0,4.0,3.0,2.0,,,6.0,5.0,2.0,0.0,3.0,1.0
pjiodrT3,CHILE,2023,Liga De Primera 2023,CHILE 1,09/12/2023,18:00,Round 30,Magallanes,Coquimbo,2,3,"[3, 83]","[34, 63, 71]",bet365,2.63,2.4,3.5,bet365,2.15,3.75,3.1,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.36,1.25,1.67,bet365,17.0,bet365,15.0,bet365,19.0,bet365,34.0,bet365,11.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.1,1.35,bet365,2.1,1.7,bet365,1.38,3.0,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,16.5,10.0,1.09,Betano.br,8.25,6.1,1.26,bet365,3.75,4.33,1.67,Betano.br,1.4,4.9,6.2,Betano.br,1.13,8.0,13.5,Betano.br,1.04,13.0,25.0,1.68,1.34,,,,,,,,,0.56,0.44,0.93,0.85,,,,,,,,,11.0,16.0,9.0,8.0,2.0,8.0,,,,,,,,,,,,,11.0,4.0,6.0,15.0,19.0,13.0,9.0,5.0,2.0,2.0,,,6.0,2.0,5.0,7.0,,,,,,,,,,,,,0.15,0.31,,,,,0.51,0.49,4.0,8.0,4.0,4.0,0.0,4.0,,,2.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,1.53,1.03,,,,,0.61,0.39,7.0,8.0,5.0,4.0,2.0,4.0,,,9.0,3.0,2.0,1.0,,,7.0,3.0,3.0,2.0,2.0,4.0
K8qbgtDM,CHILE,2023,Liga De Primera 2023,CHILE 1,09/12/2023,18:00,Round 30,O'Higgins,Palestino,0,1,[],[36],bet365,3.4,2.25,3.0,bet365,2.9,3.4,2.38,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.53,1.3,1.4,bet365,12.0,bet365,9.5,bet365,12.0,bet365,23.0,bet365,11.0,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,2.85,1.4,bet365,1.6,2.3,bet365,1.28,3.55,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,Betano.br,28.0,13.5,1.03,Betano.br,15.5,8.25,1.12,Betano.br,6.7,4.85,1.38,bet365,1.53,4.33,4.5,Betano.br,1.24,6.1,9.0,Betano.br,1.08,10.25,19.0,0.55,0.42,,,,,,,,,0.52,0.48,0.81,0.97,,,,,,,,,11.0,6.0,5.0,2.0,6.0,4.0,,,,,,,,,,,,,6.0,8.0,14.0,15.0,28.0,30.0,13.0,13.0,4.0,5.0,,,2.0,1.0,1.0,5.0,,,,,,,,,,,,,0.11,0.22,,,,,0.5,0.5,2.0,5.0,0.0,2.0,2.0,3.0,,,1.0,6.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,0.0,0.44,0.2,,,,,0.54,0.46,9.0,1.0,5.0,0.0,4.0,1.0,,,5.0,2.0,3.0,3.0,,,10.0,7.0,1.0,0.0,0.0,5.0
EVr2h0SS,CHILE,2023,Liga De Primera 2023,CHILE 1,09/12/2023,18:00,Round 30,U. De Chile,Nublense,3,1,"[42, 71, 90]",[17],bet365,2.3,2.2,5.0,bet365,1.7,3.75,5.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.03,1.83,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.17,1.25,2.1,bet365,10.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,13.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,8.0,1.14,Betano.br,5.8,5.0,1.42,bet365,2.88,3.6,2.1,Betano.br,1.22,6.0,10.5,Betano.br,1.06,10.75,24.0,Betano.br,1.01,15.5,35.0,1.84,0.4,,,,,,,,,0.42,0.58,0.91,0.86,,,,,,,,,19.0,11.0,12.0,5.0,7.0,6.0,,,,,,,,,,,,,8.0,1.0,15.0,15.0,24.0,21.0,15.0,11.0,2.0,4.0,,,1.0,3.0,4.0,9.0,,,,,,,,,,,,,1.32,0.18,,,,,0.39,0.61,11.0,3.0,6.0,1.0,5.0,2.0,,,3.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,0.0,5.0,0.52,0.22,,,,,0.45,0.55,8.0,8.0,6.0,4.0,2.0,4.0,,,5.0,0.0,1.0,3.0,,,9.0,6.0,0.0,2.0,4.0,4.0
xQmwb4bi,CHILE,2023,Liga De Primera 2023,CHILE 1,09/12/2023,18:00,Round 30,Union La Calera,U. Catolica,0,3,[],"[38, 67, 90]",bet365,2.75,2.25,3.75,bet365,2.1,3.5,3.4,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.83,2.03,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.3,1.29,1.7,bet365,12.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,8.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,19.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.8,1.25,bet365,3.0,1.38,bet365,2.05,1.75,bet365,1.33,3.3,bet365,1.13,6.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,10.0,1.09,Betano.br,8.25,6.0,1.26,bet365,3.75,4.0,1.7,Betano.br,1.36,4.9,7.0,Betano.br,1.11,8.5,16.0,Betano.br,1.03,13.5,29.0,1.37,1.16,,,,,,,,,0.32,0.68,0.84,0.91,,,,,,,,,8.0,16.0,3.0,10.0,5.0,6.0,,,,,,,,,,,,,2.0,4.0,13.0,14.0,22.0,17.0,13.0,10.0,2.0,4.0,1.0,0.0,0.0,1.0,7.0,3.0,,,,,,,,,,,,,0.22,0.48,,,,,0.3,0.7,4.0,6.0,2.0,2.0,2.0,4.0,,,1.0,1.0,2.0,3.0,7.0,6.0,0.0,1.0,1.0,2.0,1.15,0.68,,,,,0.34,0.66,4.0,10.0,1.0,8.0,3.0,2.0,,,1.0,3.0,0.0,1.0,,,6.0,4.0,0.0,0.0,6.0,1.0
zL9fZKLj,CHILE,2023,Liga De Primera 2023,CHILE 1,08/12/2023,18:00,Round 30,Curico Unido,Colo Colo,0,1,[],[63],bet365,11.0,3.0,1.53,bet365,12.0,8.5,1.17,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,2.2,1.62,bet365,5.0,1.08,1.05,bet365,21.0,bet365,9.0,bet365,6.5,bet365,7.0,bet365,29.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,29.0,bet365,151.0,bet365,81.0,bet365,67.0,bet365,81.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.1,1.23,bet365,2.43,1.53,bet365,2.03,1.83,bet365,1.6,2.3,,0.0,0.0,0.0,Betano.br,40.0,15.5,1.01,Betano.br,30.0,11.5,1.04,Betano.br,5.1,4.5,1.5,bet365,2.5,4.0,2.25,Betano.br,1.65,4.75,3.85,0.11,0.79,,,,,,,,,0.31,0.69,0.95,0.88,,,,,,,,,4.0,18.0,0.0,12.0,4.0,6.0,,,,,,,,,,,,,1.0,4.0,13.0,10.0,27.0,20.0,8.0,9.0,1.0,1.0,1.0,0.0,2.0,4.0,11.0,0.0,,,,,,,,,,,,,0.11,0.13,,,,,0.38,0.62,4.0,5.0,0.0,4.0,4.0,1.0,,,1.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.66,,,,,0.24,0.76,0.0,13.0,0.0,8.0,0.0,5.0,,,0.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,7.0,0.0
tIpffMcG,CHILE,2023,Liga De Primera 2023,CHILE 1,08/12/2023,18:00,Round 30,Huachipato,A. Italiano,2,0,"[69, 73]",[],bet365,1.95,2.5,6.5,bet365,1.44,4.75,7.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,17.0,bet365,1.2,4.33,bet365,1.62,2.25,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.83,1.83,bet365,1.1,1.18,2.63,bet365,15.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,7.5,bet365,9.5,bet365,19.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.73,2.08,bet365,1.45,2.68,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.7,6.2,1.27,Betano.br,3.85,4.25,1.7,bet365,2.2,3.75,2.63,Betano.br,1.12,7.9,17.0,Betano.br,1.03,13.5,32.0,,0.0,0.0,0.0,1.41,0.53,,,,,,,,,0.64,0.36,0.86,0.84,,,,,,,,,12.0,13.0,8.0,6.0,4.0,7.0,,,,,,,,,,,,,10.0,11.0,12.0,13.0,25.0,26.0,9.0,12.0,2.0,3.0,0.0,1.0,2.0,0.0,6.0,6.0,,,,,,,,,,,,,0.41,0.26,,,,,0.66,0.34,8.0,4.0,4.0,1.0,4.0,3.0,,,7.0,1.0,1.0,2.0,3.0,7.0,2.0,0.0,1.0,4.0,1.0,0.27,,,,,0.62,0.38,4.0,9.0,4.0,5.0,0.0,4.0,,,3.0,10.0,1.0,1.0,,,6.0,5.0,0.0,0.0,5.0,2.0
jTiscODc,CHILE,2023,Liga De Primera 2023,CHILE 1,08/12/2023,18:00,Round 30,U. Espanola,Cobresal,1,0,[59],[],bet365,3.1,2.3,3.0,bet365,2.63,3.5,2.55,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.53,2.38,bet365,1.5,1.29,1.44,bet365,15.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,12.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,23.0,bet365,26.0,bet365,19.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,4.0,1.23,bet365,2.5,1.5,bet365,1.53,2.43,bet365,1.24,3.9,bet365,1.18,4.65,bet365,1.1,7.0,,0.0,0.0,Betano.br,26.0,13.0,1.04,Betano.br,13.5,7.9,1.14,Betano.br,6.1,4.8,1.42,bet365,1.5,4.5,4.75,Betano.br,1.25,6.1,8.5,Betano.br,1.08,10.0,17.5,0.98,0.23,,,,,,,,,0.62,0.38,0.9,0.81,,,,,,,,,24.0,11.0,14.0,5.0,10.0,6.0,,,,,,,,,,,,,6.0,3.0,10.0,19.0,17.0,14.0,20.0,8.0,3.0,1.0,,,2.0,3.0,5.0,13.0,,,,,,,,,,,,,0.4,0.07,,,,,0.67,0.33,11.0,4.0,7.0,1.0,4.0,3.0,,,4.0,1.0,2.0,0.0,7.0,2.0,2.0,1.0,1.0,7.0,0.58,0.16,,,,,0.57,0.43,13.0,7.0,7.0,4.0,6.0,3.0,,,2.0,2.0,1.0,1.0,,,13.0,6.0,0.0,2.0,4.0,6.0
0vwapoUi,CHILE,2023,Liga De Primera 2023,CHILE 1,03/12/2023,18:00,Round 29,Cobresal,U. De Chile,4,3,"[45, 60, 81, 90]","[57, 66, 76]",bet365,2.63,2.3,3.75,bet365,2.1,3.5,3.4,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.3,1.29,1.7,bet365,13.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,9.5,bet365,7.0,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,12.0,bet365,29.0,bet365,19.0,bet365,15.0,bet365,23.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.33,3.3,bet365,1.13,5.9,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,Betano.br,14.5,8.75,1.11,Betano.br,6.8,5.4,1.34,bet365,3.75,4.0,1.7,Betano.br,1.26,5.5,9.5,Betano.br,1.07,10.0,22.0,Betano.br,1.02,15.0,35.0,2.31,1.4,,,,,,,,,0.45,0.55,0.87,0.92,,,,,,,,,21.0,27.0,14.0,13.0,7.0,14.0,,,,,,,,,,,,,4.0,1.0,7.0,9.0,21.0,21.0,7.0,5.0,4.0,3.0,,,2.0,1.0,10.0,10.0,,,,,,,,,,,,,0.43,0.42,,,,,0.4,0.6,12.0,14.0,7.0,5.0,5.0,9.0,,,3.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,5.0,6.0,1.88,0.98,,,,,0.5,0.5,9.0,13.0,7.0,8.0,2.0,5.0,,,1.0,1.0,2.0,1.0,,,4.0,3.0,2.0,0.0,5.0,4.0
jTVBsqEA,CHILE,2023,Liga De Primera 2023,CHILE 1,03/12/2023,18:00,Round 29,Colo Colo,U. Espanola,0,2,[],"[46, 74]",bet365,1.73,2.6,8.5,bet365,1.29,5.5,11.0,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,2.0,1.73,bet365,1.05,1.14,3.5,bet365,13.0,bet365,23.0,bet365,41.0,bet365,126.0,bet365,7.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,6.5,bet365,9.0,bet365,21.0,bet365,51.0,bet365,8.0,bet365,11.0,bet365,29.0,bet365,67.0,bet365,3.1,1.35,bet365,2.5,1.5,bet365,1.9,1.95,bet365,1.43,2.75,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.8,5.4,1.38,bet365,3.0,4.0,1.95,bet365,1.91,3.75,3.25,Betano.br,1.07,9.5,25.0,Betano.br,1.01,15.0,40.0,,0.0,0.0,0.0,0.78,1.39,,,,,,,,,0.58,0.42,0.87,0.92,,,,,,,,,9.0,5.0,4.0,3.0,5.0,2.0,,,,,,,,,,,,,7.0,4.0,13.0,10.0,28.0,17.0,9.0,12.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,0.74,0.34,,,,,0.62,0.38,6.0,1.0,3.0,1.0,3.0,0.0,,,5.0,3.0,1.0,1.0,4.0,7.0,1.0,0.0,1.0,3.0,0.04,1.05,,,,,0.54,0.46,3.0,4.0,1.0,2.0,2.0,2.0,,,2.0,1.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0
