Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
z5ssLf1S,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Chengdu Rongcheng,Dalian Pro,3,0,"[21, 59, 86]",[],bet365,1.57,2.88,10.0,bet365,1.2,7.0,13.0,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,2.05,1.7,bet365,1.04,1.1,4.33,bet365,19.0,bet365,29.0,bet365,51.0,bet365,151.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,81.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,7.5,bet365,11.0,bet365,29.0,bet365,67.0,bet365,2.38,1.55,bet365,1.98,1.88,bet365,1.58,2.35,bet365,1.27,3.55,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,bet365,2.4,4.0,2.38,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,0.74,0.53,,,,,,,,,21.0,2.0,13.0,0.0,6.0,1.0,2.0,1.0,,,,,,,,,,,7.0,4.0,19.0,6.0,18.0,16.0,11.0,19.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,10.0,,,,,,,,,,,,,,,,,,,0.68,0.32,7.0,1.0,2.0,0.0,4.0,1.0,,,4.0,2.0,1.0,2.0,4.0,15.0,1.0,2.0,0.0,1.0,,,,,,,0.58,0.42,14.0,1.0,11.0,0.0,2.0,0.0,,,3.0,2.0,1.0,1.0,0.0,1.0,7.0,4.0,1.0,0.0,0.0,9.0
WzTCFYOk,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Guangzhou City,Cangzhou,1,4,[74],"[14, 30, 40, 43]",bet365,4.75,2.4,2.2,bet365,4.75,4.33,1.65,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.62,2.2,bet365,2.2,1.2,1.18,bet365,17.0,bet365,9.5,bet365,9.5,bet365,15.0,bet365,17.0,bet365,8.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.45,2.67,bet365,1.21,4.25,bet365,1.16,5.25,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,bet365,2.2,4.0,2.6,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,0.82,0.89,,,,,,,,,15.0,25.0,6.0,10.0,3.0,9.0,6.0,6.0,,,,,,,,,,,2.0,4.0,7.0,8.0,6.0,7.0,9.0,9.0,2.0,0.0,,,0.0,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,,0.42,0.58,0.0,20.0,0.0,10.0,0.0,6.0,,,0.0,3.0,2.0,0.0,7.0,3.0,0.0,0.0,6.0,0.0,,,,,,,0.5,0.5,15.0,5.0,6.0,0.0,3.0,3.0,,,2.0,1.0,,,,,2.0,6.0,0.0,1.0,0.0,5.0
M1wwMznM,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Meizhou Hakka,Guangzhou FC,1,0,[90],[],bet365,2.25,2.4,4.5,bet365,1.73,4.0,4.33,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.62,2.2,bet365,1.2,1.22,2.05,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,9.0,bet365,8.0,bet365,15.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,bet365,2.75,4.0,2.05,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.43,0.57,0.68,0.76,,,,,,,,,6.0,15.0,1.0,3.0,3.0,9.0,2.0,3.0,,,,,,,,,,,3.0,8.0,13.0,21.0,18.0,32.0,20.0,12.0,1.0,1.0,,,1.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.37,0.63,3.0,3.0,0.0,0.0,2.0,2.0,,,0.0,2.0,,,9.0,7.0,0.0,1.0,0.0,0.0,,,,,,,0.49,0.51,3.0,12.0,1.0,3.0,1.0,7.0,,,3.0,6.0,1.0,1.0,,,11.0,5.0,1.0,0.0,3.0,0.0
hpU8GE9q,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Shandong Taishan,Beijing Guoan,3,0,[],[],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jwqEDCg2,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Shanghai Port,Changchun Yatai,4,0,"[2, 28, 42, 45]",[],bet365,1.4,3.4,13.0,bet365,1.11,10.0,17.0,bet365,1.17,5.0,bet365,1.88,1.93,bet365,3.75,1.25,bet365,1.01,29.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.73,2.0,bet365,2.63,1.44,bet365,2.05,1.7,bet365,1.02,1.06,6.5,bet365,29.0,bet365,41.0,bet365,67.0,bet365,251.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,101.0,bet365,7.5,bet365,12.0,bet365,34.0,bet365,67.0,bet365,7.0,bet365,11.0,bet365,29.0,bet365,81.0,bet365,1.98,1.88,bet365,1.52,2.42,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.11,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.0,4.75,1.83,bet365,1.91,4.33,3.1,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,0.89,0.8,,,,,,,,,20.0,2.0,8.0,0.0,9.0,2.0,3.0,0.0,,,,,,,,,,,5.0,1.0,15.0,13.0,13.0,7.0,17.0,18.0,0.0,3.0,,,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,0.6,0.4,8.0,0.0,6.0,0.0,2.0,0.0,,,3.0,0.0,0.0,1.0,6.0,11.0,0.0,0.0,0.0,2.0,,,,,,,0.58,0.42,12.0,2.0,2.0,0.0,7.0,2.0,,,2.0,1.0,0.0,2.0,,,11.0,7.0,1.0,0.0,0.0,2.0
08Q4zz1F,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Wuhan Three Towns,Tianjin Jinmen Tiger,3,0,[],[],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CnpAEhvd,CHINA,2022,Super League 2022,CHINA 1,31/12/2022,04:00,Round 34,Zhejiang Professional,Wuhan FC,4,0,"[13, 22, 35, 84]",[],bet365,1.25,4.33,23.0,bet365,1.04,13.0,41.0,bet365,1.14,5.5,bet365,1.73,2.0,bet365,3.4,1.3,bet365,1.01,29.0,bet365,1.06,10.0,bet365,1.25,4.0,bet365,1.62,2.2,bet365,2.38,1.53,bet365,3.0,1.36,Betfair,1.01,1.03,13.0,bet365,21.0,bet365,67.0,bet365,251.0,Betfair,201.0,bet365,13.0,bet365,26.0,bet365,101.0,bet365,501.0,bet365,7.0,bet365,17.0,bet365,51.0,bet365,301.0,bet365,6.0,bet365,15.0,bet365,51.0,bet365,201.0,bet365,1.5,2.5,bet365,1.24,3.9,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,2.1,4.5,2.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,0.86,0.72,,,,,,,,,29.0,7.0,10.0,3.0,12.0,4.0,7.0,0.0,,,,,,,,,,,7.0,1.0,7.0,10.0,19.0,10.0,11.0,9.0,,,,,1.0,0.0,3.0,6.0,,,,,,,,,,,,,,,,,,,0.61,0.39,16.0,4.0,6.0,2.0,5.0,2.0,,,5.0,1.0,,,7.0,4.0,0.0,0.0,2.0,3.0,,,,,,,0.65,0.35,13.0,3.0,4.0,1.0,7.0,2.0,,,2.0,0.0,,,,,4.0,5.0,1.0,0.0,1.0,3.0
4tXexdW2,CHINA,2022,Super League 2022,CHINA 1,30/12/2022,04:00,Round 34,Hebei,Henan Songshan Longmen,0,4,[],"[51, 62, 67, 81]",Betfair,26.0,3.75,1.25,Betfair,61.0,13.0,1.03,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.33,3.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.33,3.0,Betfair,1.91,1.8,Betfair,3.2,1.3,Betfair,3.9,1.2,Betfair,3.5,1.2,1.01,Betfair,31.0,Betfair,8.5,Betfair,5.0,Betfair,4.5,Betfair,126.0,Betfair,36.0,Betfair,15.0,Betfair,15.0,Betfair,201.0,Betfair,201.0,Betfair,126.0,Betfair,91.0,Betfair,201.0,Betfair,201.0,Betfair,201.0,Betfair,201.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.4,0.6,0.78,0.89,,,,,,,,,6.0,23.0,1.0,7.0,2.0,11.0,3.0,5.0,,,,,,,,,,,4.0,6.0,15.0,9.0,7.0,14.0,10.0,14.0,0.0,1.0,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.38,0.62,1.0,11.0,1.0,1.0,0.0,6.0,,,1.0,4.0,0.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,,,,,,,0.42,0.58,5.0,12.0,0.0,6.0,2.0,5.0,,,3.0,2.0,,,,,6.0,4.0,0.0,0.0,2.0,0.0
Iqy0yGo9,CHINA,2022,Super League 2022,CHINA 1,30/12/2022,04:00,Round 34,Shanghai Shenhua,Shenzhen,2,0,"[9, 72]",[],bet365,1.33,3.75,19.0,bet365,1.07,12.0,26.0,,0.0,0.0,bet365,1.9,1.9,,0.0,0.0,,0.0,0.0,Betfair,1.06,7.5,bet365,1.3,3.5,bet365,1.83,2.02,Betfair,3.0,1.33,Betfair,2.5,1.44,bet365,1.01,1.05,9.0,bet365,23.0,bet365,41.0,bet365,126.0,bet365,501.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,201.0,bet365,6.5,bet365,13.0,bet365,41.0,bet365,126.0,bet365,6.0,bet365,13.0,bet365,41.0,bet365,151.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.37,4.2,2.22,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,0.83,0.76,,,,,,,,,23.0,3.0,8.0,1.0,10.0,2.0,5.0,0.0,,,,,,,,,,,5.0,0.0,15.0,10.0,47.0,11.0,10.0,16.0,0.0,2.0,,,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,0.54,0.46,9.0,1.0,3.0,0.0,4.0,1.0,,,1.0,0.0,,,4.0,8.0,1.0,0.0,0.0,2.0,,,,,,,0.56,0.44,14.0,2.0,5.0,1.0,6.0,1.0,,,4.0,0.0,0.0,2.0,,,6.0,8.0,0.0,0.0,1.0,4.0
hMoMPInc,CHINA,2022,Super League 2022,CHINA 1,27/12/2022,09:00,Round 33,Shandong Taishan,Meizhou Hakka,3,0,[],[],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
