Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
jsoqaBSg,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,17/12/2025,21:30,Second stage,Ind. Medellin,Atl. Nacional,0,1,[],[11],bet365,3.6,1.95,3.5,bet365,2.8,3.0,2.7,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.44,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.44,1.36,1.4,bet365,6.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,7.0,bet365,6.0,bet365,11.0,bet365,26.0,bet365,12.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,29.0,bet365,26.0,bet365,41.0,bet365,67.0,Superbet.br,13.0,1.02,,0.0,0.0,bet365,6.25,1.12,bet365,5.25,1.16,bet365,2.75,1.43,bet365,1.48,2.6,bet365,1.18,4.8,bet365,1.13,5.9,,0.0,0.0,Superbet.br,1.02,13.0,BetEsporte,30.0,11.0,1.02,Estrelabet,15.0,7.5,1.11,bet365,6.0,4.33,1.44,bet365,1.44,4.33,6.0,Estrelabet,1.11,7.5,15.0,BetEsporte,1.01,11.0,30.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,21.0,13.0,5.0,3.0,16.0,10.0,,,,,,,,,,,,,3.0,0.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.47,13.0,9.0,4.0,2.0,9.0,7.0,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,0.65,0.35,8.0,4.0,1.0,1.0,7.0,3.0,,,1.0,0.0,1.0,2.0,,,,,,,,
drhz1Xcs,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,13/12/2025,19:00,Second stage,Atl. Nacional,Ind. Medellin,0,0,[],[],bet365,2.88,2.1,4.0,,0.0,0.0,0.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.3,1.36,1.67,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,KTO.br,10.5,1.04,Alfabet,6.4,1.08,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.1,1.7,bet365,1.3,3.45,bet365,1.1,7.0,KTO.br,1.06,8.5,,0.0,0.0,,0.0,0.0,Estrelabet,21.0,9.5,1.05,Estrelabet,10.0,6.0,1.2,bet365,4.33,4.0,1.67,Estrelabet,1.3,4.75,8.5,Estrelabet,1.07,8.5,20.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,15.0,6.0,8.0,2.0,7.0,4.0,,,,,,,,,,,,,7.0,3.0,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.52,3.0,5.0,2.0,2.0,1.0,3.0,,,0.0,2.0,1.0,3.0,,,,,,,,,,,,,0.71,0.29,12.0,1.0,6.0,0.0,6.0,1.0,,,7.0,1.0,3.0,2.0,,,,,,,,
OzBrLnvH,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,16/11/2025,19:00,Second stage,America De Cali,Atl. Nacional,2,2,"[62, 90]","[45, 68]",bet365,3.0,2.3,3.2,bet365,2.35,3.4,2.6,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.44,1.29,1.53,bet365,15.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,11.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,13.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,23.0,bet365,19.0,bet365,23.0,bet365,41.0,Goldebet,7.5,1.05,,0.0,0.0,bet365,4.4,1.2,bet365,3.55,1.28,bet365,2.35,1.58,bet365,1.45,2.68,bet365,1.2,4.4,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,BetEsporte,19.0,9.8,1.05,Estrelabet,10.0,6.5,1.18,bet365,4.5,4.5,1.53,Estrelabet,1.4,4.75,5.66,BetEsporte,1.12,7.4,12.0,BetEsporte,1.02,11.0,25.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,12.0,17.0,6.0,7.0,6.0,10.0,,,,,,,,,,,,,7.0,4.0,,,,,,,2.0,8.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.55,0.45,2.0,9.0,1.0,3.0,1.0,6.0,,,2.0,2.0,2.0,4.0,,,,,,,,,,,,,0.51,0.49,10.0,8.0,5.0,4.0,5.0,4.0,,,5.0,2.0,0.0,4.0,,,,,,,,
C2d1aGrh,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,10/11/2025,21:30,Second stage,Ind. Medellin,Envigado,1,1,[38],[36],bet365,1.95,2.4,6.5,bet365,1.48,4.33,6.25,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.83,1.83,bet365,1.13,1.2,2.63,bet365,12.0,bet365,15.0,bet365,34.0,bet365,81.0,bet365,7.0,bet365,8.0,bet365,19.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.78,2.03,bet365,1.48,2.6,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,9.0,7.0,1.18,Estrelabet,4.33,4.5,1.54,bet365,2.3,3.75,2.63,BetEsporte,1.11,7.0,16.0,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,9.0,6.0,3.0,2.0,6.0,4.0,,,,,,,,,,,,,3.0,4.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.49,1.0,5.0,1.0,2.0,0.0,3.0,,,0.0,3.0,1.0,1.0,,,,,,,,,,,,,0.55,0.45,8.0,1.0,2.0,0.0,6.0,1.0,,,3.0,1.0,2.0,2.0,,,,,,,,
pd4FyDjo,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,03/11/2025,18:00,Second stage,Envigado,Ind. Medellin,0,1,[],[85],bet365,6.0,2.25,2.1,bet365,5.5,4.0,1.57,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,7.0,1.1,bet365,2.0,1.73,bet365,2.3,1.22,1.14,bet365,10.0,bet365,6.5,bet365,7.0,bet365,11.0,bet365,13.0,bet365,7.5,bet365,8.5,bet365,13.0,bet365,29.0,bet365,19.0,bet365,19.0,bet365,29.0,bet365,67.0,bet365,41.0,bet365,51.0,bet365,67.0,,0.0,0.0,,0.0,0.0,KTO.br,14.0,1.02,,0.0,0.0,bet365,5.5,1.15,bet365,2.35,1.58,bet365,1.8,2.0,bet365,1.48,2.6,bet365,1.21,4.25,bet365,1.16,5.25,BetEsporte,45.0,11.0,1.01,BetEsporte,35.0,10.0,1.02,Estrelabet,16.0,6.66,1.12,bet365,2.3,3.6,2.6,Estrelabet,1.5,4.5,4.75,Estrelabet,1.16,7.0,10.0,,,,,,,,,,,0.27,0.73,,,,,,,,,,,3.0,24.0,1.0,9.0,2.0,15.0,,,,,,,,,,,,,3.0,9.0,,,,,,,4.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.28,0.72,0.0,11.0,0.0,4.0,0.0,7.0,,,2.0,5.0,2.0,1.0,,,,,,,,,,,,,0.26,0.74,3.0,13.0,1.0,5.0,2.0,8.0,,,1.0,4.0,2.0,2.0,1.0,0.0,,,,,,
2LMZM894,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,02/11/2025,20:30,Second stage,Atl. Nacional,America De Cali,4,1,"[37, 50, 65, 67]",[81],bet365,2.2,2.38,5.0,bet365,1.7,3.75,5.0,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.17,1.25,2.1,bet365,12.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,8.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.18,4.65,,0.0,0.0,KTO.br,1.03,11.5,,0.0,0.0,,0.0,0.0,BetEsporte,10.0,7.2,1.14,BetEsporte,5.0,4.8,1.43,bet365,2.75,3.75,2.1,BetEsporte,1.17,6.2,11.0,BetEsporte,1.03,9.8,25.0,BetEsporte,1.01,12.0,40.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,12.0,11.0,8.0,5.0,4.0,6.0,,,,,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.47,6.0,4.0,4.0,2.0,2.0,2.0,,,4.0,1.0,,,,,,,,,,,,,,,0.43,0.57,6.0,7.0,4.0,3.0,2.0,4.0,,,2.0,1.0,,,,,,,,,,
4QvxMYlU,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,22/10/2025,20:00,Second stage,Atl. Nacional,Once Caldas,2,0,"[29, 88]",[],bet365,2.1,2.3,6.0,bet365,1.57,3.9,5.75,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.83,1.83,bet365,1.14,1.25,2.3,bet365,11.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,7.0,bet365,7.5,bet365,17.0,bet365,51.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,51.0,bet365,5.0,1.17,bet365,4.1,1.23,bet365,2.5,1.5,bet365,2.0,1.8,bet365,1.58,2.35,bet365,1.15,5.5,,0.0,0.0,KTO.br,1.01,16.0,,0.0,0.0,,0.0,0.0,Estrelabet,10.0,6.66,1.17,Estrelabet,4.75,4.5,1.5,bet365,2.5,3.75,2.3,Betnacional,1.12,7.26,16.18,Betnacional,1.02,12.15,38.47,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,10.0,10.0,5.0,6.0,5.0,4.0,,,,,,,,,,,,,4.0,5.0,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,5.0,3.0,3.0,2.0,2.0,1.0,,,4.0,3.0,1.0,1.0,,,,,,,,,,,,,0.54,0.46,5.0,7.0,2.0,4.0,3.0,3.0,,,0.0,2.0,,,1.0,0.0,,,,,,
zPVMQmGF,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,21/10/2025,22:00,Second stage,Pereira,Envigado,1,1,[90],[],bet365,2.2,2.2,6.0,bet365,1.57,3.9,5.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.1,1.67,bet365,1.14,1.25,2.3,bet365,8.5,bet365,13.0,bet365,29.0,bet365,67.0,bet365,5.5,bet365,7.5,bet365,19.0,bet365,51.0,bet365,7.0,bet365,8.0,bet365,21.0,bet365,51.0,bet365,12.0,bet365,15.0,bet365,29.0,bet365,67.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,2.08,1.73,bet365,1.58,2.35,bet365,1.14,5.75,,0.0,0.0,KTO.br,1.01,17.0,,0.0,0.0,,0.0,0.0,Estrelabet,11.0,7.0,1.15,Estrelabet,4.75,4.75,1.47,bet365,2.88,3.2,2.3,BetEsporte,1.11,6.6,18.0,BetEsporte,1.01,10.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.67,0.33,,,,,,,,,,,14.0,6.0,5.0,2.0,9.0,4.0,,,,,,,,,,,,,12.0,4.0,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.32,5.0,3.0,2.0,0.0,3.0,3.0,,,5.0,1.0,2.0,3.0,,,,,,,,,,,,,0.66,0.34,9.0,3.0,3.0,2.0,6.0,1.0,,,7.0,3.0,1.0,4.0,,,,,,,,
zZIWXBEt,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,15/10/2025,22:20,Second stage,America De Cali,Junior,1,1,[],[38],bet365,3.0,2.05,4.0,bet365,2.3,3.2,3.25,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.33,1.36,1.57,bet365,7.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,KTO.br,12.0,1.03,,0.0,0.0,bet365,4.5,1.19,bet365,3.55,1.28,bet365,2.3,1.6,bet365,1.35,3.1,bet365,1.12,6.4,Alfabet,1.08,6.6,,0.0,0.0,,0.0,0.0,BetEsporte,25.0,10.0,1.03,Estrelabet,13.0,6.33,1.15,bet365,4.75,4.0,1.57,Estrelabet,1.33,4.5,8.0,BetEsporte,1.07,8.0,19.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.59,0.41,,,,,,,,,,,14.0,10.0,7.0,2.0,7.0,8.0,,,,,,,,,,,,,6.0,4.0,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.47,7.0,6.0,3.0,2.0,4.0,4.0,,,3.0,3.0,1.0,0.0,,,,,,,,,,,,,0.65,0.35,7.0,4.0,4.0,0.0,3.0,4.0,,,3.0,1.0,3.0,3.0,,,,,,,,
8boTNfKH,COLOMBIA,2025,Copa Colombia,COLOMBIA CUP,09/10/2025,21:30,Second stage,Once Caldas,Atl. Nacional,0,1,[],[50],bet365,3.25,2.1,3.25,bet365,2.63,3.2,2.63,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.73,2.0,bet365,1.44,1.36,1.44,bet365,9.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,9.0,bet365,6.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,26.0,bet365,21.0,bet365,29.0,bet365,41.0,KTO.br,14.0,1.02,,0.0,0.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.6,1.48,bet365,1.48,2.6,bet365,1.19,4.5,bet365,1.15,5.5,,0.0,0.0,KTO.br,1.02,14.0,BetEsporte,27.0,11.0,1.02,BetEsporte,13.0,7.0,1.12,BetEsporte,5.4,4.3,1.42,bet365,1.44,4.5,5.5,BetEsporte,1.13,6.8,13.0,BetEsporte,1.02,11.0,26.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,21.0,12.0,9.0,2.0,12.0,10.0,,,,,,,,,,,,,6.0,1.0,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.57,10.0,7.0,4.0,1.0,6.0,6.0,,,2.0,0.0,4.0,1.0,,,,,,,,,,,,,0.53,0.47,11.0,5.0,5.0,1.0,6.0,4.0,,,4.0,1.0,0.0,3.0,,,,,,,,
