Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KMx0eTRI,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,16/12/2025,21:30,Clausura,Deportes Tolima,Junior,0,1,[],[17],bet365,2.38,2.05,6.0,bet365,1.67,3.3,6.0,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.25,1.57,bet365,1.13,1.33,2.15,bet365,6.5,bet365,11.0,bet365,26.0,bet365,67.0,bet365,5.5,bet365,6.5,bet365,21.0,bet365,51.0,bet365,7.0,bet365,9.5,bet365,21.0,bet365,51.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,81.0,bet365,6.4,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.14,5.75,1xBet,1.02,9.9,Superbet.br,1.02,12.0,,0.0,0.0,,0.0,0.0,Estrelabet,13.0,6.66,1.08,Estrelabet,5.75,4.75,1.3,bet365,3.0,3.4,2.15,Estrelabet,1.12,5.5,13.0,BetEsporte,1.02,10.0,35.0,BetEsporte,1.01,11.0,50.0,1.92,0.27,0.15,0.69,1.65,0.07,0.69,0.15,-0.31,0.15,0.73,0.27,0.82,0.58,0.68,0.33,0.66,0.36,0.0,0.0,0.39,0.0,36.0,3.0,5.0,2.0,19.0,0.0,12.0,1.0,21.0,2.0,15.0,1.0,1.0,1.0,1.0,0.0,45.0,3.0,11.0,1.0,10.0,12.0,28.0,9.0,12.0,10.0,4.0,3.0,0.0,1.0,1.0,4.0,1.0,4.0,0.8,0.8,34.0,28.0,3.0,63.0,6.0,11.0,0.0,0.0,0.0,0.0,0.72,0.26,0.11,0.66,0.75,0.05,0.74,0.26,13.0,2.0,3.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,4.0,7.0,0.0,2.0,0.0,2.0,1.2,0.01,0.04,0.03,0.9,0.02,0.72,0.28,23.0,1.0,2.0,1.0,14.0,0.0,1.0,0.0,7.0,0.0,2.0,2.0,,,8.0,3.0,1.0,2.0,1.0,2.0
Ofqickc6,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,12/12/2025,22:00,Clausura,Junior,Deportes Tolima,3,0,"[5, 36, 39]",[],bet365,3.25,1.91,4.33,bet365,2.38,2.88,3.4,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57,bet365,1.3,1.4,1.53,bet365,5.5,bet365,7.5,bet365,15.0,bet365,41.0,bet365,5.5,bet365,5.5,bet365,13.0,bet365,34.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,23.0,bet365,26.0,bet365,41.0,bet365,81.0,Superbet.br,10.0,1.03,1xBet,9.47,1.04,bet365,5.5,1.15,bet365,4.25,1.21,bet365,2.38,1.55,bet365,1.33,3.3,bet365,1.11,6.8,Superbet.br,1.06,7.6,,0.0,0.0,,0.0,0.0,BetEsporte,28.0,10.0,1.02,Estrelabet,11.0,5.66,1.13,bet365,5.5,3.75,1.53,Estrelabet,1.26,4.25,8.0,BetEsporte,1.06,8.4,23.0,BetEsporte,1.01,11.0,40.0,2.37,0.66,2.74,0.6,0.94,0.89,0.6,2.74,0.6,-0.26,0.37,0.63,0.81,0.85,0.48,0.55,0.75,0.74,1.0,0.0,0.25,0.23,9.0,12.0,6.0,3.0,3.0,5.0,0.0,4.0,6.0,8.0,3.0,4.0,5.0,0.0,0.0,0.0,15.0,23.0,3.0,6.0,9.0,17.0,10.0,36.0,17.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.85,0.57,37.0,36.0,27.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,2.06,0.34,1.99,0.6,0.49,0.41,0.37,0.63,6.0,7.0,4.0,3.0,2.0,2.0,4.0,0.0,1.0,3.0,0.0,2.0,8.0,4.0,0.0,0.0,3.0,1.0,0.31,0.32,0.75,0.0,0.45,0.48,0.37,0.63,3.0,5.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,,,0.0,1.0,9.0,5.0,0.0,0.0,0.0,2.0
I5W7VDSp,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,21:20,Clausura,Santa Fe,Bucaramanga,0,0,[],[],bet365,3.1,2.05,3.75,bet365,2.38,3.2,3.1,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.36,1.36,1.53,bet365,8.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,7.5,bet365,6.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,10.0,bet365,15.0,bet365,41.0,bet365,23.0,bet365,21.0,bet365,34.0,bet365,51.0,Superbet.br,9.8,1.03,1xBet,8.7,1.04,bet365,4.8,1.18,bet365,3.8,1.25,bet365,2.35,1.58,bet365,1.38,3.0,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,BetEsporte,23.0,10.0,1.04,Estrelabet,9.0,5.5,1.16,bet365,5.0,4.0,1.53,Estrelabet,1.3,4.33,6.66,Estrelabet,1.06,6.66,16.0,BetEsporte,1.01,11.0,35.0,0.79,0.4,1.32,0.04,0.59,0.29,0.04,1.32,0.04,1.32,0.59,0.41,0.89,0.83,0.5,0.58,0.83,0.7,0.0,0.0,0.19,0.0,17.0,8.0,4.0,1.0,9.0,5.0,4.0,2.0,8.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,13.0,8.0,4.0,3.0,8.0,13.0,25.0,11.0,13.0,8.0,,,,,1.0,1.0,1.0,4.0,0.67,1.0,24.0,34.0,13.0,23.0,3.0,6.0,0.0,0.0,0.0,0.0,0.37,0.39,0.14,0.04,0.24,0.25,0.56,0.44,7.0,7.0,1.0,1.0,6.0,4.0,0.0,0.0,1.0,2.0,,,8.0,2.0,0.0,0.0,1.0,1.0,0.42,0.01,1.18,0.0,0.35,0.04,0.63,0.37,10.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,,,,,5.0,6.0,1.0,1.0,0.0,3.0
SKPzwdzB,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,19:15,Clausura,America De Cali,Atl. Nacional,3,2,"[19, 22, 58]","[31, 69]",bet365,4.33,2.2,2.5,bet365,3.8,3.5,1.91,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.83,1.29,1.25,bet365,11.0,bet365,7.5,bet365,9.5,bet365,17.0,bet365,12.0,bet365,6.5,bet365,8.5,bet365,15.0,bet365,21.0,bet365,13.0,bet365,15.0,bet365,26.0,bet365,41.0,bet365,29.0,bet365,41.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.4,1.06,bet365,7.0,1.1,bet365,3.8,1.25,bet365,1.88,1.93,bet365,1.45,2.68,bet365,1.3,3.45,bet365,1.12,6.25,bet365,1.1,7.0,BetEsporte,35.0,11.0,1.01,BetEsporte,20.0,8.8,1.06,Estrelabet,7.5,5.0,1.22,bet365,1.83,3.75,3.5,Estrelabet,1.25,5.0,6.66,Estrelabet,1.06,7.5,13.0,0.53,1.26,0.39,0.63,0.29,0.97,0.63,0.39,-1.37,-1.61,0.47,0.53,0.76,0.76,0.38,0.46,0.58,0.58,0.0,0.0,0.22,0.17,12.0,17.0,4.0,5.0,4.0,9.0,4.0,3.0,6.0,11.0,6.0,6.0,0.0,1.0,0.0,1.0,11.0,19.0,5.0,4.0,11.0,17.0,13.0,20.0,17.0,11.0,5.0,2.0,,,1.0,6.0,3.0,2.0,0.83,1.0,33.0,46.0,39.0,14.0,6.0,6.0,0.0,0.0,0.0,0.0,0.27,0.37,0.16,0.28,0.08,0.05,0.57,0.43,5.0,8.0,1.0,2.0,1.0,5.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0,3.0,0.0,3.0,1.0,0.0,0.26,0.89,0.23,0.35,0.21,0.92,0.37,0.63,7.0,9.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,,,7.0,8.0,1.0,3.0,2.0,2.0
nNuxyz5N,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,19:15,Clausura,Ind. Medellin,Junior,2,1,"[29, 45]",[49],bet365,2.75,2.38,3.4,bet365,2.38,3.0,3.1,bet365,1.29,3.5,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.36,1.36,1.53,bet365,10.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,9.0,bet365,6.0,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,Superbet.br,9.5,1.03,1xBet,8.5,1.04,bet365,4.5,1.19,bet365,3.7,1.26,bet365,2.35,1.58,bet365,1.35,3.1,bet365,1.15,5.5,bet365,1.12,6.4,1xBet,1.01,11.0,,0.0,0.0,BetEsporte,22.0,10.0,1.03,BetEsporte,11.0,6.6,1.16,bet365,4.5,4.33,1.53,BetEsporte,1.37,4.6,5.8,BetEsporte,1.11,7.4,13.0,BetEsporte,1.02,11.0,26.0,1.34,0.98,2.14,0.81,0.73,0.81,0.81,2.14,-0.19,0.14,0.51,0.49,0.83,0.84,0.55,0.38,0.67,0.66,0.0,1.0,0.33,0.29,15.0,7.0,7.0,2.0,8.0,4.0,0.0,1.0,7.0,4.0,8.0,3.0,0.0,1.0,0.0,0.0,19.0,12.0,6.0,1.0,4.0,11.0,18.0,20.0,11.0,4.0,3.0,1.0,,,0.0,1.0,1.0,5.0,0.85,0.54,29.0,32.0,11.0,26.0,11.0,10.0,0.0,0.0,0.0,0.0,1.09,0.91,2.06,0.65,0.49,0.23,0.57,0.43,12.0,4.0,6.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,6.0,3.0,0.0,1.0,1.0,4.0,0.25,0.07,0.08,0.16,0.24,0.58,0.46,0.54,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,,,5.0,1.0,0.0,0.0,0.0,1.0
f7RSvI5b,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,17:00,Clausura,Deportes Tolima,Fortaleza,1,0,[22],[],bet365,2.3,2.2,5.0,bet365,1.73,3.5,5.25,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.17,1.29,2.05,bet365,9.5,bet365,13.0,bet365,26.0,bet365,51.0,bet365,6.5,bet365,6.5,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,Betano.br,2.1,1.67,bet365,1.7,2.1,bet365,1.17,5.0,1xBet,1.03,7.4,Superbet.br,1.02,12.0,,0.0,0.0,,0.0,0.0,Estrelabet,14.0,10.0,1.12,Estrelabet,6.2,5.4,1.33,bet365,2.88,3.75,2.05,Estrelabet,1.18,6.2,13.0,BetEsporte,1.04,9.0,24.0,BetEsporte,1.01,11.0,40.0,0.95,0.75,0.87,0.18,0.48,0.65,0.18,0.87,0.18,-0.13,0.49,0.51,0.86,0.87,0.58,0.69,0.75,0.72,0.0,0.0,0.13,0.08,8.0,9.0,1.0,3.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,6.0,16.0,2.0,6.0,13.0,4.0,15.0,19.0,4.0,13.0,0.0,1.0,,,1.0,2.0,3.0,0.0,0.74,0.67,39.0,39.0,20.0,12.0,4.0,9.0,0.0,1.0,0.0,1.0,0.29,0.17,0.87,0.03,0.11,0.21,0.6,0.4,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,,,2.0,6.0,0.0,0.0,1.0,0.0,0.66,0.58,0.0,0.15,0.37,0.44,0.36,0.64,4.0,7.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,,,2.0,7.0,1.0,2.0,2.0,0.0
pWn0dLhA,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,04/12/2025,22:35,Clausura,Junior,America De Cali,2,1,"[73, 88]",[68],bet365,2.5,2.25,4.33,bet365,1.85,3.6,3.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.25,1.29,1.91,bet365,12.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,8.0,bet365,7.0,bet365,13.0,bet365,29.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.88,1.93,bet365,1.26,3.7,1xBet,1.09,7.56,Superbet.br,1.06,7.5,,0.0,0.0,,0.0,0.0,Estrelabet,12.0,7.0,1.08,Estrelabet,5.75,5.0,1.28,bet365,3.25,3.75,1.91,Estrelabet,1.2,5.0,8.5,BetEsporte,1.06,8.8,20.0,BetEsporte,1.01,11.0,35.0,1.4,0.49,1.7,0.13,0.83,0.48,0.13,1.7,-0.87,-0.3,0.5,0.5,0.8,0.78,0.49,0.43,0.62,0.67,0.0,0.0,0.27,0.13,13.0,11.0,4.0,1.0,4.0,8.0,5.0,2.0,7.0,5.0,6.0,6.0,1.0,0.0,0.0,1.0,15.0,15.0,3.0,3.0,16.0,13.0,16.0,23.0,13.0,16.0,3.0,6.0,,,1.0,3.0,0.0,2.0,0.87,0.81,48.0,41.0,17.0,14.0,6.0,8.0,0.0,1.0,0.0,0.0,0.13,0.21,0.0,0.0,0.28,0.15,0.51,0.49,3.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,1.27,0.28,1.7,0.13,0.55,0.33,0.5,0.5,10.0,6.0,4.0,1.0,2.0,5.0,1.0,0.0,3.0,0.0,3.0,4.0,,,7.0,8.0,0.0,2.0,0.0,2.0
OGbibsOc,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,04/12/2025,20:30,Clausura,Atl. Nacional,Ind. Medellin,2,1,"[25, 54]",[90],bet365,2.63,2.2,4.0,bet365,2.05,3.4,3.5,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.29,1.3,1.73,bet365,10.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,8.0,bet365,6.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,19.0,bet365,17.0,bet365,26.0,bet365,41.0,Superbet.br,7.3,1.06,bet365,7.0,1.1,bet365,3.8,1.25,bet365,3.0,1.38,bet365,2.05,1.75,bet365,1.3,3.45,bet365,1.11,6.6,Superbet.br,1.06,7.1,,0.0,0.0,,0.0,0.0,Estrelabet,14.0,8.0,1.05,Estrelabet,7.5,5.0,1.22,bet365,3.75,4.0,1.73,Estrelabet,1.25,4.75,7.0,Estrelabet,1.05,7.5,16.0,BetEsporte,1.01,11.0,35.0,0.59,1.67,1.39,0.78,0.42,1.69,0.78,1.39,-0.22,-0.61,0.42,0.58,0.73,0.79,0.46,0.53,0.55,0.63,0.0,0.0,0.17,0.17,6.0,14.0,3.0,3.0,1.0,8.0,2.0,3.0,3.0,9.0,3.0,5.0,1.0,1.0,0.0,0.0,8.0,20.0,1.0,2.0,16.0,18.0,16.0,19.0,18.0,16.0,6.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,0.71,0.8,42.0,45.0,22.0,19.0,3.0,8.0,0.0,0.0,0.0,1.0,0.16,0.16,0.69,0.03,0.32,0.07,0.51,0.49,2.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,8.0,0.0,2.0,1.0,0.0,0.43,1.51,0.7,0.75,0.1,1.62,0.33,0.67,4.0,9.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,12.0,8.0,1.0,1.0,0.0,1.0
hrBZu08T,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,03/12/2025,22:30,Clausura,Bucaramanga,Deportes Tolima,0,0,[],[],bet365,2.88,1.95,4.5,bet365,2.15,2.9,3.9,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.25,1.4,1.67,bet365,6.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,5.5,bet365,6.0,bet365,15.0,bet365,41.0,bet365,9.0,bet365,10.0,bet365,19.0,bet365,51.0,bet365,19.0,bet365,21.0,bet365,41.0,bet365,67.0,Superbet.br,9.2,1.04,1xBet,10.1,1.03,bet365,4.4,1.2,bet365,3.45,1.3,bet365,2.1,1.7,bet365,1.26,3.7,1xBet,1.08,8.11,Superbet.br,1.04,8.4,,0.0,0.0,,0.0,0.0,BetEsporte,24.0,9.8,1.04,Estrelabet,9.0,5.5,1.16,bet365,4.5,3.75,1.67,Estrelabet,1.2,4.75,9.5,BetEsporte,1.04,8.8,26.0,BetEsporte,1.01,11.0,45.0,0.33,0.32,0.12,0.1,0.38,0.28,0.1,0.12,0.1,0.12,0.53,0.47,0.74,0.73,0.37,0.39,0.53,0.57,0.0,0.0,0.37,0.4,7.0,7.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,10.0,4.0,4.0,15.0,21.0,34.0,11.0,21.0,15.0,6.0,2.0,,,3.0,1.0,2.0,1.0,0.72,0.65,43.0,60.0,10.0,39.0,11.0,6.0,0.0,0.0,0.0,0.0,0.16,0.23,0.12,0.08,0.07,0.16,0.52,0.48,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,0.17,0.09,0.0,0.02,0.31,0.12,0.55,0.45,5.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,,,9.0,8.0,2.0,0.0,1.0,0.0
CSi6zvWj,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,03/12/2025,20:20,Clausura,Fortaleza,Santa Fe,1,2,[20],"[27, 42]",bet365,3.2,2.2,3.25,bet365,2.6,3.25,2.63,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.44,1.33,1.5,bet365,10.0,bet365,9.5,bet365,13.0,bet365,26.0,bet365,9.5,bet365,6.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,26.0,bet365,21.0,bet365,29.0,bet365,41.0,Superbet.br,11.0,1.03,1xBet,9.5,1.02,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.5,1.5,bet365,1.48,2.6,bet365,1.2,4.4,bet365,1.15,5.5,1xBet,1.02,9.7,1xBet,1.01,10.5,BetEsporte,23.0,10.0,1.03,Estrelabet,10.0,6.0,1.13,bet365,5.5,4.5,1.5,Estrelabet,1.37,4.5,5.0,Estrelabet,1.1,6.66,11.0,BetEsporte,1.02,11.0,25.0,1.32,1.75,1.3,1.13,0.44,0.71,1.13,1.3,0.13,0.3,0.44,0.56,0.82,0.82,0.45,0.5,0.64,0.64,0.0,0.0,0.23,0.36,12.0,12.0,4.0,2.0,5.0,7.0,3.0,3.0,7.0,8.0,5.0,4.0,1.0,3.0,1.0,0.0,16.0,14.0,8.0,4.0,11.0,10.0,11.0,17.0,10.0,11.0,3.0,5.0,1.0,0.0,3.0,0.0,1.0,3.0,0.43,1.0,26.0,22.0,10.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,0.94,1.49,1.11,0.99,0.29,0.47,0.37,0.63,4.0,9.0,2.0,1.0,1.0,5.0,1.0,2.0,5.0,3.0,1.0,2.0,8.0,4.0,0.0,0.0,0.0,1.0,0.38,0.26,0.19,0.14,0.15,0.24,0.5,0.5,8.0,3.0,2.0,1.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,7.0,3.0,0.0,1.0,2.0
