Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KOZylfGF,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,02/12/2025,17:45,Clausura,Cucuta,Real Cundinamarca,3,1,"[13, 53]",[45],Betfair,2.0,2.1,6.5,Betfair,1.4,4.1,6.0,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,8.0,1.06,Betfair,1.03,9.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,2.2,1.57,Betano.br,1.09,1.22,2.65,Betfair,8.0,Betfair,11.0,Betfair,26.0,Betfair,101.0,Betfair,4.5,Betfair,7.0,Betfair,17.0,Betfair,81.0,Betfair,5.0,Betfair,7.0,Betfair,20.0,Betfair,76.0,Betfair,8.0,Betfair,10.0,Betfair,26.0,Betfair,126.0,Superbet.br,4.35,1.17,Betnacional,3.41,1.24,Estrelabet,2.2,1.55,Betano.br,1.75,1.95,Superbet.br,1.44,2.6,Casadeapostas,1.1,5.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,10.0,6.6,1.16,BetEsporte,4.6,4.3,1.51,BetEsporte,2.36,3.4,2.37,BetEsporte,1.1,7.0,19.0,BetEsporte,1.01,11.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,17.0,4.0,14.0,2.0,3.0,2.0,,,,,,,,,,,,,9.0,0.0,,,,,,,1.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,8.0,3.0,7.0,2.0,1.0,1.0,,,5.0,0.0,1.0,1.0,,,,,,,,,,,,,0.58,0.42,9.0,1.0,7.0,0.0,2.0,1.0,,,4.0,0.0,0.0,4.0,0.0,1.0,,,,,,
nTGab1hU,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,24/11/2025,19:00,Clausura,Boca Juniors,Cartagena,0,0,[],[],Betfair,2.8,2.2,3.3,Betfair,2.25,3.25,2.7,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.2,Betano.br,1.44,1.27,1.57,Betfair,11.0,Betfair,8.5,Betfair,12.0,Betfair,23.0,Betfair,7.5,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,9.5,Betfair,7.5,Betfair,10.0,Betfair,21.0,Betfair,19.0,Betfair,15.0,Betfair,19.0,Betfair,36.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.4,1.17,,0.0,0.0,Estrelabet,2.2,1.55,Superbet.br,1.44,2.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,5.0,7.0,1.0,2.0,4.0,5.0,,,,,,,,,,,,,7.0,4.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.53,4.0,5.0,1.0,1.0,3.0,4.0,,,3.0,1.0,,,,,,,,,,,,,,,0.45,0.55,1.0,2.0,0.0,1.0,1.0,1.0,,,4.0,3.0,3.0,1.0,,,,,,,,
ImPr2qg5,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,23/11/2025,17:30,Clausura,Cucuta,Inter Palmira,4,0,"[14, 47, 56, 88]",[],Betfair,1.62,2.5,9.5,Betfair,1.17,5.0,12.0,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,2.5,1.44,Betano.br,1.03,1.12,4.35,Betfair,10.0,Betfair,21.0,Betfair,76.0,Betfair,201.0,Betfair,5.0,Betfair,8.5,Betfair,34.0,Betfair,151.0,Betfair,4.5,Betfair,7.5,Betfair,23.0,Betfair,151.0,Betfair,6.0,Betfair,10.0,Betfair,34.0,Betfair,176.0,Superbet.br,2.55,1.39,Superbet.br,2.02,1.63,Superbet.br,1.59,2.07,Betnacional,1.3,2.85,Superbet.br,1.16,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,5.2,4.8,1.34,BetEsporte,2.75,3.65,1.95,BetEsporte,1.66,3.55,3.25,BetEsporte,1.03,7.4,28.0,BetEsporte,1.01,8.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,22.0,10.0,13.0,4.0,9.0,6.0,,,,,,,,,,,,,8.0,0.0,,,,,,,2.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.62,0.38,8.0,8.0,5.0,3.0,3.0,5.0,,,3.0,0.0,0.0,1.0,,,,,,,,,,,,,0.64,0.36,14.0,2.0,8.0,1.0,6.0,1.0,,,5.0,0.0,2.0,3.0,,,,,,,,
QPtTkGo3,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,27/11/2025,22:30,Clausura,Real Cundinamarca,Cucuta,1,0,[26],[],Betfair,3.3,1.83,3.75,Betfair,2.38,2.7,3.0,Betfair,1.57,2.25,Betfair,3.75,1.22,Betfair,10.0,1.03,Betfair,1.08,6.5,Betfair,1.57,2.25,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.2,1.57,Betano.br,1.29,1.38,1.6,Betfair,5.5,Betfair,5.5,Betfair,11.0,Betfair,31.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,26.0,Betfair,8.5,Betfair,8.5,Betfair,15.0,Betfair,51.0,Betfair,23.0,Betfair,21.0,Betfair,41.0,Betfair,101.0,,0.0,0.0,,0.0,0.0,Superbet.br,5.0,1.14,Betnacional,3.84,1.19,Estrelabet,2.2,1.55,Superbet.br,1.3,3.25,Betnacional,1.1,5.29,Betnacional,1.06,6.25,,0.0,0.0,,0.0,0.0,BetEsporte,29.0,10.0,1.02,BetEsporte,13.0,6.6,1.13,BetEsporte,5.2,3.8,1.49,BetEsporte,1.3,4.5,8.2,BetEsporte,1.06,8.2,22.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,9.0,17.0,5.0,6.0,4.0,11.0,,,,,,,,,,,,,2.0,7.0,,,,,,,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.58,0.42,8.0,5.0,4.0,2.0,4.0,3.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,0.45,0.55,1.0,12.0,1.0,4.0,0.0,8.0,,,0.0,6.0,4.0,1.0,1.0,0.0,,,,,,
ANLz45Oh,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,23/11/2025,17:30,Clausura,Jaguares de Cordoba,Huila,2,2,"[46, 90]","[47, 80]",Betfair,2.5,2.1,4.33,Betfair,1.8,3.6,3.6,Betfair,1.36,2.88,Betfair,3.0,1.33,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.3,3.2,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.83,1.83,Betano.br,1.25,1.26,1.85,Betfair,8.0,Betfair,8.0,Betfair,15.0,Betfair,51.0,Betfair,5.5,Betfair,5.5,Betfair,10.0,Betfair,31.0,Betfair,7.0,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,12.0,Betfair,12.0,Betfair,23.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.3,1.29,Superbet.br,2.52,1.43,Betano.br,1.87,1.83,Superbet.br,1.27,3.4,,0.0,0.0,Casadeapostas,1.07,6.2,,0.0,0.0,,0.0,0.0,BetEsporte,16.0,7.8,1.04,BetEsporte,8.0,5.2,1.2,BetEsporte,3.7,3.6,1.61,BetEsporte,1.25,4.5,7.2,BetEsporte,1.05,7.0,17.0,BetEsporte,1.01,8.6,26.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,11.0,10.0,7.0,6.0,4.0,4.0,,,,,,,,,,,,,6.0,6.0,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.58,0.0,4.0,0.0,2.0,0.0,2.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,0.46,0.54,11.0,6.0,7.0,4.0,4.0,2.0,,,5.0,3.0,4.0,1.0,,,,,,,,
vDp8a12F,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,20/11/2025,19:10,Clausura,Cartagena,Patriotas,0,1,[],[17],Betfair,2.3,2.1,4.5,Betfair,1.65,3.4,4.5,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.87,1.8,Estrelabet,1.16,1.22,1.9,Betfair,8.5,Betfair,9.5,Betfair,20.0,Betfair,61.0,Betfair,5.5,Betfair,6.0,Betfair,12.0,Betfair,36.0,Betfair,6.5,Betfair,7.0,Betfair,13.0,Betfair,41.0,Betfair,10.0,Betfair,11.0,Betfair,21.0,Betfair,67.0,Casadeapostas,5.2,1.1,,0.0,0.0,Superbet.br,2.85,1.37,Superbet.br,2.2,1.58,Estrelabet,1.6,2.1,Superbet.br,1.16,4.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,12.0,7.0,1.08,BetEsporte,5.8,4.6,1.31,BetEsporte,2.85,3.45,1.86,BetEsporte,1.16,5.2,10.0,BetEsporte,1.03,7.8,21.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,12.0,6.0,4.0,3.0,8.0,3.0,,,,,,,,,,,,,7.0,0.0,,,,,,,5.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.62,0.38,5.0,6.0,1.0,3.0,4.0,3.0,,,2.0,0.0,2.0,1.0,,,,,,,,,,,,,0.58,0.42,7.0,0.0,3.0,0.0,4.0,0.0,,,5.0,0.0,3.0,3.0,,,,,,,,
v3Di0NNH,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,23/11/2025,17:30,Clausura,Patriotas,Real Cundinamarca,0,3,[],"[39, 45, 77]",Betfair,2.63,1.91,4.5,Betfair,1.85,2.9,4.1,Betfair,1.53,2.38,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.15,1.6,Betano.br,1.21,1.32,1.82,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,56.0,Betfair,4.5,Betfair,5.5,Betfair,11.0,Betfair,36.0,Betfair,6.5,Betfair,7.5,Betfair,15.0,Betfair,51.0,Betfair,14.0,Betfair,15.0,Betfair,36.0,Betfair,101.0,Casadeapostas,6.8,1.05,,0.0,0.0,Superbet.br,3.6,1.25,Superbet.br,2.7,1.37,Betano.br,1.91,1.8,Superbet.br,1.23,3.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,17.0,7.6,1.04,BetEsporte,8.2,5.0,1.21,BetEsporte,3.6,3.3,1.68,BetEsporte,1.18,4.8,10.0,BetEsporte,1.03,7.6,24.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,8.0,6.0,0.0,4.0,8.0,2.0,,,,,,,,,,,,,10.0,2.0,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.46,3.0,3.0,0.0,2.0,3.0,1.0,,,4.0,1.0,3.0,3.0,,,,,,,,,,,,,0.56,0.44,5.0,3.0,0.0,2.0,5.0,1.0,,,6.0,1.0,3.0,1.0,,,,,,,,
Wns01NX2,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,20/11/2025,17:00,Clausura,Real Cundinamarca,Boca Juniors,1,0,[19],[],Betfair,1.91,2.2,7.0,Betfair,1.33,4.0,7.5,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,8.0,1.06,Betfair,1.03,9.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.3,1.53,Betano.br,1.1,1.2,2.67,Betfair,8.0,Betfair,12.0,Betfair,36.0,Betfair,176.0,Betfair,4.5,Betfair,6.5,Betfair,19.0,Betfair,91.0,Betfair,5.0,Betfair,7.0,Betfair,20.0,Betfair,91.0,Betfair,7.5,Betfair,11.0,Betfair,31.0,Betfair,126.0,Superbet.br,4.4,1.17,,0.0,0.0,Estrelabet,2.3,1.5,Betano.br,1.72,2.0,Superbet.br,1.41,2.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,14.0,11.0,8.0,4.0,6.0,7.0,,,,,,,,,,,,,7.0,3.0,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,6.0,5.0,4.0,1.0,2.0,4.0,,,3.0,1.0,0.0,2.0,,,,,,,,,,,,,0.52,0.48,8.0,6.0,4.0,3.0,4.0,3.0,,,4.0,2.0,2.0,1.0,,,,,,,,
UPkfuNmp,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,19/11/2025,17:00,Clausura,Inter Palmira,Jaguares de Cordoba,1,4,[83],"[36, 58, 67, 82]",Betfair,5.0,2.1,2.3,Betfair,4.5,3.4,1.65,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.0,1.7,Betano.br,2.05,1.26,1.2,Betfair,7.5,Betfair,5.0,Betfair,6.0,Betfair,11.0,Betfair,9.0,Betfair,5.5,Betfair,7.0,Betfair,12.0,Betfair,20.0,Betfair,12.0,Betfair,14.0,Betfair,26.0,Betfair,61.0,Betfair,41.0,Betfair,51.0,Betfair,81.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.2,1.19,Superbet.br,1.97,1.75,Superbet.br,1.47,2.4,Superbet.br,1.31,3.15,,0.0,0.0,Casadeapostas,1.08,5.8,BetEsporte,30.0,8.4,1.01,BetEsporte,21.0,7.6,1.03,BetEsporte,9.6,5.0,1.18,BetEsporte,1.77,3.45,3.1,BetEsporte,1.27,4.8,6.6,BetEsporte,1.07,7.2,14.0,,,,,,,,,,,0.28,0.72,,,,,,,,,,,9.0,9.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,3.0,6.0,,,,,,,2.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.25,0.75,4.0,4.0,2.0,1.0,2.0,3.0,,,0.0,5.0,0.0,2.0,,,,,,,,,,,,,0.31,0.69,5.0,5.0,3.0,3.0,2.0,2.0,,,3.0,1.0,2.0,1.0,,,,,,,,
xjg2w1Id,COLOMBIA,2025,Primera B 2025,COLOMBIA 2,19/11/2025,17:00,Clausura,Huila,Cucuta,2,0,"[62, 78]",[],Betfair,4.33,1.91,2.8,Betfair,3.4,2.8,2.05,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.07,7.0,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.15,1.6,Betano.br,1.62,1.37,1.29,Betfair,6.0,Betfair,5.0,Betfair,7.0,Betfair,15.0,Betfair,7.0,Betfair,5.0,Betfair,7.5,Betfair,17.0,Betfair,13.0,Betfair,11.0,Betfair,15.0,Betfair,34.0,Betfair,41.0,Betfair,36.0,Betfair,51.0,Betfair,101.0,,0.0,0.0,,0.0,0.0,Casadeapostas,6.4,1.06,,0.0,0.0,Superbet.br,3.45,1.27,Estrelabet,1.6,2.1,Betnacional,1.23,3.23,Superbet.br,1.17,4.45,,0.0,0.0,,0.0,0.0,BetEsporte,29.0,8.4,1.01,BetEsporte,19.0,7.2,1.05,BetEsporte,8.0,4.4,1.25,BetEsporte,1.51,3.6,4.4,BetEsporte,1.14,5.6,10.0,BetEsporte,1.02,8.2,20.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,6.0,6.0,4.0,2.0,2.0,4.0,,,,,,,,,,,,,7.0,7.0,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.56,0.0,2.0,0.0,0.0,0.0,2.0,,,0.0,3.0,2.0,3.0,,,,,,,,,,,,,0.54,0.46,6.0,4.0,4.0,2.0,2.0,2.0,,,7.0,4.0,2.0,1.0,,,,,,,,
