Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
tIf2GViB,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,28/05/2023,14:15,Round 36,Din. Zagreb,Gorica,4,1,"[23, 33, 80, 87]",[5],bet365,1.67,2.75,8.5,bet365,1.25,5.75,9.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.91,1.8,bet365,1.07,1.14,3.75,bet365,17.0,bet365,23.0,bet365,51.0,bet365,126.0,bet365,8.5,bet365,11.0,bet365,26.0,bet365,67.0,bet365,7.0,bet365,9.5,bet365,23.0,bet365,51.0,bet365,8.0,bet365,11.0,bet365,26.0,bet365,67.0,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.73,2.08,bet365,1.38,3.0,bet365,1.26,3.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.2,5.3,1.45,bet365,2.75,4.0,2.05,Betano.br,1.75,4.15,3.9,Betano.br,1.08,10.0,24.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.65,0.35,,,,,,,,,,,10.0,6.0,7.0,2.0,3.0,4.0,,,,,,,,,,,,,7.0,0.0,6.0,5.0,19.0,12.0,4.0,5.0,0.0,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.68,0.32,6.0,1.0,4.0,1.0,2.0,0.0,,,3.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,,,,,,,0.62,0.38,4.0,5.0,3.0,1.0,1.0,4.0,,,4.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0
pj1gIiNb,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,28/05/2023,12:00,Round 36,Hajduk Split,Sibenik,3,0,"[54, 64, 77]",[],bet365,1.8,2.75,6.5,bet365,1.33,5.0,6.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.73,2.0,bet365,1.1,1.14,3.0,bet365,21.0,bet365,23.0,bet365,41.0,bet365,81.0,bet365,9.5,bet365,11.0,bet365,21.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,9.5,bet365,11.0,bet365,21.0,bet365,51.0,bet365,3.1,1.35,bet365,2.5,1.5,bet365,1.95,1.9,bet365,1.5,2.5,bet365,1.35,3.1,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.2,6.0,1.35,Betano.br,3.3,4.4,1.85,bet365,1.91,4.0,3.0,Betano.br,1.13,8.5,16.0,Betano.br,1.03,14.0,32.0,,0.0,0.0,0.0,,,,,,,,,,,0.45,0.55,,,,,,,,,,,10.0,6.0,5.0,0.0,5.0,6.0,,,,,,,,,,,,,6.0,2.0,3.0,9.0,15.0,15.0,6.0,2.0,,,,,3.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,0.42,0.58,1.0,2.0,0.0,0.0,1.0,2.0,,,1.0,0.0,,,6.0,1.0,2.0,1.0,0.0,0.0,,,,,,,0.48,0.52,9.0,4.0,5.0,0.0,4.0,4.0,,,5.0,2.0,,,,,0.0,1.0,1.0,0.0,0.0,2.0
SEjbHBx5,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,27/05/2023,14:00,Round 36,Osijek,Rijeka,1,1,[65],[31],bet365,3.1,2.2,3.4,bet365,2.38,3.1,2.8,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.36,1.33,1.5,bet365,10.0,bet365,9.5,bet365,15.0,bet365,29.0,bet365,8.5,bet365,6.0,bet365,11.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.35,1.57,bet365,1.4,2.85,bet365,1.16,5.25,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,27.0,13.0,1.05,Betano.br,13.0,7.2,1.17,bet365,4.75,4.33,1.5,Betano.br,1.45,4.5,6.3,Betano.br,1.14,8.0,15.0,Betano.br,1.04,14.0,30.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,13.0,14.0,4.0,4.0,9.0,10.0,,,,,,,,,,,,,4.0,8.0,18.0,12.0,28.0,27.0,12.0,17.0,1.0,5.0,0.0,1.0,0.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.47,0.53,4.0,10.0,1.0,3.0,3.0,7.0,,,1.0,4.0,0.0,2.0,5.0,6.0,0.0,1.0,2.0,1.0,,,,,,,0.49,0.51,9.0,4.0,3.0,1.0,6.0,3.0,,,3.0,4.0,1.0,3.0,0.0,1.0,7.0,11.0,0.0,0.0,1.0,2.0
EVhAE9MN,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,27/05/2023,11:30,Round 36,Istra 1961,Slaven Belupo,1,1,[85],[55],bet365,2.2,2.2,6.0,bet365,1.53,3.75,5.75,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.1,bet365,2.1,1.67,bet365,1.14,1.25,2.38,bet365,9.5,bet365,13.0,bet365,29.0,bet365,67.0,bet365,6.0,bet365,7.5,bet365,19.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,21.0,bet365,51.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,67.0,bet365,5.5,1.15,bet365,4.25,1.21,bet365,2.6,1.48,bet365,2.02,1.82,bet365,1.55,2.38,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,7.8,1.16,Betano.br,5.6,4.75,1.47,bet365,2.63,3.5,2.38,Betano.br,1.17,6.8,15.0,Betano.br,1.04,13.0,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.64,0.36,,,,,,,,,,,10.0,12.0,3.0,6.0,7.0,6.0,,,,,,,,,,,,,2.0,6.0,16.0,11.0,30.0,25.0,8.0,14.0,4.0,3.0,1.0,0.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,0.66,0.34,6.0,4.0,2.0,2.0,4.0,2.0,,,1.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,,,,,,,0.62,0.38,4.0,8.0,1.0,4.0,3.0,4.0,,,1.0,4.0,3.0,2.0,1.0,0.0,5.0,9.0,1.0,1.0,3.0,0.0
zuf6Fk7H,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,26/05/2023,13:00,Round 36,Varazdin,Lok. Zagreb,0,0,[],[],bet365,3.25,2.38,2.88,bet365,2.75,3.5,2.3,bet365,1.3,3.4,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.57,1.29,1.4,bet365,15.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,13.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,11.0,bet365,21.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.75,1.43,bet365,1.63,2.25,bet365,1.3,3.45,bet365,1.23,4.1,,0.0,0.0,,0.0,0.0,Betano.br,25.0,13.0,1.05,Betano.br,12.5,7.7,1.16,Betano.br,5.5,4.75,1.47,bet365,1.57,4.33,4.33,Betano.br,1.22,6.8,10.0,Betano.br,1.07,11.5,21.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,7.0,15.0,2.0,2.0,5.0,13.0,,,,,,,,,,,,,3.0,10.0,13.0,10.0,23.0,21.0,9.0,12.0,2.0,2.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.44,0.56,3.0,6.0,1.0,1.0,2.0,5.0,,,1.0,5.0,0.0,2.0,4.0,5.0,0.0,1.0,1.0,1.0,,,,,,,0.54,0.46,4.0,9.0,1.0,1.0,3.0,8.0,,,2.0,5.0,2.0,0.0,,,5.0,7.0,1.0,0.0,1.0,1.0
G4YpJnQr,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,21/05/2023,14:30,Round 35,Rijeka,Din. Zagreb,1,2,[90],"[43, 62]",bet365,3.6,2.1,3.1,bet365,3.0,3.3,2.2,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.91,bet365,1.57,1.33,1.4,bet365,9.5,bet365,8.0,bet365,11.0,bet365,21.0,bet365,9.0,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,6.4,1.11,bet365,5.5,1.15,bet365,2.85,1.4,bet365,1.6,2.3,bet365,1.27,3.55,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,Betano.br,30.0,13.5,1.04,Betano.br,15.0,7.8,1.14,Betano.br,6.1,4.4,1.47,bet365,1.57,4.0,4.75,Betano.br,1.17,7.2,13.0,Betano.br,1.05,13.0,28.0,,,,,,,,,,,0.38,0.62,,,,,,,,,,,8.0,6.0,2.0,2.0,6.0,4.0,,,,,,,,,,,,,6.0,4.0,13.0,11.0,14.0,13.0,11.0,10.0,0.0,1.0,,,0.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.36,0.64,2.0,4.0,0.0,1.0,2.0,3.0,,,3.0,2.0,,,5.0,4.0,0.0,2.0,0.0,0.0,,,,,,,0.4,0.6,6.0,2.0,2.0,1.0,4.0,1.0,,,3.0,2.0,0.0,1.0,,,6.0,6.0,0.0,1.0,0.0,1.0
xKMgHQfe,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,21/05/2023,12:00,Round 35,Lok. Zagreb,Istra 1961,3,1,"[9, 32, 90]",[80],bet365,2.75,2.1,4.33,bet365,2.0,3.4,3.4,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.3,1.3,1.8,bet365,9.0,bet365,9.5,bet365,17.0,bet365,41.0,bet365,7.0,bet365,6.5,bet365,12.0,bet365,29.0,bet365,9.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,3.8,1.25,bet365,3.0,1.38,bet365,2.05,1.8,bet365,1.3,3.45,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.0,1.07,Betano.br,9.75,6.1,1.24,bet365,3.75,3.75,1.8,Betano.br,1.34,5.0,8.25,Betano.br,1.09,9.25,21.0,Betano.br,1.02,15.5,37.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,7.0,8.0,4.0,1.0,3.0,7.0,,,,,,,,,,,,,6.0,7.0,10.0,21.0,20.0,24.0,18.0,9.0,5.0,0.0,,,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.42,0.58,3.0,4.0,3.0,0.0,0.0,4.0,,,1.0,2.0,1.0,0.0,7.0,2.0,0.0,1.0,0.0,1.0,,,,,,,0.42,0.58,4.0,4.0,1.0,1.0,3.0,3.0,,,5.0,5.0,4.0,0.0,,,11.0,7.0,3.0,0.0,0.0,0.0
bTNkI6uk,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,20/05/2023,13:00,Round 35,Gorica,Varazdin,5,2,"[2, 22, 73, 83, 86]","[34, 89]",bet365,2.4,2.2,4.75,bet365,1.73,3.5,4.2,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.83,1.83,bet365,1.2,1.25,1.91,bet365,10.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,7.0,bet365,7.0,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,6.4,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,2.38,1.55,bet365,1.75,2.05,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,15.0,8.75,1.12,Betano.br,6.8,5.2,1.37,bet365,3.1,3.75,1.91,Betano.br,1.22,6.0,11.5,Betano.br,1.06,11.5,27.0,Betano.br,1.01,17.5,45.0,,,,,,,,,,,0.33,0.67,,,,,,,,,,,12.0,10.0,5.0,6.0,7.0,4.0,,,,,,,,,,,,,3.0,4.0,11.0,18.0,12.0,18.0,15.0,10.0,1.0,2.0,,,3.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,0.37,0.63,7.0,3.0,2.0,2.0,5.0,1.0,,,2.0,2.0,,,4.0,6.0,2.0,1.0,1.0,0.0,,,,,,,0.29,0.71,5.0,7.0,3.0,4.0,2.0,3.0,,,1.0,2.0,1.0,2.0,,,11.0,4.0,1.0,0.0,3.0,0.0
6gRcGpA1,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,19/05/2023,13:05,Round 35,Sibenik,Osijek,1,4,[72],"[3, 62, 76, 80]",bet365,4.5,2.1,2.6,bet365,3.75,3.4,1.85,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.91,1.8,bet365,1.8,1.29,1.22,bet365,9.0,bet365,6.5,bet365,8.5,bet365,15.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,19.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.7,1.26,bet365,1.93,1.93,bet365,1.45,2.67,bet365,1.3,3.45,bet365,1.11,6.6,,0.0,0.0,Betano.br,40.0,16.5,1.02,Betano.br,24.0,10.25,1.07,Betano.br,9.75,5.4,1.28,bet365,1.8,3.75,3.5,Betano.br,1.3,5.6,8.25,Betano.br,1.09,10.0,19.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,5.0,15.0,2.0,9.0,3.0,6.0,,,,,,,,,,,,,3.0,2.0,15.0,11.0,33.0,25.0,10.0,14.0,1.0,1.0,,,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,0.51,0.49,3.0,7.0,1.0,4.0,2.0,3.0,,,2.0,1.0,,,3.0,9.0,0.0,1.0,3.0,1.0,,,,,,,0.61,0.39,2.0,8.0,1.0,5.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,7.0,5.0,1.0,0.0,2.0,0.0
vqsJNSHR,CROATIA,2022-2023,Hnl 2022 2023,CROATIA 1,19/05/2023,11:00,Round 35,Slaven Belupo,Hajduk Split,0,1,[],[37],bet365,4.0,2.2,2.63,bet365,3.4,3.5,1.91,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.91,bet365,1.73,1.25,1.29,bet365,11.0,bet365,7.5,bet365,9.5,bet365,17.0,bet365,11.0,bet365,7.0,bet365,9.0,bet365,17.0,bet365,19.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.45,1.3,bet365,1.88,1.98,bet365,1.43,2.75,bet365,1.3,3.45,bet365,1.11,6.6,,0.0,0.0,Betano.br,37.0,16.0,1.02,Betano.br,22.0,9.75,1.08,Betano.br,8.75,5.4,1.3,bet365,1.73,3.75,3.6,Betano.br,1.31,5.6,7.9,Betano.br,1.1,9.75,17.5,,,,,,,,,,,0.42,0.58,,,,,,,,,,,6.0,12.0,2.0,5.0,4.0,7.0,,,,,,,,,,,,,2.0,5.0,7.0,11.0,32.0,26.0,12.0,8.0,1.0,0.0,,,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,0.37,0.63,1.0,9.0,1.0,4.0,0.0,5.0,,,0.0,4.0,,,7.0,4.0,0.0,0.0,3.0,1.0,,,,,,,0.47,0.53,5.0,3.0,1.0,1.0,4.0,2.0,,,2.0,1.0,1.0,0.0,,,5.0,4.0,1.0,1.0,1.0,1.0
