Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
WITJ8YC6,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,18/05/2025,13:00,Championship Group,Apollon,Aris,2,3,"[33, 52]","[68, 81, 90]",Betfair,4.0,2.2,2.4,Betfair,3.6,3.75,1.8,Betano.br,1.37,2.95,Betano.br,2.62,1.45,Betano.br,5.8,1.11,Betfair,1.01,11.0,Betfair,1.17,4.5,Betfair,1.65,2.1,Betfair,2.6,1.44,Betfair,5.2,1.13,Betfair,1.57,2.25,Betano.br,1.98,1.25,1.29,Betfair,10.0,Betfair,7.5,Betfair,8.5,Betfair,14.0,Betfair,11.0,Betfair,6.0,Betfair,7.0,Betfair,11.0,Betfair,15.0,Betfair,10.0,Betfair,9.5,Betfair,17.0,Betfair,36.0,Betfair,21.0,Betfair,23.0,Betfair,34.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.6,1.05,Betboom.br,8.32,1.02,Superbet.br,3.6,1.23,Betano.br,1.95,1.83,Betano.br,1.52,2.5,Superbet.br,1.32,3.0,Betboom.br,1.07,6.03,Superbet.br,1.09,5.8,BetEsporte,25.0,8.8,1.01,Betano.br,20.0,10.0,1.09,Betano.br,8.5,5.6,1.29,Betano.br,1.98,3.9,3.25,Betano.br,1.35,5.4,6.8,Betano.br,1.12,9.0,15.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,5.0,14.0,4.0,9.0,1.0,5.0,,,,,,,,,,,,,3.0,12.0,9.0,16.0,21.0,31.0,13.0,7.0,0.0,1.0,,,0.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,,,,0.51,0.49,2.0,3.0,2.0,2.0,0.0,1.0,,,3.0,3.0,,,4.0,3.0,0.0,0.0,2.0,1.0,,,,,,,0.37,0.63,3.0,11.0,2.0,7.0,1.0,4.0,,,0.0,9.0,0.0,1.0,,,9.0,4.0,0.0,0.0,4.0,1.0
KvAEUFZP,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,18/05/2025,13:00,Championship Group,Omonia,APOEL,2,1,"[22, 90]",[40],Betfair,1.83,2.4,6.5,Betfair,1.3,4.75,7.0,Betano.br,1.32,3.2,Betano.br,2.35,1.55,Betano.br,5.0,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.75,1.95,Betano.br,1.12,1.19,2.92,Betfair,12.0,Betfair,20.0,Betfair,36.0,Betfair,101.0,Betfair,6.5,Betfair,7.5,Betfair,18.0,Betfair,51.0,Betfair,6.0,Betfair,6.5,Betfair,14.0,Betfair,51.0,Betfair,8.0,Betfair,8.0,Betfair,17.0,Betfair,56.0,Superbet.br,3.4,1.25,Superbet.br,2.8,1.37,Betano.br,2.12,1.7,Betano.br,1.65,2.22,Betano.br,1.47,2.6,Superbet.br,1.1,5.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.7,6.4,1.28,Betano.br,3.85,4.4,1.72,Betano.br,2.15,3.8,2.92,Betano.br,1.12,8.25,17.5,BetEsporte,1.02,8.2,23.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,8.0,10.0,8.0,4.0,0.0,6.0,,,,,,,,,,,,,11.0,5.0,16.0,27.0,16.0,23.0,25.0,16.0,2.0,2.0,,,2.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,0.65,0.35,3.0,6.0,3.0,3.0,0.0,3.0,,,8.0,3.0,,,9.0,9.0,1.0,1.0,2.0,2.0,,,,,,,0.51,0.49,5.0,4.0,5.0,1.0,0.0,3.0,,,3.0,2.0,2.0,2.0,,,16.0,7.0,1.0,0.0,1.0,4.0
SpNS6CsJ,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,18/05/2025,12:00,Championship Group,Pafos,AEK Larnaca,2,0,"[10, 69]",[],Betfair,2.2,2.1,5.0,Betfair,1.62,3.6,4.75,Betano.br,1.44,2.67,Betano.br,2.9,1.38,Betano.br,6.6,1.09,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.8,1.91,Betano.br,1.22,1.26,2.15,Betfair,8.5,Betfair,12.0,Betfair,21.0,Betfair,67.0,Betfair,5.5,Betfair,6.0,Betfair,13.0,Betfair,36.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,41.0,Betfair,11.0,Betfair,10.0,Betfair,20.0,Betfair,61.0,Superbet.br,5.45,1.1,Betboom.br,5.28,1.1,Superbet.br,2.8,1.36,Betano.br,2.25,1.62,Betano.br,1.7,2.12,Superbet.br,1.18,4.1,,0.0,0.0,Superbet.br,1.03,9.7,,0.0,0.0,,0.0,0.0,Betano.br,14.0,8.5,1.14,Betano.br,6.3,5.0,1.4,Betano.br,3.0,3.65,2.15,Betano.br,1.22,6.1,11.5,Betano.br,1.06,11.5,27.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,11.0,9.0,2.0,4.0,9.0,5.0,,,,,,,,,,,,,3.0,5.0,17.0,29.0,23.0,11.0,27.0,15.0,3.0,1.0,,,1.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,0.45,0.55,4.0,5.0,1.0,2.0,3.0,3.0,,,2.0,4.0,2.0,0.0,9.0,7.0,1.0,1.0,2.0,0.0,,,,,,,0.43,0.57,7.0,4.0,1.0,2.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,,18.0,8.0,0.0,0.0,2.0,0.0
2wx3CGDs,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,12/05/2025,13:00,Championship Group,AEK Larnaca,Apollon,3,0,"[9, 28, 58]",[],Betfair,2.2,2.1,5.0,Betfair,1.62,3.3,5.0,Betano.br,1.45,2.62,Betano.br,2.92,1.38,Betano.br,6.6,1.09,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.83,1.83,Betano.br,1.18,1.26,2.27,Betfair,8.0,Betfair,11.0,Betfair,21.0,Betfair,61.0,Betfair,5.5,Betfair,6.0,Betfair,13.0,Betfair,36.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,41.0,Betfair,11.0,Betfair,10.0,Betfair,20.0,Betfair,61.0,Superbet.br,5.45,1.1,Betboom.br,5.4,1.1,Betano.br,2.72,1.44,Betano.br,2.12,1.7,Betano.br,1.65,2.22,Superbet.br,1.17,4.25,,0.0,0.0,Superbet.br,1.03,9.6,,0.0,0.0,,0.0,0.0,Betano.br,13.0,8.25,1.15,Betano.br,5.9,4.9,1.44,Betano.br,2.87,3.6,2.27,Betano.br,1.18,6.6,13.5,Betano.br,1.05,12.0,30.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.59,0.41,,,,,,,,,,,15.0,8.0,11.0,4.0,4.0,4.0,,,,,,,,,,,,,3.0,1.0,20.0,8.0,17.0,10.0,7.0,18.0,0.0,3.0,,,0.0,3.0,4.0,8.0,,,,,,,,,,,,,,,,,,,0.58,0.42,7.0,3.0,4.0,1.0,3.0,2.0,,,1.0,1.0,,,3.0,6.0,0.0,2.0,1.0,2.0,,,,,,,0.6,0.4,8.0,5.0,7.0,3.0,1.0,2.0,,,2.0,0.0,0.0,3.0,,,4.0,12.0,0.0,1.0,3.0,6.0
OhQBAfrf,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,12/05/2025,13:00,Championship Group,APOEL,Pafos,1,1,[61],[64],Betfair,4.0,2.0,2.63,Betfair,3.4,3.25,1.91,Betano.br,1.42,2.72,Betano.br,2.82,1.4,Betano.br,6.3,1.1,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.73,1.95,Betano.br,1.9,1.28,1.29,Betfair,7.5,Betfair,6.5,Betfair,8.0,Betfair,15.0,Betfair,9.0,Betfair,5.5,Betfair,7.0,Betfair,12.0,Betfair,14.0,Betfair,10.0,Betfair,11.0,Betfair,21.0,Betfair,36.0,Betfair,23.0,Betfair,31.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.5,1.05,Betboom.br,8.74,1.02,Superbet.br,3.45,1.25,Betano.br,1.87,1.9,Betano.br,1.45,2.7,Superbet.br,1.27,3.35,Betboom.br,1.05,7.04,Superbet.br,1.06,6.8,,0.0,0.0,0.0,Betano.br,22.0,10.0,1.08,Betano.br,9.0,5.4,1.29,Betano.br,1.9,3.8,3.6,Betano.br,1.31,5.6,7.8,Betano.br,1.1,9.75,17.5,,,,,,,,,,,0.52,0.48,,,,,,,,,,,9.0,12.0,7.0,7.0,2.0,5.0,,,,,,,,,,,,,3.0,6.0,24.0,8.0,26.0,22.0,8.0,22.0,0.0,2.0,,,0.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,0.49,0.51,5.0,4.0,3.0,3.0,2.0,1.0,,,1.0,2.0,,,4.0,8.0,0.0,2.0,3.0,3.0,,,,,,,0.55,0.45,4.0,8.0,4.0,4.0,0.0,4.0,,,2.0,4.0,0.0,2.0,,,4.0,14.0,0.0,2.0,3.0,3.0
nDWXHxjK,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,12/05/2025,13:00,Championship Group,Aris,Omonia,3,3,"[45, 56, 66]","[11, 26, 28]",Betfair,2.63,2.2,3.6,Betfair,2.05,3.3,3.0,Betano.br,1.34,3.1,Betano.br,2.45,1.52,Betano.br,5.3,1.14,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.6,2.2,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.38,Betano.br,1.38,1.28,1.72,Betfair,11.0,Betfair,10.0,Betfair,15.0,Betfair,31.0,Betfair,8.5,Betfair,6.0,Betfair,9.0,Betfair,17.0,Betfair,9.5,Betfair,7.5,Betfair,9.0,Betfair,20.0,Betfair,17.0,Betfair,11.0,Betfair,15.0,Betfair,26.0,Superbet.br,7.3,1.05,Betboom.br,7.71,1.03,Superbet.br,3.7,1.22,Betano.br,2.8,1.42,Betano.br,2.1,1.72,Superbet.br,1.35,2.85,Betboom.br,1.08,5.95,Superbet.br,1.1,5.6,,0.0,0.0,,0.0,0.0,Betano.br,19.0,10.5,1.08,Betano.br,8.75,6.2,1.26,Betano.br,4.0,4.15,1.72,Betano.br,1.38,5.0,6.8,Betano.br,1.12,8.75,16.0,BetEsporte,1.01,8.8,21.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,11.0,8.0,6.0,5.0,5.0,3.0,,,,,,,,,,,,,6.0,2.0,14.0,16.0,25.0,17.0,12.0,10.0,0.0,2.0,,,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.6,0.4,5.0,5.0,3.0,4.0,2.0,1.0,,,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,,,,,,,0.6,0.4,6.0,3.0,3.0,1.0,3.0,2.0,,,3.0,0.0,0.0,1.0,,,9.0,6.0,1.0,2.0,1.0,1.0
jJEEQ6Yi,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,11/05/2025,13:00,Relegation Group,AEL Limassol,Karmiotissa,1,0,[5],[],Betfair,4.5,2.0,2.4,Betfair,4.2,3.2,1.75,Betano.br,1.44,2.4,Superbet.br,2.95,1.35,Superbet.br,7.3,1.06,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.83,1.83,Betano.br,1.85,1.3,1.24,Betfair,7.5,Betfair,5.5,Betfair,6.5,Betfair,12.0,Betfair,10.0,Betfair,5.5,Betfair,7.0,Betfair,11.0,Betfair,18.0,Betfair,12.0,Betfair,12.0,Betfair,23.0,Betfair,56.0,Betfair,31.0,Betfair,46.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betboom.br,9.09,1.02,Superbet.br,4.2,1.17,Betano.br,1.85,1.87,Superbet.br,1.46,2.47,Superbet.br,1.29,3.15,Betboom.br,1.07,6.25,Betboom.br,1.04,7.38,BetEsporte,29.0,8.4,1.01,BetEsporte,20.0,7.6,1.03,BetEsporte,9.2,5.0,1.18,Betano.br,1.85,3.45,3.55,BetEsporte,1.25,5.0,6.8,BetEsporte,1.06,7.4,14.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,4.0,8.0,4.0,3.0,0.0,5.0,,,,,,,,,,,,,7.0,4.0,19.0,13.0,14.0,25.0,11.0,18.0,3.0,3.0,,,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.53,0.47,2.0,5.0,2.0,2.0,0.0,3.0,,,4.0,2.0,1.0,2.0,5.0,8.0,0.0,0.0,2.0,1.0,,,,,,,0.46,0.54,2.0,3.0,2.0,1.0,0.0,2.0,,,3.0,2.0,2.0,1.0,,,6.0,10.0,0.0,0.0,1.0,2.0
xvXR23to,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,11/05/2025,13:00,Relegation Group,Omonia Aradippou,Omonia 29th May,4,1,"[38, 45, 77, 88]",[67],Betfair,1.25,3.75,21.0,Betfair,1.03,12.0,51.0,Superbet.br,1.16,4.55,Superbet.br,1.83,1.87,Superbet.br,3.55,1.25,,0.0,0.0,Betfair,1.05,7.5,Betfair,1.29,3.3,Betfair,1.8,1.91,Betfair,2.88,1.36,Betfair,2.88,1.36,Betano.br,1.02,1.06,3.85,Superbet.br,32.0,Superbet.br,80.0,Superbet.br,200.0,Superbet.br,200.0,Superbet.br,9.0,Superbet.br,29.0,Superbet.br,125.0,Superbet.br,200.0,Superbet.br,5.75,Superbet.br,16.0,Superbet.br,85.0,Superbet.br,200.0,Superbet.br,5.1,Superbet.br,14.0,Superbet.br,75.0,Superbet.br,200.0,Superbet.br,1.5,2.35,,0.0,0.0,Superbet.br,1.25,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,14.0,4.0,6.0,2.0,8.0,2.0,,,,,,,,,,,,,10.0,1.0,11.0,18.0,17.0,14.0,17.0,8.0,2.0,1.0,,,0.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.53,0.47,6.0,1.0,4.0,1.0,2.0,0.0,,,3.0,0.0,2.0,0.0,10.0,3.0,0.0,3.0,1.0,2.0,,,,,,,0.53,0.47,8.0,3.0,2.0,1.0,6.0,2.0,,,7.0,1.0,0.0,1.0,,,7.0,5.0,0.0,0.0,0.0,0.0
OWCMOp34,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,11/05/2025,13:00,Relegation Group,Paralimni,Achnas,4,2,"[27, 44, 62, 73]","[13, 35]",Betfair,1.83,2.3,7.5,Betfair,1.29,4.5,7.5,Superbet.br,1.33,3.05,Betano.br,2.52,1.4,Superbet.br,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,2.05,1.67,Betano.br,1.1,1.18,2.85,Betfair,10.0,Betfair,17.0,Betfair,36.0,Betfair,176.0,Betfair,5.5,Betfair,7.5,Betfair,21.0,Betfair,76.0,Betfair,5.0,Betfair,6.5,Betfair,15.0,Betfair,81.0,Betfair,7.5,Betfair,9.0,Betfair,21.0,Betfair,91.0,Superbet.br,3.55,1.24,Betboom.br,2.95,1.32,Betano.br,1.95,1.75,Superbet.br,1.54,2.27,Superbet.br,1.34,2.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.12,3.5,2.85,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,11.0,6.0,7.0,6.0,4.0,0.0,,,,,,,,,,,,,4.0,5.0,19.0,14.0,21.0,15.0,11.0,16.0,2.0,1.0,,,2.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,0.53,0.47,6.0,3.0,3.0,3.0,3.0,0.0,,,2.0,1.0,1.0,1.0,4.0,10.0,2.0,0.0,1.0,1.0,,,,,,,0.41,0.59,5.0,3.0,4.0,3.0,1.0,0.0,,,2.0,4.0,1.0,0.0,,,7.0,6.0,0.0,2.0,3.0,2.0
Wv5fLBdC,CYPRUS,2024-2025,Cyprus League 2024 2025,CYPRUS 1,09/05/2025,13:00,Relegation Group,Nea Salamis,Anorthosis,2,4,"[78, 81]","[33, 42, 83, 90]",Betfair,2.88,2.3,3.1,Betfair,2.3,3.3,2.5,Superbet.br,1.27,3.4,Betano.br,2.2,1.53,Superbet.br,5.0,1.14,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.44,2.5,Betano.br,1.42,1.26,1.62,Betfair,12.0,Betfair,11.0,Betfair,12.0,Betfair,23.0,Betfair,10.0,Betfair,6.0,Betfair,8.5,Betfair,14.0,Betfair,11.0,Betfair,7.5,Betfair,8.5,Betfair,17.0,Betfair,21.0,Betfair,13.0,Betfair,15.0,Betfair,26.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.9,1.2,Betboom.br,3.4,1.27,Superbet.br,2.2,1.58,Superbet.br,1.41,2.65,Betboom.br,1.2,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,15.0,8.2,1.04,BetEsporte,8.2,5.8,1.16,Betano.br,4.05,4.05,1.62,BetEsporte,1.38,4.4,4.7,BetEsporte,1.12,6.4,9.8,BetEsporte,1.02,8.6,17.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,16.0,13.0,10.0,6.0,6.0,7.0,,,,,,,,,,,,,8.0,2.0,12.0,7.0,24.0,28.0,8.0,12.0,2.0,2.0,,,0.0,0.0,2.0,8.0,,,,,,,,,,,,,,,,,,,0.45,0.55,5.0,5.0,3.0,4.0,2.0,1.0,,,1.0,0.0,,,4.0,6.0,0.0,0.0,2.0,3.0,,,,,,,0.63,0.37,11.0,8.0,7.0,2.0,4.0,6.0,,,7.0,2.0,2.0,2.0,,,4.0,6.0,0.0,0.0,0.0,5.0
