Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
AqHF2guA,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,01/06/2025,10:00,Relegation,Chrudim,FK Pardubice,1,0,[60],[],bet365,4.33,2.25,2.5,bet365,3.6,3.5,1.9,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.91,1.29,1.29,bet365,11.0,bet365,8.0,bet365,9.5,bet365,17.0,bet365,12.0,bet365,7.0,bet365,8.5,bet365,15.0,bet365,19.0,bet365,13.0,bet365,15.0,bet365,26.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.8,1.05,bet365,7.0,1.1,bet365,3.55,1.28,bet365,1.9,1.9,bet365,1.45,2.68,bet365,1.3,3.45,bet365,1.12,6.4,bet365,1.1,7.0,BetEsporte,35.0,11.0,1.01,Betano.br,19.5,9.25,1.09,Betano.br,8.25,5.2,1.3,bet365,1.91,3.75,3.4,Betano.br,1.3,5.6,7.7,Betano.br,1.1,9.25,16.5,1.65,0.65,1.42,0.13,0.92,0.69,0.13,1.42,0.13,0.42,0.59,0.41,0.82,0.72,0.38,0.39,0.73,0.5,0.0,0.0,0.42,0.29,15.0,8.0,5.0,2.0,6.0,5.0,4.0,1.0,8.0,7.0,7.0,1.0,1.0,0.0,0.0,2.0,21.0,21.0,4.0,8.0,11.0,14.0,14.0,16.0,14.0,11.0,2.0,4.0,0.0,1.0,3.0,2.0,2.0,4.0,0.93,0.78,42.0,38.0,21.0,21.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.02,0.55,0.44,0.56,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,1.65,0.3,1.42,0.13,0.9,0.14,0.74,0.26,15.0,3.0,5.0,2.0,6.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,0.0,1.0,10.0,6.0,1.0,1.0,2.0,4.0
lf8t8HP6,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,01/06/2025,10:00,Relegation,Dukla Prague,Vyskov,1,1,[64],[45],bet365,1.91,2.5,7.0,bet365,1.42,3.9,7.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.91,1.8,bet365,1.1,1.25,2.75,bet365,11.0,bet365,21.0,bet365,41.0,bet365,81.0,bet365,7.5,bet365,8.0,bet365,23.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,17.0,bet365,51.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,51.0,bet365,3.8,1.25,bet365,3.1,1.35,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.43,2.75,Superbet.br,1.08,6.2,Betboom.br,1.01,14.21,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.5,6.4,1.24,Betano.br,4.15,4.3,1.65,bet365,2.1,3.75,2.75,Betano.br,1.12,7.8,18.5,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,2.64,1.15,0.99,0.85,2.01,0.3,0.85,0.99,-0.15,-0.01,0.59,0.41,0.72,0.66,0.43,0.36,0.55,0.52,0.0,0.0,0.26,0.08,33.0,9.0,7.0,3.0,14.0,4.0,12.0,2.0,23.0,5.0,10.0,4.0,1.0,1.0,0.0,0.0,44.0,8.0,12.0,1.0,25.0,13.0,30.0,22.0,13.0,25.0,3.0,4.0,,,2.0,0.0,2.0,6.0,0.78,0.43,62.0,53.0,23.0,65.0,4.0,8.0,0.0,0.0,0.0,0.0,0.97,0.79,0.56,0.55,0.5,0.12,0.57,0.43,11.0,5.0,3.0,2.0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,3.0,1.15,0.28,0.43,0.3,0.93,0.13,0.59,0.41,15.0,2.0,4.0,1.0,7.0,1.0,1.0,0.0,7.0,0.0,2.0,1.0,,,6.0,11.0,2.0,0.0,1.0,3.0
lUS64FAc,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,28/05/2025,13:00,Relegation,FK Pardubice,Chrudim,2,0,"[51, 76]",[],bet365,1.91,2.5,7.0,bet365,1.4,5.0,5.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.5,1.14,bet365,2.0,1.73,bet365,1.13,1.14,2.63,bet365,15.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,7.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,21.0,bet365,41.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,67.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.2,1.65,bet365,1.68,2.15,bet365,1.43,2.75,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.25,6.4,1.25,Betano.br,4.05,4.35,1.65,bet365,2.2,3.6,2.63,Betano.br,1.13,7.6,16.5,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,2.48,0.25,1.98,0.17,2.32,0.15,0.17,1.98,0.0,-0.02,0.58,0.42,0.79,0.73,0.56,0.32,0.66,1.08,,,0.2,0.14,22.0,10.0,7.0,4.0,8.0,4.0,7.0,2.0,15.0,2.0,7.0,8.0,,,,,40.0,4.0,14.0,2.0,10.0,13.0,20.0,19.0,13.0,10.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,5.0,0.75,0.67,46.0,49.0,19.0,33.0,2.0,6.0,,,,,0.38,0.15,0.09,0.0,0.34,0.13,0.59,0.41,9.0,4.0,2.0,0.0,5.0,2.0,,,7.0,1.0,0.0,2.0,4.0,7.0,0.0,1.0,0.0,2.0,2.1,0.1,1.89,0.17,1.98,0.02,0.57,0.43,13.0,6.0,5.0,4.0,3.0,2.0,,,7.0,1.0,0.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,4.0,3.0
2wAY9wef,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,28/05/2025,13:00,Relegation,Vyskov,Dukla Prague,0,0,[],[],bet365,4.5,2.2,2.5,bet365,3.9,3.4,1.85,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.91,1.3,1.25,bet365,9.5,bet365,7.0,bet365,9.0,bet365,17.0,bet365,11.0,bet365,6.5,bet365,8.5,bet365,17.0,bet365,19.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,8.3,1.04,Betboom.br,9.86,1.02,bet365,3.8,1.25,bet365,1.93,1.88,bet365,1.45,2.68,bet365,1.3,3.45,bet365,1.11,6.6,Superbet.br,1.06,6.8,BetEsporte,35.0,11.0,1.01,Betano.br,24.0,10.0,1.07,Betano.br,10.0,5.4,1.26,bet365,1.91,3.75,3.4,Betano.br,1.3,5.5,7.8,Betano.br,1.09,9.25,17.0,0.53,1.21,0.39,1.08,0.44,0.86,1.08,0.39,,,0.48,0.53,0.8,0.83,0.33,0.49,0.6,0.58,,,0.07,0.22,8.0,16.0,1.0,5.0,6.0,4.0,1.0,7.0,4.0,7.0,4.0,9.0,,,,,11.0,21.0,4.0,7.0,10.0,15.0,22.0,20.0,16.0,11.0,2.0,1.0,,,0.0,4.0,5.0,1.0,0.67,0.8,23.0,52.0,24.0,25.0,5.0,7.0,,,,,0.21,0.53,0.39,0.21,0.1,0.25,0.46,0.54,4.0,9.0,1.0,2.0,2.0,3.0,,,3.0,5.0,1.0,0.0,5.0,3.0,0.0,2.0,2.0,1.0,0.32,0.68,0.0,0.87,0.34,0.61,0.49,0.51,4.0,7.0,0.0,3.0,4.0,1.0,,,1.0,2.0,1.0,1.0,,,11.0,8.0,0.0,2.0,3.0,0.0
APtAGUw3,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,25/05/2025,11:00,Relegation Group,Dukla Prague,Ceske Budejovice,2,1,"[31, 39]",[17],bet365,2.05,2.4,5.5,bet365,1.53,4.2,5.25,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.8,1.95,bet365,1.17,1.22,2.38,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.43,1.53,bet365,1.93,1.88,bet365,1.55,2.38,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,6.9,1.21,Betano.br,4.55,4.55,1.57,bet365,2.4,3.75,2.38,Betano.br,1.16,6.9,13.0,BetEsporte,1.02,10.0,30.0,BetEsporte,1.01,11.0,45.0,1.42,0.78,1.56,0.16,0.86,0.8,0.16,1.56,-0.84,-0.44,0.44,0.56,0.79,0.83,0.43,0.4,0.59,0.64,0.0,0.0,0.47,0.26,15.0,13.0,5.0,3.0,8.0,7.0,2.0,3.0,12.0,5.0,3.0,8.0,0.0,1.0,0.0,1.0,19.0,21.0,2.0,6.0,18.0,8.0,15.0,17.0,8.0,18.0,1.0,2.0,,,0.0,3.0,2.0,3.0,0.54,0.67,53.0,37.0,25.0,16.0,8.0,10.0,0.0,0.0,0.0,0.0,0.99,0.28,1.49,0.13,0.44,0.14,0.51,0.49,8.0,5.0,3.0,2.0,5.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,10.0,0.0,1.0,1.0,1.0,0.43,0.5,0.07,0.03,0.42,0.66,0.37,0.63,7.0,8.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,,,4.0,8.0,0.0,2.0,1.0,2.0
nieFfmHq,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,25/05/2025,11:00,Relegation Group,Mlada Boleslav,Slovacko,2,2,"[52, 90]","[59, 85]",bet365,2.4,2.38,4.0,bet365,1.85,3.7,3.7,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.62,2.2,bet365,1.29,1.29,1.91,bet365,13.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.85,1.95,bet365,1.28,3.55,bet365,1.1,7.0,Superbet.br,1.06,7.2,,0.0,0.0,,0.0,0.0,Betano.br,14.0,8.75,1.12,Betano.br,6.7,5.4,1.34,bet365,3.25,4.0,1.91,Betano.br,1.29,5.5,8.25,Betano.br,1.09,9.5,18.5,BetEsporte,1.01,12.0,30.0,1.63,1.4,1.79,2.13,0.63,0.48,2.13,1.79,0.13,-0.21,0.6,0.4,0.83,0.76,0.57,0.64,0.66,0.62,1.0,0.0,0.25,0.17,12.0,8.0,4.0,4.0,5.0,2.0,3.0,2.0,7.0,6.0,5.0,2.0,3.0,2.0,1.0,0.0,22.0,18.0,4.0,7.0,12.0,11.0,16.0,29.0,11.0,12.0,2.0,1.0,,,0.0,1.0,2.0,2.0,0.67,0.69,50.0,53.0,19.0,18.0,6.0,12.0,0.0,0.0,0.0,0.0,0.27,0.17,0.02,0.06,0.48,0.17,0.61,0.39,5.0,4.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,3.0,,,5.0,5.0,0.0,0.0,1.0,1.0,1.36,1.23,1.77,2.07,0.15,0.31,0.59,0.41,7.0,4.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,4.0,2.0,1.0,,,6.0,7.0,0.0,1.0,1.0,1.0
rJlOhRod,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,25/05/2025,11:00,Relegation Group,Teplice,FK Pardubice,3,0,"[32, 54, 57]",[],bet365,1.8,2.5,8.0,bet365,1.33,5.25,7.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,2.05,1.7,bet365,1.1,1.17,3.25,bet365,13.0,bet365,19.0,bet365,41.0,bet365,101.0,bet365,7.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,6.5,bet365,9.0,bet365,23.0,bet365,51.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,67.0,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.95,1.85,bet365,1.5,2.5,bet365,1.33,3.3,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.6,5.7,1.33,Betano.br,3.35,4.1,1.85,bet365,1.95,3.75,3.25,Betano.br,1.09,8.75,21.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.56,2.37,1.61,1.6,0.98,1.61,2.37,1.61,-0.63,0.49,0.51,0.81,0.78,0.5,0.43,0.73,0.58,0.0,0.0,0.36,0.25,20.0,11.0,5.0,3.0,10.0,4.0,5.0,4.0,12.0,9.0,8.0,2.0,2.0,1.0,1.0,0.0,27.0,17.0,2.0,6.0,13.0,7.0,12.0,13.0,7.0,13.0,0.0,2.0,,,4.0,2.0,3.0,2.0,0.71,0.5,36.0,33.0,15.0,19.0,6.0,2.0,0.0,0.0,0.0,0.0,1.06,0.53,0.91,0.45,1.1,0.3,0.58,0.42,8.0,6.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,4.0,6.0,2.0,1.0,2.0,1.0,0.94,1.03,1.46,1.16,0.5,0.68,0.4,0.6,12.0,5.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,,,3.0,7.0,2.0,1.0,1.0,1.0
OAXjfuI6,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,25/05/2025,08:30,7th-10th places,Hradec Kralove,Bohemians,2,0,"[24, 60]",[],bet365,2.38,2.2,5.0,bet365,1.73,3.4,5.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,8.0,1.08,bet365,1.95,1.8,bet365,1.17,1.3,2.05,bet365,9.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,6.5,bet365,6.5,bet365,17.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,6.8,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,2.38,1.55,bet365,1.75,2.05,bet365,1.19,4.5,Betboom.br,1.01,11.92,Superbet.br,1.02,11.0,,0.0,0.0,,0.0,0.0,Betano.br,15.0,8.75,1.11,Betano.br,6.9,5.1,1.35,bet365,3.1,3.6,2.05,Betano.br,1.2,5.9,12.5,Betano.br,1.05,11.25,28.0,BetEsporte,1.01,11.0,40.0,1.78,0.58,1.42,0.0,1.02,0.72,0.0,1.42,0.0,-0.58,0.45,0.55,0.77,0.8,0.33,0.53,0.46,0.62,0.0,0.0,0.27,0.44,14.0,15.0,7.0,1.0,4.0,8.0,3.0,6.0,9.0,9.0,5.0,6.0,2.0,0.0,1.0,0.0,31.0,29.0,2.0,7.0,9.0,14.0,30.0,19.0,14.0,9.0,0.0,3.0,,,1.0,0.0,1.0,5.0,0.73,0.71,45.0,43.0,27.0,28.0,9.0,5.0,0.0,0.0,0.0,0.0,0.49,0.24,0.47,0.0,0.49,0.19,0.49,0.51,6.0,6.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,,,8.0,4.0,0.0,0.0,0.0,3.0,1.29,0.34,0.95,0.0,0.53,0.53,0.41,0.59,8.0,9.0,3.0,1.0,2.0,4.0,1.0,0.0,2.0,6.0,0.0,3.0,,,6.0,5.0,1.0,0.0,1.0,2.0
hEwCxfv1,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,24/05/2025,11:00,Championship Group,Plzen,Jablonec,4,1,"[3, 19, 45, 67]",[90],bet365,1.73,2.63,7.5,bet365,1.33,5.0,8.0,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.91,1.91,bet365,1.08,1.17,3.25,bet365,15.0,bet365,23.0,bet365,41.0,bet365,101.0,bet365,8.5,bet365,10.0,bet365,23.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,9.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.95,1.85,bet365,1.5,2.5,bet365,1.33,3.3,Superbet.br,1.07,6.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.7,5.8,1.32,Betano.br,3.45,4.2,1.82,bet365,1.91,4.0,3.25,Betano.br,1.1,8.25,18.5,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,1.71,1.91,3.15,0.36,0.45,1.41,0.36,3.15,-0.05,-0.85,0.39,0.61,0.78,0.84,0.39,0.47,0.61,0.71,0.0,1.0,0.33,0.42,14.0,14.0,8.0,4.0,5.0,9.0,1.0,1.0,9.0,10.0,5.0,4.0,3.0,1.0,0.0,1.0,22.0,23.0,3.0,1.0,10.0,13.0,13.0,25.0,13.0,10.0,2.0,3.0,,,1.0,2.0,3.0,4.0,0.88,0.71,47.0,50.0,23.0,13.0,15.0,7.0,0.0,0.0,0.0,1.0,1.17,0.07,2.11,0.0,0.21,0.16,0.46,0.54,9.0,1.0,6.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,6.0,7.0,1.0,2.0,0.0,3.0,0.54,1.84,1.04,0.36,0.24,1.25,0.32,0.68,5.0,13.0,2.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,2.0,2.0,,,7.0,3.0,0.0,0.0,3.0,1.0
plz4vG9l,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,CZECH 1,24/05/2025,11:00,Championship Group,Slavia Prague,Ostrava,3,0,"[31, 45, 74]",[],bet365,1.91,2.6,6.0,bet365,1.45,5.0,5.5,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,19.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.75,2.0,bet365,1.14,1.17,2.63,bet365,17.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,9.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,3.8,1.25,bet365,3.1,1.35,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.45,2.68,bet365,1.15,5.5,,0.0,0.0,Superbet.br,1.02,11.0,,0.0,0.0,,0.0,0.0,Betano.br,9.0,6.8,1.22,Betano.br,4.4,4.55,1.57,bet365,2.2,4.0,2.63,Betano.br,1.16,7.1,13.5,BetEsporte,1.03,9.8,25.0,BetEsporte,1.01,12.0,40.0,2.2,0.17,2.05,0.22,1.91,0.51,0.22,2.05,0.22,-0.95,0.6,0.4,0.78,0.65,0.53,0.43,0.69,0.43,1.0,0.0,0.35,0.0,21.0,7.0,9.0,1.0,10.0,5.0,2.0,1.0,14.0,2.0,7.0,5.0,4.0,0.0,2.0,0.0,39.0,13.0,4.0,2.0,10.0,12.0,18.0,29.0,12.0,10.0,1.0,1.0,,,5.0,1.0,1.0,6.0,0.5,0.47,57.0,42.0,13.0,36.0,21.0,12.0,0.0,0.0,0.0,1.0,1.43,0.07,1.54,0.22,1.33,0.42,0.66,0.34,13.0,2.0,6.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,,,7.0,6.0,2.0,0.0,1.0,4.0,0.77,0.1,0.51,0.0,0.58,0.09,0.54,0.46,8.0,5.0,3.0,0.0,5.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,,,5.0,4.0,3.0,1.0,0.0,2.0
