Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
GjapRptl,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Artis Brno,Chrudim,1,2,[88],"[63, 70]",bet365,2.88,2.1,3.75,bet365,2.1,3.5,2.88,Betano.br,1.42,2.65,Betano.br,2.8,1.38,Betano.br,6.1,1.09,Betfair,1.05,8.0,Betfair,1.29,3.3,bet365,1.95,1.85,Betfair,3.6,1.25,Betano.br,5.5,1.11,Betfair,1.75,1.95,bet365,1.36,1.25,1.62,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,7.5,bet365,7.0,bet365,11.0,bet365,26.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,19.5,10.25,1.06,Betano.br,9.75,6.1,1.22,Betano.br,4.35,3.9,1.65,Betano.br,1.37,4.65,6.9,Betano.br,1.11,8.0,16.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,4.0,10.0,1.0,4.0,3.0,6.0,,,,,,,,,,,,,6.0,5.0,,,,,,,2.0,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,0.43,0.57,2.0,4.0,0.0,2.0,2.0,2.0,,,5.0,3.0,1.0,0.0,,,,,2.0,0.0,,,,,,,0.45,0.55,2.0,6.0,1.0,2.0,1.0,4.0,,,1.0,2.0,1.0,2.0,,,,,,,0.0,0.0
d6IDW6IQ,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Kromeriz,Taborsko,0,2,[],"[18, 90]",bet365,3.4,2.38,2.75,bet365,2.8,3.5,2.1,Betano.br,1.31,3.2,Betano.br,2.37,1.55,Betano.br,4.9,1.14,Betfair,1.01,11.0,Betfair,1.14,4.8,bet365,1.6,2.3,Betfair,2.55,1.45,Betano.br,3.95,1.21,Betfair,1.5,2.4,bet365,1.62,1.25,1.36,bet365,17.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,13.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,1.68,2.15,bet365,1.35,3.1,bet365,1.25,3.8,bet365,1.11,6.8,bet365,1.1,7.0,,0.0,0.0,0.0,Betano.br,13.5,7.9,1.12,Betano.br,6.2,5.0,1.37,Betano.br,1.78,4.05,3.55,Betano.br,1.29,5.7,7.1,Betano.br,1.1,9.0,14.5,,,,,,,,,,,0.54,0.46,,,,,,,,,,,12.0,7.0,2.0,3.0,10.0,4.0,,,,,,,,,,,,,5.0,3.0,,,,,,,3.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.56,0.44,9.0,3.0,2.0,2.0,7.0,1.0,,,1.0,0.0,0.0,2.0,,,,,1.0,2.0,,,,,,,0.52,0.48,3.0,4.0,0.0,1.0,3.0,3.0,,,4.0,3.0,3.0,0.0,,,,,,,0.0,0.0
bF4uSQQs,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Dukla Prague,Sparta Prague B,6,0,"[23, 45, 62, 82, 83, 90]",[],bet365,1.91,2.75,5.5,bet365,1.4,4.75,5.5,Betano.br,1.26,3.5,bet365,2.05,1.75,Betano.br,4.3,1.18,Betfair,1.01,17.0,Betfair,1.11,5.5,bet365,1.4,2.88,Betfair,2.2,1.6,Betano.br,3.35,1.28,Betfair,1.5,2.4,bet365,1.13,1.17,2.63,bet365,23.0,bet365,23.0,bet365,41.0,bet365,67.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,9.5,bet365,9.0,bet365,15.0,bet365,34.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Betano.br,2.15,1.65,bet365,1.8,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.3,6.3,1.26,Betano.br,3.85,4.5,1.65,Betano.br,2.2,3.9,2.62,Betano.br,1.16,7.0,11.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,12.0,9.0,8.0,3.0,4.0,6.0,,,,,,,,,,,,,4.0,4.0,,,,,,,1.0,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.43,0.57,6.0,7.0,4.0,2.0,2.0,5.0,,,2.0,4.0,,,,,,,2.0,2.0,,,,,,,0.59,0.41,6.0,2.0,4.0,1.0,2.0,1.0,,,2.0,0.0,1.0,1.0,,,,,,,1.0,0.0
OMk5MMfJ,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Opava,Jihlava,4,1,"[45, 53, 59, 83]",[43],bet365,2.5,2.38,3.75,bet365,1.9,3.75,3.2,Betano.br,1.32,3.1,Betano.br,2.45,1.52,Betano.br,5.1,1.13,Betfair,1.01,11.0,Betfair,1.17,4.5,bet365,1.62,2.25,Betfair,2.75,1.4,Betano.br,4.2,1.19,Betfair,1.57,2.25,bet365,1.33,1.22,1.8,bet365,15.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,9.5,bet365,8.0,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.95,1.85,bet365,1.33,3.3,bet365,1.13,6.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,8.0,1.13,Betano.br,6.1,5.2,1.37,Betano.br,3.1,3.8,1.98,Betano.br,1.27,5.5,8.25,Betano.br,1.08,9.25,17.5,,0.0,0.0,0.0,,,,,,,,,,,0.41,0.59,,,,,,,,,,,14.0,11.0,5.0,4.0,9.0,7.0,,,,,,,,,,,,,3.0,8.0,,,,,,,2.0,4.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,0.41,0.59,7.0,5.0,1.0,2.0,6.0,3.0,,,3.0,3.0,0.0,3.0,,,,,1.0,0.0,,,,,,,0.41,0.59,7.0,6.0,4.0,2.0,3.0,4.0,,,0.0,5.0,2.0,1.0,,,,,,,2.0,1.0
271dOrQ6,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Pribram,Vyskov,2,0,"[7, 51]",[],bet365,2.38,2.38,4.33,bet365,1.75,4.0,3.5,Betano.br,1.31,3.15,Betano.br,2.4,1.53,Betano.br,5.0,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,bet365,1.65,2.2,Betfair,2.55,1.45,Betano.br,4.1,1.2,Betfair,1.57,2.25,bet365,1.25,1.2,1.91,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,9.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,15.0,bet365,29.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,2.38,1.55,bet365,1.8,2.0,bet365,1.28,3.55,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.0,8.25,1.12,Betano.br,6.3,5.3,1.34,Betano.br,3.2,3.9,1.91,Betano.br,1.31,5.3,7.3,Betano.br,1.1,8.5,15.5,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,7.0,4.0,2.0,0.0,5.0,4.0,,,,,,,,,,,,,3.0,7.0,,,,,,,2.0,3.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.55,0.45,3.0,2.0,1.0,0.0,2.0,2.0,,,1.0,2.0,0.0,1.0,,,,,0.0,0.0,,,,,,,0.53,0.47,4.0,2.0,1.0,0.0,3.0,2.0,,,2.0,5.0,2.0,2.0,0.0,1.0,,,,,0.0,0.0
pWj1N2uD,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Sigma Olomouc B,Varnsdorf,2,1,"[56, 84]",[13],bet365,2.1,2.6,4.75,bet365,1.55,4.33,4.2,Betano.br,1.26,3.5,Betano.br,2.15,1.65,Betano.br,4.3,1.18,Betfair,1.01,17.0,Betfair,1.11,5.5,bet365,1.44,2.7,Betfair,2.2,1.6,Betano.br,3.35,1.28,Betfair,1.45,2.55,bet365,1.2,1.18,2.25,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,bet365,11.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,13.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,4.25,1.21,bet365,3.55,1.28,bet365,2.43,1.53,bet365,1.95,1.85,bet365,1.58,2.35,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.2,6.2,1.27,Betano.br,3.75,4.5,1.65,Betano.br,2.18,3.95,2.65,Betano.br,1.16,7.0,11.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,10.0,6.0,3.0,2.0,7.0,4.0,,,,,,,,,,,,,7.0,5.0,,,,,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,4.0,5.0,0.0,2.0,4.0,3.0,,,4.0,4.0,0.0,1.0,,,,,1.0,0.0,,,,,,,0.51,0.49,6.0,1.0,3.0,0.0,3.0,1.0,,,3.0,1.0,3.0,0.0,,,,,,,0.0,1.0
fsblQ4ef,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Vlasim,Brno,2,2,"[26, 65]","[4, 52]",bet365,3.4,2.38,2.75,bet365,2.8,3.4,2.1,Betano.br,1.29,3.25,Betano.br,2.25,1.6,Betano.br,4.55,1.16,Betfair,1.01,13.0,Betfair,1.13,5.2,bet365,1.53,2.4,Betfair,2.4,1.5,Betano.br,3.6,1.25,Betfair,1.44,2.6,bet365,1.62,1.29,1.36,bet365,17.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,13.0,bet365,7.5,bet365,9.5,bet365,15.0,bet365,19.0,bet365,11.0,bet365,11.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.65,2.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,12.0,7.6,1.14,Betano.br,5.7,4.8,1.42,Betano.br,1.7,4.1,3.95,Betano.br,1.25,6.1,8.25,Betano.br,1.08,9.75,16.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,12.0,13.0,3.0,3.0,9.0,10.0,,,,,,,,,,,,,5.0,4.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.65,0.35,5.0,6.0,1.0,1.0,4.0,5.0,,,3.0,1.0,1.0,0.0,,,,,0.0,0.0,,,,,,,0.47,0.53,7.0,7.0,2.0,2.0,5.0,5.0,,,2.0,3.0,0.0,1.0,,,,,,,1.0,1.0
O2NJAPe7,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,19/05/2024,12:00,Round 29,Brno,Kromeriz,4,3,"[2, 6, 8, 48]","[55, 66, 85]",bet365,1.73,2.63,7.5,bet365,1.29,4.75,8.0,Betano.br,1.29,3.25,Betano.br,2.3,1.57,Betano.br,4.7,1.15,Betfair,1.01,17.0,Betfair,1.14,4.8,bet365,1.57,2.35,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.83,1.83,bet365,1.07,1.17,3.4,bet365,15.0,bet365,23.0,bet365,41.0,bet365,101.0,bet365,8.0,bet365,10.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,9.0,bet365,21.0,bet365,51.0,bet365,8.5,bet365,11.0,bet365,26.0,bet365,51.0,,0.0,0.0,Betano.br,2.15,1.65,bet365,1.88,1.93,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.5,5.3,1.39,Betano.br,2.95,4.05,1.98,Betano.br,1.8,3.9,3.6,Betano.br,1.08,9.0,20.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,10.0,17.0,4.0,6.0,6.0,11.0,,,,,,,,,,,,,4.0,9.0,,,,,,,3.0,1.0,1.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,0.6,0.4,8.0,8.0,3.0,2.0,5.0,6.0,,,3.0,5.0,,,,,,,2.0,0.0,,,,,,,0.4,0.6,2.0,9.0,1.0,4.0,1.0,5.0,,,1.0,4.0,3.0,1.0,1.0,0.0,,,,,1.0,0.0
2gMN9qBD,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,19/05/2024,12:00,Round 29,Chrudim,Sigma Olomouc B,1,3,[10],"[18, 46, 89]",bet365,3.1,2.25,3.2,bet365,2.35,3.4,2.5,Betano.br,1.36,2.92,Betano.br,2.52,1.47,Betano.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,bet365,1.7,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.2,bet365,1.44,1.29,1.53,bet365,13.0,bet365,11.0,bet365,15.0,bet365,26.0,bet365,10.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,26.0,bet365,23.0,bet365,19.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.27,1.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.75,1.05,Betano.br,11.25,6.9,1.17,Betano.br,5.1,4.35,1.5,Betano.br,1.55,4.25,4.8,Betano.br,1.18,6.7,10.5,Betano.br,1.05,10.75,21.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,5.0,14.0,4.0,4.0,1.0,10.0,,,,,,,,,,,,,5.0,9.0,,,,,,,3.0,3.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.43,0.57,2.0,6.0,2.0,2.0,0.0,4.0,,,3.0,4.0,1.0,3.0,,,,,1.0,1.0,,,,,,,0.45,0.55,3.0,8.0,2.0,2.0,1.0,6.0,,,2.0,5.0,2.0,0.0,,,,,,,0.0,2.0
l4chPOA0,CZECH-REPUBLIC,2023-2024,Chnl 2023 2024,CZECH 2,25/05/2024,12:00,Round 30,Zizkov,Prostejov,0,2,[],"[51, 90]",bet365,3.25,2.38,2.75,bet365,2.63,3.8,2.15,Betano.br,1.3,3.2,Betano.br,2.35,1.55,Betano.br,4.8,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,bet365,1.57,2.35,Betfair,2.4,1.5,Betano.br,3.85,1.22,Betfair,1.45,2.55,bet365,1.62,1.22,1.4,bet365,17.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,12.0,bet365,8.0,bet365,9.5,bet365,17.0,bet365,17.0,bet365,10.0,bet365,13.0,bet365,21.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.68,1.45,bet365,1.68,2.15,bet365,1.35,3.1,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,11.0,7.2,1.16,Betano.br,5.2,4.65,1.47,Betano.br,1.65,4.25,4.05,Betano.br,1.24,6.2,8.5,Betano.br,1.08,9.75,16.5,,,,,,,,,,,0.59,0.41,,,,,,,,,,,8.0,7.0,2.0,4.0,6.0,3.0,,,,,,,,,,,,,7.0,6.0,,,,,,,5.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.54,0.46,6.0,4.0,2.0,2.0,4.0,2.0,,,1.0,3.0,,,,,,,2.0,2.0,,,,,,,0.64,0.36,2.0,3.0,0.0,2.0,2.0,1.0,,,6.0,3.0,5.0,2.0,,,,,,,0.0,0.0
