Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
tSInjSXN,DENMARK,2025-2026,1St Division,DENMARK 2,11/04/2026,09:30,Promotion Group,Lyngby,Kolding IF,3,1,"[31, 90, 90]",[89],bet365,2.38,2.25,4.75,bet365,1.71,3.5,4.5,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.8,1.91,bet365,1.18,1.29,2.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,7.5,bet365,6.5,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,2.35,1.58,bet365,1.75,2.05,bet365,1.2,4.4,1xBet.br,1.04,9.6,1xBet.br,1.03,8.4,,0.0,0.0,,0.0,0.0,bet365,15.0,9.5,1.1,bet365,6.5,5.0,1.36,bet365,3.0,3.75,2.0,bet365,1.18,6.5,11.0,bet365,1.05,15.0,26.0,BetEsporte,1.01,11.0,40.0,2.51,0.79,3.74,0.45,2.04,1.44,0.45,3.74,-0.55,0.74,0.52,0.48,0.79,0.78,0.39,0.38,0.66,0.72,0.0,0.0,0.22,0.29,20.0,9.0,10.0,3.0,5.0,4.0,5.0,2.0,14.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,32.0,20.0,5.0,7.0,19.0,5.0,35.0,20.0,5.0,19.0,0.0,2.0,,,2.0,0.0,3.0,7.0,0.47,0.47,47.0,42.0,27.0,36.0,11.0,23.0,0.0,0.0,0.0,0.0,1.16,0.42,1.72,0.21,0.8,0.42,0.54,0.46,7.0,4.0,5.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,,,2.0,9.0,2.0,0.0,2.0,4.0,1.35,0.37,2.02,0.24,1.24,1.02,0.5,0.5,13.0,5.0,5.0,2.0,4.0,1.0,2.0,0.0,2.0,4.0,0.0,2.0,,,3.0,10.0,0.0,0.0,1.0,3.0
OSBAXyvI,DENMARK,2025-2026,1St Division,DENMARK 2,11/04/2026,09:00,Relegation Group,Aarhus Fremad,B.93,3,1,"[52, 62, 90]",[80],bet365,2.4,2.38,4.0,bet365,1.86,3.6,3.7,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.29,1.29,1.91,bet365,15.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,9.5,bet365,7.0,bet365,13.0,bet365,29.0,bet365,11.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.6,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.9,1.9,bet365,1.26,3.7,bet365,1.1,7.0,1xBet.br,1.09,7.6,,0.0,0.0,,0.0,0.0,bet365,15.0,10.0,1.09,bet365,6.5,5.5,1.33,bet365,3.25,4.0,1.91,bet365,1.29,6.0,8.0,bet365,1.07,12.0,21.0,BetEsporte,1.01,12.0,30.0,0.98,0.45,0.87,0.2,0.97,0.89,0.2,0.87,-0.8,-2.13,0.45,0.55,0.8,0.81,0.48,0.42,0.71,0.66,0.0,0.0,0.17,0.13,12.0,9.0,7.0,3.0,2.0,3.0,3.0,3.0,7.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,23.0,11.0,9.0,3.0,16.0,10.0,27.0,17.0,10.0,16.0,2.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,0.67,0.86,52.0,34.0,16.0,25.0,11.0,6.0,0.0,0.0,0.0,1.0,0.46,0.36,0.53,0.13,0.67,0.8,0.44,0.56,6.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,5.0,2.0,3.0,2.0,3.0,0.52,0.09,0.34,0.07,0.3,0.09,0.47,0.53,6.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,5.0,11.0,2.0,0.0,0.0,1.0
lK0uhl3B,DENMARK,2025-2026,1St Division,DENMARK 2,11/04/2026,07:30,Promotion Group,Hillerod,Horsens,0,0,[],[],bet365,3.2,2.0,3.75,bet365,2.32,3.1,3.0,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.36,1.36,1.53,bet365,7.0,bet365,8.0,bet365,15.0,bet365,34.0,bet365,6.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,23.0,bet365,21.0,bet365,34.0,bet365,67.0,1xBet.br,9.9,1.01,1xBet.br,8.7,1.02,bet365,5.0,1.17,bet365,3.9,1.24,bet365,2.35,1.58,bet365,1.38,3.0,bet365,1.13,5.9,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,bet365,29.0,17.0,1.04,bet365,12.0,7.0,1.14,bet365,5.0,4.0,1.53,bet365,1.36,4.75,7.0,bet365,1.08,10.0,19.0,BetEsporte,1.01,11.0,35.0,0.41,1.06,0.0,0.13,0.99,1.28,0.13,0.0,0.13,0.0,0.59,0.41,0.87,0.79,0.62,0.38,0.78,0.72,0.0,0.0,0.24,0.31,6.0,8.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,23.0,17.0,13.0,0.0,8.0,5.0,18.0,18.0,5.0,8.0,,,,,4.0,2.0,4.0,0.0,0.54,0.75,47.0,49.0,21.0,35.0,8.0,10.0,0.0,0.0,0.0,0.0,0.2,0.38,0.0,0.07,0.54,0.35,0.57,0.43,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,,,2.0,4.0,0.0,1.0,2.0,0.0,0.21,0.68,0.0,0.06,0.45,0.93,0.62,0.38,3.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,9.0,0.0,,,,,3.0,4.0,4.0,1.0,2.0,0.0
tfcXgAYb,DENMARK,2025-2026,1St Division,DENMARK 2,10/04/2026,14:00,Promotion Group,Esbjerg,Hvidovre IF,1,0,[68],[],bet365,3.75,2.2,2.88,bet365,3.1,3.4,2.15,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.67,1.3,1.36,bet365,10.0,bet365,8.0,bet365,11.0,bet365,21.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,13.0,bet365,26.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.1,1.35,bet365,1.68,2.15,bet365,1.33,3.3,bet365,1.23,4.1,1xBet.br,1.02,7.9,1xBet.br,1.01,8.8,BetEsporte,30.0,11.0,1.01,bet365,17.0,9.5,1.09,bet365,7.0,5.0,1.36,bet365,1.67,4.0,4.33,bet365,1.2,6.5,9.5,bet365,1.05,13.0,23.0,0.86,1.14,0.64,0.6,0.8,2.16,0.6,0.64,0.6,-0.36,0.44,0.56,0.8,0.81,0.4,0.48,0.55,0.71,0.0,0.0,0.44,0.27,12.0,15.0,5.0,5.0,4.0,6.0,3.0,4.0,6.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,20.0,26.0,2.0,6.0,4.0,11.0,18.0,26.0,11.0,4.0,2.0,0.0,,,5.0,2.0,4.0,4.0,0.68,0.75,47.0,55.0,36.0,16.0,8.0,5.0,0.0,0.0,0.0,0.0,0.33,0.66,0.13,0.48,0.52,1.05,0.44,0.56,4.0,7.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,,,3.0,3.0,1.0,1.0,2.0,2.0,0.53,0.48,0.51,0.12,0.28,1.11,0.44,0.56,8.0,8.0,3.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,,,8.0,1.0,4.0,1.0,2.0,2.0
G282Zc95,DENMARK,2025-2026,1St Division,DENMARK 2,10/04/2026,13:30,Relegation Group,Koge,Middelfart,2,0,"[63, 90]",[],bet365,2.1,2.4,5.5,bet365,1.56,4.1,5.25,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.73,2.0,bet365,1.17,1.22,2.3,bet365,13.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,8.0,bet365,8.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,12.0,bet365,23.0,bet365,41.0,bet365,4.8,1.18,bet365,4.0,1.23,bet365,2.5,1.5,bet365,2.0,1.8,bet365,1.58,2.35,bet365,1.17,5.0,1xBet.br,1.04,7.9,1xBet.br,1.02,8.9,,0.0,0.0,,0.0,0.0,bet365,10.0,7.5,1.17,bet365,5.0,4.75,1.5,bet365,2.5,3.75,2.3,bet365,1.17,7.0,12.0,bet365,1.04,17.0,29.0,BetEsporte,1.01,11.0,40.0,1.94,0.47,1.45,0.07,1.83,0.76,0.07,1.45,0.07,-0.55,0.52,0.48,0.84,0.81,0.58,0.48,0.71,0.71,2.0,0.0,0.28,0.23,18.0,8.0,5.0,1.0,8.0,7.0,5.0,0.0,12.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,35.0,16.0,6.0,4.0,9.0,9.0,17.0,13.0,9.0,9.0,2.0,0.0,,,0.0,3.0,1.0,3.0,0.7,0.76,43.0,50.0,18.0,35.0,10.0,6.0,1.0,0.0,0.0,0.0,0.95,0.3,0.07,0.0,0.56,0.26,0.52,0.48,10.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,2.0,1.0,,,4.0,3.0,0.0,2.0,0.0,1.0,0.99,0.17,1.38,0.07,1.27,0.5,0.52,0.48,8.0,4.0,4.0,1.0,2.0,3.0,1.0,0.0,4.0,3.0,2.0,0.0,,,5.0,6.0,0.0,1.0,1.0,2.0
8x5fyKvg,DENMARK,2025-2026,1St Division,DENMARK 2,10/04/2026,13:00,Relegation Group,Hobro,Aalborg,0,1,[],[43],bet365,2.88,2.1,3.75,bet365,2.2,3.3,3.2,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.36,1.33,1.62,bet365,9.5,bet365,9.5,bet365,15.0,bet365,34.0,bet365,8.0,bet365,6.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,1xBet.br,9.0,1.02,1xBet.br,8.8,1.01,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.25,1.63,bet365,1.38,3.0,bet365,1.14,5.75,bet365,1.11,6.6,1xBet.br,1.01,10.0,,0.0,0.0,bet365,26.0,15.0,1.05,bet365,10.0,6.5,1.18,bet365,4.5,4.0,1.62,bet365,1.36,5.0,7.0,bet365,1.09,9.5,17.0,BetEsporte,1.01,11.0,30.0,1.17,1.62,0.04,0.53,1.92,1.01,0.53,0.04,-0.47,0.04,0.57,0.43,0.78,0.75,0.31,0.32,0.68,0.68,0.0,0.0,0.32,0.2,16.0,11.0,1.0,4.0,9.0,4.0,6.0,3.0,11.0,8.0,5.0,3.0,3.0,4.0,0.0,2.0,36.0,19.0,8.0,3.0,15.0,13.0,22.0,18.0,13.0,15.0,2.0,3.0,,,3.0,0.0,3.0,1.0,0.5,0.44,52.0,55.0,14.0,56.0,14.0,16.0,0.0,0.0,0.0,0.0,0.35,0.33,0.04,0.32,0.52,0.23,0.48,0.52,7.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0,5.0,1.0,0.0,1.0,1.0,0.82,1.29,0.0,0.21,1.4,0.78,0.67,0.33,9.0,9.0,0.0,2.0,7.0,4.0,3.0,3.0,6.0,3.0,2.0,2.0,,,5.0,10.0,2.0,0.0,2.0,0.0
zP6nwtAt,DENMARK,2025-2026,1St Division,DENMARK 2,06/04/2026,10:00,Relegation Group,Koge,Aarhus Fremad,2,0,"[50, 58]",[],bet365,3.75,2.3,2.63,bet365,3.2,3.7,2.01,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.73,1.29,1.36,bet365,13.0,bet365,9.5,bet365,11.0,bet365,19.0,bet365,12.0,bet365,7.0,bet365,9.0,bet365,15.0,bet365,19.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,1.75,2.05,bet365,1.38,3.0,bet365,1.26,3.7,bet365,1.1,7.0,1xBet.br,1.08,8.11,BetEsporte,28.0,11.0,1.01,bet365,17.0,10.0,1.09,bet365,6.5,5.0,1.36,bet365,1.73,4.0,3.75,bet365,1.25,6.0,8.0,bet365,1.07,12.0,19.0,1.8,0.53,2.81,0.16,0.79,0.45,0.16,2.81,0.16,0.81,0.42,0.58,0.76,0.83,0.45,0.27,0.6,0.63,1.0,0.0,0.31,0.14,11.0,7.0,6.0,1.0,4.0,4.0,1.0,2.0,9.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,25.0,16.0,5.0,1.0,9.0,15.0,27.0,25.0,15.0,9.0,3.0,0.0,,,1.0,1.0,1.0,4.0,0.58,0.64,50.0,39.0,19.0,13.0,12.0,9.0,1.0,0.0,0.0,0.0,0.25,0.39,0.15,0.16,0.22,0.22,0.48,0.52,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,3.0,1.0,0.0,1.0,2.0,1.55,0.14,2.66,0.0,0.57,0.23,0.36,0.64,7.0,4.0,4.0,0.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,,,5.0,6.0,0.0,1.0,0.0,2.0
8taPeW3n,DENMARK,2025-2026,1St Division,DENMARK 2,04/04/2026,10:00,Promotion Group,Horsens,Lyngby,1,0,[34],[],bet365,4.33,2.1,2.75,bet365,3.75,3.2,1.96,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.8,1.36,1.25,bet365,8.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,10.0,bet365,6.0,bet365,9.0,bet365,17.0,bet365,19.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,1xBet.br,8.2,1.02,1xBet.br,8.35,1.07,bet365,3.7,1.26,bet365,1.78,2.03,bet365,1.38,3.0,bet365,1.25,3.8,1xBet.br,1.09,7.5,1xBet.br,1.02,8.3,BetEsporte,35.0,11.0,1.01,bet365,23.0,13.0,1.06,bet365,9.0,5.5,1.25,bet365,1.8,3.75,4.0,bet365,1.22,6.0,9.0,bet365,1.06,13.0,23.0,0.83,0.75,0.38,0.61,0.28,1.19,0.61,0.38,0.61,-0.62,0.32,0.68,0.62,0.77,0.29,0.37,0.53,0.63,0.0,0.0,0.2,0.23,8.0,8.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,9.0,31.0,0.0,6.0,7.0,20.0,30.0,34.0,20.0,7.0,4.0,1.0,,,2.0,1.0,2.0,0.0,0.57,0.73,41.0,64.0,53.0,17.0,19.0,16.0,0.0,0.0,0.0,0.0,0.11,0.47,0.38,0.61,0.16,0.52,0.3,0.7,1.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.72,0.28,0.0,0.0,0.12,0.67,0.35,0.65,7.0,3.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,,,12.0,5.0,2.0,1.0,0.0,0.0
0ICwJxPO,DENMARK,2025-2026,1St Division,DENMARK 2,04/04/2026,09:00,Relegation Group,Middelfart,Aalborg,2,5,"[15, 21]","[50, 59, 67, 76, 78]",bet365,4.33,2.25,2.5,bet365,3.75,3.7,1.81,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.83,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.91,1.29,1.25,bet365,12.0,bet365,8.0,bet365,9.5,bet365,15.0,bet365,12.0,bet365,7.0,bet365,8.5,bet365,15.0,bet365,21.0,bet365,13.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,1xBet.br,7.8,1.05,1xBet.br,8.37,1.07,bet365,3.7,1.26,bet365,1.93,1.88,bet365,1.48,2.6,bet365,1.33,3.3,bet365,1.13,6.0,bet365,1.1,7.0,BetEsporte,35.0,11.0,1.01,bet365,23.0,12.0,1.06,bet365,8.5,5.5,1.25,bet365,1.91,3.75,3.4,bet365,1.3,5.5,7.0,bet365,1.08,11.0,17.0,1.03,2.68,0.65,3.29,0.66,1.83,3.29,0.65,-1.71,-1.35,0.45,0.55,0.81,0.83,0.44,0.41,0.71,0.67,0.0,1.0,0.23,0.4,14.0,17.0,5.0,10.0,3.0,6.0,6.0,1.0,10.0,12.0,4.0,5.0,0.0,3.0,0.0,0.0,24.0,38.0,5.0,5.0,8.0,9.0,22.0,23.0,9.0,8.0,1.0,2.0,,,3.0,2.0,5.0,3.0,0.8,0.62,43.0,40.0,37.0,19.0,3.0,11.0,0.0,0.0,1.0,0.0,0.49,0.84,0.34,0.36,0.33,0.37,0.39,0.61,3.0,9.0,2.0,3.0,0.0,5.0,0.0,0.0,1.0,2.0,,,4.0,4.0,2.0,0.0,3.0,0.0,0.54,1.84,0.31,2.93,0.33,1.46,0.54,0.46,11.0,8.0,3.0,7.0,3.0,1.0,0.0,3.0,4.0,3.0,1.0,2.0,,,5.0,4.0,1.0,2.0,2.0,3.0
r1rElFdJ,DENMARK,2025-2026,1St Division,DENMARK 2,03/04/2026,10:30,Promotion Group,Hvidovre IF,Hillerod,1,1,[67],[74],bet365,2.88,2.05,4.0,bet365,2.1,3.1,3.5,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.29,1.36,1.67,bet365,7.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,6.5,bet365,6.0,bet365,13.0,bet365,29.0,bet365,9.5,bet365,9.5,bet365,15.0,bet365,41.0,bet365,21.0,bet365,19.0,bet365,34.0,bet365,51.0,1xBet.br,8.5,1.01,1xBet.br,7.7,1.03,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.3,3.45,bet365,1.11,6.8,1xBet.br,1.04,6.85,,0.0,0.0,,0.0,0.0,bet365,26.0,15.0,1.05,bet365,10.0,6.5,1.2,bet365,4.33,3.75,1.67,bet365,1.29,5.0,8.0,bet365,1.07,11.0,21.0,BetEsporte,1.01,11.0,35.0,1.34,0.58,0.81,0.51,0.93,0.25,0.51,0.81,-0.49,-0.19,0.56,0.44,0.72,0.69,0.33,0.28,0.62,0.46,0.0,0.0,0.24,0.15,16.0,9.0,5.0,3.0,7.0,1.0,4.0,5.0,7.0,4.0,9.0,5.0,1.0,1.0,2.0,1.0,23.0,8.0,5.0,6.0,7.0,18.0,30.0,27.0,18.0,7.0,1.0,1.0,,,0.0,3.0,2.0,3.0,0.6,0.5,62.0,67.0,16.0,45.0,5.0,12.0,0.0,0.0,0.0,0.0,0.22,0.17,0.01,0.03,0.14,0.18,0.5,0.5,8.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,9.0,5.0,0.0,1.0,1.0,1.0,1.12,0.41,0.8,0.48,0.79,0.07,0.63,0.37,8.0,5.0,4.0,2.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,,,9.0,2.0,0.0,2.0,1.0,2.0
