Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
xnwqNmLO,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,01/03/2026,13:00,Round 22,FC Copenhagen,Randers FC,1,2,[22],"[17, 90]",bet365,2.05,2.4,5.5,bet365,1.51,4.33,5.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.8,1.95,bet365,1.14,1.2,2.38,bet365,13.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,7.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.42,1.53,bet365,1.9,1.9,bet365,1.53,2.42,bet365,1.15,5.5,1xBet,1.02,9.6,Superbet.br,1.02,12.0,,0.0,0.0,,0.0,0.0,Betano.br,9.5,7.0,1.2,Betano.br,4.65,4.55,1.55,bet365,2.5,3.75,2.38,Betano.br,1.16,7.0,13.5,BetEsporte,1.02,10.0,29.0,BetEsporte,1.01,11.0,40.0,2.28,2.34,1.34,2.12,1.77,0.8,2.12,1.34,0.12,0.34,0.56,0.44,0.83,0.76,0.33,0.38,0.7,0.71,1.0,0.0,0.21,0.43,18.0,13.0,4.0,5.0,8.0,3.0,6.0,5.0,15.0,9.0,3.0,4.0,4.0,2.0,1.0,0.0,37.0,21.0,6.0,6.0,10.0,12.0,29.0,17.0,12.0,10.0,1.0,2.0,,,1.0,3.0,3.0,3.0,0.69,0.69,56.0,66.0,17.0,40.0,5.0,7.0,0.0,0.0,0.0,0.0,1.7,0.88,1.17,0.66,1.2,0.49,0.54,0.46,11.0,4.0,2.0,2.0,7.0,2.0,4.0,1.0,3.0,4.0,,,3.0,5.0,0.0,1.0,1.0,1.0,0.58,1.46,0.17,1.46,0.57,0.31,0.59,0.41,7.0,9.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,,,9.0,5.0,1.0,2.0,2.0,2.0
GC8gsi6t,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,01/03/2026,13:00,Round 22,Fredericia,Silkeborg,2,1,"[45, 68]",[44],bet365,2.88,2.4,3.1,bet365,2.32,3.7,2.65,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.44,2.63,bet365,1.44,1.29,1.53,bet365,17.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,12.0,bet365,7.5,bet365,11.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,34.0,Superbet.br,8.1,1.05,1xBet,7.01,1.1,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.35,1.58,bet365,1.45,2.68,bet365,1.21,4.25,bet365,1.16,5.25,1xBet,1.06,9.17,1xBet,1.05,11.2,Betano.br,19.5,11.0,1.07,Betano.br,9.5,6.6,1.21,bet365,4.33,4.5,1.53,Betano.br,1.47,4.65,5.3,Betano.br,1.17,7.4,11.5,BetEsporte,1.03,11.0,22.0,1.65,1.12,1.8,1.25,1.26,0.66,1.25,1.8,0.25,-0.2,0.49,0.51,0.86,0.84,0.7,0.44,0.75,0.78,0.0,0.0,0.19,0.33,22.0,13.0,9.0,5.0,7.0,4.0,6.0,4.0,18.0,8.0,4.0,5.0,2.0,2.0,1.0,0.0,47.0,22.0,9.0,1.0,7.0,10.0,16.0,13.0,10.0,7.0,0.0,1.0,,,3.0,0.0,4.0,7.0,0.69,0.45,40.0,37.0,22.0,24.0,13.0,6.0,0.0,0.0,0.0,0.0,0.94,0.61,1.23,1.05,0.76,0.24,0.46,0.54,9.0,7.0,3.0,4.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,0.71,0.51,0.57,0.2,0.5,0.42,0.52,0.48,13.0,6.0,6.0,1.0,5.0,4.0,2.0,1.0,5.0,0.0,,,,,7.0,6.0,1.0,0.0,1.0,5.0
rPaAw955,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,01/03/2026,13:00,Round 22,Midtjylland,Brondby,0,0,[],[],bet365,1.95,2.6,5.5,bet365,1.45,4.2,6.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.67,2.1,bet365,1.11,1.22,2.63,bet365,17.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,9.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,11.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.78,2.03,bet365,1.48,2.6,bet365,1.13,6.0,1xBet,1.02,9.7,1xBet,1.01,10.5,,0.0,0.0,,0.0,0.0,Betano.br,8.25,6.6,1.24,Betano.br,4.15,4.5,1.62,bet365,2.25,4.0,2.63,Betano.br,1.16,7.1,13.5,BetEsporte,1.02,10.0,28.0,BetEsporte,1.01,12.0,40.0,1.27,0.93,0.63,0.73,1.63,0.32,0.73,0.63,0.73,0.63,0.66,0.34,0.84,0.67,0.59,0.38,0.65,0.6,0.0,0.0,0.36,0.2,13.0,9.0,4.0,4.0,8.0,3.0,1.0,2.0,8.0,4.0,5.0,5.0,3.0,1.0,1.0,0.0,28.0,12.0,6.0,2.0,20.0,16.0,21.0,18.0,16.0,20.0,2.0,5.0,,,1.0,1.0,4.0,4.0,0.83,0.53,57.0,60.0,17.0,35.0,4.0,4.0,1.0,2.0,0.0,0.0,0.88,0.13,0.39,0.05,1.15,0.07,0.65,0.35,8.0,3.0,2.0,1.0,5.0,2.0,2.0,0.0,4.0,0.0,,,9.0,8.0,0.0,0.0,1.0,2.0,0.39,0.8,0.24,0.68,0.48,0.25,0.67,0.33,5.0,6.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,,,7.0,12.0,1.0,1.0,3.0,2.0
nHdRZQ4U,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,01/03/2026,13:00,Round 22,Sonderjyske,Odense,1,0,[28],[],bet365,2.88,2.3,3.4,bet365,2.25,3.5,2.82,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.4,1.29,1.57,bet365,15.0,bet365,12.0,bet365,17.0,bet365,29.0,bet365,10.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,23.0,bet365,17.0,bet365,23.0,bet365,34.0,Superbet.br,8.0,1.05,1xBet,8.06,1.08,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.4,2.85,bet365,1.18,4.8,bet365,1.13,5.9,1xBet,1.02,10.5,1xBet,1.01,11.5,Betano.br,20.0,10.75,1.07,Betano.br,9.75,6.5,1.22,bet365,4.33,4.33,1.57,Betano.br,1.4,4.75,6.3,Betano.br,1.13,8.0,14.0,BetEsporte,1.02,11.0,25.0,1.43,0.82,0.96,0.61,1.09,1.2,0.61,0.96,0.61,-0.04,0.38,0.62,0.75,0.84,0.45,0.4,0.65,0.74,1.0,0.0,0.21,0.24,14.0,13.0,3.0,2.0,2.0,6.0,9.0,5.0,7.0,8.0,7.0,5.0,2.0,3.0,0.0,0.0,21.0,30.0,6.0,8.0,9.0,12.0,16.0,20.0,12.0,9.0,0.0,1.0,,,1.0,2.0,2.0,2.0,0.86,0.77,39.0,54.0,42.0,28.0,8.0,15.0,0.0,1.0,0.0,0.0,1.15,0.68,0.96,0.61,0.82,0.83,0.43,0.57,9.0,8.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,,,8.0,5.0,0.0,0.0,2.0,2.0,0.28,0.14,0.0,0.0,0.27,0.37,0.34,0.66,5.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,0.0,1.0,,,4.0,4.0,1.0,2.0,0.0,0.0
M9B1uVzg,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,01/03/2026,13:00,Round 22,Vejle,Aarhus,1,2,[61],"[46, 71]",bet365,6.0,2.4,2.0,bet365,5.5,4.5,1.46,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.8,1.95,bet365,2.5,1.18,1.14,bet365,15.0,bet365,7.5,bet365,7.5,bet365,11.0,bet365,17.0,bet365,8.5,bet365,8.5,bet365,12.0,bet365,29.0,bet365,17.0,bet365,17.0,bet365,23.0,bet365,67.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,12.0,1.02,1xBet,9.8,1.02,bet365,5.5,1.15,bet365,2.42,1.53,bet365,1.95,1.85,bet365,1.55,2.38,bet365,1.26,3.7,bet365,1.2,4.4,BetEsporte,40.0,11.0,1.01,BetEsporte,29.0,10.0,1.02,Betano.br,13.5,6.9,1.16,bet365,2.5,3.75,2.38,Betano.br,1.57,4.55,4.55,Betano.br,1.21,6.9,9.5,1.03,0.91,1.63,1.9,0.83,0.81,1.9,1.63,-0.1,0.63,0.42,0.58,0.6,0.72,0.27,0.24,0.45,0.6,1.0,0.0,0.21,0.27,11.0,8.0,5.0,6.0,3.0,2.0,3.0,0.0,7.0,7.0,4.0,1.0,3.0,4.0,0.0,0.0,13.0,16.0,2.0,4.0,13.0,18.0,24.0,33.0,18.0,13.0,1.0,1.0,,,2.0,4.0,4.0,4.0,0.6,0.42,64.0,58.0,28.0,27.0,9.0,6.0,0.0,0.0,0.0,0.0,0.03,0.36,0.04,0.38,0.09,0.67,0.33,0.67,2.0,4.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,12.0,6.0,0.0,1.0,2.0,1.0,1.0,0.55,1.59,1.52,0.74,0.14,0.51,0.49,9.0,4.0,4.0,4.0,2.0,0.0,3.0,2.0,1.0,1.0,,,,,6.0,7.0,2.0,3.0,2.0,3.0
jk3IymzI,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,01/03/2026,13:00,Round 22,Viborg,Nordsjaelland,2,1,"[8, 72]",[62],bet365,2.63,2.4,3.5,bet365,2.05,3.75,3.1,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.36,1.25,1.7,bet365,17.0,bet365,15.0,bet365,19.0,bet365,34.0,bet365,11.0,bet365,7.5,bet365,12.0,bet365,21.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,Superbet.br,7.0,1.07,bet365,6.8,1.11,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.35,3.1,bet365,1.15,5.5,bet365,1.12,6.25,1xBet,1.02,10.5,1xBet,1.01,11.5,Betano.br,16.5,10.0,1.09,Betano.br,8.0,6.1,1.26,bet365,3.75,4.33,1.7,Betano.br,1.36,5.0,6.9,Betano.br,1.11,8.5,15.5,BetEsporte,1.02,11.0,25.0,1.84,1.47,1.93,0.86,2.93,0.89,0.86,1.93,-0.14,-0.07,0.48,0.52,0.8,0.82,0.48,0.47,0.7,0.57,0.0,0.0,0.17,0.33,23.0,15.0,7.0,4.0,11.0,4.0,5.0,7.0,15.0,7.0,8.0,8.0,5.0,2.0,0.0,0.0,50.0,21.0,4.0,2.0,17.0,8.0,16.0,16.0,8.0,17.0,2.0,1.0,,,1.0,2.0,2.0,4.0,0.5,0.72,67.0,44.0,27.0,33.0,6.0,12.0,1.0,1.0,1.0,0.0,1.01,0.4,1.28,0.0,0.79,0.56,0.5,0.5,13.0,4.0,3.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,,,3.0,8.0,1.0,2.0,0.0,2.0,0.83,1.07,0.65,0.86,2.14,0.33,0.45,0.55,10.0,11.0,4.0,3.0,6.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,,,5.0,9.0,0.0,0.0,2.0,2.0
zer0NdF7,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,23/02/2026,15:00,Round 21,Brondby,Sonderjyske,0,0,[],[],bet365,2.4,2.3,4.33,bet365,1.81,3.4,4.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.22,1.3,1.91,bet365,13.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,9.0,bet365,6.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,12.0,bet365,34.0,bet365,17.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.85,1.95,bet365,1.24,3.9,1xBet,1.09,7.41,Superbet.br,1.05,8.1,,0.0,0.0,,0.0,0.0,Betano.br,14.5,8.75,1.11,Betano.br,6.8,5.4,1.34,bet365,3.2,4.0,1.91,Betano.br,1.24,5.6,10.25,Betano.br,1.06,10.25,23.0,BetEsporte,1.01,12.0,35.0,0.75,1.66,0.85,1.38,0.75,0.96,1.38,0.85,1.38,0.85,0.54,0.46,0.83,0.77,0.49,0.49,0.72,0.7,0.0,0.0,0.38,0.24,15.0,17.0,2.0,4.0,5.0,7.0,8.0,6.0,8.0,10.0,7.0,7.0,0.0,5.0,0.0,1.0,26.0,32.0,5.0,6.0,13.0,17.0,19.0,28.0,17.0,13.0,2.0,4.0,,,1.0,3.0,4.0,2.0,0.5,0.73,45.0,54.0,44.0,19.0,12.0,7.0,0.0,1.0,0.0,0.0,0.48,0.75,0.63,0.61,0.42,0.53,0.58,0.42,7.0,6.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,5.0,0.0,3.0,7.0,7.0,0.0,2.0,1.0,1.0,0.27,0.91,0.22,0.77,0.33,0.43,0.5,0.5,8.0,11.0,1.0,3.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0,1.0,,,10.0,6.0,1.0,1.0,3.0,1.0
vTliPIpe,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,22/02/2026,14:00,Round 21,Aarhus,Viborg,5,2,"[31, 57, 60, 64, 70]","[55, 90]",bet365,2.25,2.38,4.75,bet365,1.66,3.9,4.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.7,2.05,bet365,1.18,1.25,2.1,bet365,13.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,8.5,bet365,7.0,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,13.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.2,4.4,1xBet,1.1,7.58,Superbet.br,1.04,8.6,,0.0,0.0,,0.0,0.0,Betano.br,11.75,7.9,1.15,Betano.br,5.7,5.0,1.42,bet365,2.88,3.75,2.1,Betano.br,1.23,6.0,10.25,Betano.br,1.06,10.5,23.0,BetEsporte,1.01,12.0,35.0,1.71,1.73,3.06,1.96,0.66,1.22,1.96,3.06,-0.04,-1.94,0.57,0.43,0.88,0.83,0.54,0.48,0.68,0.71,0.0,1.0,0.26,0.25,15.0,11.0,9.0,4.0,1.0,6.0,5.0,1.0,10.0,8.0,5.0,3.0,1.0,3.0,0.0,0.0,30.0,23.0,6.0,1.0,13.0,14.0,13.0,13.0,14.0,13.0,2.0,2.0,,,1.0,2.0,2.0,2.0,0.57,0.6,46.0,46.0,20.0,18.0,7.0,11.0,2.0,0.0,0.0,0.0,0.52,0.26,0.81,0.16,0.46,0.21,0.56,0.44,9.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,1.0,8.0,6.0,0.0,1.0,1.0,1.0,1.19,1.47,2.25,1.8,0.2,1.01,0.57,0.43,6.0,7.0,5.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,,,6.0,7.0,1.0,1.0,1.0,1.0
4YvyP9jC,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,22/02/2026,12:00,Round 21,Silkeborg,Midtjylland,0,4,[],"[29, 48, 66, 73]",bet365,5.5,2.63,1.95,bet365,5.5,4.75,1.46,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.57,2.25,bet365,2.5,1.18,1.14,bet365,21.0,bet365,11.0,bet365,9.5,bet365,12.0,bet365,21.0,bet365,9.5,bet365,8.5,bet365,11.0,bet365,34.0,bet365,17.0,bet365,13.0,bet365,19.0,bet365,51.0,bet365,41.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,1xBet,10.0,1.02,1xBet,9.1,1.03,bet365,5.5,1.15,bet365,2.6,1.48,bet365,2.03,1.78,bet365,1.63,2.25,bet365,1.33,3.3,bet365,1.24,3.9,,0.0,0.0,0.0,BetEsporte,25.0,10.0,1.03,Betano.br,12.5,7.3,1.16,bet365,2.5,4.0,2.25,Betano.br,1.67,4.55,3.85,Betano.br,1.26,6.4,7.5,0.74,1.75,0.11,3.01,0.4,2.26,3.01,0.11,-0.99,0.11,0.39,0.61,0.77,0.87,0.36,0.61,0.55,0.66,0.0,1.0,0.14,0.29,8.0,17.0,1.0,9.0,3.0,5.0,4.0,3.0,7.0,13.0,1.0,4.0,0.0,6.0,0.0,0.0,20.0,29.0,6.0,6.0,11.0,8.0,11.0,13.0,8.0,11.0,3.0,1.0,,,1.0,3.0,5.0,1.0,0.78,0.56,30.0,38.0,29.0,9.0,3.0,8.0,1.0,1.0,0.0,1.0,0.54,0.63,0.11,1.41,0.28,1.18,0.39,0.61,5.0,10.0,1.0,4.0,1.0,3.0,0.0,2.0,3.0,4.0,2.0,0.0,5.0,4.0,1.0,2.0,3.0,1.0,0.2,1.12,0.0,1.6,0.12,1.08,0.4,0.6,3.0,7.0,0.0,5.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,1.0,,,3.0,7.0,0.0,1.0,2.0,0.0
86oSQVLa,DENMARK,2025-2026,Superliga 2025 2026,DENMARK 1,22/02/2026,10:00,Round 21,Randers FC,Fredericia,1,2,[31],"[2, 64]",bet365,2.2,2.4,4.75,bet365,1.62,3.8,5.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.62,2.2,bet365,1.17,1.25,2.15,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,9.0,bet365,7.5,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,13.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,5.0,1.17,bet365,4.15,1.22,bet365,2.6,1.48,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.18,4.8,1xBet,1.09,7.81,Superbet.br,1.04,9.1,,0.0,0.0,,0.0,0.0,Betano.br,10.75,7.6,1.17,Betano.br,5.2,4.9,1.47,bet365,2.63,4.0,2.15,Betano.br,1.2,6.3,11.0,BetEsporte,1.03,9.8,24.0,BetEsporte,1.01,12.0,35.0,1.95,2.2,1.43,2.42,2.4,0.8,2.42,1.43,0.42,0.43,0.59,0.41,0.83,0.81,0.6,0.39,0.72,0.67,0.0,0.0,0.3,0.29,27.0,17.0,6.0,6.0,10.0,3.0,11.0,8.0,18.0,11.0,9.0,6.0,4.0,3.0,0.0,0.0,48.0,23.0,14.0,3.0,12.0,6.0,14.0,14.0,6.0,12.0,0.0,2.0,,,2.0,1.0,4.0,4.0,0.74,0.93,56.0,48.0,22.0,43.0,6.0,11.0,0.0,1.0,0.0,0.0,1.55,0.2,1.29,0.51,1.95,0.1,0.57,0.43,20.0,1.0,5.0,1.0,7.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,3.0,0.4,2.0,0.14,1.91,0.45,0.7,0.61,0.39,7.0,16.0,1.0,5.0,3.0,3.0,1.0,2.0,7.0,3.0,0.0,1.0,,,1.0,7.0,1.0,1.0,4.0,1.0
