Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
YJBMWNJa,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,26/05/2024,11:00,Play Offs,Leeds,Southampton,0,1,[],[24],bet365,2.88,2.2,3.6,bet365,2.25,3.3,3.2,bet365,1.36,3.0,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.29,3.75,bet365,1.93,1.93,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.33,1.33,1.67,bet365,11.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,8.5,bet365,6.5,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.5,bet365,13.0,bet365,34.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.35,3.1,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.0,1.06,Betano.br,10.25,6.4,1.21,bet365,4.33,4.0,1.62,Betano.br,1.37,4.7,7.2,Betano.br,1.11,8.5,17.0,Betano.br,1.03,14.0,32.0,0.66,0.56,,,,,,,,,0.59,0.41,,,,,,,,,,,12.0,8.0,2.0,3.0,5.0,2.0,5.0,3.0,,,,,,,,,,,4.0,4.0,,,23.0,21.0,18.0,13.0,2.0,6.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,0.08,0.42,,,,,0.51,0.49,2.0,5.0,1.0,3.0,1.0,0.0,,,1.0,3.0,1.0,2.0,8.0,6.0,1.0,0.0,2.0,1.0,0.58,0.14,,,,,0.67,0.33,10.0,3.0,1.0,0.0,4.0,2.0,,,3.0,1.0,1.0,4.0,,,10.0,7.0,0.0,1.0,0.0,1.0
INcgaD7l,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,17/05/2024,16:00,Play Offs,Southampton,West Brom,3,1,"[49, 78, 86]",[90],bet365,2.25,2.3,5.0,bet365,1.7,3.6,5.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.85,2.0,bet365,3.2,1.36,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.17,1.29,2.1,bet365,11.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,7.5,bet365,7.0,bet365,15.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,2.2,1.65,bet365,1.68,2.15,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,8.25,1.14,Betano.br,6.0,5.0,1.4,bet365,2.88,3.75,2.1,Betano.br,1.2,6.1,12.0,Betano.br,1.05,11.25,27.0,Betano.br,1.01,16.0,37.0,1.51,0.58,,,,,,,,,0.65,0.35,,,,,,,,,,,11.0,8.0,4.0,3.0,4.0,4.0,3.0,1.0,,,,,,,,,,,3.0,8.0,,,16.0,15.0,13.0,12.0,0.0,4.0,,,3.0,3.0,2.0,1.0,,,,,,,,,,,,,0.5,0.05,,,,,0.67,0.33,6.0,2.0,1.0,0.0,2.0,2.0,,,3.0,3.0,,,5.0,3.0,0.0,2.0,0.0,1.0,1.01,0.53,,,,,0.63,0.37,5.0,6.0,3.0,3.0,2.0,2.0,,,0.0,5.0,0.0,4.0,,,8.0,9.0,3.0,1.0,2.0,0.0
pzkAeV6D,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,16/05/2024,16:00,Play Offs,Leeds,Norwich,4,0,"[7, 20, 40, 68]",[],bet365,2.1,2.38,5.5,bet365,1.57,4.2,5.5,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.8,1.91,bet365,1.14,1.22,2.3,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,7.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.65,1.18,bet365,3.9,1.24,bet365,2.5,1.5,bet365,2.0,1.9,bet365,1.55,2.38,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.25,7.2,1.18,Betano.br,4.9,4.6,1.52,bet365,2.5,3.75,2.3,Betano.br,1.16,6.8,14.0,Betano.br,1.04,12.0,30.0,,0.0,0.0,0.0,2.15,0.44,,,,,,,,,0.6,0.4,,,,,,,,,,,18.0,4.0,11.0,1.0,5.0,2.0,2.0,1.0,,,,,,,,,,,8.0,2.0,,,14.0,14.0,14.0,12.0,2.0,2.0,,,1.0,3.0,1.0,7.0,,,,,,,,,,,,,1.27,0.29,,,,,0.62,0.38,10.0,1.0,6.0,1.0,3.0,0.0,,,6.0,2.0,0.0,1.0,8.0,3.0,1.0,2.0,1.0,3.0,0.88,0.15,,,,,0.58,0.42,8.0,3.0,5.0,0.0,2.0,2.0,,,2.0,0.0,2.0,1.0,,,6.0,9.0,0.0,1.0,0.0,4.0
bwHM4ZqR,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,12/05/2024,10:15,Play Offs,West Brom,Southampton,0,0,[],[],bet365,3.5,2.1,3.1,bet365,2.9,3.25,2.4,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.5,bet365,2.03,1.83,bet365,3.5,1.3,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.53,1.33,1.4,bet365,9.5,bet365,8.5,bet365,12.0,bet365,23.0,bet365,9.5,bet365,6.0,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.25,1.12,bet365,5.25,1.16,bet365,2.85,1.4,bet365,1.58,2.35,bet365,1.25,3.8,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,Betano.br,28.0,13.0,1.03,Betano.br,14.5,7.7,1.13,Betano.br,6.2,4.4,1.44,bet365,1.53,4.0,4.75,Betano.br,1.17,7.0,12.5,Betano.br,1.04,12.0,25.0,0.8,1.07,,,,,,,,,0.37,0.63,,,,,,,,,,,14.0,12.0,2.0,3.0,8.0,6.0,4.0,3.0,,,,,,,,,,,7.0,9.0,,,22.0,11.0,8.0,9.0,1.0,2.0,,,1.0,5.0,3.0,2.0,,,,,,,,,,,,,0.4,0.69,,,,,0.36,0.64,7.0,9.0,1.0,2.0,3.0,5.0,,,4.0,7.0,0.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,0.4,0.38,,,,,0.38,0.62,7.0,3.0,1.0,1.0,5.0,1.0,,,3.0,2.0,1.0,1.0,,,5.0,4.0,0.0,3.0,1.0,1.0
OK01cix1,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,12/05/2024,08:00,Play Offs,Norwich,Leeds,0,0,[],[],bet365,3.75,2.2,2.88,bet365,3.25,3.5,2.15,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.5,bet365,1.95,1.9,bet365,3.4,1.33,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.67,1.29,1.33,bet365,10.0,bet365,8.0,bet365,11.0,bet365,21.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.1,1.35,bet365,1.7,2.1,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,Betano.br,32.0,14.0,1.03,Betano.br,17.5,8.5,1.1,Betano.br,7.4,4.8,1.36,bet365,1.67,4.0,4.0,Betano.br,1.23,6.2,9.5,Betano.br,1.07,10.5,20.0,0.44,0.29,,,,,,,,,0.4,0.6,,,,,,,,,,,7.0,6.0,1.0,2.0,5.0,2.0,1.0,2.0,,,,,,,,,,,4.0,4.0,,,22.0,17.0,10.0,17.0,3.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,0.23,0.14,,,,,0.45,0.55,4.0,2.0,1.0,0.0,3.0,1.0,,,3.0,1.0,0.0,1.0,3.0,10.0,1.0,1.0,0.0,1.0,0.21,0.15,,,,,0.35,0.65,3.0,4.0,0.0,2.0,2.0,1.0,,,1.0,3.0,3.0,0.0,,,7.0,7.0,0.0,2.0,2.0,0.0
4WLAk4Z3,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,04/05/2024,08:30,Round 46,Birmingham,Norwich,1,0,[55],[],bet365,3.0,2.3,3.2,bet365,2.45,3.75,2.63,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.67,2.2,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.44,1.25,1.53,bet365,15.0,bet365,11.0,bet365,15.0,bet365,26.0,bet365,11.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,23.0,bet365,23.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,3.7,1.26,bet365,2.35,1.58,bet365,1.48,2.6,bet365,1.21,4.25,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.25,1.06,Betano.br,10.25,6.8,1.2,bet365,4.5,4.33,1.53,Betano.br,1.47,4.5,5.5,Betano.br,1.16,7.4,12.5,Betano.br,1.05,12.0,24.0,1.31,0.1,,,,,,,,,0.36,0.64,,,,,,,,,,,12.0,5.0,3.0,2.0,3.0,2.0,6.0,1.0,,,,,,,,,,,6.0,3.0,,,31.0,31.0,10.0,8.0,2.0,0.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,0.68,0.06,,,,,0.39,0.61,7.0,2.0,2.0,2.0,2.0,0.0,,,4.0,0.0,,,4.0,3.0,1.0,0.0,2.0,2.0,0.63,0.04,,,,,0.33,0.67,5.0,3.0,1.0,0.0,1.0,2.0,,,2.0,3.0,2.0,0.0,,,6.0,5.0,0.0,1.0,0.0,0.0
IZPElOlA,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,04/05/2024,08:30,Round 46,Coventry,QPR,1,2,[83],"[33, 40]",bet365,2.4,2.5,3.75,bet365,1.91,3.8,3.6,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.63,bet365,2.2,1.67,bet365,4.0,1.25,bet365,1.5,2.5,bet365,1.29,1.25,1.83,bet365,19.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,11.0,bet365,8.0,bet365,13.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.1,1.35,bet365,2.5,1.5,bet365,1.95,1.95,bet365,1.3,3.45,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,9.0,1.12,Betano.br,6.7,5.7,1.33,bet365,3.2,4.0,1.83,Betano.br,1.36,5.2,6.5,Betano.br,1.12,8.5,14.0,Betano.br,1.04,13.5,25.0,1.6,0.53,,,,,,,,,0.55,0.45,,,,,,,,,,,19.0,7.0,6.0,4.0,6.0,1.0,7.0,2.0,,,,,,,,,,,10.0,5.0,,,15.0,15.0,13.0,11.0,2.0,3.0,,,4.0,4.0,2.0,5.0,,,,,,,,,,,,,0.61,0.41,,,,,0.5,0.5,9.0,4.0,3.0,3.0,2.0,0.0,,,4.0,2.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,3.0,0.99,0.12,,,,,0.6,0.4,10.0,3.0,3.0,1.0,4.0,1.0,,,6.0,3.0,1.0,2.0,,,8.0,5.0,3.0,4.0,1.0,2.0
0bFJmr4G,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,04/05/2024,08:30,Round 46,Ipswich,Huddersfield,2,0,"[27, 48]",[],bet365,1.67,2.88,8.5,bet365,1.25,6.5,11.0,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.44,2.75,bet365,2.1,1.73,bet365,3.5,1.3,bet365,1.83,1.83,bet365,1.05,1.11,3.75,bet365,19.0,bet365,29.0,bet365,51.0,bet365,126.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,67.0,bet365,7.5,bet365,9.0,bet365,21.0,bet365,51.0,bet365,8.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,2.6,1.48,bet365,2.08,1.73,bet365,1.68,2.15,bet365,1.35,3.1,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.7,5.1,1.5,bet365,2.63,4.33,2.1,Betano.br,1.7,4.15,4.05,Betano.br,1.07,10.0,23.0,Betano.br,1.02,15.0,37.0,,0.0,0.0,0.0,1.43,0.07,,,,,,,,,0.63,0.37,,,,,,,,,,,24.0,5.0,5.0,2.0,12.0,2.0,7.0,1.0,,,,,,,,,,,8.0,0.0,,,9.0,8.0,9.0,12.0,1.0,1.0,,,0.0,3.0,2.0,3.0,,,,,,,,,,,,,0.9,0.02,,,,,0.61,0.39,13.0,2.0,2.0,0.0,10.0,1.0,,,4.0,0.0,,,4.0,5.0,0.0,2.0,0.0,1.0,0.53,0.05,,,,,0.65,0.35,11.0,3.0,3.0,2.0,2.0,1.0,,,4.0,0.0,1.0,1.0,,,5.0,7.0,0.0,1.0,2.0,2.0
vkENn2JM,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,04/05/2024,08:30,Round 46,Leeds,Southampton,1,2,[21],"[18, 35]",bet365,2.1,2.6,4.5,bet365,1.65,4.33,4.75,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.75,bet365,2.1,1.73,bet365,3.5,1.3,bet365,1.44,2.63,bet365,1.18,1.2,2.2,bet365,21.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,12.0,bet365,9.0,bet365,15.0,bet365,29.0,bet365,11.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,15.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,4.65,1.18,bet365,3.9,1.24,bet365,2.6,1.48,bet365,2.05,1.75,bet365,1.63,2.25,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.0,7.2,1.2,Betano.br,4.6,4.85,1.52,bet365,2.5,4.0,2.2,Betano.br,1.18,6.7,11.75,Betano.br,1.05,11.5,24.0,Betano.br,1.01,16.0,35.0,0.83,1.02,,,,,,,,,0.57,0.43,,,,,,,,,,,11.0,11.0,4.0,4.0,4.0,5.0,3.0,2.0,,,,,,,,,,,5.0,2.0,,,14.0,20.0,18.0,17.0,4.0,3.0,,,4.0,2.0,2.0,3.0,,,,,,,,,,,,,0.48,0.69,,,,,0.49,0.51,7.0,7.0,3.0,3.0,3.0,2.0,,,4.0,2.0,1.0,2.0,7.0,10.0,2.0,0.0,1.0,2.0,0.35,0.33,,,,,0.65,0.35,4.0,4.0,1.0,1.0,1.0,3.0,,,1.0,0.0,3.0,1.0,,,11.0,7.0,2.0,2.0,1.0,1.0
8OIRoMYS,ENGLAND,2023-2024,Championship 2023 2024,ENGLAND 2,04/05/2024,08:30,Round 46,Leicester,Blackburn,0,2,[],"[68, 90]",bet365,2.0,2.6,5.0,bet365,1.5,4.33,6.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.63,bet365,2.2,1.67,bet365,4.0,1.25,bet365,1.57,2.25,bet365,1.11,1.2,2.5,bet365,19.0,bet365,23.0,bet365,34.0,bet365,67.0,bet365,10.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,41.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.75,2.05,bet365,1.48,2.6,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.75,6.9,1.22,Betano.br,4.35,4.7,1.57,bet365,2.25,4.0,2.5,Betano.br,1.16,7.1,13.0,Betano.br,1.04,12.0,26.0,,0.0,0.0,0.0,1.06,1.93,,,,,,,,,0.75,0.25,,,,,,,,,,,14.0,9.0,7.0,2.0,7.0,3.0,0.0,4.0,,,,,,,,,,,7.0,4.0,,,15.0,13.0,5.0,7.0,2.0,2.0,,,2.0,1.0,0.0,7.0,,,,,,,,,,,,,0.33,0.59,,,,,0.7,0.3,5.0,7.0,1.0,0.0,4.0,3.0,,,2.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.73,1.34,,,,,0.8,0.2,9.0,2.0,6.0,2.0,3.0,0.0,,,5.0,0.0,1.0,2.0,,,4.0,3.0,1.0,1.0,0.0,6.0
