Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
QRJfbG5K,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,16/03/2025,13:30,Final,Liverpool,Newcastle,1,2,[90],"[45, 52]",bet365,2.5,2.3,4.33,bet365,1.85,3.75,3.8,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.25,1.25,1.91,bet365,13.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,8.5,bet365,7.0,bet365,13.0,bet365,29.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.9,2.0,bet365,1.26,3.7,bet365,1.1,7.0,Estrelabet,1.06,8.5,Estrelabet,1.72,2.13,,0.0,0.0,Betano.br,14.5,8.75,1.11,Betano.br,6.9,5.3,1.34,bet365,3.25,4.0,1.91,Betano.br,1.27,5.5,9.25,Betano.br,1.07,10.0,21.0,Estrelabet,1.2,4.9,23.0,0.89,1.84,,,,,,,,,0.66,0.34,0.8,0.63,,,0.73,0.54,,,0.16,0.35,7.0,17.0,2.0,6.0,3.0,8.0,2.0,3.0,7.0,11.0,0.0,6.0,2.0,3.0,0.0,0.0,17.0,26.0,4.0,9.0,10.0,14.0,21.0,21.0,14.0,10.0,1.0,2.0,,,2.0,2.0,4.0,1.0,0.86,0.65,,,27.0,37.0,3.0,7.0,,,,,0.26,0.71,,,,,0.56,0.44,1.0,9.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,6.0,,,9.0,6.0,2.0,0.0,2.0,0.0,0.63,1.13,,,,,0.76,0.24,6.0,8.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,2.0,,,5.0,4.0,0.0,2.0,2.0,1.0
bBfIOeas,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,06/02/2025,17:00,Semi-finals,Liverpool,Tottenham,4,0,"[34, 51, 75, 80]",[],bet365,1.57,3.2,8.0,bet365,1.22,7.0,11.0,bet365,1.17,5.0,bet365,1.88,1.98,bet365,3.5,1.29,bet365,1.01,29.0,bet365,1.07,9.0,bet365,1.29,3.6,bet365,1.67,2.1,bet365,2.5,1.5,bet365,1.62,2.2,bet365,1.05,1.1,4.0,bet365,29.0,bet365,41.0,bet365,51.0,bet365,126.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,9.5,bet365,9.0,bet365,21.0,bet365,41.0,bet365,9.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,2.38,1.55,bet365,2.01,1.89,bet365,1.63,2.25,bet365,1.3,3.45,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.1,5.1,1.57,bet365,2.38,4.5,2.25,Betano.br,1.62,4.5,4.1,BetEsporte,1.05,9.2,19.0,BetEsporte,1.01,12.0,35.0,,0.0,0.0,0.0,3.72,0.18,,,,,,,,,0.64,0.36,0.87,0.78,,,0.78,0.57,,,0.44,0.1,26.0,5.0,10.0,0.0,6.0,5.0,10.0,0.0,24.0,2.0,2.0,3.0,5.0,0.0,3.0,1.0,54.0,8.0,14.0,4.0,8.0,5.0,18.0,20.0,5.0,8.0,,,,,3.0,1.0,0.0,6.0,0.68,0.72,,,16.0,26.0,7.0,5.0,,,,,0.7,0.02,,,,,0.73,0.27,11.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,9.0,3.0,,,2.0,3.0,3.0,1.0,0.0,3.0,3.02,0.16,,,,,0.54,0.46,15.0,4.0,6.0,0.0,5.0,4.0,5.0,0.0,5.0,1.0,,,,,3.0,5.0,0.0,0.0,0.0,3.0
E3E1ORm1,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,07/01/2025,17:00,Semi-finals,Arsenal,Newcastle,0,2,[],"[37, 51]",bet365,2.2,2.3,5.5,bet365,1.65,3.9,5.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.95,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.95,bet365,1.17,1.25,2.2,bet365,12.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,7.5,bet365,7.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.75,1.43,bet365,2.1,1.7,bet365,1.63,2.25,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.75,7.6,1.16,Betano.br,5.5,4.75,1.45,bet365,2.75,3.75,2.2,Betano.br,1.18,6.5,13.0,BetEsporte,1.03,10.0,28.0,BetEsporte,1.01,11.0,40.0,3.09,1.22,,,,,,,,,0.69,0.31,0.88,0.73,,,0.78,0.64,,,0.21,0.13,23.0,7.0,3.0,4.0,10.0,2.0,10.0,1.0,15.0,6.0,8.0,1.0,6.0,2.0,1.0,0.0,47.0,15.0,11.0,1.0,12.0,6.0,19.0,9.0,6.0,12.0,1.0,3.0,,,2.0,1.0,2.0,3.0,0.77,0.67,,,12.0,48.0,3.0,5.0,,,,,1.96,0.9,,,,,0.57,0.43,14.0,5.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,3.0,1.13,0.32,,,,,0.81,0.19,9.0,2.0,0.0,2.0,6.0,0.0,2.0,1.0,7.0,0.0,1.0,2.0,,,3.0,6.0,2.0,1.0,1.0,0.0
nHC9M5ID,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,05/02/2025,17:00,Semi-finals,Newcastle,Arsenal,2,0,"[19, 52]",[],bet365,4.5,2.3,2.38,bet365,4.33,3.9,1.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.67,2.1,bet365,2.0,1.25,1.2,bet365,13.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,13.0,bet365,7.5,bet365,8.5,bet365,12.0,bet365,21.0,bet365,13.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,2.05,1.75,bet365,1.6,2.3,bet365,1.4,2.85,bet365,1.15,5.5,bet365,1.12,6.4,BetEsporte,35.0,12.0,1.01,Betano.br,22.0,10.25,1.07,Betano.br,9.5,5.8,1.24,bet365,2.0,4.0,2.88,Betano.br,1.4,5.0,5.9,Betano.br,1.14,8.0,12.5,1.71,0.94,,,,,,,,,0.32,0.68,0.63,0.83,,,0.49,0.78,,,0.33,0.1,10.0,11.0,3.0,3.0,4.0,3.0,3.0,5.0,6.0,7.0,4.0,4.0,3.0,2.0,1.0,1.0,10.0,39.0,1.0,13.0,12.0,12.0,14.0,21.0,12.0,12.0,2.0,3.0,,,3.0,0.0,3.0,1.0,0.52,0.67,,,41.0,13.0,12.0,2.0,,,,,0.89,0.41,,,,,0.31,0.69,6.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,8.0,5.0,1.0,0.0,1.0,0.0,0.82,0.53,,,,,0.33,0.67,4.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,9.0,2.0,1.0,,,4.0,7.0,2.0,0.0,2.0,1.0
SS3nUHyK,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,08/01/2025,17:00,Semi-finals,Tottenham,Liverpool,1,0,[86],[],bet365,4.5,2.75,2.05,bet365,4.75,4.75,1.57,bet365,1.2,4.33,bet365,2.03,1.83,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.4,2.75,bet365,2.3,1.18,1.18,bet365,26.0,bet365,13.0,bet365,12.0,bet365,15.0,bet365,23.0,bet365,10.0,bet365,9.0,bet365,11.0,bet365,34.0,bet365,17.0,bet365,12.0,bet365,17.0,bet365,51.0,bet365,29.0,bet365,26.0,bet365,29.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,2.35,1.58,bet365,1.92,1.98,bet365,1.55,2.38,bet365,1.3,3.45,bet365,1.22,4.15,BetEsporte,30.0,12.0,1.01,BetEsporte,20.0,10.0,1.04,Betano.br,9.5,6.6,1.21,bet365,2.3,4.33,2.38,Betano.br,1.57,4.85,4.25,Betano.br,1.23,6.9,8.25,0.89,1.13,,,,,,,,,0.4,0.6,0.78,0.87,,,0.65,0.77,,,0.18,0.25,9.0,14.0,4.0,7.0,4.0,4.0,1.0,3.0,8.0,10.0,1.0,4.0,4.0,3.0,0.0,0.0,19.0,36.0,2.0,2.0,10.0,8.0,26.0,22.0,8.0,10.0,2.0,0.0,,,1.0,0.0,7.0,3.0,0.64,0.63,,,26.0,17.0,11.0,9.0,,,,,0.34,0.36,,,,,0.43,0.57,4.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.55,0.77,,,,,0.37,0.63,5.0,7.0,2.0,5.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,,,3.0,7.0,1.0,0.0,5.0,1.0
Ofaf72wq,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,19/12/2024,17:00,Quarter-finals,Tottenham,Manchester Utd,4,3,"[15, 46, 54, 88]","[63, 70, 90]",bet365,2.63,2.5,3.25,bet365,2.2,3.8,3.0,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.01,23.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.4,1.3,bet365,1.36,3.0,bet365,1.36,1.25,1.67,bet365,23.0,bet365,17.0,bet365,21.0,bet365,34.0,bet365,15.0,bet365,8.0,bet365,12.0,bet365,21.0,bet365,15.0,bet365,9.5,bet365,10.0,bet365,21.0,bet365,23.0,bet365,15.0,bet365,17.0,bet365,26.0,,0.0,0.0,bet365,6.6,1.11,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.15,1.68,bet365,1.4,2.85,bet365,1.18,4.65,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,15.5,9.75,1.1,Betano.br,7.7,6.1,1.27,bet365,3.75,4.5,1.67,Betano.br,1.4,5.1,6.0,Betano.br,1.14,8.25,13.0,BetEsporte,1.03,11.0,21.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,9.0,21.0,6.0,5.0,2.0,10.0,1.0,6.0,,,,,,,,,,,3.0,8.0,,,20.0,17.0,10.0,12.0,3.0,3.0,,,1.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.49,0.51,6.0,7.0,3.0,0.0,2.0,4.0,,,1.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,2.0,,,,,,,0.43,0.57,3.0,14.0,3.0,5.0,0.0,6.0,,,2.0,5.0,2.0,2.0,,,5.0,7.0,1.0,5.0,2.0,0.0
Y9hNEpo9,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,18/12/2024,17:00,Quarter-finals,Southampton,Liverpool,1,2,[59],"[24, 32]",bet365,5.0,2.63,2.0,bet365,5.25,4.75,1.53,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.53,2.38,bet365,2.38,1.18,1.17,bet365,21.0,bet365,11.0,bet365,10.0,bet365,13.0,bet365,21.0,bet365,9.5,bet365,8.5,bet365,11.0,bet365,34.0,bet365,17.0,bet365,13.0,bet365,19.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,34.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,2.43,1.53,bet365,2.01,1.89,bet365,1.6,2.3,bet365,1.3,3.45,bet365,1.23,4.0,BetEsporte,35.0,12.0,1.01,BetEsporte,22.0,10.0,1.03,Betano.br,12.0,7.2,1.17,bet365,2.38,4.0,2.3,Betano.br,1.62,4.65,4.1,Betano.br,1.24,6.7,8.0,,,,,,,,,,,0.32,0.68,,,,,,,,,,,7.0,11.0,4.0,4.0,1.0,5.0,2.0,2.0,,,,,,,,,,,3.0,7.0,,,17.0,31.0,10.0,12.0,2.0,2.0,,,4.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.26,0.74,1.0,7.0,1.0,3.0,0.0,2.0,,,1.0,3.0,,,5.0,5.0,1.0,0.0,1.0,1.0,,,,,,,0.38,0.62,6.0,4.0,3.0,1.0,1.0,3.0,,,2.0,4.0,2.0,2.0,,,5.0,7.0,3.0,1.0,1.0,2.0
pAm35t8e,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,18/12/2024,16:30,Quarter-finals,Arsenal,Crystal Palace,3,2,"[54, 73, 81]","[4, 85]",bet365,2.25,2.2,5.5,bet365,1.67,3.75,5.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.97,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.95,1.8,bet365,1.17,1.25,2.15,bet365,10.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.0,8.0,1.14,Betano.br,6.0,4.85,1.42,bet365,2.88,3.6,2.15,Betano.br,1.18,6.4,13.5,Betano.br,1.04,11.75,29.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.72,0.28,,,,,,,,,,,13.0,9.0,10.0,4.0,3.0,2.0,0.0,3.0,,,,,,,,,,,4.0,2.0,,,34.0,18.0,7.0,14.0,1.0,1.0,,,3.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,0.72,0.28,3.0,5.0,2.0,2.0,1.0,1.0,,,3.0,0.0,0.0,1.0,3.0,8.0,2.0,1.0,1.0,2.0,,,,,,,0.72,0.28,10.0,4.0,8.0,2.0,2.0,1.0,,,1.0,2.0,1.0,0.0,,,4.0,6.0,1.0,0.0,1.0,5.0
hC8OCOFL,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,18/12/2024,16:45,Quarter-finals,Newcastle,Brentford,3,1,"[9, 43, 69]",[90],bet365,1.8,2.75,6.0,bet365,1.38,5.25,7.0,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.62,2.2,bet365,1.1,1.17,3.0,bet365,23.0,bet365,23.0,bet365,41.0,bet365,81.0,bet365,11.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,9.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,3.3,1.33,bet365,2.6,1.48,bet365,2.02,1.88,bet365,1.55,2.38,bet365,1.38,3.0,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.2,5.9,1.34,Betano.br,3.3,4.4,1.82,bet365,1.91,4.33,3.0,Betano.br,1.12,8.0,15.0,BetEsporte,1.02,11.0,28.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,25.0,10.0,5.0,3.0,8.0,6.0,12.0,1.0,,,,,,,,,,,8.0,5.0,,,20.0,18.0,12.0,9.0,3.0,1.0,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.56,0.44,6.0,1.0,2.0,0.0,3.0,1.0,,,3.0,1.0,3.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,,,,,,,0.5,0.5,19.0,9.0,3.0,3.0,5.0,5.0,,,5.0,4.0,,,,,6.0,2.0,0.0,1.0,2.0,2.0
vmNvRnvg,ENGLAND,2024-2025,Efl Cup 2024 2025,ENGLAND CUP,30/10/2024,17:15,1/8-finals,Tottenham,Manchester City,2,1,"[5, 25]",[45],bet365,2.88,2.4,3.2,bet365,2.35,3.4,2.88,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.2,1.62,bet365,4.0,1.22,bet365,1.44,2.63,bet365,1.4,1.3,1.57,bet365,17.0,bet365,15.0,bet365,19.0,bet365,29.0,bet365,13.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,15.0,bet365,10.0,bet365,10.0,bet365,23.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,29.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,Betano.br,20.0,11.0,1.06,Betano.br,10.0,6.7,1.2,bet365,4.33,4.5,1.57,Betano.br,1.47,4.65,5.5,Betano.br,1.16,7.5,11.75,,0.0,0.0,0.0,,,,,,,,,,,0.33,0.67,,,,,,,,,,,12.0,17.0,8.0,3.0,3.0,11.0,1.0,3.0,,,,,,,,,,,4.0,4.0,,,22.0,26.0,20.0,7.0,3.0,0.0,,,4.0,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,0.3,0.7,6.0,7.0,4.0,1.0,1.0,4.0,,,2.0,0.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,2.0,,,,,,,0.36,0.64,6.0,10.0,4.0,2.0,2.0,7.0,,,2.0,4.0,2.0,0.0,,,6.0,5.0,3.0,0.0,2.0,4.0
