Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
QFo8zkko,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,18/05/2024,12:15,Play Offs,Bolton,Oxford Utd,0,2,[],"[31, 42]",bet365,2.5,2.25,4.0,bet365,1.95,3.5,3.75,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.83,2.03,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.25,1.29,1.8,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,8.5,bet365,7.0,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,7.0,1.1,bet365,6.4,1.12,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.98,1.88,bet365,1.28,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,9.5,1.1,Betano.br,7.6,5.5,1.32,bet365,3.5,4.0,1.8,Betano.br,1.28,5.6,9.25,Betano.br,1.08,10.25,22.0,Betano.br,1.02,16.5,37.0,0.19,0.61,,,,,,,,,0.6,0.4,,,,,,,,,,,5.0,9.0,0.0,5.0,3.0,4.0,2.0,0.0,,,,,,,,,,,7.0,3.0,,,20.0,19.0,12.0,12.0,4.0,1.0,,,0.0,1.0,3.0,0.0,,,,,,,,,,,,,0.09,0.17,,,,,0.59,0.41,3.0,4.0,0.0,3.0,1.0,1.0,,,2.0,1.0,,,3.0,9.0,0.0,1.0,1.0,0.0,0.1,0.44,,,,,0.61,0.39,2.0,5.0,0.0,2.0,2.0,3.0,,,5.0,2.0,4.0,1.0,,,9.0,3.0,0.0,0.0,2.0,0.0
QoIZNzmR,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,08/05/2024,16:00,Play Offs,Peterborough,Oxford Utd,1,1,[41],[45],bet365,2.3,2.4,4.33,bet365,1.7,4.0,4.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.57,2.25,bet365,1.18,1.22,2.1,bet365,17.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,9.0,bet365,8.0,bet365,15.0,bet365,29.0,bet365,10.0,bet365,8.0,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.0,8.25,1.16,Betano.br,5.7,5.2,1.42,bet365,2.88,3.6,2.1,Betano.br,1.25,6.1,9.5,Betano.br,1.08,10.75,21.0,Betano.br,1.02,16.5,37.0,1.49,1.24,,,,,,,,,0.7,0.3,,,,,,,,,,,18.0,5.0,8.0,1.0,5.0,2.0,5.0,2.0,,,,,,,,,,,15.0,5.0,,,37.0,15.0,12.0,19.0,0.0,3.0,,,2.0,1.0,0.0,7.0,,,,,,,,,,,,,0.51,0.89,,,,,0.68,0.32,7.0,4.0,4.0,1.0,2.0,2.0,,,9.0,5.0,0.0,2.0,6.0,11.0,2.0,1.0,0.0,3.0,0.98,0.35,,,,,0.72,0.28,11.0,1.0,4.0,0.0,3.0,0.0,,,6.0,0.0,0.0,1.0,,,6.0,8.0,0.0,0.0,0.0,4.0
xQyu2gQ7,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,07/05/2024,16:00,Play Offs,Bolton,Barnsley,2,3,"[43, 45]","[36, 64, 76]",bet365,2.3,2.5,4.0,bet365,1.8,4.2,3.75,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,21.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.5,2.5,bet365,1.25,1.22,1.95,bet365,21.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,11.0,bet365,8.5,bet365,13.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,2.35,1.58,bet365,1.8,2.05,bet365,1.28,3.55,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.25,8.0,1.17,Betano.br,5.4,5.2,1.44,bet365,2.88,4.0,1.95,Betano.br,1.25,6.1,9.25,Betano.br,1.08,10.5,21.0,Betano.br,1.02,16.5,35.0,0.91,1.16,,,,,,,,,0.52,0.48,,,,,,,,,,,11.0,10.0,3.0,5.0,2.0,4.0,6.0,1.0,,,,,,,,,,,7.0,6.0,,,23.0,21.0,11.0,14.0,1.0,3.0,,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,0.8,0.84,,,,,0.6,0.4,9.0,4.0,3.0,3.0,1.0,1.0,,,5.0,2.0,1.0,0.0,6.0,7.0,0.0,1.0,2.0,1.0,0.11,0.32,,,,,0.43,0.57,2.0,6.0,0.0,2.0,1.0,3.0,,,2.0,4.0,0.0,3.0,,,5.0,7.0,1.0,3.0,0.0,0.0
hYJRPdIE,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,04/05/2024,15:45,Play Offs,Oxford Utd,Peterborough,1,0,[53],[],bet365,2.88,2.3,3.4,bet365,2.25,3.75,2.9,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.4,1.25,1.62,bet365,15.0,bet365,12.0,bet365,17.0,bet365,29.0,bet365,10.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,23.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,20.0,11.25,1.07,Betano.br,9.5,6.5,1.23,bet365,4.33,4.33,1.62,Betano.br,1.44,4.8,5.9,Betano.br,1.15,8.0,13.5,Betano.br,1.04,13.5,27.0,0.53,0.72,,,,,,,,,0.43,0.57,,,,,,,,,,,8.0,10.0,4.0,5.0,2.0,2.0,2.0,3.0,,,,,,,,,,,4.0,4.0,,,20.0,23.0,7.0,17.0,2.0,2.0,,,0.0,0.0,5.0,3.0,,,,,,,,,,,,,0.29,0.03,,,,,0.56,0.44,5.0,1.0,2.0,1.0,2.0,0.0,,,3.0,1.0,2.0,0.0,4.0,9.0,0.0,0.0,1.0,2.0,0.24,0.69,,,,,0.3,0.7,3.0,9.0,2.0,4.0,0.0,2.0,,,1.0,3.0,0.0,2.0,,,3.0,8.0,0.0,0.0,4.0,1.0
UaYW3Fee,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,03/05/2024,15:30,Play Offs,Barnsley,Bolton,1,3,[75],"[23, 53, 90]",bet365,3.5,2.3,2.88,bet365,3.2,3.5,2.25,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.62,1.29,1.36,bet365,13.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,12.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,1.65,2.2,bet365,1.3,3.45,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,Betano.br,30.0,14.5,1.03,Betano.br,16.0,8.75,1.12,Betano.br,6.9,5.0,1.38,bet365,1.62,4.33,4.0,Betano.br,1.24,6.4,9.5,Betano.br,1.07,11.0,21.0,0.61,2.17,,,,,,,,,0.6,0.4,,,,,,,,,,,9.0,9.0,2.0,5.0,3.0,2.0,4.0,2.0,,,,,,,,,,,6.0,5.0,,,30.0,31.0,11.0,18.0,2.0,4.0,,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,0.1,0.92,,,,,0.56,0.44,4.0,5.0,0.0,1.0,3.0,2.0,,,2.0,0.0,1.0,2.0,3.0,9.0,1.0,1.0,0.0,0.0,0.51,1.25,,,,,0.64,0.36,5.0,4.0,2.0,4.0,0.0,0.0,,,4.0,5.0,1.0,2.0,,,8.0,9.0,2.0,1.0,2.0,1.0
OGdGVrSQ,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,27/04/2024,08:30,Round 46,Barnsley,Northampton,1,1,[18],[90],bet365,1.91,2.6,6.0,bet365,1.4,5.0,7.5,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,19.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.75,2.0,bet365,1.1,1.17,2.75,bet365,17.0,bet365,21.0,bet365,41.0,bet365,81.0,bet365,8.5,bet365,9.5,bet365,21.0,bet365,41.0,bet365,8.0,bet365,8.0,bet365,17.0,bet365,41.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,3.55,1.28,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.63,2.25,bet365,1.4,2.85,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.4,6.3,1.29,Betano.br,3.7,4.4,1.75,bet365,2.1,3.75,2.75,Betano.br,1.12,8.25,17.5,Betano.br,1.03,14.5,35.0,,0.0,0.0,0.0,1.1,0.38,,,,,,,,,0.49,0.51,,,,,,,,,,,7.0,9.0,4.0,2.0,3.0,4.0,0.0,3.0,,,,,,,,,,,3.0,8.0,,,27.0,20.0,11.0,7.0,3.0,1.0,,,7.0,1.0,1.0,3.0,,,,,,,,,,,,,0.36,0.21,,,,,0.53,0.47,3.0,4.0,2.0,0.0,1.0,2.0,,,2.0,5.0,2.0,0.0,5.0,3.0,4.0,1.0,0.0,1.0,0.74,0.17,,,,,0.45,0.55,4.0,5.0,2.0,2.0,2.0,2.0,,,1.0,3.0,1.0,1.0,,,6.0,4.0,3.0,0.0,1.0,2.0
UcZrR2zr,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,27/04/2024,08:30,Round 46,Derby,Carlisle,2,0,"[5, 59]",[],bet365,1.67,2.63,10.0,bet365,1.22,6.0,13.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,2.25,1.57,bet365,1.04,1.13,4.0,bet365,13.0,bet365,21.0,bet365,51.0,bet365,151.0,bet365,7.0,bet365,11.0,bet365,29.0,bet365,81.0,bet365,5.5,bet365,10.0,bet365,29.0,bet365,67.0,bet365,7.0,bet365,12.0,bet365,34.0,bet365,101.0,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.9,5.1,1.5,bet365,2.75,4.0,2.1,Betano.br,1.65,4.05,4.55,Betano.br,1.05,11.5,35.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.61,0.42,,,,,,,,,0.44,0.56,,,,,,,,,,,7.0,10.0,3.0,2.0,3.0,2.0,1.0,6.0,,,,,,,,,,,1.0,7.0,,,28.0,28.0,12.0,10.0,0.0,1.0,,,2.0,0.0,2.0,1.0,,,,,,,,,,,,,0.21,0.32,,,,,0.51,0.49,5.0,7.0,2.0,2.0,2.0,0.0,,,0.0,4.0,0.0,1.0,8.0,6.0,2.0,0.0,2.0,1.0,0.4,0.1,,,,,0.37,0.63,2.0,3.0,1.0,0.0,1.0,2.0,,,1.0,3.0,,,,,4.0,4.0,0.0,0.0,0.0,0.0
r1wmQMkl,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,27/04/2024,08:30,Round 46,Exeter,Oxford Utd,1,2,[52],"[12, 40]",bet365,4.5,2.5,2.2,bet365,5.0,4.0,1.67,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.57,2.25,bet365,2.15,1.22,1.17,bet365,17.0,bet365,9.5,bet365,9.5,bet365,13.0,bet365,17.0,bet365,8.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.45,2.68,bet365,1.21,4.25,bet365,1.16,5.25,Betano.br,37.0,17.0,1.02,Betano.br,26.0,11.75,1.06,Betano.br,11.5,6.5,1.21,bet365,2.15,4.0,2.63,Betano.br,1.47,5.0,5.3,Betano.br,1.17,7.9,11.25,0.41,1.75,,,,,,,,,0.6,0.4,,,,,,,,,,,10.0,15.0,1.0,5.0,5.0,7.0,4.0,3.0,,,,,,,,,,,8.0,2.0,,,16.0,20.0,20.0,9.0,2.0,2.0,,,4.0,0.0,3.0,0.0,,,,,,,,,,,,,0.1,1.34,,,,,0.56,0.44,3.0,9.0,0.0,5.0,2.0,4.0,,,3.0,1.0,1.0,0.0,12.0,5.0,2.0,0.0,3.0,0.0,0.31,0.41,,,,,0.64,0.36,7.0,6.0,1.0,0.0,3.0,3.0,,,5.0,1.0,1.0,2.0,,,8.0,4.0,2.0,0.0,0.0,0.0
xOxiPt5f,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,27/04/2024,08:30,Round 46,Fleetwood,Burton,3,0,"[17, 31, 76]",[],bet365,2.88,2.3,3.4,bet365,2.38,3.6,2.88,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.4,1.29,1.53,bet365,13.0,bet365,12.0,bet365,15.0,bet365,29.0,bet365,10.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,23.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.43,2.75,bet365,1.18,4.65,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,24.0,12.5,1.06,Betano.br,11.5,7.1,1.19,bet365,4.33,4.33,1.53,Betano.br,1.5,4.55,5.4,Betano.br,1.17,7.5,12.5,Betano.br,1.05,13.0,26.0,1.62,0.43,,,,,,,,,0.56,0.44,,,,,,,,,,,15.0,13.0,7.0,3.0,4.0,4.0,4.0,6.0,,,,,,,,,,,4.0,5.0,,,25.0,34.0,9.0,10.0,0.0,4.0,,,0.0,1.0,3.0,4.0,,,,,,,,,,,,,0.38,0.16,,,,,0.54,0.46,7.0,6.0,5.0,0.0,2.0,1.0,,,1.0,3.0,0.0,2.0,5.0,5.0,0.0,1.0,0.0,3.0,1.24,0.27,,,,,0.58,0.42,8.0,7.0,2.0,3.0,2.0,3.0,,,3.0,2.0,0.0,2.0,,,4.0,5.0,0.0,0.0,3.0,1.0
GEyeO0K0,ENGLAND,2023-2024,League One 2023 2024,ENGLAND 3,27/04/2024,08:30,Round 46,Lincoln,Portsmouth,0,2,[],"[81, 90]",bet365,2.4,2.2,4.5,bet365,1.91,3.75,3.9,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.9,1.95,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.95,bet365,1.25,1.25,1.83,bet365,11.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,7.5,bet365,7.0,bet365,13.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,7.0,1.1,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.85,2.0,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.5,9.75,1.1,Betano.br,7.8,5.6,1.31,bet365,3.2,3.75,1.83,Betano.br,1.3,5.4,8.75,Betano.br,1.09,9.75,21.0,Betano.br,1.02,16.0,37.0,1.76,1.38,,,,,,,,,0.32,0.68,,,,,,,,,,,12.0,11.0,2.0,6.0,6.0,1.0,4.0,4.0,,,,,,,,,,,6.0,4.0,,,19.0,22.0,14.0,14.0,3.0,7.0,,,1.0,0.0,4.0,2.0,,,,,,,,,,,,,0.15,0.7,,,,,0.26,0.74,6.0,5.0,0.0,1.0,3.0,1.0,,,0.0,1.0,2.0,2.0,5.0,8.0,1.0,0.0,1.0,0.0,1.61,0.68,,,,,0.38,0.62,6.0,6.0,2.0,5.0,3.0,0.0,,,6.0,3.0,1.0,5.0,,,9.0,6.0,0.0,0.0,3.0,2.0
