Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
Y9fXqdU7,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Barnet,Chesterfield,1,0,[65],[],bet365,2.63,2.25,3.75,bet365,1.96,3.6,3.3,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.33,1.29,1.8,bet365,12.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,8.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,10.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,19.0,bet365,15.0,bet365,23.0,bet365,41.0,Superbet.br,7.1,1.07,bet365,7.0,1.1,bet365,3.7,1.26,bet365,2.85,1.4,bet365,2.05,1.8,bet365,1.33,3.3,bet365,1.12,6.25,Superbet.br,1.08,6.5,,0.0,0.0,,0.0,0.0,Betano.br,18.0,10.25,1.09,Betano.br,8.25,6.0,1.28,bet365,3.75,4.0,1.8,Betano.br,1.35,5.1,7.6,Betano.br,1.1,9.25,18.0,BetEsporte,1.01,11.0,30.0,1.32,0.77,0.41,0.1,1.63,0.62,0.1,0.41,0.1,-0.59,0.45,0.55,0.61,0.69,0.29,0.4,0.57,0.6,0.0,0.0,0.28,0.17,10.0,13.0,1.0,2.0,5.0,8.0,4.0,3.0,7.0,9.0,3.0,4.0,3.0,1.0,1.0,0.0,31.0,27.0,4.0,4.0,6.0,9.0,40.0,33.0,9.0,6.0,,,,,5.0,1.0,1.0,0.0,0.59,0.64,60.0,68.0,29.0,61.0,10.0,8.0,2.0,0.0,0.0,0.0,0.63,0.17,0.0,0.0,0.9,0.42,0.42,0.58,5.0,4.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,2.0,,,4.0,6.0,2.0,1.0,0.0,0.0,0.69,0.6,0.41,0.1,0.73,0.2,0.48,0.52,5.0,9.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,,,,,5.0,0.0,3.0,0.0,1.0,0.0
lIxK7aME,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Barrow,Gillingham,0,1,[],[90],bet365,3.4,2.1,3.25,bet365,2.65,3.2,2.5,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.5,1.36,1.44,bet365,8.5,bet365,8.0,bet365,12.0,bet365,26.0,bet365,8.5,bet365,6.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,51.0,,0.0,0.0,1xBet,11.0,1.01,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.68,1.45,bet365,1.5,2.5,bet365,1.2,4.4,bet365,1.15,5.5,1xBet,1.02,10.0,Superbet.br,1.02,12.0,BetEsporte,29.0,11.0,1.02,Betano.br,15.0,7.8,1.14,Betano.br,6.1,4.4,1.47,bet365,1.5,4.33,5.5,Betano.br,1.17,7.2,13.0,Betano.br,1.05,13.0,28.0,0.18,0.51,0.0,1.19,0.87,0.26,1.19,0.0,0.19,0.0,0.57,0.43,0.7,0.55,0.32,0.26,0.61,0.47,0.0,0.0,0.15,0.15,5.0,14.0,0.0,3.0,2.0,7.0,3.0,4.0,1.0,9.0,4.0,5.0,0.0,0.0,1.0,1.0,13.0,20.0,3.0,8.0,11.0,8.0,21.0,28.0,8.0,11.0,,,,,4.0,4.0,2.0,0.0,0.45,0.64,47.0,62.0,61.0,34.0,6.0,3.0,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.24,0.71,0.1,0.57,0.43,3.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,,,6.0,4.0,3.0,4.0,1.0,0.0,0.06,0.31,0.0,0.95,0.16,0.16,0.57,0.43,2.0,8.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,5.0,,,,,2.0,7.0,1.0,0.0,1.0,0.0
hl4iki6m,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Bromley,Accrington,2,1,"[45, 52]",[45],bet365,2.4,2.1,5.0,bet365,1.71,3.4,4.5,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.91,1.8,bet365,1.18,1.3,2.0,bet365,8.5,bet365,12.0,bet365,23.0,bet365,51.0,bet365,6.5,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.1,1.35,bet365,2.38,1.55,bet365,1.75,2.05,bet365,1.19,4.5,1xBet,1.03,9.2,Superbet.br,1.03,9.6,,0.0,0.0,,0.0,0.0,Betano.br,16.0,9.0,1.12,Betano.br,7.0,5.2,1.36,bet365,3.2,3.6,2.0,Betano.br,1.21,6.1,12.5,Betano.br,1.05,11.75,30.0,BetEsporte,1.01,11.0,40.0,3.4,0.6,4.12,0.83,1.7,0.69,0.83,4.12,-0.17,2.12,0.62,0.38,0.65,0.51,0.29,0.18,0.52,0.51,0.0,1.0,0.25,0.0,18.0,12.0,8.0,4.0,6.0,2.0,4.0,6.0,14.0,6.0,4.0,6.0,6.0,0.0,3.0,0.0,38.0,13.0,5.0,5.0,5.0,5.0,31.0,25.0,5.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,6.0,0.5,0.33,49.0,47.0,37.0,75.0,9.0,6.0,0.0,0.0,0.0,0.0,2.07,0.38,2.69,0.7,1.15,0.53,0.56,0.44,9.0,7.0,5.0,2.0,2.0,1.0,5.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.33,0.22,1.43,0.13,0.55,0.16,0.67,0.33,9.0,5.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,,,,,2.0,3.0,2.0,2.0,2.0,2.0
MTe8o95C,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Colchester,Salford,0,1,[],[78],bet365,2.88,2.2,3.75,bet365,2.1,3.4,3.1,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.03,1.83,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.73,2.0,bet365,1.36,1.3,1.67,bet365,10.0,bet365,10.0,bet365,17.0,bet365,34.0,bet365,8.0,bet365,6.5,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,51.0,Superbet.br,8.2,1.05,1xBet,7.61,1.06,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,7.0,Betboom.br,1.01,12.53,,0.0,0.0,Betano.br,20.0,11.0,1.08,Betano.br,9.5,6.2,1.24,bet365,4.33,4.0,1.67,Betano.br,1.38,4.9,7.2,Betano.br,1.11,8.75,17.5,BetEsporte,1.01,11.0,30.0,0.56,1.72,1.22,1.68,0.51,0.64,1.68,1.22,0.68,1.22,0.62,0.38,0.74,0.6,0.31,0.31,0.52,0.54,0.0,0.0,0.37,0.18,8.0,15.0,2.0,4.0,4.0,5.0,2.0,6.0,6.0,10.0,2.0,5.0,1.0,1.0,0.0,0.0,19.0,36.0,4.0,5.0,17.0,13.0,25.0,32.0,13.0,17.0,3.0,2.0,,,3.0,2.0,3.0,2.0,0.42,0.33,70.0,63.0,40.0,18.0,10.0,16.0,0.0,0.0,0.0,0.0,0.08,0.38,0.0,0.67,0.17,0.34,0.62,0.38,3.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,7.0,9.0,3.0,2.0,2.0,0.0,0.48,1.34,1.22,1.01,0.34,0.3,0.63,0.37,5.0,10.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,,,6.0,8.0,0.0,0.0,1.0,2.0
IekHqmzP,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Crewe,Tranmere,2,1,"[77, 90]",[44],bet365,2.5,2.25,4.33,bet365,1.81,3.5,3.9,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.88,1.98,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.25,1.29,1.91,bet365,11.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,7.5,bet365,6.5,bet365,13.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,13.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,41.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.88,1.98,bet365,1.24,3.9,1xBet,1.07,8.37,Superbet.br,1.05,7.9,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.5,1.11,Betano.br,7.4,5.5,1.33,bet365,3.4,3.75,1.91,Betano.br,1.27,5.7,9.5,Betano.br,1.07,10.5,23.0,BetEsporte,1.01,11.0,35.0,1.85,0.6,1.89,0.36,1.38,0.6,0.36,1.89,-0.64,-0.11,0.62,0.38,0.78,0.57,0.31,0.4,0.64,0.41,0.0,0.0,0.27,0.38,17.0,6.0,5.0,3.0,8.0,2.0,4.0,1.0,10.0,2.0,7.0,4.0,3.0,1.0,1.0,0.0,35.0,21.0,5.0,1.0,16.0,10.0,34.0,20.0,10.0,16.0,1.0,3.0,,,3.0,3.0,2.0,3.0,0.71,0.75,72.0,51.0,27.0,38.0,10.0,9.0,0.0,2.0,0.0,0.0,0.27,0.34,0.16,0.25,0.75,0.19,0.57,0.43,5.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,0.0,,,3.0,4.0,2.0,1.0,0.0,1.0,1.58,0.26,1.73,0.11,0.63,0.41,0.66,0.34,12.0,3.0,4.0,2.0,5.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,,,7.0,12.0,1.0,2.0,2.0,2.0
AX8Q4ta4,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Fleetwood,Newport,0,0,[],[],bet365,2.2,2.3,5.5,bet365,1.57,3.8,5.0,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.83,2.03,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.8,1.91,bet365,1.17,1.25,2.25,bet365,11.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,7.5,bet365,7.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.68,1.45,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.17,5.0,1xBet,1.03,9.1,Superbet.br,1.03,10.0,,0.0,0.0,,0.0,0.0,Betano.br,13.0,8.25,1.15,Betano.br,5.9,5.0,1.42,bet365,2.75,3.75,2.25,Betano.br,1.2,6.3,12.5,Betano.br,1.05,12.0,30.0,BetEsporte,1.01,11.0,40.0,1.97,0.17,1.64,0.0,1.59,0.16,0.0,1.64,0.0,1.64,0.71,0.29,0.75,0.46,0.45,0.29,0.72,0.43,0.0,0.0,0.27,0.0,24.0,4.0,7.0,0.0,10.0,3.0,7.0,1.0,17.0,1.0,7.0,3.0,1.0,0.0,1.0,0.0,60.0,10.0,8.0,2.0,7.0,7.0,43.0,25.0,7.0,7.0,1.0,1.0,,,3.0,1.0,0.0,7.0,0.57,0.58,63.0,54.0,38.0,64.0,1.0,3.0,1.0,1.0,0.0,0.0,0.86,0.04,0.11,0.0,0.74,0.04,0.74,0.26,15.0,2.0,2.0,0.0,8.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,1.11,0.13,1.53,0.0,0.85,0.12,0.67,0.33,9.0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,,,2.0,5.0,3.0,1.0,0.0,5.0
hAuS1Ukg,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Notts Co,Grimsby,0,1,[],[85],bet365,2.63,2.2,4.0,bet365,1.96,3.5,3.4,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.3,1.29,1.8,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,8.0,bet365,6.5,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,19.0,bet365,17.0,bet365,26.0,bet365,41.0,Superbet.br,7.8,1.05,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.05,1.8,bet365,1.3,3.45,bet365,1.11,6.8,Superbet.br,1.07,6.8,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.75,1.08,Betano.br,9.25,6.2,1.25,bet365,3.75,4.0,1.8,Betano.br,1.35,5.0,7.7,Betano.br,1.1,9.25,19.0,BetEsporte,1.01,11.0,30.0,0.79,0.67,0.28,1.12,1.09,0.59,1.12,0.28,0.12,0.28,0.58,0.42,0.84,0.74,0.43,0.3,0.71,0.63,0.0,0.0,0.17,0.39,13.0,12.0,5.0,4.0,5.0,3.0,3.0,5.0,9.0,7.0,4.0,5.0,1.0,1.0,0.0,0.0,24.0,23.0,7.0,6.0,11.0,13.0,31.0,22.0,13.0,11.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,6.0,0.7,0.63,51.0,60.0,33.0,36.0,7.0,10.0,0.0,0.0,0.0,0.0,0.29,0.22,0.03,0.0,0.24,0.27,0.57,0.43,5.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,2.0,0.5,0.45,0.25,1.12,0.85,0.32,0.59,0.41,8.0,10.0,4.0,4.0,2.0,3.0,1.0,0.0,6.0,5.0,2.0,1.0,1.0,0.0,8.0,7.0,0.0,0.0,3.0,4.0
0zqz08K5,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,12:00,Round 35,Oldham,Crawley,2,0,"[38, 51]",[],bet365,2.5,2.2,4.5,bet365,1.81,3.5,4.1,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.88,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.8,1.91,bet365,1.22,1.29,1.91,bet365,10.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,7.5,bet365,6.5,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.88,1.98,bet365,1.24,3.9,1xBet,1.07,8.37,Superbet.br,1.05,8.3,,0.0,0.0,,0.0,0.0,Betano.br,17.5,9.5,1.1,Betano.br,7.7,5.5,1.32,bet365,3.4,3.75,1.91,Betano.br,1.26,5.7,10.0,Betano.br,1.07,10.75,24.0,BetEsporte,1.01,11.0,35.0,2.98,0.34,4.24,0.19,1.13,0.88,0.19,4.24,0.19,2.24,0.45,0.55,0.71,0.78,0.32,0.39,0.65,0.69,0.0,0.0,0.27,0.12,19.0,8.0,13.0,2.0,3.0,5.0,3.0,1.0,16.0,7.0,3.0,1.0,4.0,1.0,0.0,0.0,37.0,16.0,8.0,3.0,10.0,19.0,23.0,27.0,19.0,10.0,4.0,1.0,,,3.0,1.0,2.0,11.0,0.67,0.62,56.0,51.0,37.0,41.0,11.0,4.0,0.0,3.0,0.0,0.0,2.35,0.07,3.42,0.1,0.84,0.35,0.49,0.51,13.0,2.0,10.0,1.0,2.0,1.0,4.0,0.0,5.0,0.0,3.0,1.0,9.0,4.0,0.0,1.0,1.0,9.0,0.63,0.27,0.82,0.09,0.29,0.53,0.41,0.59,6.0,6.0,3.0,1.0,1.0,4.0,0.0,1.0,3.0,3.0,1.0,0.0,,,10.0,6.0,3.0,0.0,1.0,2.0
E3h0mVz0,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,09:30,Round 35,Cambridge Utd,MK Dons,1,1,[75],[90],bet365,3.2,2.0,3.75,bet365,2.32,3.1,3.1,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.36,1.36,1.53,bet365,7.0,bet365,8.0,bet365,15.0,bet365,34.0,bet365,6.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,23.0,bet365,21.0,bet365,34.0,bet365,67.0,Superbet.br,10.0,1.03,1xBet,9.5,1.02,bet365,5.0,1.17,bet365,3.9,1.24,bet365,2.35,1.58,bet365,1.38,3.0,bet365,1.13,6.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,30.0,13.0,1.04,Betano.br,13.5,7.0,1.17,bet365,5.0,4.0,1.53,Betano.br,1.37,4.65,7.9,Betano.br,1.1,9.0,20.0,BetEsporte,1.01,11.0,35.0,1.16,2.58,1.43,1.79,0.23,1.06,1.79,1.43,0.79,0.43,0.45,0.55,0.5,0.55,0.22,0.29,0.42,0.45,0.0,1.0,0.08,0.14,7.0,9.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,8.0,2.0,1.0,3.0,4.0,0.0,0.0,17.0,23.0,3.0,2.0,10.0,12.0,43.0,42.0,12.0,10.0,1.0,2.0,,,1.0,2.0,3.0,2.0,0.54,0.67,63.0,72.0,43.0,34.0,5.0,5.0,0.0,0.0,0.0,0.0,0.07,1.02,0.0,0.71,0.05,0.3,0.5,0.5,2.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,,,7.0,4.0,0.0,0.0,1.0,0.0,1.09,1.56,1.43,1.08,0.18,0.76,0.4,0.6,5.0,6.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,,,5.0,6.0,1.0,2.0,2.0,2.0
MkXrbnkI,ENGLAND,2025-2026,League Two 2025 2026,ENGLAND 4,28/02/2026,09:30,Round 35,Shrewsbury,Walsall,1,2,[45],"[28, 62]",bet365,3.1,1.95,4.0,bet365,2.2,3.0,3.3,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.33,1.36,1.62,bet365,6.5,bet365,8.0,bet365,15.0,bet365,41.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.5,bet365,10.0,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,41.0,bet365,67.0,Superbet.br,10.0,1.03,1xBet,9.0,1.03,bet365,4.65,1.18,bet365,3.7,1.26,bet365,2.25,1.63,bet365,1.33,3.3,bet365,1.1,7.0,Superbet.br,1.06,7.1,,0.0,0.0,,0.0,0.0,Betano.br,28.0,12.5,1.05,Betano.br,12.5,6.7,1.19,bet365,5.0,3.75,1.62,Betano.br,1.35,4.7,8.5,Betano.br,1.09,9.25,22.0,BetEsporte,1.01,11.0,35.0,1.38,1.02,1.16,1.78,0.73,1.1,1.78,1.16,-0.22,0.16,0.52,0.48,0.64,0.64,0.28,0.34,0.44,0.5,0.0,0.0,0.18,0.31,13.0,11.0,4.0,4.0,7.0,5.0,2.0,2.0,8.0,7.0,5.0,4.0,1.0,2.0,0.0,0.0,17.0,25.0,8.0,2.0,11.0,12.0,27.0,36.0,12.0,11.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,3.0,0.65,0.5,58.0,53.0,54.0,42.0,3.0,6.0,0.0,0.0,0.0,0.0,0.84,0.66,1.09,0.96,0.16,0.93,0.47,0.53,5.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,,,5.0,7.0,3.0,0.0,0.0,2.0,0.54,0.36,0.07,0.82,0.57,0.17,0.58,0.42,8.0,5.0,1.0,3.0,5.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,7.0,4.0,2.0,0.0,2.0,1.0
