Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
2cApgabT,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,10/05/2025,08:30,Round 22,Arsenal W,Manchester Utd W,4,3,"[2, 50, 56, 61]","[13, 70, 76]",bet365,1.91,2.5,5.5,bet365,1.45,5.0,5.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,4.5,1.17,bet365,1.01,17.0,bet365,1.17,4.5,bet365,1.53,2.38,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.73,2.0,bet365,1.13,1.14,2.63,bet365,17.0,bet365,19.0,bet365,34.0,bet365,51.0,bet365,9.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,51.0,bet365,3.8,1.25,bet365,3.1,1.35,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.45,2.68,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,7.0,5.75,1.2,Estrelabet,3.5,4.2,1.6,bet365,2.1,3.75,2.63,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.01,1.61,2.99,1.72,1.24,0.74,1.72,2.99,-1.28,-1.01,0.55,0.45,0.83,0.7,0.47,0.27,0.84,0.6,0.0,0.0,0.18,0.38,16.0,9.0,7.0,4.0,3.0,3.0,6.0,2.0,14.0,5.0,2.0,4.0,2.0,2.0,0.0,1.0,33.0,20.0,5.0,1.0,17.0,13.0,19.0,18.0,13.0,17.0,2.0,1.0,,,6.0,6.0,1.0,3.0,0.55,0.47,50.0,60.0,23.0,22.0,10.0,4.0,0.0,0.0,1.0,1.0,1.01,0.64,1.82,0.7,0.41,0.47,0.57,0.43,7.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,,,7.0,8.0,1.0,3.0,1.0,3.0,1.0,0.97,1.17,1.02,0.83,0.27,0.53,0.47,9.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,,,6.0,9.0,5.0,3.0,0.0,0.0
INFFmwMj,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,10/05/2025,08:30,Round 22,Aston Villa W,Brighton W,3,1,"[5, 44, 74]",[90],bet365,2.6,2.6,3.0,bet365,2.2,3.75,2.9,bet365,1.2,4.33,bet365,2.03,1.78,bet365,4.0,1.22,Betfair,1.01,17.0,bet365,1.11,6.0,bet365,1.4,2.75,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.36,3.0,bet365,1.4,1.25,1.62,bet365,21.0,bet365,19.0,bet365,21.0,bet365,34.0,bet365,15.0,bet365,8.0,bet365,12.0,bet365,21.0,bet365,15.0,bet365,10.0,bet365,10.0,bet365,21.0,bet365,23.0,bet365,15.0,bet365,19.0,bet365,26.0,Betboom.br,7.62,1.03,bet365,6.6,1.11,bet365,3.7,1.26,bet365,3.1,1.35,bet365,2.2,1.65,bet365,1.4,2.85,bet365,1.2,4.4,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Estrelabet,7.0,5.75,1.2,bet365,3.6,4.5,1.62,Estrelabet,1.41,4.5,4.5,,0.0,0.0,0.0,,0.0,0.0,0.0,1.8,1.73,2.13,0.48,0.94,1.59,0.48,2.13,-0.27,-0.87,0.5,0.5,0.8,0.8,0.56,0.37,0.68,0.71,0.0,0.0,0.17,0.33,13.0,12.0,5.0,4.0,6.0,7.0,2.0,1.0,10.0,10.0,3.0,2.0,2.0,4.0,0.0,2.0,32.0,39.0,4.0,6.0,10.0,9.0,19.0,23.0,9.0,10.0,1.0,2.0,,,5.0,3.0,3.0,2.0,0.63,0.73,41.0,56.0,27.0,21.0,8.0,5.0,0.0,0.0,0.0,0.0,0.39,0.68,1.18,0.48,0.53,0.51,0.51,0.49,5.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,7.0,1.0,1.0,2.0,0.0,1.41,1.05,0.95,0.0,0.41,1.08,0.49,0.51,8.0,8.0,3.0,2.0,4.0,5.0,1.0,3.0,0.0,4.0,1.0,1.0,,,6.0,3.0,4.0,2.0,1.0,2.0
bJh2BtEc,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,10/05/2025,08:30,Round 22,Chelsea W,Liverpool W,1,0,[90],[],bet365,1.62,2.88,7.5,bet365,1.27,6.5,8.0,bet365,1.2,4.33,bet365,2.03,1.78,bet365,4.0,1.22,,0.0,0.0,bet365,1.11,6.0,bet365,1.4,2.75,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.8,1.91,bet365,1.06,1.1,3.75,bet365,23.0,bet365,26.0,bet365,41.0,bet365,101.0,bet365,10.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,8.0,bet365,9.5,bet365,21.0,bet365,41.0,bet365,8.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,2.6,1.48,bet365,2.1,1.7,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.26,3.7,KTO.br,1.07,8.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,5.0,5.0,1.33,bet365,2.5,4.33,2.1,Estrelabet,1.7,3.8,3.33,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.16,0.25,0.86,0.25,1.32,0.61,0.25,0.86,0.25,-0.14,0.67,0.33,0.84,0.73,0.58,0.39,0.73,0.63,1.0,0.0,0.3,0.23,13.0,6.0,4.0,1.0,7.0,4.0,2.0,1.0,11.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,40.0,6.0,6.0,1.0,5.0,11.0,31.0,17.0,11.0,5.0,1.0,1.0,,,4.0,0.0,1.0,3.0,0.67,0.57,50.0,60.0,16.0,44.0,8.0,12.0,1.0,0.0,0.0,0.0,0.59,0.11,0.12,0.25,0.74,0.1,0.67,0.33,6.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,2.0,0.57,0.14,0.74,0.0,0.58,0.51,0.67,0.33,7.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,,,4.0,1.0,4.0,0.0,0.0,1.0
6qdA9KrA,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,10/05/2025,08:30,Round 22,Everton W,Tottenham W,1,1,[11],[30],bet365,3.5,2.25,2.63,bet365,3.1,3.5,2.1,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.0,1.11,bet365,1.04,9.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.67,2.1,bet365,1.67,1.29,1.36,bet365,12.0,bet365,9.0,bet365,11.0,bet365,19.0,bet365,12.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,17.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.1,1.35,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.25,3.8,,0.0,0.0,KTO.br,1.05,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,6.33,4.5,1.3,bet365,1.67,4.0,3.75,Estrelabet,1.2,5.5,7.5,,0.0,0.0,0.0,0.38,0.31,0.15,0.84,0.28,0.31,0.84,0.15,-0.16,-0.85,0.48,0.52,0.83,0.83,0.16,0.51,0.62,0.68,0.0,0.0,0.25,0.1,7.0,6.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,0.0,2.0,1.0,0.0,16.0,25.0,4.0,2.0,10.0,14.0,16.0,21.0,14.0,10.0,1.0,6.0,,,3.0,1.0,2.0,0.0,0.85,0.67,34.0,35.0,23.0,19.0,4.0,7.0,0.0,0.0,0.0,0.0,0.24,0.22,0.15,0.59,0.22,0.2,0.55,0.45,5.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0,3.0,0.0,1.0,1.0,0.0,0.14,0.09,0.0,0.25,0.06,0.11,0.41,0.59,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,,,6.0,7.0,3.0,0.0,1.0,0.0
0pEriCSr,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,10/05/2025,08:30,Round 22,Leicester W,West Ham W,4,2,"[9, 35, 59, 69]","[57, 63]",bet365,3.2,2.4,2.63,bet365,2.9,3.6,2.2,bet365,1.25,3.75,bet365,2.2,1.62,bet365,4.5,1.17,bet365,1.03,10.5,bet365,1.14,5.0,bet365,1.53,2.38,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.62,1.29,1.4,bet365,17.0,bet365,12.0,bet365,13.0,bet365,21.0,bet365,15.0,bet365,7.5,bet365,9.5,bet365,15.0,bet365,19.0,bet365,12.0,bet365,11.0,bet365,21.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,1.65,2.2,bet365,1.35,3.1,bet365,1.25,3.8,bet365,1.1,7.0,KTO.br,1.05,9.5,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,5.0,4.5,1.37,bet365,1.62,4.33,3.75,Estrelabet,1.2,5.5,7.5,,0.0,0.0,0.0,2.37,1.57,2.44,0.81,1.36,0.91,0.81,2.44,-1.19,-1.56,0.44,0.56,0.75,0.78,0.39,0.48,0.57,0.67,2.0,0.0,0.22,0.22,16.0,19.0,7.0,6.0,6.0,7.0,3.0,6.0,13.0,11.0,3.0,8.0,5.0,1.0,1.0,1.0,24.0,23.0,3.0,7.0,9.0,13.0,18.0,38.0,13.0,9.0,0.0,1.0,,,1.0,2.0,4.0,3.0,0.79,0.62,55.0,53.0,44.0,11.0,19.0,7.0,1.0,1.0,0.0,0.0,1.45,0.84,1.97,0.24,0.91,0.56,0.46,0.54,11.0,11.0,4.0,3.0,4.0,4.0,3.0,0.0,2.0,5.0,0.0,1.0,6.0,5.0,0.0,1.0,3.0,2.0,0.92,0.73,0.47,0.57,0.45,0.35,0.42,0.58,5.0,8.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,,,,,7.0,4.0,1.0,1.0,1.0,1.0
YcCjkjce,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,10/05/2025,08:30,Round 22,Manchester City W,Crystal Palace W,5,2,"[17, 64, 67, 86, 90]","[4, 40]",bet365,1.3,3.75,13.0,bet365,1.09,10.0,21.0,bet365,1.14,5.0,bet365,1.67,2.1,bet365,3.25,1.33,bet365,1.01,29.0,bet365,1.06,8.0,bet365,1.22,4.0,bet365,1.57,2.25,bet365,2.25,1.57,bet365,2.1,1.67,Betano.br,1.01,1.04,4.3,bet365,29.0,bet365,51.0,bet365,101.0,bet365,151.0,bet365,15.0,bet365,21.0,bet365,51.0,bet365,126.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,81.0,bet365,7.5,bet365,12.0,bet365,29.0,bet365,67.0,bet365,1.7,2.1,bet365,1.4,2.85,bet365,1.3,3.45,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,2.4,4.5,2.05,Estrelabet,1.57,4.25,3.6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.84,0.54,3.44,1.08,3.79,0.72,1.08,3.44,-0.92,-1.56,0.64,0.36,0.86,0.75,0.47,0.35,0.77,0.68,1.0,0.0,0.31,0.17,31.0,7.0,17.0,4.0,9.0,2.0,5.0,1.0,25.0,5.0,6.0,2.0,8.0,2.0,1.0,0.0,56.0,13.0,6.0,0.0,4.0,3.0,14.0,22.0,3.0,4.0,,,,,7.0,2.0,2.0,12.0,0.57,0.33,57.0,33.0,7.0,32.0,10.0,9.0,0.0,1.0,1.0,0.0,1.31,0.4,1.3,1.02,0.96,0.61,0.66,0.34,9.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,,,1.0,2.0,4.0,2.0,0.0,3.0,1.53,0.14,2.14,0.06,2.83,0.11,0.62,0.38,22.0,3.0,13.0,2.0,5.0,1.0,6.0,1.0,5.0,0.0,,,,,2.0,2.0,3.0,0.0,2.0,9.0
6VGyeLTG,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,04/05/2025,11:00,Round 21,West Ham W,Aston Villa W,2,3,"[18, 34]","[5, 37, 54]",bet365,2.75,2.38,3.1,bet365,2.3,3.7,2.8,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.0,1.14,bet365,1.03,10.0,bet365,1.17,4.5,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.4,1.29,1.57,bet365,15.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,11.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,23.0,bet365,21.0,bet365,17.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.43,2.75,bet365,1.2,4.4,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,bet365,4.0,4.33,1.57,Estrelabet,1.38,4.33,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.59,1.48,2.18,2.13,0.89,1.06,2.13,2.18,-0.87,0.18,0.41,0.59,0.71,0.81,0.39,0.48,0.56,0.7,0.0,1.0,0.2,0.15,9.0,12.0,4.0,5.0,4.0,1.0,1.0,6.0,7.0,11.0,2.0,1.0,2.0,3.0,0.0,0.0,17.0,29.0,1.0,4.0,8.0,11.0,30.0,24.0,11.0,8.0,3.0,3.0,,,1.0,3.0,2.0,2.0,0.72,0.86,51.0,47.0,19.0,24.0,8.0,7.0,0.0,0.0,1.0,0.0,1.27,0.71,1.74,1.43,0.65,0.69,0.33,0.67,6.0,6.0,3.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,1.0,2.0,1.0,0.32,0.77,0.44,0.7,0.24,0.37,0.49,0.51,3.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,,,6.0,5.0,1.0,2.0,0.0,1.0
YHITdsa4,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,04/05/2025,10:15,Round 21,Tottenham W,Chelsea W,0,1,[],[35],bet365,7.0,2.63,1.67,bet365,6.5,6.0,1.33,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.33,1.2,bet365,1.02,12.0,bet365,1.13,5.5,bet365,1.44,2.63,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.8,1.91,bet365,3.25,1.11,1.1,bet365,21.0,bet365,9.5,bet365,8.0,bet365,9.0,bet365,21.0,bet365,12.0,bet365,9.0,bet365,11.0,bet365,41.0,bet365,19.0,bet365,21.0,bet365,23.0,bet365,67.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.25,1.12,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.95,1.85,bet365,1.55,2.38,bet365,1.38,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,3.25,3.8,1.73,bet365,1.91,4.33,2.88,Estrelabet,1.33,5.0,5.0,0.66,2.08,0.34,2.06,0.39,0.69,2.06,0.34,1.06,0.34,0.47,0.53,0.82,0.84,0.58,0.31,0.64,0.62,0.0,0.0,0.36,0.07,8.0,13.0,1.0,5.0,2.0,3.0,5.0,5.0,6.0,9.0,2.0,4.0,1.0,3.0,0.0,0.0,27.0,24.0,1.0,5.0,11.0,6.0,28.0,20.0,6.0,11.0,1.0,2.0,,,3.0,1.0,4.0,1.0,0.62,0.74,42.0,45.0,24.0,26.0,7.0,8.0,0.0,0.0,0.0,0.0,0.66,1.45,0.34,1.72,0.34,0.37,0.47,0.53,6.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.63,0.0,0.34,0.05,0.32,0.47,0.53,2.0,5.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,,,5.0,7.0,1.0,1.0,3.0,0.0
nL02tMEN,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,04/05/2025,10:00,Round 21,Crystal Palace W,Leicester W,2,2,"[69, 90]","[45, 90]",bet365,3.75,2.25,2.5,bet365,3.7,3.5,1.95,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.11,bet365,1.02,12.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.0,1.14,bet365,1.67,2.1,bet365,1.8,1.29,1.29,bet365,12.0,bet365,9.0,bet365,10.0,bet365,17.0,bet365,13.0,bet365,7.0,bet365,9.0,bet365,15.0,bet365,21.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.6,1.11,bet365,3.55,1.28,bet365,1.83,1.98,bet365,1.43,2.75,bet365,1.3,3.45,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,6.5,4.75,1.27,bet365,1.8,4.0,3.4,Estrelabet,1.22,5.0,7.5,,0.0,0.0,0.0,2.57,1.36,2.42,1.93,0.94,1.44,1.93,2.42,-0.07,0.42,0.65,0.35,0.79,0.67,0.56,0.38,0.71,0.52,0.0,0.0,0.22,0.44,14.0,10.0,6.0,4.0,3.0,4.0,5.0,2.0,11.0,10.0,3.0,0.0,2.0,2.0,1.0,0.0,26.0,27.0,8.0,4.0,12.0,5.0,33.0,19.0,5.0,12.0,1.0,0.0,,,2.0,2.0,2.0,4.0,0.61,0.85,48.0,42.0,9.0,25.0,3.0,11.0,0.0,0.0,1.0,0.0,1.05,0.68,1.18,0.92,0.57,0.69,0.64,0.36,10.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,7.0,2.0,,,4.0,7.0,2.0,1.0,0.0,4.0,1.52,0.68,1.24,1.01,0.37,0.75,0.66,0.34,4.0,6.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,,,1.0,5.0,0.0,1.0,2.0,0.0
vecfrrpB,ENGLAND,2024-2025,Wsl 2024 2025,WOM ENGLAND 1,05/05/2025,12:00,Round 21,Brighton W,Arsenal W,4,2,"[16, 43, 52, 54]","[29, 90]",bet365,7.0,2.88,1.62,bet365,9.5,5.5,1.29,bet365,1.2,4.33,bet365,1.98,1.83,bet365,4.0,1.22,bet365,1.02,12.0,bet365,1.1,6.5,bet365,1.36,3.0,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.73,2.0,bet365,3.5,1.13,1.04,bet365,21.0,bet365,11.0,bet365,8.5,bet365,9.0,bet365,29.0,bet365,11.0,bet365,9.5,bet365,11.0,bet365,51.0,bet365,26.0,bet365,17.0,bet365,21.0,bet365,101.0,bet365,51.0,bet365,41.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,KTO.br,8.0,1.07,bet365,3.55,1.28,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.68,2.15,bet365,1.45,2.68,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Estrelabet,3.25,4.0,1.69,bet365,2.0,4.33,2.6,Estrelabet,1.35,5.33,4.5,1.55,3.06,2.63,2.41,1.2,2.78,2.41,2.63,0.52,-1.37,0.24,0.76,0.64,0.87,0.35,0.57,0.57,0.85,3.0,0.0,0.5,0.18,13.0,25.0,7.0,12.0,3.0,5.0,3.0,8.0,10.0,19.0,3.0,6.0,3.0,8.0,0.0,2.0,13.0,63.0,2.0,6.0,6.0,13.0,11.0,24.0,13.0,6.0,4.0,0.0,,,2.0,1.0,10.0,3.0,0.67,0.8,50.0,51.0,58.0,9.0,6.0,5.0,0.0,0.0,1.0,2.0,0.43,1.31,1.41,1.47,0.56,1.39,0.26,0.74,7.0,12.0,5.0,6.0,0.0,2.0,0.0,6.0,2.0,3.0,2.0,0.0,9.0,3.0,2.0,0.0,5.0,3.0,1.12,1.75,1.22,0.94,0.64,1.39,0.22,0.78,6.0,13.0,2.0,6.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,0.0,,,4.0,3.0,0.0,1.0,5.0,0.0
