Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
hMwfbhsh,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,01/06/2024,16:00,Play Offs,Dortmund,Real Madrid,0,2,[],"[74, 83]",bet365,4.75,2.38,2.25,bet365,5.0,4.0,1.7,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.73,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.7,2.05,bet365,2.1,1.22,1.17,bet365,13.0,bet365,8.0,bet365,8.5,bet365,13.0,bet365,15.0,bet365,7.5,bet365,8.5,bet365,13.0,bet365,23.0,bet365,15.0,bet365,15.0,bet365,23.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.14,5.75,Betano.br,35.0,15.5,1.01,Betano.br,24.0,11.0,1.06,Betano.br,10.75,6.2,1.21,bet365,2.1,3.75,2.75,Betano.br,1.44,4.9,5.6,Betano.br,1.15,7.8,11.75,2.1,1.24,,,,,,,,,0.47,0.53,0.86,0.92,,,,,,,,,13.0,13.0,3.0,6.0,7.0,5.0,3.0,2.0,,,,,,,,,,,9.0,8.0,8.0,12.0,,,12.0,8.0,3.0,1.0,,,1.0,0.0,4.0,3.0,,,,,,,,,,,,,1.44,0.09,,,,,0.42,0.58,8.0,2.0,2.0,0.0,5.0,2.0,,,5.0,1.0,2.0,1.0,8.0,3.0,0.0,0.0,0.0,2.0,0.66,1.15,,,,,0.52,0.48,5.0,11.0,1.0,6.0,2.0,3.0,,,4.0,7.0,1.0,0.0,,,4.0,5.0,1.0,0.0,4.0,1.0
Uu0NBn8C,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,08/05/2024,16:00,Play Offs,Real Madrid,Bayern Munich,2,1,"[88, 90]",[68],bet365,2.5,2.4,3.75,bet365,1.95,3.8,3.6,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.53,2.38,bet365,1.29,1.25,1.8,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,10.0,bet365,7.5,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,17.0,bet365,13.0,bet365,21.0,bet365,34.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.68,1.45,bet365,2.02,1.91,bet365,1.3,3.45,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.0,9.0,1.12,Betano.br,6.8,5.6,1.33,bet365,3.25,4.0,1.8,Betano.br,1.31,5.4,7.7,Betano.br,1.1,9.25,17.0,Betano.br,1.03,14.0,30.0,3.29,0.41,,,,,,,,,0.55,0.45,0.9,0.86,,,,,,,,,19.0,8.0,7.0,5.0,6.0,1.0,6.0,2.0,,,,,,,,,,,8.0,4.0,12.0,11.0,,,12.0,10.0,1.0,0.0,,,0.0,2.0,4.0,5.0,,,,,,,,,,,,,0.71,0.1,,,,,0.56,0.44,8.0,2.0,2.0,2.0,1.0,0.0,,,3.0,1.0,,,4.0,4.0,0.0,0.0,2.0,2.0,2.58,0.31,,,,,0.54,0.46,11.0,6.0,5.0,3.0,5.0,1.0,,,5.0,3.0,1.0,0.0,,,8.0,6.0,0.0,2.0,2.0,3.0
OxQUhaIM,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,07/05/2024,16:00,Play Offs,PSG,Dortmund,0,1,[],[50],bet365,1.95,2.75,4.75,bet365,1.48,5.2,5.5,bet365,1.2,4.33,bet365,2.05,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.11,6.5,bet365,1.36,3.2,bet365,1.91,1.91,bet365,3.2,1.36,bet365,1.44,2.63,bet365,1.14,1.17,2.63,bet365,26.0,bet365,23.0,bet365,34.0,bet365,51.0,bet365,12.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,11.0,bet365,8.0,bet365,15.0,bet365,29.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.3,1.6,bet365,1.82,2.08,bet365,1.48,2.6,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.2,6.5,1.27,Betano.br,3.85,4.65,1.65,bet365,2.3,3.75,2.63,Betano.br,1.17,7.2,12.0,Betano.br,1.05,12.0,24.0,Betano.br,1.01,16.0,35.0,3.22,0.76,,,,,,,,,0.67,0.33,0.91,0.79,,,,,,,,,31.0,6.0,5.0,3.0,16.0,1.0,10.0,2.0,,,,,,,,,,,12.0,4.0,8.0,8.0,,,8.0,6.0,2.0,2.0,,,0.0,2.0,2.0,5.0,,,,,,,,,,,,,0.57,0.23,,,,,0.61,0.39,8.0,4.0,3.0,2.0,4.0,1.0,,,3.0,1.0,,,5.0,1.0,0.0,0.0,2.0,3.0,2.65,0.53,,,,,0.73,0.27,23.0,2.0,2.0,1.0,12.0,0.0,,,9.0,3.0,2.0,2.0,,,3.0,5.0,0.0,2.0,0.0,2.0
GCMMfLmA,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,01/05/2024,16:00,Play Offs,Dortmund,PSG,1,0,[36],[],bet365,3.25,2.4,2.75,bet365,2.9,3.6,2.3,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.3,1.62,bet365,4.0,1.25,bet365,1.5,2.5,bet365,1.57,1.29,1.4,bet365,17.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,13.0,bet365,7.5,bet365,9.5,bet365,15.0,bet365,17.0,bet365,11.0,bet365,11.0,bet365,21.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.75,1.43,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,Betano.br,23.0,12.5,1.05,Betano.br,12.0,7.7,1.15,Betano.br,5.6,4.8,1.44,bet365,1.57,4.33,4.0,Betano.br,1.23,6.4,9.0,Betano.br,1.07,10.5,18.5,1.21,1.45,,,,,,,,,0.46,0.54,0.86,0.92,,,,,,,,,12.0,14.0,4.0,3.0,4.0,10.0,4.0,1.0,,,,,,,,,,,4.0,3.0,8.0,12.0,,,11.0,6.0,2.0,1.0,,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,0.5,0.1,,,,,0.46,0.54,5.0,3.0,4.0,0.0,0.0,3.0,,,1.0,0.0,1.0,0.0,5.0,2.0,1.0,2.0,0.0,3.0,0.71,1.35,,,,,0.46,0.54,7.0,11.0,0.0,3.0,4.0,7.0,,,3.0,3.0,1.0,1.0,,,6.0,4.0,0.0,0.0,3.0,0.0
rP1FD8w0,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,30/04/2024,16:00,Play Offs,Bayern Munich,Real Madrid,2,2,"[53, 57]","[24, 83]",bet365,2.75,2.38,3.4,bet365,2.2,3.75,3.1,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.62,2.3,bet365,2.5,1.53,bet365,4.5,1.2,bet365,1.5,2.5,bet365,1.36,1.25,1.67,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,11.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,3.1,1.35,bet365,2.15,1.68,bet365,1.4,2.85,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,17.5,10.25,1.08,Betano.br,8.5,6.2,1.25,bet365,4.0,4.33,1.67,Betano.br,1.4,4.85,6.3,Betano.br,1.13,8.0,14.0,Betano.br,1.04,13.0,26.0,1.7,2.08,,,,,,,,,0.54,0.46,0.94,0.92,,,,,,,,,15.0,7.0,5.0,4.0,7.0,1.0,3.0,2.0,,,,,,,,,,,6.0,5.0,12.0,10.0,,,11.0,11.0,2.0,2.0,,,0.0,2.0,2.0,3.0,,,,,,,,,,,,,0.43,0.7,,,,,0.56,0.44,8.0,3.0,2.0,1.0,5.0,1.0,,,3.0,4.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,2.0,1.27,1.38,,,,,0.52,0.48,7.0,4.0,3.0,3.0,2.0,0.0,,,3.0,1.0,1.0,2.0,,,6.0,9.0,0.0,1.0,2.0,1.0
EPyHMdqk,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,17/04/2024,16:00,Play Offs,Bayern Munich,Arsenal,1,0,[63],[],bet365,3.2,2.2,3.2,bet365,2.63,3.4,2.6,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.86,2.04,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.5,1.3,1.44,bet365,12.0,bet365,10.0,bet365,13.0,bet365,26.0,bet365,10.0,bet365,6.5,bet365,10.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,26.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.25,1.21,bet365,2.5,1.5,bet365,1.5,2.5,bet365,1.22,4.15,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,Betano.br,25.0,12.0,1.05,Betano.br,12.5,7.2,1.16,Betano.br,5.4,4.35,1.5,bet365,1.5,4.5,5.0,Betano.br,1.16,7.2,12.5,Betano.br,1.05,12.0,24.0,1.44,0.6,,,,,,,,,0.51,0.49,0.91,0.91,,,,,,,,,15.0,8.0,4.0,3.0,6.0,4.0,5.0,1.0,,,,,,,,,,,8.0,3.0,16.0,11.0,,,10.0,13.0,2.0,2.0,,,1.0,3.0,3.0,3.0,,,,,,,,,,,,,0.24,0.43,,,,,0.52,0.48,4.0,6.0,1.0,3.0,2.0,2.0,,,3.0,0.0,,,4.0,5.0,1.0,1.0,3.0,1.0,1.2,0.17,,,,,0.5,0.5,11.0,2.0,3.0,0.0,4.0,2.0,,,5.0,3.0,2.0,2.0,,,6.0,8.0,0.0,2.0,0.0,2.0
MmYCtIzL,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,17/04/2024,16:00,Play Offs,Manchester City,Real Madrid,1,1,[76],[12],bet365,2.05,2.6,5.0,bet365,1.55,4.33,5.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.63,bet365,2.2,1.67,bet365,4.0,1.25,bet365,1.53,2.38,bet365,1.17,1.2,2.3,bet365,19.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,11.0,bet365,9.0,bet365,17.0,bet365,34.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,13.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,4.25,1.21,bet365,3.55,1.28,bet365,2.38,1.55,bet365,1.95,1.98,bet365,1.55,2.38,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.75,6.9,1.22,Betano.br,4.4,4.7,1.57,bet365,2.38,4.0,2.38,Betano.br,1.19,6.8,11.0,Betano.br,1.05,11.25,23.0,Betano.br,1.02,16.0,35.0,2.59,1.43,,,,,,,,,0.64,0.36,0.93,0.85,,,,,,,,,34.0,8.0,11.0,3.0,11.0,4.0,12.0,1.0,,,,,,,,,,,18.0,1.0,12.0,16.0,,,15.0,11.0,3.0,2.0,,,1.0,1.0,2.0,10.0,,,,,,,,,,,,,1.0,0.95,,,,,0.61,0.39,13.0,5.0,4.0,3.0,6.0,1.0,,,9.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,2.0,4.0,1.02,0.04,,,,,0.69,0.31,14.0,1.0,6.0,0.0,4.0,1.0,,,6.0,0.0,3.0,1.0,,,8.0,5.0,0.0,1.0,0.0,5.0
zuQPKzE1,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,16/04/2024,16:00,Play Offs,Barcelona,PSG,1,4,[12],"[40, 54, 61, 89]",bet365,2.6,2.6,3.4,bet365,2.15,4.0,3.0,bet365,1.22,4.0,bet365,2.1,1.78,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,3.0,bet365,2.0,1.8,bet365,3.2,1.36,bet365,1.36,3.0,bet365,1.36,1.22,1.67,bet365,23.0,bet365,17.0,bet365,21.0,bet365,34.0,bet365,15.0,bet365,9.0,bet365,11.0,bet365,21.0,bet365,15.0,bet365,9.5,bet365,11.0,bet365,19.0,bet365,21.0,bet365,15.0,bet365,17.0,bet365,26.0,,0.0,0.0,bet365,6.0,1.13,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.08,1.73,bet365,1.4,2.85,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,14.5,9.5,1.1,Betano.br,7.3,6.0,1.29,bet365,3.5,4.5,1.67,Betano.br,1.4,5.1,5.8,Betano.br,1.15,8.0,12.0,Betano.br,1.05,12.5,22.0,0.87,2.83,,,,,,,,,0.38,0.62,0.76,0.91,,,,,,,,,8.0,21.0,4.0,9.0,3.0,6.0,1.0,6.0,,,,,,,,,,,3.0,9.0,14.0,9.0,,,10.0,12.0,5.0,4.0,1.0,0.0,1.0,2.0,5.0,3.0,,,,,,,,,,,,,0.4,0.59,,,,,0.41,0.59,2.0,11.0,1.0,2.0,1.0,5.0,,,0.0,4.0,1.0,2.0,3.0,8.0,0.0,0.0,1.0,0.0,0.47,2.24,,,,,0.35,0.65,6.0,10.0,3.0,7.0,2.0,1.0,,,3.0,5.0,4.0,2.0,,,7.0,4.0,1.0,2.0,4.0,3.0
2oIBrv68,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,16/04/2024,16:00,Play Offs,Dortmund,Atl. Madrid,4,2,"[34, 39, 71, 74]","[49, 64]",bet365,2.88,2.3,3.4,bet365,2.15,3.5,3.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.67,2.2,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.53,2.38,bet365,1.36,1.29,1.67,bet365,15.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,9.5,bet365,7.0,bet365,12.0,bet365,23.0,bet365,13.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.25,1.08,Betano.br,8.75,6.2,1.24,bet365,4.33,4.0,1.67,Betano.br,1.39,4.85,6.4,Betano.br,1.13,8.25,14.5,Betano.br,1.03,13.0,27.0,1.56,1.78,,,,,,,,,0.54,0.46,0.86,0.85,,,,,,,,,19.0,10.0,9.0,3.0,4.0,4.0,6.0,3.0,,,,,,,,,,,6.0,2.0,13.0,10.0,,,9.0,11.0,1.0,2.0,,,1.0,2.0,1.0,5.0,,,,,,,,,,,,,0.76,0.79,,,,,0.6,0.4,10.0,3.0,5.0,1.0,2.0,1.0,,,3.0,1.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,0.8,0.99,,,,,0.48,0.52,9.0,7.0,4.0,2.0,2.0,3.0,,,3.0,1.0,,,,,4.0,6.0,0.0,0.0,0.0,2.0
lrUTJfT7,EUROPE,2023-2024,Champions League 2023 2024,EUROPA CHAMPIONS LEAGUE,10/04/2024,16:00,Play Offs,Atl. Madrid,Dortmund,2,1,"[4, 32]",[81],bet365,2.4,2.25,4.5,bet365,1.8,3.75,4.33,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.84,2.06,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.75,2.0,bet365,1.2,1.25,1.95,bet365,12.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,8.0,bet365,7.0,bet365,13.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,6.4,1.12,bet365,5.5,1.15,bet365,3.1,1.35,bet365,2.38,1.55,bet365,1.78,2.03,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.5,8.75,1.12,Betano.br,6.8,5.3,1.35,bet365,3.1,3.75,1.95,Betano.br,1.24,5.7,10.0,Betano.br,1.06,10.25,23.0,Betano.br,1.02,15.5,35.0,2.16,0.95,,,,,,,,,0.34,0.66,0.78,0.89,,,,,,,,,14.0,13.0,9.0,5.0,1.0,4.0,4.0,4.0,,,,,,,,,,,8.0,8.0,8.0,10.0,,,10.0,8.0,3.0,2.0,,,0.0,0.0,4.0,7.0,,,,,,,,,,,,,1.48,0.3,,,,,0.36,0.64,8.0,5.0,4.0,1.0,1.0,2.0,,,8.0,3.0,2.0,1.0,6.0,3.0,0.0,0.0,1.0,2.0,0.68,0.65,,,,,0.32,0.68,6.0,8.0,5.0,4.0,0.0,2.0,,,0.0,5.0,1.0,1.0,,,4.0,5.0,0.0,0.0,3.0,5.0
