Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
j3iStfwn,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,17:00,Play Offs,Bologna,Brann,1,0,[56],[],bet365,2.05,2.38,6.0,bet365,1.55,4.5,5.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,4.0,bet365,1.73,2.1,bet365,3.0,1.4,bet365,5.0,1.17,bet365,1.91,1.91,bet365,1.14,1.18,2.38,bet365,13.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,7.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.42,1.53,bet365,1.93,1.93,bet365,1.53,2.42,bet365,1.16,5.25,1xBet,1.03,11.0,Superbet.br,1.03,12.0,,0.0,0.0,,0.0,0.0,Betano.br,9.75,7.0,1.2,Betano.br,4.65,4.55,1.55,bet365,2.4,3.75,2.38,Betano.br,1.17,6.8,13.0,BetEsporte,1.02,10.0,30.0,BetEsporte,1.01,11.0,45.0,1.22,0.51,1.63,0.65,1.17,0.86,0.65,1.63,0.65,0.63,0.61,0.39,0.82,0.69,0.46,0.23,0.76,0.54,0.0,2.0,0.2,0.0,16.0,7.0,5.0,3.0,3.0,2.0,8.0,2.0,13.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,47.0,12.0,13.0,1.0,9.0,15.0,27.0,17.0,15.0,9.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,4.0,0.65,0.72,56.0,58.0,19.0,45.0,8.0,11.0,0.0,1.0,0.0,0.0,0.29,0.51,0.0,0.65,0.36,0.66,0.5,0.5,3.0,7.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,9.0,4.0,2.0,0.0,2.0,0.0,0.93,0.0,1.63,0.0,0.81,0.2,0.72,0.28,13.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,,,6.0,5.0,1.0,0.0,0.0,4.0
QupxJVTs,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,17:00,Play Offs,Celta Vigo,PAOK,1,0,[63],[],bet365,2.2,2.2,6.0,bet365,1.65,3.9,5.25,bet365,1.4,2.75,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.73,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.05,1.7,bet365,1.17,1.25,2.2,bet365,9.0,bet365,12.0,bet365,29.0,bet365,67.0,bet365,6.0,bet365,7.0,bet365,17.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,12.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,2.1,1.7,bet365,1.63,2.25,bet365,1.16,5.25,1xBet,1.03,11.0,Superbet.br,1.02,13.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,7.7,1.15,Betano.br,5.7,4.7,1.45,bet365,2.75,3.5,2.2,Betano.br,1.18,6.4,13.5,BetEsporte,1.02,10.0,35.0,BetEsporte,1.01,11.0,50.0,1.35,0.35,1.66,0.0,1.05,0.47,0.0,1.66,0.0,0.66,0.55,0.45,0.91,0.84,0.69,0.41,0.83,0.5,1.0,0.0,0.23,0.33,14.0,4.0,3.0,0.0,7.0,2.0,4.0,2.0,10.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,33.0,10.0,6.0,2.0,9.0,9.0,18.0,17.0,9.0,9.0,1.0,0.0,,,4.0,0.0,0.0,2.0,0.87,0.57,41.0,39.0,16.0,15.0,5.0,8.0,0.0,0.0,0.0,0.0,0.29,0.28,0.0,0.0,0.59,0.21,0.6,0.4,6.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.06,0.07,1.66,0.0,0.46,0.26,0.51,0.49,8.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,,,,,2.0,5.0,3.0,0.0,0.0,2.0
tjTqLwHP,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,17:00,Play Offs,Genk,Din. Zagreb,3,3,"[51, 101, 114]","[45, 57, 75]",bet365,3.1,2.2,3.4,bet365,2.6,3.4,2.7,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.5,bet365,2.0,1.85,bet365,3.4,1.33,bet365,6.5,1.11,bet365,1.75,2.0,bet365,1.44,1.3,1.5,bet365,10.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,9.0,bet365,6.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,26.0,bet365,21.0,bet365,29.0,bet365,41.0,Estrelabet,10.0,1.04,1xBet,11.0,1.04,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.5,1.5,bet365,1.48,2.6,bet365,1.2,4.4,bet365,1.15,5.5,1xBet,1.03,11.0,Superbet.br,1.03,12.0,Betano.br,25.0,12.0,1.04,Betano.br,13.5,7.2,1.15,bet365,5.0,4.33,1.5,bet365,1.5,4.5,5.0,Betano.br,1.15,7.3,13.0,Betano.br,1.04,12.5,26.0,3.16,1.61,3.03,2.34,2.12,0.53,2.34,3.03,-0.66,1.03,0.47,0.53,0.87,0.84,0.55,0.57,0.77,0.68,3.0,0.0,0.21,0.2,22.0,17.0,7.0,6.0,8.0,4.0,7.0,7.0,18.0,6.0,4.0,11.0,6.0,3.0,0.0,2.0,39.0,21.0,8.0,7.0,12.0,12.0,22.0,26.0,12.0,12.0,2.0,3.0,0.0,1.0,2.0,3.0,3.0,5.0,0.72,0.73,58.0,57.0,29.0,31.0,12.0,11.0,0.0,0.0,1.0,0.0,0.81,0.57,0.26,1.06,0.42,0.24,0.41,0.59,6.0,9.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.24,0.98,1.53,1.28,0.8,0.25,0.52,0.48,13.0,6.0,4.0,4.0,5.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,,,6.0,5.0,0.0,2.0,2.0,3.0
25ceSfOh,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,17:00,Play Offs,Nottingham,Fenerbahce,1,2,[68],"[22, 48]",bet365,2.0,2.5,6.0,bet365,1.5,4.5,5.5,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.67,2.2,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.8,1.95,bet365,1.14,1.18,2.5,bet365,15.0,bet365,17.0,bet365,34.0,bet365,51.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.25,1.21,bet365,3.55,1.27,bet365,2.35,1.58,bet365,1.85,2.0,bet365,1.5,2.5,bet365,1.15,5.5,1xBet,1.03,14.2,Superbet.br,1.03,12.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,6.9,1.21,Betano.br,4.5,4.6,1.57,bet365,2.38,3.75,2.5,Betano.br,1.17,6.8,12.5,BetEsporte,1.02,10.0,29.0,BetEsporte,1.01,11.0,40.0,0.98,1.77,1.21,2.31,0.59,0.63,2.31,1.21,0.31,0.21,0.54,0.46,0.87,0.83,0.43,0.47,0.8,0.65,0.0,1.0,0.32,0.27,13.0,11.0,4.0,4.0,7.0,3.0,2.0,4.0,8.0,7.0,5.0,4.0,2.0,3.0,0.0,0.0,25.0,19.0,5.0,3.0,8.0,12.0,16.0,23.0,12.0,8.0,1.0,0.0,,,0.0,3.0,3.0,3.0,0.64,0.5,57.0,49.0,27.0,13.0,14.0,12.0,2.0,1.0,0.0,0.0,0.15,0.86,0.0,1.5,0.33,0.43,0.51,0.49,4.0,6.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,7.0,5.0,0.0,1.0,2.0,0.0,0.83,0.91,1.21,0.81,0.26,0.2,0.57,0.43,9.0,5.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,,,,,5.0,3.0,0.0,2.0,1.0,3.0
rqaBOCNH,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,14:45,Play Offs,Crvena zvezda,Lille,0,2,[],"[4, 99]",bet365,3.4,2.2,3.0,bet365,2.88,3.7,2.3,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.29,3.75,bet365,1.88,1.98,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.57,1.29,1.4,bet365,12.0,bet365,8.0,bet365,12.0,bet365,23.0,bet365,10.0,bet365,6.5,bet365,8.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,29.0,bet365,23.0,bet365,29.0,bet365,41.0,Superbet.br,13.0,1.02,1xBet,13.0,1.02,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,1.63,2.25,bet365,1.26,3.7,bet365,1.18,4.65,1xBet,1.01,9.0,Estrelabet,1.05,8.5,BetEsporte,28.0,11.0,1.02,Betano.br,15.0,8.0,1.13,Betano.br,6.4,4.65,1.42,bet365,1.57,3.75,4.75,Betano.br,1.22,6.4,9.75,Betano.br,1.07,10.75,20.0,0.89,1.1,0.53,2.01,1.04,0.66,2.01,0.53,0.01,0.53,0.56,0.44,0.81,0.76,0.59,0.46,0.74,0.63,0.0,0.0,0.14,0.25,15.0,16.0,3.0,8.0,5.0,2.0,7.0,6.0,7.0,9.0,8.0,7.0,0.0,3.0,0.0,0.0,27.0,23.0,8.0,8.0,13.0,17.0,24.0,28.0,17.0,13.0,3.0,1.0,,,4.0,2.0,6.0,3.0,0.7,0.47,82.0,72.0,38.0,56.0,10.0,10.0,1.0,0.0,0.0,0.0,0.23,0.27,0.16,1.1,0.18,0.2,0.5,0.5,3.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,6.0,6.0,0.0,1.0,3.0,1.0,0.36,0.21,0.25,0.49,0.62,0.1,0.64,0.36,7.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,,,7.0,5.0,2.0,1.0,2.0,1.0
pnINDe9a,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,14:45,Play Offs,Ferencvaros,Ludogorets,2,0,"[14, 30]",[],bet365,2.05,2.3,6.5,bet365,1.55,4.33,5.75,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.88,1.98,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.95,1.8,bet365,1.14,1.2,2.38,bet365,11.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,6.5,bet365,8.0,bet365,19.0,bet365,51.0,bet365,7.0,bet365,8.0,bet365,19.0,bet365,51.0,bet365,11.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,4.65,1.18,bet365,3.9,1.24,bet365,2.42,1.53,bet365,1.88,1.98,bet365,1.48,2.6,bet365,1.13,6.0,1xBet,1.02,13.0,Superbet.br,1.02,14.0,,0.0,0.0,,0.0,0.0,Betano.br,9.75,6.9,1.2,Betano.br,4.65,4.5,1.55,bet365,2.5,3.4,2.38,Betano.br,1.16,6.9,14.0,BetEsporte,1.02,10.0,35.0,BetEsporte,1.01,11.0,45.0,1.75,0.9,2.41,0.32,1.76,1.02,0.32,2.41,0.32,0.41,0.39,0.61,0.76,0.83,0.39,0.61,0.7,0.72,0.0,1.0,0.19,0.08,16.0,13.0,8.0,3.0,5.0,9.0,3.0,1.0,12.0,8.0,4.0,5.0,4.0,1.0,1.0,0.0,34.0,27.0,3.0,6.0,14.0,9.0,10.0,24.0,9.0,14.0,5.0,4.0,,,3.0,4.0,3.0,6.0,0.75,0.64,64.0,45.0,38.0,20.0,9.0,6.0,0.0,0.0,0.0,0.0,0.54,0.33,1.03,0.01,0.88,0.4,0.4,0.6,6.0,7.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,2.0,1.0,0.0,1.21,0.57,1.38,0.31,0.88,0.62,0.39,0.61,10.0,6.0,6.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,,,3.0,9.0,2.0,2.0,2.0,6.0
6JohFmT6,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,14:45,Play Offs,Plzen,Panathinaikos,1,1,[62],[9],bet365,2.88,2.05,4.33,bet365,2.15,3.2,3.6,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,3.0,bet365,2.3,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.29,1.36,1.67,bet365,7.5,bet365,9.5,bet365,17.0,bet365,41.0,bet365,6.5,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.5,bet365,9.5,bet365,15.0,bet365,41.0,bet365,19.0,bet365,19.0,bet365,34.0,bet365,51.0,Estrelabet,8.0,1.06,1xBet,8.36,1.07,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.1,1.7,bet365,1.3,3.45,bet365,1.1,7.0,Estrelabet,1.07,7.5,,0.0,0.0,Superbet.br,1.01,20.0,Betano.br,22.0,10.75,1.06,Betano.br,10.0,6.1,1.23,bet365,4.33,3.75,1.67,Betano.br,1.33,4.85,8.25,Betano.br,1.09,9.0,20.0,BetEsporte,1.01,11.0,35.0,0.96,1.36,1.04,0.82,1.4,1.12,0.82,1.04,-0.18,0.04,0.59,0.41,0.83,0.71,0.46,0.32,0.74,0.59,1.0,2.0,0.23,0.25,17.0,10.0,2.0,3.0,12.0,5.0,3.0,2.0,10.0,6.0,7.0,4.0,2.0,1.0,0.0,0.0,39.0,17.0,7.0,3.0,15.0,22.0,23.0,22.0,22.0,15.0,1.0,5.0,0.0,1.0,1.0,2.0,2.0,1.0,0.5,0.56,77.0,78.0,26.0,45.0,14.0,10.0,0.0,0.0,0.0,0.0,0.41,0.54,0.0,0.65,0.62,0.56,0.57,0.43,7.0,3.0,0.0,1.0,5.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.39,0.38,1.04,0.09,0.45,0.07,0.64,0.36,7.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,,,9.0,7.0,0.0,1.0,1.0,1.0
QPJwAD8O,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,26/02/2026,14:45,Play Offs,Stuttgart,Celtic,0,1,[],[1],bet365,1.67,3.0,6.5,bet365,1.33,6.0,7.5,bet365,1.18,4.5,bet365,1.93,1.88,bet365,3.75,1.25,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.91,1.91,bet365,3.0,1.4,bet365,1.62,2.2,bet365,1.1,1.13,3.25,bet365,26.0,bet365,29.0,bet365,41.0,bet365,81.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,9.5,bet365,9.5,bet365,17.0,bet365,41.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,2.85,1.4,bet365,2.35,1.58,bet365,1.85,2.0,bet365,1.45,2.68,bet365,1.33,3.3,bet365,1.1,7.0,1xBet,1.01,14.5,Superbet.br,1.02,15.0,,0.0,0.0,,0.0,0.0,Betano.br,5.4,5.6,1.39,bet365,2.88,4.33,1.95,Betano.br,1.87,4.2,3.3,Betano.br,1.11,8.5,16.0,BetEsporte,1.01,11.0,30.0,,0.0,0.0,0.0,2.12,0.3,0.48,0.76,2.58,0.64,0.76,0.48,-0.24,-0.52,0.66,0.34,0.87,0.77,0.61,0.49,0.79,0.69,1.0,0.0,0.25,0.07,24.0,4.0,8.0,2.0,6.0,1.0,10.0,1.0,15.0,2.0,9.0,1.0,4.0,1.0,0.0,0.0,51.0,14.0,13.0,7.0,13.0,6.0,16.0,11.0,6.0,13.0,0.0,1.0,,,6.0,2.0,1.0,6.0,0.5,0.53,43.0,46.0,16.0,42.0,7.0,9.0,0.0,0.0,0.0,0.0,0.65,0.18,0.11,0.7,0.82,0.58,0.65,0.35,8.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,3.0,6.0,3.0,1.0,0.0,2.0,1.47,0.12,0.37,0.06,1.76,0.06,0.66,0.34,16.0,2.0,6.0,1.0,4.0,1.0,3.0,0.0,9.0,2.0,,,,,3.0,7.0,3.0,1.0,1.0,4.0
hCLVBZwC,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,19/02/2026,17:00,Play Offs,Celtic,Stuttgart,1,4,[21],"[15, 28, 57, 90]",bet365,4.0,2.5,2.38,bet365,3.7,3.9,1.85,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.53,2.38,bet365,1.91,1.25,1.29,bet365,17.0,bet365,11.0,bet365,11.0,bet365,17.0,bet365,15.0,bet365,7.5,bet365,8.5,bet365,13.0,bet365,23.0,bet365,13.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,26.0,bet365,29.0,bet365,34.0,Superbet.br,16.0,1.01,,0.0,0.0,Estrelabet,7.5,1.08,bet365,6.8,1.11,bet365,3.55,1.27,bet365,1.98,1.88,bet365,1.53,2.42,bet365,1.35,3.1,bet365,1.15,5.5,bet365,1.12,6.25,BetEsporte,30.0,12.0,1.01,Betano.br,18.5,9.5,1.09,Betano.br,8.25,5.5,1.29,bet365,1.91,4.0,3.1,Betano.br,1.35,5.5,6.4,Betano.br,1.12,8.75,13.0,2.09,1.88,1.72,2.09,0.83,1.07,2.09,1.72,-1.91,0.72,0.52,0.48,0.85,0.83,0.45,0.48,0.76,0.78,0.0,1.0,0.06,0.11,11.0,16.0,2.0,5.0,4.0,6.0,5.0,5.0,8.0,10.0,3.0,6.0,2.0,3.0,0.0,0.0,32.0,21.0,4.0,2.0,7.0,8.0,22.0,12.0,8.0,7.0,0.0,1.0,,,2.0,1.0,1.0,1.0,1.0,0.33,36.0,42.0,14.0,21.0,12.0,8.0,2.0,1.0,1.0,1.0,0.96,0.64,0.99,0.91,0.22,0.45,0.46,0.54,3.0,7.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,,,2.0,3.0,1.0,0.0,0.0,0.0,1.13,1.24,0.73,1.18,0.61,0.62,0.6,0.4,8.0,9.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,,,6.0,4.0,1.0,1.0,1.0,1.0
zJe3QYh5,EUROPE,2025-2026,Europa League 2025 2026,EUROPA LEAGUE,19/02/2026,17:00,Play Offs,Lille,Crvena zvezda,0,1,[],[45],bet365,1.95,2.5,6.0,bet365,1.53,4.33,5.75,bet365,1.29,3.5,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.67,2.2,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.8,1.95,bet365,1.14,1.2,2.38,bet365,15.0,bet365,19.0,bet365,34.0,bet365,67.0,bet365,8.0,bet365,8.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.8,2.05,bet365,1.48,2.6,bet365,1.13,5.9,1xBet,1.03,10.5,Superbet.br,1.02,14.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,7.0,1.21,Betano.br,4.55,4.6,1.55,bet365,2.25,3.75,2.38,Betano.br,1.17,6.8,13.0,BetEsporte,1.02,10.0,29.0,,0.0,0.0,0.0,0.41,2.2,0.51,2.26,0.5,0.8,2.26,0.51,1.26,0.51,0.53,0.47,0.76,0.78,0.42,0.5,0.68,0.61,0.0,1.0,0.2,0.25,7.0,8.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,7.0,4.0,1.0,0.0,5.0,0.0,0.0,22.0,23.0,6.0,7.0,15.0,15.0,28.0,17.0,15.0,15.0,1.0,4.0,,,3.0,2.0,2.0,1.0,0.45,0.56,53.0,60.0,22.0,51.0,8.0,10.0,1.0,1.0,0.0,0.0,0.1,1.05,0.0,0.99,0.3,0.28,0.51,0.49,3.0,5.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,5.0,1.0,1.0,7.0,4.0,0.0,1.0,0.0,0.0,0.31,1.15,0.51,1.27,0.2,0.52,0.54,0.46,4.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,3.0,,,8.0,11.0,3.0,1.0,2.0,1.0
