Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
tGZJ2cw0,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,31/03/2026,13:00,League C/D,Luxembourg,Malta,3,0,"[20, 50, 70]",[],bet365,2.3,2.1,6.0,bet365,1.7,3.75,5.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.4,3.0,bet365,2.2,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.1,1.67,bet365,1.17,1.25,2.1,bet365,8.5,bet365,12.0,bet365,23.0,bet365,51.0,bet365,6.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,12.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,6.4,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.18,4.8,1xBet.br,1.01,10.0,Superbet.br,1.02,12.0,,0.0,0.0,,0.0,0.0,bet365,15.0,9.0,1.1,bet365,6.5,4.75,1.36,bet365,3.0,3.5,2.1,bet365,1.17,7.0,13.0,bet365,1.04,15.0,41.0,BetEsporte,1.01,11.0,50.0,2.27,1.05,2.46,1.29,1.48,0.73,1.29,2.46,1.29,-0.54,0.63,0.37,0.84,0.77,0.35,0.46,0.78,0.61,3.0,0.0,0.17,0.27,13.0,13.0,6.0,5.0,4.0,4.0,3.0,4.0,8.0,6.0,5.0,7.0,5.0,3.0,0.0,0.0,21.0,17.0,3.0,6.0,13.0,14.0,17.0,11.0,14.0,13.0,3.0,2.0,0.0,1.0,2.0,1.0,5.0,3.0,0.56,0.5,45.0,53.0,14.0,25.0,5.0,10.0,0.0,0.0,0.0,0.0,1.06,0.24,0.85,0.18,0.14,0.21,0.51,0.49,5.0,6.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,10.0,11.0,0.0,0.0,2.0,1.0,1.21,0.81,1.61,1.11,1.34,0.52,0.74,0.26,8.0,7.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0
4GsnNROE,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,31/03/2026,13:00,League C/D,Latvia,Gibraltar,1,0,[90],[],bet365,1.73,2.4,12.0,bet365,1.27,5.75,11.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.5,bet365,1.98,1.88,bet365,3.4,1.33,bet365,6.5,1.11,bet365,2.75,1.4,bet365,1.05,1.14,3.75,bet365,10.0,bet365,19.0,bet365,51.0,bet365,201.0,bet365,5.5,bet365,11.0,bet365,34.0,bet365,101.0,bet365,5.0,bet365,10.0,bet365,34.0,bet365,101.0,bet365,7.0,bet365,13.0,bet365,41.0,bet365,151.0,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.88,1.98,bet365,1.4,2.85,bet365,1.26,3.7,Superbet.br,1.03,10.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.5,5.5,1.33,bet365,3.25,4.0,1.91,bet365,1.83,3.6,3.75,bet365,1.05,11.0,41.0,BetEsporte,1.01,11.0,60.0,,0.0,0.0,0.0,2.37,0.34,1.59,0.09,1.62,0.52,0.09,1.59,0.09,0.59,0.58,0.42,0.82,0.76,0.46,0.4,0.6,0.63,1.0,0.0,0.43,0.25,14.0,6.0,5.0,2.0,7.0,2.0,2.0,2.0,14.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,27.0,11.0,9.0,3.0,15.0,13.0,25.0,23.0,13.0,15.0,2.0,5.0,,,1.0,0.0,2.0,4.0,0.5,0.5,49.0,34.0,27.0,25.0,5.0,13.0,0.0,2.0,0.0,0.0,1.07,0.23,0.52,0.06,0.56,0.28,0.54,0.46,6.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,7.0,6.0,0.0,0.0,1.0,1.0,1.3,0.11,1.07,0.03,1.06,0.24,0.61,0.39,8.0,2.0,4.0,1.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,4.0,,,6.0,9.0,1.0,0.0,1.0,3.0
l8aaaOW7,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,26/03/2026,14:00,League C/D,Gibraltar,Latvia,0,1,[],[63],bet365,7.5,2.1,2.1,bet365,6.5,3.75,1.53,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.44,2.75,bet365,2.3,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,2.38,1.53,bet365,2.38,1.25,1.11,bet365,7.5,bet365,5.0,bet365,6.0,bet365,10.0,bet365,13.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,34.0,bet365,23.0,bet365,23.0,bet365,41.0,bet365,81.0,bet365,67.0,bet365,67.0,bet365,101.0,,0.0,0.0,,0.0,0.0,Superbet.br,16.0,1.01,,0.0,0.0,bet365,6.4,1.12,bet365,2.42,1.53,bet365,1.85,2.0,bet365,1.48,2.6,bet365,1.2,4.4,bet365,1.15,5.5,,0.0,0.0,0.0,bet365,51.0,23.0,1.02,bet365,21.0,8.5,1.11,bet365,2.38,3.4,2.6,bet365,1.5,4.5,5.5,bet365,1.14,8.0,12.0,0.24,1.76,0.02,0.82,0.07,0.67,0.82,0.02,-0.18,0.02,0.38,0.62,0.73,0.85,0.28,0.48,0.48,0.69,0.0,0.0,0.17,0.32,5.0,12.0,1.0,2.0,3.0,9.0,1.0,1.0,2.0,8.0,3.0,4.0,0.0,4.0,0.0,0.0,6.0,19.0,1.0,6.0,10.0,12.0,26.0,22.0,12.0,10.0,2.0,2.0,,,0.0,6.0,1.0,1.0,1.0,0.59,32.0,47.0,30.0,23.0,9.0,9.0,0.0,0.0,0.0,0.0,0.24,0.13,0.02,0.14,0.05,0.27,0.38,0.62,5.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,6.0,0.0,4.0,1.0,1.0,0.0,1.63,0.0,0.68,0.02,0.4,0.38,0.62,0.0,10.0,0.0,1.0,0.0,8.0,0.0,3.0,1.0,4.0,1.0,1.0,,,7.0,4.0,0.0,2.0,0.0,0.0
z34J4J8m,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,26/03/2026,14:00,League C/D,Malta,Luxembourg,0,2,[],"[47, 90]",bet365,4.75,1.83,3.0,bet365,3.8,2.9,2.15,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.14,5.5,bet365,1.67,2.2,bet365,3.2,1.36,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.38,1.53,bet365,1.67,1.4,1.25,bet365,5.5,bet365,5.0,bet365,8.5,bet365,19.0,bet365,7.5,bet365,6.0,bet365,10.0,bet365,23.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,41.0,bet365,41.0,bet365,51.0,bet365,101.0,,0.0,0.0,,0.0,0.0,Superbet.br,8.4,1.04,1xBet.br,9.04,1.06,bet365,3.8,1.25,bet365,1.7,2.1,bet365,1.27,3.55,bet365,1.19,4.5,1xBet.br,1.04,11.0,Superbet.br,1.03,10.0,BetEsporte,45.0,11.0,1.01,bet365,29.0,13.0,1.05,bet365,11.0,5.0,1.25,bet365,1.67,3.6,4.75,bet365,1.18,6.5,12.0,bet365,1.04,15.0,29.0,1.59,0.86,0.19,0.78,1.71,0.72,0.78,0.19,-1.22,0.19,0.43,0.57,0.78,0.87,0.47,0.37,0.62,0.65,3.0,0.0,0.27,0.36,9.0,7.0,2.0,2.0,6.0,1.0,1.0,4.0,8.0,5.0,1.0,2.0,3.0,1.0,0.0,1.0,23.0,15.0,1.0,3.0,11.0,11.0,36.0,22.0,11.0,11.0,2.0,0.0,,,1.0,3.0,0.0,2.0,0.55,0.71,56.0,39.0,15.0,26.0,4.0,5.0,0.0,0.0,1.0,0.0,0.43,0.12,0.17,0.0,0.53,0.15,0.38,0.62,4.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,,5.0,7.0,1.0,3.0,0.0,1.0,1.16,0.74,0.02,0.78,1.18,0.57,0.49,0.51,5.0,4.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,,,6.0,4.0,0.0,0.0,0.0,1.0
21tqxx3e,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,08/06/2025,10:00,League A,Germany,France,0,2,[],"[45, 84]",bet365,2.88,2.5,3.0,bet365,2.45,3.8,2.63,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.63,bet365,2.2,1.67,bet365,4.0,1.25,bet365,1.4,2.75,bet365,1.44,1.25,1.53,bet365,21.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,13.0,bet365,8.0,bet365,10.0,bet365,17.0,bet365,17.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,26.0,bet365,17.0,bet365,19.0,bet365,29.0,Superbet.br,8.5,1.05,Betboom.br,8.99,1.05,bet365,4.4,1.2,bet365,3.55,1.28,bet365,2.38,1.55,bet365,1.5,2.5,bet365,1.23,4.0,bet365,1.18,4.8,Betboom.br,1.04,9.77,Superbet.br,1.04,9.2,Betano.br,18.5,11.0,1.07,Betano.br,9.5,6.7,1.21,bet365,4.33,4.75,1.53,Betano.br,1.5,4.6,5.1,Betano.br,1.18,7.2,10.75,BetEsporte,1.03,11.0,20.0,2.55,2.35,1.59,3.26,2.11,1.0,3.26,1.59,1.26,1.59,0.56,0.44,0.9,0.85,0.72,0.64,0.81,0.77,2.0,0.0,0.11,0.18,20.0,16.0,6.0,9.0,7.0,5.0,7.0,2.0,16.0,13.0,4.0,3.0,4.0,1.0,1.0,1.0,35.0,30.0,9.0,6.0,7.0,11.0,18.0,12.0,11.0,7.0,3.0,2.0,,,4.0,1.0,7.0,6.0,0.56,0.65,38.0,42.0,12.0,26.0,11.0,7.0,0.0,1.0,1.0,0.0,1.3,0.23,1.32,0.63,1.21,0.34,0.52,0.48,10.0,4.0,4.0,3.0,2.0,1.0,2.0,0.0,5.0,3.0,2.0,1.0,8.0,4.0,1.0,1.0,2.0,4.0,1.25,2.12,0.27,2.63,0.9,0.66,0.6,0.4,10.0,12.0,2.0,6.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,,,3.0,3.0,3.0,0.0,5.0,2.0
dKFWcs0E,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,05/06/2025,16:00,League A,Spain,France,5,4,"[22, 25, 54, 55, 67]","[59, 79, 84, 90]",bet365,3.1,2.1,3.5,bet365,2.5,3.2,2.9,bet365,1.37,2.75,bet365,3.0,1.33,bet365,8.0,1.05,bet365,1.07,9.0,bet365,1.33,3.4,bet365,2.1,1.73,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.4,1.36,1.5,bet365,9.0,bet365,9.0,bet365,15.0,bet365,29.0,bet365,8.0,bet365,6.0,bet365,11.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,13.0,bet365,34.0,bet365,23.0,bet365,21.0,bet365,29.0,bet365,51.0,Estrelabet,9.5,1.03,Betboom.br,12.57,1.02,bet365,5.25,1.16,bet365,4.1,1.23,bet365,2.43,1.53,bet365,1.4,2.85,bet365,1.16,5.25,bet365,1.12,6.25,Betboom.br,1.19,3.79,Superbet.br,1.01,14.0,Betano.br,24.0,11.75,1.05,Betano.br,11.5,6.8,1.18,bet365,5.0,4.33,1.5,Betano.br,1.42,4.45,6.7,Betano.br,1.12,8.0,16.0,BetEsporte,1.01,11.0,30.0,2.91,2.78,3.27,2.91,1.33,1.34,2.91,3.27,-0.09,-1.73,0.43,0.57,0.82,0.9,0.47,0.52,0.59,0.88,2.0,1.0,0.29,0.47,16.0,24.0,8.0,9.0,0.0,8.0,8.0,7.0,15.0,17.0,1.0,7.0,5.0,4.0,0.0,2.0,23.0,41.0,4.0,6.0,14.0,17.0,15.0,14.0,17.0,14.0,2.0,4.0,,,2.0,1.0,5.0,3.0,0.58,0.46,44.0,48.0,13.0,14.0,6.0,10.0,2.0,0.0,0.0,0.0,1.08,0.56,1.37,0.41,0.81,0.35,0.46,0.54,9.0,13.0,4.0,5.0,0.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,4.0,6.0,1.0,1.0,5.0,2.0,1.83,2.22,1.9,2.5,0.52,0.99,0.4,0.6,7.0,11.0,4.0,4.0,0.0,5.0,3.0,4.0,1.0,4.0,1.0,4.0,,,13.0,8.0,1.0,0.0,0.0,1.0
CEdzFKIF,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,04/06/2025,16:00,League A,Germany,Portugal,1,2,[48],"[63, 68]",bet365,2.4,2.38,4.33,bet365,1.9,3.8,3.9,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.73,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.25,1.25,1.91,bet365,13.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.92,1.98,bet365,1.28,3.55,bet365,1.1,7.0,Estrelabet,1.07,8.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,8.75,1.12,Betano.br,6.5,5.3,1.35,bet365,3.2,4.0,1.91,Betano.br,1.28,5.5,8.5,Betano.br,1.08,9.75,19.5,BetEsporte,1.01,12.0,30.0,1.11,2.56,1.22,1.91,1.0,1.37,1.91,1.22,-0.09,0.22,0.55,0.45,0.89,0.86,0.54,0.46,0.77,0.76,1.0,0.0,0.06,0.22,9.0,17.0,5.0,6.0,2.0,7.0,2.0,4.0,8.0,12.0,1.0,5.0,1.0,4.0,1.0,0.0,16.0,31.0,3.0,4.0,10.0,9.0,12.0,17.0,9.0,10.0,3.0,3.0,,,3.0,0.0,4.0,4.0,0.73,0.62,41.0,35.0,15.0,19.0,10.0,5.0,0.0,0.0,0.0,0.0,0.65,0.26,0.43,0.26,0.47,0.13,0.59,0.41,7.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,,,2.0,5.0,2.0,0.0,1.0,4.0,0.46,2.3,0.79,1.65,0.53,1.24,0.51,0.49,2.0,13.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,2.0,3.0,3.0,,,7.0,5.0,1.0,0.0,3.0,0.0
vktdBqrg,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,23/03/2025,16:45,League A,Germany,Italy,3,3,"[30, 36, 45]","[49, 69, 90]",bet365,2.5,2.2,4.5,bet365,1.91,3.6,3.9,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.4,bet365,2.04,1.86,bet365,3.5,1.3,bet365,6.5,1.11,bet365,1.83,1.83,bet365,1.25,1.29,1.83,bet365,10.0,bet365,10.0,bet365,21.0,bet365,41.0,bet365,7.0,bet365,7.0,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,15.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,7.0,1.1,bet365,6.4,1.12,bet365,3.45,1.3,bet365,2.6,1.48,bet365,1.93,1.97,bet365,1.26,3.7,,0.0,0.0,Superbet.br,1.05,8.2,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.25,1.1,Betano.br,7.7,5.4,1.31,bet365,3.4,3.75,1.83,Betano.br,1.26,5.5,9.5,Betano.br,1.07,10.0,22.0,BetEsporte,1.01,11.0,35.0,3.24,1.35,3.55,1.81,2.22,0.42,1.81,3.55,-1.19,0.55,0.57,0.43,0.89,0.84,0.5,0.53,0.84,0.69,0.0,0.0,0.41,0.29,22.0,9.0,8.0,3.0,8.0,6.0,6.0,0.0,16.0,6.0,6.0,3.0,4.0,1.0,0.0,0.0,28.0,15.0,6.0,4.0,13.0,15.0,11.0,14.0,15.0,13.0,3.0,4.0,,,0.0,1.0,0.0,5.0,0.63,0.6,37.0,38.0,19.0,29.0,11.0,6.0,0.0,1.0,1.0,2.0,2.94,0.13,3.33,0.0,2.1,0.11,0.64,0.36,18.0,3.0,6.0,0.0,7.0,3.0,4.0,0.0,4.0,2.0,1.0,2.0,9.0,7.0,0.0,0.0,0.0,3.0,0.3,1.22,0.22,1.81,0.12,0.31,0.5,0.5,4.0,6.0,2.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,,,6.0,6.0,0.0,1.0,0.0,2.0
SACwg2SO,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,23/03/2025,16:45,League A,Portugal,Denmark,5,2,"[38, 72, 86, 91, 115]","[56, 76]",bet365,2.05,2.38,6.0,bet365,1.5,4.33,6.0,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,4.0,bet365,1.73,2.1,bet365,3.0,1.4,bet365,5.0,1.17,bet365,1.8,1.91,bet365,1.13,1.2,2.5,bet365,13.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,8.0,bet365,7.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,51.0,bet365,4.65,1.18,bet365,3.9,1.24,bet365,2.5,1.5,bet365,1.93,1.97,bet365,1.5,2.5,bet365,1.14,5.75,,0.0,0.0,Superbet.br,1.02,13.0,,0.0,0.0,,0.0,0.0,Betano.br,9.75,7.1,1.2,Betano.br,4.75,4.55,1.53,bet365,2.5,3.4,2.5,Betano.br,1.15,7.0,14.5,BetEsporte,1.02,10.0,30.0,BetEsporte,1.01,11.0,45.0,3.33,1.98,4.33,1.96,2.0,1.33,1.96,4.33,-0.04,0.33,0.58,0.42,0.86,0.78,0.49,0.48,0.8,0.65,0.0,0.0,0.16,0.25,18.0,14.0,11.0,4.0,3.0,4.0,4.0,6.0,10.0,10.0,8.0,4.0,5.0,2.0,1.0,0.0,31.0,24.0,11.0,8.0,19.0,21.0,32.0,33.0,21.0,19.0,2.0,4.0,,,8.0,0.0,2.0,6.0,0.79,0.59,63.0,74.0,34.0,30.0,12.0,10.0,1.0,0.0,1.0,0.0,1.26,0.16,1.53,0.12,0.61,0.21,0.58,0.42,5.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0,,,8.0,6.0,5.0,0.0,1.0,2.0,0.63,1.58,1.05,1.75,0.56,0.79,0.66,0.34,7.0,8.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,,,8.0,7.0,2.0,0.0,0.0,2.0
hzZvH8F7,EUROPE,2024-2025,Uefa Nations League 2024 2025,WORLD UEFA NATIONS LEAGUE,23/03/2025,16:45,League A/B,Belgium,Ukraine,3,0,"[70, 75, 86]",[],bet365,2.0,2.3,6.5,bet365,1.45,4.5,7.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.88,2.02,bet365,3.2,1.36,bet365,5.5,1.14,bet365,2.0,1.73,bet365,1.1,1.18,2.63,bet365,12.0,bet365,17.0,bet365,34.0,bet365,81.0,bet365,7.0,bet365,8.5,bet365,21.0,bet365,51.0,bet365,6.0,bet365,8.5,bet365,21.0,bet365,51.0,bet365,10.0,bet365,11.0,bet365,29.0,bet365,67.0,bet365,4.4,1.2,bet365,3.55,1.28,bet365,2.25,1.63,bet365,1.73,2.08,bet365,1.45,2.68,bet365,1.12,6.4,,0.0,0.0,Superbet.br,1.01,17.0,,0.0,0.0,,0.0,0.0,Betano.br,8.75,6.5,1.23,Betano.br,4.2,4.4,1.62,bet365,2.2,3.75,2.63,Betano.br,1.13,7.5,16.5,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,2.43,0.64,3.0,0.72,2.48,0.39,0.72,3.0,0.72,0.0,0.7,0.3,0.87,0.67,0.42,0.4,0.81,0.37,2.0,0.0,0.09,0.33,19.0,6.0,6.0,1.0,7.0,5.0,6.0,0.0,11.0,3.0,8.0,3.0,2.0,0.0,1.0,0.0,42.0,13.0,10.0,1.0,9.0,10.0,22.0,24.0,10.0,9.0,2.0,4.0,,,3.0,2.0,1.0,3.0,0.33,0.68,45.0,47.0,21.0,44.0,6.0,11.0,0.0,0.0,0.0,0.0,0.28,0.02,0.03,0.0,0.89,0.03,0.76,0.24,7.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,7.0,5.0,3.0,2.0,0.0,1.0,2.15,0.62,2.97,0.72,1.59,0.36,0.64,0.36,12.0,5.0,5.0,1.0,4.0,4.0,2.0,0.0,5.0,1.0,1.0,1.0,,,3.0,4.0,0.0,0.0,1.0,2.0
