Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
hEXEc2OE,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,02/03/2026,16:45,Round 25,Amiens,Troyes,0,2,[],"[52, 60]",bet365,4.33,2.38,2.4,bet365,3.7,3.5,1.8,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.67,2.1,bet365,1.83,1.25,1.25,bet365,13.0,bet365,8.5,bet365,9.5,bet365,15.0,bet365,13.0,bet365,7.0,bet365,8.5,bet365,13.0,bet365,21.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.6,1.06,1xBet,7.73,1.09,bet365,3.9,1.24,bet365,2.0,1.8,bet365,1.55,2.38,bet365,1.35,3.1,bet365,1.15,5.5,bet365,1.12,6.25,BetEsporte,35.0,12.0,1.01,Betano.br,18.5,9.25,1.09,Betano.br,8.25,5.5,1.29,bet365,1.83,4.0,3.2,Betano.br,1.35,5.3,6.5,Betano.br,1.12,8.5,13.5,1.25,1.0,0.53,1.0,0.64,1.05,1.0,0.53,-1.0,0.53,0.45,0.55,0.81,0.9,0.39,0.67,0.65,0.77,0.0,0.0,0.22,0.19,14.0,13.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,8.0,8.0,5.0,1.0,2.0,0.0,0.0,19.0,32.0,8.0,4.0,18.0,10.0,18.0,17.0,10.0,18.0,1.0,1.0,,,1.0,3.0,5.0,4.0,0.83,0.69,51.0,44.0,16.0,19.0,10.0,10.0,0.0,0.0,0.0,0.0,0.91,0.24,0.52,0.1,0.46,0.44,0.43,0.57,7.0,4.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,,,6.0,8.0,1.0,1.0,1.0,3.0,0.34,0.76,0.01,0.9,0.18,0.61,0.47,0.53,7.0,9.0,1.0,5.0,3.0,2.0,0.0,2.0,6.0,2.0,1.0,1.0,,,4.0,10.0,0.0,2.0,4.0,1.0
YkfBZkxP,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,28/02/2026,16:00,Round 25,Pau FC,St Etienne,0,3,[],"[3, 64, 90]",bet365,3.5,2.38,2.75,bet365,2.88,3.5,2.05,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.53,2.38,bet365,1.67,1.25,1.36,bet365,15.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,13.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,26.0,bet365,41.0,SeguroBet,9.7,1.02,1xBet,11.5,1.01,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,1.68,2.15,bet365,1.35,3.1,bet365,1.24,3.9,bet365,1.1,7.0,Superbet.br,1.06,7.2,BetEsporte,26.0,11.0,1.02,Betano.br,14.5,8.25,1.12,Betano.br,6.5,5.0,1.38,bet365,1.67,4.33,3.75,Betano.br,1.25,6.1,8.75,Betano.br,1.08,10.25,18.0,0.94,2.7,1.38,2.87,0.44,1.41,2.87,1.38,-0.13,1.38,0.54,0.46,0.84,0.85,0.59,0.41,0.71,0.62,0.0,0.0,0.17,0.5,9.0,10.0,4.0,6.0,3.0,1.0,2.0,3.0,3.0,7.0,6.0,3.0,2.0,3.0,0.0,0.0,12.0,12.0,5.0,4.0,20.0,14.0,30.0,18.0,14.0,20.0,2.0,1.0,,,0.0,1.0,3.0,4.0,0.68,0.75,47.0,47.0,5.0,21.0,13.0,7.0,0.0,1.0,0.0,0.0,0.46,0.29,0.77,0.71,0.29,0.12,0.55,0.45,6.0,4.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,7.0,9.0,0.0,0.0,2.0,2.0,0.48,2.41,0.61,2.16,0.15,1.29,0.52,0.48,3.0,6.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,,,7.0,11.0,0.0,1.0,1.0,2.0
jkiKyL1e,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,28/02/2026,10:00,Round 25,Guingamp,Rodez,0,0,[],[],bet365,2.38,2.38,4.33,bet365,1.75,3.5,3.75,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.22,1.25,1.91,bet365,13.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,13.0,bet365,29.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,2.38,1.55,bet365,1.78,2.03,bet365,1.23,4.0,1xBet,1.08,8.11,Superbet.br,1.05,8.1,,0.0,0.0,,0.0,0.0,Betano.br,13.0,8.25,1.14,Betano.br,6.1,5.1,1.39,bet365,3.1,4.0,1.91,Betano.br,1.25,5.7,9.5,Betano.br,1.07,10.0,21.0,BetEsporte,1.01,12.0,35.0,0.74,0.57,0.06,0.44,1.14,1.09,0.44,0.06,0.44,0.06,0.66,0.34,0.85,0.73,0.63,0.33,0.75,0.55,0.0,0.0,0.24,0.24,10.0,10.0,1.0,2.0,5.0,7.0,4.0,1.0,6.0,5.0,4.0,5.0,2.0,1.0,0.0,2.0,25.0,17.0,5.0,6.0,17.0,10.0,29.0,22.0,10.0,17.0,0.0,3.0,,,3.0,2.0,2.0,1.0,0.57,0.67,39.0,39.0,24.0,26.0,13.0,12.0,0.0,0.0,0.0,0.0,0.44,0.26,0.0,0.41,0.44,0.59,0.62,0.38,3.0,4.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,1.0,7.0,8.0,3.0,1.0,1.0,0.0,0.3,0.31,0.06,0.03,0.7,0.5,0.71,0.29,7.0,6.0,1.0,1.0,2.0,4.0,0.0,1.0,4.0,3.0,0.0,2.0,,,3.0,9.0,0.0,1.0,1.0,1.0
O0fnuf8m,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,28/02/2026,10:00,Round 25,Red Star,Le Mans,0,0,[],[],bet365,3.0,2.1,3.75,bet365,2.15,3.1,3.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.33,1.33,1.62,bet365,8.5,bet365,9.0,bet365,15.0,bet365,34.0,bet365,7.0,bet365,6.5,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.5,bet365,15.0,bet365,41.0,bet365,21.0,bet365,19.0,bet365,34.0,bet365,51.0,Superbet.br,9.3,1.04,Betnacional,8.08,1.06,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.25,1.63,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,11.25,1.05,Betano.br,11.25,6.4,1.2,bet365,4.5,4.0,1.62,Betano.br,1.35,4.7,7.7,Betano.br,1.1,8.75,19.0,BetEsporte,1.01,11.0,35.0,0.63,0.58,0.0,0.12,0.83,0.62,0.12,0.0,0.12,0.0,0.54,0.46,0.78,0.76,0.47,0.37,0.65,0.47,0.0,0.0,0.32,0.33,7.0,6.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,0.0,0.0,11.0,9.0,6.0,4.0,17.0,9.0,31.0,16.0,9.0,17.0,2.0,3.0,,,3.0,1.0,2.0,0.0,0.69,0.79,45.0,45.0,7.0,30.0,3.0,9.0,0.0,0.0,0.0,0.0,0.07,0.54,0.0,0.12,0.16,0.53,0.5,0.5,2.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,6.0,0.0,1.0,2.0,0.0,0.56,0.04,0.0,0.0,0.67,0.09,0.58,0.42,5.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,,,4.0,11.0,3.0,0.0,0.0,0.0
x6kSZbW7,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,27/02/2026,16:00,Round 25,Bastia,Annecy,0,2,[],"[2, 39]",bet365,3.25,1.91,4.33,bet365,2.3,2.75,3.2,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57,bet365,1.33,1.36,1.53,bet365,5.5,bet365,7.5,bet365,15.0,bet365,41.0,bet365,5.5,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.5,bet365,11.0,bet365,21.0,bet365,51.0,bet365,23.0,bet365,26.0,bet365,41.0,bet365,81.0,Superbet.br,12.0,1.02,1xBet,10.5,1.01,bet365,5.5,1.15,bet365,4.15,1.22,bet365,2.38,1.55,bet365,1.33,3.3,bet365,1.11,6.8,Superbet.br,1.06,7.1,,0.0,0.0,,0.0,0.0,Betano.br,28.0,12.0,1.04,Betano.br,13.5,6.8,1.17,bet365,5.5,3.75,1.53,Betano.br,1.34,4.5,8.75,Betano.br,1.08,9.0,23.0,BetEsporte,1.01,11.0,40.0,1.34,1.93,0.17,2.37,0.17,0.68,2.37,0.17,0.37,0.17,0.6,0.4,0.72,0.65,0.32,0.3,0.43,0.47,0.0,2.0,0.18,0.2,8.0,8.0,1.0,4.0,4.0,1.0,3.0,3.0,7.0,7.0,1.0,1.0,2.0,3.0,1.0,0.0,9.0,16.0,3.0,5.0,19.0,8.0,48.0,24.0,8.0,19.0,1.0,3.0,1.0,0.0,4.0,6.0,2.0,1.0,0.57,0.91,67.0,70.0,34.0,42.0,21.0,10.0,0.0,0.0,0.0,0.0,1.27,1.81,0.17,2.37,0.12,0.62,0.64,0.36,6.0,5.0,1.0,4.0,3.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,0.07,0.12,0.0,0.0,0.05,0.06,0.56,0.44,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,6.0,11.0,3.0,4.0,0.0,0.0
UZ2BwsXr,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,27/02/2026,16:00,Round 25,Clermont,Dunkerque,2,1,"[55, 90]",[26],bet365,3.4,2.1,3.2,bet365,2.7,3.0,2.6,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.73,2.0,bet365,1.5,1.36,1.44,bet365,9.0,bet365,8.5,bet365,13.0,bet365,26.0,bet365,9.0,bet365,6.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,26.0,bet365,21.0,bet365,34.0,bet365,41.0,SeguroBet,9.7,1.02,1xBet,11.0,1.01,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.68,1.45,bet365,1.5,2.5,bet365,1.21,4.25,bet365,1.15,5.5,1xBet,1.01,9.0,Superbet.br,1.03,11.0,BetEsporte,28.0,11.0,1.02,Betano.br,15.5,7.8,1.13,Betano.br,6.4,4.35,1.44,bet365,1.5,4.5,5.5,Betano.br,1.15,7.3,13.0,Betano.br,1.04,12.5,26.0,1.12,1.29,1.07,0.87,0.53,1.21,0.87,1.07,-0.13,0.07,0.41,0.59,0.79,0.87,0.36,0.56,0.54,0.72,0.0,2.0,0.17,0.25,10.0,9.0,5.0,2.0,3.0,2.0,2.0,5.0,8.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,25.0,23.0,7.0,7.0,17.0,7.0,16.0,16.0,7.0,17.0,1.0,4.0,,,5.0,2.0,1.0,5.0,0.81,0.5,49.0,37.0,19.0,16.0,9.0,10.0,1.0,0.0,0.0,0.0,0.15,1.0,0.17,0.87,0.14,0.8,0.4,0.6,5.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,3.0,0.0,2.0,3.0,11.0,3.0,2.0,1.0,3.0,0.97,0.29,0.9,0.0,0.39,0.41,0.41,0.59,5.0,4.0,3.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,1.0,2.0,,,4.0,6.0,2.0,0.0,0.0,2.0
ddDMTXqo,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,27/02/2026,16:00,Round 25,Grenoble,Boulogne,0,0,[],[],bet365,3.75,1.95,3.25,bet365,2.8,2.88,2.4,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.5,1.36,1.36,bet365,6.5,bet365,6.5,bet365,11.0,bet365,23.0,bet365,7.5,bet365,6.0,bet365,11.0,bet365,23.0,bet365,13.0,bet365,12.0,bet365,17.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,41.0,bet365,67.0,,0.0,0.0,SeguroBet,10.0,1.02,bet365,6.8,1.11,bet365,5.75,1.14,bet365,2.85,1.4,bet365,1.53,2.42,bet365,1.2,4.4,bet365,1.15,5.5,1xBet,1.02,10.5,Superbet.br,1.02,13.0,Betano.br,32.0,14.0,1.03,Betano.br,18.0,8.25,1.11,Betano.br,7.2,4.35,1.4,bet365,1.5,4.0,5.5,Betano.br,1.14,7.2,15.0,Betano.br,1.03,12.5,30.0,0.56,0.25,0.0,0.0,0.59,0.46,0.0,0.0,0.0,0.0,0.49,0.51,0.78,0.79,0.46,0.45,0.58,0.56,1.0,1.0,0.24,0.11,7.0,6.0,0.0,0.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,13.0,13.0,4.0,4.0,13.0,13.0,26.0,30.0,13.0,13.0,2.0,1.0,,,1.0,2.0,0.0,0.0,0.59,0.75,55.0,37.0,26.0,17.0,13.0,14.0,0.0,0.0,0.0,0.0,0.44,0.14,0.0,0.0,0.37,0.27,0.43,0.57,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,4.0,0.0,1.0,0.0,0.0,0.12,0.11,0.0,0.0,0.22,0.19,0.56,0.44,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,,,7.0,9.0,1.0,1.0,0.0,0.0
KSmewYx0,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,27/02/2026,16:00,Round 25,Laval,Nancy,1,1,[39],[80],bet365,3.25,1.95,4.0,bet365,2.3,2.88,2.9,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.36,1.36,1.53,bet365,6.5,bet365,7.5,bet365,13.0,bet365,34.0,bet365,6.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,23.0,bet365,23.0,bet365,41.0,bet365,67.0,Superbet.br,12.0,1.02,1xBet,10.5,1.01,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.38,1.55,bet365,1.38,3.0,bet365,1.13,5.9,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,Betano.br,30.0,12.5,1.03,Betano.br,15.0,7.1,1.15,bet365,5.5,4.0,1.53,Betano.br,1.39,4.4,7.5,Betano.br,1.1,8.5,19.0,BetEsporte,1.01,11.0,35.0,1.52,1.24,2.17,1.35,0.77,1.55,1.35,2.17,0.35,1.17,0.49,0.51,0.72,0.71,0.48,0.52,0.56,0.69,0.0,0.0,0.08,0.25,8.0,15.0,5.0,5.0,1.0,7.0,2.0,3.0,5.0,7.0,3.0,8.0,2.0,2.0,0.0,0.0,8.0,22.0,2.0,10.0,21.0,19.0,20.0,21.0,19.0,21.0,2.0,1.0,,,1.0,5.0,4.0,4.0,0.82,0.64,61.0,69.0,34.0,22.0,9.0,6.0,0.0,0.0,0.0,0.0,1.52,0.62,2.17,0.05,0.71,0.76,0.5,0.5,8.0,8.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,6.0,8.0,0.0,2.0,2.0,4.0,0.0,0.62,0.0,1.3,0.06,0.79,0.47,0.53,0.0,7.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,5.0,2.0,0.0,,,13.0,13.0,1.0,3.0,2.0,0.0
OEZKggNt,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,27/02/2026,16:00,Round 25,Montpellier,Reims,0,0,[],[],bet365,3.6,2.1,3.0,bet365,2.88,3.2,2.2,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.57,1.33,1.36,bet365,9.5,bet365,7.5,bet365,11.0,bet365,21.0,bet365,9.5,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,51.0,SeguroBet,10.3,1.02,SeguroBet,10.3,1.02,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.0,1.38,bet365,1.63,2.25,bet365,1.27,3.55,bet365,1.2,4.4,1xBet,1.02,8.3,Superbet.br,1.04,9.0,BetEsporte,30.0,11.0,1.01,Betano.br,17.0,8.25,1.11,Betano.br,7.1,4.65,1.38,bet365,1.57,4.0,4.5,Betano.br,1.2,6.4,10.75,Betano.br,1.06,11.0,23.0,0.95,1.38,0.11,0.95,1.12,1.34,0.95,0.11,0.95,0.11,0.48,0.52,0.82,0.84,0.47,0.46,0.68,0.74,1.0,0.0,0.37,0.21,9.0,17.0,2.0,5.0,4.0,8.0,3.0,4.0,6.0,10.0,3.0,7.0,3.0,1.0,0.0,0.0,12.0,34.0,3.0,4.0,15.0,20.0,15.0,16.0,20.0,15.0,1.0,0.0,,,1.0,1.0,5.0,2.0,0.69,0.5,51.0,54.0,30.0,21.0,16.0,13.0,0.0,1.0,0.0,0.0,0.51,0.53,0.07,0.42,0.4,0.63,0.45,0.55,3.0,8.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,11.0,6.0,1.0,1.0,2.0,1.0,0.44,0.85,0.04,0.53,0.72,0.71,0.51,0.49,6.0,9.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,,,,,9.0,9.0,0.0,0.0,3.0,1.0
biCuq39L,FRANCE,2025-2026,Ligue 2 2025 2026,FRANCE 2,23/02/2026,16:45,Round 24,Le Mans,Guingamp,1,1,[29],[52],bet365,3.5,2.05,3.25,bet365,2.63,3.1,2.4,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.5,1.33,1.4,bet365,8.5,bet365,7.5,bet365,12.0,bet365,23.0,bet365,8.0,bet365,6.5,bet365,10.0,bet365,21.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,51.0,Superbet.br,12.0,1.02,1xBet,11.5,1.01,bet365,5.9,1.13,bet365,4.8,1.18,bet365,2.68,1.45,bet365,1.53,2.42,bet365,1.22,4.15,bet365,1.16,5.25,1xBet,1.02,9.8,Superbet.br,1.02,12.0,Betano.br,29.0,13.0,1.03,Betano.br,15.5,7.7,1.13,bet365,5.5,4.33,1.44,bet365,1.5,4.0,5.5,Betano.br,1.15,7.2,13.5,Betano.br,1.04,12.5,27.0,0.86,1.64,1.18,1.2,0.6,0.47,1.2,1.18,0.2,0.18,0.4,0.6,0.75,0.81,0.4,0.62,0.46,0.6,0.0,1.0,0.33,0.29,9.0,14.0,4.0,6.0,3.0,2.0,2.0,6.0,6.0,9.0,3.0,5.0,2.0,5.0,0.0,0.0,14.0,21.0,3.0,4.0,13.0,19.0,19.0,26.0,19.0,13.0,3.0,1.0,,,1.0,1.0,5.0,3.0,0.58,0.6,46.0,64.0,21.0,22.0,7.0,9.0,1.0,0.0,0.0,0.0,0.48,0.56,0.92,0.33,0.38,0.38,0.33,0.67,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,,8.0,7.0,1.0,0.0,2.0,0.0,0.38,1.08,0.26,0.87,0.22,0.09,0.46,0.54,7.0,7.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,,,11.0,6.0,0.0,1.0,3.0,3.0
