Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
Kl91ynu0,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Angouleme CFC,Genets,1,1,[43],[74],Betano.br,1.87,2.3,6.7,Betano.br,1.39,4.3,7.3,,0.0,0.0,Betano.br,2.45,1.42,,0.0,0.0,,0.0,0.0,Betano.br,1.23,3.4,Betano.br,1.7,1.93,Betano.br,2.6,1.38,,0.0,0.0,Betano.br,1.91,1.7,Betano.br,1.09,1.18,2.9,Betano.br,11.5,Betano.br,18.0,Betano.br,50.0,Betano.br,175.0,Betano.br,6.8,Betano.br,8.5,Betano.br,23.0,Betano.br,90.0,Betano.br,6.5,Betano.br,8.25,Betano.br,20.0,Betano.br,80.0,Betano.br,9.0,Betano.br,11.5,Betano.br,28.0,Betano.br,100.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.07,3.5,2.9,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ECQZY3e,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Bergerac,Le Puy-en-Velay,1,0,[14],[],Betano.br,3.3,2.05,3.05,Betano.br,2.77,3.15,2.42,Betano.br,1.39,2.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.27,3.1,Betano.br,1.8,1.8,Betano.br,2.82,1.32,,0.0,0.0,Betano.br,1.62,2.05,Betano.br,1.53,1.3,1.37,Betano.br,10.0,Betano.br,8.5,Betano.br,12.5,Betano.br,26.0,Betano.br,10.0,Betano.br,6.2,Betano.br,9.25,Betano.br,20.0,Betano.br,15.5,Betano.br,10.0,Betano.br,12.5,Betano.br,27.0,Betano.br,35.0,Betano.br,22.0,Betano.br,27.0,Betano.br,50.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,1.53,3.95,4.85,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyBgw8Am,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Frejus Saint Raphael,Saint Priest,1,2,[23],"[2, 33]",Betano.br,2.67,2.07,3.85,Betano.br,2.02,3.3,3.4,Betano.br,1.4,2.52,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.29,2.95,Betano.br,1.87,1.75,Betano.br,3.0,1.29,,0.0,0.0,Betano.br,1.72,1.88,Betano.br,1.27,1.29,1.75,Betano.br,9.75,Betano.br,10.25,Betano.br,18.5,Betano.br,45.0,Betano.br,7.2,Betano.br,6.4,Betano.br,11.75,Betano.br,30.0,Betano.br,9.5,Betano.br,8.5,Betano.br,14.0,Betano.br,37.0,Betano.br,18.5,Betano.br,16.5,Betano.br,28.0,Betano.br,65.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,3.8,3.65,1.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hMDnsHBL,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Cannes,Andrezieux,3,1,"[45, 52, 90]",[40],Betano.br,1.95,2.37,5.3,Betano.br,1.47,4.35,5.5,Estrelabet,1.75,1.9,Betano.br,2.32,1.47,,0.0,0.0,Estrelabet,1.06,7.0,Betano.br,1.19,3.7,Betano.br,1.57,2.1,Betano.br,2.37,1.45,Estrelabet,5.33,1.11,Betano.br,1.72,1.88,Betano.br,1.13,1.18,2.6,Betano.br,14.0,Betano.br,17.5,Betano.br,35.0,Betano.br,110.0,Betano.br,8.0,Betano.br,8.75,Betano.br,18.0,Betano.br,55.0,Betano.br,7.5,Betano.br,8.25,Betano.br,17.0,Betano.br,50.0,Betano.br,10.25,Betano.br,11.25,Betano.br,23.0,Betano.br,70.0,Estrelabet,3.66,1.23,Estrelabet,2.9,1.37,Estrelabet,2.75,1.4,Estrelabet,2.07,1.66,Estrelabet,1.64,2.12,Estrelabet,1.54,2.3,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,8.0,5.0,1.23,Estrelabet,5.0,4.75,1.4,Betano.br,2.22,3.65,2.6,Estrelabet,1.16,6.5,8.5,Estrelabet,1.14,6.5,10.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hzgLeGQE,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,GOAL FC,Marignane GCB,3,2,"[26, 36, 48]","[89, 90]",Betano.br,2.05,2.3,5.1,Betano.br,1.53,4.1,5.2,Esportivabet,1.55,2.2,Betano.br,2.42,1.44,Estrelabet,5.5,1.08,,0.0,0.0,Betano.br,1.22,3.4,Betano.br,1.7,1.93,Betano.br,2.6,1.38,Estrelabet,4.0,1.21,Betano.br,1.78,1.82,Betano.br,1.14,1.2,2.45,Betano.br,12.5,Betano.br,15.0,Betano.br,32.0,Betano.br,100.0,Betano.br,7.3,Betano.br,8.0,Betano.br,17.0,Betano.br,50.0,Betano.br,7.3,Betano.br,8.25,Betano.br,17.0,Betano.br,50.0,Betano.br,10.75,Betano.br,12.0,Betano.br,25.0,Betano.br,75.0,Estrelabet,2.66,1.42,Estrelabet,1.97,1.75,Estrelabet,1.55,2.3,Betano.br,1.83,1.87,Esportivabet,1.54,2.3,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,5.33,4.2,1.42,Estrelabet,2.75,3.1,2.25,Betano.br,2.4,3.55,2.45,Esportivabet,1.11,7.5,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viP2ZP9C,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Hyeres,Grasse,1,2,[3],"[20, 70]",Betano.br,2.85,2.05,3.6,Betano.br,2.27,3.15,3.0,Betano.br,1.4,2.52,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.28,3.05,Betano.br,1.82,1.78,Betano.br,2.87,1.31,,0.0,0.0,Betano.br,1.65,2.0,Betano.br,1.33,1.3,1.6,Betano.br,9.75,Betano.br,9.25,Betano.br,15.5,Betano.br,37.0,Betano.br,8.5,Betano.br,6.2,Betano.br,10.5,Betano.br,26.0,Betano.br,12.0,Betano.br,8.75,Betano.br,13.0,Betano.br,32.0,Betano.br,24.0,Betano.br,17.5,Betano.br,25.0,Betano.br,55.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,4.4,3.85,1.6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QT0ZXCY7,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Istres,Jura Sud,4,2,"[3, 17, 79, 84]","[53, 81]",Betano.br,2.85,2.15,3.3,Betano.br,2.27,3.5,2.75,,0.0,0.0,Betano.br,2.5,1.4,,0.0,0.0,,0.0,0.0,Betano.br,1.25,3.25,Betano.br,1.72,1.88,Betano.br,2.72,1.35,,0.0,0.0,Betano.br,1.62,2.02,Betano.br,1.38,1.26,1.6,Betano.br,11.5,Betano.br,9.75,Betano.br,14.5,Betano.br,32.0,Betano.br,9.0,Betano.br,6.8,Betano.br,10.25,Betano.br,22.0,Betano.br,11.75,Betano.br,9.0,Betano.br,13.5,Betano.br,29.0,Betano.br,23.0,Betano.br,17.5,Betano.br,26.0,Betano.br,55.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,4.3,4.0,1.6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40XiLZl2,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,10/05/2025,13:00,Group A,Andrezieux,Toulon,0,1,[],[72],Betano.br,2.42,2.0,4.75,Betano.br,1.85,3.2,4.25,Betano.br,1.42,2.45,Estrelabet,2.66,1.36,,0.0,0.0,Estrelabet,1.07,6.75,Betano.br,1.3,2.92,Betano.br,1.88,1.72,Betano.br,3.0,1.29,Estrelabet,5.25,1.12,Betano.br,1.75,1.87,Betano.br,1.2,1.29,1.91,Betano.br,8.75,Betano.br,10.75,Betano.br,24.0,Betano.br,75.0,Betano.br,7.0,Betano.br,6.3,Betano.br,14.0,Betano.br,45.0,Betano.br,9.0,Betano.br,8.0,Betano.br,14.5,Betano.br,50.0,Betano.br,16.0,Betano.br,14.5,Betano.br,25.0,Betano.br,70.0,,0.0,0.0,,0.0,0.0,Estrelabet,3.1,1.32,Estrelabet,2.5,1.47,Betano.br,1.8,1.9,Estrelabet,1.25,3.6,Estrelabet,1.8,1.9,Estrelabet,1.42,2.66,Estrelabet,1.15,4.66,,0.0,0.0,,0.0,0.0,0.0,Estrelabet,6.0,4.75,1.32,Betano.br,3.35,3.5,1.91,Estrelabet,1.22,6.0,7.0,Estrelabet,1.18,5.75,9.0,Estrelabet,1.11,7.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6fJyeZr,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,17/05/2025,13:00,Group A,Toulon,GFA74,4,0,"[33, 46, 68, 88]",[],Betano.br,2.72,2.12,3.6,Betano.br,2.12,3.35,3.15,BetEsporte,1.34,2.89,Betano.br,2.52,1.4,BetEsporte,5.55,1.1,BetEsporte,1.04,7.93,Betano.br,1.25,3.25,Betano.br,1.75,1.87,Betano.br,2.72,1.35,BetEsporte,5.03,1.12,Betano.br,1.62,2.02,Betano.br,1.31,1.28,1.7,Betano.br,11.0,Betano.br,10.75,Betano.br,17.5,Betano.br,40.0,Betano.br,8.25,Betano.br,6.6,Betano.br,11.0,Betano.br,26.0,Betano.br,10.75,Betano.br,8.75,Betano.br,13.0,Betano.br,30.0,Betano.br,20.0,Betano.br,16.5,Betano.br,25.0,Betano.br,50.0,Esportivabet,2.3,1.55,Esportivabet,1.55,2.3,BetEsporte,3.44,1.22,Esportivabet,1.55,2.3,Estrelabet,2.0,1.66,BetEsporte,1.3,2.95,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Esportivabet,11.25,5.5,1.14,Esportivabet,9.0,5.5,1.18,Betano.br,3.9,3.8,1.7,Esportivabet,1.3,4.4,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IqZqNeKk,FRANCE,2024-2025,National 2 Group A 2024 2025,FRANCE 4,10/05/2025,13:00,Group A,GFA74,Bergerac,2,2,"[62, 79]","[43, 90]",Betano.br,2.7,2.18,3.45,Betano.br,2.12,3.55,2.95,,0.0,0.0,Betano.br,2.52,1.4,,0.0,0.0,,0.0,0.0,Betano.br,1.25,3.25,Betano.br,1.75,1.87,Betano.br,2.72,1.34,,0.0,0.0,Betano.br,1.65,2.0,Betano.br,1.34,1.26,1.7,Betano.br,11.5,Betano.br,10.25,Betano.br,15.5,Betano.br,35.0,Betano.br,8.5,Betano.br,6.9,Betano.br,10.75,Betano.br,24.0,Betano.br,10.75,Betano.br,8.75,Betano.br,13.5,Betano.br,30.0,Betano.br,20.0,Betano.br,16.5,Betano.br,26.0,Betano.br,60.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,3.85,3.85,1.7,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
