Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
IcGdjZdt,FRANCE,2025-2026,National 2025 2026,FRANCE 3,28/02/2026,15:00,Round 23,Orleans,Rouen,1,1,[36],[26],Betfair,3.75,2.0,2.88,Betfair,3.0,3.0,2.2,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.83,1.83,Betfair,1.57,1.3,1.3,Betfair,7.0,Betfair,6.0,Betfair,8.5,Betfair,18.0,Betfair,7.0,Betfair,5.5,Betfair,7.5,Betfair,15.0,Betfair,12.0,Betfair,9.0,Betfair,12.0,Betfair,26.0,Betfair,31.0,Betfair,23.0,Betfair,31.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,1xBet,7.55,1.09,1xBet,6.21,1.12,Superbet.br,2.92,1.3,Estrelabet,1.55,2.14,1xBet,1.31,3.46,Superbet.br,1.15,4.1,1xBet,1.03,8.8,1xBet,1.02,10.0,BetEsporte,24.0,8.6,1.01,BetEsporte,14.0,6.6,1.07,BetEsporte,6.2,4.2,1.31,Betano.br,1.6,3.75,4.55,BetEsporte,1.14,5.8,10.0,BetEsporte,1.03,8.2,19.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,11.0,7.0,6.0,2.0,5.0,5.0,,,,,,,,,,,,,6.0,4.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.57,4.0,3.0,2.0,2.0,2.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,0.55,0.45,7.0,4.0,4.0,0.0,3.0,4.0,,,4.0,1.0,2.0,2.0,,,,,,,,
nw8Dnid5,FRANCE,2025-2026,National 2025 2026,FRANCE 3,28/02/2026,14:00,Round 23,Quevilly Rouen,Bourg en Bresse,2,2,"[34, 41]","[7, 90]",Betfair,3.1,1.91,3.75,Betfair,2.25,2.75,3.2,Betfair,1.53,2.38,Betfair,3.75,1.22,Betfair,9.5,1.04,Betfair,1.07,7.0,Betfair,1.5,2.4,Betfair,2.75,1.4,Betfair,5.5,1.11,Superbet.br,12.0,1.02,Betfair,2.15,1.6,Betfair,1.3,1.33,1.53,Betfair,5.5,Betfair,6.0,Betfair,11.0,Betfair,36.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,31.0,Betfair,8.5,Betfair,8.5,Betfair,15.0,Betfair,46.0,Betfair,20.0,Betfair,20.0,Betfair,36.0,Betfair,101.0,1xBet,10.5,1.02,1xBet,9.2,1.03,Superbet.br,4.45,1.13,1xBet,3.92,1.26,Estrelabet,2.1,1.58,Superbet.br,1.26,3.2,1xBet,1.1,6.95,1xBet,1.05,8.95,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,8.2,1.02,BetEsporte,12.0,5.8,1.12,Betano.br,4.9,3.6,1.6,BetEsporte,1.29,4.1,7.2,BetEsporte,1.06,6.8,18.0,BetEsporte,1.01,8.4,28.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,4.0,8.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,2.0,1.0,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.49,3.0,2.0,3.0,1.0,0.0,1.0,,,2.0,0.0,,,,,,,,,,,,,,,0.45,0.55,1.0,6.0,1.0,3.0,0.0,3.0,,,0.0,1.0,0.0,3.0,,,,,,,,
f3BLpVQH,FRANCE,2025-2026,National 2025 2026,FRANCE 3,28/02/2026,11:00,Round 23,Valenciennes,Caen,2,1,"[41, 44]",[77],Betfair,2.88,2.0,3.6,Betfair,2.15,3.0,3.1,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.33,3.0,Betfair,2.1,1.65,Betfair,4.0,1.2,Superbet.br,7.2,1.06,Betfair,1.8,1.87,Betfair,1.33,1.29,1.57,Betfair,8.0,Betfair,7.0,Betfair,12.0,Betfair,31.0,Betfair,6.0,Betfair,5.0,Betfair,9.0,Betfair,21.0,Betfair,9.0,Betfair,7.5,Betfair,12.0,Betfair,31.0,Betfair,18.0,Betfair,15.0,Betfair,26.0,Betfair,61.0,1xBet,9.1,1.03,1xBet,8.0,1.05,Superbet.br,4.2,1.15,1xBet,3.27,1.34,Estrelabet,2.16,1.53,Superbet.br,1.31,2.9,1xBet,1.11,6.46,1xBet,1.08,7.81,,0.0,0.0,,0.0,0.0,BetEsporte,18.0,8.2,1.03,BetEsporte,9.4,5.6,1.16,Betano.br,4.45,3.75,1.62,BetEsporte,1.29,4.3,6.6,BetEsporte,1.07,6.8,15.0,BetEsporte,1.01,8.6,25.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,11.0,10.0,6.0,5.0,5.0,5.0,,,,,,,,,,,,,6.0,5.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.48,5.0,6.0,3.0,4.0,2.0,2.0,,,2.0,3.0,,,,,,,,,,,,,,,0.42,0.58,6.0,4.0,3.0,1.0,3.0,3.0,,,4.0,2.0,1.0,0.0,,,,,,,,
CKgVZDCa,FRANCE,2025-2026,National 2025 2026,FRANCE 3,27/02/2026,15:30,Round 23,Chateauroux,Paris 13 Atl.,0,1,[],[90],Betfair,2.88,2.0,3.75,Betfair,2.2,2.9,3.1,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.87,1.8,Betfair,1.3,1.3,1.53,Betfair,7.0,Betfair,6.5,Betfair,12.0,Betfair,31.0,Betfair,5.5,Betfair,5.0,Betfair,9.0,Betfair,23.0,Betfair,8.5,Betfair,8.0,Betfair,13.0,Betfair,34.0,Betfair,18.0,Betfair,15.0,Betfair,26.0,Betfair,76.0,1xBet,10.5,1.01,1xBet,9.0,1.01,Superbet.br,4.3,1.14,1xBet,3.48,1.22,Estrelabet,2.2,1.52,Superbet.br,1.29,3.0,1xBet,1.06,6.05,1xBet,1.04,7.1,,0.0,0.0,,0.0,0.0,BetEsporte,20.0,8.2,1.02,BetEsporte,11.0,5.8,1.13,Betano.br,5.1,3.7,1.55,BetEsporte,1.3,4.2,6.6,BetEsporte,1.07,6.8,16.0,BetEsporte,1.01,8.4,26.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,15.0,3.0,7.0,2.0,8.0,1.0,,,,,,,,,,,,,8.0,3.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,7.0,2.0,4.0,1.0,3.0,1.0,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,0.52,0.48,8.0,1.0,3.0,1.0,5.0,0.0,,,3.0,2.0,2.0,2.0,,,,,,,,
YZsvYisC,FRANCE,2025-2026,National 2025 2026,FRANCE 3,27/02/2026,15:30,Round 23,Fleury-Merogis,Concarneau,0,4,[],"[27, 44, 51, 54]",Betfair,2.7,2.1,3.75,Betfair,2.0,3.1,3.4,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.3,3.2,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.8,1.87,Betfair,1.25,1.25,1.67,Betfair,8.0,Betfair,8.0,Betfair,13.0,Betfair,36.0,Betfair,6.0,Betfair,5.5,Betfair,9.5,Betfair,26.0,Betfair,8.0,Betfair,7.0,Betfair,11.0,Betfair,26.0,Betfair,15.0,Betfair,14.0,Betfair,23.0,Betfair,61.0,1xBet,7.8,1.02,1xBet,8.21,1.08,Superbet.br,3.6,1.2,1xBet,2.98,1.39,Betano.br,1.98,1.75,Superbet.br,1.26,3.2,1xBet,1.1,6.94,1xBet,1.08,8.31,,0.0,0.0,,0.0,0.0,BetEsporte,17.0,8.0,1.04,BetEsporte,8.4,5.4,1.18,Betano.br,3.9,3.65,1.72,BetEsporte,1.26,4.5,7.2,BetEsporte,1.06,7.0,16.0,BetEsporte,1.01,8.6,26.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,6.0,7.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,3.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.43,1.0,5.0,0.0,2.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,0.38,0.62,5.0,2.0,2.0,2.0,3.0,0.0,,,2.0,1.0,1.0,1.0,,,,,,,,
t0onWVBO,FRANCE,2025-2026,National 2025 2026,FRANCE 3,27/02/2026,15:30,Round 23,Le Puy-en-Velay,Stade Briochin,1,1,[45],[45],Betfair,2.1,2.2,5.0,Betfair,1.57,3.6,4.75,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.01,11.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.83,1.83,Betfair,1.13,1.2,2.1,Betfair,9.5,Betfair,10.0,Betfair,23.0,Betfair,67.0,Betfair,5.5,Betfair,6.0,Betfair,12.0,Betfair,36.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,41.0,Betfair,10.0,Betfair,10.0,Betfair,21.0,Betfair,61.0,1xBet,5.44,1.15,1xBet,4.5,1.21,Superbet.br,2.62,1.37,Superbet.br,2.05,1.61,Estrelabet,1.61,2.05,Superbet.br,1.14,4.35,1xBet,1.03,9.0,1xBet,1.02,10.0,,0.0,0.0,,0.0,0.0,BetEsporte,11.0,6.8,1.1,BetEsporte,5.2,4.5,1.36,Betano.br,2.85,3.5,2.12,BetEsporte,1.15,5.4,10.0,BetEsporte,1.02,8.0,21.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,13.0,6.0,5.0,3.0,8.0,3.0,,,,,,,,,,,,,7.0,1.0,,,,,,,3.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.53,0.47,6.0,2.0,4.0,1.0,2.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,,0.71,0.29,7.0,4.0,1.0,2.0,6.0,2.0,,,3.0,0.0,3.0,4.0,0.0,1.0,,,,,,
jBE4lDRh,FRANCE,2025-2026,National 2025 2026,FRANCE 3,27/02/2026,15:30,Round 23,Sochaux,Villefranche,2,1,"[30, 40]",[68],Betfair,2.2,2.1,5.0,Betfair,1.6,3.4,4.75,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.95,1.73,Betfair,1.13,1.22,2.1,Betfair,8.5,Betfair,9.5,Betfair,21.0,Betfair,71.0,Betfair,5.0,Betfair,6.0,Betfair,13.0,Betfair,41.0,Betfair,6.0,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,10.0,Betfair,12.0,Betfair,23.0,Betfair,76.0,1xBet,5.98,1.13,1xBet,4.96,1.18,Superbet.br,2.8,1.33,Superbet.br,2.17,1.54,Estrelabet,1.55,2.14,Superbet.br,1.13,4.5,1xBet,1.02,9.7,1xBet,1.01,11.0,,0.0,0.0,,0.0,0.0,BetEsporte,12.0,6.8,1.09,BetEsporte,5.6,4.5,1.34,Betano.br,3.05,3.3,2.1,BetEsporte,1.14,5.4,11.0,BetEsporte,1.02,8.0,24.0,BetEsporte,1.01,8.2,30.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,15.0,4.0,8.0,1.0,7.0,3.0,,,,,,,,,,,,,9.0,2.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.38,8.0,0.0,4.0,0.0,4.0,0.0,,,4.0,0.0,1.0,1.0,,,,,,,,,,,,,0.52,0.48,7.0,4.0,4.0,1.0,3.0,3.0,,,5.0,2.0,2.0,1.0,,,,,,,,
EiOgSMAj,FRANCE,2025-2026,National 2025 2026,FRANCE 3,27/02/2026,15:30,Round 23,Versailles,Aubagne,3,0,"[44, 65, 87]",[],Betfair,2.5,2.0,4.5,Betfair,1.8,3.1,4.0,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,2.0,1.7,Betfair,1.17,1.29,1.83,Betfair,7.0,Betfair,7.5,Betfair,15.0,Betfair,51.0,Betfair,5.0,Betfair,5.5,Betfair,11.0,Betfair,36.0,Betfair,7.0,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,13.0,Betfair,14.0,Betfair,26.0,Betfair,81.0,1xBet,7.77,1.08,1xBet,6.57,1.11,Superbet.br,3.3,1.24,Superbet.br,2.6,1.38,Betano.br,1.85,1.87,Superbet.br,1.18,3.8,1xBet,1.01,8.9,1xBet,1.03,9.3,,0.0,0.0,,0.0,0.0,BetEsporte,15.0,7.6,1.05,BetEsporte,7.4,5.0,1.23,Betano.br,3.55,3.4,1.88,BetEsporte,1.2,4.8,9.2,BetEsporte,1.03,7.6,21.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,12.0,11.0,5.0,5.0,7.0,6.0,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.54,5.0,9.0,1.0,5.0,4.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.62,0.38,7.0,2.0,4.0,0.0,3.0,2.0,,,1.0,1.0,1.0,3.0,,,,,,,,
WWvXM6HD,FRANCE,2025-2026,National 2025 2026,FRANCE 3,20/02/2026,15:30,Round 22,Aubagne,Quevilly Rouen,0,1,[],[23],Betfair,2.75,1.91,4.33,Betfair,2.0,2.9,3.7,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.05,1.67,Betfair,1.22,1.3,1.67,Betfair,6.5,Betfair,7.0,Betfair,13.0,Betfair,41.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,31.0,Betfair,7.5,Betfair,8.0,Betfair,14.0,Betfair,46.0,Betfair,15.0,Betfair,15.0,Betfair,31.0,Betfair,91.0,1xBet,7.8,1.02,1xBet,7.1,1.04,Superbet.br,3.55,1.21,1xBet,2.83,1.33,Betano.br,1.95,1.75,Superbet.br,1.2,3.6,1xBet,1.02,8.1,1xBet,1.01,9.0,,0.0,0.0,,0.0,0.0,BetEsporte,18.0,7.8,1.03,BetEsporte,9.0,5.2,1.18,Betano.br,4.0,3.4,1.78,BetEsporte,1.21,4.6,9.0,BetEsporte,1.04,7.4,21.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,6.0,7.0,3.0,5.0,3.0,2.0,,,,,,,,,,,,,7.0,2.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.43,2.0,5.0,1.0,3.0,1.0,2.0,,,4.0,2.0,1.0,0.0,,,,,,,,,,,,,0.53,0.47,4.0,2.0,2.0,2.0,2.0,0.0,,,3.0,0.0,2.0,2.0,,,,,,,,
4YEnPdbs,FRANCE,2025-2026,National 2025 2026,FRANCE 3,20/02/2026,15:30,Round 22,Bourg en Bresse,Orleans,0,3,[],"[69, 83, 86]",Betfair,3.5,2.0,3.1,Betfair,2.63,3.0,2.4,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.83,1.83,Betfair,1.5,1.3,1.36,Betfair,7.5,Betfair,6.0,Betfair,9.0,Betfair,20.0,Betfair,6.5,Betfair,5.5,Betfair,8.0,Betfair,17.0,Betfair,10.0,Betfair,8.5,Betfair,12.0,Betfair,26.0,Betfair,26.0,Betfair,21.0,Betfair,26.0,Betfair,61.0,,0.0,0.0,,0.0,0.0,1xBet,6.05,1.06,1xBet,5.1,1.1,Superbet.br,2.6,1.38,Estrelabet,1.5,2.25,1xBet,1.17,3.95,Superbet.br,1.13,4.5,1xBet,1.03,9.3,1xBet,1.01,10.5,BetEsporte,23.0,8.4,1.01,BetEsporte,13.0,6.4,1.09,BetEsporte,5.8,4.1,1.35,Betano.br,1.55,3.9,4.8,BetEsporte,1.13,6.0,11.0,BetEsporte,1.02,8.4,20.0,,,,,,,,,,,0.39,0.61,,,,,,,,,,,4.0,11.0,1.0,8.0,3.0,3.0,,,,,,,,,,,,,0.0,4.0,,,,,,,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.44,0.56,2.0,1.0,1.0,1.0,1.0,0.0,,,0.0,3.0,,,,,,,,,,,,,,,0.34,0.66,2.0,10.0,0.0,7.0,2.0,3.0,,,0.0,1.0,2.0,1.0,1.0,0.0,,,,,,
