Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KGHsENq6,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,06/06/2023,15:45,Relegation,Arminia Bielefeld,Wehen,1,2,[4],"[35, 45]",bet365,2.75,2.4,3.4,bet365,2.15,3.75,3.0,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.5,2.5,bet365,1.36,1.25,1.67,bet365,19.0,bet365,15.0,bet365,19.0,bet365,34.0,bet365,12.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,21.0,bet365,15.0,bet365,19.0,bet365,34.0,bet365,7.0,1.1,bet365,6.8,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.38,3.0,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,14.5,9.25,1.11,Betano.br,7.2,5.9,1.3,bet365,3.75,4.33,1.67,Betano.br,1.37,5.1,6.5,Betano.br,1.12,8.25,14.5,Betano.br,1.03,13.5,26.0,1.78,1.53,,,,,,,,,0.54,0.46,0.76,0.75,,,,,,,,,22.0,11.0,7.0,5.0,15.0,6.0,,,,,,,,,,,,,7.0,4.0,13.0,19.0,22.0,22.0,18.0,12.0,3.0,1.0,,,1.0,1.0,3.0,6.0,,,,,,,,,,,,,0.89,0.89,,,,,0.56,0.44,11.0,6.0,3.0,3.0,8.0,3.0,,,4.0,1.0,1.0,0.0,8.0,6.0,0.0,1.0,1.0,2.0,0.89,0.64,,,,,0.52,0.48,11.0,5.0,4.0,2.0,7.0,3.0,,,3.0,3.0,2.0,1.0,,,10.0,6.0,1.0,0.0,2.0,4.0
QgIwF3Ua,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,02/06/2023,15:45,Relegation,Wehen,Arminia Bielefeld,4,0,"[6, 50, 60, 82]",[],bet365,3.1,2.25,3.25,bet365,2.55,3.4,2.7,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.44,1.3,1.5,bet365,12.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,10.0,bet365,6.5,bet365,10.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,26.0,bet365,19.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,4.1,1.23,bet365,2.5,1.5,bet365,1.48,2.6,bet365,1.22,4.15,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.75,1.05,Betano.br,11.25,7.0,1.18,bet365,5.0,4.5,1.5,bet365,1.44,4.5,5.0,Betano.br,1.15,7.5,13.0,Betano.br,1.04,12.5,25.0,1.19,0.26,,,,,,,,,0.44,0.56,0.76,0.84,,,,,,,,,13.0,12.0,7.0,1.0,6.0,11.0,,,,,,,,,,,,,6.0,4.0,13.0,13.0,25.0,22.0,12.0,11.0,1.0,0.0,,,2.0,2.0,1.0,3.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6,0.4,4.0,5.0,3.0,0.0,1.0,5.0,,,2.0,3.0,,,8.0,4.0,1.0,2.0,0.0,2.0,1.19,0.26,,,,,0.28,0.72,9.0,7.0,4.0,1.0,5.0,6.0,,,4.0,1.0,1.0,0.0,,,4.0,7.0,1.0,0.0,1.0,1.0
fXCvjnXp,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Greuther Furth,Darmstadt,4,0,"[50, 58, 71, 78]",[],bet365,3.4,2.4,2.75,bet365,3.2,3.4,2.25,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.14,5.5,bet365,1.57,2.35,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.62,1.3,1.36,bet365,15.0,bet365,12.0,bet365,13.0,bet365,21.0,bet365,15.0,bet365,7.0,bet365,9.5,bet365,15.0,bet365,19.0,bet365,12.0,bet365,11.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,26.0,bet365,29.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,1.65,2.2,bet365,1.32,3.3,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,Betano.br,26.0,13.0,1.04,Betano.br,14.0,8.0,1.13,Betano.br,6.3,4.8,1.4,bet365,1.62,4.33,4.0,Betano.br,1.22,6.5,9.25,Betano.br,1.07,10.75,19.0,1.15,0.21,,,,,,,,,0.64,0.36,0.88,0.72,,,,,,,,,10.0,3.0,7.0,0.0,3.0,3.0,,,,,,,,,,,,,5.0,3.0,18.0,18.0,17.0,23.0,15.0,14.0,0.0,3.0,0.0,1.0,3.0,4.0,0.0,3.0,,,,,,,,,,,,,0.25,0.0,,,,,0.63,0.37,1.0,1.0,1.0,0.0,0.0,1.0,,,3.0,0.0,,,12.0,8.0,2.0,2.0,0.0,1.0,0.9,0.21,,,,,0.65,0.35,9.0,2.0,6.0,0.0,3.0,2.0,,,2.0,3.0,0.0,3.0,,,3.0,6.0,1.0,2.0,0.0,2.0
rgkVC9vb,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Hannover,Holstein Kiel,1,5,[72],"[21, 23, 45, 59, 62]",bet365,2.4,2.75,3.4,bet365,2.0,4.5,3.1,bet365,1.18,4.5,bet365,1.85,1.95,bet365,3.75,1.25,bet365,1.01,29.0,bet365,1.07,9.0,bet365,1.29,3.6,bet365,1.67,2.1,bet365,2.5,1.5,bet365,1.3,3.4,bet365,1.36,1.18,1.8,bet365,34.0,bet365,21.0,bet365,23.0,bet365,41.0,bet365,17.0,bet365,10.0,bet365,13.0,bet365,21.0,bet365,17.0,bet365,10.0,bet365,11.0,bet365,19.0,bet365,21.0,bet365,13.0,bet365,15.0,bet365,23.0,bet365,5.75,1.14,bet365,4.8,1.18,bet365,3.0,1.38,bet365,2.42,1.52,bet365,1.95,1.9,bet365,1.35,3.1,bet365,1.16,5.25,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,11.5,8.75,1.14,Betano.br,5.9,5.8,1.35,bet365,3.2,4.5,1.8,Betano.br,1.39,5.4,5.8,Betano.br,1.15,8.25,11.75,Betano.br,1.05,12.5,22.0,0.91,1.54,,,,,,,,,0.51,0.49,0.88,0.89,,,,,,,,,9.0,14.0,1.0,8.0,8.0,6.0,,,,,,,,,,,,,6.0,2.0,10.0,9.0,11.0,8.0,6.0,11.0,0.0,1.0,,,3.0,0.0,3.0,0.0,,,,,,,,,,,,,0.12,1.31,,,,,0.53,0.47,2.0,11.0,0.0,6.0,2.0,5.0,,,2.0,2.0,,,4.0,5.0,1.0,0.0,3.0,0.0,0.79,0.23,,,,,0.49,0.51,7.0,3.0,1.0,2.0,6.0,1.0,,,4.0,0.0,0.0,1.0,,,2.0,6.0,2.0,0.0,0.0,0.0
ddgZBTg4,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Hansa Rostock,Braunschweig,2,1,"[58, 90]",[69],bet365,3.4,2.2,3.0,bet365,2.9,3.4,2.4,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.53,1.3,1.4,bet365,11.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,10.0,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,26.0,bet365,29.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.75,1.43,bet365,1.57,2.35,bet365,1.26,3.7,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,Betano.br,28.0,13.5,1.03,Betano.br,15.0,8.0,1.12,Betano.br,6.5,4.65,1.4,bet365,1.53,4.33,4.75,Betano.br,1.21,6.5,10.5,Betano.br,1.06,11.0,22.0,2.75,1.29,,,,,,,,,0.64,0.36,0.9,0.73,,,,,,,,,21.0,8.0,3.0,2.0,18.0,6.0,,,,,,,,,,,,,8.0,6.0,11.0,15.0,18.0,13.0,11.0,10.0,2.0,3.0,0.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,0.18,0.13,,,,,0.62,0.38,4.0,2.0,0.0,1.0,4.0,1.0,,,2.0,4.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,0.0,2.57,1.16,,,,,0.66,0.34,17.0,6.0,3.0,1.0,14.0,5.0,,,6.0,2.0,1.0,1.0,,,7.0,5.0,3.0,0.0,0.0,1.0
Qyoj8ogT,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Kaiserslautern,Dusseldorf,0,3,[],"[17, 76, 89]",bet365,2.75,2.4,3.4,bet365,2.15,3.8,3.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.36,1.25,1.67,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,11.0,bet365,8.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.8,1.25,bet365,3.1,1.35,bet365,2.1,1.7,bet365,1.4,2.85,bet365,1.18,4.8,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,16.5,10.0,1.09,Betano.br,8.0,6.1,1.26,bet365,3.75,4.33,1.67,Betano.br,1.42,4.9,5.8,Betano.br,1.15,7.9,12.5,Betano.br,1.04,12.5,24.0,2.13,2.04,,,,,,,,,0.45,0.55,0.83,0.9,,,,,,,,,15.0,12.0,4.0,6.0,11.0,6.0,,,,,,,,,,,,,6.0,3.0,15.0,12.0,11.0,17.0,11.0,12.0,1.0,3.0,1.0,0.0,3.0,2.0,3.0,4.0,,,,,,,,,,,,,1.16,0.36,,,,,0.48,0.52,7.0,4.0,2.0,1.0,5.0,3.0,,,3.0,1.0,0.0,3.0,7.0,8.0,0.0,1.0,0.0,2.0,0.97,1.68,,,,,0.42,0.58,8.0,8.0,2.0,5.0,6.0,3.0,,,3.0,2.0,1.0,0.0,,,4.0,4.0,3.0,1.0,3.0,2.0
nonn9RwN,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Magdeburg,Arminia Bielefeld,4,0,"[38, 45, 51, 67]",[],bet365,3.5,2.63,2.4,bet365,3.2,4.5,1.95,bet365,1.2,4.33,bet365,1.9,1.9,bet365,4.0,1.22,bet365,1.01,26.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.73,2.0,bet365,2.63,1.44,bet365,1.33,3.25,bet365,1.8,1.18,1.36,bet365,29.0,bet365,15.0,bet365,15.0,bet365,21.0,bet365,21.0,bet365,10.0,bet365,9.5,bet365,13.0,bet365,23.0,bet365,12.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,26.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,5.25,1.16,bet365,3.1,1.35,bet365,1.9,1.95,bet365,1.5,2.5,bet365,1.35,3.1,bet365,1.17,5.0,bet365,1.14,5.75,Betano.br,23.0,13.0,1.04,Betano.br,13.0,8.5,1.13,Betano.br,6.2,5.5,1.35,bet365,1.8,4.5,3.1,Betano.br,1.38,5.6,5.6,Betano.br,1.15,8.5,11.0,2.62,0.34,,,,,,,,,0.64,0.36,0.89,0.78,,,,,,,,,17.0,7.0,8.0,3.0,9.0,4.0,,,,,,,,,,,,,7.0,4.0,13.0,13.0,19.0,21.0,10.0,14.0,2.0,1.0,,,2.0,1.0,3.0,4.0,,,,,,,,,,,,,1.89,0.19,,,,,0.69,0.31,11.0,2.0,4.0,1.0,7.0,1.0,,,4.0,3.0,2.0,1.0,5.0,10.0,0.0,1.0,1.0,2.0,0.73,0.15,,,,,0.59,0.41,6.0,5.0,4.0,2.0,2.0,3.0,,,3.0,1.0,,,,,5.0,4.0,2.0,0.0,2.0,2.0
0UaQDkPi,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Paderborn,Nurnberg,0,1,[],[20],bet365,2.38,2.5,3.75,bet365,1.85,4.2,3.6,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.44,2.63,bet365,1.29,1.22,1.91,bet365,21.0,bet365,17.0,bet365,23.0,bet365,41.0,bet365,12.0,bet365,8.5,bet365,13.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,17.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.1,1.35,bet365,2.42,1.52,bet365,1.9,1.95,bet365,1.32,3.3,bet365,1.1,6.8,bet365,1.1,6.8,,0.0,0.0,,0.0,0.0,Betano.br,12.5,8.5,1.13,Betano.br,6.1,5.5,1.36,bet365,3.0,4.33,1.91,Betano.br,1.31,5.5,7.2,Betano.br,1.1,9.0,15.5,Betano.br,1.03,14.0,27.0,1.89,1.09,,,,,,,,,0.62,0.38,0.86,0.75,,,,,,,,,23.0,12.0,5.0,4.0,18.0,8.0,,,,,,,,,,,,,6.0,1.0,11.0,17.0,23.0,18.0,15.0,11.0,2.0,2.0,,,1.0,2.0,3.0,5.0,,,,,,,,,,,,,0.97,0.64,,,,,0.63,0.37,14.0,5.0,3.0,2.0,11.0,3.0,,,3.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,1.0,3.0,0.92,0.45,,,,,0.61,0.39,9.0,7.0,2.0,2.0,7.0,5.0,,,3.0,1.0,2.0,1.0,,,12.0,5.0,1.0,1.0,2.0,2.0
U9isA7OG,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Regensburg,Heidenheim,2,3,"[51, 57]","[58, 90, 90]",bet365,5.0,2.4,2.1,bet365,5.5,4.0,1.62,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.67,2.1,bet365,2.25,1.22,1.14,bet365,13.0,bet365,8.5,bet365,8.5,bet365,12.0,bet365,17.0,bet365,7.5,bet365,8.5,bet365,12.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,2.3,1.6,bet365,1.82,2.02,bet365,1.5,2.5,bet365,1.24,3.9,bet365,1.18,4.65,,0.0,0.0,0.0,Betano.br,29.0,12.5,1.04,Betano.br,14.0,7.1,1.15,bet365,2.25,3.75,2.5,Betano.br,1.55,4.55,4.55,Betano.br,1.21,6.9,9.25,1.25,3.37,,,,,,,,,0.5,0.5,0.75,0.78,,,,,,,,,10.0,20.0,5.0,11.0,5.0,9.0,,,,,,,,,,,,,5.0,4.0,11.0,20.0,14.0,16.0,21.0,11.0,6.0,0.0,,,2.0,1.0,8.0,3.0,,,,,,,,,,,,,0.63,0.42,,,,,0.55,0.45,7.0,4.0,3.0,1.0,4.0,3.0,,,3.0,2.0,1.0,0.0,8.0,5.0,2.0,1.0,1.0,3.0,0.62,2.95,,,,,0.45,0.55,3.0,16.0,2.0,10.0,1.0,6.0,,,2.0,2.0,5.0,0.0,,,13.0,6.0,0.0,0.0,7.0,0.0
jJhwBm9A,GERMANY,2022-2023,2 Bundesliga 2022 2023,GERMANY 2,28/05/2023,10:30,Round 34,Sandhausen,Hamburger SV,0,1,[],[3],bet365,6.5,2.88,1.73,bet365,10.0,5.75,1.29,bet365,1.2,4.33,bet365,1.98,1.82,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.57,2.25,bet365,3.5,1.14,1.06,bet365,23.0,bet365,12.0,bet365,9.5,bet365,10.0,bet365,29.0,bet365,12.0,bet365,8.5,bet365,10.0,bet365,41.0,bet365,23.0,bet365,17.0,bet365,19.0,bet365,81.0,bet365,51.0,bet365,41.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.45,1.3,bet365,2.75,1.43,bet365,2.05,1.8,bet365,1.63,2.25,bet365,1.43,2.75,,0.0,0.0,0.0,Betano.br,35.0,15.0,1.02,Betano.br,21.0,9.75,1.07,Betano.br,3.75,4.15,1.75,bet365,1.95,4.5,2.88,Betano.br,1.45,5.3,5.0,0.59,0.86,,,,,,,,,0.5,0.5,0.76,0.76,,,,,,,,,8.0,11.0,1.0,3.0,7.0,8.0,,,,,,,,,,,,,2.0,8.0,10.0,8.0,31.0,18.0,8.0,10.0,1.0,3.0,,,0.0,0.0,2.0,1.0,,,,,,,,,,,,,0.4,0.78,,,,,0.48,0.52,5.0,9.0,0.0,2.0,5.0,7.0,,,1.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.19,0.08,,,,,0.53,0.47,3.0,2.0,1.0,1.0,2.0,1.0,,,1.0,2.0,1.0,2.0,,,8.0,4.0,0.0,0.0,1.0,1.0
