Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
EFSOrdgl,GREECE,2023-2024,Super League 2023 2024,GREECE 1,19/05/2024,14:00,Championship Group,AEK Athens,Lamia,3,0,"[20, 40, 90]",[],bet365,1.22,4.75,19.0,bet365,1.04,15.0,34.0,bet365,1.1,7.0,bet365,1.53,2.38,bet365,2.63,1.44,,0.0,0.0,bet365,1.03,15.0,bet365,1.14,5.5,bet365,1.4,2.75,bet365,1.83,1.83,bet365,2.2,1.62,bet365,1.01,1.03,13.0,bet365,34.0,bet365,81.0,bet365,201.0,Betfair,201.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,251.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,126.0,bet365,8.0,bet365,13.0,bet365,41.0,bet365,101.0,bet365,1.43,2.75,bet365,1.2,4.4,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,1.91,4.75,2.75,Betano.br,1.47,5.1,4.65,Betano.br,1.19,6.8,9.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.67,0.14,,,,,,,,,0.66,0.34,,,,,,,,,,,21.0,4.0,6.0,1.0,9.0,2.0,6.0,1.0,,,,,,,,,,,9.0,5.0,12.0,16.0,18.0,17.0,12.0,12.0,1.0,1.0,,,4.0,0.0,1.0,3.0,,,,,,,,,,,,,0.97,0.0,,,,,0.67,0.33,11.0,1.0,4.0,0.0,5.0,1.0,,,4.0,2.0,0.0,1.0,5.0,7.0,4.0,0.0,0.0,2.0,0.7,0.14,,,,,0.65,0.35,10.0,3.0,2.0,1.0,4.0,1.0,,,5.0,3.0,1.0,0.0,,,7.0,5.0,0.0,0.0,1.0,1.0
8xSSsG8f,GREECE,2023-2024,Super League 2023 2024,GREECE 1,19/05/2024,14:00,Championship Group,Aris,PAOK,1,2,[47],"[30, 62]",bet365,5.5,2.38,2.1,bet365,5.25,4.1,1.57,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.8,1.95,bet365,2.3,1.22,1.17,bet365,13.0,bet365,7.5,bet365,8.0,bet365,12.0,bet365,15.0,bet365,8.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,17.0,bet365,17.0,bet365,23.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,2.35,1.58,bet365,1.85,2.0,bet365,1.5,2.5,bet365,1.23,4.0,bet365,1.18,4.8,,0.0,0.0,0.0,Betano.br,21.0,10.0,1.06,Betano.br,10.0,6.0,1.21,bet365,2.3,3.75,2.5,Betano.br,1.45,4.75,5.2,Betano.br,1.16,7.4,10.75,0.86,0.95,,,,,,,,,0.5,0.5,,,,,,,,,,,16.0,3.0,3.0,2.0,6.0,1.0,7.0,0.0,,,,,,,,,,,1.0,2.0,16.0,15.0,21.0,27.0,13.0,16.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,0.22,0.67,,,,,0.46,0.54,6.0,2.0,1.0,1.0,3.0,1.0,,,0.0,1.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,1.0,0.64,0.28,,,,,0.54,0.46,10.0,1.0,2.0,1.0,3.0,0.0,,,1.0,1.0,3.0,3.0,0.0,1.0,6.0,8.0,1.0,0.0,0.0,1.0
MuWWtzO0,GREECE,2023-2024,Super League 2023 2024,GREECE 1,19/05/2024,14:00,Championship Group,Panathinaikos,Olympiacos Piraeus,2,2,"[45, 59]","[73, 81]",bet365,3.4,2.25,3.0,bet365,2.88,3.5,2.35,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.57,1.29,1.4,bet365,13.0,bet365,10.0,bet365,13.0,bet365,23.0,bet365,11.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,15.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,1.6,2.3,bet365,1.28,3.55,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,13.5,7.5,1.13,Betano.br,5.9,4.5,1.44,bet365,1.57,4.33,4.5,Betano.br,1.19,6.5,10.5,Betano.br,1.05,10.75,21.0,2.17,1.04,,,,,,,,,0.53,0.47,,,,,,,,,,,11.0,9.0,6.0,3.0,4.0,4.0,1.0,2.0,,,,,,,,,,,8.0,2.0,14.0,14.0,17.0,27.0,12.0,14.0,3.0,5.0,0.0,1.0,2.0,0.0,1.0,4.0,,,,,,,,,,,,,1.39,0.31,,,,,0.56,0.44,8.0,3.0,5.0,1.0,2.0,1.0,,,5.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,1.0,4.0,0.78,0.73,,,,,0.5,0.5,3.0,6.0,1.0,2.0,2.0,3.0,,,3.0,1.0,2.0,5.0,0.0,1.0,8.0,9.0,2.0,0.0,0.0,0.0
6gBdkbGK,GREECE,2023-2024,Super League 2023 2024,GREECE 1,15/05/2024,14:00,Championship Group,Olympiacos Piraeus,AEK Athens,2,0,"[65, 90]",[],bet365,3.25,2.38,2.75,bet365,2.9,3.6,2.25,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.62,1.29,1.4,bet365,17.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,13.0,bet365,7.5,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.85,1.4,bet365,1.63,2.25,bet365,1.3,3.45,bet365,1.23,4.1,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,12.0,7.3,1.15,Betano.br,5.5,4.6,1.45,bet365,1.62,4.33,4.0,Betano.br,1.22,6.3,8.75,Betano.br,1.07,10.0,17.5,0.66,0.87,,,,,,,,,0.5,0.51,,,,,,,,,,,19.0,11.0,6.0,4.0,9.0,4.0,4.0,3.0,,,,,,,,,,,7.0,2.0,13.0,14.0,25.0,22.0,10.0,11.0,2.0,0.0,,,4.0,2.0,4.0,4.0,,,,,,,,,,,,,0.41,0.49,,,,,0.5,0.5,9.0,5.0,3.0,1.0,4.0,3.0,,,3.0,1.0,,,3.0,5.0,1.0,2.0,1.0,3.0,0.25,0.38,,,,,0.49,0.51,10.0,6.0,3.0,3.0,5.0,1.0,,,4.0,1.0,2.0,0.0,,,7.0,6.0,3.0,0.0,3.0,1.0
ppA0lIVQ,GREECE,2023-2024,Super League 2023 2024,GREECE 1,15/05/2024,14:00,Championship Group,PAOK,Panathinaikos,4,1,"[37, 72, 89, 90]",[78],bet365,2.25,2.38,4.5,bet365,1.7,3.9,4.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.67,2.1,bet365,1.18,1.25,2.1,bet365,15.0,bet365,15.0,bet365,23.0,bet365,51.0,bet365,9.0,bet365,7.5,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.0,7.5,1.15,Betano.br,5.5,4.85,1.42,bet365,2.88,3.75,2.1,Betano.br,1.22,5.9,9.75,Betano.br,1.06,10.0,20.0,,0.0,0.0,0.0,2.21,0.76,,,,,,,,,0.27,0.73,,,,,,,,,,,8.0,5.0,7.0,4.0,0.0,0.0,1.0,1.0,,,,,,,,,,,4.0,2.0,9.0,9.0,18.0,19.0,9.0,9.0,2.0,3.0,,,1.0,0.0,3.0,3.0,,,,,,,,,,,,,0.08,0.53,,,,,0.26,0.74,2.0,2.0,2.0,1.0,0.0,0.0,,,1.0,0.0,,,6.0,4.0,1.0,0.0,1.0,1.0,2.13,0.23,,,,,0.28,0.72,6.0,3.0,5.0,3.0,0.0,0.0,,,3.0,2.0,2.0,3.0,,,3.0,5.0,0.0,0.0,2.0,2.0
zPTKqxvr,GREECE,2023-2024,Super League 2023 2024,GREECE 1,15/05/2024,12:00,Championship Group,Lamia,Aris,2,4,"[35, 44]","[46, 76, 78, 89]",bet365,3.6,2.4,2.63,bet365,3.2,3.8,2.05,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.73,1.25,1.36,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,15.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,19.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,23.0,bet365,26.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,6.4,1.12,bet365,5.75,1.14,bet365,3.1,1.35,bet365,1.78,2.03,bet365,1.4,2.85,bet365,1.28,3.55,bet365,1.12,6.4,bet365,1.1,7.0,Betano.br,28.0,14.5,1.04,Betano.br,15.0,8.75,1.13,Betano.br,6.6,5.2,1.38,bet365,1.73,4.33,3.6,Betano.br,1.3,6.0,7.6,Betano.br,1.1,9.75,16.0,1.46,1.49,,,,,,,,,0.51,0.49,,,,,,,,,,,11.0,10.0,7.0,5.0,4.0,4.0,0.0,1.0,,,,,,,,,,,3.0,2.0,19.0,16.0,17.0,10.0,15.0,18.0,3.0,4.0,,,1.0,1.0,1.0,5.0,,,,,,,,,,,,,0.19,1.35,,,,,0.56,0.44,8.0,3.0,5.0,0.0,3.0,3.0,,,3.0,1.0,2.0,2.0,8.0,6.0,1.0,0.0,0.0,3.0,1.27,0.14,,,,,0.46,0.54,3.0,7.0,2.0,5.0,1.0,1.0,,,0.0,1.0,1.0,2.0,,,7.0,12.0,0.0,1.0,1.0,2.0
21hAw1H8,GREECE,2023-2024,Super League 2023 2024,GREECE 1,12/05/2024,14:00,Championship Group,PAOK,Olympiacos Piraeus,2,0,"[26, 65]",[],bet365,2.6,2.3,3.75,bet365,2.0,3.6,3.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.29,1.29,1.8,bet365,13.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,9.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,19.0,bet365,15.0,bet365,21.0,bet365,41.0,,0.0,0.0,bet365,6.6,1.11,bet365,3.55,1.28,bet365,2.75,1.43,bet365,2.03,1.83,bet365,1.33,3.3,bet365,1.13,6.0,bet365,1.11,7.0,,0.0,0.0,,0.0,0.0,Betano.br,16.0,9.25,1.09,Betano.br,7.9,5.8,1.27,bet365,3.6,4.0,1.8,Betano.br,1.32,4.9,7.5,Betano.br,1.09,8.5,17.0,,0.0,0.0,0.0,1.0,0.43,,,,,,,,,0.42,0.58,,,,,,,,,,,10.0,10.0,2.0,4.0,4.0,3.0,4.0,3.0,,,,,,,,,,,3.0,3.0,14.0,14.0,27.0,28.0,10.0,12.0,3.0,4.0,,,4.0,2.0,4.0,0.0,,,,,,,,,,,,,0.18,0.28,,,,,0.44,0.56,5.0,6.0,1.0,1.0,1.0,3.0,,,1.0,2.0,,,4.0,3.0,3.0,1.0,1.0,0.0,0.82,0.15,,,,,0.38,0.62,5.0,4.0,1.0,3.0,3.0,0.0,,,2.0,1.0,3.0,4.0,,,6.0,9.0,1.0,1.0,3.0,0.0
Cxc0im2d,GREECE,2023-2024,Super League 2023 2024,GREECE 1,11/05/2024,14:00,Relegation Group,Atromitos,Asteras Tripolis,0,1,[],[70],bet365,2.88,2.2,3.75,bet365,2.15,3.4,3.3,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.75,2.0,bet365,1.33,1.3,1.67,bet365,10.0,bet365,10.0,bet365,17.0,bet365,34.0,bet365,8.0,bet365,6.5,bet365,12.0,bet365,26.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,3.1,1.35,bet365,2.08,1.73,bet365,1.33,3.3,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,18.0,9.75,1.07,Betano.br,9.0,5.9,1.24,bet365,4.0,4.0,1.67,Betano.br,1.33,4.8,7.6,Betano.br,1.09,8.5,18.0,,0.0,0.0,0.0,0.21,1.07,,,,,,,,,0.51,0.49,,,,,,,,,,,7.0,11.0,4.0,5.0,3.0,5.0,0.0,1.0,,,,,,,,,,,1.0,4.0,20.0,18.0,22.0,16.0,13.0,19.0,0.0,2.0,,,5.0,1.0,4.0,4.0,,,,,,,,,,,,,0.18,0.45,,,,,0.49,0.51,4.0,7.0,2.0,3.0,2.0,3.0,,,1.0,3.0,0.0,1.0,3.0,10.0,3.0,0.0,3.0,2.0,0.03,0.62,,,,,0.53,0.47,3.0,4.0,2.0,2.0,1.0,2.0,,,0.0,1.0,0.0,1.0,,,10.0,9.0,2.0,1.0,1.0,2.0
EsyqGWvc,GREECE,2023-2024,Super League 2023 2024,GREECE 1,11/05/2024,14:00,Relegation Group,Giannina,Volos,1,1,[56],[89],bet365,2.75,2.3,3.5,bet365,2.2,3.4,3.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.36,1.3,1.67,bet365,13.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,10.0,bet365,6.5,bet365,11.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,21.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,3.3,1.33,bet365,2.2,1.65,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.25,1.07,Betano.br,9.25,6.2,1.22,bet365,4.0,4.33,1.67,Betano.br,1.39,4.7,6.3,Betano.br,1.12,7.9,14.0,,0.0,0.0,0.0,2.36,0.66,,,,,,,,,0.45,0.55,,,,,,,,,,,10.0,8.0,5.0,4.0,5.0,2.0,0.0,2.0,,,,,,,,,,,6.0,2.0,9.0,14.0,26.0,27.0,13.0,9.0,,,,,1.0,0.0,3.0,4.0,,,,,,,,,,,,,0.89,0.01,,,,,0.45,0.55,3.0,1.0,2.0,0.0,1.0,1.0,,,2.0,1.0,,,8.0,4.0,0.0,0.0,0.0,2.0,1.47,0.65,,,,,0.45,0.55,7.0,7.0,3.0,4.0,4.0,1.0,,,4.0,1.0,,,,,5.0,5.0,1.0,0.0,3.0,2.0
M7viEA99,GREECE,2023-2024,Super League 2023 2024,GREECE 1,11/05/2024,14:00,Relegation Group,OFI Crete,Panetolikos,1,2,[65],"[6, 46]",bet365,2.63,2.3,3.75,bet365,2.05,3.5,3.4,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.3,1.29,1.73,bet365,13.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,9.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,12.0,bet365,29.0,bet365,19.0,bet365,15.0,bet365,23.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.05,1.75,bet365,1.33,3.3,bet365,1.13,6.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.25,1.08,Betano.br,8.0,5.7,1.27,bet365,3.75,4.0,1.73,Betano.br,1.33,5.0,7.2,Betano.br,1.1,8.5,16.0,,0.0,0.0,0.0,1.58,0.92,,,,,,,,,0.52,0.48,,,,,,,,,,,15.0,10.0,5.0,4.0,3.0,2.0,7.0,4.0,,,,,,,,,,,3.0,3.0,9.0,16.0,12.0,10.0,12.0,7.0,1.0,1.0,,,4.0,2.0,2.0,4.0,,,,,,,,,,,,,0.4,0.38,,,,,0.51,0.49,6.0,6.0,2.0,3.0,2.0,0.0,,,1.0,3.0,0.0,1.0,5.0,6.0,1.0,1.0,2.0,2.0,1.18,0.54,,,,,0.53,0.47,9.0,4.0,3.0,1.0,1.0,2.0,,,2.0,0.0,1.0,0.0,,,7.0,1.0,3.0,1.0,0.0,2.0
