Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
EeWbwVDc,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,08/10/2023,11:00,Championship Group,Breidablik,Stjarnan,0,2,[],"[14, 56]",Betfair,2.7,2.5,2.88,Betfair,2.25,4.1,2.25,Betano.br,1.2,4.1,Betano.br,1.88,1.85,Betano.br,3.5,1.26,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.73,2.0,Betfair,2.75,1.4,Betfair,1.22,3.7,Betfair,1.5,1.17,1.53,Betfair,23.0,Betfair,15.0,Betfair,18.0,Betfair,26.0,Betfair,15.0,Betfair,7.5,Betfair,9.0,Betfair,13.0,Betfair,15.0,Betfair,8.0,Betfair,7.5,Betfair,12.0,Betfair,23.0,Betfair,12.0,Betfair,12.0,Betfair,15.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.15,1.65,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,14.0,9.75,1.09,Betano.br,7.5,6.4,1.25,Betano.br,3.9,4.6,1.62,Betano.br,1.52,4.8,4.45,Betano.br,1.21,6.9,8.5,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,9.0,6.0,4.0,2.0,5.0,4.0,,,,,,,,,,,,,6.0,3.0,,,,,,,2.0,1.0,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,0.53,0.47,2.0,3.0,2.0,1.0,0.0,2.0,,,2.0,2.0,2.0,1.0,,,,,0.0,2.0,,,,,,,0.61,0.39,7.0,3.0,2.0,1.0,5.0,2.0,,,4.0,1.0,,,,,,,,,0.0,2.0
h6Zc95H7,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,07/10/2023,11:00,Relegation Group,Fylkir,Fram,5,1,"[26, 36, 45, 54, 90]",[39],Betfair,2.5,2.4,3.4,Betfair,2.0,3.75,2.9,Betano.br,1.25,3.6,Betano.br,2.05,1.72,Betano.br,4.0,1.21,Betfair,1.01,17.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.33,3.0,Betfair,1.33,1.2,1.67,Betfair,17.0,Betfair,14.0,Betfair,18.0,Betfair,26.0,Betfair,11.0,Betfair,6.5,Betfair,9.0,Betfair,15.0,Betfair,12.0,Betfair,7.0,Betfair,8.0,Betfair,15.0,Betfair,17.0,Betfair,11.0,Betfair,12.0,Betfair,21.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.07,1.7,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,14.5,9.5,1.09,Betano.br,7.5,6.1,1.26,Betano.br,3.8,4.2,1.7,Betano.br,1.4,4.9,5.9,Betano.br,1.14,7.8,12.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,,,,,,,,,,,19.0,10.0,9.0,1.0,10.0,9.0,,,,,,,,,,,,,6.0,4.0,,,,,,,2.0,0.0,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,0.52,0.48,11.0,4.0,5.0,1.0,6.0,3.0,,,3.0,3.0,1.0,0.0,,,,,0.0,2.0,,,,,,,0.66,0.34,8.0,6.0,4.0,0.0,4.0,6.0,,,3.0,1.0,1.0,0.0,,,,,,,0.0,2.0
8EHpX89E,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,07/10/2023,11:00,Relegation Group,KA Akureyri,Kopavogur,1,0,[35],[],Betfair,2.4,2.5,3.4,Betfair,1.95,3.9,2.88,Betano.br,1.24,3.7,Betano.br,2.02,1.75,Betano.br,3.9,1.21,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.33,3.0,Betfair,1.33,1.17,1.67,Betfair,18.0,Betfair,15.0,Betfair,18.0,Betfair,34.0,Betfair,11.0,Betfair,7.0,Betfair,9.5,Betfair,15.0,Betfair,11.0,Betfair,7.0,Betfair,8.0,Betfair,15.0,Betfair,17.0,Betfair,10.0,Betfair,12.0,Betfair,20.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.07,1.7,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,14.0,9.25,1.1,Betano.br,7.3,6.1,1.27,Betano.br,3.75,4.3,1.7,Betano.br,1.42,4.9,5.4,Betano.br,1.15,7.5,11.25,,0.0,0.0,0.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,11.0,1.0,3.0,0.0,8.0,1.0,,,,,,,,,,,,,4.0,2.0,,,,,,,1.0,0.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.48,0.52,6.0,0.0,1.0,0.0,5.0,0.0,,,3.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,,,,0.38,0.62,5.0,1.0,2.0,0.0,3.0,1.0,,,1.0,2.0,,,,,,,,,0.0,2.0
fBDtYlf8,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,07/10/2023,11:00,Relegation Group,Vestmannaeyjar,Keflavik,1,1,[69],[51],Betfair,1.62,2.88,7.0,Betfair,1.2,6.0,9.0,Betano.br,1.19,4.15,Betano.br,1.85,1.88,Betano.br,3.45,1.26,,0.0,0.0,Betfair,1.06,7.5,Betfair,1.29,3.3,Betfair,1.8,1.91,Betfair,2.88,1.36,Betfair,1.57,2.25,Betfair,1.05,1.08,3.75,Betfair,26.0,Betfair,34.0,Betfair,61.0,Betfair,126.0,Betfair,9.0,Betfair,10.0,Betfair,21.0,Betfair,56.0,Betfair,7.0,Betfair,7.0,Betfair,13.0,Betfair,41.0,Betfair,7.5,Betfair,7.5,Betfair,13.0,Betfair,36.0,,0,0,Betano.br,2.0,1.75,Betano.br,1.65,2.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,4.25,5.1,1.52,Betano.br,2.5,4.25,2.2,Betano.br,1.65,4.4,3.85,Betano.br,1.08,9.0,17.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,14.0,4.0,6.0,3.0,8.0,1.0,,,,,,,,,,,,,6.0,3.0,,,,,,,1.0,3.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,0.52,0.48,2.0,1.0,1.0,0.0,1.0,1.0,,,2.0,1.0,0.0,1.0,,,,,0.0,1.0,,,,,,,0.6,0.4,12.0,3.0,5.0,3.0,7.0,0.0,,,4.0,2.0,1.0,2.0,,,,,,,2.0,4.0
bmlCFRLj,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,07/10/2023,11:00,Championship Group,Hafnarfjordur,KR Reykjavik,3,1,"[29, 55, 86]",[50],Betfair,2.75,2.4,3.0,Betfair,2.3,3.6,2.5,Betano.br,1.23,3.75,Betano.br,2.02,1.75,Betano.br,3.9,1.22,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.3,3.2,Betfair,1.44,1.22,1.5,Betfair,18.0,Betfair,13.0,Betfair,15.0,Betfair,26.0,Betfair,13.0,Betfair,7.0,Betfair,8.0,Betfair,13.0,Betfair,13.0,Betfair,8.0,Betfair,7.5,Betfair,14.0,Betfair,21.0,Betfair,12.0,Betfair,13.0,Betfair,19.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.25,1.6,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,15.5,10.0,1.08,Betano.br,8.0,6.4,1.23,Betano.br,4.1,4.45,1.6,Betano.br,1.5,4.7,4.75,Betano.br,1.19,7.0,9.75,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,7.0,4.0,4.0,1.0,3.0,3.0,,,,,,,,,,,,,5.0,8.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.51,0.49,2.0,2.0,1.0,0.0,1.0,2.0,,,2.0,4.0,,,,,,,0.0,0.0,,,,,,,0.37,0.63,5.0,2.0,3.0,1.0,2.0,1.0,,,3.0,4.0,,,,,,,,,0.0,1.0
z5XfvBbi,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,07/10/2023,11:00,Championship Group,Vikingur Reykjavik,Valur,5,1,"[35, 49, 53, 56, 79]",[8],Betfair,1.91,2.7,4.33,Betfair,1.5,4.6,4.6,Betano.br,1.18,4.35,Betano.br,1.78,1.98,Betano.br,3.25,1.3,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.22,3.8,Betfair,1.65,2.1,Betfair,2.55,1.44,Betfair,1.29,3.3,Betfair,1.14,1.14,2.4,Betfair,26.0,Betfair,23.0,Betfair,34.0,Betfair,61.0,Betfair,12.0,Betfair,9.0,Betfair,13.0,Betfair,23.0,Betfair,10.0,Betfair,7.0,Betfair,9.0,Betfair,20.0,Betfair,12.0,Betfair,8.5,Betfair,10.0,Betfair,20.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.83,1.91,,0.0,0.0,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,7.1,6.6,1.25,Betano.br,3.9,4.85,1.6,Betano.br,2.32,4.15,2.4,Betano.br,1.2,6.7,9.25,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.64,0.36,,,,,,,,,,,20.0,6.0,13.0,2.0,7.0,4.0,,,,,,,,,,,,,10.0,3.0,,,,,,,1.0,2.0,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,0.61,0.39,10.0,1.0,7.0,1.0,3.0,0.0,,,5.0,0.0,1.0,1.0,,,,,0.0,6.0,,,,,,,0.67,0.33,10.0,5.0,6.0,1.0,4.0,4.0,,,5.0,3.0,0.0,1.0,,,,,,,1.0,2.0
Kdk8G76p,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,02/10/2023,16:15,Championship Group,Stjarnan,Vikingur Reykjavik,3,1,"[5, 7, 61]",[78],Betfair,2.88,2.4,2.88,Betfair,2.5,3.8,2.3,Betano.br,1.27,3.45,Betano.br,2.15,1.65,Betano.br,4.25,1.18,Betfair,1.01,17.0,Betfair,1.08,6.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,1.33,3.0,Betfair,1.53,1.2,1.44,Betfair,15.0,Betfair,12.0,Betfair,13.0,Betfair,21.0,Betfair,12.0,Betfair,6.5,Betfair,8.0,Betfair,13.0,Betfair,14.0,Betfair,8.0,Betfair,8.0,Betfair,14.0,Betfair,23.0,Betfair,13.0,Betfair,14.0,Betfair,21.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.6,2.25,,0,0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,10.0,6.9,1.18,Betano.br,4.8,4.55,1.52,Betano.br,1.55,4.45,4.55,Betano.br,1.2,6.7,9.5,Betano.br,1.06,10.5,18.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,11.0,17.0,9.0,7.0,2.0,10.0,,,,,,,,,,,,,6.0,7.0,,,,,,,1.0,3.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,0.48,0.52,2.0,13.0,2.0,5.0,0.0,8.0,,,1.0,2.0,0.0,1.0,,,,,5.0,0.0,,,,,,,0.38,0.62,9.0,4.0,7.0,2.0,2.0,2.0,,,5.0,5.0,1.0,2.0,,,,,,,1.0,6.0
2H2tLmbT,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,01/10/2023,16:15,Championship Group,Valur,Hafnarfjordur,4,1,"[8, 63, 66, 75]",[27],Betfair,2.5,2.5,3.25,Betfair,2.05,3.9,2.7,Betano.br,1.23,3.75,Betano.br,1.98,1.78,Betano.br,3.75,1.23,Betano.br,1.02,10.0,Betfair,1.07,7.0,Betfair,1.3,3.2,Betfair,1.85,1.85,Betfair,3.0,1.33,Betfair,1.29,3.2,Betfair,1.4,1.2,1.62,Betfair,19.0,Betfair,15.0,Betfair,18.0,Betfair,26.0,Betfair,12.0,Betfair,7.0,Betfair,9.0,Betfair,15.0,Betfair,13.0,Betfair,7.5,Betfair,8.0,Betfair,14.0,Betfair,19.0,Betfair,11.0,Betfair,12.0,Betfair,19.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.15,1.65,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,15.0,9.5,1.09,Betano.br,7.7,6.2,1.25,Betano.br,3.95,4.25,1.65,Betano.br,1.42,4.85,5.5,Betano.br,1.15,7.6,11.5,Betano.br,1.07,10.5,17.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,21.0,7.0,8.0,2.0,13.0,5.0,,,,,,,,,,,,,8.0,3.0,,,,,,,1.0,1.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,0.46,0.54,8.0,3.0,2.0,1.0,6.0,2.0,,,2.0,1.0,,,,,,,0.0,1.0,,,,,,,0.7,0.3,13.0,4.0,6.0,1.0,7.0,3.0,,,6.0,2.0,1.0,1.0,,,,,,,1.0,3.0
EFzfAo21,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,01/10/2023,14:00,Relegation Group,Fram,KA Akureyri,1,0,[54],[],Betfair,2.3,2.5,3.6,Betfair,1.83,4.0,3.1,Betano.br,1.22,3.9,Betano.br,1.93,1.8,Betano.br,3.65,1.24,,0.0,0.0,Betfair,1.06,7.5,Betfair,1.3,3.2,Betfair,1.85,1.85,Betfair,2.88,1.36,Betfair,1.29,3.2,Betfair,1.3,1.17,1.83,Betfair,21.0,Betfair,17.0,Betfair,21.0,Betfair,36.0,Betfair,12.0,Betfair,7.0,Betfair,10.0,Betfair,17.0,Betfair,12.0,Betfair,7.0,Betfair,8.0,Betfair,15.0,Betfair,15.0,Betfair,10.0,Betfair,11.0,Betfair,19.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.87,1.87,,0.0,0.0,,0,0,,0.0,0.0,,0,0,,0,0,Betano.br,11.0,8.25,1.14,Betano.br,5.8,5.5,1.36,Betano.br,3.1,4.2,1.88,Betano.br,1.33,5.4,6.4,Betano.br,1.12,8.5,13.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,7.0,5.0,3.0,0.0,4.0,5.0,,,,,,,,,,,,,3.0,3.0,,,,,,,2.0,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.46,0.54,5.0,2.0,2.0,0.0,3.0,2.0,,,0.0,2.0,1.0,1.0,,,,,0.0,2.0,,,,,,,0.56,0.44,2.0,3.0,1.0,0.0,1.0,3.0,,,3.0,1.0,1.0,1.0,,,,,,,0.0,0.0
6kyjBRne,ICELAND,2023,Besta Deild Karla 2023,ICELAND 1,01/10/2023,14:00,Relegation Group,Kopavogur,Vestmannaeyjar,0,1,[],[30],Betfair,3.0,2.3,2.8,Betfair,2.63,3.6,2.15,Betano.br,1.27,3.4,Betano.br,2.15,1.65,Betano.br,4.3,1.18,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.36,2.8,Betfair,1.57,1.22,1.4,Betfair,15.0,Betfair,11.0,Betfair,12.0,Betfair,21.0,Betfair,11.0,Betfair,6.5,Betfair,7.5,Betfair,12.0,Betfair,14.0,Betfair,8.0,Betfair,8.0,Betfair,15.0,Betfair,23.0,Betfair,14.0,Betfair,15.0,Betfair,23.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.7,2.07,,0,0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,12.5,7.8,1.14,Betano.br,5.9,5.0,1.39,Betano.br,1.72,4.15,3.75,Betano.br,1.27,5.9,7.5,Betano.br,1.09,9.25,15.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,18.0,8.0,11.0,3.0,7.0,5.0,,,,,,,,,,,,,5.0,2.0,,,,,,,3.0,2.0,,,,,2.0,11.0,,,,,,,,,,,,,,,,,,,0.52,0.48,6.0,4.0,3.0,2.0,3.0,2.0,,,3.0,0.0,1.0,1.0,,,,,1.0,3.0,,,,,,,0.58,0.42,12.0,4.0,8.0,1.0,4.0,3.0,,,2.0,2.0,2.0,1.0,,,,,,,1.0,8.0
