Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
h8SBpZOP,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,23/02/2026,15:30,Round 24,Netanya,Beitar Jerusalem,2,8,"[13, 45]","[17, 19, 45, 45, 45, 80, 88, 90]",bet365,3.5,2.5,2.5,bet365,3.1,3.6,1.95,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.73,1.25,1.33,bet365,19.0,bet365,12.0,bet365,13.0,bet365,19.0,bet365,17.0,bet365,8.0,bet365,9.0,bet365,15.0,bet365,21.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,23.0,bet365,23.0,bet365,29.0,,0.0,0.0,1xBet,11.5,1.01,bet365,6.4,1.12,bet365,5.75,1.14,bet365,3.3,1.33,bet365,1.8,2.0,bet365,1.43,2.75,bet365,1.3,3.45,bet365,1.13,5.9,bet365,1.11,6.8,BetEsporte,26.0,11.0,1.02,BetEsporte,14.0,8.2,1.09,Betano.br,6.6,5.2,1.34,bet365,1.73,4.33,3.4,Betano.br,1.31,5.6,6.7,BetEsporte,1.09,8.6,13.0,1.03,2.53,2.01,5.38,0.61,1.6,5.38,2.01,-2.62,0.01,0.46,0.54,0.77,0.83,0.34,0.41,0.67,0.67,0.0,1.0,0.5,0.36,8.0,18.0,5.0,12.0,1.0,5.0,2.0,1.0,5.0,11.0,3.0,7.0,1.0,6.0,0.0,0.0,20.0,21.0,3.0,2.0,14.0,15.0,23.0,24.0,15.0,14.0,3.0,1.0,,,1.0,0.0,4.0,3.0,0.61,0.57,49.0,57.0,11.0,24.0,10.0,13.0,0.0,0.0,0.0,0.0,0.83,1.75,1.33,3.09,0.41,1.05,0.51,0.49,6.0,10.0,4.0,7.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,8.0,10.0,0.0,0.0,2.0,2.0,0.2,0.78,0.68,2.29,0.2,0.55,0.42,0.58,2.0,8.0,1.0,5.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,,,7.0,4.0,1.0,0.0,2.0,1.0
UmMkwiHa,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,22/02/2026,15:15,Round 24,H. Beer Sheva,Hapoel Haifa,1,1,[23],[25],bet365,1.57,3.0,9.0,bet365,1.2,5.75,11.0,bet365,1.2,4.33,bet365,1.91,1.8,bet365,4.0,1.22,bet365,1.01,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,1.98,1.83,bet365,3.25,1.33,bet365,1.83,1.83,bet365,1.04,1.13,4.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,151.0,bet365,10.0,bet365,12.0,bet365,34.0,bet365,67.0,bet365,7.5,bet365,10.0,bet365,21.0,bet365,51.0,bet365,8.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,2.38,1.55,bet365,1.95,1.85,bet365,1.6,2.3,bet365,1.3,3.45,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.05,4.9,1.57,bet365,2.38,4.33,2.3,Betano.br,1.57,4.4,4.35,BetEsporte,1.04,9.4,24.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.87,2.1,0.74,1.86,0.75,1.0,1.86,0.74,0.86,-0.26,0.73,0.27,0.86,0.67,0.53,0.39,0.7,0.63,1.0,1.0,0.17,0.42,11.0,13.0,5.0,4.0,4.0,7.0,2.0,2.0,7.0,9.0,4.0,4.0,1.0,3.0,1.0,1.0,23.0,24.0,8.0,8.0,16.0,12.0,29.0,13.0,12.0,16.0,0.0,4.0,,,2.0,2.0,3.0,4.0,0.67,0.82,46.0,44.0,14.0,33.0,12.0,18.0,1.0,1.0,0.0,0.0,0.16,1.4,0.68,1.5,0.32,0.69,0.7,0.3,2.0,8.0,1.0,3.0,0.0,3.0,1.0,2.0,2.0,5.0,0.0,2.0,7.0,6.0,0.0,2.0,2.0,0.0,0.71,0.7,0.06,0.36,0.43,0.31,0.75,0.25,9.0,5.0,4.0,1.0,4.0,4.0,0.0,1.0,6.0,3.0,0.0,2.0,,,5.0,10.0,2.0,0.0,1.0,4.0
x0pPMVWI,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,21/02/2026,14:30,Round 24,Ironi Tiberias,Maccabi Bnei Raina,2,1,"[68, 90]",[74],bet365,2.63,2.25,3.75,bet365,2.0,3.3,3.1,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.33,1.3,1.67,bet365,12.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,8.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,19.0,bet365,17.0,bet365,23.0,bet365,41.0,1xBet,7.5,1.03,1xBet,7.88,1.08,bet365,3.9,1.24,bet365,3.1,1.35,bet365,2.08,1.73,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,BetEsporte,18.0,9.2,1.06,Betano.br,8.5,5.8,1.25,bet365,3.75,4.0,1.67,Betano.br,1.34,4.85,7.2,BetEsporte,1.08,8.2,17.0,BetEsporte,1.01,11.0,30.0,1.35,0.67,2.08,0.89,1.48,0.71,0.89,2.08,-0.11,0.08,0.57,0.43,0.83,0.76,0.51,0.4,0.69,0.6,2.0,0.0,0.24,0.24,15.0,5.0,5.0,2.0,8.0,1.0,2.0,2.0,11.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,20.0,19.0,6.0,2.0,9.0,7.0,21.0,22.0,7.0,9.0,1.0,2.0,,,2.0,1.0,1.0,2.0,0.4,0.75,34.0,29.0,20.0,25.0,7.0,10.0,0.0,0.0,0.0,0.0,0.45,0.35,0.0,0.02,0.36,0.26,0.53,0.47,6.0,4.0,1.0,1.0,5.0,1.0,2.0,0.0,3.0,1.0,,,3.0,4.0,2.0,1.0,1.0,0.0,0.9,0.32,2.08,0.87,1.12,0.45,0.61,0.39,9.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,,,4.0,5.0,0.0,0.0,0.0,2.0
8Kh8QDXg,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,21/02/2026,14:30,Round 24,Sakhnin,Hapoel Tel Aviv,0,0,[],[],bet365,5.5,2.2,2.25,bet365,4.75,3.4,1.65,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.83,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.91,1.8,bet365,2.1,1.29,1.17,bet365,9.5,bet365,6.5,bet365,7.5,bet365,13.0,bet365,13.0,bet365,7.0,bet365,8.5,bet365,15.0,bet365,26.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,1xBet,10.5,1.02,Betboom.br,9.76,1.01,bet365,5.0,1.17,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.4,2.85,bet365,1.17,5.0,bet365,1.13,5.9,BetEsporte,40.0,11.0,1.01,BetEsporte,28.0,9.8,1.03,Betano.br,11.75,5.9,1.2,bet365,2.1,3.6,2.88,Betano.br,1.38,4.85,6.2,BetEsporte,1.11,7.8,13.0,0.62,1.77,0.48,1.2,0.37,1.47,1.2,0.48,1.2,0.48,0.31,0.69,0.72,0.9,0.34,0.67,0.48,0.77,0.0,0.0,0.3,0.14,7.0,15.0,3.0,3.0,2.0,10.0,2.0,2.0,4.0,13.0,3.0,2.0,0.0,3.0,0.0,0.0,8.0,34.0,4.0,9.0,12.0,15.0,10.0,20.0,15.0,12.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.65,0.53,40.0,58.0,39.0,14.0,11.0,13.0,0.0,0.0,0.0,0.0,0.15,0.78,0.26,0.93,0.04,0.93,0.3,0.7,1.0,8.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,7.0,2.0,0.0,9.0,4.0,0.0,1.0,2.0,1.0,0.47,0.99,0.22,0.27,0.33,0.54,0.32,0.68,6.0,7.0,2.0,1.0,2.0,6.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,6.0,8.0,0.0,0.0,1.0,2.0
4nnHOi26,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,21/02/2026,13:30,Round 24,Hapoel Jerusalem,Kiryat Shmona,0,1,[],[57],bet365,3.4,2.05,3.25,bet365,2.6,3.0,2.5,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.44,1.33,1.44,bet365,8.5,bet365,8.0,bet365,12.0,bet365,26.0,bet365,8.0,bet365,6.0,bet365,10.0,bet365,23.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,26.0,bet365,23.0,bet365,34.0,bet365,51.0,Betboom.br,11.11,1.01,1xBet,11.0,1.01,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.68,1.45,bet365,1.5,2.5,bet365,1.2,4.4,bet365,1.15,5.5,1xBet,1.01,11.0,,0.0,0.0,BetEsporte,28.0,11.0,1.02,Estrelabet,12.0,6.0,1.11,Betano.br,5.8,4.15,1.47,bet365,1.44,4.33,5.5,Betano.br,1.14,7.1,13.5,BetEsporte,1.02,11.0,28.0,0.93,0.21,0.34,0.47,1.01,0.14,0.47,0.34,-0.53,-0.66,0.53,0.47,0.75,0.7,0.42,0.28,0.63,0.49,0.0,0.0,0.31,0.11,14.0,7.0,3.0,2.0,8.0,4.0,3.0,1.0,10.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,24.0,9.0,5.0,1.0,14.0,8.0,35.0,20.0,8.0,14.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,3.0,0.5,0.6,51.0,42.0,12.0,32.0,9.0,7.0,1.0,0.0,0.0,0.0,0.51,0.05,0.1,0.0,0.55,0.06,0.42,0.58,7.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,9.0,0.0,1.0,0.0,2.0,0.42,0.16,0.24,0.47,0.46,0.08,0.65,0.35,7.0,4.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0
M3f0SZ2s,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,21/02/2026,12:30,Round 24,Maccabi Haifa,Hapoel Petah Tikva,0,1,[],[59],bet365,2.1,2.5,5.0,bet365,1.57,3.75,4.75,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.62,2.2,bet365,1.17,1.22,2.2,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,9.0,bet365,8.0,bet365,17.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,13.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.5,1.19,bet365,3.9,1.24,bet365,2.5,1.5,bet365,2.0,1.8,bet365,1.6,2.3,bet365,1.18,4.8,1xBet,1.06,7.61,1xBet,1.06,8.22,,0.0,0.0,,0.0,0.0,Betano.br,9.25,7.0,1.19,Betano.br,4.75,4.7,1.5,bet365,2.6,4.0,2.2,Betano.br,1.2,6.3,10.5,BetEsporte,1.03,10.0,24.0,BetEsporte,1.01,12.0,35.0,1.64,0.51,0.4,0.83,1.53,0.58,0.83,0.4,-0.17,0.4,0.54,0.46,0.78,0.79,0.57,0.47,0.67,0.7,1.0,1.0,0.38,0.17,20.0,7.0,5.0,3.0,8.0,2.0,7.0,2.0,16.0,2.0,4.0,5.0,4.0,2.0,0.0,0.0,35.0,12.0,8.0,3.0,8.0,12.0,28.0,8.0,12.0,8.0,3.0,1.0,,,2.0,1.0,2.0,5.0,0.91,0.77,30.0,43.0,14.0,26.0,8.0,12.0,0.0,1.0,1.0,0.0,0.7,0.12,0.19,0.05,0.53,0.23,0.5,0.5,9.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,6.0,6.0,1.0,1.0,1.0,3.0,0.94,0.39,0.21,0.78,1.0,0.35,0.57,0.43,11.0,4.0,2.0,2.0,5.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0,,,6.0,2.0,1.0,0.0,1.0,2.0
8YXtuDnm,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,21/02/2026,10:00,Round 24,Maccabi Tel Aviv,SC Ashdod,3,2,"[26, 42, 49]","[37, 57]",bet365,1.67,2.88,8.0,bet365,1.25,5.0,8.5,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.8,1.91,bet365,1.07,1.14,3.5,bet365,19.0,bet365,26.0,bet365,51.0,bet365,101.0,bet365,9.5,bet365,11.0,bet365,26.0,bet365,51.0,bet365,7.5,bet365,9.0,bet365,19.0,bet365,51.0,bet365,8.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,2.75,1.43,bet365,2.25,1.63,bet365,1.75,2.05,bet365,1.4,2.85,bet365,1.27,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.3,5.3,1.4,bet365,2.88,4.33,2.0,Betano.br,1.8,4.0,3.5,BetEsporte,1.06,8.6,20.0,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,2.3,1.72,4.81,0.84,0.69,0.91,0.84,4.81,-1.16,1.81,0.54,0.46,0.78,0.77,0.38,0.43,0.61,0.51,0.0,0.0,0.2,0.58,13.0,13.0,10.0,3.0,3.0,5.0,0.0,5.0,11.0,8.0,2.0,5.0,5.0,3.0,0.0,1.0,20.0,17.0,3.0,3.0,14.0,11.0,15.0,21.0,11.0,14.0,2.0,3.0,,,0.0,1.0,1.0,7.0,0.68,0.56,62.0,31.0,22.0,8.0,9.0,11.0,0.0,1.0,0.0,0.0,1.88,0.69,3.06,0.07,0.25,0.48,0.58,0.42,8.0,6.0,6.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,0.0,1.0,7.0,5.0,0.0,1.0,0.0,4.0,0.42,1.03,1.75,0.77,0.44,0.43,0.49,0.51,5.0,7.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,,,4.0,9.0,0.0,0.0,1.0,3.0
lCHhWr4F,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,16/02/2026,15:30,Round 23,Beitar Jerusalem,Maccabi Tel Aviv,0,0,[],[],bet365,3.2,2.5,2.75,bet365,2.8,3.5,2.2,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.57,1.25,1.36,bet365,19.0,bet365,13.0,bet365,15.0,bet365,23.0,bet365,15.0,bet365,7.5,bet365,9.5,bet365,15.0,bet365,19.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,29.0,bet365,21.0,bet365,23.0,bet365,29.0,1xBet,10.5,1.01,1xBet,9.7,1.02,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.85,1.4,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.24,3.9,1xBet,1.09,7.68,1xBet,1.03,7.3,BetEsporte,22.0,11.0,1.03,BetEsporte,11.0,7.2,1.14,Betano.br,5.6,4.8,1.42,bet365,1.57,4.5,4.0,Betano.br,1.25,6.1,7.9,BetEsporte,1.05,9.6,17.0,1.67,0.73,0.38,0.11,1.22,0.33,0.11,0.38,0.11,0.38,0.54,0.46,0.74,0.67,0.19,0.32,0.57,0.44,2.0,0.0,0.24,0.27,16.0,5.0,3.0,1.0,7.0,4.0,6.0,0.0,9.0,4.0,7.0,1.0,4.0,2.0,0.0,0.0,20.0,8.0,4.0,2.0,21.0,12.0,34.0,25.0,12.0,21.0,2.0,2.0,,,5.0,4.0,1.0,3.0,0.68,0.63,72.0,49.0,17.0,26.0,12.0,7.0,1.0,1.0,0.0,0.0,0.55,0.45,0.17,0.11,0.55,0.23,0.52,0.48,6.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,7.0,13.0,2.0,1.0,1.0,1.0,1.12,0.28,0.21,0.0,0.67,0.1,0.57,0.43,10.0,1.0,2.0,0.0,5.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,,,5.0,8.0,3.0,3.0,0.0,2.0
xWITXeuK,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,15/02/2026,15:15,Round 23,Maccabi Haifa,Sakhnin,4,0,"[5, 21, 45, 50]",[],bet365,1.73,2.5,8.5,bet365,1.29,4.5,8.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,2.1,1.67,bet365,1.07,1.17,3.4,bet365,12.0,bet365,21.0,bet365,41.0,bet365,126.0,bet365,6.5,bet365,9.5,bet365,29.0,bet365,67.0,bet365,6.0,bet365,9.0,bet365,23.0,bet365,67.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,67.0,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.98,1.83,bet365,1.5,2.5,bet365,1.33,3.3,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.0,5.8,1.29,Betano.br,3.55,4.05,1.78,bet365,1.91,3.75,3.4,BetEsporte,1.06,8.0,23.0,BetEsporte,1.01,11.0,45.0,,0.0,0.0,0.0,2.96,0.61,2.99,0.59,3.03,0.18,0.59,2.99,0.59,-1.01,0.61,0.39,0.89,0.81,0.63,0.56,0.79,0.65,2.0,0.0,0.21,0.11,25.0,4.0,6.0,2.0,7.0,2.0,12.0,0.0,16.0,2.0,9.0,2.0,5.0,1.0,0.0,0.0,52.0,9.0,9.0,1.0,9.0,9.0,13.0,15.0,9.0,9.0,0.0,2.0,,,1.0,2.0,2.0,4.0,0.75,0.57,30.0,45.0,13.0,30.0,14.0,10.0,0.0,2.0,0.0,1.0,2.17,0.05,1.95,0.0,2.37,0.05,0.65,0.35,17.0,1.0,3.0,0.0,6.0,1.0,4.0,0.0,6.0,1.0,,,8.0,4.0,0.0,1.0,0.0,1.0,0.79,0.56,1.04,0.59,0.66,0.13,0.57,0.43,8.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,,,1.0,5.0,1.0,1.0,2.0,3.0
tnEpY4Z2,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,ISRAEL 1,14/02/2026,14:30,Round 23,SC Ashdod,H. Beer Sheva,1,2,[16],"[7, 55]",bet365,7.5,2.75,1.73,bet365,8.0,4.75,1.29,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.83,1.83,bet365,3.4,1.17,1.07,bet365,17.0,bet365,8.5,bet365,7.5,bet365,9.0,bet365,26.0,bet365,10.0,bet365,8.5,bet365,11.0,bet365,41.0,bet365,26.0,bet365,19.0,bet365,23.0,bet365,101.0,bet365,51.0,bet365,51.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.95,1.85,bet365,1.53,2.42,bet365,1.38,3.0,,0.0,0.0,0.0,BetEsporte,35.0,11.0,1.01,BetEsporte,19.0,8.0,1.07,Betano.br,3.3,3.9,1.9,bet365,1.91,4.33,3.1,Betano.br,1.35,5.5,5.9,0.94,1.54,1.11,1.72,0.73,1.4,1.72,1.11,-0.28,0.11,0.35,0.65,0.69,0.85,0.36,0.55,0.54,0.75,1.0,0.0,0.36,0.33,10.0,22.0,3.0,10.0,4.0,5.0,3.0,7.0,7.0,13.0,3.0,9.0,4.0,3.0,0.0,0.0,19.0,26.0,3.0,8.0,10.0,16.0,13.0,21.0,16.0,10.0,3.0,4.0,,,3.0,1.0,8.0,2.0,0.54,0.67,38.0,57.0,20.0,17.0,10.0,8.0,0.0,0.0,1.0,1.0,0.52,0.37,0.76,0.44,0.29,0.44,0.35,0.65,5.0,8.0,1.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,10.0,6.0,1.0,1.0,2.0,0.0,0.42,1.17,0.35,1.28,0.44,0.96,0.35,0.65,5.0,14.0,2.0,7.0,1.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,,,6.0,4.0,2.0,0.0,6.0,2.0
