Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
EgL7nIhB,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,16:30,Group C,Altamura,Foggia,1,0,[72],[],Betfair,3.0,1.91,3.75,Betfair,2.2,2.8,3.1,Betfair,1.53,2.38,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.07,7.0,Betfair,1.45,2.55,Betfair,2.6,1.44,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.05,1.67,Betfair,1.3,1.33,1.53,Betfair,6.0,Betfair,6.5,Betfair,12.0,Betfair,34.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,26.0,Betfair,8.0,Betfair,8.0,Betfair,14.0,Betfair,41.0,Betfair,19.0,Betfair,19.0,Betfair,36.0,Betfair,101.0,1xBet,10.5,1.01,1xBet,11.0,1.01,Superbet.br,4.9,1.1,1xBet,4.43,1.21,Betano.br,2.45,1.52,Betano.br,1.39,2.85,1xBet,1.11,6.49,1xBet,1.08,8.04,,0.0,0.0,,0.0,0.0,BetEsporte,23.0,8.2,1.02,Betano.br,14.5,7.0,1.14,Betano.br,5.9,3.85,1.52,Betano.br,1.39,4.25,7.3,BetEsporte,1.05,6.8,18.0,BetEsporte,1.01,8.4,29.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,11.0,7.0,3.0,4.0,8.0,3.0,,,,,,,,,,,,,4.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.48,6.0,4.0,1.0,2.0,5.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,0.58,0.42,5.0,3.0,2.0,2.0,3.0,1.0,,,3.0,0.0,0.0,1.0,,,,,,,,
0Usqn9bS,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,16:30,Group C,Audace Cerignola,Trapani,4,2,"[10, 30, 39, 76]","[45, 83]",Betfair,2.25,2.1,5.0,Betfair,1.62,3.4,4.6,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,8.0,1.06,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,2.0,1.7,Betfair,1.13,1.25,2.1,Betfair,7.5,Betfair,9.5,Betfair,21.0,Betfair,71.0,Betfair,5.0,Betfair,6.0,Betfair,12.0,Betfair,41.0,Betfair,6.0,Betfair,7.0,Betfair,14.0,Betfair,51.0,Betfair,11.0,Betfair,12.0,Betfair,26.0,Betfair,76.0,1xBet,5.35,1.16,1xBet,4.38,1.22,Superbet.br,2.47,1.41,Betano.br,2.22,1.62,Betano.br,1.65,2.15,Superbet.br,1.08,5.4,1xBet,1.01,10.5,1xBet,1.01,11.5,,0.0,0.0,,0.0,0.0,BetEsporte,11.0,6.6,1.1,Betano.br,6.4,4.8,1.38,Betano.br,3.0,3.35,2.18,Betano.br,1.14,6.5,16.0,BetEsporte,1.01,8.0,28.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,14.0,12.0,9.0,7.0,5.0,5.0,,,,,,,,,,,,,4.0,8.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.38,9.0,4.0,7.0,3.0,2.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,0.5,0.5,5.0,8.0,2.0,4.0,3.0,4.0,,,1.0,7.0,0.0,2.0,,,,,,,,
6mbtWd8U,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,16:30,Group C,Benevento,Catania,2,1,"[25, 85]",[22],Betfair,2.88,1.91,4.2,Betfair,2.05,2.63,3.9,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.55,1.45,Betfair,5.2,1.13,Betfair,10.0,1.02,Betfair,2.05,1.67,Betfair,1.25,1.3,1.62,Betfair,6.0,Betfair,7.0,Betfair,13.0,Betfair,41.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,26.0,Betfair,7.5,Betfair,8.0,Betfair,15.0,Betfair,41.0,Betfair,15.0,Betfair,17.0,Betfair,34.0,Betfair,91.0,1xBet,8.99,1.05,1xBet,8.18,1.06,Superbet.br,3.8,1.18,Betano.br,3.0,1.36,Betano.br,2.05,1.72,Superbet.br,1.19,3.7,1xBet,1.05,8.8,1xBet,1.03,9.1,,0.0,0.0,,0.0,0.0,BetEsporte,19.0,8.0,1.03,Betano.br,10.5,5.8,1.21,Betano.br,4.35,3.5,1.75,Betano.br,1.26,5.1,10.25,BetEsporte,1.04,7.4,21.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,4.0,8.0,3.0,5.0,1.0,3.0,,,,,,,,,,,,,2.0,5.0,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.44,2.0,2.0,2.0,1.0,0.0,1.0,,,1.0,2.0,1.0,0.0,,,,,,,,,,,,,0.54,0.46,2.0,6.0,1.0,4.0,1.0,2.0,,,1.0,3.0,1.0,4.0,,,,,,,,
4rbtSm7d,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,16:30,Group C,Casertana,Salernitana,1,0,[37],[],Betfair,3.75,2.0,2.8,Betfair,3.1,3.0,2.15,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,9.0,1.03,Betfair,1.87,1.8,Betfair,1.62,1.3,1.3,Betfair,7.5,Betfair,5.5,Betfair,8.0,Betfair,17.0,Betfair,7.0,Betfair,5.0,Betfair,7.5,Betfair,15.0,Betfair,12.0,Betfair,9.5,Betfair,12.0,Betfair,26.0,Betfair,34.0,Betfair,26.0,Betfair,34.0,Betfair,76.0,,0.0,0.0,,0.0,0.0,1xBet,7.55,1.09,1xBet,6.21,1.12,Superbet.br,2.85,1.32,Betano.br,1.67,2.12,Betano.br,1.35,3.05,Superbet.br,1.14,4.25,1xBet,1.05,8.95,1xBet,1.03,9.86,BetEsporte,26.0,8.4,1.01,BetEsporte,16.0,7.0,1.06,Betano.br,7.5,4.6,1.35,Betano.br,1.67,3.75,4.4,Betano.br,1.21,6.0,10.0,BetEsporte,1.03,8.0,19.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,8.0,4.0,4.0,2.0,4.0,2.0,,,,,,,,,,,,,3.0,6.0,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.39,2.0,3.0,1.0,1.0,1.0,2.0,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,0.35,0.65,6.0,1.0,3.0,1.0,3.0,0.0,,,2.0,2.0,1.0,2.0,,,,,,,,
A1Ojj0gn,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,16:30,Group C,Crotone,Cavese,2,0,"[25, 52]",[],Betfair,2.3,2.0,5.5,Betfair,1.57,3.3,5.5,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,9.5,1.04,Betfair,1.05,8.0,Betfair,1.4,2.75,Betfair,2.25,1.5,Betfair,4.8,1.14,Betfair,9.0,1.03,Betfair,2.2,1.57,Betfair,1.11,1.25,2.1,Betfair,6.5,Betfair,9.0,Betfair,23.0,Betfair,91.0,Betfair,4.5,Betfair,6.0,Betfair,14.0,Betfair,56.0,Betfair,5.5,Betfair,7.0,Betfair,17.0,Betfair,67.0,Betfair,10.0,Betfair,12.0,Betfair,31.0,Betfair,126.0,1xBet,6.29,1.12,1xBet,5.18,1.17,Superbet.br,2.7,1.35,Betano.br,2.22,1.62,Betano.br,1.65,2.15,Superbet.br,1.1,4.9,1xBet,1.01,11.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,13.0,7.0,1.08,Betano.br,6.6,4.75,1.37,Betano.br,3.05,3.25,2.2,Betano.br,1.15,6.3,16.5,BetEsporte,1.01,8.0,27.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,11.0,8.0,6.0,5.0,5.0,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,3.0,2.0,2.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,0.66,0.34,8.0,6.0,4.0,4.0,4.0,2.0,,,1.0,0.0,2.0,1.0,,,,,,,,
IRRblvOb,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,16:30,Group C,Potenza,Cosenza,1,4,[27],"[4, 39, 54, 68]",Betfair,3.5,2.1,2.88,Betfair,2.8,3.3,2.3,Betfair,1.36,2.88,Betfair,3.0,1.33,Betfair,7.5,1.06,Betfair,1.05,10.0,Betfair,1.33,3.25,Betfair,2.05,1.75,Betfair,3.8,1.25,Betfair,8.0,1.07,Betfair,1.73,2.0,Betfair,1.53,1.25,1.36,Betfair,8.5,Betfair,6.5,Betfair,9.0,Betfair,19.0,Betfair,7.0,Betfair,5.5,Betfair,7.5,Betfair,15.0,Betfair,11.0,Betfair,8.5,Betfair,11.0,Betfair,26.0,Betfair,26.0,Betfair,20.0,Betfair,26.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,2.9,1.31,Betano.br,1.6,2.27,,0.0,0.0,Superbet.br,1.14,4.3,,0.0,0.0,,0.0,0.0,BetEsporte,20.0,7.6,1.01,BetEsporte,12.0,6.2,1.08,Betano.br,7.1,4.5,1.37,Betano.br,1.6,3.9,4.9,Betano.br,1.18,6.5,11.25,BetEsporte,1.02,7.6,17.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,13.0,12.0,5.0,9.0,8.0,3.0,,,,,,,,,,,,,8.0,6.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.44,8.0,8.0,4.0,6.0,4.0,2.0,,,3.0,5.0,0.0,2.0,,,,,,,,,,,,,0.39,0.61,5.0,4.0,1.0,3.0,4.0,1.0,,,5.0,1.0,1.0,1.0,,,,,,,,
WljSkia3,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,14:00,Group C,Casarano,Siracusa,1,1,[50],[79],Betfair,2.75,2.1,3.6,Betfair,2.05,3.25,3.0,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.0,1.07,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.7,2.0,Betfair,1.3,1.25,1.62,Betfair,9.0,Betfair,8.0,Betfair,13.0,Betfair,31.0,Betfair,6.5,Betfair,5.5,Betfair,9.0,Betfair,21.0,Betfair,8.5,Betfair,7.0,Betfair,11.0,Betfair,26.0,Betfair,15.0,Betfair,14.0,Betfair,21.0,Betfair,51.0,1xBet,10.1,1.03,1xBet,8.74,1.05,Superbet.br,3.8,1.18,1xBet,3.32,1.33,Betano.br,2.12,1.67,Superbet.br,1.28,3.05,1xBet,1.15,5.52,1xBet,1.11,6.68,,0.0,0.0,,0.0,0.0,BetEsporte,17.0,8.0,1.03,Betano.br,9.5,6.1,1.22,Betano.br,4.25,3.8,1.7,Betano.br,1.31,4.8,8.25,BetEsporte,1.07,6.8,14.0,BetEsporte,1.01,8.6,23.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,4.0,10.0,1.0,3.0,3.0,7.0,,,,,,,,,,,,,2.0,3.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.56,2.0,5.0,0.0,1.0,2.0,4.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,0.48,0.52,2.0,5.0,1.0,2.0,1.0,3.0,,,1.0,1.0,0.0,1.0,,,,,,,,
ptruU9xp,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,14:00,Group C,Giugliano,Monopoli,2,0,"[18, 88]",[],Betfair,3.3,1.91,3.5,Betfair,2.5,2.88,2.63,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.55,1.45,Betfair,5.2,1.13,Betfair,10.0,1.02,Betfair,2.0,1.7,Betfair,1.36,1.33,1.44,Betfair,6.0,Betfair,6.0,Betfair,10.0,Betfair,26.0,Betfair,5.5,Betfair,5.0,Betfair,8.5,Betfair,23.0,Betfair,9.5,Betfair,8.5,Betfair,13.0,Betfair,36.0,Betfair,23.0,Betfair,21.0,Betfair,36.0,Betfair,81.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.4,1.13,1xBet,3.96,1.25,Betano.br,2.47,1.5,Betano.br,1.44,2.67,1xBet,1.13,6.02,1xBet,1.09,7.41,,0.0,0.0,,0.0,0.0,BetEsporte,23.0,8.4,1.01,Betano.br,14.0,7.0,1.14,Betano.br,5.8,3.95,1.5,Betano.br,1.44,4.2,6.5,BetEsporte,1.08,6.4,15.0,BetEsporte,1.01,8.4,25.0,,,,,,,,,,,0.39,0.61,,,,,,,,,,,6.0,5.0,2.0,2.0,4.0,3.0,,,,,,,,,,,,,3.0,2.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.56,4.0,1.0,1.0,1.0,3.0,0.0,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,0.34,0.66,2.0,4.0,1.0,1.0,1.0,3.0,,,3.0,2.0,2.0,1.0,,,,,,,,
h4vylVTF,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,14:00,Group C,Latina,Sorrento,2,0,"[40, 66]",[],Betfair,2.7,1.91,4.33,Betfair,1.95,3.0,3.6,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.2,1.13,Betfair,10.0,1.02,Betfair,2.05,1.67,Betfair,1.22,1.3,1.73,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,51.0,Betfair,5.0,Betfair,5.0,Betfair,11.0,Betfair,36.0,Betfair,7.0,Betfair,7.5,Betfair,15.0,Betfair,46.0,Betfair,15.0,Betfair,15.0,Betfair,34.0,Betfair,101.0,1xBet,8.88,1.05,1xBet,7.94,1.06,Superbet.br,3.55,1.21,Betano.br,2.85,1.39,Betano.br,1.9,1.85,Superbet.br,1.19,3.65,1xBet,1.05,9.01,1xBet,1.03,9.0,,0.0,0.0,,0.0,0.0,BetEsporte,19.0,7.8,1.03,Betano.br,9.0,5.4,1.26,Betano.br,3.85,3.4,1.85,Betano.br,1.23,5.3,11.25,BetEsporte,1.04,7.4,21.0,BetEsporte,1.01,8.4,30.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,9.0,6.0,2.0,3.0,7.0,3.0,,,,,,,,,,,,,5.0,2.0,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.48,3.0,2.0,1.0,1.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,0.54,0.46,6.0,4.0,1.0,2.0,5.0,2.0,,,3.0,1.0,1.0,4.0,,,,,,,,
EutZXIwI,ITALY,2025-2026,Serie C Group C 2025 2026,ITALY 3,05/03/2026,14:00,Group C,Picerno,Atalanta U23,1,1,[40],[54],Betfair,3.3,2.1,3.1,Betfair,2.5,3.25,2.4,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.0,1.07,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,1.7,2.0,Betfair,1.44,1.25,1.44,Betfair,8.5,Betfair,7.0,Betfair,10.0,Betfair,21.0,Betfair,7.0,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,10.0,Betfair,8.0,Betfair,11.0,Betfair,23.0,Betfair,23.0,Betfair,17.0,Betfair,23.0,Betfair,46.0,,0.0,0.0,1xBet,11.0,1.01,1xBet,5.45,1.08,1xBet,4.55,1.13,Betano.br,2.62,1.45,Betano.br,1.47,2.55,1xBet,1.15,4.2,Superbet.br,1.11,4.7,1xBet,1.03,9.4,1xBet,1.01,10.5,BetEsporte,21.0,8.4,1.02,BetEsporte,11.0,6.2,1.11,Betano.br,6.0,4.2,1.47,Betano.br,1.5,4.15,5.6,Betano.br,1.15,7.1,13.0,BetEsporte,1.02,8.4,20.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,10.0,7.0,7.0,3.0,3.0,4.0,,,,,,,,,,,,,9.0,3.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.51,6.0,1.0,3.0,0.0,3.0,1.0,,,7.0,2.0,,,,,,,,,,,,,,,0.45,0.55,4.0,6.0,4.0,3.0,0.0,3.0,,,2.0,1.0,2.0,1.0,,,,,,,,
