Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
phxQFm9s,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Club Milano,NovaRomentin,6,1,"[23, 29, 43, 66, 74, 90]",[54],Betano.br,1.72,2.4,7.6,Betano.br,1.3,4.55,8.5,1xBet.br,1.39,3.02,Betano.br,2.35,1.42,1xBet.br,6.74,1.1,1xBet.br,1.02,13.7,Superbet.br,1.26,3.2,Betano.br,1.75,1.85,Superbet.br,3.05,1.28,1xBet.br,5.55,1.14,Superbet.br,2.15,1.63,Betano.br,1.07,1.15,3.0,Betano.br,10.25,Betano.br,13.0,Betano.br,28.0,Betano.br,55.0,Betano.br,4.8,Betano.br,7.3,Betano.br,17.5,Betano.br,45.0,Betano.br,4.5,Betano.br,6.9,Betano.br,17.0,Betano.br,40.0,Betano.br,5.8,Betano.br,8.75,Betano.br,21.0,Betano.br,45.0,1xBet.br,3.15,1.36,1xBet.br,2.5,1.53,Betano.br,1.82,1.78,1xBet.br,1.46,2.71,BetEsporte,1.31,2.65,BetEsporte,1.07,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,6.8,5.4,1.22,BetEsporte,3.3,3.85,1.64,BetEsporte,1.91,3.4,2.65,BetEsporte,1.06,6.8,20.0,BetEsporte,1.01,8.2,35.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hIuYDRwf,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Gozzano,Chisola,3,2,"[4, 7, 68]","[10, 51]",Betano.br,3.3,1.91,3.3,Betano.br,2.55,3.05,2.55,Betano.br,1.5,2.18,1xBet.br,3.43,1.29,1xBet.br,8.54,1.05,1xBet.br,1.09,6.5,Estrelabet,1.5,2.4,Betano.br,2.27,1.5,Superbet.br,4.15,1.15,1xBet.br,7.82,1.06,Estrelabet,2.0,1.66,Betano.br,1.42,1.31,1.42,Betano.br,7.0,Betano.br,5.3,Betano.br,8.5,Betano.br,17.0,Betano.br,5.3,Betano.br,5.0,Betano.br,7.9,Betano.br,16.0,Betano.br,8.5,Betano.br,7.9,Betano.br,12.0,Betano.br,24.0,Betano.br,17.0,Betano.br,16.0,Betano.br,24.0,Betano.br,40.0,,0.0,0.0,,0.0,0.0,1xBet.br,6.25,1.12,1xBet.br,4.98,1.18,Estrelabet,2.4,1.5,BetEsporte,1.32,2.7,1xBet.br,1.18,4.98,1xBet.br,1.12,6.25,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,8.4,1.02,BetEsporte,12.0,6.0,1.11,BetEsporte,4.6,3.85,1.42,BetEsporte,1.32,4.1,5.4,BetEsporte,1.07,6.6,15.0,BetEsporte,1.01,8.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nHYtC586,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Imperia,Sanremese,2,2,"[7, 13]","[44, 54]",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUWlAqwJ,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Ligorna,AS Biellese,2,1,"[21, 90]",[2],Betano.br,2.5,1.98,4.5,Betano.br,1.83,3.25,3.9,Betano.br,1.47,2.22,1xBet.br,3.09,1.37,1xBet.br,9.08,1.06,1xBet.br,1.06,8.9,Superbet.br,1.37,2.7,Betano.br,2.15,1.55,Superbet.br,3.8,1.18,1xBet.br,9.05,1.06,Superbet.br,1.97,1.75,Betano.br,1.21,1.28,1.78,Betano.br,7.5,Betano.br,7.0,Betano.br,13.0,Betano.br,29.0,Betano.br,4.65,Betano.br,5.3,Betano.br,10.0,Betano.br,23.0,Betano.br,6.0,Betano.br,6.8,Betano.br,13.0,Betano.br,28.0,Betano.br,10.25,Betano.br,11.75,Betano.br,21.0,Betano.br,40.0,1xBet.br,8.06,1.08,1xBet.br,6.8,1.1,1xBet.br,3.38,1.32,1xBet.br,2.59,1.5,Betano.br,1.78,1.83,BetEsporte,1.22,3.35,1xBet.br,1.07,7.34,1xBet.br,1.06,8.27,,0.0,0.0,,0.0,0.0,BetEsporte,17.0,7.8,1.04,BetEsporte,8.4,5.2,1.19,BetEsporte,3.5,3.5,1.62,BetEsporte,1.22,4.7,8.6,BetEsporte,1.04,7.4,19.0,BetEsporte,1.01,8.4,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwFyYnVP,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Saluzzo,Celle Varazze,0,1,[],[90],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6L57SQhm,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Sestri Levante,Asti,1,2,[53],"[32, 48]",Betano.br,2.25,2.1,4.85,Betano.br,1.65,3.55,4.55,Betano.br,1.4,2.4,1xBet.br,2.82,1.4,1xBet.br,6.23,1.1,1xBet.br,1.05,9.0,Superbet.br,1.3,3.0,Betano.br,1.95,1.67,Superbet.br,3.3,1.24,1xBet.br,5.9,1.11,Superbet.br,2.1,1.66,Betano.br,1.17,1.24,2.0,Betano.br,8.75,Betano.br,8.25,Betano.br,15.5,Betano.br,32.0,Betano.br,4.85,Betano.br,5.6,Betano.br,11.0,Betano.br,25.0,Betano.br,5.6,Betano.br,6.5,Betano.br,12.5,Betano.br,28.0,Betano.br,8.75,Betano.br,10.0,Betano.br,18.5,Betano.br,37.0,1xBet.br,5.45,1.15,1xBet.br,4.5,1.2,1xBet.br,2.5,1.49,1xBet.br,2.03,1.78,BetEsporte,1.58,1.96,BetEsporte,1.15,4.1,,0.0,0.0,1xBet.br,1.01,9.6,,0.0,0.0,,0.0,0.0,BetEsporte,12.0,6.8,1.09,BetEsporte,5.0,4.4,1.33,BetEsporte,2.65,3.3,1.96,BetEsporte,1.15,5.2,11.0,BetEsporte,1.02,7.8,24.0,BetEsporte,1.01,8.2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SzfGQ4Na,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Vado,Cairese,2,0,"[79, 90]",[],Betano.br,2.05,2.07,6.2,Betano.br,1.47,3.7,6.2,Betano.br,1.44,2.32,1xBet.br,2.97,1.37,1xBet.br,6.84,1.09,Alfabet,1.06,7.25,Superbet.br,1.33,2.85,Betano.br,2.02,1.62,Superbet.br,3.5,1.21,1xBet.br,6.84,1.09,Estrelabet,2.2,1.55,Betano.br,1.11,1.22,2.32,Betano.br,8.0,Betano.br,9.5,Betano.br,21.0,Betano.br,45.0,Betano.br,4.35,Betano.br,6.0,Betano.br,14.0,Betano.br,35.0,Betano.br,4.85,Betano.br,6.7,Betano.br,15.0,Betano.br,37.0,Betano.br,7.3,Betano.br,10.0,Betano.br,21.0,Betano.br,45.0,1xBet.br,5.04,1.17,1xBet.br,4.06,1.24,Estrelabet,2.4,1.5,Betano.br,1.78,1.83,BetEsporte,1.45,2.21,BetEsporte,1.09,5.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,9.8,6.2,1.13,BetEsporte,4.3,4.1,1.43,BetEsporte,2.31,3.25,2.21,BetEsporte,1.09,6.0,16.0,BetEsporte,1.01,8.0,30.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EihOOrhC,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Valenzana,Lavagnese,2,0,"[37, 44]",[],Betano.br,3.75,2.07,2.65,Betano.br,3.15,3.35,2.02,Betano.br,1.39,2.42,1xBet.br,2.89,1.42,1xBet.br,8.07,1.08,1xBet.br,1.04,11.4,Superbet.br,1.28,3.05,Betano.br,1.91,1.7,Superbet.br,3.2,1.26,1xBet.br,6.77,1.1,Superbet.br,1.82,1.88,Betano.br,1.65,1.27,1.28,Betano.br,9.25,Betano.br,5.6,Betano.br,7.1,Betano.br,12.0,Betano.br,7.1,Betano.br,5.2,Betano.br,6.7,Betano.br,11.5,Betano.br,11.25,Betano.br,8.5,Betano.br,10.5,Betano.br,17.5,Betano.br,22.0,Betano.br,17.0,Betano.br,21.0,Betano.br,32.0,,0.0,0.0,,0.0,0.0,1xBet.br,7.5,1.09,1xBet.br,6.25,1.12,BetEsporte,3.0,1.26,BetEsporte,1.57,2.0,1xBet.br,1.39,3.0,1xBet.br,1.26,3.82,1xBet.br,1.08,8.04,1xBet.br,1.05,8.67,BetEsporte,25.0,8.6,1.01,BetEsporte,16.0,7.0,1.06,BetEsporte,6.0,4.5,1.26,BetEsporte,1.57,3.7,3.6,BetEsporte,1.18,5.4,8.4,BetEsporte,1.04,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8hAd6zxo,ITALY,2025-2026,Serie D Group A,ITALY 4,19/04/2026,10:00,Group A,Varese FC,Derthona FbC,1,0,[4],[],Betano.br,2.62,1.98,4.1,Betano.br,1.98,3.1,3.55,Betano.br,1.44,2.32,1xBet.br,2.92,1.32,1xBet.br,7.5,1.04,,0.0,0.0,Superbet.br,1.31,2.92,Betano.br,1.98,1.65,Superbet.br,3.4,1.22,1xBet.br,6.5,1.08,Superbet.br,1.85,1.85,Betano.br,1.25,1.3,1.67,Betano.br,8.25,Betano.br,7.2,Betano.br,12.5,Betano.br,26.0,Betano.br,5.4,Betano.br,4.9,Betano.br,9.0,Betano.br,20.0,Betano.br,7.1,Betano.br,6.5,Betano.br,10.25,Betano.br,23.0,Betano.br,12.0,Betano.br,11.25,Betano.br,17.0,Betano.br,32.0,1xBet.br,7.7,1.03,1xBet.br,6.9,1.04,1xBet.br,3.7,1.2,1xBet.br,2.88,1.32,Betano.br,1.91,1.7,BetEsporte,1.22,3.3,1xBet.br,1.05,6.55,1xBet.br,1.03,7.5,,0.0,0.0,,0.0,0.0,BetEsporte,16.0,7.8,1.05,BetEsporte,7.8,5.2,1.21,BetEsporte,3.35,3.6,1.64,BetEsporte,1.22,4.7,8.0,BetEsporte,1.04,7.4,18.0,BetEsporte,1.01,8.6,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpFPnkue,ITALY,2025-2026,Serie D Group A,ITALY 4,12/04/2026,10:00,Group A,AS Biellese,Sestri Levante,2,0,"[5, 59]",[],Betano.br,3.7,1.95,2.87,Betano.br,3.05,3.1,2.18,Betano.br,1.45,2.25,1xBet.br,3.13,1.34,1xBet.br,7.36,1.07,1xBet.br,1.07,7.5,Superbet.br,1.37,2.7,Betano.br,2.12,1.57,Superbet.br,3.8,1.18,1xBet.br,6.84,1.09,Estrelabet,1.9,1.75,Betano.br,1.55,1.3,1.3,Betano.br,7.7,Betano.br,5.3,Betano.br,7.4,Betano.br,13.5,Betano.br,6.3,Betano.br,5.0,Betano.br,7.0,Betano.br,13.0,Betano.br,10.5,Betano.br,8.5,Betano.br,11.25,Betano.br,20.0,Betano.br,22.0,Betano.br,18.0,Betano.br,23.0,Betano.br,35.0,,0.0,0.0,,0.0,0.0,1xBet.br,8.2,1.07,1xBet.br,6.8,1.1,Alfabet,2.8,1.33,Estrelabet,1.6,2.2,1xBet.br,1.33,3.32,1xBet.br,1.22,4.27,,0.0,0.0,1xBet.br,1.01,9.5,BetEsporte,26.0,8.4,1.01,BetEsporte,16.0,6.8,1.07,BetEsporte,6.6,4.2,1.3,BetEsporte,1.49,3.7,4.5,BetEsporte,1.14,5.6,10.0,BetEsporte,1.02,8.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
