Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
M5qW1zaB,JAPAN,2025,J2 League,JAPAN 2,13/12/2025,01:05,Promotion,Chiba,Tokushima,1,0,[69],[],bet365,3.1,2.0,4.0,bet365,2.25,2.85,3.3,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.33,1.4,1.57,bet365,6.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,6.5,bet365,5.5,bet365,13.0,bet365,34.0,bet365,10.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,41.0,bet365,67.0,,0.0,0.0,Alfabet,7.8,1.05,bet365,4.65,1.18,bet365,3.7,1.26,bet365,2.3,1.6,bet365,1.3,3.45,bet365,1.1,7.0,Alfabet,1.08,6.6,,0.0,0.0,,0.0,0.0,Betnacional,24.81,10.81,1.04,Estrelabet,11.0,5.66,1.13,bet365,5.0,4.0,1.57,Estrelabet,1.27,4.33,7.5,Estrelabet,1.05,7.0,17.0,,0.0,0.0,0.0,,,,,,,,,,,0.42,0.58,0.72,0.77,,,,,,,,,11.0,19.0,2.0,5.0,9.0,14.0,,,,,,,,,,,,,1.0,4.0,13.0,6.0,,,7.0,11.0,1.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.46,0.54,9.0,7.0,1.0,3.0,8.0,4.0,,,1.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,,,,,,,,,0.38,0.62,2.0,12.0,1.0,2.0,1.0,10.0,,,0.0,3.0,1.0,0.0,,,1.0,5.0,0.0,0.0,,
pAmbOWJi,JAPAN,2025,J2 League,JAPAN 2,07/12/2025,01:10,Promotion,Tokushima,Iwata,1,1,[82],[24],bet365,3.0,2.05,4.0,bet365,2.2,2.95,3.4,bet365,1.44,2.63,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,10.0,1.06,bet365,1.91,1.8,bet365,1.3,1.36,1.62,bet365,7.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,6.0,bet365,13.0,bet365,29.0,bet365,10.0,bet365,9.5,bet365,15.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,,0.0,0.0,Alfabet,7.0,1.07,bet365,4.5,1.19,bet365,3.55,1.27,bet365,2.25,1.63,bet365,1.3,3.45,bet365,1.11,6.6,Alfabet,1.07,6.75,,0.0,0.0,,0.0,0.0,Betnacional,20.47,10.08,1.06,Estrelabet,8.5,5.0,1.2,bet365,4.5,4.0,1.62,Estrelabet,1.23,4.75,8.0,Betnacional,1.06,9.41,22.52,,0.0,0.0,0.0,,,,,,,,,,,0.71,0.29,0.83,0.61,,,,,,,,,14.0,2.0,6.0,2.0,8.0,0.0,,,,,,,,,,,,,7.0,1.0,0.0,14.0,,,14.0,11.0,2.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.71,0.29,8.0,1.0,1.0,1.0,7.0,0.0,,,5.0,0.0,,,4.0,7.0,0.0,0.0,,,,,,,,,0.71,0.29,6.0,1.0,5.0,1.0,1.0,0.0,,,2.0,1.0,2.0,5.0,,,10.0,4.0,0.0,0.0,,
4EAB0TRp,JAPAN,2025,J2 League,JAPAN 2,07/12/2025,01:00,Promotion,Chiba,Omiya Ardija,4,3,"[71, 77, 83, 87]","[20, 32, 48]",bet365,3.0,2.25,3.25,bet365,2.4,3.25,2.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.4,1.33,1.53,bet365,11.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,10.0,bet365,6.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,12.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,,0.0,0.0,Alfabet,6.4,1.08,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.42,1.53,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Estrelabet,16.0,8.0,1.04,Estrelabet,7.5,5.5,1.2,bet365,4.75,4.5,1.53,Estrelabet,1.32,4.5,6.0,Estrelabet,1.08,6.66,13.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,0.69,0.69,,,,,,,,,18.0,9.0,9.0,3.0,9.0,6.0,,,,,,,,,,,,,9.0,6.0,11.0,10.0,,,6.0,9.0,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0.46,0.54,8.0,8.0,3.0,2.0,5.0,6.0,,,6.0,3.0,,,4.0,3.0,2.0,1.0,,,,,,,,,0.56,0.44,10.0,1.0,6.0,1.0,4.0,0.0,,,3.0,3.0,1.0,1.0,,,2.0,6.0,1.0,1.0,,
2eFYEpgA,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Chiba,Imabari,5,0,"[11, 31, 46, 74, 85]",[],bet365,2.0,2.4,6.5,bet365,1.45,4.33,6.25,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.91,1.8,bet365,1.13,1.2,2.63,bet365,12.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,7.0,bet365,8.0,bet365,19.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,4.25,1.21,bet365,3.55,1.27,bet365,2.3,1.6,bet365,1.78,2.03,bet365,1.48,2.6,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,8.5,6.33,1.14,Estrelabet,4.33,4.25,1.46,bet365,2.3,3.75,2.63,Estrelabet,1.11,6.0,12.0,BetEsporte,1.02,10.0,30.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.44,0.56,0.73,0.82,,,,,,,,,17.0,18.0,6.0,5.0,11.0,13.0,,,,,,,,,,,,,4.0,5.0,14.0,15.0,,,9.0,15.0,0.0,2.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,0.46,0.54,10.0,1.0,3.0,1.0,7.0,0.0,,,4.0,2.0,,,4.0,5.0,3.0,0.0,,,,,,,,,0.42,0.58,7.0,17.0,3.0,4.0,4.0,13.0,,,0.0,3.0,0.0,2.0,,,5.0,10.0,3.0,0.0,,
Myfa0ovH,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Hokkaido Consadole Sapporo,Ehime,3,0,"[25, 48, 78]",[],bet365,2.25,2.4,4.5,bet365,1.66,3.8,4.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.62,2.2,bet365,1.18,1.25,2.1,bet365,15.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,9.0,bet365,7.5,bet365,15.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,9.0,6.66,1.12,Estrelabet,4.5,4.75,1.4,bet365,2.75,4.0,2.1,Estrelabet,1.14,5.66,10.0,BetEsporte,1.04,9.8,24.0,BetEsporte,1.01,12.0,35.0,,,,,,,,,,,0.51,0.49,0.77,0.75,,,,,,,,,17.0,8.0,9.0,3.0,8.0,5.0,,,,,,,,,,,,,11.0,1.0,14.0,18.0,,,16.0,10.0,0.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.56,0.44,7.0,5.0,4.0,1.0,3.0,4.0,,,6.0,1.0,,,6.0,6.0,1.0,2.0,,,,,,,,,0.46,0.54,10.0,3.0,5.0,2.0,5.0,1.0,,,5.0,0.0,0.0,1.0,,,10.0,4.0,0.0,0.0,,
jguDBW3F,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Kumamoto,Kofu,0,0,[],[],bet365,2.5,2.1,4.75,bet365,1.81,3.25,4.33,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.2,1.33,1.91,bet365,8.5,bet365,12.0,bet365,21.0,bet365,51.0,bet365,6.5,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.5,bet365,9.0,bet365,15.0,bet365,41.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,6.8,1.11,bet365,6.4,1.12,bet365,3.45,1.3,bet365,2.6,1.48,bet365,1.85,1.95,bet365,1.21,4.25,Alfabet,1.06,7.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,14.0,7.0,1.06,Estrelabet,6.5,4.75,1.27,bet365,3.4,3.75,1.91,Estrelabet,1.17,5.0,10.0,BetEsporte,1.04,9.4,26.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.53,0.47,0.72,0.7,,,,,,,,,16.0,10.0,4.0,2.0,12.0,8.0,,,,,,,,,,,,,3.0,4.0,8.0,11.0,,,10.0,10.0,2.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0.54,0.46,8.0,7.0,2.0,2.0,6.0,5.0,,,2.0,4.0,,,1.0,4.0,2.0,0.0,,,,,,,,,0.52,0.48,8.0,3.0,2.0,0.0,6.0,3.0,,,1.0,0.0,2.0,0.0,,,9.0,6.0,1.0,0.0,,
ttRPG6Oc,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Mito,Oita Trinita,2,0,"[46, 75]",[],bet365,2.2,2.0,7.5,bet365,1.51,3.5,7.0,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.63,1.44,bet365,1.1,1.29,2.38,bet365,6.0,bet365,12.0,bet365,34.0,bet365,81.0,bet365,4.5,bet365,7.5,bet365,23.0,bet365,67.0,bet365,6.0,bet365,9.5,bet365,26.0,bet365,81.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,126.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.75,1.43,bet365,2.03,1.78,bet365,1.55,2.38,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,14.0,7.4,1.11,BetEsporte,5.8,4.4,1.41,bet365,2.75,3.25,2.38,BetEsporte,1.1,6.8,22.0,BetEsporte,1.01,10.0,50.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,0.71,0.7,,,,,,,,,13.0,4.0,8.0,0.0,5.0,4.0,,,,,,,,,,,,,5.0,3.0,14.0,12.0,,,9.0,14.0,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0.54,0.46,6.0,1.0,3.0,0.0,3.0,1.0,,,2.0,0.0,,,4.0,8.0,2.0,0.0,,,,,,,,,0.43,0.57,7.0,3.0,5.0,0.0,2.0,3.0,,,3.0,3.0,,,,,5.0,6.0,1.0,0.0,,
EZYwg3Wj,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Montedio Yamagata,Fujieda MYFC,2,1,"[9, 84]",[76],bet365,2.75,2.3,3.6,bet365,2.1,3.4,3.2,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.36,1.3,1.67,bet365,12.0,bet365,12.0,bet365,19.0,bet365,34.0,bet365,9.5,bet365,6.5,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,29.0,bet365,21.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,Alfabet,6.2,1.09,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Estrelabet,14.0,8.0,1.05,Estrelabet,7.5,5.0,1.22,bet365,4.0,4.0,1.67,Estrelabet,1.27,4.75,6.5,Estrelabet,1.06,7.0,15.0,BetEsporte,1.01,11.0,29.0,,,,,,,,,,,0.46,0.54,0.74,0.81,,,,,,,,,19.0,10.0,11.0,3.0,8.0,7.0,,,,,,,,,,,,,7.0,7.0,0.0,11.0,,,9.0,11.0,0.0,2.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.44,0.56,5.0,2.0,2.0,2.0,3.0,0.0,,,4.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,,,,,,,,,0.48,0.52,14.0,8.0,9.0,1.0,5.0,7.0,,,3.0,4.0,0.0,1.0,,,4.0,6.0,0.0,0.0,,
8dfD72op,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Renofa Yamaguchi,Omiya Ardija,3,2,"[42, 54, 81]","[18, 58]",bet365,3.75,2.2,2.75,bet365,3.2,3.3,2.1,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.67,1.33,1.36,bet365,11.0,bet365,8.5,bet365,11.0,bet365,21.0,bet365,11.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,13.0,bet365,26.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.1,1.35,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,BetEsporte,29.0,11.0,1.01,Estrelabet,14.0,6.66,1.07,Estrelabet,6.33,4.5,1.3,bet365,1.67,4.0,4.0,Estrelabet,1.2,5.5,7.5,Estrelabet,1.04,8.0,16.0,,,,,,,,,,,0.49,0.51,0.65,0.69,,,,,,,,,13.0,12.0,6.0,4.0,7.0,8.0,,,,,,,,,,,,,3.0,6.0,14.0,20.0,,,15.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.51,0.49,3.0,3.0,1.0,2.0,2.0,1.0,,,0.0,2.0,,,9.0,9.0,0.0,0.0,,,,,,,,,0.47,0.53,10.0,9.0,5.0,2.0,5.0,7.0,,,3.0,4.0,2.0,0.0,1.0,0.0,6.0,6.0,1.0,0.0,,
boN5DhZ2,JAPAN,2025,J2 League,JAPAN 2,29/11/2025,02:00,Round 38,Sagan Tosu,Iwata,1,2,[88],"[67, 90]",bet365,3.0,2.25,3.4,bet365,2.35,3.3,2.75,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.4,1.33,1.53,bet365,11.0,bet365,10.0,bet365,15.0,bet365,29.0,bet365,9.5,bet365,6.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.38,1.55,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,BetEsporte,21.0,10.0,1.04,Estrelabet,8.5,6.0,1.15,bet365,4.75,4.33,1.53,Estrelabet,1.4,4.25,5.0,Estrelabet,1.11,6.33,11.0,BetEsporte,1.02,11.0,26.0,,,,,,,,,,,0.59,0.41,0.81,0.76,,,,,,,,,19.0,12.0,7.0,6.0,12.0,6.0,,,,,,,,,,,,,9.0,9.0,10.0,6.0,,,9.0,13.0,2.0,2.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,0.62,0.38,1.0,5.0,0.0,2.0,1.0,3.0,,,4.0,5.0,1.0,1.0,7.0,8.0,1.0,2.0,,,,,,,,,0.56,0.44,18.0,7.0,7.0,4.0,11.0,3.0,,,5.0,4.0,1.0,1.0,,,2.0,5.0,0.0,2.0,,
