Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
fZ3MZeMG,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,07/06/2025,22:00,Super final,Leones Negros,Tapatio,1,2,[77],"[49, 59]",Betfair,2.1,2.3,4.5,Betfair,1.6,3.9,4.1,KTO.br,1.33,3.05,Betano.br,2.42,1.44,KTO.br,6.1,1.09,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.67,2.05,Betfair,1.17,1.17,2.1,Betfair,11.0,Betfair,11.0,Betfair,21.0,Betfair,67.0,Betfair,6.5,Betfair,6.0,Betfair,11.0,Betfair,31.0,Betfair,7.0,Betfair,6.5,Betfair,11.0,Betfair,26.0,Betfair,10.0,Betfair,10.0,Betfair,17.0,Betfair,46.0,,0.0,0.0,KTO.br,5.4,1.13,KTO.br,3.1,1.34,Betano.br,1.98,1.75,Estrelabet,1.66,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,KTO.br,6.5,5.1,1.33,Betano.br,2.62,3.55,2.25,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,,,,,,,,,,,10.0,12.0,7.0,3.0,3.0,9.0,,,,,,,,,,,,,8.0,4.0,,,,,,,4.0,5.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,0.54,0.46,5.0,3.0,3.0,0.0,2.0,3.0,,,4.0,3.0,3.0,2.0,,,,,0.0,3.0,,,,,,,0.64,0.36,5.0,9.0,4.0,3.0,1.0,6.0,,,4.0,1.0,1.0,3.0,,,,,,,1.0,3.0
n90EyIi4,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,31/05/2025,22:00,Super final,Tapatio,Leones Negros,1,0,[28],[],Betfair,3.5,2.0,3.1,Betfair,2.75,2.9,2.38,Estrelabet,1.4,2.71,Betano.br,2.45,1.42,KTO.br,6.5,1.07,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.73,1.95,Betfair,1.44,1.3,1.36,Betfair,7.0,Betfair,7.0,Betfair,9.5,Betfair,20.0,Betfair,7.5,Betfair,5.0,Betfair,7.5,Betfair,15.0,Betfair,11.0,Betfair,8.5,Betfair,11.0,Betfair,23.0,Betfair,26.0,Betfair,19.0,Betfair,26.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,KTO.br,5.1,1.15,KTO.br,2.9,1.38,Estrelabet,1.5,2.3,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,KTO.br,6.25,4.8,1.37,Betano.br,1.55,3.85,4.9,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,6.0,14.0,3.0,5.0,3.0,9.0,,,,,,,,,,,,,4.0,5.0,,,,,,,2.0,2.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,0.46,0.54,5.0,6.0,3.0,3.0,2.0,3.0,,,3.0,2.0,1.0,2.0,,,,,3.0,2.0,,,,,,,0.46,0.54,1.0,8.0,0.0,2.0,1.0,6.0,,,1.0,3.0,1.0,0.0,,,,,,,2.0,0.0
UHPwCxso,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,24/05/2025,22:00,Clausura,Leones Negros,Jaiba Brava,2,0,[90],[],Betfair,2.3,2.2,4.5,Betfair,1.7,3.7,3.8,Betano.br,1.4,2.52,Estrelabet,2.71,1.4,Superbet.br,6.5,1.08,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.0,1.33,Betfair,5.5,1.11,Betfair,1.7,2.0,Betfair,1.2,1.2,1.91,Betfair,9.0,Betfair,11.0,Betfair,19.0,Betfair,51.0,Betfair,6.0,Betfair,6.0,Betfair,12.0,Betfair,26.0,Betfair,7.0,Betfair,6.5,Betfair,11.0,Betfair,34.0,Betfair,12.0,Betfair,10.0,Betfair,18.0,Betfair,46.0,Betboom.br,6.84,1.06,Betboom.br,5.72,1.09,Superbet.br,2.87,1.31,Superbet.br,2.27,1.5,Superbet.br,1.69,1.92,Superbet.br,1.16,4.1,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,KTO.br,6.1,4.9,1.35,Betano.br,3.05,3.45,2.02,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,19.0,7.0,5.0,2.0,14.0,5.0,,,,,,,,,,,,,14.0,2.0,,,,,,,4.0,4.0,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,0.59,0.41,6.0,4.0,1.0,2.0,5.0,2.0,,,5.0,0.0,2.0,2.0,,,,,2.0,1.0,,,,,,,0.57,0.43,9.0,1.0,3.0,0.0,6.0,1.0,,,6.0,1.0,1.0,2.0,,,,,,,0.0,2.0
bZY7HbJN,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,17/05/2025,22:00,Clausura,Jaiba Brava,Leones Negros,2,1,"[36, 45]",[85],Betfair,2.4,2.0,4.5,Betfair,1.8,3.3,4.0,Betano.br,1.4,2.52,Betano.br,2.55,1.39,Superbet.br,7.4,1.06,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.85,1.85,Betfair,1.17,1.25,1.83,Betfair,7.5,Betfair,10.0,Betfair,18.0,Betfair,51.0,Betfair,6.0,Betfair,5.5,Betfair,11.0,Betfair,31.0,Betfair,7.0,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,13.0,Betfair,12.0,Betfair,21.0,Betfair,56.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.05,1.28,Superbet.br,2.4,1.44,Estrelabet,1.83,1.83,Superbet.br,1.18,3.85,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,3.05,3.3,2.1,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,12.0,11.0,5.0,6.0,7.0,5.0,,,,,,,,,,,,,8.0,0.0,,,,,,,1.0,1.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,0.64,0.36,6.0,8.0,3.0,5.0,3.0,3.0,,,5.0,0.0,,,,,,,5.0,1.0,,,,,,,0.58,0.42,6.0,3.0,2.0,1.0,4.0,2.0,,,3.0,0.0,1.0,1.0,,,,,,,0.0,2.0
UNrEj8Sb,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,11/05/2025,22:00,Clausura,Zacatecas Mineros,Jaiba Brava,0,0,[],[],Betfair,2.1,2.1,5.5,Betfair,1.55,3.9,5.0,Betano.br,1.4,2.52,Estrelabet,2.71,1.4,Superbet.br,7.0,1.07,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,1.91,1.8,Betfair,1.13,1.2,2.25,Betfair,8.0,Betfair,12.0,Betfair,23.0,Betfair,81.0,Betfair,5.5,Betfair,6.0,Betfair,14.0,Betfair,41.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,51.0,Betfair,9.5,Betfair,10.0,Betfair,23.0,Betfair,71.0,Betboom.br,5.72,1.09,Betboom.br,4.61,1.14,Superbet.br,2.5,1.41,Estrelabet,1.9,1.75,Superbet.br,1.51,2.22,Superbet.br,1.12,4.6,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,11.0,7.2,1.13,BetEsporte,5.2,4.5,1.44,Betano.br,2.65,3.4,2.27,BetEsporte,1.13,6.4,14.0,BetEsporte,1.02,10.0,35.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.69,0.31,,,,,,,,,,,7.0,0.0,1.0,0.0,6.0,0.0,,,,,,,,,,,,,8.0,1.0,,,,,,,3.0,3.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.64,0.36,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,1.0,1.0,1.0,,,,,0.0,0.0,,,,,,,0.73,0.27,7.0,0.0,1.0,0.0,6.0,0.0,,,5.0,0.0,2.0,2.0,,,,,,,0.0,1.0
IqFeYQCU,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,11/05/2025,15:00,Clausura,Leones Negros,Atl. Morelia,2,0,"[55, 61]",[],Betfair,2.25,2.25,4.5,Betfair,1.7,3.9,3.8,Superbet.br,1.32,3.1,Betano.br,2.47,1.42,Superbet.br,5.75,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,1.6,2.2,Betfair,1.2,1.2,2.0,Betfair,10.0,Betfair,13.0,Betfair,21.0,Betfair,46.0,Betfair,7.0,Betfair,6.0,Betfair,11.0,Betfair,26.0,Betfair,7.5,Betfair,6.5,Betfair,10.0,Betfair,26.0,Betfair,12.0,Betfair,10.0,Betfair,17.0,Betfair,41.0,Betboom.br,6.14,1.08,Betboom.br,5.15,1.11,Superbet.br,2.87,1.31,Superbet.br,2.3,1.48,Superbet.br,1.72,1.9,Superbet.br,1.2,3.6,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,13.0,8.0,1.1,BetEsporte,6.0,5.0,1.34,Betano.br,3.05,3.6,2.0,BetEsporte,1.21,5.6,9.2,BetEsporte,1.05,9.2,22.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,7.0,13.0,5.0,4.0,2.0,9.0,,,,,,,,,,,,,5.0,4.0,,,,,,,3.0,2.0,2.0,0.0,,,4.0,3.0,,,,,,,,,,,,,,,,,,,0.51,0.49,2.0,3.0,2.0,1.0,0.0,2.0,,,4.0,2.0,1.0,1.0,,,,,1.0,2.0,,,,,,,0.53,0.47,5.0,10.0,3.0,3.0,2.0,7.0,,,1.0,2.0,2.0,1.0,1.0,0.0,,,,,3.0,1.0
Mcu6hUcn,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,04/05/2025,20:00,Clausura,Jaiba Brava,Zacatecas Mineros,1,0,[66],[],Betfair,3.0,1.91,4.0,Betfair,2.2,3.0,3.1,Betano.br,1.5,2.25,Superbet.br,3.2,1.3,Superbet.br,8.1,1.05,Betfair,1.06,7.5,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.95,1.75,Betfair,1.3,1.33,1.57,Betfair,6.0,Betfair,7.5,Betfair,12.0,Betfair,31.0,Betfair,5.5,Betfair,5.0,Betfair,10.0,Betfair,23.0,Betfair,8.0,Betfair,8.0,Betfair,13.0,Betfair,36.0,Betfair,18.0,Betfair,15.0,Betfair,31.0,Betfair,71.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.15,1.15,Betboom.br,3.8,1.22,Superbet.br,2.15,1.55,Superbet.br,1.31,2.87,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,4.65,3.65,1.6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,6.0,3.0,4.0,0.0,2.0,3.0,,,,,,,,,,,,,6.0,4.0,,,,,,,0.0,4.0,0.0,1.0,,,0.0,3.0,,,,,,,,,,,,,,,,,,,0.56,0.44,2.0,1.0,2.0,0.0,0.0,1.0,,,2.0,3.0,0.0,1.0,,,,,0.0,2.0,,,,,,,0.67,0.33,4.0,2.0,2.0,0.0,2.0,2.0,,,4.0,1.0,0.0,3.0,0.0,1.0,,,,,0.0,1.0
IHzKTcI5,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,27/04/2025,22:00,Clausura,Zacatecas Mineros,Venados,2,0,"[50, 83]",[],Betfair,1.91,2.4,5.5,Betfair,1.4,4.5,5.0,Superbet.br,1.3,3.25,Betano.br,2.32,1.47,Superbet.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.67,2.05,Betfair,1.11,1.14,2.5,Betfair,11.0,Betfair,17.0,Betfair,26.0,Betfair,81.0,Betfair,6.5,Betfair,7.0,Betfair,15.0,Betfair,36.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,41.0,Betfair,9.0,Betfair,8.5,Betfair,15.0,Betfair,41.0,Superbet.br,3.75,1.19,,0.0,0.0,Superbet.br,2.17,1.54,Betano.br,1.75,1.95,Superbet.br,1.43,2.42,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,8.4,6.4,1.2,BetEsporte,4.1,4.4,1.56,Betano.br,2.27,3.6,2.55,BetEsporte,1.12,6.8,14.0,BetEsporte,1.02,10.0,30.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,12.0,4.0,8.0,0.0,4.0,4.0,,,,,,,,,,,,,5.0,5.0,,,,,,,4.0,3.0,0.0,1.0,,,0.0,6.0,,,,,,,,,,,,,,,,,,,0.64,0.36,8.0,2.0,4.0,0.0,4.0,2.0,,,2.0,1.0,1.0,0.0,,,,,0.0,4.0,,,,,,,0.49,0.51,4.0,2.0,4.0,0.0,0.0,2.0,,,3.0,4.0,3.0,3.0,0.0,1.0,,,,,0.0,2.0
CnCmzmrI,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,03/05/2025,22:30,Clausura,Atl. Morelia,Leones Negros,2,0,"[17, 73]",[],Betfair,2.6,2.1,4.0,Betfair,2.0,3.25,3.2,Superbet.br,1.36,2.9,Betano.br,2.57,1.38,Superbet.br,6.3,1.09,Betfair,1.03,9.0,Betfair,1.22,3.8,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.67,2.05,Betfair,1.25,1.25,1.67,Betfair,8.5,Betfair,10.0,Betfair,15.0,Betfair,36.0,Betfair,7.0,Betfair,5.5,Betfair,10.0,Betfair,21.0,Betfair,8.0,Betfair,7.0,Betfair,10.0,Betfair,26.0,Betfair,15.0,Betfair,12.0,Betfair,21.0,Betfair,46.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.5,1.21,Betboom.br,3.14,1.3,Superbet.br,1.95,1.68,Superbet.br,1.26,3.15,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,19.0,9.4,1.05,BetEsporte,8.6,5.8,1.22,Betano.br,3.9,3.75,1.7,BetEsporte,1.29,4.9,7.2,BetEsporte,1.08,8.2,17.0,BetEsporte,1.01,11.0,30.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0,4.0,,,,,,,1.0,4.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.77,0.23,1.0,0.0,1.0,0.0,0.0,0.0,,,4.0,1.0,0.0,1.0,,,,,0.0,0.0,,,,,,,0.47,0.53,1.0,0.0,1.0,0.0,0.0,0.0,,,4.0,3.0,1.0,3.0,0.0,1.0,,,,,0.0,0.0
dSgmVAgA,MEXICO,2024-2025,Liga De Expansion Mx 2024 2025,MEXICO 2,27/04/2025,15:00,Clausura,Leones Negros,Tepatitlan de Morelos,2,1,"[7, 74]",[53],Betfair,2.4,2.2,4.2,Betfair,1.8,3.7,3.3,Superbet.br,1.3,3.25,Betano.br,2.4,1.44,Superbet.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.17,4.5,Betfair,1.65,2.1,Betfair,2.6,1.44,Betfair,5.2,1.13,Betfair,1.57,2.2,Betfair,1.25,1.2,1.83,Betfair,10.0,Betfair,11.0,Betfair,17.0,Betfair,41.0,Betfair,7.5,Betfair,6.0,Betfair,10.0,Betfair,21.0,Betfair,8.0,Betfair,7.0,Betfair,9.5,Betfair,26.0,Betfair,14.0,Betfair,10.0,Betfair,15.0,Betfair,36.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.05,1.28,Superbet.br,2.47,1.42,Betano.br,1.85,1.85,Superbet.br,1.25,3.25,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,14.0,8.4,1.09,BetEsporte,6.6,5.4,1.29,Betano.br,3.25,3.75,1.87,BetEsporte,1.25,5.4,7.8,BetEsporte,1.06,8.6,18.0,BetEsporte,1.01,12.0,30.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,12.0,9.0,5.0,3.0,7.0,6.0,,,,,,,,,,,,,3.0,6.0,,,,,,,4.0,2.0,0.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,0.38,0.62,4.0,4.0,3.0,2.0,1.0,2.0,,,2.0,3.0,1.0,0.0,,,,,2.0,2.0,,,,,,,0.49,0.51,8.0,5.0,2.0,1.0,6.0,4.0,,,1.0,3.0,3.0,2.0,0.0,1.0,,,,,0.0,1.0
