Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KQ2zEkaG,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,28/05/2023,22:35,Clausura,Guadalajara Chivas,Tigres UANL,2,3,"[10, 21]","[65, 71, 110]",bet365,3.4,1.91,3.75,bet365,2.6,3.0,3.0,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.36,1.36,1.5,bet365,6.5,bet365,7.0,bet365,13.0,bet365,34.0,bet365,6.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,26.0,bet365,26.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.4,1.2,bet365,2.42,1.52,bet365,1.38,3.0,bet365,1.13,5.9,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,30.0,12.5,1.03,Betano.br,15.0,7.3,1.14,bet365,5.5,4.0,1.5,Betano.br,1.4,4.3,7.6,Betano.br,1.1,8.25,19.5,Betano.br,1.02,14.0,35.0,1.05,3.24,,,,,,,,,0.33,0.67,,,,,,,,,,,11.0,19.0,7.0,7.0,2.0,7.0,2.0,5.0,,,,,,,,,,,5.0,12.0,11.0,22.0,42.0,37.0,21.0,9.0,6.0,4.0,1.0,1.0,1.0,2.0,4.0,5.0,,,,,,,,,,,,,0.81,0.72,,,,,0.34,0.66,4.0,8.0,3.0,2.0,1.0,5.0,,,1.0,5.0,2.0,1.0,11.0,2.0,0.0,0.0,2.0,1.0,0.24,1.78,,,,,0.38,0.62,5.0,7.0,4.0,3.0,1.0,1.0,,,4.0,6.0,1.0,1.0,,,4.0,4.0,0.0,1.0,1.0,4.0
x2DVEVqA,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,25/05/2023,23:00,Clausura,Tigres UANL,Guadalajara Chivas,0,0,[],[],bet365,2.5,2.0,5.5,bet365,1.8,3.3,5.25,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.2,1.62,bet365,1.17,1.33,1.95,bet365,7.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,5.5,bet365,6.5,bet365,17.0,bet365,41.0,bet365,7.0,bet365,9.0,bet365,19.0,bet365,51.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,81.0,,0.0,0.0,bet365,6.6,1.11,bet365,3.45,1.3,bet365,2.5,1.5,bet365,1.8,2.05,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,9.25,1.1,Betano.br,7.7,5.2,1.32,bet365,3.4,3.5,1.95,Betano.br,1.2,5.8,13.5,Betano.br,1.04,11.25,32.0,,0.0,0.0,0.0,0.8,0.33,,,,,,,,,0.62,0.38,,,,,,,,,,,12.0,5.0,2.0,1.0,5.0,3.0,5.0,1.0,,,,,,,,,,,2.0,2.0,13.0,12.0,34.0,30.0,12.0,12.0,3.0,4.0,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,0.23,0.17,,,,,0.6,0.4,5.0,4.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,1.0,0.57,0.16,,,,,0.67,0.33,7.0,1.0,1.0,0.0,4.0,1.0,,,1.0,1.0,2.0,3.0,,,7.0,8.0,0.0,1.0,0.0,1.0
E7pKVPJp,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,21/05/2023,23:00,Clausura,Club America,Guadalajara Chivas,1,3,[57],"[19, 76, 88]",bet365,2.3,2.25,5.0,bet365,1.73,3.8,4.75,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.82,2.02,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.8,1.95,bet365,1.18,1.25,2.05,bet365,12.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,7.5,bet365,7.0,bet365,13.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,6.25,1.12,bet365,5.25,1.16,bet365,3.0,1.38,bet365,2.35,1.57,bet365,1.77,2.02,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,8.25,1.13,Betano.br,6.2,5.1,1.39,bet365,2.88,3.75,2.05,Betano.br,1.22,5.9,11.0,Betano.br,1.06,10.75,25.0,Betano.br,1.01,15.5,37.0,0.4,0.87,,,,,,,,,0.45,0.55,,,,,,,,,,,10.0,9.0,2.0,5.0,8.0,4.0,,,,,,,,,,,,,4.0,2.0,11.0,6.0,24.0,17.0,6.0,10.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,0.21,0.75,,,,,0.6,0.4,7.0,4.0,1.0,1.0,6.0,3.0,,,2.0,1.0,2.0,3.0,3.0,5.0,0.0,1.0,0.0,1.0,0.19,0.12,,,,,0.3,0.7,3.0,5.0,1.0,4.0,2.0,1.0,,,2.0,1.0,2.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0
phflyndN,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,20/05/2023,22:06,Clausura,Monterrey,Tigres UANL,0,1,[],[79],bet365,2.75,2.05,4.33,bet365,2.1,3.1,4.0,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.22,1.36,1.7,bet365,7.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,6.5,bet365,6.0,bet365,15.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,19.0,bet365,19.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,3.1,1.35,bet365,2.1,1.77,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.5,1.07,Betano.br,9.75,5.9,1.24,bet365,4.0,3.75,1.7,Betano.br,1.27,5.2,9.75,Betano.br,1.07,10.0,23.0,Betano.br,1.02,15.0,37.0,0.57,0.39,,,,,,,,,0.37,0.63,,,,,,,,,,,14.0,6.0,2.0,1.0,12.0,5.0,,,,,,,,,,,,,4.0,4.0,20.0,25.0,20.0,23.0,22.0,17.0,1.0,2.0,,,3.0,3.0,0.0,2.0,,,,,,,,,,,,,0.15,0.01,,,,,0.4,0.6,3.0,1.0,0.0,0.0,3.0,1.0,,,1.0,1.0,,,10.0,6.0,2.0,1.0,0.0,0.0,0.42,0.38,,,,,0.34,0.66,11.0,5.0,2.0,1.0,9.0,4.0,,,3.0,3.0,1.0,2.0,,,12.0,11.0,1.0,2.0,0.0,2.0
dSchz6BT,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,18/05/2023,23:10,Clausura,Guadalajara Chivas,Club America,0,1,[],[60],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,1.62,2.2,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.22,1.02,,,,,,,,,0.48,0.52,,,,,,,,,,,17.0,19.0,8.0,7.0,9.0,12.0,,,,,,,,,,,,,8.0,7.0,15.0,11.0,37.0,30.0,11.0,12.0,3.0,1.0,,,0.0,3.0,6.0,8.0,,,,,,,,,,,,,0.96,0.81,,,,,0.46,0.54,11.0,14.0,6.0,5.0,5.0,9.0,,,3.0,5.0,,,4.0,3.0,0.0,2.0,5.0,6.0,0.26,0.21,,,,,0.5,0.5,6.0,5.0,2.0,2.0,4.0,3.0,,,5.0,2.0,3.0,1.0,,,7.0,9.0,0.0,1.0,1.0,2.0
2T4qxStH,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,18/05/2023,00:00,Clausura,Tigres UANL,Monterrey,1,1,[50],[35],bet365,3.25,1.95,3.75,bet365,2.55,3.0,3.0,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.75,bet365,1.36,1.36,1.5,bet365,7.0,bet365,7.5,bet365,13.0,bet365,29.0,bet365,7.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,11.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,26.0,bet365,23.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.4,1.2,bet365,2.5,1.5,bet365,1.4,2.85,bet365,1.14,5.75,bet365,1.1,6.8,,0.0,0.0,,0.0,0.0,Betano.br,28.0,12.5,1.04,Betano.br,14.5,7.2,1.15,bet365,5.5,4.0,1.5,bet365,1.4,4.33,6.0,Betano.br,1.11,8.0,17.5,Betano.br,1.03,13.5,32.0,0.32,0.56,,,,,,,,,0.61,0.39,,,,,,,,,,,4.0,8.0,2.0,4.0,2.0,4.0,,,,,,,,,,,,,4.0,5.0,15.0,14.0,23.0,19.0,11.0,14.0,3.0,4.0,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,0.02,0.26,,,,,0.63,0.37,2.0,4.0,1.0,2.0,1.0,2.0,,,3.0,2.0,2.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,0.3,0.3,,,,,0.59,0.41,2.0,4.0,1.0,2.0,1.0,2.0,,,1.0,3.0,1.0,2.0,,,8.0,8.0,2.0,0.0,2.0,0.0
vRFahCE4,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,14/05/2023,22:07,Clausura,Guadalajara Chivas,Atlas,1,0,[60],[],bet365,2.88,2.2,3.75,bet365,2.15,3.4,3.3,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.7,2.05,bet365,1.33,1.3,1.67,bet365,11.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,7.5,bet365,6.5,bet365,12.0,bet365,26.0,bet365,11.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,6.8,,0.0,0.0,,0.0,0.0,Betano.br,19.0,10.25,1.08,Betano.br,9.0,6.0,1.25,bet365,4.5,3.75,1.67,Betano.br,1.35,4.9,7.5,Betano.br,1.1,8.75,17.5,Betano.br,1.03,14.0,32.0,0.73,0.56,,,,,,,,,0.51,0.49,,,,,,,,,,,14.0,12.0,4.0,1.0,10.0,11.0,,,,,,,,,,,,,3.0,4.0,10.0,19.0,32.0,29.0,17.0,9.0,2.0,2.0,,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,0.33,0.36,,,,,0.6,0.4,7.0,6.0,2.0,0.0,5.0,6.0,,,1.0,1.0,0.0,1.0,8.0,6.0,2.0,0.0,0.0,2.0,0.4,0.2,,,,,0.42,0.58,7.0,6.0,2.0,1.0,5.0,5.0,,,2.0,3.0,2.0,1.0,,,9.0,3.0,0.0,1.0,1.0,1.0
CvE7jjqH,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,14/05/2023,15:00,Clausura,Toluca,Tigres UANL,3,1,"[26, 45, 53]",[71],bet365,2.38,2.38,4.33,bet365,1.75,3.8,4.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.62,2.2,bet365,1.18,1.25,2.0,bet365,15.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,9.5,bet365,7.5,bet365,15.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,13.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,2.3,1.6,bet365,1.75,2.05,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,8.5,1.12,Betano.br,6.5,5.3,1.36,bet365,2.88,4.0,2.0,Betano.br,1.28,5.6,8.5,Betano.br,1.08,9.75,19.5,Betano.br,1.02,14.5,32.0,0.68,0.55,,,,,,,,,0.51,0.49,,,,,,,,,,,13.0,11.0,4.0,3.0,9.0,8.0,,,,,,,,,,,,,2.0,3.0,11.0,16.0,22.0,25.0,15.0,10.0,3.0,6.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,0.47,0.31,,,,,0.64,0.36,5.0,5.0,3.0,0.0,2.0,5.0,,,1.0,1.0,1.0,3.0,8.0,5.0,1.0,0.0,0.0,1.0,0.21,0.24,,,,,0.38,0.62,8.0,6.0,1.0,3.0,7.0,3.0,,,1.0,2.0,2.0,3.0,,,7.0,5.0,0.0,1.0,2.0,0.0
867GlUDT,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,14/05/2023,00:16,Clausura,Club America,Atl. San Luis,1,2,[88],"[18, 31]",bet365,1.73,2.88,6.5,bet365,1.33,5.25,8.0,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.57,2.25,bet365,1.08,1.17,3.25,bet365,23.0,bet365,29.0,bet365,41.0,bet365,81.0,bet365,12.0,bet365,11.0,bet365,23.0,bet365,41.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,3.0,1.38,bet365,2.38,1.55,bet365,1.88,1.98,bet365,1.48,2.6,bet365,1.32,3.3,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.4,5.6,1.39,bet365,3.0,4.5,1.91,Betano.br,1.87,4.1,3.35,Betano.br,1.1,8.75,17.0,Betano.br,1.03,14.0,30.0,,0.0,0.0,0.0,2.22,0.6,,,,,,,,,0.5,0.5,,,,,,,,,,,25.0,11.0,11.0,4.0,14.0,7.0,,,,,,,,,,,,,10.0,4.0,12.0,10.0,17.0,17.0,8.0,12.0,3.0,2.0,,,2.0,0.0,2.0,10.0,,,,,,,,,,,,,0.94,0.52,,,,,0.54,0.46,14.0,10.0,5.0,4.0,9.0,6.0,,,3.0,3.0,,,1.0,4.0,0.0,0.0,2.0,5.0,1.28,0.08,,,,,0.46,0.54,11.0,1.0,6.0,0.0,5.0,1.0,,,7.0,1.0,3.0,2.0,,,7.0,8.0,2.0,0.0,0.0,5.0
tAvvQzjQ,MEXICO,2022-2023,Liga Mx 2022 2023,MEXICO 1,13/05/2023,22:06,Clausura,Monterrey,Santos Laguna,2,0,"[3, 68]",[],bet365,2.0,2.5,6.0,bet365,1.5,4.75,5.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.75,2.0,bet365,1.14,1.18,2.5,bet365,15.0,bet365,17.0,bet365,29.0,bet365,67.0,bet365,8.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,51.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.8,2.05,bet365,1.48,2.6,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,6.9,1.21,Betano.br,4.55,4.55,1.57,bet365,2.25,3.75,2.5,Betano.br,1.16,6.9,13.5,Betano.br,1.04,12.0,29.0,,0.0,0.0,0.0,0.49,0.99,,,,,,,,,0.46,0.54,,,,,,,,,,,12.0,13.0,4.0,4.0,8.0,9.0,,,,,,,,,,,,,1.0,6.0,15.0,19.0,20.0,21.0,16.0,12.0,1.0,1.0,,,3.0,3.0,4.0,2.0,,,,,,,,,,,,,0.32,0.64,,,,,0.44,0.56,6.0,5.0,2.0,3.0,4.0,2.0,,,0.0,5.0,1.0,0.0,4.0,5.0,0.0,3.0,3.0,1.0,0.17,0.35,,,,,0.48,0.52,6.0,8.0,2.0,1.0,4.0,7.0,,,1.0,1.0,0.0,1.0,,,12.0,7.0,3.0,0.0,1.0,1.0
