Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
EZULbBcL,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Cambuur,Maastricht,1,0,[10],[],bet365,1.62,3.0,7.5,bet365,1.27,5.5,10.0,bet365,1.18,4.5,bet365,1.95,1.85,bet365,3.75,1.25,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.67,2.1,bet365,1.06,1.14,3.75,bet365,23.0,bet365,34.0,bet365,51.0,bet365,126.0,bet365,12.0,bet365,12.0,bet365,29.0,bet365,51.0,bet365,9.0,bet365,9.5,bet365,17.0,bet365,51.0,bet365,9.5,bet365,10.0,bet365,21.0,bet365,41.0,bet365,2.6,1.48,bet365,2.03,1.83,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.26,3.7,Superbet.br,1.06,6.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.7,5.3,1.5,bet365,2.6,4.33,2.1,Betano.br,1.72,4.3,3.9,Estrelabet,1.05,7.5,16.0,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,1.31,0.39,1.1,0.24,1.28,0.29,0.24,1.1,0.24,0.38,0.58,0.42,0.83,0.76,0.56,0.48,0.68,0.57,1.0,0.0,0.32,0.17,18.0,9.0,8.0,3.0,8.0,1.0,2.0,5.0,12.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,31.0,9.0,7.0,3.0,15.0,6.0,14.0,20.0,6.0,15.0,0.0,3.0,,,3.0,1.0,3.0,7.0,0.73,0.63,47.0,42.0,13.0,10.0,16.0,10.0,0.0,0.0,0.0,0.0,0.73,0.18,0.53,0.08,0.8,0.07,0.65,0.35,6.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,4.0,11.0,2.0,0.0,1.0,1.0,0.58,0.21,0.57,0.16,0.48,0.22,0.51,0.49,12.0,7.0,6.0,2.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,,,2.0,4.0,1.0,1.0,2.0,6.0
ptbWmfq3,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Dordrecht,FC Volendam,4,1,"[14, 42, 68, 72]",[48],bet365,2.5,2.63,3.4,bet365,2.0,4.1,3.1,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.36,3.0,bet365,1.36,1.22,1.8,bet365,26.0,bet365,19.0,bet365,21.0,bet365,34.0,bet365,15.0,bet365,9.0,bet365,12.0,bet365,21.0,bet365,15.0,bet365,9.5,bet365,11.0,bet365,21.0,bet365,21.0,bet365,13.0,bet365,17.0,bet365,26.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.3,1.33,bet365,2.6,1.48,bet365,2.0,1.85,bet365,1.35,3.1,bet365,1.16,5.25,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,14.5,9.5,1.12,Betano.br,6.9,6.0,1.32,bet365,3.25,4.33,1.8,Betano.br,1.38,5.4,6.3,Betano.br,1.13,8.75,13.5,BetEsporte,1.02,12.0,22.0,2.96,0.72,2.98,1.11,2.45,0.72,1.11,2.98,0.11,-1.02,0.39,0.61,0.7,0.8,0.41,0.42,0.57,0.58,0.0,0.0,0.14,0.2,19.0,10.0,6.0,5.0,8.0,4.0,5.0,1.0,16.0,6.0,2.0,4.0,3.0,2.0,1.0,0.0,42.0,24.0,9.0,6.0,10.0,13.0,14.0,22.0,13.0,10.0,1.0,1.0,,,3.0,1.0,4.0,2.0,0.74,0.5,49.0,38.0,29.0,24.0,6.0,6.0,1.0,1.0,0.0,1.0,2.46,0.14,1.83,0.54,1.93,0.17,0.38,0.62,13.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,4.0,5.0,0.0,1.0,3.0,6.0,1.0,0.0,1.0,1.0,0.5,0.58,1.15,0.57,0.52,0.55,0.4,0.6,6.0,7.0,3.0,4.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,,,10.0,4.0,2.0,1.0,3.0,1.0
6enunYDF,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Helmond,De Graafschap,1,4,[24],"[31, 50, 52, 74]",bet365,3.4,2.63,2.5,bet365,3.1,4.0,2.05,bet365,1.2,4.33,bet365,1.98,1.83,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.36,3.0,bet365,1.73,1.22,1.36,bet365,26.0,bet365,15.0,bet365,15.0,bet365,21.0,bet365,19.0,bet365,9.0,bet365,9.5,bet365,15.0,bet365,21.0,bet365,12.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,21.0,bet365,21.0,bet365,26.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,5.0,1.17,bet365,3.0,1.38,bet365,1.78,2.03,bet365,1.43,2.75,bet365,1.3,3.45,bet365,1.13,5.9,Superbet.br,1.08,6.3,BetEsporte,22.0,11.0,1.03,Betano.br,11.75,8.0,1.16,Betano.br,5.5,5.1,1.44,bet365,1.73,4.5,3.4,Betano.br,1.29,6.2,7.5,Betano.br,1.1,10.0,15.5,1.44,2.64,1.84,2.42,1.03,1.29,2.42,1.84,-1.58,0.84,0.52,0.48,0.82,0.8,0.55,0.52,0.73,0.71,0.0,0.0,0.3,0.31,21.0,15.0,4.0,6.0,12.0,4.0,5.0,5.0,13.0,8.0,8.0,7.0,0.0,6.0,1.0,0.0,41.0,22.0,6.0,4.0,15.0,7.0,19.0,22.0,7.0,15.0,0.0,1.0,,,0.0,2.0,2.0,3.0,0.65,0.71,62.0,41.0,17.0,32.0,9.0,6.0,0.0,0.0,0.0,0.0,0.84,0.95,0.97,0.96,0.56,0.36,0.5,0.5,9.0,8.0,2.0,1.0,6.0,3.0,0.0,2.0,4.0,0.0,,,3.0,9.0,0.0,2.0,0.0,1.0,0.6,1.69,0.87,1.46,0.47,0.93,0.54,0.46,12.0,7.0,2.0,5.0,6.0,1.0,0.0,4.0,2.0,4.0,0.0,1.0,,,4.0,6.0,0.0,0.0,2.0,2.0
ELkmpCrS,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Jong Ajax,Oss,0,0,[],[],bet365,2.25,2.5,4.33,bet365,1.75,4.2,3.9,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.5,2.5,bet365,1.25,1.22,2.0,bet365,19.0,bet365,17.0,bet365,23.0,bet365,41.0,bet365,11.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,11.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,15.0,bet365,12.0,bet365,19.0,bet365,34.0,bet365,5.25,1.16,bet365,4.4,1.2,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.73,2.08,bet365,1.26,3.7,bet365,1.1,7.0,Superbet.br,1.05,7.4,,0.0,0.0,,0.0,0.0,Betano.br,11.75,8.25,1.16,Betano.br,5.6,5.3,1.42,bet365,2.88,4.0,2.0,Betano.br,1.27,6.1,8.75,Betano.br,1.08,10.5,19.5,BetEsporte,1.01,12.0,30.0,1.79,1.03,0.72,1.86,1.02,0.71,1.86,0.72,1.86,0.72,0.57,0.43,0.88,0.74,0.58,0.51,0.88,0.63,0.0,0.0,0.26,0.35,21.0,11.0,5.0,3.0,9.0,5.0,7.0,3.0,8.0,8.0,13.0,3.0,2.0,2.0,0.0,0.0,22.0,27.0,4.0,5.0,21.0,13.0,14.0,15.0,13.0,21.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,0.53,0.52,56.0,47.0,24.0,21.0,9.0,8.0,0.0,0.0,0.0,0.0,0.36,0.19,0.45,0.55,0.21,0.19,0.63,0.37,9.0,5.0,2.0,1.0,5.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,12.0,1.0,0.0,1.0,2.0,1.43,0.84,0.27,1.31,0.81,0.52,0.51,0.49,12.0,6.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,7.0,9.0,0.0,2.0,2.0,3.0
ImoJvj6k,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Jong AZ,Excelsior,2,1,"[34, 88]",[24],bet365,3.75,2.75,2.2,bet365,3.7,4.33,1.75,bet365,1.18,4.5,bet365,1.88,1.93,bet365,3.75,1.25,bet365,1.01,26.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.73,2.0,bet365,2.63,1.44,bet365,1.33,3.25,bet365,2.0,1.2,1.29,bet365,29.0,bet365,15.0,bet365,15.0,bet365,19.0,bet365,23.0,bet365,10.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,15.0,bet365,11.0,bet365,15.0,bet365,41.0,bet365,23.0,bet365,21.0,bet365,26.0,,0.0,0.0,,0.0,0.0,Superbet.br,6.6,1.07,bet365,6.4,1.12,bet365,3.55,1.28,bet365,2.08,1.73,bet365,1.65,2.2,bet365,1.45,2.68,bet365,1.23,4.1,bet365,1.18,4.8,BetEsporte,26.0,12.0,1.01,Betano.br,17.0,10.25,1.1,Betano.br,7.9,6.2,1.28,bet365,2.0,4.33,2.75,Betano.br,1.47,5.3,4.9,Betano.br,1.19,7.9,9.75,1.24,1.51,1.88,1.12,0.49,1.32,1.12,1.88,0.01,-0.12,0.53,0.47,0.79,0.79,0.43,0.38,0.73,0.6,1.0,3.0,0.2,0.5,8.0,14.0,4.0,7.0,3.0,5.0,1.0,2.0,5.0,8.0,3.0,6.0,2.0,2.0,0.0,0.0,18.0,23.0,3.0,4.0,17.0,9.0,20.0,20.0,9.0,17.0,2.0,2.0,,,3.0,4.0,6.0,2.0,0.57,0.69,65.0,44.0,14.0,7.0,12.0,16.0,0.0,0.0,0.0,1.0,0.83,0.93,0.78,0.31,0.32,0.81,0.52,0.48,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,6.0,6.0,3.0,3.0,1.0,0.0,0.41,0.58,1.1,0.81,0.17,0.51,0.54,0.46,4.0,10.0,3.0,5.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,,,3.0,11.0,0.0,1.0,5.0,2.0
j1qRxUz2,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Jong PSV,Jong Utrecht,3,1,"[10, 35, 82]",[66],bet365,2.1,2.75,4.33,bet365,1.65,4.75,4.1,bet365,1.18,4.5,bet365,1.95,1.85,bet365,3.75,1.25,bet365,1.01,29.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,2.75,1.4,bet365,1.4,2.75,bet365,1.22,1.18,2.2,bet365,29.0,bet365,21.0,bet365,29.0,bet365,41.0,bet365,15.0,bet365,10.0,bet365,15.0,bet365,29.0,bet365,12.0,bet365,9.0,bet365,13.0,bet365,23.0,bet365,15.0,bet365,12.0,bet365,17.0,bet365,29.0,bet365,4.4,1.2,bet365,3.7,1.26,bet365,2.5,1.5,bet365,2.03,1.78,bet365,1.65,2.2,bet365,1.24,3.9,bet365,1.1,7.0,Superbet.br,1.05,7.3,,0.0,0.0,,0.0,0.0,Betano.br,8.75,7.5,1.21,Betano.br,4.55,5.2,1.52,bet365,2.5,4.33,2.2,Betano.br,1.26,6.4,8.25,Betano.br,1.09,10.5,17.5,BetEsporte,1.01,12.0,28.0,3.98,0.3,3.87,0.41,1.27,0.42,0.41,3.87,-0.59,0.87,0.64,0.36,0.85,0.78,0.59,0.52,0.72,0.65,0.0,0.0,0.23,0.22,18.0,7.0,7.0,1.0,5.0,2.0,6.0,4.0,13.0,4.0,5.0,3.0,5.0,1.0,0.0,0.0,25.0,15.0,7.0,1.0,16.0,15.0,19.0,12.0,15.0,16.0,2.0,1.0,,,1.0,1.0,0.0,4.0,0.71,0.56,49.0,46.0,8.0,24.0,7.0,14.0,0.0,0.0,0.0,0.0,2.25,0.15,2.18,0.0,1.02,0.1,0.66,0.34,13.0,4.0,5.0,0.0,3.0,1.0,2.0,0.0,5.0,0.0,,,10.0,7.0,1.0,0.0,0.0,3.0,1.73,0.15,1.69,0.41,0.25,0.32,0.62,0.38,5.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,,5.0,9.0,0.0,1.0,0.0,1.0
69RD0XS8,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Roda,Eindhoven FC,0,1,[],[69],bet365,2.25,2.5,4.33,bet365,1.75,4.0,4.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.57,2.25,bet365,1.22,1.22,2.0,bet365,17.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,10.0,bet365,8.0,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,2.3,1.6,bet365,1.83,2.03,bet365,1.25,3.8,bet365,1.1,7.0,Superbet.br,1.05,7.6,,0.0,0.0,,0.0,0.0,Betano.br,12.0,8.25,1.15,Betano.br,5.8,5.2,1.42,bet365,2.88,4.0,2.0,Betano.br,1.26,6.0,9.25,Betano.br,1.08,10.5,21.0,BetEsporte,1.01,12.0,30.0,1.25,1.03,0.75,1.99,0.76,0.59,1.99,0.75,1.04,0.75,0.53,0.47,0.83,0.8,0.56,0.53,0.65,0.69,0.0,1.0,0.13,0.14,21.0,14.0,5.0,9.0,10.0,5.0,6.0,0.0,11.0,9.0,10.0,5.0,3.0,2.0,2.0,1.0,25.0,21.0,4.0,5.0,10.0,5.0,19.0,17.0,5.0,10.0,2.0,1.0,,,3.0,0.0,8.0,5.0,0.67,0.85,33.0,43.0,14.0,30.0,6.0,10.0,1.0,0.0,0.0,0.0,0.46,0.67,0.72,0.98,0.3,0.2,0.57,0.43,6.0,9.0,3.0,5.0,1.0,4.0,2.0,1.0,2.0,3.0,,,1.0,5.0,1.0,0.0,5.0,3.0,0.79,0.36,0.03,1.01,0.46,0.39,0.49,0.51,15.0,5.0,2.0,4.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,4.0,5.0,2.0,0.0,3.0,2.0
b76hgkLr,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Telstar,FC Emmen,3,0,"[4, 24, 73]",[],bet365,2.25,2.5,4.33,bet365,1.73,4.2,4.0,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.57,2.25,bet365,1.22,1.22,2.05,bet365,17.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.24,3.9,Betboom.br,1.02,8.7,Superbet.br,1.05,7.6,,0.0,0.0,,0.0,0.0,Betano.br,11.5,8.0,1.16,Betano.br,5.5,5.1,1.44,bet365,2.75,4.0,2.05,Betano.br,1.25,6.1,9.25,Betano.br,1.08,10.5,21.0,BetEsporte,1.01,12.0,30.0,1.71,0.83,1.91,0.77,0.74,0.94,0.77,1.91,0.77,-1.09,0.32,0.68,0.65,0.82,0.38,0.6,0.59,0.64,1.0,0.0,0.36,0.24,13.0,10.0,5.0,2.0,6.0,3.0,2.0,5.0,9.0,5.0,4.0,5.0,4.0,1.0,2.0,0.0,19.0,24.0,2.0,6.0,11.0,8.0,21.0,25.0,8.0,11.0,1.0,2.0,,,4.0,0.0,2.0,2.0,0.6,0.82,44.0,36.0,38.0,12.0,7.0,7.0,0.0,0.0,0.0,0.0,1.21,0.24,1.39,0.03,0.3,0.23,0.3,0.7,7.0,5.0,2.0,1.0,4.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,4.0,4.0,3.0,0.0,1.0,0.0,0.5,0.59,0.52,0.74,0.44,0.71,0.34,0.66,6.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,4.0,7.0,1.0,0.0,1.0,2.0
tjb9k7K7,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Venlo,Den Haag,2,7,"[69, 90]","[24, 33, 36, 48, 59, 63, 80]",bet365,3.25,2.5,2.63,bet365,2.9,3.9,2.15,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,21.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.67,1.25,1.4,bet365,21.0,bet365,12.0,bet365,13.0,bet365,21.0,bet365,15.0,bet365,8.0,bet365,9.5,bet365,15.0,bet365,19.0,bet365,11.0,bet365,12.0,bet365,19.0,bet365,34.0,bet365,21.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.85,1.4,bet365,1.7,2.1,bet365,1.38,3.0,bet365,1.26,3.7,bet365,1.11,6.8,Superbet.br,1.06,6.9,BetEsporte,23.0,11.0,1.02,Betano.br,13.0,8.25,1.15,Betano.br,6.0,5.0,1.42,bet365,1.67,4.33,3.75,Betano.br,1.27,6.2,8.0,Betano.br,1.1,10.25,17.0,0.67,2.85,1.35,3.83,0.75,1.68,3.83,1.35,-3.17,-0.65,0.43,0.57,0.8,0.83,0.55,0.55,0.55,0.7,0.0,0.0,0.64,0.28,10.0,18.0,3.0,10.0,5.0,3.0,2.0,5.0,8.0,11.0,2.0,7.0,1.0,7.0,0.0,0.0,17.0,23.0,5.0,7.0,8.0,11.0,22.0,21.0,11.0,8.0,,,,,3.0,1.0,3.0,1.0,0.38,0.83,35.0,42.0,37.0,17.0,5.0,9.0,0.0,0.0,0.0,0.0,0.26,0.68,0.0,1.45,0.43,0.59,0.45,0.55,2.0,7.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,3.0,,,5.0,3.0,1.0,1.0,2.0,0.0,0.41,2.17,1.35,2.38,0.32,1.09,0.41,0.59,8.0,11.0,3.0,5.0,3.0,3.0,1.0,5.0,3.0,4.0,,,,,6.0,5.0,2.0,0.0,1.0,1.0
pO40iTke,NETHERLANDS,2024-2025,Eerste Divisie 2024 2025,NETHERLANDS 2,09/05/2025,15:00,Round 38,Vitesse,Den Bosch,3,1,"[8, 81, 86]",[65],bet365,2.05,2.75,4.5,bet365,1.6,4.75,4.33,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.11,6.5,bet365,1.36,3.1,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.44,2.63,bet365,1.2,1.18,2.3,bet365,26.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,12.0,bet365,10.0,bet365,15.0,bet365,29.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,15.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,4.25,1.21,bet365,3.55,1.28,bet365,2.43,1.53,bet365,2.0,1.85,bet365,1.6,2.3,bet365,1.22,4.15,bet365,1.11,6.8,Superbet.br,1.04,8.2,,0.0,0.0,,0.0,0.0,Betano.br,9.25,7.4,1.21,Betano.br,4.6,5.0,1.53,bet365,2.4,4.33,2.3,Betano.br,1.23,6.5,9.75,Betano.br,1.08,10.5,19.5,BetEsporte,1.01,12.0,30.0,0.79,0.83,1.45,1.47,0.93,0.64,1.47,1.45,0.47,-1.55,0.57,0.43,0.86,0.8,0.55,0.43,0.76,0.63,0.0,1.0,0.14,0.29,18.0,14.0,11.0,6.0,4.0,3.0,3.0,5.0,10.0,5.0,8.0,8.0,0.0,1.0,0.0,0.0,28.0,12.0,11.0,6.0,5.0,9.0,17.0,18.0,9.0,5.0,1.0,0.0,,,2.0,1.0,5.0,8.0,0.71,0.68,36.0,51.0,21.0,28.0,11.0,5.0,0.0,0.0,0.0,0.0,0.61,0.28,0.77,0.14,0.68,0.18,0.58,0.42,11.0,10.0,7.0,2.0,2.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,5.0,4.0,2.0,0.0,2.0,6.0,0.18,0.55,0.68,1.33,0.25,0.46,0.56,0.44,7.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,7.0,2.0,,,,,4.0,1.0,0.0,1.0,3.0,2.0
