Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
QP66mksm,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,30/04/2023,13:00,Final,Ajax,PSV,1,1,[42],[67],bet365,3.0,2.4,3.0,bet365,2.6,3.5,2.63,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.44,2.63,bet365,1.44,1.29,1.5,bet365,17.0,bet365,13.0,bet365,17.0,bet365,26.0,bet365,13.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,10.0,bet365,21.0,bet365,26.0,bet365,19.0,bet365,21.0,bet365,29.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.5,1.5,bet365,1.5,2.5,bet365,1.24,3.9,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,Betano.br,20.0,11.25,1.06,Betano.br,10.0,6.8,1.2,Betano.br,4.65,4.4,1.57,bet365,1.44,4.75,4.75,Betano.br,1.17,7.3,11.25,Betano.br,1.05,11.75,22.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,18.0,13.0,1.0,5.0,13.0,7.0,4.0,1.0,,,,,,,,,,,3.0,5.0,15.0,15.0,19.0,20.0,15.0,17.0,5.0,6.0,,,2.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,,,,0.72,0.28,5.0,6.0,1.0,2.0,2.0,4.0,,,1.0,2.0,3.0,2.0,5.0,6.0,0.0,1.0,2.0,0.0,,,,,,,0.54,0.46,11.0,4.0,0.0,3.0,10.0,1.0,,,1.0,2.0,1.0,2.0,,,7.0,7.0,1.0,2.0,2.0,0.0
fiByvKGM,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,05/04/2023,15:00,Semi-finals,Feyenoord,Ajax,1,2,[45],"[14, 51]",bet365,2.88,2.3,3.5,bet365,2.25,3.5,3.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.36,1.29,1.62,bet365,13.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,10.0,bet365,6.5,bet365,11.0,bet365,23.0,bet365,12.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,21.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.0,1.23,bet365,3.3,1.32,bet365,2.2,1.65,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,Betano.br,19.5,10.75,1.07,Betano.br,9.25,6.4,1.22,bet365,4.0,4.33,1.62,Betano.br,1.4,4.75,6.4,Betano.br,1.13,8.0,14.5,Betano.br,1.03,13.0,28.0,,,,,,,,,,,0.56,0.44,0.79,0.71,,,,,,,,,11.0,11.0,4.0,5.0,6.0,3.0,1.0,3.0,,,,,,,,,,,8.0,3.0,14.0,15.0,25.0,15.0,16.0,14.0,3.0,6.0,0.0,1.0,1.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.49,0.51,5.0,6.0,3.0,1.0,2.0,3.0,,,3.0,2.0,0.0,2.0,7.0,7.0,0.0,0.0,0.0,2.0,,,,,,,0.63,0.37,6.0,5.0,1.0,4.0,4.0,0.0,,,5.0,1.0,3.0,4.0,0.0,1.0,9.0,7.0,1.0,0.0,3.0,1.0
ShaszS3j,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,02/03/2023,17:00,Quarter-finals,De Graafschap,Ajax,0,3,[],"[12, 26, 78]",bet365,8.0,2.88,1.67,bet365,10.0,6.5,1.25,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.8,1.91,bet365,3.75,1.11,1.06,bet365,21.0,bet365,9.5,bet365,8.0,bet365,8.5,bet365,26.0,bet365,13.0,bet365,9.0,bet365,10.0,bet365,51.0,bet365,23.0,bet365,21.0,bet365,21.0,bet365,101.0,bet365,51.0,bet365,51.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.8,1.25,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.65,2.2,bet365,1.45,2.67,,0.0,0.0,0.0,Betano.br,35.0,15.0,1.02,Betano.br,21.0,9.75,1.08,Betano.br,3.85,4.2,1.72,bet365,2.05,4.33,2.75,Betano.br,1.47,5.2,4.85,,,,,,,,,,,0.28,0.72,0.66,0.88,,,,,,,,,9.0,15.0,1.0,6.0,5.0,4.0,3.0,5.0,,,,,,,,,,,1.0,9.0,12.0,9.0,24.0,16.0,8.0,7.0,1.0,1.0,,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.2,0.8,3.0,7.0,0.0,4.0,2.0,2.0,,,0.0,3.0,1.0,0.0,8.0,4.0,0.0,2.0,2.0,0.0,,,,,,,0.36,0.64,6.0,8.0,1.0,2.0,3.0,2.0,,,1.0,6.0,0.0,1.0,,,0.0,3.0,1.0,2.0,1.0,1.0
G0CXv01G,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,04/04/2023,15:00,Semi-finals,Spakenburg,PSV,1,2,[59],"[43, 46]",bet365,15.0,4.33,1.29,bet365,29.0,13.0,1.07,bet365,1.13,6.0,bet365,1.62,2.2,bet365,2.75,1.4,,0.0,0.0,bet365,1.04,13.0,bet365,1.17,5.0,bet365,1.44,2.63,bet365,2.0,1.73,bet365,2.1,1.67,bet365,9.0,1.04,1.01,bet365,34.0,bet365,17.0,bet365,9.5,bet365,7.5,bet365,51.0,bet365,23.0,bet365,15.0,bet365,12.0,bet365,126.0,bet365,51.0,bet365,41.0,bet365,34.0,,0.0,bet365,151.0,bet365,101.0,bet365,81.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.38,1.55,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,10.5,6.7,1.21,Betano.br,4.6,5.0,1.53,bet365,2.4,4.75,2.2,,,,,,,,,,,0.29,0.71,0.63,0.86,,,,,,,,,5.0,16.0,3.0,7.0,1.0,9.0,1.0,0.0,,,,,,,,,,,5.0,5.0,10.0,8.0,15.0,18.0,9.0,6.0,1.0,1.0,,,0.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,0.28,0.72,1.0,10.0,1.0,4.0,0.0,6.0,,,3.0,3.0,0.0,1.0,4.0,4.0,0.0,2.0,3.0,1.0,,,,,,,0.3,0.7,4.0,6.0,2.0,3.0,1.0,3.0,,,2.0,2.0,1.0,0.0,,,5.0,2.0,0.0,2.0,2.0,1.0
Yis9hzKH,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,02/03/2023,14:45,Quarter-finals,PSV,Den Haag,3,1,"[12, 21, 54]",[56],bet365,1.36,3.75,13.0,bet365,1.1,12.0,19.0,bet365,1.14,5.5,bet365,1.73,2.0,bet365,3.25,1.33,Betano.br,1.01,16.0,bet365,1.06,10.0,bet365,1.22,4.2,bet365,1.62,2.2,bet365,2.25,1.57,bet365,2.1,1.67,bet365,1.02,1.05,7.0,bet365,34.0,bet365,41.0,bet365,81.0,bet365,301.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,101.0,bet365,8.5,bet365,13.0,bet365,34.0,bet365,81.0,bet365,7.0,bet365,11.0,bet365,29.0,bet365,81.0,bet365,1.7,2.1,bet365,1.4,2.85,bet365,1.27,3.55,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,2.5,4.75,2.1,Betano.br,1.75,4.5,3.5,Betano.br,1.3,5.5,7.5,Betano.br,1.02,14.0,37.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.69,0.31,0.9,0.74,,,,,,,,,31.0,4.0,11.0,1.0,11.0,1.0,9.0,2.0,,,,,,,,,,,14.0,3.0,5.0,5.0,13.0,13.0,3.0,3.0,0.0,1.0,,,3.0,2.0,0.0,8.0,,,,,,,,,,,,,,,,,,,0.67,0.33,18.0,1.0,5.0,0.0,9.0,0.0,,,8.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,,,,,,,0.71,0.29,13.0,3.0,6.0,1.0,2.0,1.0,,,6.0,1.0,,,,,1.0,3.0,1.0,1.0,0.0,5.0
l20wy8lp,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,01/03/2023,16:00,Quarter-finals,Heerenveen,Feyenoord,0,1,[],[80],bet365,5.0,2.4,2.2,bet365,4.75,4.33,1.65,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.73,2.0,bet365,2.2,1.2,1.18,bet365,15.0,bet365,8.5,bet365,8.5,bet365,13.0,bet365,15.0,bet365,8.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,15.0,bet365,15.0,bet365,23.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,2.25,1.63,bet365,1.75,2.05,bet365,1.48,2.6,bet365,1.22,4.15,bet365,1.17,5.0,Betano.br,35.0,15.5,1.02,Betano.br,23.0,11.0,1.06,Betano.br,10.75,6.3,1.21,bet365,2.2,3.75,2.6,Betano.br,1.5,4.8,5.0,Betano.br,1.18,7.4,10.25,,,,,,,,,,,0.46,0.54,0.77,0.85,,,,,,,,,17.0,16.0,2.0,7.0,6.0,5.0,9.0,4.0,,,,,,,,,,,7.0,2.0,11.0,8.0,16.0,18.0,7.0,11.0,3.0,1.0,,,1.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,0.47,0.53,8.0,3.0,1.0,0.0,4.0,3.0,,,2.0,1.0,,,2.0,6.0,0.0,0.0,0.0,1.0,,,,,,,0.45,0.55,9.0,13.0,1.0,7.0,2.0,2.0,,,5.0,1.0,3.0,1.0,,,5.0,5.0,1.0,1.0,6.0,1.0
pv1XnY4A,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,09/02/2023,17:00,1/8-finals,Den Haag,G.A. Eagles,1,0,[70],[],bet365,3.4,2.2,3.0,bet365,2.9,3.3,2.4,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.53,1.33,1.4,bet365,11.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,10.0,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,26.0,bet365,29.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,1.58,2.35,bet365,1.26,3.7,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,Betano.br,35.0,14.5,1.03,Betano.br,17.5,8.5,1.12,Betano.br,7.1,4.75,1.39,bet365,1.53,4.33,4.75,Betano.br,1.22,6.5,10.5,Betano.br,1.07,11.5,23.0,,,,,,,,,,,0.28,0.72,0.66,0.88,,,,,,,,,5.0,27.0,1.0,3.0,2.0,17.0,2.0,7.0,,,,,,,,,,,2.0,7.0,2.0,5.0,18.0,21.0,7.0,3.0,1.0,0.0,,,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.3,0.7,3.0,15.0,0.0,2.0,2.0,8.0,,,1.0,4.0,,,4.0,1.0,0.0,0.0,2.0,0.0,,,,,,,0.25,0.75,2.0,12.0,1.0,1.0,0.0,9.0,,,1.0,3.0,1.0,0.0,,,3.0,2.0,0.0,1.0,1.0,0.0
tdmPbBti,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,28/02/2023,16:00,Quarter-finals,Utrecht,Spakenburg,1,4,[64],"[12, 59, 66, 75]",bet365,1.44,3.2,13.0,bet365,1.1,9.5,19.0,bet365,1.2,4.33,bet365,2.02,1.77,bet365,4.0,1.22,bet365,1.01,26.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.8,1.91,bet365,2.75,1.4,bet365,2.25,1.57,bet365,1.02,1.07,7.0,bet365,23.0,bet365,41.0,bet365,81.0,bet365,301.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,126.0,bet365,7.0,bet365,12.0,bet365,34.0,bet365,81.0,bet365,6.5,bet365,12.0,bet365,34.0,bet365,101.0,bet365,1.9,1.95,bet365,1.5,2.5,bet365,1.35,3.1,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.0,4.5,1.83,Betano.br,1.93,4.3,3.1,Betano.br,1.38,5.2,6.5,Betano.br,1.03,14.0,37.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.66,0.34,0.83,0.67,,,,,,,,,21.0,11.0,7.0,8.0,9.0,1.0,5.0,2.0,,,,,,,,,,,13.0,2.0,13.0,7.0,24.0,19.0,5.0,7.0,0.0,2.0,,,2.0,6.0,4.0,6.0,,,,,,,,,,,,,,,,,,,0.63,0.37,6.0,5.0,1.0,3.0,3.0,1.0,,,3.0,0.0,0.0,2.0,3.0,5.0,0.0,2.0,2.0,1.0,,,,,,,0.69,0.31,15.0,6.0,6.0,5.0,6.0,0.0,,,10.0,2.0,,,,,2.0,2.0,2.0,4.0,2.0,5.0
xxtCujcp,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,09/02/2023,14:45,1/8-finals,Twente,Ajax,0,1,[],[70],bet365,4.0,2.38,2.5,bet365,3.8,3.6,1.95,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.8,1.29,1.25,bet365,13.0,bet365,9.5,bet365,10.0,bet365,17.0,bet365,15.0,bet365,7.0,bet365,8.5,bet365,15.0,bet365,21.0,bet365,13.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.55,1.27,bet365,1.9,1.95,bet365,1.48,2.6,bet365,1.32,3.3,bet365,1.13,5.9,bet365,1.1,6.8,Betano.br,30.0,14.5,1.03,Betano.br,18.0,9.25,1.09,Betano.br,8.0,5.4,1.3,bet365,1.8,4.0,3.25,Betano.br,1.32,5.5,7.0,Betano.br,1.11,9.0,15.0,,,,,,,,,,,0.36,0.64,0.68,0.84,,,,,,,,,13.0,16.0,2.0,6.0,7.0,5.0,4.0,5.0,,,,,,,,,,,8.0,7.0,11.0,10.0,19.0,15.0,11.0,11.0,3.0,3.0,,,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,0.34,0.66,5.0,6.0,1.0,1.0,1.0,3.0,,,3.0,4.0,2.0,1.0,8.0,4.0,0.0,0.0,1.0,1.0,,,,,,,0.38,0.62,8.0,10.0,1.0,5.0,6.0,2.0,,,5.0,3.0,1.0,2.0,,,3.0,7.0,1.0,1.0,4.0,1.0
QyoWlfzb,NETHERLANDS,2022-2023,Knvb Beker 2022 2023,NETHERLANDS CUP,08/02/2023,17:00,1/8-finals,Feyenoord,Nijmegen,4,4,"[90, 90, 98, 116]","[33, 45, 96, 118]",bet365,1.73,2.63,8.5,bet365,1.33,5.75,8.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.18,4.5,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,2.0,1.73,bet365,1.07,1.14,3.4,bet365,15.0,bet365,21.0,bet365,41.0,bet365,101.0,bet365,7.5,bet365,11.0,bet365,23.0,bet365,67.0,bet365,6.5,bet365,9.0,bet365,23.0,bet365,51.0,bet365,8.0,bet365,11.0,bet365,29.0,bet365,67.0,bet365,3.1,1.35,bet365,2.42,1.52,bet365,1.9,1.95,bet365,1.45,2.67,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.0,5.5,1.37,bet365,3.0,4.0,1.95,Betano.br,1.85,3.8,3.65,Betano.br,1.07,9.75,25.0,Betano.br,1.01,15.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.69,0.31,0.87,0.65,,,,,,,,,50.0,13.0,27.0,6.0,14.0,4.0,9.0,3.0,,,,,,,,,,,17.0,2.0,7.0,15.0,33.0,17.0,14.0,9.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,23.0,,,,,,,,,,,,,,,,,,,0.6,0.4,11.0,5.0,3.0,3.0,3.0,1.0,,,6.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,3.0,,,,,,,0.72,0.28,23.0,3.0,12.0,1.0,8.0,2.0,,,8.0,2.0,1.0,2.0,0.0,1.0,4.0,7.0,1.0,0.0,1.0,10.0
