Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
6BrJcbJH,POLAND,2025-2026,Division 1,POLAND 2,01/05/2026,15:30,Round 31,Leczna,Slask Wroclaw,0,4,[],"[32, 45, 49, 52]",bet365,4.5,2.4,2.25,bet365,4.0,3.7,1.7,bet365,1.3,3.4,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.62,2.2,bet365,2.0,1.25,1.2,bet365,15.0,bet365,9.0,bet365,9.5,bet365,15.0,bet365,15.0,bet365,7.5,bet365,8.5,bet365,13.0,bet365,23.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.7,1.05,1xBet.br,8.0,1.08,bet365,4.1,1.23,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.4,2.85,bet365,1.18,4.65,bet365,1.14,5.75,BetEsporte,25.0,8.8,1.01,bet365,23.0,13.0,1.05,bet365,9.5,6.0,1.2,bet365,2.0,4.0,2.88,bet365,1.4,5.0,5.5,bet365,1.13,8.5,12.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,9.0,16.0,1.0,7.0,8.0,9.0,,,,,,,,,,,,,3.0,3.0,12.0,14.0,17.0,20.0,10.0,12.0,3.0,2.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0.46,0.54,3.0,7.0,0.0,4.0,3.0,3.0,,,1.0,1.0,2.0,1.0,6.0,8.0,2.0,0.0,,,,,,,,,0.41,0.59,6.0,9.0,1.0,3.0,5.0,6.0,,,2.0,2.0,1.0,1.0,,,4.0,4.0,1.0,0.0,,
tUd1Ay3N,POLAND,2025-2026,Division 1,POLAND 2,01/05/2026,13:00,Round 31,Puszcza,Pruszkow,1,0,[58],[],bet365,2.6,2.1,4.33,bet365,1.83,3.25,3.75,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.25,1.33,1.8,bet365,9.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,7.0,bet365,6.5,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,Superbet.br,7.2,1.06,bet365,6.8,1.11,bet365,3.55,1.27,bet365,2.75,1.43,bet365,1.95,1.85,bet365,1.26,3.7,bet365,1.1,7.0,Superbet.br,1.06,7.6,,0.0,0.0,,0.0,0.0,bet365,21.0,12.0,1.07,bet365,8.0,5.5,1.25,bet365,3.6,3.75,1.8,bet365,1.25,5.5,9.0,bet365,1.06,12.0,23.0,BetEsporte,1.01,8.6,27.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,2.0,10.0,2.0,2.0,0.0,8.0,,,,,,,,,,,,,3.0,4.0,19.0,20.0,19.0,27.0,17.0,18.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.52,0.48,0.0,5.0,0.0,1.0,0.0,4.0,,,0.0,1.0,,,9.0,7.0,2.0,1.0,,,,,,,,,0.5,0.5,2.0,5.0,2.0,1.0,0.0,4.0,,,3.0,3.0,2.0,1.0,,,8.0,11.0,0.0,0.0,,
GriRA2s0,POLAND,2025-2026,Division 1,POLAND 2,27/04/2026,13:00,Round 30,Ruch Chorzow,Grodzisk M.,2,2,"[12, 71]","[2, 87]",bet365,2.0,2.5,5.5,bet365,1.5,4.0,5.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.67,2.1,bet365,1.14,1.2,2.38,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,8.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.4,1.2,bet365,3.7,1.26,bet365,2.38,1.55,bet365,1.9,1.9,bet365,1.55,2.38,bet365,1.17,5.0,1xBet.br,1.03,8.4,Superbet.br,1.05,8.3,,0.0,0.0,,0.0,0.0,bet365,9.0,7.0,1.18,bet365,4.5,4.75,1.53,bet365,2.4,3.75,2.38,bet365,1.14,7.5,12.0,bet365,1.04,17.0,29.0,BetEsporte,1.01,8.6,28.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,19.0,9.0,9.0,7.0,10.0,2.0,,,,,,,,,,,,,8.0,12.0,11.0,13.0,27.0,19.0,12.0,9.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.62,0.38,14.0,4.0,7.0,3.0,7.0,1.0,,,5.0,7.0,,,3.0,4.0,1.0,0.0,,,,,,,,,0.47,0.53,5.0,5.0,2.0,4.0,3.0,1.0,,,3.0,5.0,0.0,1.0,,,9.0,5.0,0.0,1.0,,
b7K0fscJ,POLAND,2025-2026,Division 1,POLAND 2,26/04/2026,12:00,Round 30,Odra Opole,Polonia Bytom,0,2,[],"[61, 70]",bet365,2.88,2.1,3.6,bet365,2.2,3.1,2.9,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.36,1.33,1.57,bet365,9.5,bet365,9.5,bet365,15.0,bet365,34.0,bet365,8.0,bet365,6.5,bet365,11.0,bet365,26.0,bet365,11.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,Superbet.br,9.1,1.04,1xBet.br,9.38,1.04,bet365,4.5,1.19,bet365,3.55,1.27,bet365,2.3,1.6,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.4,SeguroBet,1.02,10.0,SeguroBet,1.02,10.3,bet365,26.0,15.0,1.05,bet365,10.0,6.5,1.18,bet365,4.5,4.0,1.57,bet365,1.36,4.75,6.5,bet365,1.09,9.5,17.0,BetEsporte,1.01,8.6,24.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,15.0,15.0,4.0,5.0,11.0,10.0,,,,,,,,,,,,,4.0,6.0,20.0,9.0,20.0,20.0,9.0,20.0,1.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.44,0.56,2.0,8.0,2.0,2.0,0.0,6.0,,,0.0,4.0,0.0,1.0,6.0,9.0,0.0,0.0,,,,,,,,,0.52,0.48,13.0,7.0,2.0,3.0,11.0,4.0,,,4.0,2.0,1.0,1.0,,,3.0,11.0,0.0,0.0,,
pOrr7KtP,POLAND,2025-2026,Division 1,POLAND 2,26/04/2026,09:30,Round 30,Wieczysta Krakow,Tychy,2,0,"[45, 63]",[],bet365,1.95,2.63,5.5,bet365,1.48,4.0,5.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.62,2.2,bet365,1.13,1.2,2.5,bet365,17.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,10.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.78,2.03,bet365,1.5,2.5,bet365,1.14,5.75,1xBet.br,1.01,9.9,SeguroBet,1.03,9.3,,0.0,0.0,,0.0,0.0,bet365,8.0,6.5,1.22,bet365,4.0,4.75,1.62,bet365,2.25,4.0,2.5,bet365,1.13,8.5,13.0,bet365,1.03,19.0,34.0,,0.0,0.0,0.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,13.0,7.0,6.0,2.0,7.0,5.0,,,,,,,,,,,,,5.0,1.0,19.0,17.0,26.0,27.0,11.0,15.0,1.0,4.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,0.63,0.37,9.0,3.0,3.0,1.0,6.0,2.0,,,4.0,0.0,0.0,2.0,4.0,9.0,1.0,1.0,,,,,,,,,0.53,0.47,4.0,4.0,3.0,1.0,1.0,3.0,,,1.0,1.0,1.0,2.0,,,7.0,6.0,5.0,0.0,,
OpCnIpkQ,POLAND,2025-2026,Division 1,POLAND 2,25/04/2026,14:30,Round 30,Pogon Siedlce,Legnica,2,0,"[48, 63]",[],bet365,3.75,2.2,2.75,bet365,3.0,3.2,2.1,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.62,1.33,1.33,bet365,11.0,bet365,8.5,bet365,11.0,bet365,21.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,13.0,bet365,26.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,41.0,SeguroBet,10.3,1.02,SeguroBet,10.3,1.02,bet365,6.8,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,1.68,2.15,bet365,1.33,3.3,bet365,1.23,4.1,1xBet.br,1.03,7.4,Superbet.br,1.04,8.5,BetEsporte,23.0,8.6,1.01,bet365,17.0,9.5,1.09,bet365,7.0,5.0,1.33,bet365,1.62,4.0,4.33,bet365,1.22,6.5,9.0,bet365,1.06,13.0,23.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,15.0,23.0,6.0,4.0,9.0,19.0,,,,,,,,,,,,,6.0,14.0,11.0,16.0,14.0,16.0,15.0,11.0,3.0,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.46,0.54,6.0,13.0,1.0,4.0,5.0,9.0,,,3.0,8.0,1.0,0.0,9.0,3.0,1.0,0.0,,,,,,,,,0.38,0.62,9.0,10.0,5.0,0.0,4.0,10.0,,,3.0,6.0,2.0,1.0,,,6.0,8.0,0.0,0.0,,
8ImJCOCm,POLAND,2025-2026,Division 1,POLAND 2,25/04/2026,14:30,Round 30,Polonia Warszawa,Chrobry Glogow,1,0,[89],[],bet365,2.4,2.3,4.33,bet365,1.83,3.4,3.6,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.25,1.29,1.8,bet365,12.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,8.5,bet365,7.0,bet365,13.0,bet365,29.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.85,1.95,bet365,1.25,3.8,1xBet.br,1.09,7.5,Superbet.br,1.05,7.9,,0.0,0.0,,0.0,0.0,bet365,15.0,10.0,1.09,bet365,7.0,5.5,1.3,bet365,3.25,4.0,1.8,bet365,1.25,6.0,8.5,bet365,1.06,12.0,21.0,BetEsporte,1.01,8.6,26.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,23.0,5.0,6.0,1.0,17.0,4.0,,,,,,,,,,,,,9.0,1.0,11.0,17.0,22.0,21.0,14.0,10.0,1.0,1.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0.64,0.36,10.0,4.0,3.0,1.0,7.0,3.0,,,6.0,0.0,1.0,1.0,8.0,4.0,0.0,0.0,,,,,,,,,0.56,0.44,13.0,1.0,3.0,0.0,10.0,1.0,,,3.0,1.0,,,,,6.0,6.0,2.0,0.0,,
CApz9tCC,POLAND,2025-2026,Division 1,POLAND 2,25/04/2026,14:30,Round 30,Stal Mielec,Slask Wroclaw,2,3,"[18, 32]","[21, 45, 81]",bet365,3.6,2.3,2.75,bet365,2.9,3.4,2.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.62,1.29,1.36,bet365,13.0,bet365,9.5,bet365,12.0,bet365,21.0,bet365,12.0,bet365,7.0,bet365,9.0,bet365,17.0,bet365,17.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,SeguroBet,9.7,1.02,SeguroBet,9.3,1.03,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,1.68,2.15,bet365,1.33,3.3,bet365,1.24,3.9,1xBet.br,1.09,7.4,Superbet.br,1.05,7.9,BetEsporte,21.0,8.6,1.01,bet365,15.0,9.0,1.1,bet365,6.5,5.0,1.36,bet365,1.62,4.33,4.0,bet365,1.22,6.5,8.5,bet365,1.06,13.0,21.0,,,,,,,,,,,0.4,0.6,,,,,,,,,,,7.0,24.0,2.0,8.0,5.0,16.0,,,,,,,,,,,,,5.0,12.0,10.0,14.0,19.0,19.0,13.0,9.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.35,0.65,4.0,17.0,2.0,7.0,2.0,10.0,,,2.0,8.0,0.0,1.0,8.0,4.0,0.0,1.0,,,,,,,,,0.45,0.55,3.0,7.0,0.0,1.0,3.0,6.0,,,3.0,4.0,1.0,1.0,,,5.0,5.0,1.0,0.0,,
2uRid3S6,POLAND,2025-2026,Division 1,POLAND 2,25/04/2026,09:30,Round 30,LKS Lodz,S. Rzeszow,2,1,"[37, 68]",[27],bet365,1.8,2.63,7.0,bet365,1.36,4.5,6.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.8,1.91,bet365,1.1,1.17,2.75,bet365,17.0,bet365,21.0,bet365,41.0,bet365,81.0,bet365,8.5,bet365,9.5,bet365,21.0,bet365,51.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,3.45,1.3,bet365,2.75,1.43,bet365,2.03,1.78,bet365,1.58,2.35,bet365,1.38,3.0,bet365,1.11,6.8,1xBet.br,1.01,9.5,SeguroBet,1.02,10.3,,0.0,0.0,,0.0,0.0,bet365,6.5,6.0,1.29,bet365,3.4,4.33,1.73,bet365,2.0,4.0,2.75,bet365,1.1,9.5,17.0,bet365,1.02,21.0,41.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,17.0,13.0,6.0,5.0,11.0,8.0,,,,,,,,,,,,,9.0,8.0,5.0,14.0,19.0,16.0,14.0,4.0,1.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.52,0.48,8.0,6.0,3.0,2.0,5.0,4.0,,,4.0,3.0,,,8.0,0.0,0.0,0.0,,,,,,,,,0.56,0.44,9.0,7.0,3.0,3.0,6.0,4.0,,,5.0,5.0,1.0,1.0,,,6.0,4.0,0.0,1.0,,
U5mf32kt,POLAND,2025-2026,Division 1,POLAND 2,24/04/2026,15:30,Round 30,Wisla,Puszcza,2,2,"[45, 71]","[58, 77]",bet365,2.38,2.2,4.75,bet365,1.75,3.2,4.33,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.91,bet365,1.18,1.33,1.91,bet365,10.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,7.5,bet365,6.5,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.83,1.98,bet365,1.21,4.25,1xBet.br,1.01,8.6,Superbet.br,1.04,9.0,,0.0,0.0,,0.0,0.0,bet365,15.0,10.0,1.09,bet365,6.5,5.5,1.33,bet365,3.2,3.75,1.91,bet365,1.18,6.5,11.0,bet365,1.05,15.0,26.0,BetEsporte,1.01,8.6,28.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,12.0,5.0,8.0,4.0,4.0,1.0,,,,,,,,,,,,,10.0,4.0,19.0,8.0,26.0,24.0,8.0,19.0,2.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.57,0.43,5.0,2.0,4.0,2.0,1.0,0.0,,,2.0,3.0,1.0,4.0,3.0,9.0,0.0,0.0,,,,,,,,,0.57,0.43,7.0,3.0,4.0,2.0,3.0,1.0,,,8.0,1.0,1.0,1.0,,,5.0,10.0,0.0,0.0,,
