Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
phWZm4I5,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Jagiellonia,Warta Poznan,3,0,"[5, 11, 26]",[],bet365,1.83,2.6,6.5,bet365,1.36,5.0,6.25,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.18,4.5,bet365,1.57,2.35,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.8,1.95,bet365,1.13,1.17,3.0,bet365,17.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,8.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,21.0,bet365,41.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.05,1.75,bet365,1.6,2.3,bet365,1.38,3.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.8,6.0,1.32,Betano.br,3.5,4.3,1.82,bet365,2.05,4.0,3.0,Betano.br,1.11,8.5,19.0,Betano.br,1.03,15.0,37.0,,0.0,0.0,0.0,1.48,1.05,,,,,,,,,0.54,0.46,0.8,0.74,,,,,,,,,14.0,14.0,6.0,2.0,8.0,12.0,,,,,,,,,,,,,6.0,6.0,19.0,8.0,20.0,24.0,8.0,18.0,3.0,3.0,,,0.0,1.0,2.0,3.0,,,,,,,,,,,,,0.9,0.71,,,,,0.56,0.44,9.0,10.0,5.0,1.0,4.0,9.0,,,3.0,3.0,0.0,1.0,2.0,10.0,0.0,1.0,1.0,2.0,0.58,0.34,,,,,0.52,0.48,5.0,4.0,1.0,1.0,4.0,3.0,,,3.0,3.0,3.0,2.0,,,6.0,8.0,0.0,0.0,1.0,1.0
vFVwmOXB,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Lech Poznan,Korona Kielce,1,2,[45],"[56, 65]",bet365,2.75,2.3,3.6,bet365,2.05,3.7,3.0,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.36,1.29,1.73,bet365,15.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,9.5,bet365,7.5,bet365,11.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,19.0,bet365,15.0,bet365,21.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,Betano.br,19.5,10.75,1.08,Betano.br,9.0,6.3,1.25,bet365,3.75,4.0,1.73,Betano.br,1.42,4.85,6.1,Betano.br,1.14,8.25,14.0,Betano.br,1.04,14.0,28.0,0.82,2.03,,,,,,,,,0.55,0.45,0.79,0.72,,,,,,,,,8.0,23.0,3.0,12.0,5.0,11.0,,,,,,,,,,,,,5.0,13.0,1.0,1.0,9.0,13.0,13.0,15.0,6.0,7.0,1.0,0.0,1.0,4.0,10.0,2.0,,,,,,,,,,,,,0.38,0.85,,,,,0.49,0.51,3.0,12.0,1.0,6.0,2.0,6.0,,,1.0,9.0,1.0,2.0,5.0,6.0,1.0,3.0,6.0,0.0,0.44,1.18,,,,,0.61,0.39,5.0,11.0,2.0,6.0,3.0,5.0,,,4.0,4.0,5.0,5.0,1.0,0.0,8.0,9.0,0.0,1.0,4.0,2.0
I5UsnrmI,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Legia,Zaglebie,2,1,"[6, 40]",[76],bet365,2.2,2.5,4.75,bet365,1.6,4.1,4.33,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.62,2.2,bet365,1.18,1.2,2.2,bet365,19.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,13.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,5.0,1.17,bet365,4.15,1.22,bet365,2.6,1.48,bet365,2.08,1.73,bet365,1.65,2.2,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.5,7.6,1.19,Betano.br,5.0,4.9,1.5,bet365,2.6,4.0,2.2,Betano.br,1.21,6.6,10.75,Betano.br,1.06,11.5,24.0,,0.0,0.0,0.0,2.18,0.66,,,,,,,,,0.46,0.54,0.84,0.85,,,,,,,,,16.0,10.0,7.0,3.0,9.0,7.0,,,,,,,,,,,,,5.0,5.0,18.0,17.0,14.0,9.0,15.0,16.0,2.0,3.0,,,3.0,1.0,2.0,5.0,,,,,,,,,,,,,1.91,0.1,,,,,0.49,0.51,11.0,3.0,7.0,2.0,4.0,1.0,,,3.0,3.0,0.0,1.0,4.0,5.0,2.0,1.0,2.0,5.0,0.27,0.56,,,,,0.43,0.57,5.0,7.0,0.0,1.0,5.0,6.0,,,2.0,2.0,2.0,2.0,,,11.0,11.0,1.0,0.0,0.0,0.0
zcT023Xb,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,LKS Lodz,Stal Mielec,3,2,"[7, 21, 45]","[68, 88]",bet365,2.75,2.38,3.25,bet365,2.2,3.5,2.8,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.36,1.25,1.57,bet365,17.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,11.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,20.0,11.5,1.07,Betano.br,9.75,6.8,1.22,bet365,4.0,4.33,1.57,Betano.br,1.47,4.75,5.6,Betano.br,1.16,7.7,12.5,Betano.br,1.05,13.0,25.0,0.73,2.42,,,,,,,,,0.5,0.5,0.89,0.81,,,,,,,,,13.0,15.0,4.0,5.0,9.0,10.0,,,,,,,,,,,,,3.0,5.0,12.0,14.0,14.0,16.0,13.0,12.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,0.4,0.1,,,,,0.5,0.5,8.0,3.0,3.0,1.0,5.0,2.0,,,1.0,1.0,1.0,0.0,6.0,3.0,2.0,0.0,1.0,0.0,0.33,2.32,,,,,0.5,0.5,5.0,12.0,1.0,4.0,4.0,8.0,,,2.0,4.0,1.0,1.0,,,7.0,9.0,1.0,0.0,2.0,1.0
pS0vo22O,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Pogon Szczecin,Gornik Zabrze,1,0,[66],[],bet365,2.05,2.63,4.75,bet365,1.55,4.33,4.5,bet365,1.22,4.0,bet365,2.05,1.75,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.5,2.5,bet365,1.17,1.18,2.25,bet365,23.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,12.0,bet365,9.5,bet365,17.0,bet365,34.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,13.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.38,1.55,bet365,1.93,1.93,bet365,1.55,2.38,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.25,7.1,1.24,Betano.br,4.3,4.9,1.57,bet365,2.38,4.0,2.25,Betano.br,1.2,6.9,10.75,Betano.br,1.06,11.75,23.0,Betano.br,1.02,16.5,35.0,2.11,0.28,,,,,,,,,0.48,0.52,0.87,0.84,,,,,,,,,22.0,9.0,5.0,2.0,17.0,7.0,,,,,,,,,,,,,9.0,5.0,9.0,7.0,11.0,13.0,12.0,7.0,4.0,4.0,,,2.0,2.0,2.0,4.0,,,,,,,,,,,,,0.61,0.1,,,,,0.5,0.5,10.0,4.0,3.0,1.0,7.0,3.0,,,4.0,1.0,3.0,1.0,9.0,4.0,2.0,0.0,1.0,3.0,1.5,0.18,,,,,0.46,0.54,12.0,5.0,2.0,1.0,10.0,4.0,,,5.0,4.0,1.0,3.0,,,3.0,3.0,0.0,2.0,1.0,1.0
OIarpMHU,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Puszcza,Piast Gliwice,1,0,[62],[],bet365,3.4,2.0,3.4,bet365,2.7,3.0,2.63,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,10.0,1.06,bet365,1.95,1.8,bet365,1.44,1.36,1.44,bet365,8.0,bet365,7.5,bet365,12.0,bet365,26.0,bet365,8.0,bet365,6.0,bet365,11.0,bet365,23.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.68,1.45,bet365,1.48,2.6,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,32.0,13.5,1.04,Betano.br,15.5,7.6,1.14,Betano.br,6.1,4.15,1.5,bet365,1.44,4.33,6.0,Betano.br,1.13,8.0,16.0,Betano.br,1.03,14.0,32.0,0.91,1.24,,,,,,,,,0.33,0.67,0.7,0.88,,,,,,,,,8.0,17.0,1.0,6.0,7.0,11.0,,,,,,,,,,,,,3.0,6.0,8.0,21.0,23.0,21.0,20.0,5.0,3.0,2.0,,,0.0,1.0,6.0,0.0,,,,,,,,,,,,,0.19,0.93,,,,,0.26,0.74,5.0,14.0,0.0,4.0,5.0,10.0,,,2.0,4.0,1.0,0.0,9.0,2.0,0.0,1.0,4.0,0.0,0.72,0.31,,,,,0.4,0.6,3.0,3.0,1.0,2.0,2.0,1.0,,,1.0,2.0,2.0,2.0,,,11.0,3.0,0.0,0.0,2.0,0.0
0vyl55mt,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Radomiak Radom,Widzew Lodz,1,3,[34],"[70, 73, 90]",bet365,2.75,2.3,3.5,bet365,2.15,3.2,3.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.33,1.33,1.62,bet365,13.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,10.0,bet365,6.5,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,11.0,bet365,29.0,bet365,21.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.0,1.07,Betano.br,9.5,6.3,1.24,bet365,4.0,4.33,1.62,Betano.br,1.36,5.0,7.3,Betano.br,1.11,9.0,17.0,Betano.br,1.03,15.0,32.0,1.46,1.7,,,,,,,,,0.48,0.52,0.83,0.82,,,,,,,,,12.0,13.0,5.0,4.0,7.0,9.0,,,,,,,,,,,,,5.0,4.0,13.0,10.0,22.0,23.0,10.0,13.0,3.0,3.0,,,1.0,0.0,1.0,4.0,,,,,,,,,,,,,1.02,0.1,,,,,0.45,0.55,3.0,3.0,2.0,1.0,1.0,2.0,,,3.0,1.0,2.0,2.0,3.0,8.0,1.0,0.0,1.0,1.0,0.44,1.6,,,,,0.51,0.49,9.0,10.0,3.0,3.0,6.0,7.0,,,2.0,3.0,1.0,1.0,,,7.0,5.0,0.0,0.0,0.0,3.0
Esuh4P2n,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Rakow,Slask Wroclaw,1,2,[18],"[49, 75]",bet365,2.88,2.2,3.6,bet365,2.15,3.6,2.88,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.88,1.98,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.75,2.0,bet365,1.4,1.29,1.67,bet365,12.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,8.5,bet365,7.0,bet365,11.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,15.0,bet365,29.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.4,2.85,bet365,1.15,5.5,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,Betano.br,23.0,11.75,1.06,Betano.br,10.5,6.7,1.21,bet365,4.33,4.0,1.67,Betano.br,1.45,4.6,6.0,Betano.br,1.15,7.8,14.0,Betano.br,1.04,13.5,29.0,1.64,1.22,,,,,,,,,0.51,0.49,0.68,0.67,,,,,,,,,11.0,9.0,2.0,3.0,9.0,6.0,,,,,,,,,,,,,4.0,4.0,12.0,4.0,16.0,17.0,14.0,14.0,4.0,1.0,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,1.64,0.12,,,,,0.49,0.51,7.0,4.0,2.0,1.0,5.0,3.0,,,0.0,3.0,2.0,0.0,8.0,7.0,2.0,1.0,1.0,1.0,0.0,1.1,,,,,0.55,0.45,4.0,5.0,0.0,2.0,4.0,3.0,,,4.0,1.0,2.0,1.0,,,6.0,7.0,0.0,2.0,0.0,0.0
d6Ud3qIh,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,25/05/2024,12:30,Round 34,Ruch Chorzow,Cracovia,2,0,"[45, 90]",[],bet365,3.2,2.38,2.88,bet365,2.6,3.6,2.3,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.53,1.25,1.44,bet365,17.0,bet365,12.0,bet365,15.0,bet365,23.0,bet365,13.0,bet365,7.5,bet365,9.5,bet365,17.0,bet365,17.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,29.0,bet365,19.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.6,1.48,bet365,1.58,2.35,bet365,1.28,3.55,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,Betano.br,25.0,13.0,1.05,Betano.br,12.0,7.6,1.17,Betano.br,5.3,4.7,1.5,bet365,1.53,4.5,4.33,Betano.br,1.22,6.8,9.5,Betano.br,1.07,11.5,20.0,3.68,0.77,,,,,,,,,0.54,0.46,0.81,0.77,,,,,,,,,15.0,12.0,4.0,0.0,11.0,12.0,,,,,,,,,,,,,3.0,2.0,15.0,7.0,25.0,25.0,10.0,14.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,0.58,0.22,,,,,0.63,0.37,3.0,4.0,1.0,0.0,2.0,4.0,,,2.0,1.0,,,3.0,7.0,0.0,1.0,0.0,0.0,3.1,0.55,,,,,0.45,0.55,12.0,8.0,3.0,0.0,9.0,8.0,,,1.0,1.0,2.0,1.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0
QB54YOII,POLAND,2023-2024,Ekstraklasa 2023 2024,POLAND 1,20/05/2024,14:00,Round 33,Zaglebie,LKS Lodz,2,1,"[7, 58]",[90],bet365,1.91,2.63,5.5,bet365,1.44,4.75,6.0,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.62,2.2,bet365,1.13,1.18,2.63,bet365,21.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,10.0,bet365,9.5,bet365,19.0,bet365,41.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.1,1.7,bet365,1.68,2.15,bet365,1.45,2.68,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.3,6.4,1.29,Betano.br,3.75,4.55,1.72,bet365,2.1,4.0,2.63,Betano.br,1.14,7.9,15.0,Betano.br,1.04,13.5,32.0,,0.0,0.0,0.0,2.37,0.84,,,,,,,,,0.52,0.48,0.88,0.84,,,,,,,,,25.0,13.0,10.0,7.0,15.0,6.0,,,,,,,,,,,,,8.0,0.0,19.0,8.0,11.0,15.0,9.0,18.0,2.0,4.0,1.0,0.0,0.0,1.0,6.0,8.0,,,,,,,,,,,,,2.04,0.05,,,,,0.59,0.41,12.0,2.0,5.0,0.0,7.0,2.0,,,5.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,4.0,0.33,0.79,,,,,0.45,0.55,13.0,11.0,5.0,7.0,8.0,4.0,,,3.0,0.0,1.0,3.0,1.0,0.0,6.0,11.0,0.0,1.0,6.0,4.0
