Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
4E66Ht0E,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,29/01/2022,16:45,Play Offs,Benfica,Sporting CP,1,2,[23],"[49, 78]",Betfair,3.75,1.91,3.0,Betfair,3.2,3.0,2.2,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.95,1.75,Betfair,1.57,1.3,1.3,Betfair,7.0,Betfair,6.0,Betfair,8.5,Betfair,15.0,Betfair,7.0,Betfair,5.5,Betfair,7.5,Betfair,17.0,Betfair,11.0,Betfair,9.5,Betfair,13.0,Betfair,26.0,Betfair,26.0,Betfair,21.0,Betfair,31.0,Betfair,71.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,3.0,9.0,2.0,5.0,1.0,4.0,,,,,,,,,,,,,2.0,4.0,24.0,17.0,20.0,23.0,17.0,22.0,3.0,4.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,0.36,0.64,1.0,5.0,1.0,3.0,0.0,2.0,,,0.0,3.0,0.0,1.0,10.0,13.0,,,3.0,0.0,,,,,,,0.52,0.48,2.0,4.0,1.0,2.0,1.0,2.0,,,2.0,1.0,3.0,3.0,,,7.0,9.0,,,0.0,1.0
Gd6Xwisg,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,25/01/2022,16:45,Play Offs,Benfica,Boavista,1,1,[16],[53],Betfair,1.8,2.4,7.0,Betfair,1.3,4.75,8.0,Betfair,1.02,13.0,Betfair,1.17,4.33,Betfair,1.65,2.2,Betfair,1.02,13.0,Betfair,1.17,4.33,Betfair,1.65,2.2,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.95,1.75,Betfair,1.05,1.14,3.2,Betfair,12.0,Betfair,18.0,Betfair,36.0,Betfair,91.0,Betfair,5.5,Betfair,8.5,Betfair,19.0,Betfair,61.0,Betfair,5.5,Betfair,6.5,Betfair,17.0,Betfair,56.0,Betfair,7.0,Betfair,9.0,Betfair,19.0,Betfair,81.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,10.0,14.0,7.0,8.0,3.0,6.0,,,,,,,,,,,,,2.0,5.0,13.0,14.0,28.0,20.0,10.0,12.0,1.0,3.0,,,,,7.0,6.0,,,,,,,,,,,,,,,,,,,0.61,0.39,3.0,4.0,2.0,2.0,1.0,2.0,,,0.0,3.0,1.0,2.0,4.0,7.0,,,2.0,1.0,,,,,,,0.65,0.35,7.0,10.0,5.0,6.0,2.0,4.0,,,2.0,2.0,0.0,1.0,,,6.0,5.0,,,5.0,5.0
lxXhyAee,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,26/01/2022,16:45,Play Offs,Sporting CP,Santa Clara,2,1,"[40, 65]",[32],Betfair,1.91,2.2,7.0,Betfair,1.33,4.2,8.0,Betfair,1.04,11.0,Betfair,1.29,3.3,Betfair,1.91,1.8,Betfair,1.04,11.0,Betfair,1.29,3.3,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,2.2,1.6,Betfair,1.05,1.17,2.88,Betfair,9.0,Betfair,13.0,Betfair,31.0,Betfair,126.0,Betfair,5.0,Betfair,7.5,Betfair,18.0,Betfair,71.0,Betfair,5.0,Betfair,6.5,Betfair,19.0,Betfair,81.0,Betfair,7.5,Betfair,10.0,Betfair,23.0,Betfair,101.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.75,0.25,,,,,,,,,,,11.0,2.0,8.0,2.0,3.0,0.0,,,,,,,,,,,,,10.0,2.0,17.0,17.0,24.0,18.0,14.0,17.0,2.0,3.0,0.0,1.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,0.73,0.27,7.0,2.0,4.0,2.0,3.0,0.0,,,6.0,1.0,1.0,2.0,7.0,9.0,,,1.0,3.0,,,,,,,0.77,0.23,4.0,0.0,4.0,0.0,0.0,0.0,,,4.0,1.0,1.0,1.0,0.0,1.0,7.0,8.0,,,0.0,3.0
hOYb81n3,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,16/12/2021,17:15,Round 3,Boavista,Braga,5,1,"[20, 32, 34, 50, 63]",[53],Betfair,6.0,2.25,2.0,Betfair,6.5,4.33,1.44,Betfair,1.03,12.0,Betfair,1.22,4.1,Betfair,1.75,2.05,Betfair,1.03,12.0,Betfair,1.22,4.1,Betfair,1.75,2.05,Betfair,2.75,1.4,Betfair,6.0,1.13,Betfair,1.87,1.87,Betfair,2.6,1.17,1.08,Betfair,10.0,Betfair,5.5,Betfair,6.0,Betfair,8.5,Betfair,14.0,Betfair,7.0,Betfair,6.5,Betfair,9.5,Betfair,26.0,Betfair,15.0,Betfair,14.0,Betfair,19.0,Betfair,76.0,Betfair,46.0,Betfair,46.0,Betfair,67.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.32,0.68,,,,,,,,,,,8.0,11.0,6.0,6.0,2.0,5.0,,,,,,,,,,,,,3.0,8.0,15.0,11.0,12.0,27.0,17.0,12.0,5.0,2.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,0.35,0.65,5.0,3.0,4.0,2.0,1.0,1.0,,,3.0,1.0,1.0,0.0,7.0,6.0,,,2.0,1.0,,,,,,,0.28,0.72,3.0,8.0,2.0,4.0,1.0,4.0,,,0.0,7.0,4.0,2.0,,,10.0,6.0,,,3.0,0.0
noY27L19,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,15/12/2021,18:00,Round 3,FC Porto,Rio Ave,1,0,[83],[],Betfair,1.83,2.4,6.0,Betfair,1.33,4.75,6.5,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.0,1.2,Betfair,1.75,2.0,Betfair,1.07,1.13,2.88,Betfair,15.0,Betfair,17.0,Betfair,34.0,Betfair,81.0,Betfair,6.5,Betfair,8.0,Betfair,15.0,Betfair,46.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,41.0,Betfair,8.0,Betfair,8.5,Betfair,15.0,Betfair,51.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,17.0,4.0,7.0,2.0,10.0,2.0,,,,,,,,,,,,,7.0,6.0,13.0,24.0,18.0,19.0,21.0,11.0,1.0,1.0,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,0.63,0.37,8.0,2.0,3.0,1.0,5.0,1.0,,,4.0,1.0,,,10.0,5.0,,,1.0,3.0,,,,,,,0.63,0.37,9.0,2.0,4.0,1.0,5.0,1.0,,,3.0,5.0,1.0,1.0,,,11.0,6.0,,,1.0,3.0
EuUJpbfd,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,15/12/2021,16:00,Round 3,Benfica,Covilha,3,0,"[27, 67, 72]",[],Betfair,1.25,3.75,17.0,Betfair,1.03,14.0,46.0,,0.0,0.0,Betfair,1.03,9.0,Betfair,1.2,4.0,,0.0,0.0,Betfair,1.03,9.0,Betfair,1.2,4.0,Betfair,1.6,2.2,Betfair,2.4,1.5,Betfair,2.75,1.4,,0.0,0.0,0.0,Betfair,41.0,Betfair,91.0,Betfair,201.0,Betfair,201.0,Betfair,10.0,Betfair,26.0,Betfair,101.0,Betfair,201.0,Betfair,6.0,Betfair,12.0,Betfair,61.0,Betfair,201.0,Betfair,5.0,Betfair,10.0,Betfair,36.0,Betfair,201.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.71,0.29,,,,,,,,,,,10.0,4.0,6.0,1.0,4.0,3.0,,,,,,,,,,,,,12.0,2.0,12.0,22.0,29.0,18.0,19.0,13.0,3.0,3.0,0.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.7,0.3,5.0,2.0,3.0,1.0,2.0,1.0,,,6.0,2.0,1.0,2.0,8.0,10.0,,,1.0,2.0,,,,,,,0.72,0.28,5.0,2.0,3.0,0.0,2.0,2.0,,,6.0,0.0,2.0,1.0,,,11.0,3.0,,,0.0,1.0
EXZf9sXd,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,14/12/2021,17:15,Round 3,Penafiel,Sporting CP,0,1,[],[17],Betfair,8.5,2.5,1.67,Betfair,10.0,5.0,1.2,Betfair,1.01,15.0,Betfair,1.2,4.5,Betfair,1.6,2.3,Betfair,1.01,15.0,Betfair,1.2,4.5,Betfair,1.6,2.3,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,2.1,1.65,Betfair,3.75,1.11,1.03,Betfair,14.0,Betfair,6.0,Betfair,5.0,Betfair,6.5,Betfair,21.0,Betfair,10.0,Betfair,7.0,Betfair,9.0,Betfair,51.0,Betfair,26.0,Betfair,21.0,Betfair,21.0,Betfair,176.0,Betfair,81.0,Betfair,76.0,Betfair,91.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,6.0,10.0,1.0,6.0,5.0,4.0,,,,,,,,,,,,,1.0,5.0,11.0,21.0,23.0,22.0,18.0,8.0,5.0,4.0,0.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,0.38,0.62,0.0,5.0,0.0,3.0,0.0,2.0,,,0.0,4.0,1.0,2.0,10.0,6.0,,,2.0,0.0,,,,,,,0.48,0.52,6.0,5.0,1.0,3.0,5.0,2.0,,,1.0,1.0,4.0,2.0,0.0,1.0,8.0,2.0,,,3.0,1.0
zkVFovuj,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,28/10/2021,16:15,Round 2,Braga,Pacos Ferreira,0,0,[],[],Betfair,1.57,2.63,9.5,Betfair,1.14,6.0,13.0,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,2.2,1.6,Betfair,1.03,1.08,4.5,Betfair,15.0,Betfair,26.0,Betfair,61.0,Betfair,201.0,Betfair,6.5,Betfair,11.0,Betfair,31.0,Betfair,101.0,Betfair,5.0,Betfair,7.5,Betfair,23.0,Betfair,101.0,Betfair,5.5,Betfair,8.5,Betfair,23.0,Betfair,101.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,17.0,3.0,8.0,1.0,9.0,2.0,,,,,,,,,,,,,8.0,7.0,23.0,15.0,25.0,17.0,15.0,22.0,4.0,6.0,1.0,0.0,,,1.0,8.0,,,,,,,,,,,,,,,,,,,0.57,0.43,10.0,0.0,4.0,0.0,6.0,0.0,,,3.0,2.0,2.0,2.0,8.0,11.0,,,0.0,4.0,,,,,,,0.39,0.61,7.0,3.0,4.0,1.0,3.0,2.0,,,5.0,5.0,2.0,4.0,,,7.0,11.0,,,1.0,4.0
Uk3r4neH,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,27/10/2021,15:30,Round 2,Vitoria Guimaraes,Benfica,3,3,"[21, 45, 83]","[7, 15, 28]",Betfair,4.0,2.2,2.4,Betfair,3.7,3.6,1.8,Betfair,1.04,11.0,Betfair,1.2,4.0,Betfair,1.75,2.05,Betfair,1.04,11.0,Betfair,1.2,4.0,Betfair,1.75,2.05,Betfair,2.88,1.4,Betfair,6.0,1.13,Betfair,1.67,2.15,Betfair,1.83,1.22,1.22,Betfair,10.0,Betfair,6.5,Betfair,8.0,Betfair,13.0,Betfair,10.0,Betfair,6.0,Betfair,6.5,Betfair,11.0,Betfair,15.0,Betfair,10.0,Betfair,11.0,Betfair,17.0,Betfair,36.0,Betfair,23.0,Betfair,26.0,Betfair,41.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,17.0,8.0,7.0,4.0,10.0,4.0,,,,,,,,,,,,,7.0,6.0,27.0,18.0,25.0,17.0,14.0,21.0,1.0,2.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,0.49,0.51,9.0,5.0,5.0,3.0,4.0,2.0,,,1.0,2.0,0.0,2.0,7.0,13.0,,,0.0,3.0,,,,,,,0.55,0.45,8.0,3.0,2.0,1.0,6.0,2.0,,,6.0,4.0,1.0,0.0,,,7.0,8.0,,,1.0,1.0
tSVBnKPq,PORTUGAL,2021-2022,League Cup 2021 2022,PORTUGAL CUP,26/10/2021,17:15,Round 2,Sporting CP,Famalicao,2,1,"[8, 61]",[89],Betfair,2.0,2.3,6.0,Betfair,1.4,4.2,6.5,Betfair,1.03,12.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,1.03,12.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,6.0,1.13,Betfair,1.91,1.8,Betfair,1.07,1.17,2.7,Betfair,10.0,Betfair,13.0,Betfair,26.0,Betfair,91.0,Betfair,5.5,Betfair,7.0,Betfair,15.0,Betfair,51.0,Betfair,6.0,Betfair,6.5,Betfair,15.0,Betfair,51.0,Betfair,8.0,Betfair,9.5,Betfair,20.0,Betfair,76.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,5.0,5.0,5.0,1.0,0.0,4.0,,,,,,,,,,,,,4.0,6.0,15.0,16.0,25.0,13.0,14.0,12.0,3.0,0.0,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,0.7,0.3,2.0,1.0,2.0,0.0,0.0,1.0,,,3.0,0.0,1.0,0.0,5.0,6.0,,,0.0,1.0,,,,,,,0.52,0.48,3.0,4.0,3.0,1.0,0.0,3.0,,,1.0,6.0,2.0,0.0,,,9.0,6.0,,,0.0,2.0
