Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
vamyKkCd,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,11/06/2023,13:00,Relegation,BSAD,Vilaverdense,0,1,[],[21],bet365,2.88,2.1,4.0,bet365,2.15,3.1,3.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.33,1.33,1.62,bet365,8.5,bet365,9.5,bet365,17.0,bet365,34.0,bet365,7.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.5,bet365,15.0,bet365,41.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.2,1.65,bet365,1.32,3.3,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,11.75,1.06,Betano.br,11.0,6.5,1.21,bet365,4.33,4.0,1.62,Betano.br,1.37,4.8,7.5,Betano.br,1.11,9.0,18.5,Betano.br,1.03,15.0,35.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,4.0,6.0,0.0,4.0,4.0,2.0,,,,,,,,,,,,,8.0,3.0,23.0,15.0,32.0,29.0,14.0,21.0,3.0,5.0,1.0,0.0,1.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.51,0.49,1.0,3.0,0.0,2.0,1.0,1.0,,,3.0,2.0,1.0,1.0,8.0,12.0,0.0,1.0,1.0,0.0,,,,,,,0.61,0.39,3.0,3.0,0.0,2.0,3.0,1.0,,,5.0,1.0,2.0,4.0,1.0,0.0,6.0,9.0,1.0,1.0,2.0,0.0
08lXKVdj,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,03/06/2023,14:00,Relegation,Vilaverdense,BSAD,1,1,[30],[5],bet365,2.75,2.05,4.33,bet365,1.95,3.0,3.6,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.25,1.33,1.73,bet365,8.0,bet365,9.5,bet365,19.0,bet365,41.0,bet365,6.5,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,19.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,3.0,1.38,bet365,2.05,1.8,bet365,1.26,3.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.5,1.08,Betano.br,9.25,5.9,1.26,bet365,4.0,3.75,1.73,Betano.br,1.29,5.2,9.5,Betano.br,1.07,10.25,24.0,Betano.br,1.02,16.5,40.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,14.0,10.0,7.0,3.0,7.0,7.0,,,,,,,,,,,,,7.0,1.0,14.0,21.0,19.0,23.0,18.0,14.0,5.0,1.0,1.0,0.0,3.0,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,0.45,0.55,8.0,4.0,3.0,2.0,5.0,2.0,,,3.0,0.0,2.0,1.0,8.0,5.0,1.0,0.0,1.0,2.0,,,,,,,0.53,0.47,6.0,6.0,4.0,1.0,2.0,5.0,,,4.0,1.0,3.0,0.0,1.0,0.0,10.0,9.0,2.0,0.0,1.0,4.0
E1kQZTTg,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,28/05/2023,14:00,Round 34,SC Farense,Tondela,3,1,"[13, 23, 42]",[2],bet365,2.1,2.25,6.5,bet365,1.5,4.0,5.75,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.4,1.3,bet365,6.5,1.11,bet365,2.1,1.67,bet365,1.14,1.22,2.5,bet365,10.0,bet365,13.0,bet365,29.0,bet365,67.0,bet365,6.0,bet365,8.0,bet365,19.0,bet365,51.0,bet365,6.5,bet365,8.5,bet365,21.0,bet365,51.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,67.0,bet365,4.65,1.18,bet365,3.9,1.24,bet365,2.42,1.52,bet365,1.9,1.95,bet365,1.5,2.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.75,7.2,1.19,Betano.br,4.9,4.55,1.55,bet365,2.5,3.5,2.5,Betano.br,1.15,7.2,16.0,Betano.br,1.03,13.5,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,15.0,7.0,7.0,3.0,8.0,4.0,,,,,,,,,,,,,4.0,1.0,20.0,16.0,23.0,24.0,15.0,20.0,3.0,0.0,,,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,0.53,0.47,8.0,4.0,4.0,2.0,4.0,2.0,,,1.0,0.0,,,7.0,8.0,,,1.0,1.0,,,,,,,0.57,0.43,7.0,3.0,3.0,1.0,4.0,2.0,,,3.0,1.0,3.0,0.0,,,8.0,12.0,1.0,2.0,1.0,3.0
lYdxXRDC,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,28/05/2023,11:30,Round 34,Nacional,Academico Viseu,3,2,"[48, 67, 83]","[4, 30]",bet365,1.91,2.6,6.0,bet365,1.4,4.5,6.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.73,2.0,bet365,1.11,1.18,2.75,bet365,17.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,9.0,bet365,9.0,bet365,19.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,3.55,1.27,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.6,5.9,1.33,Betano.br,3.4,4.3,1.85,bet365,2.1,4.0,2.75,Betano.br,1.11,8.75,18.5,Betano.br,1.03,15.0,37.0,,0.0,0.0,0.0,,,,,,,,,,,0.45,0.55,,,,,,,,,,,23.0,13.0,11.0,5.0,12.0,8.0,,,,,,,,,,,,,12.0,5.0,15.0,11.0,25.0,18.0,10.0,14.0,4.0,4.0,,,2.0,2.0,3.0,8.0,,,,,,,,,,,,,,,,,,,0.48,0.52,12.0,8.0,4.0,2.0,8.0,6.0,,,6.0,2.0,2.0,1.0,4.0,6.0,1.0,0.0,0.0,4.0,,,,,,,0.42,0.58,11.0,5.0,7.0,3.0,4.0,2.0,,,6.0,3.0,2.0,3.0,,,6.0,8.0,1.0,2.0,3.0,4.0
GvkOfV5J,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,28/05/2023,11:30,Round 34,Trofense,Mafra,1,2,[63],"[43, 69]",bet365,2.3,2.25,4.75,bet365,1.7,3.6,4.5,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,2.0,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.8,1.91,bet365,1.18,1.29,2.1,bet365,11.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,7.5,bet365,7.0,bet365,15.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.7,2.1,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.0,8.75,1.13,Betano.br,6.4,5.1,1.39,bet365,2.88,3.75,2.1,Betano.br,1.22,6.0,11.5,Betano.br,1.06,11.5,28.0,Betano.br,1.01,17.5,45.0,,,,,,,,,,,0.38,0.62,,,,,,,,,,,14.0,15.0,4.0,4.0,10.0,11.0,,,,,,,,,,,,,8.0,3.0,13.0,19.0,18.0,14.0,15.0,11.0,2.0,4.0,,,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.34,0.66,5.0,7.0,2.0,3.0,3.0,4.0,,,5.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,2.0,2.0,,,,,,,0.42,0.58,9.0,8.0,2.0,1.0,7.0,7.0,,,3.0,3.0,1.0,4.0,,,10.0,5.0,2.0,3.0,0.0,1.0
697XX7b6,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,28/05/2023,11:30,Round 34,Vilafranquense,BSAD,1,1,[90],[13],bet365,4.33,2.1,2.63,bet365,3.5,3.4,1.91,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.73,1.29,1.25,bet365,9.5,bet365,7.0,bet365,9.0,bet365,17.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,19.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.55,1.27,bet365,1.88,1.98,bet365,1.4,2.85,bet365,1.27,3.55,bet365,1.1,7.0,,0.0,0.0,Betano.br,40.0,16.5,1.02,Betano.br,24.0,10.25,1.08,Betano.br,9.5,5.4,1.28,bet365,1.73,3.75,3.75,Betano.br,1.3,5.6,8.25,Betano.br,1.09,10.0,18.5,,,,,,,,,,,0.59,0.41,,,,,,,,,,,11.0,7.0,7.0,1.0,4.0,6.0,,,,,,,,,,,,,3.0,2.0,20.0,29.0,23.0,22.0,24.0,21.0,2.0,3.0,,,5.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,0.57,0.43,5.0,3.0,4.0,1.0,1.0,2.0,,,1.0,0.0,1.0,0.0,12.0,10.0,3.0,0.0,0.0,4.0,,,,,,,0.61,0.39,6.0,4.0,3.0,0.0,3.0,4.0,,,2.0,2.0,1.0,3.0,,,12.0,11.0,2.0,0.0,0.0,2.0
SOetWoTI,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,28/05/2023,07:00,Round 34,Oliveirense,Leixoes,4,3,"[8, 18, 25, 45]","[2, 54, 90]",bet365,2.5,2.38,3.75,bet365,1.91,3.6,3.3,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.3,1.25,1.73,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,10.0,bet365,7.5,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,19.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.8,1.1,bet365,5.9,1.13,bet365,3.3,1.32,bet365,2.67,1.45,bet365,1.98,1.88,bet365,1.3,3.45,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.75,1.1,Betano.br,7.6,5.9,1.3,bet365,3.4,4.0,1.73,Betano.br,1.36,5.2,6.9,Betano.br,1.12,8.75,16.0,Betano.br,1.03,14.5,30.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,11.0,16.0,7.0,6.0,4.0,10.0,,,,,,,,,,,,,4.0,8.0,13.0,16.0,15.0,16.0,16.0,13.0,1.0,0.0,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.49,0.51,8.0,10.0,5.0,2.0,3.0,8.0,,,2.0,3.0,1.0,0.0,6.0,9.0,1.0,0.0,1.0,1.0,,,,,,,0.61,0.39,3.0,6.0,2.0,4.0,1.0,2.0,,,2.0,5.0,,,,,10.0,4.0,0.0,1.0,2.0,2.0
8OlUYmq0,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,27/05/2023,08:45,Round 34,FC Porto B,Benfica B,3,1,"[38, 52, 70]",[90],bet365,2.1,2.6,4.5,bet365,1.62,4.0,4.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.75,1.25,bet365,1.53,2.38,bet365,1.18,1.22,2.25,bet365,19.0,bet365,19.0,bet365,29.0,bet365,51.0,bet365,11.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,13.0,bet365,12.0,bet365,19.0,bet365,34.0,bet365,4.65,1.18,bet365,4.0,1.23,bet365,2.6,1.48,bet365,2.05,1.75,bet365,1.65,2.2,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.25,7.7,1.18,Betano.br,5.2,5.0,1.47,bet365,2.5,4.0,2.25,Betano.br,1.22,6.4,10.5,Betano.br,1.06,11.25,24.0,Betano.br,1.02,16.5,35.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,16.0,13.0,5.0,2.0,11.0,11.0,,,,,,,,,,,,,6.0,6.0,9.0,10.0,14.0,16.0,9.0,10.0,2.0,2.0,,,1.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.45,0.55,8.0,1.0,3.0,0.0,5.0,1.0,,,5.0,2.0,1.0,0.0,3.0,4.0,,,0.0,2.0,,,,,,,0.47,0.53,8.0,12.0,2.0,2.0,6.0,10.0,,,1.0,4.0,1.0,2.0,,,6.0,6.0,1.0,0.0,1.0,0.0
0CQfk9Tt,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,27/05/2023,07:00,Round 34,Penafiel,Estrela,2,4,"[9, 28]","[49, 50, 55, 86]",bet365,2.75,2.3,3.6,bet365,2.1,3.6,3.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.13,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.36,1.29,1.7,bet365,13.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,9.5,bet365,7.0,bet365,11.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,19.0,bet365,15.0,bet365,23.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.05,1.75,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,6.8,,0.0,0.0,,0.0,0.0,Betano.br,17.5,10.0,1.09,Betano.br,8.25,5.9,1.28,bet365,3.75,4.0,1.7,Betano.br,1.34,5.2,7.6,Betano.br,1.1,9.25,18.0,Betano.br,1.03,15.0,35.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,14.0,13.0,3.0,4.0,11.0,9.0,,,,,,,,,,,,,4.0,7.0,15.0,15.0,23.0,15.0,14.0,13.0,3.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.46,0.54,8.0,6.0,2.0,0.0,6.0,6.0,,,2.0,6.0,,,5.0,7.0,1.0,1.0,0.0,0.0,,,,,,,0.48,0.52,6.0,7.0,1.0,4.0,5.0,3.0,,,2.0,1.0,3.0,4.0,0.0,1.0,9.0,6.0,0.0,3.0,0.0,1.0
fVmSgkLP,PORTUGAL,2022-2023,Liga Portugal 2 2022 2023,PORTUGAL 2,26/05/2023,14:00,Round 34,Feirense,Torreense,4,1,"[15, 20, 45, 90]",[24],bet365,3.1,2.1,3.5,bet365,2.3,3.3,2.8,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.9,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.4,1.33,1.57,bet365,10.0,bet365,9.0,bet365,15.0,bet365,29.0,bet365,8.5,bet365,6.5,bet365,11.0,bet365,23.0,bet365,12.0,bet365,9.5,bet365,15.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,3.55,1.27,bet365,2.3,1.6,bet365,1.4,2.85,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,24.0,12.0,1.06,Betano.br,11.0,6.8,1.2,bet365,4.75,4.0,1.57,Betano.br,1.44,4.65,6.4,Betano.br,1.13,8.25,15.5,Betano.br,1.03,14.0,32.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,12.0,25.0,5.0,5.0,7.0,20.0,,,,,,,,,,,,,8.0,13.0,12.0,11.0,14.0,15.0,10.0,13.0,3.0,0.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,0.67,0.33,9.0,8.0,4.0,2.0,5.0,6.0,,,6.0,4.0,1.0,0.0,0.0,0.0,,,1.0,1.0,,,,,,,0.29,0.71,3.0,17.0,1.0,3.0,2.0,14.0,,,2.0,9.0,2.0,0.0,,,10.0,13.0,,,3.0,0.0
