Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
OGQLtQt1,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,02/06/2024,15:45,Relegation,AFS,Portimonense,2,1,"[52, 89]",[90],bet365,3.1,2.25,3.2,bet365,2.55,3.5,2.45,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.75,2.05,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.53,1.29,1.5,bet365,13.0,bet365,9.0,bet365,15.0,bet365,26.0,bet365,10.0,bet365,7.0,bet365,9.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,23.0,bet365,26.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.5,1.5,bet365,1.53,2.43,bet365,1.22,4.15,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,Betano.br,25.0,12.0,1.04,Betano.br,12.5,7.2,1.16,bet365,5.0,4.5,1.47,Betano.br,1.55,4.25,5.0,Betano.br,1.18,6.9,11.25,Betano.br,1.05,11.5,23.0,1.89,1.01,,,,,,,,,0.43,0.57,,,,,,,,,,,10.0,14.0,6.0,8.0,4.0,4.0,0.0,2.0,,,,,,,,,,,1.0,8.0,18.0,13.0,19.0,25.0,12.0,17.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,4.0,,,,,,,,,,,,,0.93,0.14,,,,,0.46,0.54,5.0,4.0,3.0,2.0,2.0,1.0,,,1.0,2.0,0.0,1.0,8.0,10.0,1.0,1.0,2.0,3.0,0.96,0.87,,,,,0.4,0.6,5.0,10.0,3.0,6.0,2.0,3.0,,,0.0,6.0,1.0,2.0,1.0,1.0,4.0,7.0,0.0,0.0,5.0,1.0
UHXCrnCl,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,25/05/2024,15:45,Relegation,Portimonense,AFS,1,2,[86],"[19, 47]",bet365,2.5,2.2,4.33,bet365,1.85,3.4,4.2,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.22,1.3,1.91,bet365,10.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,7.5,bet365,6.5,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,7.0,1.1,bet365,6.0,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.85,1.95,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.5,8.75,1.12,Betano.br,6.7,5.2,1.36,bet365,3.25,3.75,1.91,Betano.br,1.22,5.8,11.0,Betano.br,1.06,10.75,25.0,Betano.br,1.01,15.5,37.0,1.46,1.22,,,,,,,,,0.64,0.36,,,,,,,,,,,21.0,9.0,5.0,5.0,8.0,2.0,8.0,2.0,,,,,,,,,,,14.0,2.0,29.0,14.0,33.0,17.0,13.0,26.0,2.0,7.0,0.0,1.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,0.46,1.15,,,,,0.56,0.44,8.0,7.0,3.0,4.0,2.0,1.0,,,3.0,1.0,,,4.0,12.0,1.0,2.0,3.0,3.0,1.0,0.07,,,,,0.71,0.29,13.0,2.0,2.0,1.0,6.0,1.0,,,11.0,1.0,2.0,7.0,0.0,1.0,9.0,14.0,0.0,1.0,0.0,1.0
t4RTDzCR,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,16:30,Round 34,Braga,FC Porto,0,1,[],[84],bet365,3.5,2.38,2.63,bet365,3.25,3.6,2.1,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.7,1.29,1.33,bet365,15.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,15.0,bet365,7.0,bet365,9.0,bet365,15.0,bet365,19.0,bet365,12.0,bet365,11.0,bet365,21.0,bet365,34.0,bet365,23.0,bet365,26.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,1.73,2.08,bet365,1.38,3.0,bet365,1.26,3.7,bet365,1.11,6.8,bet365,1.1,7.0,Betano.br,28.0,14.0,1.03,Betano.br,15.5,9.0,1.11,Betano.br,7.2,5.3,1.33,bet365,1.7,4.33,3.75,Betano.br,1.3,5.7,7.2,Betano.br,1.1,9.25,15.0,,,,,,,,,,,0.34,0.66,,,,,,,,,,,4.0,19.0,1.0,5.0,3.0,8.0,0.0,6.0,,,,,,,,,,,4.0,8.0,13.0,13.0,17.0,16.0,12.0,11.0,4.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,0.41,0.59,0.0,7.0,0.0,0.0,0.0,4.0,,,1.0,1.0,3.0,1.0,6.0,7.0,0.0,2.0,0.0,0.0,,,,,,,0.27,0.73,4.0,12.0,1.0,5.0,3.0,4.0,,,3.0,7.0,1.0,0.0,,,6.0,4.0,0.0,0.0,4.0,1.0
buxPEGdL,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,14:00,Round 34,Moreirense,Estoril,2,1,"[4, 66]",[49],bet365,2.88,2.2,3.75,bet365,2.2,3.3,3.25,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.7,2.05,bet365,1.33,1.33,1.67,bet365,10.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,8.0,bet365,6.5,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.2,1.65,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.75,1.06,Betano.br,10.0,6.2,1.22,bet365,4.33,4.0,1.67,Betano.br,1.33,4.9,7.9,Betano.br,1.09,9.0,18.5,Betano.br,1.02,14.5,32.0,1.57,1.75,,,,,,,,,0.42,0.58,,,,,,,,,,,13.0,9.0,3.0,2.0,9.0,4.0,1.0,3.0,,,,,,,,,,,2.0,6.0,10.0,10.0,26.0,18.0,8.0,8.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,0.8,0.55,,,,,0.4,0.6,5.0,3.0,1.0,0.0,4.0,2.0,,,1.0,5.0,,,2.0,3.0,0.0,2.0,0.0,0.0,0.77,1.2,,,,,0.44,0.56,8.0,6.0,2.0,2.0,5.0,2.0,,,1.0,1.0,,,,,6.0,5.0,2.0,0.0,1.0,1.0
jFYGGxS8,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,14:00,Round 34,Sporting CP,Chaves,3,0,"[23, 37, 54]",[],bet365,1.29,4.33,15.0,bet365,1.05,13.0,29.0,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.75,1.4,bet365,1.01,34.0,bet365,1.04,13.0,bet365,1.17,5.0,bet365,1.44,2.63,bet365,1.91,1.8,bet365,2.0,1.75,bet365,1.01,1.04,11.0,bet365,34.0,bet365,67.0,bet365,151.0,Betfair,201.0,bet365,19.0,bet365,26.0,bet365,51.0,bet365,151.0,bet365,10.0,bet365,15.0,bet365,41.0,bet365,101.0,bet365,8.0,bet365,12.0,bet365,34.0,bet365,81.0,bet365,1.53,2.43,bet365,1.26,3.7,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,2.1,4.75,2.5,Betano.br,1.65,4.7,3.85,Betano.br,1.26,6.0,8.25,Betano.br,1.02,14.5,37.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.74,1.72,,,,,,,,,0.5,0.5,,,,,,,,,,,15.0,10.0,7.0,0.0,6.0,9.0,2.0,1.0,,,,,,,,,,,5.0,3.0,8.0,16.0,7.0,9.0,16.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,,2.39,0.67,,,,,0.57,0.43,8.0,4.0,4.0,0.0,3.0,4.0,,,4.0,0.0,1.0,0.0,8.0,5.0,0.0,1.0,0.0,2.0,0.35,1.05,,,,,0.43,0.57,7.0,6.0,3.0,0.0,3.0,5.0,,,1.0,3.0,1.0,1.0,,,8.0,2.0,0.0,0.0,0.0,2.0
GdIe9fKr,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,11:30,Round 34,Arouca,Vitoria Guimaraes,1,3,[40],"[50, 53, 62]",bet365,3.5,2.3,2.75,bet365,3.1,3.5,2.2,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.67,1.29,1.36,bet365,13.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,12.0,bet365,7.0,bet365,9.0,bet365,17.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,1.68,2.15,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,Betano.br,25.0,13.0,1.04,Betano.br,13.5,7.9,1.14,Betano.br,6.0,4.75,1.42,bet365,1.67,4.33,4.0,Betano.br,1.22,6.4,9.5,Betano.br,1.07,10.75,19.5,1.88,1.09,,,,,,,,,0.53,0.47,,,,,,,,,,,5.0,9.0,2.0,4.0,2.0,3.0,1.0,2.0,,,,,,,,,,,3.0,7.0,17.0,15.0,18.0,21.0,13.0,19.0,3.0,5.0,,,2.0,0.0,1.0,1.0,,,,,,,,,,,,,1.77,0.07,,,,,0.55,0.45,5.0,2.0,2.0,1.0,2.0,1.0,,,2.0,5.0,1.0,2.0,7.0,9.0,2.0,0.0,1.0,1.0,0.11,1.02,,,,,0.51,0.49,0.0,7.0,0.0,3.0,0.0,2.0,,,1.0,2.0,2.0,3.0,,,6.0,10.0,0.0,0.0,0.0,0.0
AJHa8EZl,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,11:30,Round 34,Boavista,Vizela,2,2,"[53, 90]","[30, 61]",bet365,2.75,2.1,4.33,bet365,2.0,3.1,4.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.91,1.91,bet365,1.22,1.36,1.8,bet365,8.5,bet365,11.0,bet365,19.0,bet365,41.0,bet365,7.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,7.0,1.1,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.05,1.85,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.0,1.08,Betano.br,8.75,5.7,1.27,bet365,3.75,3.75,1.8,Betano.br,1.26,5.3,10.25,Betano.br,1.06,10.0,25.0,Betano.br,1.01,15.5,37.0,1.47,1.43,,,,,,,,,0.42,0.58,,,,,,,,,,,15.0,14.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,9.0,2.0,8.0,18.0,15.0,15.0,17.0,7.0,3.0,1.0,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,0.08,0.67,,,,,0.37,0.63,2.0,9.0,0.0,3.0,1.0,3.0,,,3.0,2.0,1.0,1.0,10.0,4.0,0.0,0.0,2.0,0.0,1.39,0.76,,,,,0.47,0.53,13.0,5.0,5.0,1.0,4.0,2.0,,,6.0,0.0,2.0,0.0,,,7.0,3.0,1.0,1.0,0.0,3.0
lAG37Yle,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,11:30,Round 34,Estrela,Gil Vicente,1,0,[24],[],bet365,2.25,2.38,4.75,bet365,1.67,3.9,4.75,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.7,2.05,bet365,1.18,1.25,2.15,bet365,13.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,8.5,bet365,7.5,bet365,15.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,13.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.68,2.15,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.0,7.6,1.17,Betano.br,5.3,4.85,1.47,bet365,2.75,3.75,2.15,Betano.br,1.21,6.2,11.0,Betano.br,1.05,11.0,25.0,Betano.br,1.01,15.5,37.0,0.91,1.4,,,,,,,,,0.52,0.48,,,,,,,,,,,6.0,5.0,2.0,2.0,2.0,3.0,2.0,0.0,,,,,,,,,,,4.0,3.0,6.0,10.0,9.0,14.0,17.0,13.0,3.0,0.0,,,2.0,0.0,2.0,1.0,,,,,,,,,,,,,0.5,0.37,,,,,0.52,0.48,4.0,1.0,1.0,1.0,2.0,0.0,,,2.0,3.0,,,4.0,3.0,2.0,0.0,1.0,0.0,0.41,1.03,,,,,0.52,0.48,2.0,4.0,1.0,1.0,0.0,3.0,,,2.0,0.0,3.0,0.0,,,13.0,10.0,0.0,0.0,1.0,1.0
6oB86h41,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,18/05/2024,11:30,Round 34,SC Farense,Portimonense,1,3,[55],"[12, 33, 90]",bet365,3.25,2.5,2.75,bet365,2.8,4.1,2.15,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.44,2.63,bet365,1.67,1.22,1.4,bet365,21.0,bet365,13.0,bet365,15.0,bet365,21.0,bet365,15.0,bet365,8.5,bet365,9.5,bet365,15.0,bet365,19.0,bet365,11.0,bet365,12.0,bet365,19.0,bet365,29.0,bet365,19.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.75,1.43,bet365,1.7,2.1,bet365,1.38,3.0,bet365,1.26,3.7,bet365,1.11,6.8,,0.0,0.0,Betano.br,24.0,12.5,1.04,Betano.br,12.5,7.8,1.15,Betano.br,5.7,4.9,1.42,bet365,1.67,4.33,3.75,Betano.br,1.28,6.0,7.6,Betano.br,1.1,9.75,15.5,0.51,1.34,,,,,,,,,0.56,0.44,,,,,,,,,,,7.0,15.0,3.0,6.0,3.0,5.0,1.0,4.0,,,,,,,,,,,2.0,4.0,13.0,13.0,29.0,28.0,14.0,14.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,0.04,0.74,,,,,0.5,0.5,4.0,10.0,2.0,4.0,2.0,4.0,,,2.0,2.0,,,6.0,5.0,0.0,1.0,2.0,2.0,0.47,0.6,,,,,0.62,0.38,3.0,5.0,1.0,2.0,1.0,1.0,,,0.0,2.0,3.0,1.0,1.0,1.0,8.0,9.0,2.0,0.0,1.0,0.0
COZCHIC2,PORTUGAL,2023-2024,Liga Portugal 2023 2024,PORTUGAL 1,17/05/2024,16:45,Round 34,Rio Ave,Benfica,1,1,[90],[32],bet365,6.0,2.75,1.8,bet365,6.5,5.25,1.36,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.62,2.2,bet365,3.0,1.17,1.11,bet365,23.0,bet365,11.0,bet365,9.0,bet365,10.0,bet365,23.0,bet365,11.0,bet365,8.5,bet365,10.0,bet365,41.0,bet365,21.0,bet365,17.0,bet365,19.0,bet365,81.0,bet365,41.0,bet365,41.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,3.0,1.38,bet365,2.38,1.55,bet365,1.86,2.04,bet365,1.45,2.68,bet365,1.33,3.3,Betano.br,35.0,16.5,1.01,Betano.br,29.0,13.0,1.03,Betano.br,15.0,8.25,1.12,bet365,3.0,4.0,1.91,Betano.br,1.83,4.35,3.25,Betano.br,1.34,5.9,6.1,1.32,1.46,,,,,,,,,0.51,0.49,,,,,,,,,,,8.0,15.0,3.0,8.0,4.0,5.0,1.0,2.0,,,,,,,,,,,2.0,8.0,9.0,10.0,14.0,14.0,13.0,12.0,4.0,2.0,,,2.0,1.0,7.0,2.0,,,,,,,,,,,,,0.36,0.62,,,,,0.46,0.54,4.0,5.0,1.0,4.0,2.0,1.0,,,1.0,1.0,2.0,1.0,7.0,7.0,1.0,0.0,3.0,1.0,0.96,0.84,,,,,0.56,0.44,4.0,10.0,2.0,4.0,2.0,4.0,,,1.0,7.0,2.0,1.0,,,6.0,5.0,1.0,1.0,4.0,1.0
