Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
pbsHbrJ5,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,24/05/2025,05:00,Relegation,Chindia Targoviste,CSC Dumbravita,3,2,"[49, 79, 87]","[15, 21]",Betfair,2.3,1.91,6.0,Betfair,1.57,3.3,5.0,Betano.br,1.47,2.47,Betano.br,3.0,1.32,Betano.br,7.2,1.05,Betfair,1.06,7.5,Betfair,1.4,2.75,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,2.2,1.57,Betfair,1.13,1.25,2.1,Betfair,6.5,Betfair,11.0,Betfair,23.0,Betfair,76.0,Betfair,5.0,Betfair,6.0,Betfair,15.0,Betfair,61.0,Betfair,6.0,Betfair,8.0,Betfair,17.0,Betfair,76.0,Betfair,12.0,Betfair,13.0,Betfair,34.0,Betfair,81.0,,0.0,0.0,,0.0,0.0,Betano.br,2.8,1.4,Betano.br,2.45,1.52,Betano.br,1.72,2.05,Superbet.br,1.13,4.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,7.5,5.0,1.32,Betano.br,3.35,3.25,2.05,Betano.br,1.16,6.2,15.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,9.0,14.0,5.0,7.0,4.0,7.0,,,,,,,,,,,,,8.0,5.0,,,,,,,4.0,2.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,0.46,0.54,2.0,6.0,0.0,3.0,2.0,3.0,,,1.0,4.0,,,,,,,1.0,0.0,,,,,,,0.6,0.4,7.0,8.0,5.0,4.0,2.0,4.0,,,7.0,1.0,4.0,2.0,,,,,,,4.0,2.0
bZlMS3Gb,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,18/05/2025,06:00,Championship Group,FC Voluntari,Metaloglobus Bucharest,1,0,[5],[],Betfair,2.0,2.1,6.0,Betfair,1.44,3.8,6.0,Betano.br,1.42,2.75,Betano.br,2.8,1.4,Betano.br,6.3,1.1,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,2.1,1.65,Betfair,1.1,1.22,2.5,Betfair,8.5,Betfair,13.0,Betfair,31.0,Betfair,81.0,Betfair,5.5,Betfair,6.5,Betfair,17.0,Betfair,61.0,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,76.0,Betfair,9.5,Betfair,11.0,Betfair,23.0,Betfair,81.0,Betboom.br,5.01,1.11,Betboom.br,4.08,1.17,Betano.br,2.45,1.53,Betano.br,1.85,1.93,Betano.br,1.5,2.55,Superbet.br,1.12,5.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.0,7.2,1.19,Betano.br,5.0,4.45,1.55,Betano.br,2.5,3.45,2.62,Betano.br,1.13,7.6,19.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,11.0,11.0,6.0,3.0,5.0,8.0,,,,,,,,,,,,,3.0,4.0,,,,,,,0.0,1.0,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,0.48,0.52,2.0,4.0,1.0,1.0,1.0,3.0,,,2.0,2.0,,,,,,,1.0,0.0,,,,,,,0.48,0.52,9.0,7.0,5.0,2.0,4.0,5.0,,,1.0,2.0,0.0,1.0,,,,,,,2.0,5.0
f1rVQsoB,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,18/05/2025,06:00,Championship Group,Csikszereda M. Ciuc,FC Arges,0,4,[],"[12, 18, 42, 54]",Betfair,3.0,1.91,4.0,Betfair,2.2,2.9,3.1,Betano.br,1.52,2.45,Betano.br,3.2,1.32,Betano.br,7.4,1.07,Betfair,1.07,7.0,Betfair,1.44,2.6,Betfair,2.4,1.45,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.0,1.73,Betfair,1.3,1.33,1.57,Betfair,6.0,Betfair,7.5,Betfair,13.0,Betfair,36.0,Betfair,6.0,Betfair,5.5,Betfair,11.0,Betfair,26.0,Betfair,8.5,Betfair,9.0,Betfair,15.0,Betfair,46.0,Betfair,19.0,Betfair,17.0,Betfair,36.0,Betfair,76.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.75,1.22,Betboom.br,3.79,1.19,Betano.br,2.25,1.62,Superbet.br,1.23,3.6,Betboom.br,1.03,7.69,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,28.0,12.5,1.05,Betano.br,12.5,6.7,1.19,Betano.br,5.1,3.85,1.62,Betano.br,1.35,4.7,8.5,Betano.br,1.09,9.25,23.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,12.0,7.0,5.0,4.0,7.0,3.0,,,,,,,,,,,,,7.0,1.0,,,,,,,4.0,1.0,,,,,0.0,5.0,,,,,,,,,,,,,,,,,,,0.39,0.61,3.0,4.0,2.0,3.0,1.0,1.0,,,4.0,1.0,2.0,0.0,,,,,0.0,2.0,,,,,,,0.65,0.35,9.0,3.0,3.0,1.0,6.0,2.0,,,3.0,0.0,2.0,1.0,,,,,,,0.0,3.0
vX63oFR1,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,18/05/2025,06:00,Championship Group,Steaua Bucuresti,CSM Resita,0,2,[],"[16, 76]",Betfair,2.2,2.2,5.0,Betfair,1.62,3.8,4.33,Betano.br,1.36,3.0,Betano.br,2.57,1.47,Betano.br,5.6,1.12,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.73,2.0,Betfair,1.17,1.22,2.1,Betfair,10.0,Betfair,13.0,Betfair,21.0,Betfair,67.0,Betfair,6.5,Betfair,6.5,Betfair,13.0,Betfair,34.0,Betfair,7.0,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,12.0,Betfair,11.0,Betfair,19.0,Betfair,56.0,Betboom.br,5.21,1.1,Betboom.br,4.23,1.15,Betano.br,2.55,1.5,Betano.br,1.98,1.8,Betano.br,1.6,2.32,Superbet.br,1.14,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.75,7.5,1.18,Betano.br,5.1,4.75,1.5,Betano.br,2.62,3.75,2.37,Betano.br,1.19,6.6,12.5,Betano.br,1.06,11.75,27.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,9.0,11.0,4.0,7.0,5.0,4.0,,,,,,,,,,,,,1.0,2.0,,,,,,,3.0,4.0,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,0.6,0.4,5.0,3.0,2.0,2.0,3.0,1.0,,,0.0,0.0,1.0,4.0,,,,,1.0,2.0,,,,,,,0.54,0.46,4.0,8.0,2.0,5.0,2.0,3.0,,,1.0,2.0,2.0,0.0,,,,,,,4.0,2.0
lWm804lg,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,17/05/2025,05:00,Relegation,CSC Dumbravita,Chindia Targoviste,0,1,[],[26],Betfair,4.0,1.83,3.2,Betfair,3.1,2.8,2.25,Betano.br,1.6,2.2,Betano.br,3.55,1.26,Betano.br,7.8,1.05,Betfair,1.08,6.5,Betfair,1.5,2.4,Betfair,2.6,1.44,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.1,1.65,Betfair,1.53,1.36,1.3,Betfair,5.5,Betfair,6.0,Betfair,9.0,Betfair,21.0,Betfair,6.5,Betfair,5.5,Betfair,9.0,Betfair,19.0,Betfair,12.0,Betfair,11.0,Betfair,15.0,Betfair,41.0,Betfair,36.0,Betfair,29.0,Betfair,51.0,Betfair,81.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.2,1.06,Betboom.br,8.01,1.02,Superbet.br,3.05,1.33,Betano.br,1.6,2.25,Superbet.br,1.21,4.0,Superbet.br,1.14,5.0,,0.0,0.0,Superbet.br,1.02,13.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,8.5,4.5,1.33,Betano.br,1.62,3.7,5.0,Betano.br,1.17,6.4,12.5,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,13.0,10.0,7.0,3.0,6.0,7.0,,,,,,,,,,,,,8.0,3.0,,,,,,,4.0,3.0,1.0,0.0,,,2.0,7.0,,,,,,,,,,,,,,,,,,,0.46,0.54,4.0,6.0,2.0,2.0,2.0,4.0,,,3.0,1.0,,,,,,,1.0,2.0,,,,,,,0.67,0.33,9.0,4.0,5.0,1.0,4.0,3.0,,,5.0,2.0,4.0,3.0,1.0,0.0,,,,,1.0,5.0
neL3AM0U,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,13/05/2025,13:30,Championship Group,FC Arges,FC Voluntari,0,0,[],[],Betfair,3.1,1.83,4.2,Betfair,2.2,2.88,3.0,Betano.br,1.6,2.27,Betano.br,3.6,1.26,Betano.br,8.25,1.05,Betfair,1.08,6.5,Betfair,1.45,2.55,Betfair,2.6,1.44,Betfair,5.2,1.13,Betfair,11.0,1.01,Betfair,2.05,1.67,Betfair,1.33,1.33,1.57,Betfair,5.5,Betfair,7.5,Betfair,13.0,Betfair,36.0,Betfair,5.5,Betfair,5.0,Betfair,11.0,Betfair,31.0,Betfair,8.5,Betfair,9.0,Betfair,15.0,Betfair,56.0,Betfair,21.0,Betfair,19.0,Betfair,36.0,Betfair,76.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.75,1.14,Betboom.br,3.86,1.19,Betano.br,2.42,1.55,Betano.br,1.39,2.92,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,32.0,13.5,1.04,Betano.br,15.0,7.3,1.15,Betano.br,5.8,3.95,1.55,Betano.br,1.4,4.4,7.8,Betano.br,1.1,8.75,21.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,12.0,5.0,3.0,3.0,9.0,2.0,,,,,,,,,,,,,4.0,1.0,,,,,,,1.0,0.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,0.59,0.41,3.0,1.0,1.0,0.0,2.0,1.0,,,2.0,1.0,,,,,,,0.0,1.0,,,,,,,0.45,0.55,9.0,4.0,2.0,3.0,7.0,1.0,,,2.0,0.0,1.0,0.0,,,,,,,3.0,2.0
r5Dfmyck,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,10/05/2025,06:30,Championship Group,CSM Resita,Csikszereda M. Ciuc,1,1,[51],[36],Betfair,3.6,2.0,2.88,Betfair,3.0,3.0,2.2,Betano.br,1.45,2.57,Betano.br,2.92,1.36,Betano.br,6.4,1.08,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.73,1.95,Betfair,1.57,1.33,1.33,Betfair,8.0,Betfair,7.0,Betfair,9.5,Betfair,19.0,Betfair,9.0,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,13.0,Betfair,9.5,Betfair,12.0,Betfair,23.0,Betfair,34.0,Betfair,21.0,Betfair,31.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,Betboom.br,7.34,1.03,Betboom.br,6.0,1.07,Superbet.br,2.8,1.36,Betano.br,1.6,2.27,Betboom.br,1.22,3.56,Superbet.br,1.15,4.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,6.5,4.45,1.4,Betano.br,1.6,3.95,4.75,Betano.br,1.19,6.4,10.75,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,11.0,7.0,7.0,3.0,4.0,4.0,,,,,,,,,,,,,5.0,6.0,,,,,,,1.0,4.0,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,0.52,0.48,3.0,5.0,2.0,2.0,1.0,3.0,,,3.0,2.0,,,,,,,1.0,2.0,,,,,,,0.44,0.56,8.0,2.0,5.0,1.0,3.0,1.0,,,2.0,4.0,1.0,4.0,,,,,,,1.0,4.0
j9oEUPon,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,11/05/2025,05:30,Championship Group,Metaloglobus Bucharest,Steaua Bucuresti,0,3,[],"[13, 62, 90]",Betfair,3.6,2.0,3.0,Betfair,2.88,3.0,2.2,Betano.br,1.47,2.5,Betano.br,3.05,1.33,Betano.br,6.7,1.07,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,1.8,1.87,Betfair,1.53,1.33,1.33,Betfair,7.5,Betfair,7.0,Betfair,9.5,Betfair,21.0,Betfair,8.0,Betfair,5.5,Betfair,8.5,Betfair,15.0,Betfair,12.0,Betfair,9.5,Betfair,12.0,Betfair,23.0,Betfair,29.0,Betfair,21.0,Betfair,34.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,Betboom.br,7.84,1.02,Betboom.br,6.38,1.06,Superbet.br,2.9,1.34,Betano.br,1.6,2.25,Betboom.br,1.19,3.78,Superbet.br,1.15,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,6.9,4.5,1.38,Betano.br,1.62,3.85,4.7,Betano.br,1.19,6.3,10.75,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,7.0,10.0,1.0,8.0,6.0,2.0,,,,,,,,,,,,,4.0,2.0,,,,,,,2.0,3.0,1.0,0.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,0.45,0.55,5.0,3.0,0.0,2.0,5.0,1.0,,,4.0,1.0,2.0,1.0,,,,,1.0,0.0,,,,,,,0.49,0.51,2.0,7.0,1.0,6.0,1.0,1.0,,,0.0,1.0,0.0,2.0,,,,,,,4.0,1.0
6T5ma4lg,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,10/05/2025,05:00,Relegation Group,Chindia Targoviste,CSM Slatina,1,1,[19],[11],Betfair,2.2,2.0,5.5,Betfair,1.57,3.5,5.0,Betano.br,1.42,2.47,Superbet.br,3.05,1.33,Superbet.br,7.6,1.06,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.1,1.65,Betfair,1.13,1.29,2.2,Betfair,7.5,Betfair,12.0,Betfair,23.0,Betfair,76.0,Betfair,5.0,Betfair,6.0,Betfair,15.0,Betfair,56.0,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,67.0,Betfair,11.0,Betfair,12.0,Betfair,26.0,Betfair,76.0,Betboom.br,6.91,1.04,Betboom.br,5.7,1.08,Superbet.br,2.65,1.37,Betano.br,2.0,1.72,Superbet.br,1.57,2.12,Superbet.br,1.14,4.35,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.67,3.35,2.3,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,22.0,8.0,7.0,4.0,15.0,4.0,,,,,,,,,,,,,9.0,1.0,,,,,,,0.0,2.0,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,0.5,0.5,9.0,3.0,3.0,3.0,6.0,0.0,,,5.0,0.0,,,,,,,2.0,2.0,,,,,,,0.5,0.5,13.0,5.0,4.0,1.0,9.0,4.0,,,4.0,1.0,0.0,2.0,,,,,,,1.0,4.0
MR66LeSE,ROMANIA,2024-2025,Liga 2 2024 2025,ROMANIA 2,10/05/2025,05:00,Relegation Group,CSC Dumbravita,U Craiova 1948,3,0,"[11, 21, 74]",[],Betfair,2.0,2.2,6.0,Betfair,1.4,4.0,6.0,Betano.br,1.32,2.85,Betano.br,2.52,1.4,Betano.br,5.6,1.07,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.95,1.75,Betfair,1.1,1.2,2.63,Betfair,9.0,Betfair,15.0,Betfair,31.0,Betfair,81.0,Betfair,5.5,Betfair,7.0,Betfair,17.0,Betfair,61.0,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,67.0,Betfair,9.0,Betfair,10.0,Betfair,21.0,Betfair,76.0,,0.0,0.0,,0.0,0.0,Betboom.br,2.52,1.43,Betano.br,1.75,1.95,Estrelabet,1.5,2.3,KTO.br,1.15,5.1,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.27,3.4,2.65,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,12.0,9.0,7.0,8.0,5.0,1.0,,,,,,,,,,,,,11.0,5.0,,,,,,,2.0,3.0,0.0,1.0,,,8.0,4.0,,,,,,,,,,,,,,,,,,,0.43,0.57,6.0,5.0,4.0,4.0,2.0,1.0,,,4.0,3.0,1.0,3.0,,,,,4.0,2.0,,,,,,,0.53,0.47,6.0,4.0,3.0,4.0,3.0,0.0,,,7.0,2.0,1.0,0.0,,,,,,,4.0,2.0
