Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
8WtwVAsA,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Fayha,Al Ettifaq,0,1,[],[57],Betano.br,5.4,2.18,2.15,Betfair,5.5,3.6,1.53,Betano.br,1.42,2.65,Betano.br,2.85,1.37,Betano.br,6.2,1.09,Betano.br,1.06,7.2,Betano.br,1.32,3.1,Betano.br,1.93,1.78,Betano.br,3.25,1.29,Betano.br,5.6,1.11,Betfair,1.91,1.8,Betfair,2.3,1.22,1.13,Betfair,9.0,Betfair,5.5,Betfair,6.5,Betfair,10.0,Betfair,13.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,23.0,Betfair,15.0,Betfair,13.0,Betfair,21.0,Betfair,76.0,Betfair,51.0,Betfair,56.0,Betfair,76.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,25.0,10.75,1.05,Betano.br,13.0,6.3,1.17,Betano.br,2.35,3.5,2.65,Betano.br,1.47,4.55,5.2,Betano.br,1.16,7.2,11.0,,,,,,,,,,,0.52,0.48,0.0,0.0,,,,,,,,,13.0,12.0,6.0,5.0,6.0,5.0,1.0,2.0,,,,,,,,,,,5.0,7.0,,,,,7.0,12.0,2.0,3.0,,,2.0,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,0.47,0.53,10.0,5.0,4.0,1.0,5.0,3.0,,,2.0,5.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,,,,,,,0.57,0.43,3.0,7.0,2.0,4.0,1.0,2.0,,,3.0,2.0,1.0,3.0,,,6.0,8.0,2.0,2.0,3.0,2.0
Q7yrUUdG,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Hilal,Al-Faisaly,2,1,"[7, 64]",[70],Betano.br,1.7,2.62,7.4,Betfair,1.22,5.0,9.0,Betano.br,1.28,3.35,Betano.br,2.25,1.57,Betano.br,4.65,1.16,Betano.br,1.03,9.25,Betano.br,1.17,4.45,Betano.br,1.53,2.35,Betano.br,2.3,1.55,Betano.br,3.75,1.23,Betfair,1.85,1.85,Betano.br,1.07,1.12,3.85,Betfair,15.0,Betfair,23.0,Betfair,61.0,Betfair,101.0,Betfair,7.0,Betfair,9.5,Betfair,23.0,Betfair,76.0,Betfair,6.0,Betfair,7.0,Betfair,17.0,Betfair,67.0,Betfair,7.5,Betfair,8.5,Betfair,19.0,Betfair,67.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,5.1,5.1,1.44,Betano.br,2.77,4.0,2.1,Betano.br,1.72,4.0,3.85,Betano.br,1.07,9.25,21.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,0.0,0.0,,,,,,,,,6.0,14.0,2.0,3.0,2.0,8.0,2.0,3.0,,,,,,,,,,,6.0,7.0,,,,,19.0,10.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.49,0.51,3.0,5.0,1.0,0.0,1.0,4.0,,,4.0,2.0,0.0,1.0,8.0,5.0,1.0,0.0,0.0,0.0,,,,,,,0.45,0.55,3.0,9.0,1.0,3.0,1.0,4.0,,,2.0,5.0,2.0,3.0,0.0,1.0,11.0,5.0,0.0,0.0,2.0,0.0
4bznTlCM,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Ittihad,Al Batin,0,0,[],[],Betano.br,1.72,2.67,6.3,Betfair,1.22,5.5,8.0,Betano.br,1.24,3.6,Betano.br,2.1,1.65,Betano.br,4.15,1.19,Betano.br,1.02,10.0,Betano.br,1.13,5.1,Betano.br,1.42,2.67,Betano.br,2.02,1.7,Betano.br,3.2,1.3,Betfair,1.65,2.1,Betfair,1.06,1.13,3.6,Betfair,17.0,Betfair,23.0,Betfair,56.0,Betfair,101.0,Betfair,8.0,Betfair,9.5,Betfair,21.0,Betfair,67.0,Betfair,7.0,Betfair,7.0,Betfair,15.0,Betfair,56.0,Betfair,8.0,Betfair,8.5,Betfair,15.0,Betfair,51.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,5.3,5.4,1.4,Betano.br,2.92,4.15,1.98,Betano.br,1.82,4.05,3.45,Betano.br,1.09,8.75,17.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.69,0.31,0.0,0.0,,,,,,,,,11.0,7.0,3.0,3.0,6.0,2.0,2.0,2.0,,,,,,,,,,,9.0,5.0,,,,,14.0,14.0,1.0,5.0,,,1.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.66,0.34,1.0,4.0,1.0,2.0,0.0,0.0,,,2.0,2.0,0.0,3.0,9.0,6.0,1.0,0.0,2.0,1.0,,,,,,,0.72,0.28,10.0,3.0,2.0,1.0,6.0,2.0,,,7.0,3.0,1.0,2.0,,,5.0,8.0,0.0,0.0,1.0,2.0
bLZkS8RS,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Nassr,Al Fateh,2,1,"[13, 90]",[37],Betano.br,1.55,2.82,8.75,Betfair,1.2,5.5,8.5,Betano.br,1.25,3.6,Betano.br,2.1,1.65,Betano.br,4.15,1.19,Betano.br,1.02,10.0,Betano.br,1.13,5.0,Betano.br,1.42,2.67,Betano.br,2.0,1.72,Betano.br,3.15,1.32,Betfair,1.65,2.1,Betano.br,1.05,1.1,4.6,Betfair,19.0,Betfair,31.0,Betfair,56.0,Betfair,101.0,Betfair,8.0,Betfair,10.0,Betfair,21.0,Betfair,67.0,Betfair,6.5,Betfair,7.0,Betfair,15.0,Betfair,61.0,Betfair,8.0,Betfair,8.0,Betfair,15.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,3.95,4.8,1.6,Betano.br,2.32,4.05,2.42,Betano.br,1.55,4.4,4.6,Betano.br,1.09,8.75,18.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,0.0,0.0,,,,,,,,,14.0,9.0,5.0,4.0,6.0,4.0,3.0,1.0,,,,,,,,,,,4.0,2.0,,,,,5.0,9.0,1.0,4.0,1.0,0.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.46,0.54,5.0,4.0,1.0,1.0,3.0,2.0,,,1.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,,,,,,,0.48,0.52,9.0,5.0,4.0,3.0,3.0,2.0,,,3.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0
YDQHNSZq,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Raed,Abha,1,0,[21],[],Betano.br,2.15,2.22,5.1,Betfair,1.47,3.8,5.5,Betano.br,1.39,2.77,Betano.br,2.72,1.4,Betano.br,6.0,1.1,Betano.br,1.05,7.7,Betano.br,1.29,3.3,Betano.br,1.87,1.83,Betano.br,3.1,1.32,Betano.br,5.4,1.12,Betfair,1.91,1.8,Betano.br,1.18,1.22,2.37,Betfair,9.0,Betfair,13.0,Betfair,26.0,Betfair,76.0,Betfair,5.5,Betfair,6.5,Betfair,15.0,Betfair,56.0,Betfair,6.5,Betfair,7.0,Betfair,15.0,Betfair,56.0,Betfair,9.5,Betfair,11.0,Betfair,21.0,Betfair,76.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,10.75,7.1,1.17,Betano.br,5.0,4.5,1.5,Betano.br,2.6,3.55,2.37,Betano.br,1.18,6.4,12.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.33,0.67,0.0,0.0,,,,,,,,,13.0,6.0,4.0,2.0,6.0,3.0,3.0,1.0,,,,,,,,,,,1.0,5.0,,,,,10.0,8.0,2.0,1.0,,,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.32,0.68,7.0,4.0,3.0,1.0,4.0,2.0,,,0.0,1.0,,,7.0,4.0,1.0,0.0,1.0,2.0,,,,,,,0.34,0.66,6.0,2.0,1.0,1.0,2.0,1.0,,,1.0,4.0,2.0,1.0,,,3.0,4.0,0.0,0.0,1.0,1.0
GxGMMnkj,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Shabab,Al Ahli SC,0,0,[],[],Betano.br,3.35,2.32,2.62,Betfair,2.88,3.7,2.0,Betano.br,1.29,3.25,Betano.br,2.27,1.57,Betano.br,4.65,1.15,Betano.br,1.03,9.0,Betano.br,1.17,4.4,Betano.br,1.53,2.35,Betano.br,2.3,1.55,Betano.br,3.7,1.23,Betfair,1.44,2.6,Betano.br,1.72,1.25,1.4,Betfair,13.0,Betfair,10.0,Betfair,12.0,Betfair,19.0,Betfair,12.0,Betfair,6.5,Betfair,8.0,Betfair,13.0,Betfair,15.0,Betfair,9.0,Betfair,9.0,Betfair,15.0,Betfair,29.0,Betfair,17.0,Betfair,17.0,Betfair,26.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,12.5,7.7,1.14,Betano.br,5.9,4.9,1.4,Betano.br,1.72,4.1,3.75,Betano.br,1.27,5.9,7.7,Betano.br,1.09,9.25,15.5,,,,,,,,,,,0.43,0.57,0.0,0.0,,,,,,,,,6.0,24.0,0.0,6.0,6.0,14.0,0.0,4.0,,,,,,,,,,,3.0,7.0,,,,,22.0,18.0,2.0,2.0,1.0,0.0,7.0,2.0,6.0,0.0,,,,,,,,,,,,,,,,,,,0.43,0.57,1.0,10.0,0.0,4.0,1.0,6.0,,,1.0,1.0,2.0,0.0,11.0,10.0,4.0,2.0,4.0,0.0,,,,,,,0.43,0.57,5.0,14.0,0.0,2.0,5.0,8.0,,,2.0,6.0,0.0,2.0,1.0,0.0,11.0,8.0,3.0,0.0,2.0,0.0
fTEQL64d,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Al Taee,Al Hazem,3,0,"[34, 76, 87]",[],Betano.br,1.65,2.5,9.25,Betfair,1.25,4.75,9.0,Betano.br,1.35,2.95,Betano.br,2.55,1.45,Betano.br,5.5,1.11,Betano.br,1.04,8.25,Betano.br,1.24,3.65,Betano.br,1.72,2.0,Betano.br,2.75,1.39,Betano.br,4.7,1.15,Betfair,2.2,1.6,Betano.br,1.05,1.12,4.2,Betfair,12.0,Betfair,19.0,Betfair,61.0,Betfair,101.0,Betfair,5.5,Betfair,9.0,Betfair,23.0,Betfair,81.0,Betfair,5.0,Betfair,7.0,Betfair,21.0,Betfair,76.0,Betfair,7.0,Betfair,9.5,Betfair,23.0,Betfair,81.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,5.3,5.0,1.42,Betano.br,2.8,3.8,2.12,Betano.br,1.7,3.8,4.2,Betano.br,1.06,9.5,27.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,17.0,4.0,5.0,1.0,8.0,2.0,4.0,1.0,,,,,,,,,,,3.0,5.0,,,,,17.0,11.0,1.0,1.0,,,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.52,0.48,8.0,2.0,3.0,1.0,3.0,0.0,,,2.0,2.0,1.0,0.0,7.0,8.0,2.0,0.0,1.0,2.0,,,,,,,0.38,0.62,9.0,2.0,2.0,0.0,5.0,2.0,,,1.0,3.0,0.0,1.0,,,10.0,3.0,4.0,1.0,0.0,0.0
UurZVjS3,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,27/06/2022,15:00,Round 30,Damac,Al Taawon,1,1,[88],[53],Betano.br,6.0,2.27,1.98,Betfair,5.0,3.7,1.55,Betano.br,1.38,2.82,Betano.br,2.65,1.42,Betano.br,5.7,1.1,Betano.br,1.05,7.8,Betano.br,1.27,3.45,Betano.br,1.8,1.9,Betano.br,2.95,1.35,Betano.br,5.1,1.13,Betfair,1.65,2.1,Betfair,2.3,1.22,1.13,Betfair,11.0,Betfair,7.0,Betfair,7.0,Betfair,11.0,Betfair,13.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,23.0,Betfair,13.0,Betfair,12.0,Betfair,17.0,Betfair,67.0,Betfair,34.0,Betfair,36.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,16.0,7.4,1.12,Betano.br,2.77,3.5,2.25,Betano.br,1.62,4.2,4.2,Betano.br,1.23,6.3,8.75,,,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,5.0,16.0,1.0,5.0,3.0,6.0,1.0,5.0,,,,,,,,,,,1.0,6.0,,,,,21.0,12.0,2.0,1.0,,,1.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,,,0.45,0.55,1.0,9.0,0.0,2.0,0.0,3.0,,,0.0,4.0,2.0,1.0,9.0,6.0,1.0,2.0,2.0,0.0,,,,,,,0.45,0.55,4.0,7.0,1.0,3.0,3.0,3.0,,,1.0,2.0,,,,,12.0,6.0,0.0,3.0,2.0,0.0
l870HiDA,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,23/06/2022,15:00,Round 29,Abha,Al Fayha,0,0,[],[],Betano.br,2.95,1.78,4.85,Betfair,1.95,2.8,3.8,Betano.br,1.6,2.18,Betano.br,3.25,1.3,Betano.br,7.2,1.06,Betano.br,1.12,5.4,Betano.br,1.44,2.62,Betano.br,2.25,1.57,Betano.br,3.8,1.23,Betano.br,6.6,1.08,Betfair,1.85,1.85,Betfair,1.22,1.36,1.73,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,23.0,11.0,1.05,Betano.br,11.75,6.5,1.18,Betano.br,5.0,3.65,1.62,Betano.br,1.25,5.0,11.5,Betano.br,1.05,10.0,27.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,0.0,0.0,,,,,,,,,8.0,10.0,1.0,2.0,5.0,5.0,2.0,3.0,,,,,,,,,,,2.0,3.0,,,,,16.0,7.0,0.0,2.0,,,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.63,0.37,5.0,8.0,1.0,2.0,4.0,3.0,,,1.0,1.0,0.0,1.0,7.0,3.0,2.0,0.0,2.0,1.0,,,,,,,0.63,0.37,3.0,2.0,0.0,0.0,1.0,2.0,,,1.0,2.0,0.0,1.0,,,9.0,4.0,0.0,0.0,0.0,0.0
2BB4GBSG,SAUDI-ARABIA,2021-2022,Saudi Professional League 2021 2022,SAUDI ARABIA 1,23/06/2022,15:00,Round 29,Al Ahli SC,Al Raed,1,3,[90],"[43, 60, 83]",Betano.br,2.25,2.18,4.8,Betfair,1.67,3.4,4.4,Betano.br,1.4,2.7,Betano.br,2.8,1.38,Betano.br,6.2,1.09,Betano.br,1.06,7.4,Betano.br,1.31,3.15,Betano.br,1.93,1.78,Betano.br,3.2,1.3,Betano.br,5.6,1.11,Betfair,1.85,1.85,Betano.br,1.2,1.23,2.22,Betfair,9.0,Betfair,11.0,Betfair,21.0,Betfair,67.0,Betfair,6.0,Betfair,6.0,Betfair,13.0,Betfair,34.0,Betfair,7.0,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,12.0,Betfair,12.0,Betfair,21.0,Betfair,67.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,12.0,7.5,1.14,Betano.br,5.6,4.65,1.44,Betano.br,2.8,3.55,2.22,Betano.br,1.2,6.1,11.25,Betano.br,1.05,10.5,24.0,,0.0,0.0,0.0,,,,,,,,,,,0.74,0.26,0.0,0.0,,,,,,,,,21.0,7.0,6.0,4.0,7.0,2.0,8.0,1.0,,,,,,,,,,,5.0,4.0,,,,,9.0,10.0,2.0,2.0,,,1.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,0.75,0.25,7.0,4.0,3.0,2.0,1.0,1.0,,,2.0,4.0,0.0,1.0,4.0,6.0,1.0,0.0,1.0,3.0,,,,,,,0.73,0.27,14.0,3.0,3.0,2.0,6.0,1.0,,,3.0,0.0,2.0,1.0,,,5.0,4.0,0.0,0.0,0.0,2.0
