Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
pf7TwNaT,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,17/05/2025,13:30,Relegation,Airdrieonians,Cove Rangers,0,0,[],[],bet365,2.05,2.38,5.0,bet365,1.6,4.0,4.5,bet365,1.3,3.4,bet365,2.38,1.53,bet365,5.5,1.13,bet365,1.03,10.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.73,2.0,bet365,1.13,1.17,2.15,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,8.5,bet365,8.0,bet365,15.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,4.8,1.18,bet365,4.1,1.23,bet365,2.6,1.48,bet365,2.05,1.75,bet365,1.65,2.2,bet365,1.21,4.25,Betboom.br,1.01,11.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.5,7.9,1.17,Betano.br,5.4,5.0,1.45,bet365,2.5,3.75,2.15,Betano.br,1.22,6.3,10.5,Betano.br,1.06,11.25,24.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,8.0,12.0,2.0,4.0,6.0,8.0,,,,,,,,,,,,,3.0,5.0,,,,,,,1.0,2.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,0.53,0.47,6.0,8.0,2.0,2.0,4.0,6.0,,,1.0,5.0,,,,,,,2.0,2.0,,,,,,,0.55,0.45,2.0,4.0,0.0,2.0,2.0,2.0,,,2.0,0.0,1.0,2.0,,,,,,,2.0,0.0
lSDKuqVG,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,14/05/2025,16:10,Relegation,Cove Rangers,Airdrieonians,1,2,[35],"[16, 63]",bet365,3.4,2.25,2.75,bet365,3.0,3.4,2.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.11,bet365,1.04,9.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.62,2.2,bet365,1.6,1.25,1.3,bet365,12.0,bet365,9.5,bet365,12.0,bet365,21.0,bet365,12.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,17.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,1.68,2.15,bet365,1.35,3.1,bet365,1.24,3.9,Betboom.br,1.01,8.44,,0.0,0.0,BetEsporte,27.0,11.0,1.02,Betano.br,15.0,8.25,1.13,Betano.br,6.4,4.85,1.42,bet365,1.6,4.0,3.75,Betano.br,1.24,6.4,9.25,Betano.br,1.08,11.0,20.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,8.0,10.0,2.0,6.0,6.0,4.0,,,,,,,,,,,,,4.0,9.0,,,,,,,1.0,2.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,0.44,0.56,4.0,4.0,1.0,4.0,3.0,0.0,,,2.0,4.0,1.0,0.0,,,,,3.0,0.0,,,,,,,0.48,0.52,4.0,6.0,1.0,2.0,3.0,4.0,,,2.0,5.0,0.0,2.0,,,,,,,1.0,1.0
tUtTfhWP,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,10/05/2025,11:00,Relegation,Airdrieonians,Stenhousemuir,2,1,"[38, 52]",[58],bet365,2.0,2.38,5.5,bet365,1.55,4.33,5.25,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.03,10.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.83,1.83,bet365,1.14,1.2,2.38,bet365,13.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,4.4,1.2,bet365,3.55,1.28,bet365,2.38,1.55,bet365,1.88,1.93,bet365,1.53,2.43,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.25,7.3,1.2,Betano.br,4.85,4.6,1.55,bet365,2.38,3.75,2.38,Betano.br,1.15,7.3,15.0,BetEsporte,1.02,10.0,30.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,19.0,9.0,7.0,3.0,12.0,6.0,,,,,,,,,,,,,8.0,1.0,,,,,,,1.0,4.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,0.63,0.37,14.0,4.0,4.0,1.0,10.0,3.0,,,3.0,0.0,1.0,0.0,,,,,1.0,3.0,,,,,,,0.49,0.51,5.0,5.0,3.0,2.0,2.0,3.0,,,5.0,1.0,0.0,4.0,,,,,,,1.0,2.0
8vR7mAOa,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,10/05/2025,11:00,Relegation,Cove Rangers,Queen of South,2,1,"[8, 47]",[77],bet365,2.88,2.2,3.25,bet365,2.38,3.25,3.0,bet365,1.36,3.0,bet365,2.63,1.44,bet365,6.5,1.1,bet365,1.03,8.5,bet365,1.22,3.75,bet365,1.85,1.95,bet365,3.0,1.33,bet365,5.5,1.1,bet365,1.63,2.1,bet365,1.36,1.33,1.53,bet365,11.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,9.0,bet365,6.5,bet365,11.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,21.0,bet365,19.0,bet365,26.0,bet365,41.0,Betboom.br,11.81,1.01,Betboom.br,9.58,1.01,bet365,4.25,1.21,bet365,3.55,1.28,bet365,2.3,1.6,bet365,1.38,3.0,bet365,1.16,5.25,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,12.0,1.06,Betano.br,11.0,6.8,1.2,bet365,4.33,4.33,1.5,Betano.br,1.39,4.75,7.1,Betano.br,1.12,8.75,17.0,BetEsporte,1.02,11.0,28.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,11.0,11.0,7.0,5.0,4.0,6.0,,,,,,,,,,,,,6.0,6.0,,,,,,,3.0,2.0,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,0.5,0.5,4.0,4.0,2.0,1.0,2.0,3.0,,,4.0,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,0.38,0.62,7.0,7.0,5.0,4.0,2.0,3.0,,,2.0,4.0,1.0,1.0,,,,,,,3.0,4.0
CCXbkWgm,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,06/05/2025,15:45,Relegation,Queen of South,Cove Rangers,0,0,[],[],bet365,2.75,2.1,3.5,bet365,2.1,3.3,2.9,bet365,1.4,2.75,bet365,2.75,1.4,bet365,7.0,1.08,bet365,1.05,8.5,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,6.5,1.1,bet365,1.8,1.91,bet365,1.3,1.25,1.6,bet365,10.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,8.0,bet365,7.0,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,,0.0,0.0,Betboom.br,10.47,1.01,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.5,1.07,Betano.br,10.25,6.5,1.22,bet365,4.0,4.0,1.6,Betano.br,1.39,4.75,7.1,Betano.br,1.11,8.75,17.5,BetEsporte,1.01,11.0,30.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,9.0,9.0,3.0,4.0,6.0,5.0,,,,,,,,,,,,,5.0,2.0,,,,,,,1.0,1.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,0.66,0.34,4.0,4.0,1.0,1.0,3.0,3.0,,,3.0,1.0,,,,,,,1.0,1.0,,,,,,,0.58,0.42,5.0,5.0,2.0,3.0,3.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,3.0,2.0
0Y3tXlvJ,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,06/05/2025,15:45,Relegation,Stenhousemuir,Airdrieonians,1,3,[89],"[21, 29, 51]",bet365,4.33,2.2,2.38,bet365,3.6,3.6,1.8,bet365,1.4,2.75,bet365,2.75,1.4,bet365,6.5,1.1,bet365,1.05,8.5,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.0,1.11,bet365,1.83,1.83,bet365,1.83,1.22,1.22,bet365,10.0,bet365,7.0,bet365,8.5,bet365,15.0,bet365,11.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,21.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,3.55,1.28,bet365,1.95,1.85,bet365,1.48,2.6,bet365,1.33,3.3,bet365,1.13,5.9,bet365,1.1,7.0,BetEsporte,35.0,11.0,1.01,Betano.br,22.0,10.25,1.08,Betano.br,9.25,5.5,1.28,bet365,1.83,3.75,3.1,Betano.br,1.33,5.5,7.4,Betano.br,1.11,9.25,16.5,,,,,,,,,,,0.46,0.54,,,,,,,,,,,4.0,24.0,1.0,10.0,3.0,14.0,,,,,,,,,,,,,3.0,8.0,,,,,,,2.0,2.0,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,0.46,0.54,2.0,10.0,0.0,5.0,2.0,5.0,,,2.0,4.0,1.0,0.0,,,,,3.0,0.0,,,,,,,0.46,0.54,2.0,14.0,1.0,5.0,1.0,9.0,,,1.0,4.0,1.0,2.0,,,,,,,4.0,0.0
bih8Bgmm,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,02/05/2025,15:45,Round 36,Airdrieonians,Ayr,0,1,[],[44],bet365,4.0,2.25,2.4,bet365,3.5,3.7,1.85,bet365,1.3,3.25,bet365,2.5,1.47,bet365,6.0,1.08,bet365,1.04,9.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.0,1.14,bet365,1.67,2.1,bet365,1.8,1.22,1.22,bet365,13.0,bet365,8.5,bet365,10.0,bet365,17.0,bet365,12.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,19.0,bet365,13.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,Betboom.br,8.12,1.03,bet365,6.6,1.08,bet365,3.45,1.27,bet365,1.93,1.93,bet365,1.45,2.6,bet365,1.3,3.3,bet365,1.1,5.9,bet365,1.08,6.8,BetEsporte,30.0,11.0,1.01,Betano.br,20.0,9.75,1.09,Betano.br,8.5,5.4,1.3,bet365,1.8,3.75,3.2,Betano.br,1.33,5.6,7.3,Betano.br,1.11,9.5,16.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,8.0,7.0,1.0,3.0,7.0,4.0,,,,,,,,,,,,,7.0,5.0,,,,,,,2.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.47,0.53,4.0,4.0,1.0,2.0,3.0,2.0,,,2.0,4.0,1.0,0.0,,,,,1.0,1.0,,,,,,,0.63,0.37,4.0,3.0,0.0,1.0,4.0,2.0,,,5.0,1.0,1.0,2.0,,,,,,,1.0,0.0
K6tH9XHa,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,02/05/2025,15:45,Round 36,Falkirk,Hamilton,3,1,"[33, 59, 71]",[5],bet365,1.5,3.0,9.5,bet365,1.17,6.0,12.0,bet365,1.17,4.33,bet365,1.95,1.8,bet365,4.0,1.19,BetEsporte,1.01,20.0,bet365,1.1,6.5,bet365,1.36,3.0,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.91,1.8,bet365,1.02,1.08,4.0,bet365,21.0,bet365,41.0,bet365,67.0,bet365,151.0,bet365,11.0,bet365,13.0,bet365,41.0,bet365,81.0,bet365,7.5,bet365,11.0,bet365,23.0,bet365,67.0,bet365,7.5,bet365,11.0,bet365,26.0,bet365,51.0,bet365,2.25,1.6,bet365,1.83,2.03,bet365,1.5,2.43,bet365,1.22,3.8,bet365,1.16,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,3.9,4.9,1.65,bet365,2.2,4.33,2.4,Betano.br,1.53,4.6,5.0,BetEsporte,1.02,10.0,30.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,19.0,6.0,6.0,2.0,13.0,4.0,,,,,,,,,,,,,9.0,2.0,,,,,,,2.0,3.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.61,0.39,11.0,3.0,3.0,2.0,8.0,1.0,,,5.0,1.0,1.0,0.0,,,,,1.0,2.0,,,,,,,0.41,0.59,8.0,3.0,3.0,0.0,5.0,3.0,,,4.0,1.0,1.0,3.0,,,,,,,0.0,1.0
8thX5kHO,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,02/05/2025,15:45,Round 36,Livingston,Partick Thistle,0,1,[],[39],bet365,2.05,2.3,5.5,bet365,1.53,4.33,4.75,bet365,1.33,3.0,bet365,2.62,1.41,bet365,6.5,1.07,bet365,1.04,9.0,bet365,1.25,3.75,bet365,1.85,2.0,bet365,3.25,1.33,bet365,5.5,1.13,bet365,1.91,1.8,bet365,1.17,1.2,2.38,bet365,12.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,21.0,bet365,41.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,51.0,bet365,4.65,1.15,bet365,3.8,1.22,bet365,2.43,1.5,bet365,1.95,1.9,bet365,1.52,2.38,bet365,1.15,4.8,Betboom.br,1.01,13.03,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.5,7.3,1.19,Betano.br,4.9,4.6,1.55,bet365,2.4,3.6,2.38,Betano.br,1.17,7.0,14.5,BetEsporte,1.02,10.0,30.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,15.0,4.0,4.0,1.0,11.0,3.0,,,,,,,,,,,,,5.0,2.0,,,,,,,3.0,3.0,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,0.61,0.39,6.0,3.0,3.0,1.0,3.0,2.0,,,2.0,2.0,0.0,1.0,,,,,0.0,3.0,,,,,,,0.63,0.37,9.0,1.0,1.0,0.0,8.0,1.0,,,3.0,0.0,3.0,2.0,,,,,,,0.0,1.0
SWqP7BnC,SCOTLAND,2024-2025,Championship 2024 2025,SCOTLAND 2,02/05/2025,15:45,Round 36,Morton,Dunfermline,2,0,"[3, 7]",[],bet365,3.4,1.95,3.25,bet365,2.63,3.3,2.45,bet365,1.47,2.5,bet365,3.5,1.25,bet365,8.0,1.04,bet365,1.07,7.5,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.33,1.2,bet365,8.0,1.06,bet365,2.1,1.67,bet365,1.53,1.33,1.44,bet365,7.5,bet365,7.0,bet365,11.0,bet365,23.0,bet365,7.0,bet365,6.5,bet365,11.0,bet365,23.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,26.0,bet365,26.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.1,bet365,4.65,1.15,bet365,2.6,1.45,bet365,1.5,2.43,bet365,1.18,4.25,bet365,1.12,5.5,,0.0,0.0,,0.0,0.0,BetEsporte,30.0,11.0,1.01,Betano.br,16.0,7.7,1.14,Betano.br,6.1,4.25,1.5,bet365,1.53,4.0,5.0,Betano.br,1.15,7.5,15.0,Betano.br,1.04,13.5,32.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,7.0,10.0,4.0,3.0,3.0,7.0,,,,,,,,,,,,,8.0,3.0,,,,,,,2.0,3.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.54,0.46,4.0,3.0,3.0,1.0,1.0,2.0,,,1.0,2.0,0.0,3.0,,,,,1.0,1.0,,,,,,,0.42,0.58,3.0,7.0,1.0,2.0,2.0,5.0,,,7.0,1.0,2.0,0.0,,,,,,,2.0,1.0
