Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
OSzb5P4E,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,03/03/2026,16:45,Round 24,Spartans,Stirling,2.0,0.0,"[33, 48]",[],bet365,1.83,2.5,6.0,bet365,1.4,4.5,6.25,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.0,1.14,bet365,1.02,10.5,bet365,1.17,4.5,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.83,1.83,bet365,1.08,1.13,2.6,bet365,15.0,bet365,19.0,bet365,34.0,bet365,67.0,bet365,8.0,bet365,9.5,bet365,21.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,19.0,bet365,41.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,3.55,1.27,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.6,6.1,1.26,Betano.br,3.85,4.25,1.67,bet365,2.05,3.75,2.6,Betnacional,1.1,7.78,18.02,Betnacional,1.01,12.52,41.01,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U3WoPJem,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,28/02/2026,12:00,Round 27,Clyde,East Kilbride,1.0,3.0,[39],"[49, 60, 67]",bet365,2.88,2.3,3.0,bet365,2.35,3.5,2.45,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.0,1.14,bet365,1.03,10.0,bet365,1.17,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.44,1.22,1.5,bet365,15.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,11.0,bet365,7.5,bet365,10.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,23.0,bet365,19.0,bet365,23.0,bet365,41.0,,0.0,0.0,1xBet,8.5,1.01,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.38,1.55,bet365,1.5,2.5,bet365,1.23,4.0,bet365,1.18,4.8,1xBet,1.02,8.1,1xBet,1.01,8.8,Betnacional,22.96,11.48,1.04,Betano.br,9.75,6.6,1.2,bet365,4.33,4.5,1.5,bet365,1.44,4.5,4.5,Betano.br,1.2,6.6,9.75,Betnacional,1.04,11.35,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2HUgNcQa,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,28/02/2026,12:00,Round 27,Edinburgh City,Forfar Athletic,0.0,0.0,[],[],bet365,3.6,2.1,2.75,bet365,3.0,3.2,2.1,bet365,1.4,2.75,bet365,3.0,1.36,bet365,7.0,1.08,bet365,1.06,8.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.08,bet365,1.83,1.83,bet365,1.6,1.29,1.3,bet365,9.5,bet365,7.5,bet365,10.0,bet365,21.0,bet365,9.5,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,12.0,bet365,15.0,bet365,29.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.1,1.35,bet365,1.68,2.15,bet365,1.3,3.45,bet365,1.22,4.15,1xBet,1.01,8.7,1xBet,1.04,8.6,,0.0,0.0,0.0,Betnacional,17.87,8.43,1.09,Betano.br,6.1,4.55,1.42,bet365,1.6,4.0,4.0,Betano.br,1.2,6.3,10.0,Betnacional,1.05,10.75,23.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fiLwJAt,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,28/02/2026,12:00,Round 27,Spartans,Annan,4.0,0.0,"[45, 47, 77, 81]",[],bet365,2.3,2.3,4.33,bet365,1.75,3.5,3.8,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.11,bet365,1.04,9.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.0,1.14,bet365,1.73,2.0,bet365,1.18,1.22,1.91,bet365,13.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,8.0,bet365,7.5,bet365,15.0,bet365,41.0,bet365,8.5,bet365,6.0,bet365,15.0,bet365,41.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,2.35,1.58,bet365,1.78,2.03,bet365,1.23,4.0,1xBet,1.02,8.0,1xBet,1.01,8.9,,0.0,0.0,,0.0,0.0,Betnacional,14.44,8.76,1.1,Betano.br,6.3,5.1,1.36,bet365,3.0,3.75,1.91,Betano.br,1.25,5.5,9.0,Betnacional,1.06,9.92,22.4,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bqO2LyeC,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,28/02/2026,12:00,Round 27,Stirling,Dumbarton,1.0,1.0,[40],[90],bet365,3.2,2.25,2.88,bet365,2.63,3.5,2.2,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.11,bet365,1.01,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.0,1.14,bet365,1.67,2.1,bet365,1.55,1.22,1.4,bet365,13.0,bet365,9.5,bet365,12.0,bet365,21.0,bet365,11.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,1xBet,8.7,1.01,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.68,1.45,bet365,1.6,2.3,bet365,1.3,3.45,bet365,1.21,4.25,1xBet,1.01,8.9,1xBet,1.04,8.6,,0.0,0.0,0.0,Betnacional,13.0,7.56,1.14,Betano.br,5.1,4.45,1.5,bet365,1.55,4.0,4.0,Betano.br,1.2,6.4,9.75,Betnacional,1.04,11.26,23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4tRAJFPO,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,28/02/2026,12:00,Round 27,Stranraer,Elgin City,1.0,2.0,[17],"[44, 87]",bet365,2.6,2.25,3.5,bet365,2.05,3.4,3.0,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.11,bet365,1.01,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.0,1.14,bet365,1.67,2.1,bet365,1.3,1.25,1.62,bet365,13.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,9.0,bet365,7.0,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,19.0,bet365,17.0,bet365,23.0,bet365,41.0,bet365,7.0,1.1,bet365,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.35,3.1,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betnacional,18.61,10.05,1.07,Betano.br,7.4,5.6,1.29,bet365,3.6,4.0,1.62,Betano.br,1.35,5.0,6.8,Betnacional,1.09,8.64,16.78,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1Ouyuv0,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,24/02/2026,16:45,Round 20,Dumbarton,Clyde,0.0,0.0,[],[],bet365,3.6,2.3,2.5,bet365,3.1,3.5,1.95,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.04,9.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.62,2.2,bet365,1.7,1.22,1.29,bet365,13.0,bet365,9.5,bet365,11.0,bet365,19.0,bet365,12.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,19.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,1.8,2.0,bet365,1.43,2.75,bet365,1.3,3.45,bet365,1.12,6.4,1xBet,1.08,7.83,,0.0,0.0,0.0,Betnacional,16.92,8.65,1.09,Betano.br,6.9,5.0,1.35,bet365,1.7,4.0,3.5,Betano.br,1.28,5.7,7.7,Betnacional,1.07,9.86,18.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHnNmIN5,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,24/02/2026,16:45,Round 21,Elgin City,Edinburgh City,3.0,0.0,"[12, 25, 37]",[],bet365,2.25,2.3,4.33,bet365,1.7,3.6,3.9,bet365,1.3,3.4,bet365,2.38,1.53,bet365,5.5,1.13,bet365,1.04,9.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.67,2.1,bet365,1.18,1.22,1.95,bet365,13.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,15.0,bet365,29.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,3.0,1.38,bet365,2.35,1.58,bet365,1.78,2.03,bet365,1.24,3.9,1xBet,1.08,7.91,1xBet,1.05,7.8,,0.0,0.0,,0.0,0.0,Betnacional,12.81,8.3,1.12,Betano.br,6.0,5.1,1.38,bet365,2.88,3.75,1.95,Betano.br,1.24,5.6,9.25,Betnacional,1.05,10.2,23.16,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANR4ZR2e,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,24/02/2026,16:45,Round 19,Stirling,Annan,2.0,0.0,"[40, 66]",[],bet365,3.25,2.25,2.75,bet365,2.75,3.4,2.15,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.04,9.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.62,2.2,bet365,1.57,1.25,1.36,bet365,13.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,12.0,bet365,7.0,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,1xBet,10.5,1.02,,0.0,0.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.23,4.0,1xBet,1.09,7.76,1xBet,1.03,7.7,,0.0,0.0,0.0,Betnacional,13.68,7.86,1.12,Betano.br,5.8,4.65,1.42,bet365,1.57,4.0,4.0,Betano.br,1.23,6.1,8.75,Betnacional,1.05,10.76,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h424CtCs,SCOTLAND,2025-2026,League Two 2025 2026,SCOTLAND 4,21/02/2026,12:00,Round 26,Clyde,Edinburgh City,5.0,0.0,"[25, 30, 55, 78, 90]",[],bet365,2.05,2.4,5.0,bet365,1.55,3.75,4.75,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.0,1.14,bet365,1.01,15.0,bet365,1.2,4.33,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.67,2.1,bet365,1.13,1.2,2.2,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,8.5,bet365,8.0,bet365,17.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.42,1.53,bet365,1.98,1.83,bet365,1.58,2.35,bet365,1.17,5.0,1xBet,1.01,8.4,1xBet,1.01,11.0,,0.0,0.0,,0.0,0.0,Betnacional,10.14,7.35,1.17,Betano.br,5.4,4.8,1.44,bet365,2.4,3.75,2.2,Betano.br,1.19,6.1,11.5,Betnacional,1.03,11.32,29.05,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
