Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
l8giUZZ3,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,04/06/2023,12:30,Relegation,Ross County,Partick Thistle,4,1,"[71, 72, 90]",[43],bet365,3.1,2.2,3.4,bet365,2.4,3.4,2.88,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.88,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.4,1.3,1.53,bet365,11.0,bet365,10.0,bet365,15.0,bet365,29.0,bet365,9.5,bet365,6.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,23.0,bet365,17.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.35,1.57,bet365,1.43,2.75,bet365,1.18,4.8,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.25,1.06,Betano.br,10.75,6.7,1.19,bet365,4.5,4.33,1.53,Betano.br,1.44,4.5,6.2,Betano.br,1.13,7.8,14.5,Betano.br,1.03,13.0,28.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,11.0,12.0,6.0,4.0,5.0,8.0,,,,,,,,,,,,,7.0,7.0,,,,,,,3.0,3.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,0.61,0.39,3.0,2.0,0.0,1.0,3.0,1.0,,,4.0,4.0,,,,,,,0.0,0.0,,,,,,,0.53,0.47,5.0,4.0,3.0,1.0,2.0,3.0,,,3.0,3.0,2.0,2.0,,,,,,,1.0,0.0
KYlmVFKc,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,01/06/2023,16:00,Relegation,Partick Thistle,Ross County,2,0,"[9, 45]",[],bet365,2.6,2.2,4.33,bet365,1.95,3.5,3.8,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.8,1.95,bet365,1.25,1.29,1.8,bet365,10.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,6.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,17.0,bet365,15.0,bet365,26.0,bet365,51.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,2.85,1.4,bet365,2.02,1.82,bet365,1.3,3.45,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,9.5,1.09,Betano.br,7.9,5.6,1.29,bet365,3.6,3.75,1.8,Betano.br,1.3,5.2,8.5,Betano.br,1.08,9.25,20.0,Betano.br,1.02,14.5,32.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,24.0,1.0,9.0,0.0,15.0,1.0,,,,,,,,,,,,,10.0,6.0,,,,,,,0.0,2.0,0.0,1.0,,,0.0,7.0,,,,,,,,,,,,,,,,,,,0.55,0.45,9.0,1.0,4.0,0.0,5.0,1.0,,,9.0,3.0,0.0,2.0,,,,,0.0,2.0,,,,,,,0.45,0.55,15.0,0.0,5.0,0.0,10.0,0.0,,,1.0,3.0,,,,,,,,,0.0,5.0
Gr7TkIkE,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,28/05/2023,11:00,Relegation Group,Kilmarnock,Ross County,3,1,"[36, 49, 78]",[63],bet365,2.6,2.2,4.33,bet365,1.91,3.6,3.8,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.5,bet365,1.98,1.88,bet365,3.4,1.33,bet365,6.5,1.11,bet365,1.8,1.95,bet365,1.25,1.29,1.83,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,7.0,bet365,13.0,bet365,29.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,26.0,bet365,51.0,,0.0,0.0,bet365,6.4,1.11,bet365,3.45,1.3,bet365,2.6,1.48,bet365,1.9,1.95,bet365,1.27,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.25,1.1,Betano.br,7.6,5.5,1.31,bet365,3.5,3.75,1.83,Betano.br,1.27,5.4,9.5,Betano.br,1.07,9.75,22.0,Betano.br,1.02,15.0,35.0,0.07,0.02,,,,,,,,,0.53,0.47,,,,,,,,,,,8.0,7.0,4.0,1.0,4.0,6.0,,,,,,,,,,,,,5.0,3.0,,,,,,,4.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,0.07,0.02,,,,,0.56,0.44,4.0,4.0,2.0,0.0,2.0,4.0,,,4.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,0.5,0.5,4.0,3.0,2.0,1.0,2.0,2.0,,,1.0,3.0,4.0,0.0,,,,,,,0.0,0.0
fZ5Xlx5K,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,28/05/2023,11:00,Relegation Group,Motherwell,Dundee Utd,3,2,"[5, 69, 82]","[31, 49]",bet365,2.3,2.38,4.5,bet365,1.75,4.0,4.33,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.67,2.2,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.67,2.1,bet365,1.2,1.22,2.0,bet365,15.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,13.0,bet365,29.0,bet365,9.5,bet365,8.5,bet365,13.0,bet365,34.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.73,2.08,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,8.25,1.14,Betano.br,6.0,5.2,1.39,bet365,2.88,4.0,2.0,Betano.br,1.26,5.8,9.0,Betano.br,1.07,10.0,20.0,Betano.br,1.02,15.0,32.0,1.45,2.39,,,,,,,,,0.42,0.58,,,,,,,,,,,22.0,10.0,5.0,6.0,17.0,4.0,,,,,,,,,,,,,9.0,0.0,,,,,,,2.0,0.0,,,,,4.0,2.0,,,,,,,,,,,,,0.53,1.69,,,,,0.36,0.64,6.0,7.0,2.0,3.0,4.0,4.0,,,3.0,0.0,,,,,,,2.0,1.0,0.92,0.7,,,,,0.48,0.52,16.0,3.0,3.0,3.0,13.0,0.0,,,6.0,0.0,2.0,0.0,,,,,,,2.0,1.0
O8AyldKQ,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,28/05/2023,11:00,Relegation Group,St Johnstone,Livingston,2,0,"[17, 68]",[],bet365,2.63,2.05,4.75,bet365,1.95,3.4,4.0,bet365,1.44,2.63,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.07,8.5,bet365,1.4,3.0,bet365,2.2,1.67,bet365,4.33,1.22,bet365,9.0,1.07,bet365,2.0,1.75,bet365,1.22,1.3,1.8,bet365,8.5,bet365,9.5,bet365,19.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,13.0,bet365,34.0,bet365,8.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,34.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,3.55,1.27,bet365,2.75,1.43,bet365,1.95,1.9,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,20.0,10.0,1.08,Betano.br,9.0,5.7,1.26,bet365,3.6,3.6,1.8,Betano.br,1.28,5.2,9.75,Betano.br,1.07,9.75,23.0,Betano.br,1.02,15.0,37.0,1.71,0.82,,,,,,,,,0.4,0.6,,,,,,,,,,,6.0,7.0,3.0,0.0,3.0,7.0,,,,,,,,,,,,,4.0,2.0,,,,,,,0.0,3.0,,,,,0.0,1.0,,,,,,,,,,,,,0.48,0.4,,,,,0.42,0.58,4.0,5.0,2.0,0.0,2.0,5.0,,,3.0,1.0,0.0,1.0,,,,,0.0,1.0,1.23,0.42,,,,,0.36,0.64,2.0,2.0,1.0,0.0,1.0,2.0,,,1.0,1.0,0.0,2.0,,,,,,,0.0,0.0
6DPxTfr1,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,27/05/2023,08:30,Championship Group,Celtic,Aberdeen,5,0,"[27, 32, 78, 82, 90]",[],bet365,1.5,3.4,9.0,bet365,1.18,8.0,13.0,bet365,1.14,5.5,bet365,1.73,2.0,bet365,3.4,1.3,bet365,1.01,29.0,bet365,1.06,10.0,bet365,1.25,4.0,bet365,1.62,2.3,bet365,2.38,1.57,bet365,1.67,2.1,bet365,1.04,1.08,4.5,bet365,34.0,bet365,41.0,bet365,67.0,bet365,151.0,bet365,15.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,9.0,bet365,10.0,bet365,21.0,bet365,51.0,bet365,2.08,1.73,bet365,1.68,2.15,bet365,1.45,2.67,bet365,1.22,4.15,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,3.3,4.8,1.75,bet365,2.05,4.5,2.63,Betano.br,1.45,4.85,5.3,Betano.br,1.04,12.0,27.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.28,0.05,,,,,,,,,0.76,0.24,,,,,,,,,,,20.0,1.0,5.0,1.0,15.0,0.0,,,,,,,,,,,,,10.0,2.0,,,,,,,1.0,2.0,,,,,1.0,0.0,,,,,,,,,,,,,1.25,0.05,,,,,0.75,0.25,10.0,1.0,2.0,1.0,8.0,0.0,,,5.0,1.0,1.0,1.0,,,,,1.0,0.0,2.03,0.0,,,,,0.77,0.23,10.0,0.0,3.0,0.0,7.0,0.0,,,5.0,1.0,0.0,1.0,,,,,,,0.0,0.0
0zPtSEc7,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,27/05/2023,08:30,Championship Group,Hearts,Hibernian,1,1,[8],[31],bet365,2.75,2.3,3.6,bet365,2.15,3.5,3.3,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.67,2.2,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.33,1.29,1.67,bet365,13.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,10.0,bet365,7.0,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,29.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,3.1,1.35,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.15,5.5,bet365,1.11,6.4,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.25,1.08,Betano.br,8.75,6.1,1.24,bet365,4.0,4.33,1.67,Betano.br,1.38,4.9,6.7,Betano.br,1.12,8.25,15.5,Betano.br,1.03,13.5,28.0,0.08,1.14,,,,,,,,,0.31,0.69,,,,,,,,,,,3.0,18.0,1.0,5.0,2.0,13.0,,,,,,,,,,,,,4.0,9.0,,,,,,,3.0,5.0,1.0,0.0,,,4.0,0.0,,,,,,,,,,,,,0.07,0.71,,,,,0.35,0.65,2.0,6.0,1.0,4.0,1.0,2.0,,,3.0,5.0,1.0,2.0,,,,,3.0,0.0,0.01,0.43,,,,,0.27,0.73,1.0,12.0,0.0,1.0,1.0,11.0,,,1.0,4.0,2.0,3.0,,,,,,,1.0,0.0
EwTpRYCD,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,27/05/2023,08:30,Championship Group,St. Mirren,Rangers,0,3,[],"[26, 48, 77]",bet365,7.0,2.63,1.8,bet365,8.5,5.0,1.33,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.5,2.63,bet365,2.3,1.62,bet365,4.0,1.25,bet365,1.8,1.95,bet365,3.25,1.17,1.08,bet365,17.0,bet365,8.5,bet365,7.5,bet365,9.0,bet365,26.0,bet365,9.5,bet365,8.5,bet365,11.0,bet365,41.0,bet365,26.0,bet365,17.0,bet365,21.0,bet365,101.0,bet365,51.0,bet365,51.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.1,bet365,3.3,1.32,bet365,2.5,1.5,bet365,1.88,1.98,bet365,1.48,2.6,bet365,1.32,3.3,,0.0,0.0,0.0,Betano.br,32.0,14.0,1.03,Betano.br,18.0,8.5,1.1,bet365,3.25,3.75,1.91,Betano.br,1.85,4.2,3.35,Betano.br,1.33,5.8,6.4,0.37,1.23,,,,,,,,,0.3,0.7,,,,,,,,,,,7.0,9.0,2.0,3.0,5.0,6.0,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,1.0,,,,,0.0,2.0,,,,,,,,,,,,,0.1,0.47,,,,,0.27,0.73,3.0,4.0,1.0,1.0,2.0,3.0,,,1.0,0.0,2.0,0.0,,,,,0.0,1.0,0.27,0.76,,,,,0.33,0.67,4.0,5.0,1.0,2.0,3.0,3.0,,,4.0,3.0,0.0,1.0,,,,,,,0.0,1.0
rqSUIz4h,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,26/05/2023,15:45,Relegation,Ayr,Partick Thistle,0,5,[],"[7, 27, 54, 63, 88]",bet365,3.5,2.3,2.75,bet365,2.9,3.75,2.2,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.67,1.25,1.4,bet365,15.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,12.0,bet365,7.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,1.65,2.2,bet365,1.3,3.45,bet365,1.23,4.1,,0.0,0.0,,0.0,0.0,Betano.br,28.0,13.5,1.04,Betano.br,14.0,8.0,1.14,Betano.br,6.0,4.85,1.44,bet365,1.67,4.33,4.0,Betano.br,1.24,6.4,9.25,Betano.br,1.08,11.0,20.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,3.0,12.0,0.0,6.0,3.0,6.0,,,,,,,,,,,,,1.0,8.0,,,,,,,2.0,1.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.49,0.51,2.0,5.0,0.0,3.0,2.0,2.0,,,0.0,7.0,1.0,1.0,,,,,1.0,0.0,,,,,,,0.51,0.49,1.0,7.0,0.0,3.0,1.0,4.0,,,1.0,1.0,1.0,0.0,,,,,,,0.0,0.0
xxK1yJzL,SCOTLAND,2022-2023,Premiership 2022 2023,SCOTLAND 1,24/05/2023,15:45,Relegation Group,Dundee Utd,Kilmarnock,0,3,[],"[14, 44, 83]",bet365,3.2,2.05,3.6,bet365,2.45,3.25,3.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.2,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.91,1.91,bet365,1.36,1.33,1.53,bet365,8.5,bet365,8.5,bet365,13.0,bet365,29.0,bet365,7.5,bet365,6.0,bet365,11.0,bet365,26.0,bet365,11.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,23.0,bet365,21.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.1,1.23,bet365,2.38,1.55,bet365,1.43,2.75,bet365,1.16,5.25,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,Betano.br,27.0,12.0,1.04,Betano.br,13.0,7.0,1.16,bet365,5.0,4.0,1.53,Betano.br,1.45,4.35,6.3,Betano.br,1.13,7.7,15.0,Betano.br,1.03,13.0,29.0,0.83,1.66,,,,,,,,,0.59,0.41,,,,,,,,,,,9.0,11.0,2.0,5.0,7.0,6.0,,,,,,,,,,,,,3.0,5.0,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,0.08,0.31,,,,,0.55,0.45,5.0,7.0,1.0,3.0,4.0,4.0,,,2.0,4.0,0.0,1.0,,,,,1.0,1.0,0.75,1.35,,,,,0.64,0.36,4.0,4.0,1.0,2.0,3.0,2.0,,,1.0,1.0,1.0,0.0,,,,,,,1.0,1.0
