Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
YkEuMnbT,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,30/04/2023,09:30,Semi-finals,Rangers,Celtic,0,1,[],[42],bet365,3.75,2.3,2.63,bet365,3.25,3.6,2.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.73,1.29,1.36,bet365,15.0,bet365,10.0,bet365,11.0,bet365,19.0,bet365,13.0,bet365,7.0,bet365,9.0,bet365,15.0,bet365,19.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,23.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,5.9,1.13,bet365,3.3,1.32,bet365,1.8,2.05,bet365,1.4,2.85,bet365,1.27,3.55,bet365,1.11,6.6,bet365,1.1,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,13.0,10.0,3.0,5.0,7.0,3.0,3.0,2.0,,,,,,,,,,,7.0,6.0,15.0,7.0,25.0,38.0,9.0,15.0,2.0,2.0,,,0.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,0.46,0.54,1.0,4.0,0.0,3.0,0.0,0.0,,,5.0,3.0,1.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,,,,,,,0.6,0.4,12.0,6.0,3.0,2.0,7.0,3.0,,,2.0,3.0,1.0,2.0,,,3.0,12.0,0.0,0.0,2.0,3.0
AyubnZS5,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,03/06/2023,13:30,Final,Celtic,Inverness,3,1,"[38, 65, 90]",[84],bet365,1.29,4.0,17.0,bet365,1.06,15.0,21.0,bet365,1.13,6.0,bet365,1.62,2.2,bet365,3.0,1.36,,0.0,0.0,bet365,1.05,11.0,bet365,1.2,4.33,bet365,1.5,2.5,bet365,2.1,1.67,,0.0,0.0,,0.0,0.0,0.0,bet365,34.0,bet365,51.0,bet365,101.0,Betfair,201.0,bet365,15.0,bet365,29.0,bet365,41.0,bet365,151.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,81.0,bet365,7.0,bet365,12.0,bet365,34.0,bet365,101.0,bet365,1.52,2.42,bet365,1.27,3.55,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.72,0.28,,,,,,,,,,,15.0,2.0,6.0,1.0,6.0,0.0,3.0,1.0,,,,,,,,,,,4.0,0.0,6.0,10.0,20.0,18.0,7.0,5.0,0.0,2.0,,,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.69,0.31,5.0,0.0,2.0,0.0,3.0,0.0,,,3.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,,,,,,,0.8,0.2,10.0,2.0,4.0,1.0,3.0,0.0,,,1.0,0.0,0.0,1.0,,,4.0,2.0,2.0,0.0,0.0,2.0
faFyNSrN,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,29/04/2023,08:15,Semi-finals,Falkirk,Inverness,0,3,[],"[7, 34, 57]",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,14.0,11.0,2.0,4.0,9.0,6.0,3.0,1.0,,,,,,,,,,,6.0,3.0,,,,,9.0,7.0,0.0,1.0,,,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.52,0.48,5.0,5.0,1.0,2.0,2.0,2.0,,,1.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,,,,,,,0.45,0.55,9.0,6.0,1.0,2.0,7.0,4.0,,,5.0,1.0,,,,,5.0,2.0,0.0,0.0,1.0,1.0
2oCPLgNS,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,13/03/2023,16:45,Quarter-finals,Falkirk,Ayr,2,1,"[66, 83]",[12],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,9.0,15.0,3.0,6.0,2.0,5.0,4.0,4.0,,,,,,,,,,,11.0,7.0,16.0,6.0,19.0,39.0,8.0,14.0,2.0,1.0,,,0.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,0.52,0.48,3.0,7.0,0.0,2.0,2.0,3.0,,,6.0,4.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,,,,,,,0.7,0.3,6.0,8.0,3.0,4.0,0.0,2.0,,,5.0,3.0,2.0,0.0,,,5.0,8.0,0.0,0.0,4.0,1.0
0th9IGqC,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,13/02/2023,16:45,1/8-finals,Darvel,Falkirk,1,5,[64],"[22, 24, 78, 81, 88]",bet365,5.0,2.6,2.05,bet365,4.0,5.0,1.53,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,21.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.62,2.2,bet365,2.25,1.14,1.2,bet365,23.0,bet365,10.0,bet365,9.5,bet365,12.0,bet365,17.0,bet365,11.0,bet365,8.5,bet365,11.0,bet365,26.0,bet365,13.0,bet365,17.0,bet365,19.0,bet365,51.0,bet365,34.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,2.42,1.52,bet365,2.0,1.85,bet365,1.6,2.3,bet365,1.3,3.45,bet365,1.23,4.1,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,10.5,6.5,1.19,bet365,2.25,4.0,2.38,Betano.br,1.57,4.6,4.2,Betano.br,1.22,6.6,8.25,,,,,,,,,,,0.54,0.46,,,,,,,,,,,3.0,15.0,1.0,7.0,2.0,6.0,0.0,2.0,,,,,,,,,,,6.0,8.0,13.0,15.0,27.0,15.0,13.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.56,0.44,3.0,7.0,1.0,3.0,2.0,2.0,,,3.0,2.0,0.0,1.0,6.0,9.0,0.0,0.0,1.0,1.0,,,,,,,0.52,0.48,0.0,8.0,0.0,4.0,0.0,4.0,,,3.0,6.0,3.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0
I54Y9hUg,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,12/03/2023,10:00,Quarter-finals,Rangers,Raith,3,0,"[42, 58, 87]",[],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,2.5,4.5,2.1,Betano.br,1.7,4.4,3.9,Betano.br,1.27,5.6,9.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.64,0.36,,,,,,,,,,,24.0,3.0,8.0,2.0,9.0,1.0,7.0,0.0,,,,,,,,,,,18.0,0.0,5.0,11.0,15.0,11.0,10.0,6.0,2.0,3.0,,,0.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,0.63,0.37,11.0,1.0,3.0,0.0,4.0,1.0,,,9.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,,,,,,,0.65,0.35,13.0,2.0,5.0,2.0,5.0,0.0,,,9.0,0.0,2.0,2.0,,,5.0,3.0,0.0,0.0,2.0,3.0
6V0UAYEm,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,11/03/2023,09:15,Quarter-finals,Hearts,Celtic,0,3,[],"[2, 45, 80]",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.68,2.15,bet365,1.45,2.67,,0.0,0.0,0.0,Betano.br,37.0,15.0,1.02,Betano.br,22.0,9.75,1.07,Betano.br,4.0,4.2,1.7,bet365,2.1,4.33,2.63,Betano.br,1.5,5.1,4.7,,,,,,,,,,,0.36,0.64,,,,,,,,,,,11.0,20.0,1.0,9.0,9.0,6.0,1.0,5.0,,,,,,,,,,,5.0,6.0,8.0,8.0,18.0,32.0,9.0,5.0,3.0,1.0,,,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,0.36,0.64,3.0,9.0,1.0,4.0,2.0,3.0,,,2.0,3.0,,,4.0,4.0,0.0,0.0,2.0,1.0,,,,,,,0.36,0.64,8.0,11.0,0.0,5.0,7.0,3.0,,,3.0,3.0,3.0,1.0,,,5.0,1.0,0.0,0.0,4.0,0.0
O6BPBEas,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,10/03/2023,16:45,Quarter-finals,Inverness,Kilmarnock,2,1,"[24, 50]",[2],bet365,4.0,2.1,2.75,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.02,1.83,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.67,1.29,1.3,bet365,10.0,bet365,7.5,bet365,9.5,bet365,19.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,15.0,bet365,29.0,bet365,41.0,bet365,29.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,37.0,16.0,1.02,Betano.br,21.0,9.5,1.09,Betano.br,8.5,5.2,1.32,bet365,1.67,4.0,4.0,Betano.br,1.27,5.9,9.0,Betano.br,1.08,10.5,20.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,12.0,9.0,5.0,4.0,5.0,4.0,2.0,1.0,,,,,,,,,,,5.0,5.0,13.0,10.0,25.0,26.0,10.0,15.0,2.0,2.0,,,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.51,0.49,7.0,2.0,3.0,2.0,3.0,0.0,,,5.0,2.0,1.0,1.0,6.0,10.0,0.0,0.0,1.0,2.0,,,,,,,0.41,0.59,5.0,7.0,2.0,2.0,2.0,4.0,,,0.0,3.0,1.0,1.0,,,4.0,5.0,0.0,0.0,2.0,1.0
ncMubDY1,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,12/02/2023,13:00,1/8-finals,Rangers,Partick Thistle,3,2,"[50, 71, 86]","[35, 74]",bet365,1.36,3.4,15.0,bet365,1.08,9.5,23.0,bet365,1.18,4.5,bet365,1.95,1.85,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,2.5,1.5,bet365,1.01,1.07,8.0,bet365,21.0,bet365,41.0,bet365,101.0,bet365,501.0,bet365,10.0,bet365,19.0,bet365,51.0,bet365,151.0,bet365,6.5,bet365,13.0,bet365,41.0,bet365,126.0,bet365,6.0,bet365,12.0,bet365,41.0,bet365,101.0,bet365,1.83,2.02,bet365,1.45,2.67,bet365,1.3,3.45,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,2.88,4.5,1.95,Betano.br,1.75,4.3,3.55,Betano.br,1.29,5.3,7.8,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,15.0,7.0,8.0,4.0,5.0,2.0,2.0,1.0,,,,,,,,,,,13.0,1.0,8.0,11.0,19.0,19.0,12.0,9.0,2.0,6.0,,,0.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,0.65,0.35,4.0,5.0,0.0,3.0,3.0,1.0,,,4.0,1.0,0.0,1.0,10.0,5.0,0.0,0.0,2.0,0.0,,,,,,,0.61,0.39,11.0,2.0,8.0,1.0,2.0,1.0,,,9.0,0.0,2.0,5.0,,,2.0,4.0,0.0,0.0,0.0,5.0
E3ERLGQ8,SCOTLAND,2022-2023,Scottish Cup 2022 2023,SCOTLAND CUP,11/02/2023,14:30,1/8-finals,Celtic,St. Mirren,5,1,"[16, 76, 80, 90, 90]",[87],bet365,1.44,3.2,12.0,bet365,1.13,7.5,17.0,bet365,1.2,4.33,bet365,2.02,1.77,bet365,4.0,1.22,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.25,1.33,bet365,2.1,1.67,bet365,1.02,1.1,6.0,bet365,19.0,bet365,41.0,bet365,81.0,bet365,251.0,bet365,10.0,bet365,15.0,bet365,41.0,bet365,101.0,bet365,7.0,bet365,11.0,bet365,29.0,bet365,81.0,bet365,7.0,bet365,11.0,bet365,34.0,bet365,81.0,bet365,2.08,1.73,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,3.5,4.6,1.7,bet365,2.05,4.33,2.75,Betano.br,1.45,4.55,5.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.74,0.26,,,,,,,,,,,16.0,7.0,8.0,2.0,6.0,2.0,2.0,3.0,,,,,,,,,,,5.0,1.0,10.0,7.0,18.0,20.0,8.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.76,0.24,7.0,3.0,3.0,0.0,3.0,2.0,,,3.0,1.0,,,2.0,6.0,0.0,0.0,0.0,2.0,,,,,,,0.72,0.28,9.0,4.0,5.0,2.0,3.0,0.0,,,2.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0
