Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
4Oaz6mEa,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,25/05/2025,12:00,Relegation Group,Radnicki S. Mitrovica,Smederevo,0,1,[],[3],Betfair,2.88,1.91,4.2,Betfair,2.15,2.9,3.2,Betano.br,1.52,2.12,Superbet.br,3.65,1.24,Superbet.br,10.0,1.03,Betfair,1.07,7.0,Betfair,1.4,2.75,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.0,1.73,Betano.br,1.28,1.37,1.57,Betfair,6.0,Betfair,7.5,Betfair,13.0,Betfair,36.0,Betfair,6.0,Betfair,5.5,Betfair,11.0,Betfair,26.0,Betfair,8.5,Betfair,8.5,Betfair,13.0,Betfair,46.0,Betfair,17.0,Betfair,17.0,Betfair,36.0,Betfair,76.0,Superbet.br,10.0,1.01,Betboom.br,8.71,1.01,Superbet.br,4.4,1.13,Betboom.br,3.73,1.2,Superbet.br,2.17,1.55,Superbet.br,1.3,2.95,Betboom.br,1.07,5.91,Superbet.br,1.05,6.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,5.2,3.82,1.55,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.45,0.55,,,,,,,,,,,10.0,6.0,5.0,2.0,5.0,4.0,,,,,,,,,,,,,2.0,7.0,,,,,,,3.0,3.0,1.0,0.0,,,1.0,5.0,,,,,,,,,,,,,,,,,,,0.42,0.58,3.0,5.0,1.0,2.0,2.0,3.0,,,0.0,5.0,1.0,1.0,,,,,1.0,1.0,,,,,,,0.48,0.52,7.0,1.0,4.0,0.0,3.0,1.0,,,2.0,2.0,2.0,2.0,1.0,0.0,,,,,0.0,4.0
WA1S79qm,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,25/05/2025,12:00,Relegation Group,Sloven Ruma,FK Indjija,0,1,[],[39],Betfair,1.83,2.2,8.5,Betfair,1.29,4.5,8.0,Betano.br,1.36,2.52,Superbet.br,2.62,1.43,Superbet.br,6.1,1.09,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,2.4,1.5,Betano.br,1.08,1.18,3.05,Betfair,9.0,Betfair,15.0,Betfair,51.0,Betfair,101.0,Betfair,5.0,Betfair,8.0,Betfair,23.0,Betfair,81.0,Betfair,5.0,Betfair,7.5,Betfair,21.0,Betfair,81.0,Betfair,7.5,Betfair,11.0,Betfair,31.0,Betfair,101.0,Superbet.br,3.35,1.23,Betboom.br,3.15,1.27,Superbet.br,1.92,1.69,Betboom.br,1.53,2.23,Superbet.br,1.29,2.95,Superbet.br,1.05,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,2.12,3.39,2.99,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.68,0.32,,,,,,,,,,,19.0,4.0,8.0,2.0,11.0,2.0,,,,,,,,,,,,,11.0,0.0,,,,,,,1.0,5.0,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,0.69,0.31,7.0,2.0,3.0,2.0,4.0,0.0,,,7.0,0.0,,,,,,,1.0,3.0,,,,,,,0.67,0.33,12.0,2.0,5.0,0.0,7.0,2.0,,,4.0,0.0,1.0,5.0,,,,,,,0.0,5.0
0lQMXsoJ,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,24/05/2025,12:00,Championship Group,Macva,Vrsac,0,1,[],[12],Betfair,2.2,2.0,6.0,Betfair,1.55,3.5,5.0,Betano.br,1.5,2.18,Superbet.br,2.95,1.35,Superbet.br,7.3,1.06,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.2,1.6,Betfair,4.0,1.2,Superbet.br,7.7,1.06,Betfair,2.05,1.67,Betano.br,1.13,1.33,2.05,Betfair,7.5,Betfair,12.0,Betfair,23.0,Betfair,76.0,Betfair,5.0,Betfair,6.5,Betfair,15.0,Betfair,56.0,Betfair,6.0,Betfair,7.5,Betfair,15.0,Betfair,67.0,Betfair,11.0,Betfair,12.0,Betfair,26.0,Betfair,81.0,Superbet.br,5.6,1.07,Betboom.br,4.67,1.12,Superbet.br,2.85,1.32,Betano.br,1.75,1.87,Superbet.br,1.65,2.0,Superbet.br,1.1,4.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,3.01,3.65,2.03,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,7.0,7.0,5.0,3.0,2.0,4.0,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,1.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,0.58,0.42,2.0,5.0,2.0,3.0,0.0,2.0,,,1.0,2.0,,,,,,,2.0,2.0,,,,,,,0.56,0.44,5.0,2.0,3.0,0.0,2.0,2.0,,,1.0,0.0,1.0,1.0,,,,,,,0.0,3.0
0jgq4RrC,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,25/05/2025,12:00,Relegation Group,Trayal Krusevac,Sloboda,2,0,"[59, 72]",[],Betfair,2.0,2.1,7.0,Betfair,1.4,4.2,6.5,Betano.br,1.39,2.65,Betano.br,2.82,1.34,Betano.br,6.6,1.05,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,7.5,1.06,Betfair,2.1,1.65,Betano.br,1.12,1.2,2.6,Betfair,9.0,Betfair,15.0,Betfair,34.0,Betfair,81.0,Betfair,5.5,Betfair,7.0,Betfair,21.0,Betfair,67.0,Betfair,5.5,Betfair,7.0,Betfair,15.0,Betfair,76.0,Betfair,9.0,Betfair,11.0,Betfair,26.0,Betfair,76.0,Superbet.br,3.45,1.22,Betboom.br,3.68,1.2,Superbet.br,2.0,1.64,Betano.br,1.72,1.9,Superbet.br,1.32,2.85,Superbet.br,1.05,6.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.32,3.4,2.6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.65,0.35,,,,,,,,,,,11.0,1.0,4.0,0.0,7.0,1.0,,,,,,,,,,,,,8.0,1.0,,,,,,,1.0,1.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.7,0.3,6.0,1.0,1.0,0.0,5.0,1.0,,,4.0,0.0,,,,,,,0.0,1.0,,,,,,,0.6,0.4,5.0,0.0,3.0,0.0,2.0,0.0,,,4.0,1.0,1.0,1.0,,,,,,,0.0,1.0
xAqfQHaE,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,25/05/2025,12:00,Relegation Group,Zemun,Dubocica,1,1,[66],[44],Betfair,3.5,2.0,3.0,Betfair,2.88,3.4,2.1,Betboom.br,1.34,2.82,Betano.br,2.52,1.36,,0.0,0.0,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.73,2.0,Betano.br,1.65,1.27,1.37,Betfair,8.5,Betfair,7.5,Betfair,9.5,Betfair,21.0,Betfair,8.5,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,13.0,Betfair,9.5,Betfair,11.0,Betfair,23.0,Betfair,31.0,Betfair,19.0,Betfair,26.0,Betfair,56.0,,0.0,0.0,,0.0,0.0,Betboom.br,7.01,1.04,Betboom.br,5.91,1.07,,0.0,0.0,Esportes da Sorte,1.58,2.23,Betboom.br,1.22,3.55,Betboom.br,1.14,4.43,Betboom.br,1.01,8.71,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,1.59,4.05,4.47,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.4,0.6,,,,,,,,,,,3.0,30.0,3.0,21.0,0.0,9.0,,,,,,,,,,,,,1.0,7.0,,,,,,,6.0,3.0,,,,,20.0,2.0,,,,,,,,,,,,,,,,,,,0.36,0.64,0.0,18.0,0.0,13.0,0.0,5.0,,,0.0,5.0,4.0,1.0,,,,,12.0,0.0,,,,,,,0.44,0.56,3.0,12.0,3.0,8.0,0.0,4.0,,,1.0,2.0,2.0,2.0,,,,,,,8.0,2.0
tp39eowQ,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,24/05/2025,12:00,Championship Group,Mladost GAT,Graficar Beograd,1,2,[90],"[57, 69]",Betfair,2.6,2.2,3.75,Betfair,1.95,3.25,3.1,Superbet.br,1.31,3.15,Betano.br,2.22,1.47,Superbet.br,5.45,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.75,1.4,Superbet.br,4.7,1.15,Betfair,1.57,2.2,Betano.br,1.5,1.24,1.57,Betfair,10.0,Betfair,12.0,Betfair,15.0,Betfair,36.0,Betfair,8.0,Betfair,6.0,Betfair,10.0,Betfair,21.0,Betfair,9.0,Betfair,7.5,Betfair,10.0,Betfair,23.0,Betfair,17.0,Betfair,12.0,Betfair,17.0,Betfair,34.0,Superbet.br,7.7,1.03,,0.0,0.0,Superbet.br,3.85,1.18,Betboom.br,2.78,1.35,Betano.br,1.88,1.72,Superbet.br,1.4,2.52,,0.0,0.0,Superbet.br,1.11,4.75,,0.0,0.0,Superbet.br,1.01,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,4.08,4.13,1.63,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,3.0,25.0,2.0,11.0,1.0,14.0,,,,,,,,,,,,,0.0,6.0,,,,,,,0.0,2.0,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,0.48,0.52,2.0,11.0,1.0,4.0,1.0,7.0,,,0.0,4.0,,,,,,,4.0,1.0,,,,,,,0.48,0.52,1.0,14.0,1.0,7.0,0.0,7.0,,,0.0,2.0,0.0,2.0,,,,,,,5.0,0.0
GMkh6d8r,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,19/05/2025,12:00,Relegation Group,Dubocica,Sloven Ruma,0,1,[],[76],Betfair,2.25,2.0,5.5,Betfair,1.57,3.3,5.0,Betano.br,1.39,2.42,Superbet.br,3.0,1.33,Superbet.br,7.6,1.06,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,2.0,1.73,Betano.br,1.16,1.24,2.2,Betfair,7.5,Betfair,12.0,Betfair,23.0,Betfair,76.0,Betfair,5.5,Betfair,6.0,Betfair,15.0,Betfair,46.0,Betfair,6.5,Betfair,7.5,Betfair,15.0,Betfair,61.0,Betfair,12.0,Betfair,12.0,Betfair,26.0,Betfair,76.0,Superbet.br,4.75,1.11,Betboom.br,6.12,1.06,Superbet.br,2.5,1.41,Betano.br,1.93,1.7,Betano.br,1.75,1.85,Superbet.br,1.1,4.9,Betboom.br,1.01,13.43,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,3.12,3.53,2.02,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,9.0,7.0,3.0,1.0,6.0,6.0,,,,,,,,,,,,,3.0,2.0,,,,,,,1.0,6.0,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,0.53,0.47,3.0,4.0,0.0,0.0,3.0,4.0,,,0.0,2.0,0.0,3.0,,,,,0.0,0.0,,,,,,,0.47,0.53,6.0,3.0,3.0,1.0,3.0,2.0,,,3.0,0.0,1.0,3.0,,,,,,,0.0,3.0
hOMEZ3G6,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,23/05/2025,14:00,Championship Group,Javor,Vozdovac,1,1,[79],[63],Betfair,2.3,2.0,5.0,Betfair,1.7,3.3,4.5,Betano.br,1.47,2.22,Superbet.br,3.1,1.32,Superbet.br,7.9,1.05,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.95,1.75,Betano.br,1.19,1.28,1.98,Betfair,7.5,Betfair,11.0,Betfair,21.0,Betfair,67.0,Betfair,5.5,Betfair,6.0,Betfair,13.0,Betfair,41.0,Betfair,6.5,Betfair,7.5,Betfair,13.0,Betfair,56.0,Betfair,13.0,Betfair,13.0,Betfair,29.0,Betfair,76.0,Superbet.br,6.1,1.06,Betboom.br,5.79,1.07,Superbet.br,3.05,1.28,Betboom.br,2.27,1.51,Betano.br,1.72,1.9,Superbet.br,1.17,3.9,,0.0,0.0,Superbet.br,1.01,9.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,3.24,3.54,1.96,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,5.0,18.0,3.0,12.0,2.0,6.0,,,,,,,,,,,,,5.0,3.0,,,,,,,0.0,3.0,,,,,11.0,2.0,,,,,,,,,,,,,,,,,,,0.58,0.42,1.0,8.0,1.0,4.0,0.0,4.0,,,5.0,0.0,,,,,,,4.0,1.0,,,,,,,0.42,0.58,4.0,10.0,2.0,8.0,2.0,2.0,,,0.0,3.0,0.0,3.0,,,,,,,7.0,1.0
dx9LBIpL,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,19/05/2025,12:00,Relegation Group,FK Indjija,Zemun,1,2,[71],"[67, 81]",Betfair,2.7,2.1,3.75,Betfair,2.0,3.4,3.0,Betano.br,1.38,2.47,Betano.br,2.35,1.42,Superbet.br,5.7,1.11,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.67,2.05,Betano.br,1.35,1.25,1.75,Betfair,9.0,Betfair,10.0,Betfair,15.0,Betfair,36.0,Betfair,7.5,Betfair,5.5,Betfair,10.0,Betfair,21.0,Betfair,9.0,Betfair,8.0,Betfair,11.0,Betfair,29.0,Betfair,17.0,Betfair,13.0,Betfair,21.0,Betfair,51.0,Superbet.br,6.4,1.05,Betboom.br,7.49,1.03,Superbet.br,3.35,1.23,Betboom.br,2.87,1.33,Betano.br,1.9,1.72,Superbet.br,1.29,2.95,Betboom.br,1.04,6.87,Superbet.br,1.06,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,3.79,3.92,1.72,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,6.0,12.0,4.0,8.0,2.0,4.0,,,,,,,,,,,,,4.0,4.0,,,,,,,3.0,4.0,,,,,6.0,3.0,,,,,,,,,,,,,,,,,,,0.68,0.32,2.0,5.0,1.0,3.0,1.0,2.0,,,2.0,2.0,2.0,1.0,,,,,3.0,1.0,,,,,,,0.54,0.46,4.0,7.0,3.0,5.0,1.0,2.0,,,2.0,2.0,1.0,3.0,,,,,,,3.0,2.0
nBiEyQof,SERBIA,2024-2025,Mozzart Bet Prva Liga 2024 2025,SERBIA 2,23/05/2025,12:00,Championship Group,Radnik,Borac 1926,2,0,"[8, 21]",[],Betfair,1.62,2.7,8.0,Betfair,1.18,5.5,11.0,Superbet.br,1.22,3.85,Betano.br,1.9,1.65,Superbet.br,4.3,1.18,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.44,2.55,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,1.85,1.85,Betano.br,1.03,1.12,4.4,Betfair,17.0,Betfair,29.0,Betfair,67.0,Betfair,101.0,Betfair,7.5,Betfair,10.0,Betfair,26.0,Betfair,76.0,Betfair,6.0,Betfair,7.5,Betfair,15.0,Betfair,76.0,Betfair,7.5,Betfair,8.0,Betfair,17.0,Betfair,67.0,Superbet.br,2.5,1.41,Betano.br,1.9,1.72,Superbet.br,1.61,2.05,Betboom.br,1.23,3.45,Superbet.br,1.2,3.6,Superbet.br,1.03,7.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Esportes da Sorte,2.49,4.03,2.22,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,13.0,8.0,11.0,6.0,2.0,2.0,,,,,,,,,,,,,10.0,2.0,,,,,,,,,,,,,6.0,9.0,,,,,,,,,,,,,,,,,,,0.66,0.34,8.0,2.0,7.0,1.0,1.0,1.0,,,7.0,0.0,,,,,,,1.0,5.0,,,,,,,0.46,0.54,5.0,6.0,4.0,5.0,1.0,1.0,,,3.0,2.0,,,,,,,,,5.0,4.0
