Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
2Hbx0HMP,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,03/06/2024,15:00,Relegation,Zeleznicar Pancevo,FK Indjija,2,0,"[15, 90]",[],Betfair,1.91,2.3,6.0,Betfair,1.36,4.33,6.5,Betano.br,1.36,2.9,Betano.br,2.55,1.45,Betano.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,3.0,1.33,Betfair,5.5,1.11,Betfair,1.83,1.83,Betano.br,1.11,1.18,2.92,Betfair,12.0,Betfair,19.0,Betfair,36.0,Betfair,101.0,Betfair,6.5,Betfair,8.0,Betfair,19.0,Betfair,67.0,Betfair,7.0,Betfair,7.5,Betfair,15.0,Betfair,61.0,Betfair,9.5,Betfair,11.0,Betfair,23.0,Betfair,81.0,,0.0,0.0,,0.0,0.0,Betano.br,2.07,1.7,Betano.br,1.62,2.22,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.6,6.0,1.26,Betano.br,3.8,4.15,1.7,Betano.br,2.12,3.6,2.92,Betano.br,1.11,7.7,18.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,8.0,5.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,5.0,4.0,,,,,,,2.0,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.49,0.51,4.0,0.0,2.0,0.0,2.0,0.0,,,3.0,2.0,1.0,2.0,,,,,0.0,1.0,,,,,,,0.53,0.47,4.0,5.0,2.0,3.0,2.0,2.0,,,2.0,2.0,1.0,0.0,,,,,,,3.0,1.0
GOIsvz06,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,03/06/2024,13:00,Relegation,Javor,Tekstilac Odzaci,1,1,[75],[53],Betfair,1.67,2.38,11.0,Betfair,1.17,5.0,13.0,Betano.br,1.42,2.67,Betano.br,2.85,1.37,Betano.br,6.2,1.09,Betfair,1.02,10.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,2.8,1.36,Betano.br,1.06,1.15,3.7,Betfair,11.0,Betfair,26.0,Betfair,91.0,Betfair,201.0,Betfair,5.0,Betfair,11.0,Betfair,51.0,Betfair,201.0,Betfair,4.5,Betfair,9.0,Betfair,36.0,Betfair,201.0,Betfair,6.5,Betfair,12.0,Betfair,46.0,Betfair,201.0,,0.0,0.0,Betano.br,2.25,1.6,Betano.br,1.85,1.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.5,5.4,1.33,Betano.br,3.25,3.8,1.91,Betano.br,1.85,3.55,3.7,Betano.br,1.06,9.25,28.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,18.0,9.0,7.0,2.0,11.0,7.0,,,,,,,,,,,,,4.0,1.0,,,,,,,2.0,6.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,0.52,0.48,7.0,6.0,2.0,1.0,5.0,5.0,,,1.0,1.0,0.0,1.0,,,,,1.0,2.0,,,,,,,0.58,0.42,11.0,3.0,5.0,1.0,6.0,2.0,,,3.0,0.0,2.0,5.0,,,,,,,0.0,4.0
ANBjxEUI,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,30/05/2024,13:00,Relegation,FK Indjija,Zeleznicar Pancevo,1,2,[75],"[9, 20]",Betfair,4.5,2.1,2.25,Betfair,4.75,3.6,1.62,Betano.br,1.39,2.75,Betano.br,2.67,1.42,Betano.br,5.8,1.1,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.73,1.95,Betano.br,2.02,1.26,1.24,Betfair,10.0,Betfair,7.0,Betfair,8.0,Betfair,13.0,Betfair,13.0,Betfair,7.0,Betfair,7.5,Betfair,13.0,Betfair,23.0,Betfair,14.0,Betfair,14.0,Betfair,23.0,Betfair,61.0,Betfair,36.0,Betfair,41.0,Betfair,71.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.0,1.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,21.0,9.75,1.06,Betano.br,9.75,5.5,1.24,Betano.br,2.02,3.65,3.1,Betano.br,1.36,5.1,6.4,Betano.br,1.12,8.25,13.5,,,,,,,,,,,0.43,0.57,,,,,,,,,,,10.0,16.0,4.0,6.0,6.0,10.0,,,,,,,,,,,,,6.0,2.0,,,,,,,2.0,0.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,0.41,0.59,7.0,9.0,2.0,3.0,5.0,6.0,,,6.0,2.0,,,,,,,1.0,2.0,,,,,,,0.45,0.55,3.0,7.0,2.0,3.0,1.0,4.0,,,0.0,0.0,2.0,0.0,,,,,,,3.0,1.0
8bFZudVg,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,29/05/2024,13:00,Relegation,Tekstilac Odzaci,Javor,1,0,[33],[],Betfair,6.0,1.91,2.38,Betfair,5.5,3.3,1.62,Betano.br,1.6,2.25,Betano.br,3.55,1.25,Betano.br,7.9,1.05,Betfair,1.07,7.0,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.38,1.5,Betano.br,2.07,1.29,1.18,Betfair,6.5,Betfair,5.0,Betfair,6.5,Betfair,12.0,Betfair,10.0,Betfair,7.0,Betfair,9.0,Betfair,17.0,Betfair,26.0,Betfair,18.0,Betfair,21.0,Betfair,41.0,Betfair,101.0,Betfair,71.0,Betfair,91.0,Betfair,151.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.05,1.72,Betano.br,1.53,2.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,30.0,11.0,1.04,Betano.br,14.0,5.8,1.18,Betano.br,2.07,3.3,3.25,Betano.br,1.33,4.9,7.3,Betano.br,1.1,8.5,16.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,9.0,8.0,1.0,7.0,8.0,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,2.0,1.0,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,0.54,0.46,3.0,3.0,1.0,3.0,2.0,0.0,,,1.0,1.0,,,,,,,3.0,0.0,,,,,,,0.4,0.6,6.0,5.0,0.0,4.0,6.0,1.0,,,1.0,0.0,2.0,1.0,,,,,,,4.0,0.0
0hdlGHZh,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,25/05/2024,14:00,Championship Group,Crvena zvezda,Cukaricki,4,1,"[32, 55, 80, 90]",[18],Betfair,1.44,3.1,11.0,Betfair,1.11,8.5,17.0,,0.0,0.0,Betano.br,1.93,1.82,,0.0,0.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.36,2.88,Betfair,2.0,1.73,Betfair,3.3,1.29,Betfair,2.2,1.6,Betano.br,1.04,1.08,5.2,Betfair,26.0,Betfair,51.0,Betfair,126.0,Betfair,201.0,Betfair,9.0,Betfair,15.0,Betfair,46.0,Betfair,176.0,Betfair,6.0,Betfair,9.0,Betfair,26.0,Betfair,151.0,Betfair,6.5,Betfair,9.5,Betfair,26.0,Betfair,126.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.1,4.2,2.67,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.69,0.31,,,,,,,,,,,16.0,9.0,9.0,2.0,7.0,7.0,,,,,,,,,,,,,9.0,2.0,,,,,,,1.0,0.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,0.73,0.27,5.0,3.0,3.0,1.0,2.0,2.0,,,6.0,0.0,,,,,,,0.0,2.0,,,,,,,0.65,0.35,11.0,6.0,6.0,1.0,5.0,5.0,,,3.0,2.0,1.0,0.0,,,,,,,1.0,3.0
OY5wfRIj,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,25/05/2024,14:00,Championship Group,Vojvodina,Mladost,1,0,[38],[],Betfair,1.44,3.0,11.0,Betfair,1.12,7.5,20.0,,0.0,0.0,Betano.br,2.1,1.65,,0.0,0.0,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.4,2.75,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,2.2,1.6,Betano.br,1.03,1.08,6.0,Betfair,23.0,Betfair,46.0,Betfair,126.0,Betfair,201.0,Betfair,8.0,Betfair,14.0,Betfair,46.0,Betfair,201.0,Betfair,6.0,Betfair,9.0,Betfair,31.0,Betfair,151.0,Betfair,6.5,Betfair,10.0,Betfair,26.0,Betfair,151.0,Betano.br,1.95,1.78,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.92,4.3,1.95,Betano.br,2.05,4.0,2.85,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.66,0.34,,,,,,,,,,,13.0,5.0,6.0,1.0,7.0,4.0,,,,,,,,,,,,,14.0,0.0,,,,,,,1.0,1.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,0.76,0.24,6.0,1.0,3.0,0.0,3.0,1.0,,,11.0,0.0,0.0,1.0,,,,,0.0,2.0,,,,,,,0.56,0.44,7.0,4.0,3.0,1.0,4.0,3.0,,,3.0,0.0,1.0,0.0,,,,,,,1.0,3.0
dKkcEe45,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,25/05/2024,13:00,Championship Group,Partizan,Radnicki 1923,2,2,"[76, 82]","[6, 72]",Betfair,2.2,2.6,3.75,Betfair,1.73,4.6,3.3,Betano.br,1.2,4.1,Betano.br,1.88,1.85,Betano.br,3.5,1.26,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,1.75,1.95,Betano.br,2.67,1.42,Betfair,1.29,3.2,Betano.br,1.28,1.21,2.07,Betfair,26.0,Betfair,23.0,Betfair,31.0,Betfair,51.0,Betfair,14.0,Betfair,9.0,Betfair,13.0,Betfair,23.0,Betfair,13.0,Betfair,8.5,Betfair,10.0,Betfair,20.0,Betfair,17.0,Betfair,11.0,Betfair,13.0,Betfair,23.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.15,1.65,Betano.br,1.72,2.05,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,7.5,1.18,Betano.br,4.9,5.2,1.44,Betano.br,2.75,4.15,2.07,Betano.br,1.28,5.8,7.3,Betano.br,1.1,9.0,15.0,,0.0,0.0,0.0,,,,,,,,,,,0.41,0.59,,,,,,,,,,,11.0,20.0,5.0,9.0,6.0,11.0,,,,,,,,,,,,,6.0,7.0,,,,,,,2.0,1.0,,,,,7.0,3.0,,,,,,,,,,,,,,,,,,,0.39,0.61,6.0,5.0,3.0,2.0,3.0,3.0,,,5.0,4.0,,,,,,,1.0,3.0,,,,,,,0.43,0.57,5.0,15.0,2.0,7.0,3.0,8.0,,,1.0,3.0,2.0,1.0,,,,,,,6.0,0.0
z7zq8ZaM,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,24/05/2024,13:30,Relegation Group,Javor,Zeleznicar Pancevo,1,1,[49],[76],Betfair,4.0,1.91,2.88,Betfair,3.4,2.1,3.0,Betano.br,1.6,2.25,Betano.br,3.25,1.29,Betano.br,7.2,1.06,Betfair,1.06,7.5,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.85,1.85,Betano.br,1.47,1.44,1.36,Betano.br,5.5,Betano.br,7.1,Betano.br,13.0,Betano.br,32.0,Betano.br,8.0,Betano.br,5.1,Betano.br,9.5,Betano.br,24.0,Betano.br,16.5,Betano.br,10.75,Betano.br,13.0,Betano.br,35.0,Betano.br,45.0,Betano.br,30.0,Betano.br,37.0,Betano.br,65.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.5,2.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,19.5,8.5,1.09,Betano.br,8.0,4.4,1.36,Betano.br,1.47,3.95,6.2,Betano.br,1.13,7.3,15.0,Betano.br,1.03,12.0,28.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,7.0,15.0,2.0,6.0,5.0,9.0,,,,,,,,,,,,,4.0,9.0,,,,,,,2.0,2.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,3.0,5.0,1.0,2.0,2.0,3.0,,,1.0,3.0,,,,,,,2.0,1.0,,,,,,,0.49,0.51,4.0,10.0,1.0,4.0,3.0,6.0,,,3.0,6.0,2.0,2.0,,,,,,,3.0,0.0
EinzAeV9,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,24/05/2024,13:30,Relegation Group,Novi Pazar,Radnicki Nis,2,1,"[13, 60]",[21],Betfair,3.2,2.1,3.1,Betfair,2.6,3.1,2.55,Betano.br,1.42,2.65,Betano.br,2.67,1.42,Betano.br,5.8,1.1,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.6,2.15,Betano.br,1.44,1.35,1.5,Betfair,10.0,Betfair,9.5,Betfair,13.0,Betfair,23.0,Betfair,9.5,Betfair,6.0,Betfair,9.0,Betfair,18.0,Betfair,13.0,Betfair,9.0,Betfair,11.0,Betfair,23.0,Betfair,26.0,Betfair,20.0,Betfair,26.0,Betfair,56.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,23.0,11.5,1.04,Betano.br,12.5,7.0,1.15,Betano.br,5.4,4.15,1.5,Betano.br,1.44,4.35,6.2,Betano.br,1.13,7.6,14.0,Betano.br,1.04,12.0,24.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,7.0,17.0,3.0,7.0,4.0,10.0,,,,,,,,,,,,,3.0,3.0,,,,,,,0.0,1.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,0.65,0.35,2.0,5.0,1.0,2.0,1.0,3.0,,,1.0,1.0,0.0,1.0,,,,,1.0,0.0,,,,,,,0.39,0.61,5.0,12.0,2.0,5.0,3.0,7.0,,,2.0,2.0,,,,,,,,,5.0,1.0
6kRE2DNq,SERBIA,2023-2024,Mozzart Bet Super Liga 2023 2024,SERBIA 1,24/05/2024,13:30,Relegation Group,Sp. Subotica,IMT Novi Beograd,1,1,[85],[60],Betfair,4.2,2.0,2.75,Betfair,3.6,2.9,2.05,Betano.br,1.53,2.42,Betano.br,3.15,1.31,Betano.br,7.0,1.07,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.83,1.83,Betano.br,1.82,1.31,1.26,Betfair,8.0,Betfair,6.5,Betfair,9.0,Betfair,18.0,Betfair,9.5,Betfair,6.0,Betfair,8.5,Betfair,17.0,Betfair,17.0,Betfair,12.0,Betfair,14.0,Betfair,31.0,Betfair,46.0,Betfair,34.0,Betfair,46.0,Betfair,91.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.8,1.95,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,23.0,9.5,1.06,Betano.br,10.0,5.1,1.26,Betano.br,1.82,3.55,3.85,Betano.br,1.26,5.6,8.75,Betano.br,1.07,9.5,18.5,,,,,,,,,,,0.59,0.41,,,,,,,,,,,13.0,11.0,9.0,9.0,4.0,2.0,,,,,,,,,,,,,6.0,2.0,,,,,,,2.0,2.0,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,0.58,0.42,6.0,5.0,4.0,4.0,2.0,1.0,,,4.0,2.0,,,,,,,4.0,4.0,,,,,,,0.6,0.4,7.0,6.0,5.0,5.0,2.0,1.0,,,2.0,0.0,2.0,2.0,,,,,,,4.0,4.0
