Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
rsmAHGOh,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,11/05/2026,13:00,Round 28,ND Gorica,Dravinja,1,1,[50],[54],Betfair,2.75,2.2,3.5,Betfair,2.05,3.1,3.0,Superbet.br,1.34,3.0,Betano.br,2.5,1.4,Superbet.br,6.1,1.09,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.73,2.0,Betfair,1.33,1.25,1.62,Betano.br,11.75,Betano.br,7.7,Betano.br,11.25,Betano.br,21.0,Betano.br,6.3,Betano.br,5.5,Betano.br,8.0,Betano.br,15.5,Betano.br,7.6,Betano.br,6.6,Betano.br,9.75,Betano.br,18.0,Betano.br,12.0,Betano.br,10.75,Betano.br,15.0,Betano.br,27.0,1xBet.br,8.5,1.01,1xBet.br,7.5,1.03,Superbet.br,3.35,1.23,1xBet.br,2.97,1.3,Superbet.br,1.9,1.72,Superbet.br,1.3,2.92,1xBet.br,1.07,6.0,1xBet.br,1.04,7.1,,0.0,0.0,,0.0,0.0,Betnacional,15.8,8.53,1.06,Betnacional,7.42,5.44,1.25,Betano.br,3.7,3.8,1.72,Betnacional,1.28,4.92,7.26,Betnacional,1.07,7.99,16.97,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UJOtG3ml,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,10/05/2026,13:00,Round 28,Tabor Sezana,Triglav,0,1,[],[75],Betfair,5.0,2.3,2.0,Betfair,5.0,3.9,1.47,Betfair,1.29,3.3,Betfair,2.6,1.44,Betfair,6.5,1.07,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.73,1.95,Betfair,2.4,1.2,1.13,Betfair,12.0,Betfair,6.5,Betfair,7.0,Betfair,10.0,Betfair,13.0,Betfair,7.0,Betfair,7.0,Betfair,11.0,Betfair,26.0,Betfair,13.0,Betfair,13.0,Betfair,19.0,Betfair,76.0,Betfair,41.0,Betfair,41.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.4,1.13,Superbet.br,2.35,1.46,Betano.br,1.78,1.93,Superbet.br,1.48,2.3,1xBet.br,1.2,3.68,Superbet.br,1.16,4.0,,0.0,0.0,0.0,Betnacional,27.69,9.6,1.02,Betnacional,12.73,6.26,1.13,Betano.br,2.35,3.5,2.52,Betnacional,1.46,4.49,4.68,Betnacional,1.15,6.76,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvV2NoeE,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,10/05/2026,12:45,Round 28,Nafta,Beltinci,2,1,"[61, 68]",[57],Betfair,2.6,2.1,4.0,Betfair,1.9,3.25,3.5,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.05,Betfair,1.02,10.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.73,1.95,Betfair,1.29,1.25,1.8,Betfair,9.5,Betfair,9.0,Betfair,15.0,Betfair,46.0,Betfair,6.5,Betfair,6.0,Betfair,11.0,Betfair,23.0,Betfair,8.0,Betfair,7.5,Betfair,12.0,Betfair,31.0,Betfair,15.0,Betfair,13.0,Betfair,21.0,Betfair,61.0,1xBet.br,7.7,1.03,1xBet.br,6.95,1.04,Superbet.br,3.7,1.19,Superbet.br,2.5,1.41,Betano.br,1.95,1.75,Superbet.br,1.29,3.0,1xBet.br,1.06,6.15,1xBet.br,1.04,7.1,,0.0,0.0,,0.0,0.0,Betnacional,15.47,8.39,1.07,Betnacional,7.22,5.33,1.26,Betano.br,3.75,3.6,1.78,Betnacional,1.23,5.2,8.51,Betnacional,1.05,8.48,20.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xpSlEsI0,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,10/05/2026,12:30,Round 28,Jadran Dekani,Slovan Ljubljana,5,1,"[13, 24, 27, 32, 77]",[7],Betfair,2.88,2.1,3.4,Betfair,2.2,3.0,2.75,Betfair,1.36,2.88,Betfair,3.0,1.33,Betfair,8.0,1.05,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.73,1.95,Betfair,1.4,1.3,1.53,Betfair,9.0,Betfair,7.5,Betfair,12.0,Betfair,26.0,Betfair,6.5,Betfair,5.5,Betfair,9.0,Betfair,21.0,Betfair,9.5,Betfair,8.0,Betfair,12.0,Betfair,31.0,Betfair,21.0,Betfair,15.0,Betfair,26.0,Betfair,61.0,1xBet.br,9.0,1.01,1xBet.br,8.3,1.02,Superbet.br,4.15,1.15,1xBet.br,3.5,1.22,Superbet.br,2.17,1.54,Superbet.br,1.34,2.72,1xBet.br,1.1,5.15,1xBet.br,1.06,6.05,,0.0,0.0,,0.0,0.0,Betnacional,20.79,9.48,1.03,Betnacional,10.01,6.15,1.17,Betano.br,4.6,3.85,1.57,Betnacional,1.35,4.57,6.32,Betnacional,1.09,7.42,14.97,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OvX8Jxft,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,10/05/2026,12:00,Round 28,Krsko Posavje,NK Krka,0,4,[],"[32, 53, 56, 90]",Betfair,3.5,2.0,3.0,Betfair,2.7,3.0,2.3,Betfair,1.36,2.88,Betfair,3.0,1.33,Betfair,8.0,1.05,Betfair,1.03,9.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,7.5,1.05,Betfair,1.8,1.87,Betfair,1.53,1.3,1.4,Betfair,8.5,Betfair,7.0,Betfair,9.5,Betfair,21.0,Betfair,7.5,Betfair,5.5,Betfair,8.0,Betfair,17.0,Betfair,12.0,Betfair,9.0,Betfair,12.0,Betfair,23.0,Betfair,29.0,Betfair,19.0,Betfair,31.0,Betfair,61.0,1xBet.br,8.3,1.02,1xBet.br,7.7,1.03,Superbet.br,3.7,1.19,1xBet.br,3.34,1.24,Superbet.br,2.0,1.64,Superbet.br,1.14,4.25,1xBet.br,1.07,5.8,Superbet.br,1.1,4.9,,0.0,0.0,,0.0,0.0,Betnacional,21.16,9.72,1.03,Betnacional,10.46,6.46,1.15,Betano.br,5.2,3.85,1.52,Betano.br,1.45,4.05,5.9,Betnacional,1.09,7.52,14.59,Betnacional,1.02,10.06,23.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBLcCLnD,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,10/05/2026,12:00,Round 28,NK Jesenice,Rudar,2,1,"[27, 64]",[85],Betfair,5.0,2.3,2.0,Betfair,5.0,3.7,1.5,Betfair,1.29,3.3,Betfair,2.6,1.44,Betfair,6.5,1.08,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.73,1.95,Betfair,2.38,1.22,1.13,Betfair,11.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,13.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,23.0,Betfair,13.0,Betfair,13.0,Betfair,19.0,Betfair,76.0,Betfair,46.0,Betfair,36.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.35,1.14,Superbet.br,2.27,1.5,Superbet.br,1.77,1.83,Superbet.br,1.48,2.32,1xBet.br,1.18,3.88,1xBet.br,1.13,4.65,,0.0,0.0,0.0,Betnacional,25.35,9.51,1.03,Betnacional,11.65,6.19,1.15,Betano.br,2.22,3.5,2.67,Betnacional,1.43,4.64,4.82,Betnacional,1.14,6.95,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z30IFZy8,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,09/05/2026,12:00,Round 28,Ilirija,Bilje,1,0,[60],[],Betfair,2.1,2.3,4.5,Betfair,1.57,3.7,4.6,Betfair,1.29,3.3,Betfair,2.55,1.44,Betfair,6.5,1.08,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Superbet.br,4.9,1.14,Betfair,1.7,2.0,Betfair,1.14,1.22,2.2,Betfair,12.0,Betfair,12.0,Betfair,23.0,Betfair,67.0,Betfair,6.5,Betfair,6.5,Betfair,13.0,Betfair,34.0,Betfair,7.5,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,11.0,Betfair,11.0,Betfair,19.0,Betfair,56.0,1xBet.br,4.9,1.11,1xBet.br,4.05,1.16,Superbet.br,2.42,1.43,Superbet.br,1.9,1.72,Superbet.br,1.52,2.2,Superbet.br,1.14,4.3,,0.0,0.0,1xBet.br,1.01,10.0,,0.0,0.0,,0.0,0.0,Betnacional,12.19,7.61,1.1,Betnacional,5.77,4.95,1.34,Betano.br,2.92,3.55,2.05,Betnacional,1.19,5.63,9.61,Betnacional,1.04,8.96,21.81,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnmALPPQ,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,09/05/2026,12:00,Round 28,NK Bistrica,Grosuplje,0,4,[],"[19, 26, 59, 90]",Betfair,5.5,2.3,2.0,Betfair,5.0,3.7,1.5,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.2,1.3,Superbet.br,5.85,1.1,Betfair,1.83,1.83,Betfair,2.4,1.2,1.13,Betfair,11.0,Betfair,6.0,Betfair,6.5,Betfair,10.0,Betfair,13.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,26.0,Betfair,13.0,Betfair,13.0,Betfair,21.0,Betfair,76.0,Betfair,56.0,Betfair,51.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.4,1.13,Superbet.br,2.17,1.54,Superbet.br,1.68,1.95,Superbet.br,1.41,2.5,1xBet.br,1.16,4.15,1xBet.br,1.11,4.9,,0.0,0.0,0.0,Betnacional,26.98,9.43,1.02,Betnacional,12.09,6.02,1.15,Betano.br,2.2,3.45,2.75,Betnacional,1.41,4.62,5.19,Betnacional,1.12,7.11,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0mS4INk,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,07/05/2026,13:00,Round 27,Rudar,Krsko Posavje,3,0,"[21, 81, 88]",[],Betfair,2.0,2.3,6.0,Betfair,1.44,3.8,5.5,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.3,Betfair,6.5,1.08,Betfair,1.87,1.8,Betfair,1.1,1.2,2.5,Betfair,10.0,Betfair,13.0,Betfair,29.0,Betfair,81.0,Betfair,6.0,Betfair,6.5,Betfair,15.0,Betfair,61.0,Betfair,6.5,Betfair,7.0,Betfair,15.0,Betfair,56.0,Betfair,9.0,Betfair,11.0,Betfair,21.0,Betfair,67.0,1xBet.br,4.15,1.16,1xBet.br,3.48,1.22,Superbet.br,2.37,1.45,Betano.br,1.9,1.8,Superbet.br,1.48,2.3,Superbet.br,1.12,4.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betnacional,9.18,6.52,1.17,Betnacional,4.41,4.36,1.51,Betano.br,2.5,3.45,2.37,Betnacional,1.12,6.5,14.18,Betnacional,1.02,9.75,30.1,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Sty3dh2,SLOVENIA,2025-2026,2 Snl,SLOVENIA 2,07/05/2026,12:30,Round 27,Slovan Ljubljana,NK Jesenice,1,0,[30],[],Betfair,2.0,2.4,4.5,Betfair,1.53,3.9,4.6,Betfair,1.22,3.8,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.57,2.2,Betfair,1.17,1.2,2.3,Betfair,15.0,Betfair,15.0,Betfair,23.0,Betfair,67.0,Betfair,8.0,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,8.0,Betfair,7.0,Betfair,12.0,Betfair,31.0,Betfair,11.0,Betfair,9.5,Betfair,15.0,Betfair,41.0,1xBet.br,4.65,1.12,1xBet.br,3.9,1.18,Superbet.br,2.42,1.43,Superbet.br,1.9,1.71,Superbet.br,1.54,2.17,Superbet.br,1.16,4.0,,0.0,0.0,1xBet.br,1.02,8.9,,0.0,0.0,,0.0,0.0,Betnacional,9.39,6.94,1.15,Betnacional,4.65,4.73,1.44,Betano.br,2.67,3.65,2.18,Betnacional,1.17,6.03,9.83,Betnacional,1.04,9.27,21.25,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
