Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
h6H6DVcP,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,19/05/2024,12:30,Round 36,Koper,Maribor,1,1,[12],[42],Betfair,4.5,2.3,2.1,Betfair,4.6,4.0,1.5,Betano.br,1.32,3.1,Betano.br,2.4,1.53,Betano.br,5.0,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.57,2.2,Betano.br,2.3,1.22,1.19,Betfair,12.0,Betfair,7.0,Betfair,7.5,Betfair,11.0,Betfair,15.0,Betfair,6.5,Betfair,6.0,Betfair,9.0,Betfair,23.0,Betfair,12.0,Betfair,10.0,Betfair,15.0,Betfair,56.0,Betfair,31.0,Betfair,26.0,Betfair,41.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.27,1.6,Betano.br,1.78,1.98,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,11.25,6.3,1.19,Betano.br,2.3,3.7,2.6,Betano.br,1.5,4.7,4.85,Betano.br,1.18,7.1,10.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,16.0,14.0,5.0,7.0,6.0,4.0,5.0,3.0,,,,,,,,,,,3.0,3.0,19.0,21.0,21.0,13.0,15.0,19.0,3.0,3.0,,,6.0,0.0,6.0,4.0,,,,,,,,,,,,,,,,,,,0.46,0.54,3.0,11.0,1.0,5.0,0.0,3.0,,,0.0,3.0,1.0,1.0,7.0,5.0,3.0,0.0,4.0,0.0,,,,,,,0.53,0.47,13.0,3.0,4.0,2.0,6.0,1.0,,,3.0,0.0,2.0,2.0,,,8.0,14.0,3.0,0.0,2.0,4.0
4pyCily6,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,19/05/2024,12:30,Round 36,O. Ljubljana,Bravo,0,1,[],[63],Betfair,2.1,2.3,4.5,Betfair,1.55,3.9,4.5,Betano.br,1.31,3.15,Betano.br,2.37,1.55,Betano.br,4.9,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.57,2.2,Betano.br,1.21,1.22,2.22,Betfair,12.0,Betfair,14.0,Betfair,23.0,Betfair,51.0,Betfair,7.0,Betfair,6.5,Betfair,12.0,Betfair,26.0,Betfair,7.5,Betfair,6.5,Betfair,10.0,Betfair,26.0,Betfair,10.0,Betfair,9.0,Betfair,14.0,Betfair,36.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,2.07,1.7,Betano.br,1.65,2.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,10.5,7.3,1.17,Betano.br,5.1,4.8,1.45,Betano.br,2.7,3.75,2.22,Betano.br,1.21,6.1,10.0,Betano.br,1.06,10.25,21.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,8.0,12.0,3.0,4.0,1.0,5.0,4.0,3.0,,,,,,,,,,,7.0,10.0,11.0,8.0,18.0,28.0,7.0,10.0,2.0,3.0,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.59,0.41,7.0,8.0,3.0,1.0,1.0,4.0,,,1.0,7.0,,,4.0,3.0,0.0,0.0,1.0,3.0,,,,,,,0.67,0.33,1.0,4.0,0.0,3.0,0.0,1.0,,,6.0,3.0,2.0,3.0,,,3.0,7.0,1.0,1.0,2.0,0.0
CAvKkS5I,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,18/05/2024,10:00,Round 36,Aluminij,Domzale,1,3,[90],"[19, 28, 32]",Betfair,1.8,2.6,6.0,Betfair,1.29,4.75,7.0,Betano.br,1.26,3.45,Betano.br,2.2,1.62,Betano.br,4.4,1.17,Betano.br,1.03,9.5,Betfair,1.11,5.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Betano.br,3.4,1.27,Betfair,1.6,2.15,Betano.br,1.1,1.14,3.35,Betfair,18.0,Betfair,21.0,Betfair,41.0,Betfair,101.0,Betfair,7.5,Betfair,8.5,Betfair,18.0,Betfair,41.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,36.0,Betfair,8.0,Betfair,8.0,Betfair,13.0,Betfair,41.0,,0,0,,0.0,0.0,Betano.br,1.83,1.9,Betano.br,1.62,2.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,5.6,5.5,1.37,Betano.br,3.05,4.15,1.93,Betano.br,1.85,4.0,3.35,Betano.br,1.1,8.25,17.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,18.0,20.0,7.0,10.0,11.0,7.0,0.0,3.0,,,,,,,,,,,8.0,3.0,16.0,13.0,38.0,17.0,12.0,15.0,2.0,3.0,0.0,1.0,1.0,1.0,7.0,6.0,,,,,,,,,,,,,,,,,,,0.5,0.5,7.0,9.0,4.0,6.0,3.0,2.0,,,8.0,1.0,1.0,1.0,6.0,8.0,1.0,0.0,3.0,4.0,,,,,,,0.52,0.48,11.0,11.0,3.0,4.0,8.0,5.0,,,0.0,2.0,1.0,2.0,0.0,1.0,6.0,7.0,0.0,1.0,4.0,2.0
ryzGj8jC,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,18/05/2024,10:00,Round 36,Mura,Rogaska,1,2,[55],"[5, 44]",Betfair,3.75,2.1,2.63,Betfair,3.2,3.3,1.95,Betano.br,1.37,2.87,Betano.br,2.57,1.45,Betano.br,5.5,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betano.br,4.7,1.15,Betfair,1.6,2.15,Betano.br,1.85,1.26,1.31,Betfair,9.5,Betfair,7.0,Betfair,9.0,Betfair,14.0,Betfair,9.5,Betfair,5.5,Betfair,7.0,Betfair,12.0,Betfair,14.0,Betfair,9.0,Betfair,10.0,Betfair,17.0,Betfair,31.0,Betfair,21.0,Betfair,23.0,Betfair,36.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.83,1.91,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,17.0,8.75,1.09,Betano.br,7.7,5.1,1.31,Betano.br,1.85,3.8,3.5,Betano.br,1.3,5.5,7.2,Betano.br,1.1,8.75,15.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,4.0,18.0,2.0,10.0,2.0,4.0,0.0,4.0,,,,,,,,,,,3.0,2.0,17.0,21.0,24.0,24.0,17.0,16.0,3.0,3.0,,,4.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,0.58,0.42,2.0,14.0,1.0,8.0,1.0,4.0,,,1.0,1.0,,,8.0,8.0,2.0,1.0,6.0,1.0,,,,,,,0.66,0.34,2.0,4.0,1.0,2.0,1.0,0.0,,,2.0,1.0,3.0,3.0,,,9.0,8.0,2.0,0.0,2.0,0.0
j1wOlnLO,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,18/05/2024,10:00,Round 36,Radomlje,Celje,1,1,[29],[90],Betfair,3.5,2.2,2.8,Betfair,2.88,3.5,2.05,Betano.br,1.34,3.0,Betano.br,2.47,1.5,Betano.br,5.2,1.13,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betano.br,4.3,1.18,Betfair,1.53,2.3,Betano.br,1.7,1.27,1.38,Betfair,10.0,Betfair,8.0,Betfair,10.0,Betfair,17.0,Betfair,9.5,Betfair,5.5,Betfair,7.0,Betfair,13.0,Betfair,13.0,Betfair,8.5,Betfair,9.5,Betfair,18.0,Betfair,26.0,Betfair,19.0,Betfair,23.0,Betfair,34.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.25,1.6,Betano.br,1.7,2.07,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,21.0,10.75,1.05,Betano.br,14.0,7.9,1.12,Betano.br,6.3,4.8,1.38,Betano.br,1.7,4.0,3.9,Betano.br,1.25,5.9,8.25,Betano.br,1.08,9.5,16.5,,,,,,,,,,,0.38,0.62,,,,,,,,,,,12.0,21.0,4.0,6.0,7.0,11.0,1.0,4.0,,,,,,,,,,,4.0,10.0,12.0,9.0,18.0,20.0,8.0,12.0,1.0,3.0,,,1.0,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,,0.41,0.59,8.0,9.0,3.0,1.0,4.0,6.0,,,1.0,4.0,0.0,2.0,4.0,7.0,1.0,0.0,1.0,2.0,,,,,,,0.35,0.65,4.0,12.0,1.0,5.0,3.0,5.0,,,3.0,6.0,1.0,1.0,,,4.0,5.0,0.0,0.0,4.0,1.0
MLo7hULa,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,12/05/2024,12:30,Round 35,Bravo,Mura,1,1,[89],[51],Betfair,2.4,2.1,4.5,Betfair,1.75,3.25,4.1,Betano.br,1.42,2.65,Betano.br,2.87,1.37,Betano.br,6.3,1.09,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.83,1.83,Betano.br,1.25,1.26,1.98,Betfair,8.0,Betfair,10.0,Betfair,18.0,Betfair,51.0,Betfair,5.5,Betfair,5.5,Betfair,11.0,Betfair,26.0,Betfair,7.0,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,12.0,Betfair,12.0,Betfair,21.0,Betfair,61.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.78,1.95,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,14.5,8.5,1.11,Betano.br,6.8,5.1,1.34,Betano.br,3.25,3.6,1.98,Betano.br,1.25,5.4,9.5,Betano.br,1.07,9.5,21.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,20.0,7.0,7.0,3.0,6.0,3.0,7.0,1.0,,,,,,,,,,,10.0,2.0,7.0,15.0,33.0,21.0,14.0,6.0,2.0,2.0,,,1.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,0.54,0.46,8.0,2.0,1.0,1.0,3.0,1.0,,,3.0,0.0,1.0,0.0,10.0,2.0,1.0,1.0,1.0,1.0,,,,,,,0.6,0.4,12.0,5.0,6.0,2.0,3.0,2.0,,,7.0,2.0,1.0,2.0,,,4.0,4.0,0.0,0.0,1.0,5.0
xYqeeWys,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,12/05/2024,10:00,Round 35,Celje,Koper,2,1,"[15, 75]",[27],Betfair,2.1,2.25,5.0,Betfair,1.5,4.0,4.75,Betano.br,1.34,3.0,Betano.br,2.5,1.5,Betano.br,5.3,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.7,2.0,Betano.br,1.19,1.22,2.3,Betfair,10.0,Betfair,13.0,Betfair,26.0,Betfair,61.0,Betfair,6.5,Betfair,6.5,Betfair,13.0,Betfair,36.0,Betfair,6.5,Betfair,6.5,Betfair,11.0,Betfair,36.0,Betfair,9.5,Betfair,9.5,Betfair,17.0,Betfair,51.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.98,1.78,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,10.0,7.1,1.18,Betano.br,4.9,4.65,1.5,Betano.br,2.6,3.7,2.3,Betano.br,1.19,6.2,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,9.0,15.0,3.0,4.0,4.0,4.0,2.0,7.0,,,,,,,,,,,3.0,4.0,16.0,16.0,25.0,19.0,14.0,16.0,1.0,3.0,,,2.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.51,0.49,3.0,9.0,2.0,1.0,0.0,4.0,,,0.0,2.0,1.0,0.0,10.0,5.0,1.0,0.0,0.0,1.0,,,,,,,0.51,0.49,6.0,6.0,1.0,3.0,4.0,0.0,,,3.0,2.0,0.0,3.0,,,4.0,11.0,1.0,0.0,3.0,0.0
dv2SaCTP,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,11/05/2024,15:15,Round 35,Maribor,O. Ljubljana,2,1,"[15, 66]",[57],Betfair,2.25,2.3,4.33,Betfair,1.73,3.7,3.7,Betano.br,1.32,3.1,Betano.br,2.35,1.55,Betano.br,4.8,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.53,2.3,Betano.br,1.25,1.27,1.98,Betfair,12.0,Betfair,13.0,Betfair,20.0,Betfair,41.0,Betfair,7.5,Betfair,6.0,Betfair,11.0,Betfair,23.0,Betfair,8.0,Betfair,6.5,Betfair,9.5,Betfair,23.0,Betfair,12.0,Betfair,10.0,Betfair,15.0,Betfair,34.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,2.2,1.62,Betano.br,1.8,1.95,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,12.5,8.25,1.12,Betano.br,6.3,5.2,1.35,Betano.br,3.15,3.75,1.98,Betano.br,1.25,5.6,9.0,Betano.br,1.07,9.75,19.5,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,12.0,20.0,3.0,5.0,3.0,10.0,6.0,5.0,,,,,,,,,,,5.0,2.0,19.0,15.0,12.0,18.0,11.0,18.0,2.0,4.0,,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,0.58,0.42,5.0,15.0,1.0,3.0,1.0,8.0,,,3.0,1.0,0.0,1.0,8.0,6.0,3.0,0.0,3.0,0.0,,,,,,,0.45,0.55,7.0,5.0,2.0,2.0,2.0,2.0,,,2.0,1.0,2.0,3.0,,,3.0,12.0,1.0,1.0,1.0,1.0
GOrafjim,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,11/05/2024,12:30,Round 35,Domzale,Radomlje,1,1,[11],[35],Betfair,3.75,2.2,2.6,Betfair,3.25,3.5,1.95,Betano.br,1.35,2.95,Betano.br,2.5,1.5,Betano.br,5.3,1.12,Betfair,1.01,11.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.6,1.44,Betano.br,4.35,1.18,Betfair,1.57,2.25,Betano.br,1.82,1.27,1.32,Betfair,11.0,Betfair,7.5,Betfair,9.0,Betfair,15.0,Betfair,10.0,Betfair,6.0,Betfair,7.0,Betfair,11.0,Betfair,15.0,Betfair,9.5,Betfair,9.0,Betfair,15.0,Betfair,34.0,Betfair,20.0,Betfair,21.0,Betfair,34.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.8,1.95,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,16.0,8.5,1.1,Betano.br,7.3,5.1,1.32,Betano.br,1.82,3.9,3.55,Betano.br,1.29,5.6,7.4,Betano.br,1.1,9.0,15.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,14.0,19.0,4.0,5.0,6.0,7.0,4.0,7.0,,,,,,,,,,,2.0,7.0,18.0,19.0,20.0,27.0,18.0,17.0,3.0,3.0,,,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,0.55,0.45,7.0,11.0,3.0,2.0,2.0,4.0,,,2.0,3.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,2.0,,,,,,,0.47,0.53,7.0,8.0,1.0,3.0,4.0,3.0,,,0.0,4.0,2.0,2.0,,,11.0,10.0,1.0,1.0,3.0,1.0
Aor3gA6g,SLOVENIA,2023-2024,Prva Liga 2023 2024,SLOVENIA 1,11/05/2024,10:00,Round 35,Rogaska,Aluminij,1,4,[63],"[23, 36, 42, 45]",Betfair,2.3,2.1,5.0,Betfair,1.7,3.4,4.33,Betano.br,1.42,2.67,Betano.br,2.75,1.39,Betano.br,6.0,1.1,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betano.br,5.3,1.12,Betfair,1.83,1.83,Betano.br,1.22,1.26,2.07,Betfair,8.0,Betfair,10.0,Betfair,19.0,Betfair,51.0,Betfair,5.5,Betfair,5.5,Betfair,11.0,Betfair,34.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,41.0,Betfair,11.0,Betfair,11.0,Betfair,21.0,Betfair,61.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,2.3,1.57,Betano.br,1.72,2.05,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,Betano.br,13.0,8.0,1.13,Betano.br,6.2,4.9,1.38,Betano.br,3.0,3.6,2.07,Betano.br,1.22,5.7,10.5,Betano.br,1.05,10.0,24.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,26.0,10.0,7.0,5.0,10.0,4.0,9.0,1.0,,,,,,,,,,,8.0,3.0,18.0,15.0,26.0,16.0,15.0,17.0,3.0,4.0,,,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,0.52,0.48,7.0,8.0,2.0,5.0,3.0,2.0,,,2.0,2.0,1.0,0.0,8.0,5.0,0.0,0.0,1.0,2.0,,,,,,,0.6,0.4,19.0,2.0,5.0,0.0,7.0,2.0,,,6.0,1.0,2.0,4.0,,,7.0,12.0,0.0,1.0,0.0,4.0
