Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KtFdIqKM,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,AmaZulu,Orlando Pirates,0,4,[],"[5, 36, 40, 80]",Betano.br,5.6,2.1,2.22,Betfair,5.0,3.5,1.6,Betano.br,1.47,2.5,Betano.br,3.05,1.33,Betano.br,6.8,1.07,Betfair,1.07,7.0,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betano.br,6.4,1.08,Betfair,2.25,1.57,Betano.br,2.3,1.24,1.16,Betfair,6.0,Betfair,4.5,Betfair,6.0,Betfair,11.0,Betfair,9.5,Betfair,6.0,Betfair,7.0,Betfair,13.0,Betfair,21.0,Betfair,15.0,Betfair,18.0,Betfair,31.0,Betfair,81.0,Betfair,51.0,Betfair,71.0,Betfair,101.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,14.0,6.3,1.16,Betano.br,2.3,3.4,2.75,Betano.br,1.44,4.55,5.7,Betano.br,1.14,7.5,12.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,8.0,20.0,1.0,7.0,7.0,13.0,,,,,,,,,,,,,1.0,3.0,13.0,10.0,9.0,17.0,8.0,10.0,1.0,1.0,,,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.42,0.58,3.0,11.0,0.0,5.0,3.0,6.0,,,0.0,2.0,1.0,1.0,5.0,8.0,2.0,2.0,2.0,0.0,,,,,,,0.42,0.58,5.0,9.0,1.0,2.0,4.0,7.0,,,1.0,1.0,,,,,3.0,2.0,0.0,1.0,1.0,1.0
QsMmK5kA,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,Chippa Utd.,Golden Arrows,0,0,[],[],Betano.br,2.6,2.0,4.4,Betfair,1.91,3.1,3.8,Betano.br,1.5,2.42,Betano.br,3.1,1.32,Betano.br,6.8,1.07,Betfair,1.06,7.5,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.5,1.17,Betano.br,6.5,1.08,Betfair,2.0,1.73,Betfair,1.2,1.3,1.73,Betfair,6.5,Betfair,8.0,Betfair,15.0,Betfair,46.0,Betfair,5.0,Betfair,5.0,Betfair,11.0,Betfair,34.0,Betfair,7.0,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,14.0,Betfair,14.0,Betfair,26.0,Betfair,91.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,17.5,9.25,1.08,Betano.br,8.25,5.5,1.27,Betano.br,3.7,3.6,1.85,Betano.br,1.27,5.1,9.5,Betano.br,1.07,9.25,22.0,,0.0,0.0,0.0,,,,,,,,,,,0.32,0.68,,,,,,,,,,,6.0,3.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,0.0,2.0,4.0,19.0,15.0,32.0,19.0,4.0,1.0,0.0,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.41,0.59,5.0,2.0,2.0,1.0,3.0,1.0,,,0.0,1.0,,,9.0,3.0,0.0,0.0,1.0,2.0,,,,,,,0.23,0.77,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,1.0,1.0,0.0,,,10.0,1.0,0.0,1.0,0.0,0.0
E3E0H3ZS,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,Kaizer Chiefs,Cape Town City,0,1,[],[9],Betano.br,2.5,2.05,4.6,Betfair,1.85,3.25,3.9,Betano.br,1.47,2.52,Betano.br,2.95,1.35,Betano.br,6.5,1.08,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betano.br,5.9,1.1,Betfair,1.95,1.75,Betfair,1.17,1.25,1.83,Betfair,6.5,Betfair,9.0,Betfair,17.0,Betfair,46.0,Betfair,5.0,Betfair,5.5,Betfair,12.0,Betfair,31.0,Betfair,6.5,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,13.0,Betfair,14.0,Betfair,23.0,Betfair,81.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,15.5,8.75,1.1,Betano.br,7.4,5.3,1.31,Betano.br,3.45,3.6,1.93,Betano.br,1.24,5.3,10.25,Betano.br,1.06,9.75,23.0,,0.0,0.0,0.0,,,,,,,,,,,0.66,0.34,,,,,,,,,,,21.0,7.0,3.0,4.0,18.0,3.0,,,,,,,,,,,,,9.0,3.0,7.0,10.0,22.0,26.0,10.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.66,0.34,8.0,3.0,2.0,2.0,6.0,1.0,,,2.0,1.0,,,4.0,3.0,0.0,1.0,1.0,2.0,,,,,,,0.66,0.34,13.0,4.0,1.0,2.0,12.0,2.0,,,7.0,2.0,0.0,2.0,,,6.0,4.0,0.0,0.0,2.0,1.0
CvfyB1Cd,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,Richards Bay,Royal AM,0,0,[],[],Betano.br,2.37,2.02,5.2,Betfair,1.67,3.3,5.0,Betano.br,1.52,2.37,Betano.br,3.25,1.29,Betano.br,7.2,1.06,Betfair,1.06,7.5,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.8,1.14,Betano.br,7.0,1.07,Betfair,2.2,1.6,Betfair,1.13,1.25,2.0,Betfair,6.0,Betfair,10.0,Betfair,21.0,Betfair,71.0,Betfair,4.5,Betfair,5.5,Betfair,14.0,Betfair,51.0,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,67.0,Betfair,11.0,Betfair,13.0,Betfair,31.0,Betfair,101.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,14.5,8.25,1.11,Betano.br,6.7,4.85,1.36,Betano.br,3.1,3.4,2.12,Betano.br,1.19,5.8,12.5,Betano.br,1.04,10.5,28.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,4.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,7.0,0.0,15.0,7.0,12.0,9.0,7.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.46,0.54,1.0,0.0,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,,,,,,,0.52,0.48,3.0,1.0,0.0,0.0,3.0,1.0,,,6.0,0.0,0.0,1.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0
GC0SCNsp,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,Sekhukhune,Supersport Utd,1,0,[19],[],Betano.br,4.8,1.91,2.65,Betfair,4.0,2.9,1.95,Betano.br,1.57,2.27,Betano.br,3.4,1.27,Betano.br,7.5,1.06,Betfair,1.08,6.5,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.2,1.13,Betano.br,7.4,1.06,Betfair,2.2,1.6,Betfair,1.73,1.33,1.17,Betfair,5.5,Betfair,5.0,Betfair,7.0,Betfair,15.0,Betfair,7.5,Betfair,5.0,Betfair,7.5,Betfair,17.0,Betfair,15.0,Betfair,11.0,Betfair,15.0,Betfair,31.0,Betfair,46.0,Betfair,36.0,Betfair,61.0,Betfair,101.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,25.0,9.75,1.05,Betano.br,10.75,5.2,1.24,Betano.br,1.85,3.45,3.8,Betano.br,1.26,5.4,8.75,Betano.br,1.07,9.5,18.5,,,,,,,,,,,0.3,0.7,,,,,,,,,,,2.0,8.0,1.0,3.0,1.0,5.0,,,,,,,,,,,,,0.0,10.0,20.0,18.0,18.0,30.0,17.0,17.0,1.0,1.0,,,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.56,2.0,2.0,1.0,0.0,1.0,2.0,,,0.0,3.0,,,7.0,8.0,1.0,3.0,0.0,0.0,,,,,,,0.16,0.84,0.0,6.0,0.0,3.0,0.0,3.0,,,0.0,7.0,1.0,1.0,,,10.0,9.0,0.0,0.0,3.0,0.0
QsrJZpkc,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,Stellenbosch,TS Galaxy,2,1,"[16, 49]",[48],Betano.br,2.8,1.95,4.15,Betfair,2.05,2.9,3.6,Betano.br,1.52,2.37,Betano.br,3.15,1.31,Betano.br,7.0,1.07,Betfair,1.06,7.5,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.5,1.17,Betano.br,6.6,1.08,Betfair,2.0,1.73,Betfair,1.22,1.33,1.62,Betfair,6.0,Betfair,7.5,Betfair,14.0,Betfair,36.0,Betfair,5.5,Betfair,5.0,Betfair,10.0,Betfair,26.0,Betfair,7.5,Betfair,7.5,Betfair,13.0,Betfair,41.0,Betfair,15.0,Betfair,15.0,Betfair,26.0,Betfair,76.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,20.0,10.0,1.06,Betano.br,9.75,5.8,1.23,Betano.br,4.2,3.6,1.75,Betano.br,1.29,5.0,9.0,Betano.br,1.07,9.0,21.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,14.0,9.0,6.0,4.0,8.0,5.0,,,,,,,,,,,,,2.0,1.0,17.0,6.0,18.0,23.0,6.0,17.0,3.0,2.0,,,0.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.5,0.5,8.0,4.0,4.0,2.0,4.0,2.0,,,1.0,0.0,1.0,2.0,2.0,10.0,0.0,0.0,2.0,3.0,,,,,,,0.38,0.62,6.0,5.0,2.0,2.0,4.0,3.0,,,1.0,1.0,2.0,0.0,,,4.0,7.0,0.0,0.0,1.0,1.0
YmeXBscj,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,20/05/2023,10:00,Round 30,Swallows,Marumo Gallants,2,0,"[45, 81]",[],Betano.br,4.1,1.85,3.1,Betfair,3.1,2.8,2.3,Betano.br,1.6,2.18,Betano.br,3.55,1.26,Betano.br,7.8,1.05,Betfair,1.08,6.5,Betfair,1.5,2.4,Betfair,2.75,1.4,Betfair,5.5,1.11,Betano.br,7.7,1.05,Betfair,2.2,1.6,Betfair,1.5,1.36,1.3,Betfair,5.0,Betfair,5.0,Betfair,8.5,Betfair,20.0,Betfair,6.5,Betfair,5.0,Betfair,8.5,Betfair,21.0,Betfair,11.0,Betfair,10.0,Betfair,14.0,Betfair,41.0,Betfair,31.0,Betfair,26.0,Betfair,46.0,Betfair,101.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,21.0,8.75,1.08,Betano.br,8.5,4.55,1.33,Betano.br,1.6,3.7,5.1,Betano.br,1.17,6.5,12.5,Betano.br,1.04,11.25,25.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,9.0,20.0,3.0,4.0,6.0,16.0,,,,,,,,,,,,,4.0,12.0,14.0,12.0,13.0,20.0,12.0,14.0,2.0,1.0,,,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,0.51,0.49,6.0,11.0,1.0,2.0,5.0,9.0,,,2.0,7.0,1.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,,,,,,,0.35,0.65,3.0,9.0,2.0,2.0,1.0,7.0,,,2.0,5.0,1.0,1.0,,,7.0,7.0,0.0,0.0,2.0,1.0
86BhJP4G,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,16/05/2023,14:30,Round 30,Mamelodi Sundowns,Durban City,1,1,[24],[71],Betano.br,2.4,2.1,4.6,Betfair,1.6,3.6,5.0,Betano.br,1.42,2.65,Betano.br,2.8,1.38,Betano.br,6.1,1.09,Betfair,1.05,10.0,Betfair,1.29,3.5,Betfair,1.9,1.87,Betfair,3.4,1.3,Betfair,6.5,1.1,Betfair,1.87,1.87,Betfair,1.13,1.22,2.2,Betfair,8.5,Betfair,12.0,Betfair,23.0,Betfair,61.0,Betfair,5.5,Betfair,6.0,Betfair,13.0,Betfair,41.0,Betfair,6.0,Betfair,6.5,Betfair,12.0,Betfair,46.0,Betfair,10.0,Betfair,11.0,Betfair,21.0,Betfair,61.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,14.0,8.25,1.11,Betano.br,6.7,5.0,1.35,Betano.br,3.2,3.55,2.02,Betano.br,1.22,5.7,10.5,Betano.br,1.06,10.0,23.0,,0.0,0.0,0.0,,,,,,,,,,,0.71,0.29,,,,,,,,,,,4.0,12.0,2.0,4.0,2.0,8.0,,,,,,,,,,,,,1.0,8.0,11.0,8.0,,,10.0,10.0,1.0,2.0,,,0.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.74,0.26,2.0,4.0,1.0,1.0,1.0,3.0,,,0.0,3.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,,,,,,,0.68,0.32,2.0,8.0,1.0,3.0,1.0,5.0,,,1.0,5.0,0.0,1.0,,,5.0,4.0,0.0,3.0,2.0,1.0
WMDLGWrI,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,13/05/2023,10:00,Round 29,Cape Town City,Richards Bay,2,0,"[50, 81]",[],Betano.br,2.62,1.93,4.7,Betfair,1.83,3.0,4.0,Betano.br,1.53,2.32,Betano.br,3.25,1.29,Betano.br,7.2,1.06,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betano.br,7.0,1.07,Betfair,2.0,1.7,Betfair,1.17,1.3,1.8,Betfair,6.0,Betfair,8.5,Betfair,17.0,Betfair,51.0,Betfair,5.0,Betfair,5.5,Betfair,12.0,Betfair,34.0,Betfair,7.0,Betfair,7.0,Betfair,14.0,Betfair,46.0,Betfair,13.0,Betfair,14.0,Betfair,26.0,Betfair,91.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,18.5,9.5,1.08,Betano.br,8.75,5.5,1.26,Betano.br,3.8,3.5,1.85,Betano.br,1.24,5.2,10.5,Betano.br,1.06,9.75,24.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,6.0,7.0,4.0,3.0,2.0,4.0,,,,,,,,,,,,,5.0,4.0,17.0,24.0,8.0,24.0,24.0,17.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.63,0.37,2.0,2.0,2.0,1.0,0.0,1.0,,,3.0,3.0,1.0,0.0,14.0,7.0,0.0,0.0,1.0,2.0,,,,,,,0.41,0.59,4.0,5.0,2.0,2.0,2.0,3.0,,,2.0,1.0,2.0,2.0,1.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0
OIyka4Dp,SOUTH-AFRICA,2022-2023,Betway Premiership 2022 2023,SOUTH AFRICA 1,13/05/2023,10:00,Round 29,Durban City,Stellenbosch,1,0,[40],[],Betano.br,2.92,1.93,4.0,Betfair,2.25,2.88,3.0,Betano.br,1.53,2.35,Betano.br,3.25,1.3,Betano.br,7.2,1.06,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betano.br,6.9,1.07,Betfair,1.95,1.73,Betfair,1.3,1.33,1.53,Betfair,6.5,Betfair,7.5,Betfair,12.0,Betfair,31.0,Betfair,5.5,Betfair,5.0,Betfair,9.5,Betfair,23.0,Betfair,8.5,Betfair,7.5,Betfair,12.0,Betfair,36.0,Betfair,18.0,Betfair,17.0,Betfair,31.0,Betfair,76.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,22.0,10.5,1.05,Betano.br,10.75,6.2,1.2,Betano.br,4.6,3.75,1.65,Betano.br,1.34,4.6,8.0,Betano.br,1.09,8.5,19.5,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,6.0,6.0,3.0,1.0,3.0,5.0,,,,,,,,,,,,,5.0,5.0,12.0,17.0,24.0,35.0,17.0,9.0,1.0,2.0,,,0.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.63,0.37,3.0,2.0,2.0,0.0,1.0,2.0,,,3.0,3.0,,,4.0,6.0,0.0,1.0,0.0,1.0,,,,,,,0.33,0.67,3.0,4.0,1.0,1.0,2.0,3.0,,,2.0,2.0,1.0,2.0,,,13.0,3.0,0.0,2.0,1.0,1.0
