Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
IgApgXOO,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,23/11/2024,17:00,Play Offs,Racing Club (Arg),Cruzeiro (Bra),3,1,"[15, 20, 90]",[52],bet365,3.1,1.95,4.0,bet365,2.35,3.0,3.3,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.33,1.36,1.57,bet365,6.5,bet365,8.0,bet365,15.0,bet365,34.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,21.0,bet365,23.0,bet365,41.0,bet365,67.0,Estrelabet,11.0,1.02,,0.0,0.0,bet365,5.0,1.17,bet365,3.9,1.24,bet365,2.35,1.58,bet365,1.33,3.3,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,28.0,10.0,1.02,Estrelabet,12.0,6.66,1.16,bet365,5.0,3.75,1.57,Estrelabet,1.3,5.0,8.0,Estrelabet,1.07,8.5,26.0,BetEsporte,1.01,11.0,35.0,1.39,1.43,,,,,,,,,0.3,0.7,0.66,0.84,,,0.52,0.68,,,0.25,0.4,7.0,11.0,5.0,5.0,2.0,2.0,0.0,4.0,6.0,6.0,1.0,5.0,3.0,3.0,0.0,0.0,15.0,15.0,1.0,5.0,12.0,12.0,12.0,25.0,12.0,12.0,4.0,3.0,,,2.0,1.0,4.0,2.0,0.63,0.67,,,23.0,15.0,13.0,7.0,,,,,0.8,0.38,,,,,0.32,0.68,2.0,5.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,0.0,0.59,1.05,,,,,0.28,0.72,5.0,6.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0,,,8.0,6.0,1.0,1.0,3.0,2.0
nkz7D7m4,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,31/10/2024,21:30,Play Offs,Racing Club (Arg),Corinthians (Bra),2,1,"[36, 39]",[6],bet365,2.75,1.95,4.75,bet365,2.05,3.1,4.2,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.22,1.36,1.73,bet365,6.5,bet365,9.0,bet365,19.0,bet365,41.0,bet365,6.0,bet365,6.0,bet365,15.0,bet365,41.0,bet365,8.5,bet365,9.5,bet365,19.0,bet365,51.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,67.0,Estrelabet,8.0,1.06,Estrelabet,7.5,1.07,bet365,4.0,1.23,bet365,3.1,1.35,bet365,2.05,1.8,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.25,1.07,Betano.br,9.5,5.8,1.25,bet365,4.0,3.6,1.73,Betano.br,1.27,5.2,10.25,Betano.br,1.06,10.0,25.0,,0.0,0.0,0.0,1.35,0.78,,,,,,,,,0.43,0.57,0.73,0.79,,,,,,,,,7.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2.0,3.0,11.0,17.0,18.0,20.0,17.0,11.0,2.0,3.0,,,1.0,2.0,1.0,2.0,,,,,,,13.0,11.0,,,,,0.88,0.53,,,,,0.57,0.43,3.0,3.0,3.0,2.0,0.0,0.0,,,1.0,1.0,0.0,1.0,6.0,9.0,1.0,0.0,1.0,1.0,0.47,0.25,,,,,0.29,0.71,4.0,2.0,1.0,0.0,2.0,1.0,,,1.0,2.0,2.0,2.0,,,11.0,2.0,0.0,2.0,0.0,1.0
bTgCiQQp,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,30/10/2024,19:00,Play Offs,Lanus (Arg),Cruzeiro (Bra),0,1,[],[45],bet365,3.25,1.83,4.33,bet365,2.4,2.88,3.4,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.14,5.5,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57,bet365,1.3,1.4,1.53,bet365,5.5,bet365,7.0,bet365,15.0,bet365,41.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,23.0,bet365,26.0,bet365,41.0,bet365,81.0,Estrelabet,11.0,1.02,,0.0,0.0,bet365,5.5,1.15,bet365,4.15,1.22,bet365,2.38,1.55,bet365,1.33,3.3,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,28.0,12.0,1.04,Betano.br,13.5,6.8,1.16,bet365,5.5,3.75,1.53,Betano.br,1.31,4.65,9.5,Betano.br,1.07,9.5,25.0,,0.0,0.0,0.0,0.97,1.49,,,,,,,,,0.42,0.58,0.77,0.81,,,,,,,,,16.0,14.0,4.0,4.0,8.0,9.0,4.0,1.0,,,,,,,,,,,9.0,4.0,5.0,9.0,28.0,12.0,9.0,5.0,2.0,1.0,,,3.0,2.0,3.0,4.0,,,,,,,9.0,11.0,,,,,0.54,1.05,,,,,0.34,0.66,7.0,9.0,4.0,3.0,2.0,5.0,,,3.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0,4.0,0.43,0.44,,,,,0.5,0.5,9.0,5.0,0.0,1.0,6.0,4.0,,,6.0,2.0,1.0,1.0,,,6.0,3.0,1.0,2.0,1.0,0.0
vPWbFTIi,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,24/10/2024,21:30,Play Offs,Corinthians (Bra),Racing Club (Arg),2,2,"[11, 33]","[6, 54]",bet365,2.4,2.1,5.5,bet365,1.73,3.5,5.25,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.1,1.67,bet365,1.17,1.29,2.05,bet365,8.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,5.5,bet365,7.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,9.0,bet365,19.0,bet365,51.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,2.35,1.58,bet365,1.7,2.1,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,15.5,8.75,1.11,Betano.br,7.0,5.0,1.36,bet365,3.1,3.5,2.05,Betano.br,1.18,6.2,14.5,Betano.br,1.04,11.75,32.0,Betano.br,1.01,16.0,40.0,1.22,0.57,,,,,,,,,0.59,0.41,0.78,0.72,,,,,,,,,13.0,8.0,4.0,4.0,6.0,3.0,3.0,1.0,,,,,,,,,,,2.0,4.0,15.0,8.0,17.0,25.0,8.0,15.0,1.0,3.0,,,0.0,2.0,2.0,2.0,,,,,,,6.0,11.0,,,,,0.53,0.29,,,,,0.59,0.41,5.0,5.0,3.0,2.0,1.0,2.0,,,2.0,3.0,,,4.0,6.0,0.0,1.0,1.0,1.0,0.69,0.28,,,,,0.59,0.41,8.0,3.0,1.0,2.0,5.0,1.0,,,0.0,1.0,1.0,3.0,,,4.0,9.0,0.0,1.0,1.0,1.0
UD3tcn3N,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,23/10/2024,19:00,Play Offs,Cruzeiro (Bra),Lanus (Arg),1,1,[50],[73],bet365,2.3,2.05,6.5,bet365,1.62,3.6,6.5,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.38,1.53,bet365,1.11,1.29,2.25,bet365,7.0,bet365,12.0,bet365,29.0,bet365,67.0,bet365,5.0,bet365,7.0,bet365,21.0,bet365,51.0,bet365,6.5,bet365,9.0,bet365,23.0,bet365,67.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,81.0,bet365,6.25,1.12,bet365,5.25,1.16,bet365,2.85,1.4,bet365,2.15,1.68,bet365,1.63,2.25,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,15.0,8.25,1.12,Betano.br,6.5,4.75,1.4,bet365,2.88,3.4,2.25,Betano.br,1.14,6.7,18.0,Betano.br,1.03,13.0,37.0,,0.0,0.0,0.0,0.88,0.73,,,,,,,,,0.62,0.38,0.83,0.69,,,,,,,,,8.0,13.0,3.0,4.0,4.0,6.0,1.0,3.0,,,,,,,,,,,3.0,3.0,12.0,12.0,27.0,15.0,12.0,12.0,1.0,3.0,,,1.0,2.0,3.0,2.0,,,,,,,7.0,5.0,,,,,0.09,0.07,,,,,0.65,0.35,5.0,3.0,0.0,0.0,4.0,3.0,,,1.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,0.0,0.0,0.79,0.66,,,,,0.59,0.41,3.0,10.0,3.0,4.0,0.0,3.0,,,2.0,3.0,1.0,2.0,,,4.0,8.0,0.0,0.0,3.0,2.0
Sjbvvuo1,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,26/09/2024,21:30,Play Offs,Cruzeiro (Bra),Libertad Asuncion (Par),1,1,[12],[72],bet365,2.1,2.1,7.0,bet365,1.55,4.0,5.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.25,1.57,bet365,1.14,1.22,2.38,bet365,8.5,bet365,13.0,bet365,29.0,bet365,67.0,bet365,5.5,bet365,8.0,bet365,21.0,bet365,51.0,bet365,6.5,bet365,9.0,bet365,23.0,bet365,51.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,81.0,bet365,5.25,1.16,bet365,4.25,1.21,bet365,2.5,1.5,bet365,2.0,1.85,bet365,1.53,2.43,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.5,7.3,1.17,Betano.br,5.3,4.5,1.5,bet365,2.6,3.4,2.38,Betano.br,1.13,7.1,18.0,Betano.br,1.03,13.0,37.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,5.0,16.0,1.0,4.0,4.0,12.0,,,,,,,,,,,,,4.0,2.0,14.0,4.0,14.0,28.0,5.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.61,0.39,4.0,5.0,1.0,0.0,3.0,5.0,,,3.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,,,,,,,0.31,0.69,1.0,11.0,0.0,4.0,1.0,7.0,,,1.0,1.0,1.0,1.0,1.0,0.0,2.0,9.0,0.0,0.0,3.0,0.0
IaoH9xzg,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,26/09/2024,21:30,Play Offs,Racing Club (Arg),Athletico-PR (Bra),4,1,"[1, 23, 42, 77]",[47],bet365,2.1,2.2,6.5,bet365,1.5,4.2,6.5,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.36,3.0,bet365,2.1,1.7,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.2,1.62,bet365,1.11,1.22,2.5,bet365,9.0,bet365,13.0,bet365,34.0,bet365,67.0,bet365,5.0,bet365,8.0,bet365,21.0,bet365,51.0,bet365,6.5,bet365,8.0,bet365,23.0,bet365,51.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,81.0,bet365,5.25,1.16,bet365,4.25,1.21,bet365,2.6,1.48,bet365,1.95,1.9,bet365,1.48,2.6,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.5,7.3,1.17,Betano.br,5.2,4.45,1.5,bet365,2.6,3.2,2.5,Betano.br,1.14,7.0,17.0,Betano.br,1.03,12.5,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,13.0,14.0,6.0,3.0,7.0,11.0,,,,,,,,,,,,,4.0,2.0,13.0,16.0,29.0,22.0,15.0,12.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.52,0.48,6.0,4.0,3.0,0.0,3.0,4.0,,,1.0,0.0,2.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,,,,,,,0.34,0.66,7.0,10.0,3.0,3.0,4.0,7.0,,,3.0,2.0,0.0,1.0,,,9.0,7.0,0.0,2.0,2.0,2.0
ADGL9WAa,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,25/09/2024,21:30,Play Offs,Ind. Medellin (Col),Lanus (Arg),1,1,[61],[39],bet365,3.25,1.95,3.75,bet365,2.5,3.0,3.1,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.36,1.36,1.5,bet365,7.0,bet365,7.5,bet365,13.0,bet365,34.0,bet365,6.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,11.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,23.0,bet365,23.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.38,1.55,bet365,1.4,2.85,bet365,1.14,5.75,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,Betano.br,30.0,13.0,1.03,Betano.br,15.5,7.3,1.14,bet365,5.5,4.0,1.5,Betano.br,1.39,4.35,7.5,Betano.br,1.1,8.5,19.0,Betano.br,1.02,14.0,35.0,,,,,,,,,,,0.69,0.31,,,,,,,,,,,16.0,9.0,5.0,4.0,11.0,5.0,,,,,,,,,,,,,5.0,2.0,14.0,14.0,12.0,35.0,13.0,14.0,3.0,3.0,,,0.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.69,0.31,6.0,5.0,2.0,2.0,4.0,3.0,,,3.0,1.0,2.0,1.0,11.0,4.0,0.0,1.0,1.0,2.0,,,,,,,0.69,0.31,10.0,4.0,3.0,2.0,7.0,2.0,,,2.0,1.0,1.0,2.0,,,2.0,10.0,0.0,0.0,2.0,2.0
CEx1XaTI,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,24/09/2024,21:30,Play Offs,Corinthians (Bra),Fortaleza (Bra),3,0,"[55, 59, 81]",[],bet365,2.63,2.1,4.5,bet365,1.95,3.4,4.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.91,1.8,bet365,1.22,1.3,1.8,bet365,8.5,bet365,10.0,bet365,17.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,15.0,bet365,34.0,bet365,8.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.55,1.28,bet365,2.75,1.43,bet365,1.98,1.88,bet365,1.26,3.7,Estrelabet,1.08,7.0,Estrelabet,1.04,9.0,,0.0,0.0,,0.0,0.0,Betano.br,18.5,9.75,1.08,Betano.br,8.5,5.6,1.27,bet365,3.6,3.75,1.8,Betano.br,1.27,5.3,9.5,Betano.br,1.07,9.75,23.0,Betano.br,1.02,15.0,37.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,11.0,13.0,5.0,4.0,6.0,9.0,,,,,,,,,,,,,3.0,4.0,16.0,12.0,35.0,25.0,12.0,12.0,1.0,4.0,,,0.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,0.57,0.43,6.0,3.0,1.0,1.0,5.0,2.0,,,2.0,1.0,0.0,2.0,7.0,10.0,0.0,3.0,1.0,1.0,,,,,,,0.35,0.65,5.0,10.0,4.0,3.0,1.0,7.0,,,1.0,3.0,1.0,2.0,,,5.0,2.0,0.0,1.0,3.0,1.0
pnm9Bb5t,SOUTH-AMERICA,2024,Copa Sudamericana 2024,COPA SUDAMERICANA,19/09/2024,21:30,Play Offs,Athletico-PR (Bra),Racing Club (Arg),1,0,[38],[],bet365,2.63,2.2,4.0,bet365,2.0,3.3,4.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.22,1.33,1.8,bet365,11.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,8.0,bet365,6.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,17.0,bet365,15.0,bet365,26.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.03,1.83,bet365,1.28,3.55,bet365,1.11,6.6,Estrelabet,1.05,8.5,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.0,1.08,Betano.br,8.75,5.8,1.26,bet365,3.6,4.0,1.8,Betano.br,1.28,5.3,9.0,Betano.br,1.08,9.75,21.0,Betano.br,1.02,15.0,35.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,12.0,14.0,6.0,3.0,6.0,11.0,,,,,,,,,,,,,4.0,6.0,17.0,9.0,19.0,26.0,9.0,14.0,2.0,1.0,,,0.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,0.39,0.61,4.0,8.0,3.0,1.0,1.0,7.0,,,1.0,3.0,2.0,0.0,3.0,6.0,0.0,1.0,1.0,2.0,,,,,,,0.45,0.55,8.0,6.0,3.0,2.0,5.0,4.0,,,3.0,3.0,0.0,1.0,,,6.0,8.0,0.0,1.0,2.0,3.0
