Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
fDGKB9JI,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,06/04/2024,17:00,Final,Ath Bilbao,Mallorca,1,1,[50],[21],bet365,2.5,1.91,6.5,bet365,1.75,3.4,5.25,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.62,2.2,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.63,1.44,bet365,1.17,1.3,2.0,bet365,6.0,bet365,9.0,bet365,23.0,bet365,67.0,bet365,4.5,bet365,7.0,bet365,19.0,bet365,51.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,126.0,,0.0,0.0,bet365,6.6,1.11,bet365,3.3,1.33,bet365,2.38,1.55,bet365,1.7,2.1,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,18.0,9.0,1.09,Betano.br,7.9,5.0,1.33,bet365,3.4,3.25,2.0,Betano.br,1.17,6.1,15.5,Betano.br,1.03,12.0,35.0,,0.0,0.0,0.0,2.19,0.56,,,,,,,,,0.69,0.31,,,,,,,,,,,24.0,12.0,7.0,4.0,11.0,7.0,6.0,1.0,,,,,,,,,,,8.0,4.0,23.0,18.0,25.0,14.0,16.0,22.0,1.0,2.0,,,2.0,1.0,3.0,6.0,,,,,,,,,,,,,0.75,0.24,,,,,0.67,0.33,9.0,4.0,2.0,3.0,4.0,1.0,,,2.0,4.0,1.0,0.0,8.0,7.0,1.0,1.0,2.0,2.0,0.5,0.28,,,,,0.67,0.33,9.0,5.0,4.0,1.0,3.0,3.0,,,2.0,0.0,0.0,1.0,,,5.0,11.0,1.0,0.0,1.0,3.0
YF3kHIHN,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,29/02/2024,17:30,Semi-finals,Ath Bilbao,Atl. Madrid,3,0,"[13, 42, 61]",[],bet365,3.1,2.1,3.5,bet365,2.55,3.25,2.8,Betano.br,1.5,2.62,Betano.br,3.15,1.37,Betano.br,7.3,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.75,2.0,bet365,1.4,1.33,1.5,bet365,10.0,bet365,8.5,bet365,15.0,bet365,29.0,bet365,8.5,bet365,6.0,bet365,10.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,23.0,bet365,21.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.5,1.5,bet365,1.45,2.68,bet365,1.17,5.0,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,26.0,12.0,1.04,Betano.br,13.0,7.1,1.16,bet365,5.0,4.33,1.5,Betano.br,1.47,4.3,6.0,Betano.br,1.14,7.5,14.5,Betano.br,1.03,13.0,28.0,1.51,1.0,,,,,,,,,0.4,0.6,,,,,,,,,,,8.0,13.0,6.0,5.0,2.0,7.0,0.0,1.0,,,,,,,,,,,3.0,5.0,12.0,16.0,16.0,18.0,16.0,8.0,4.0,1.0,,,0.0,4.0,5.0,3.0,,,,,,,,,,,,,0.69,0.34,,,,,0.41,0.59,3.0,5.0,2.0,2.0,1.0,3.0,,,2.0,5.0,2.0,1.0,7.0,6.0,0.0,2.0,2.0,0.0,0.82,0.66,,,,,0.39,0.61,5.0,8.0,4.0,3.0,1.0,4.0,,,1.0,0.0,2.0,0.0,,,9.0,2.0,0.0,2.0,3.0,3.0
Mu0oIb2H,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,07/02/2024,17:30,Semi-finals,Atl. Madrid,Ath Bilbao,0,1,[],[25],bet365,2.6,2.1,4.75,bet365,1.91,3.5,4.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.22,1.29,1.83,bet365,9.0,bet365,10.0,bet365,21.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,13.0,bet365,34.0,bet365,8.5,bet365,9.0,bet365,17.0,bet365,41.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,bet365,6.4,1.12,bet365,3.45,1.3,bet365,2.6,1.48,bet365,1.85,2.0,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,18.0,9.5,1.09,Betano.br,8.25,5.5,1.29,bet365,3.5,3.6,1.83,Betano.br,1.25,5.4,10.5,Betano.br,1.06,10.25,25.0,Betano.br,1.01,15.5,37.0,1.78,1.58,,,,,,,,,0.68,0.32,,,,,,,,,,,20.0,9.0,5.0,3.0,7.0,3.0,8.0,3.0,,,,,,,,,,,10.0,6.0,17.0,13.0,21.0,14.0,9.0,16.0,2.0,4.0,,,4.0,1.0,2.0,5.0,,,,,,,,,,,,,0.63,0.79,,,,,0.65,0.35,9.0,4.0,2.0,2.0,4.0,1.0,,,1.0,3.0,1.0,2.0,6.0,9.0,2.0,1.0,1.0,2.0,1.15,0.79,,,,,0.71,0.29,11.0,5.0,3.0,1.0,3.0,2.0,,,9.0,3.0,1.0,2.0,,,3.0,7.0,2.0,0.0,1.0,3.0
vHAtJvmB,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,27/02/2024,17:30,Semi-finals,Real Sociedad,Mallorca,1,1,[71],[50],bet365,2.2,2.0,8.0,bet365,1.53,3.75,7.5,Betano.br,1.6,2.37,Betano.br,3.65,1.29,Betano.br,8.5,1.06,bet365,1.1,7.0,bet365,1.53,2.38,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.75,1.4,bet365,1.1,1.25,2.38,bet365,6.0,bet365,12.0,bet365,34.0,bet365,101.0,bet365,4.5,bet365,8.0,bet365,23.0,bet365,67.0,bet365,5.5,bet365,10.0,bet365,29.0,bet365,81.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,126.0,bet365,5.9,1.13,bet365,4.65,1.18,bet365,2.68,1.45,bet365,2.03,1.83,bet365,1.53,2.43,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,7.6,1.14,Betano.br,5.9,4.4,1.47,bet365,2.63,3.25,2.38,Betano.br,1.11,7.5,23.0,Betano.br,1.02,13.5,45.0,,0.0,0.0,0.0,2.29,0.55,,,,,,,,,0.64,0.36,,,,,,,,,,,23.0,6.0,9.0,1.0,12.0,5.0,2.0,0.0,,,,,,,,,,,15.0,4.0,23.0,12.0,39.0,29.0,11.0,19.0,1.0,3.0,,,1.0,4.0,0.0,8.0,,,,,,,,,,,,,1.03,0.14,,,,,0.67,0.33,5.0,2.0,2.0,0.0,3.0,2.0,,,2.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,0.63,0.15,,,,,0.61,0.39,13.0,3.0,4.0,1.0,7.0,2.0,,,11.0,0.0,0.0,1.0,,,2.0,10.0,1.0,2.0,0.0,3.0
fekr3Ofj,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,25/01/2024,17:00,Quarter-finals,Atl. Madrid,Sevilla,1,0,[79],[],bet365,1.91,2.5,6.0,bet365,1.45,4.5,6.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.8,1.95,bet365,1.11,1.18,2.63,bet365,15.0,bet365,19.0,bet365,34.0,bet365,67.0,bet365,8.5,bet365,8.5,bet365,21.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,10.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.45,2.68,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.9,6.4,1.26,Betano.br,4.0,4.4,1.65,bet365,2.1,4.0,2.63,Betano.br,1.13,7.7,16.0,Betano.br,1.03,13.0,32.0,,0.0,0.0,0.0,2.14,0.89,,,,,,,,,0.57,0.43,,,,,,,,,,,10.0,4.0,4.0,1.0,6.0,2.0,0.0,1.0,,,,,,,,,,,1.0,3.0,10.0,18.0,23.0,15.0,14.0,9.0,3.0,6.0,,,5.0,1.0,1.0,3.0,,,,,,,,,,,,,0.88,0.03,,,,,0.61,0.39,4.0,1.0,1.0,0.0,3.0,0.0,,,1.0,2.0,0.0,2.0,11.0,4.0,1.0,1.0,0.0,1.0,1.26,0.86,,,,,0.53,0.47,6.0,3.0,3.0,1.0,3.0,2.0,,,0.0,1.0,3.0,4.0,,,3.0,5.0,4.0,0.0,1.0,2.0
0QBxKKX4,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,06/02/2024,17:00,Semi-finals,Mallorca,Real Sociedad,0,0,[],[],bet365,5.0,1.8,3.1,bet365,4.33,2.75,2.15,bet365,1.8,2.0,bet365,5.0,1.17,bet365,17.0,1.03,bet365,1.18,4.5,bet365,1.8,1.91,bet365,3.6,1.29,bet365,9.0,1.07,bet365,21.0,1.02,bet365,2.63,1.44,bet365,1.67,1.4,1.2,bet365,4.5,bet365,4.75,bet365,8.0,bet365,21.0,bet365,7.5,bet365,6.0,bet365,11.0,bet365,26.0,bet365,19.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,51.0,bet365,51.0,bet365,67.0,bet365,126.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,1.7,2.1,bet365,1.28,3.55,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,32.0,10.5,1.05,Betano.br,12.5,5.0,1.25,bet365,1.67,3.4,5.0,Betano.br,1.18,6.3,13.0,Betano.br,1.04,11.75,28.0,0.38,1.15,,,,,,,,,0.31,0.69,,,,,,,,,,,5.0,11.0,0.0,3.0,4.0,8.0,1.0,0.0,,,,,,,,,,,2.0,4.0,12.0,23.0,16.0,21.0,22.0,11.0,3.0,3.0,,,1.0,1.0,3.0,0.0,,,,,,,,,,,,,0.26,0.33,,,,,0.32,0.68,3.0,3.0,0.0,1.0,2.0,2.0,,,2.0,0.0,,,11.0,5.0,0.0,0.0,1.0,0.0,0.12,0.82,,,,,0.3,0.7,2.0,8.0,0.0,2.0,2.0,6.0,,,0.0,4.0,3.0,3.0,,,11.0,6.0,1.0,1.0,2.0,0.0
tl979QHM,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,24/01/2024,17:30,Quarter-finals,Ath Bilbao,Barcelona,4,2,"[1, 49, 105, 120]","[26, 32]",bet365,3.4,2.25,2.87,bet365,3.0,3.4,2.3,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.57,1.3,1.36,bet365,13.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,11.0,bet365,6.5,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,2.85,1.4,bet365,1.6,2.3,bet365,1.3,3.45,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,Betano.br,26.0,13.0,1.04,Betano.br,14.0,7.9,1.13,Betano.br,6.1,4.7,1.42,bet365,1.57,4.33,4.33,Betano.br,1.2,6.5,10.25,Betano.br,1.06,11.0,21.0,4.63,1.08,,,,,,,,,0.46,0.54,,,,,,,,,,,17.0,6.0,7.0,4.0,8.0,2.0,2.0,0.0,,,,,,,,,,,9.0,2.0,12.0,24.0,21.0,19.0,18.0,10.0,4.0,6.0,,,6.0,2.0,2.0,3.0,,,,,,,,,,,,,0.61,0.29,,,,,0.41,0.59,5.0,3.0,3.0,3.0,1.0,0.0,,,3.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,1.63,0.55,,,,,0.47,0.53,7.0,2.0,1.0,0.0,5.0,2.0,,,4.0,1.0,1.0,2.0,,,11.0,4.0,2.0,0.0,0.0,0.0
0Ykv44up,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,24/01/2024,15:30,Quarter-finals,Mallorca,Girona,3,2,"[21, 28, 35]","[68, 90]",bet365,3.6,2.1,3.1,bet365,3.0,3.3,2.38,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.95,bet365,1.53,1.33,1.36,bet365,9.0,bet365,7.5,bet365,11.0,bet365,23.0,bet365,9.0,bet365,6.0,bet365,9.5,bet365,21.0,bet365,15.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.0,1.38,bet365,1.58,2.35,bet365,1.25,3.8,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,Betano.br,32.0,14.0,1.03,Betano.br,18.0,8.5,1.1,Betano.br,7.5,4.7,1.36,bet365,1.53,4.0,4.75,Betano.br,1.2,6.4,10.75,Betano.br,1.06,11.0,23.0,2.35,3.06,,,,,,,,,0.25,0.75,,,,,,,,,,,11.0,16.0,6.0,5.0,4.0,9.0,1.0,2.0,,,,,,,,,,,3.0,7.0,8.0,19.0,5.0,20.0,17.0,5.0,7.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,2.3,1.04,,,,,0.26,0.74,8.0,6.0,6.0,2.0,2.0,2.0,,,2.0,2.0,2.0,0.0,10.0,0.0,1.0,3.0,2.0,3.0,0.05,2.02,,,,,0.24,0.76,3.0,10.0,0.0,3.0,2.0,7.0,,,1.0,5.0,5.0,2.0,1.0,0.0,7.0,5.0,1.0,0.0,1.0,0.0
bP3C8pXS,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,23/01/2024,17:30,Quarter-finals,Celta Vigo,Real Sociedad,1,2,[90],"[2, 66]",bet365,5.0,1.91,2.88,bet365,4.0,3.1,2.05,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.38,1.53,bet365,1.73,1.36,1.22,bet365,6.0,bet365,5.0,bet365,8.0,bet365,17.0,bet365,8.0,bet365,6.0,bet365,10.0,bet365,21.0,bet365,19.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,51.0,bet365,41.0,bet365,51.0,bet365,101.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.9,1.24,bet365,1.8,2.05,bet365,1.35,3.1,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,29.0,10.25,1.05,Betano.br,11.5,5.1,1.25,bet365,1.73,3.5,4.33,Betano.br,1.23,5.8,10.25,Betano.br,1.06,10.5,23.0,0.41,1.76,,,,,,,,,0.47,0.53,,,,,,,,,,,8.0,10.0,2.0,3.0,2.0,6.0,4.0,1.0,,,,,,,,,,,4.0,6.0,22.0,19.0,30.0,26.0,16.0,22.0,4.0,2.0,,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,0.08,1.76,,,,,0.4,0.6,1.0,7.0,0.0,2.0,1.0,4.0,,,0.0,3.0,1.0,0.0,11.0,10.0,1.0,1.0,1.0,0.0,0.33,0.0,,,,,0.54,0.46,7.0,3.0,2.0,1.0,1.0,2.0,,,4.0,3.0,3.0,2.0,,,5.0,12.0,2.0,1.0,0.0,1.0
GAuEdjfJ,SPAIN,2023-2024,Copa Del Rey 2023 2024,SPAIN CUP,18/01/2024,17:30,1/8-finals,Atl. Madrid,Real Madrid,4,2,"[39, 57, 100, 119]","[45, 82]",bet365,3.25,2.3,3.0,bet365,2.75,3.6,2.45,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.57,2.25,bet365,1.53,1.29,1.4,bet365,13.0,bet365,10.0,bet365,13.0,bet365,23.0,bet365,11.0,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.6,1.48,bet365,1.55,2.38,bet365,1.25,3.8,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,bet365,1.53,4.5,4.75,,0.0,0.0,0.0,,0.0,0.0,0.0,3.11,2.0,,,,,,,,,0.41,0.59,,,,,,,,,,,18.0,17.0,12.0,9.0,3.0,4.0,3.0,4.0,,,,,,,,,,,0.0,9.0,15.0,24.0,23.0,24.0,21.0,13.0,6.0,6.0,,,3.0,2.0,7.0,8.0,,,,,,,,,,,,,0.49,0.63,,,,,0.47,0.53,6.0,7.0,3.0,4.0,0.0,1.0,,,0.0,3.0,0.0,1.0,11.0,3.0,1.0,1.0,3.0,2.0,1.81,0.85,,,,,0.41,0.59,7.0,4.0,5.0,3.0,2.0,1.0,,,0.0,4.0,4.0,5.0,,,5.0,8.0,2.0,1.0,2.0,4.0
