Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
be8rbqvR,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,21/06/2025,16:00,Promotion,Oviedo,Mirandes,3,1,"[39, 52, 103]",[16],bet365,2.75,1.95,5.0,bet365,1.91,3.3,4.2,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.25,1.57,bet365,1.22,1.33,1.83,bet365,6.5,bet365,8.5,bet365,19.0,bet365,41.0,bet365,5.0,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,9.0,bet365,21.0,bet365,51.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,81.0,Superbet.br,8.1,1.05,Betboom.br,7.58,1.05,bet365,4.1,1.23,bet365,3.1,1.35,bet365,1.95,1.85,bet365,1.25,3.8,Betboom.br,1.03,9.26,Superbet.br,1.03,9.5,,0.0,0.0,,0.0,0.0,Betano.br,22.0,10.25,1.07,Betano.br,9.75,5.7,1.25,bet365,4.0,3.25,1.83,Betano.br,1.25,5.2,11.0,Betano.br,1.06,10.25,27.0,BetEsporte,1.01,11.0,45.0,1.69,1.38,2.24,1.42,0.59,1.17,1.42,2.24,0.42,-0.76,0.52,0.48,0.78,0.79,0.45,0.38,0.62,0.63,0.0,0.0,0.14,0.28,11.0,16.0,5.0,4.0,4.0,3.0,2.0,9.0,9.0,11.0,2.0,5.0,2.0,3.0,0.0,0.0,21.0,30.0,6.0,4.0,17.0,21.0,22.0,20.0,21.0,17.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0,0.59,0.58,70.0,59.0,46.0,30.0,5.0,16.0,0.0,0.0,0.0,1.0,0.98,0.48,0.78,1.03,0.46,0.05,0.76,0.24,3.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,,,7.0,10.0,1.0,0.0,1.0,0.0,0.43,0.66,0.55,0.39,0.04,0.95,0.41,0.59,3.0,9.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,9.0,4.0,1.0,0.0,2.0,0.0
jV4z059E,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,15/06/2025,14:00,Promotion,Mirandes,Oviedo,1,0,[3],[],bet365,2.88,1.83,5.5,bet365,2.05,2.8,4.5,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,17.0,1.03,bet365,2.63,1.44,bet365,1.18,1.4,1.73,bet365,5.0,bet365,8.0,bet365,19.0,bet365,51.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,11.0,bet365,23.0,bet365,67.0,bet365,19.0,bet365,23.0,bet365,51.0,bet365,101.0,Superbet.br,11.0,1.03,Betboom.br,8.66,1.04,bet365,4.25,1.21,bet365,3.3,1.33,bet365,2.03,1.78,bet365,1.21,4.25,Betboom.br,1.02,10.4,Superbet.br,1.03,11.0,,0.0,0.0,,0.0,0.0,Betano.br,27.0,11.25,1.05,Betano.br,12.0,6.0,1.2,bet365,4.5,3.5,1.73,Betano.br,1.23,5.3,13.0,Betano.br,1.04,11.0,32.0,BetEsporte,1.01,11.0,50.0,0.28,1.17,0.76,1.27,0.73,0.82,1.27,0.76,1.27,-0.22,0.42,0.58,0.68,0.79,0.32,0.4,0.52,0.51,0.0,0.0,0.23,0.24,6.0,12.0,4.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,7.0,0.0,1.0,0.0,0.0,15.0,18.0,4.0,1.0,20.0,17.0,18.0,22.0,17.0,20.0,1.0,4.0,,,2.0,0.0,2.0,3.0,0.67,0.53,52.0,64.0,28.0,26.0,7.0,9.0,0.0,0.0,0.0,0.0,0.14,0.09,0.4,0.62,0.51,0.22,0.43,0.57,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,10.0,1.0,0.0,1.0,1.0,0.14,1.08,0.36,0.65,0.22,0.6,0.41,0.59,4.0,10.0,2.0,1.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,,,12.0,10.0,1.0,0.0,1.0,2.0
8EmxUN05,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,12/06/2025,16:00,Promotion,Mirandes,Racing Santander,4,1,"[7, 63, 66, 70]",[12],bet365,2.3,2.3,4.75,bet365,1.8,3.75,4.33,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.83,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.2,1.25,1.95,bet365,11.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,7.5,bet365,7.0,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,2.35,1.58,bet365,1.75,2.05,bet365,1.22,4.15,Betboom.br,1.02,9.96,Superbet.br,1.04,9.0,,0.0,0.0,,0.0,0.0,Betano.br,15.0,8.75,1.11,Betano.br,6.9,5.3,1.34,bet365,3.0,3.75,1.95,Betano.br,1.24,5.7,10.25,Betano.br,1.06,10.25,23.0,BetEsporte,1.01,11.0,35.0,1.87,0.77,1.93,1.05,1.54,0.76,1.05,1.93,0.05,-0.07,0.48,0.52,0.78,0.78,0.53,0.39,0.67,0.6,0.0,0.0,0.58,0.25,18.0,13.0,7.0,2.0,8.0,6.0,3.0,5.0,16.0,11.0,2.0,2.0,4.0,1.0,0.0,1.0,33.0,29.0,2.0,7.0,15.0,10.0,23.0,21.0,10.0,15.0,2.0,4.0,,,0.0,1.0,1.0,3.0,0.43,0.79,49.0,47.0,31.0,26.0,5.0,7.0,0.0,0.0,0.0,0.0,1.09,0.55,0.46,1.05,0.89,0.55,0.55,0.45,10.0,5.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,7.0,0.0,1.0,1.0,3.0,0.78,0.22,1.47,0.0,0.65,0.21,0.41,0.59,8.0,8.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,5.0,2.0,3.0,,,7.0,8.0,0.0,0.0,0.0,0.0
KvxMX51t,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,11/06/2025,16:00,Promotion,Oviedo,Almeria,1,1,[49],[24],bet365,2.88,2.05,4.33,bet365,2.15,3.4,3.2,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.0,1.73,bet365,1.36,1.3,1.67,bet365,8.0,bet365,8.0,bet365,17.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,11.0,bet365,34.0,bet365,9.5,bet365,9.5,bet365,19.0,bet365,41.0,bet365,19.0,bet365,19.0,bet365,34.0,bet365,67.0,Superbet.br,9.4,1.04,Betboom.br,10.4,1.02,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.11,6.6,Superbet.br,1.07,6.9,Betboom.br,1.01,17.52,,0.0,0.0,Betano.br,20.0,10.25,1.07,Betano.br,9.5,5.9,1.24,bet365,4.33,3.75,1.67,Betano.br,1.35,4.8,7.7,Betano.br,1.1,8.75,19.0,BetEsporte,1.01,11.0,35.0,0.49,1.34,1.16,1.89,0.32,0.65,1.89,1.16,0.89,0.16,0.39,0.61,0.86,0.9,0.59,0.65,0.77,0.81,0.0,0.0,0.18,0.23,9.0,15.0,5.0,6.0,3.0,6.0,1.0,3.0,5.0,9.0,4.0,6.0,0.0,1.0,0.0,2.0,15.0,29.0,4.0,5.0,9.0,9.0,16.0,17.0,9.0,9.0,2.0,2.0,,,5.0,4.0,5.0,4.0,0.46,0.58,46.0,38.0,26.0,17.0,4.0,5.0,1.0,0.0,0.0,0.0,0.09,1.07,0.09,1.87,0.14,0.27,0.44,0.56,2.0,8.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,,,6.0,3.0,1.0,4.0,4.0,1.0,0.4,0.27,1.07,0.02,0.18,0.38,0.34,0.66,7.0,7.0,4.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,2.0,2.0,,,3.0,6.0,4.0,0.0,1.0,3.0
G6VUVqWh,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,08/06/2025,13:30,Promotion,Racing Santander,Mirandes,3,3,"[40, 71, 90]","[31, 34, 56]",bet365,3.1,2.05,3.75,bet365,2.35,3.2,3.1,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.36,1.36,1.57,bet365,8.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,7.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,Superbet.br,11.0,1.03,Betboom.br,11.48,1.01,bet365,4.65,1.18,bet365,3.7,1.26,bet365,2.3,1.6,bet365,1.38,3.0,bet365,1.13,5.9,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,Betano.br,25.0,11.75,1.05,Betano.br,12.0,6.7,1.18,bet365,4.75,4.0,1.57,Betano.br,1.36,4.55,7.8,Betano.br,1.09,8.75,19.5,BetEsporte,1.01,11.0,35.0,1.81,1.97,1.95,2.36,1.52,1.59,2.36,1.95,-0.64,-0.05,0.53,0.47,0.74,0.69,0.47,0.4,0.58,0.58,1.0,0.0,0.13,0.45,11.0,16.0,3.0,5.0,5.0,4.0,3.0,7.0,8.0,10.0,2.0,6.0,2.0,6.0,2.0,0.0,20.0,27.0,8.0,4.0,14.0,11.0,18.0,21.0,11.0,14.0,3.0,3.0,,,1.0,2.0,2.0,0.0,0.7,0.59,64.0,69.0,45.0,26.0,10.0,8.0,0.0,0.0,0.0,1.0,0.93,0.8,0.99,1.71,0.95,0.73,0.46,0.54,4.0,7.0,1.0,3.0,2.0,0.0,1.0,2.0,5.0,2.0,2.0,0.0,7.0,9.0,0.0,1.0,1.0,0.0,0.88,1.17,0.96,0.65,0.57,0.86,0.59,0.41,7.0,9.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,1.0,3.0,,,4.0,5.0,1.0,1.0,1.0,0.0
4S1CD2GO,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,07/06/2025,16:00,Promotion,Almeria,Oviedo,1,2,[16],"[14, 90]",bet365,3.1,1.95,4.33,bet365,2.25,3.1,3.4,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.3,1.36,1.62,bet365,6.5,bet365,8.0,bet365,15.0,bet365,41.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,41.0,bet365,67.0,Superbet.br,11.0,1.03,Betboom.br,11.85,1.01,bet365,4.65,1.18,bet365,3.7,1.26,bet365,2.25,1.63,bet365,1.33,3.3,bet365,1.1,7.0,Superbet.br,1.06,7.5,Betboom.br,1.01,19.08,,0.0,0.0,Betano.br,26.0,11.5,1.05,Betano.br,12.0,6.4,1.19,bet365,4.75,3.75,1.62,Betano.br,1.33,4.7,8.75,Betano.br,1.08,9.0,22.0,BetEsporte,1.01,11.0,40.0,0.93,0.65,0.76,1.0,0.64,0.33,1.0,0.76,-1.0,-0.24,0.54,0.46,0.86,0.87,0.43,0.59,0.65,0.75,0.0,0.0,0.32,0.29,11.0,8.0,3.0,4.0,6.0,3.0,2.0,1.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,0.0,15.0,7.0,6.0,4.0,14.0,14.0,15.0,12.0,14.0,14.0,2.0,2.0,,,0.0,0.0,2.0,2.0,0.85,0.62,49.0,48.0,23.0,31.0,4.0,6.0,0.0,1.0,0.0,1.0,0.22,0.48,0.76,0.81,0.08,0.17,0.5,0.5,5.0,5.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,10.0,9.0,0.0,0.0,1.0,1.0,0.71,0.17,0.0,0.19,0.56,0.16,0.58,0.42,6.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,,,4.0,5.0,0.0,0.0,1.0,1.0
KM6bBKNi,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,01/06/2025,16:00,Round 42,Cordoba,Albacete,1,1,[81],[1],bet365,2.1,2.75,4.0,bet365,1.67,4.2,4.33,bet365,1.18,4.5,bet365,1.95,1.85,bet365,3.75,1.25,bet365,1.01,26.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.4,2.75,bet365,1.2,1.22,2.15,bet365,26.0,bet365,23.0,bet365,29.0,bet365,51.0,bet365,15.0,bet365,9.5,bet365,15.0,bet365,29.0,bet365,13.0,bet365,9.0,bet365,11.0,bet365,26.0,bet365,17.0,bet365,12.0,bet365,17.0,bet365,26.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.6,1.48,bet365,2.08,1.73,bet365,1.68,2.15,bet365,1.23,4.1,Betboom.br,1.04,8.47,Superbet.br,1.06,7.6,,0.0,0.0,,0.0,0.0,Betano.br,9.0,7.4,1.2,Betano.br,4.7,5.1,1.5,bet365,2.6,4.33,2.15,Betano.br,1.23,6.3,9.0,Betano.br,1.07,10.5,19.0,BetEsporte,1.01,12.0,30.0,2.88,1.12,2.17,0.96,1.47,0.6,0.96,2.17,-0.04,1.17,0.66,0.34,0.88,0.72,0.67,0.37,0.84,0.55,0.0,0.0,0.31,0.25,37.0,7.0,9.0,1.0,16.0,5.0,12.0,1.0,22.0,6.0,15.0,1.0,2.0,3.0,2.0,0.0,51.0,17.0,9.0,5.0,11.0,13.0,16.0,17.0,13.0,11.0,2.0,3.0,,,2.0,4.0,0.0,8.0,0.79,0.65,47.0,49.0,21.0,40.0,8.0,4.0,0.0,0.0,1.0,0.0,1.19,0.51,0.6,0.96,0.72,0.15,0.68,0.32,20.0,3.0,4.0,1.0,9.0,2.0,1.0,2.0,6.0,3.0,2.0,0.0,6.0,5.0,2.0,1.0,0.0,4.0,1.69,0.61,1.57,0.0,0.75,0.45,0.64,0.36,17.0,4.0,5.0,0.0,7.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,,,7.0,6.0,0.0,3.0,0.0,4.0
82LObsvn,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,01/06/2025,13:30,Round 42,Almeria,Tenerife,2,0,"[8, 57]",[],bet365,1.8,2.5,8.5,bet365,1.33,5.0,8.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,2.2,1.62,bet365,1.08,1.17,3.25,bet365,12.0,bet365,19.0,bet365,41.0,bet365,101.0,bet365,6.5,bet365,10.0,bet365,23.0,bet365,67.0,bet365,6.0,bet365,9.0,bet365,23.0,bet365,51.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,81.0,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.98,1.83,bet365,1.5,2.5,bet365,1.33,3.3,Superbet.br,1.06,7.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.8,5.8,1.32,Betano.br,3.45,4.05,1.85,bet365,1.95,3.75,3.25,Betano.br,1.08,9.0,22.0,BetEsporte,1.01,11.0,40.0,,0.0,0.0,0.0,1.53,0.3,0.93,0.23,0.72,0.25,0.23,0.93,0.23,-1.07,0.43,0.57,0.81,0.83,0.52,0.44,0.75,0.69,2.0,0.0,0.22,0.26,15.0,10.0,8.0,4.0,4.0,3.0,3.0,3.0,10.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,18.0,9.0,2.0,6.0,11.0,9.0,15.0,20.0,9.0,11.0,1.0,5.0,,,0.0,5.0,4.0,6.0,0.73,0.55,58.0,30.0,22.0,12.0,9.0,8.0,1.0,0.0,0.0,0.0,0.31,0.14,0.21,0.09,0.23,0.14,0.41,0.59,5.0,4.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0,4.0,0.0,2.0,1.0,3.0,1.22,0.16,0.72,0.14,0.49,0.11,0.45,0.55,10.0,6.0,4.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,,,4.0,7.0,0.0,3.0,3.0,3.0
8rwtgw8N,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,01/06/2025,13:30,Round 42,Dep. La Coruna,Elche,0,4,[],"[4, 25, 32, 89]",bet365,5.5,2.25,2.25,bet365,5.25,3.6,1.67,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.83,1.83,bet365,2.15,1.29,1.17,bet365,10.0,bet365,7.0,bet365,7.5,bet365,13.0,bet365,13.0,bet365,7.0,bet365,8.5,bet365,13.0,bet365,26.0,bet365,17.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,12.0,1.02,Betboom.br,14.42,1.01,bet365,4.8,1.18,bet365,2.2,1.65,bet365,1.65,2.2,bet365,1.4,2.85,bet365,1.18,4.8,bet365,1.13,5.9,BetEsporte,45.0,11.0,1.01,Betano.br,30.0,11.75,1.04,Betano.br,14.0,6.4,1.17,bet365,2.15,3.6,2.88,Betano.br,1.42,4.8,6.0,Betano.br,1.14,8.0,13.0,0.14,1.66,0.0,3.02,0.12,1.29,3.02,0.0,-0.98,0.0,0.47,0.53,0.84,0.83,0.49,0.44,0.54,0.7,0.0,0.0,0.14,0.4,4.0,8.0,0.0,6.0,3.0,2.0,1.0,0.0,2.0,6.0,2.0,2.0,0.0,5.0,0.0,0.0,10.0,23.0,2.0,0.0,18.0,13.0,20.0,21.0,13.0,18.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.63,0.83,48.0,47.0,12.0,14.0,11.0,12.0,0.0,1.0,1.0,0.0,0.07,1.51,0.0,2.92,0.06,1.05,0.54,0.46,2.0,6.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,8.0,9.0,0.0,0.0,2.0,0.0,0.07,0.15,0.0,0.1,0.06,0.24,0.4,0.6,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,5.0,9.0,0.0,0.0,0.0,0.0
tGJWdL8b,SPAIN,2024-2025,Laliga2 2024 2025,SPAIN 2,01/06/2025,13:30,Round 42,FC Cartagena SAD,Mirandes,1,3,[44],"[38, 45, 70]",bet365,8.5,2.63,1.73,bet365,8.5,5.75,1.3,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,2.0,1.73,bet365,3.4,1.14,1.08,bet365,15.0,bet365,7.5,bet365,6.5,bet365,8.0,bet365,21.0,bet365,11.0,bet365,9.0,bet365,11.0,bet365,41.0,bet365,23.0,bet365,23.0,bet365,29.0,bet365,101.0,bet365,51.0,bet365,51.0,bet365,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.4,1.06,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.95,1.85,bet365,1.53,2.43,bet365,1.35,3.1,,0.0,0.0,0.0,BetEsporte,40.0,11.0,1.01,Betano.br,24.0,9.5,1.07,bet365,3.25,3.75,1.91,bet365,1.91,4.0,3.1,Betano.br,1.37,5.5,6.0,0.93,1.62,1.1,2.2,0.67,1.46,2.2,1.1,-0.8,0.1,0.41,0.59,0.79,0.88,0.52,0.87,0.56,0.81,0.0,0.0,0.15,0.36,9.0,24.0,3.0,8.0,4.0,10.0,2.0,6.0,6.0,16.0,3.0,8.0,2.0,3.0,1.0,0.0,14.0,47.0,4.0,6.0,8.0,13.0,7.0,11.0,13.0,8.0,3.0,1.0,,,3.0,1.0,5.0,2.0,0.41,0.5,49.0,42.0,28.0,18.0,8.0,7.0,0.0,1.0,0.0,0.0,0.52,1.01,0.81,0.94,0.34,1.0,0.39,0.61,5.0,14.0,2.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,10.0,4.0,2.0,1.0,3.0,1.0,0.41,0.61,0.29,1.26,0.33,0.46,0.43,0.57,4.0,10.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,5.0,1.0,0.0,,,3.0,4.0,1.0,0.0,2.0,1.0
